FID,KUNSTWERKID,KUNSTWERKNAAM,KUNSTENAAR,EIGENDOM_VAN,LENGTEGRAAD,BREEDTEGRAAD,RD_X,RD_Y,LOKATIEBEELD,WEBSITEVERWIJZING,FOTO,CONTACT,DD_BRONBESTAND,DD_BIJGEWERKT,GEOMETRIE
CUL_KUNSTWERKEN.32,540,De blauwe diender,Ronald Tolman,particulier,"5,85448182","51,8444321",187200.19407842675,428531.37018646364,Stieltjesstraat,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=540,540.01,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Edwin van der Staaij
e.van.der.staaij@nijmegen.nl
",2023-01-12,2023-02-01,POINT (187200.194078427 428531.370186464)
CUL_KUNSTWERKEN.33,533,Zonder titel,Narcisse Tordoir,gemeente Nijmegen,"5,86918963","51,8467271",188212.00341543142,428793.3198851811,Kelfkensbos,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=533,533.01,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Edwin van der Staaij
e.van.der.staaij@nijmegen.nl
",2023-01-12,2023-02-01,POINT (188212.003415431 428793.319885181)
CUL_KUNSTWERKEN.34,422,Cohesie,Oscar Goedhart,gemeente Nijmegen,"5,844276","51,813195",186518.77930540213,425051.65648052713,Einsteinstraat,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=422,422.01,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Edwin van der Staaij
e.van.der.staaij@nijmegen.nl
",2023-01-12,2023-02-01,POINT (186518.779305402 425051.656480527)
CUL_KUNSTWERKEN.35,176,Vier Kerkvaders,Giuseppe Roverso,gemeente Nijmegen,5.862954,51.847620,187781.68275625847,428889.8255205064,Sint Stevenskerkhof 2,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=176,176.01,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Edwin van der Staaij
e.van.der.staaij@nijmegen.nl
",2023-01-12,2023-02-01,POINT (187781.682756258 428889.825520506)
CUL_KUNSTWERKEN.36,185,Apostelcyclus,Giuseppe Roverso,gemeente Nijmegen,"5,86287403","51,8476884",187776.12265559167,428897.3991802688,Sint Stevenskerkhof 2,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=185,185.01,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Edwin van der Staaij
e.van.der.staaij@nijmegen.nl
",2023-01-12,2023-02-01,POINT (187776.122655592 428897.399180269)
CUL_KUNSTWERKEN.37,130,Mariken van Nieumeghen,Vera Tummers-van Hasselt,gemeente Nijmegen,"5,86350779","51,8476591",187819.81274725753,428894.4256177012,Grote Markt,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=130,130.01,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Edwin van der Staaij
e.van.der.staaij@nijmegen.nl
",2023-01-12,2023-02-01,POINT (187819.812747258 428894.425617701)
CUL_KUNSTWERKEN.38,216,Wapenreliëfs,Giuseppe Roverso,gemeente Nijmegen,5.862948,51.847641,187781.25403125907,428892.1591389163,Sint Stevenskerkhof 2,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=216,216.01,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Edwin van der Staaij
e.van.der.staaij@nijmegen.nl
",2023-01-12,2023-02-01,POINT (187781.254031259 428892.159138916)
CUL_KUNSTWERKEN.39,416,Tegelwand,Jos Rutten,particulier,5.867454,51.844810,188093.8185987631,428579.24351037847,Mariënburg 59,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=416,416.01,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Edwin van der Staaij
e.van.der.staaij@nijmegen.nl
",2023-01-12,2023-02-01,POINT (188093.818598763 428579.243510379)
CUL_KUNSTWERKEN.40,554,De natuuronderzoeker,Willem van der Velden,particulier,5.874054,51.820076,188567.05294416044,425830.5306881479,d'Almarasweg (Botanische tuin),https://www.nijmegen.nl/kos/kunstwerk.aspx?id=554,554.01,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Edwin van der Staaij
e.van.der.staaij@nijmegen.nl
",2023-01-12,2023-02-01,POINT (188567.05294416 425830.530688148)
CUL_KUNSTWERKEN.41,549,WAT-ER-IS,Marc Ruygrok,gemeente Nijmegen,5.861208,51.847776,187661.26261068284,428906.39453478274,Ganzenheuvel/Hezelstraat,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=549,549.01,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Edwin van der Staaij
e.van.der.staaij@nijmegen.nl
",2023-01-12,2023-02-01,POINT (187661.262610683 428906.394534783)
CUL_KUNSTWERKEN.42,570,Glazen Paneel,Montse Hernandez i Sala,gemeente Nijmegen,"5,87309422","51,8676363",188465.49211558243,431121.3358371786,Eikenlaan (Lent-Nijmegen),https://www.nijmegen.nl/kos/kunstwerk.aspx?id=570,570.01,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Edwin van der Staaij
e.van.der.staaij@nijmegen.nl
",2023-01-12,2023-02-01,POINT (188465.492115582 431121.335837179)
CUL_KUNSTWERKEN.43,410,Sculptuur,Adri Verhoeven,particulier,"5,86169456","51,8143063",187719.10459745326,425182.9940422717,Kanunnik Mijllinckstraat/Kanunnik Pelsstraat,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=410,410.01,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Edwin van der Staaij
e.van.der.staaij@nijmegen.nl
",2023-01-12,2023-02-01,POINT (187719.104597453 425182.994042272)
CUL_KUNSTWERKEN.44,385,Omgevingsvormgeving,Emanuel Viegers,particulier,"5,83758004","51,8070087",186061.31036916308,424360.52577812935,Malderburchtstraat (entree Kandinsky College),https://www.nijmegen.nl/kos/kunstwerk.aspx?id=385,385.01,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Edwin van der Staaij
e.van.der.staaij@nijmegen.nl
",2023-01-12,2023-02-01,POINT (186061.310369163 424360.525778129)
CUL_KUNSTWERKEN.45,532,De Schommel,Henk Visch,gemeente Nijmegen,5.866259,51.846098,188010.5279745396,428721.9943349096,Raadhuishof,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=532,532.01,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Edwin van der Staaij
e.van.der.staaij@nijmegen.nl
",2023-01-12,2023-02-01,POINT (188010.52797454 428721.99433491)
CUL_KUNSTWERKEN.46,504,Sculptuur,Carel Visser,gemeente Nijmegen,5.868557,51.839415,188173.80138457788,427979.5339663413,Prins Bernhardstraat (Julianapark),https://www.nijmegen.nl/kos/kunstwerk.aspx?id=504,504.01,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Edwin van der Staaij
e.van.der.staaij@nijmegen.nl
",2023-01-12,2023-02-01,POINT (188173.801384578 427979.533966341)
CUL_KUNSTWERKEN.47,395,Speelplastiek,Hans Vos,particulier,"5,77884358","51,8329967",181994.86800519802,427228.3110353697,Leuvensbroek 20-10,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=395,395.01,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Edwin van der Staaij
e.van.der.staaij@nijmegen.nl
",2023-01-12,2023-02-01,POINT (181994.868005198 427228.31103537)
CUL_KUNSTWERKEN.48,390,Sculptuur,Auke de Vries,particulier,"5,84571537","51,8432302",186596.9485244955,428393.8043058928,Tweede Oude Heselaan 384,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=390,390.01,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Edwin van der Staaij
e.van.der.staaij@nijmegen.nl
",2023-01-12,2023-02-01,POINT (186596.948524496 428393.804305893)
CUL_KUNSTWERKEN.49,205,Vliegende engelen,Auke Hettema,particulier,"5,85829024","51,8248078",187476.7848037298,426349.7930816062,Geert Grooteplein 22,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=205,205.01,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Edwin van der Staaij
e.van.der.staaij@nijmegen.nl
",2023-01-12,2023-02-01,POINT (187476.78480373 426349.793081606)
CUL_KUNSTWERKEN.50,340,Andersom,Wilna Haffmans,gemeente Nijmegen,"5,84521377","51,8114739",186584.65195273672,424860.58569047117,Marie Curiestraat/Marconistraat,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=340,340.01,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Edwin van der Staaij
e.van.der.staaij@nijmegen.nl
",2023-01-12,2023-02-01,POINT (186584.651952737 424860.585690471)
CUL_KUNSTWERKEN.51,378,Moeder met kind en vogel,Wilna Haffmans,gemeente Nijmegen,"5,81394774","51,8300888",184416.3913332819,426918.4302233929,O.C. Huismanstraat (in winkelcentrum Notenhout),https://www.nijmegen.nl/kos/kunstwerk.aspx?id=378,378.01,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Edwin van der Staaij
e.van.der.staaij@nijmegen.nl
",2023-01-12,2023-02-01,POINT (184416.391333282 426918.430223393)
CUL_KUNSTWERKEN.52,503,Sculptuur,Auke de Vries,gemeente Nijmegen,"5,86749486","51,8399642",188100.19814156636,428040.1498275333,Prins Bernhardstraat (Julianapark),https://www.nijmegen.nl/kos/kunstwerk.aspx?id=503,503.01,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Edwin van der Staaij
e.van.der.staaij@nijmegen.nl
",2023-01-12,2023-02-01,POINT (188100.198141566 428040.149827533)
CUL_KUNSTWERKEN.53,381,Omgevingsvormgeving,Johan Goedhart,gemeente Nijmegen,"5,866319","51,847501",188013.6330022611,428878.1103911078,Eiermarkt,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=381,381.01,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Edwin van der Staaij
e.van.der.staaij@nijmegen.nl
",2023-01-12,2023-02-01,POINT (188013.633002261 428878.110391108)
CUL_KUNSTWERKEN.54,381,Omgevingsvormgeving,Paul van der Hoek,gemeente Nijmegen,"5,866319","51,847501",188013.6330022611,428878.1103911078,Eiermarkt,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=381,381.01,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Edwin van der Staaij
e.van.der.staaij@nijmegen.nl
",2023-01-12,2023-02-01,POINT (188013.633002261 428878.110391108)
CUL_KUNSTWERKEN.55,319,Sculptuur,Gerard Walraeven,gemeente Nijmegen,5.844793,51.843045,186533.51676154832,428372.79925687704,Tweede Oude Heselaan 386,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=319,319.01,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Edwin van der Staaij
e.van.der.staaij@nijmegen.nl
",2023-01-12,2023-02-01,POINT (186533.516761548 428372.799256877)
CUL_KUNSTWERKEN.56,234,Vogels,Albert Diekerhof,particulier,5.875208,51.825279,188642.72975768175,426409.9151803045,Van den Boenhoffstraat,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=234,234.01,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Edwin van der Staaij
e.van.der.staaij@nijmegen.nl
",2023-01-12,2023-02-01,POINT (188642.729757682 426409.915180305)
CUL_KUNSTWERKEN.57,148,Adelaar,Frans Coppelmans,particulier,5.869665,51.831115,188256.29280030134,427056.6371299792,Professor Huijbersstraat 3,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=148,148.01,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Edwin van der Staaij
e.van.der.staaij@nijmegen.nl
",2023-01-12,2023-02-01,POINT (188256.292800301 427056.637129979)
CUL_KUNSTWERKEN.58,429,Sculptuur,Sigurdur Gudmundsson,gemeente Nijmegen,"5,86793882","51,8393918",188131.21545237643,427976.67074037035,Prins Bernhardstraat (Julianapark),https://www.nijmegen.nl/kos/kunstwerk.aspx?id=429,429.01,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Edwin van der Staaij
e.van.der.staaij@nijmegen.nl
",2023-01-12,2023-02-01,POINT (188131.215452376 427976.67074037)
CUL_KUNSTWERKEN.59,179,Michaël met de draak,Henk de Groot,particulier,"5,86049753","51,8122354",187638.06350637085,424952.0612544342,Heemraadstraat 2,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=179,179.01,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Edwin van der Staaij
e.van.der.staaij@nijmegen.nl
",2023-01-12,2023-02-01,POINT (187638.063506371 424952.061254434)
CUL_KUNSTWERKEN.60,269,Wandsculptuur,Krijn Giezen,particulier,5.868360,51.847479,188154.2832163773,428876.59243730764,Ridderstraat 27,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=269,269.01,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Edwin van der Staaij
e.van.der.staaij@nijmegen.nl
",2023-01-12,2023-02-01,POINT (188154.283216377 428876.592437308)
CUL_KUNSTWERKEN.61,369,Wording,Cor Beugeling,gemeente Nijmegen,"5,86880822","51,8385649",188191.74158943008,427885.07216376555,Julianapark,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=369,369.01,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Edwin van der Staaij
e.van.der.staaij@nijmegen.nl
",2023-01-12,2023-02-01,POINT (188191.74158943 427885.072163766)
CUL_KUNSTWERKEN.62,703,Twee zuilen,Peter van de Locht,gemeente Nijmegen,"5,872597","51,846688",188446.81945519004,428790.5333477753,Hunnerpark,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=703,703.01,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Edwin van der Staaij
e.van.der.staaij@nijmegen.nl
",2023-01-12,2023-02-01,POINT (188446.81945519 428790.533347775)
CUL_KUNSTWERKEN.63,704,Gedenksteen Jan van Hoof,Jac Maris,gemeente Nijmegen,"5,870856","51,852519",188322.53582884217,429438.45252257976,"Waalbrug, pijler aan Lentse zijde",https://www.nijmegen.nl/kos/kunstwerk.aspx?id=704,704.01,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Edwin van der Staaij
e.van.der.staaij@nijmegen.nl
",2023-01-12,2023-02-01,POINT (188322.535828842 429438.45252258)
CUL_KUNSTWERKEN.64,705,The Blue Borderline,Jan mulder,particulier,"5,868548","51,825837",188183.1883382709,426468.9310965004,Heyendaalseweg,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=705,705.01,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Edwin van der Staaij
e.van.der.staaij@nijmegen.nl
",2023-01-12,2023-02-01,POINT (188183.188338271 426468.9310965)
CUL_KUNSTWERKEN.65,372,Plastiek van de juiste en niet-juiste verhoudingen,Hans Koetsier,gemeente Nijmegen,"5,79186124","51,8347382",182891.05721850003,427426.97965009935,Broekstraat,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=372,372.01,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Edwin van der Staaij
e.van.der.staaij@nijmegen.nl
",2023-01-12,2023-02-01,POINT (182891.0572185 427426.979650099)
CUL_KUNSTWERKEN.66,2,Ingangspoort van het stadhuis,Cornelis Sass,gemeente Nijmegen,"5,86575320","51,8470815",187974.95427641855,428831.1824961962,Burchtstraat 20,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=2,2.01,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Edwin van der Staaij
e.van.der.staaij@nijmegen.nl
",2023-01-12,2023-02-01,POINT (187974.954276419 428831.182496196)
CUL_KUNSTWERKEN.67,3,Reliëf,Onbekend,gemeente Nijmegen,"5,86058232","51,8485121",187617.617104342,428988.0071973817,Begijnenstraat 29,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=3,3.01,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Edwin van der Staaij
e.van.der.staaij@nijmegen.nl
",2023-01-12,2023-02-01,POINT (187617.617104342 428988.007197382)
CUL_KUNSTWERKEN.68,17,Vier gevelbeelden,Onbekend,particulier,5.878629,51.830319,188874.77596185124,426972.2215670428,Postweg 80 (Villa Gelders Hof),https://www.nijmegen.nl/kos/kunstwerk.aspx?id=17,17.01,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Edwin van der Staaij
e.van.der.staaij@nijmegen.nl
",2023-01-12,2023-02-01,POINT (188874.775961851 426972.221567043)
CUL_KUNSTWERKEN.69,23,Spoorwegmonument Nijmegen-Kleve,Jan Jacob Weve,gemeente Nijmegen,"5,86887559","51,8471154",188190.0778761691,428836.3761016463,Hoogstraat bij Valkhof,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=23,23.01,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Edwin van der Staaij
e.van.der.staaij@nijmegen.nl
",2023-01-12,2023-02-01,POINT (188190.077876169 428836.376101646)
CUL_KUNSTWERKEN.70,23,Spoorwegmonument Nijmegen-Kleve,Christian Daniel Rauch,gemeente Nijmegen,"5,86887559","51,8471154",188190.0778761691,428836.3761016463,Hoogstraat bij Valkhof,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=23,23.01,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Edwin van der Staaij
e.van.der.staaij@nijmegen.nl
",2023-01-12,2023-02-01,POINT (188190.077876169 428836.376101646)
CUL_KUNSTWERKEN.71,32,Vier jaargetijden,Mathurin Moreau,gemeente Nijmegen,"5,858481","51,843229",187476.64269126952,428399.3014922281,Nassausingel,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=32,32.01,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Edwin van der Staaij
e.van.der.staaij@nijmegen.nl
",2023-01-12,2023-02-01,POINT (187476.64269127 428399.301492228)
CUL_KUNSTWERKEN.72,32,Vier jaargetijden,Matthijs van Roggen,gemeente Nijmegen,"5,858481","51,843229",187476.64269126952,428399.3014922281,Nassausingel,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=32,32.01,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Edwin van der Staaij
e.van.der.staaij@nijmegen.nl
",2023-01-12,2023-02-01,POINT (187476.64269127 428399.301492228)
