;4000 - Diensten en middelen overig;4110 - Consumptieve diensten;4120 - Risicobeheersen;4130 - Schoonmaak;4210 - Post-, koeriers- en transportdiensten;4310 - Documentmanagement, Documentontwikkeling en -verwerking;4410 - Afvalzorgmanagement;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;4710 - Bankdiensten;Eindtotaal
Issis B.V.;;;;;;;;1;;;1
J & T Dozen;;;;;;;;1;;;1
Jacobs Douwe Egberts Nl B.V.;;1;;;;;;;;;1
JÃƒÂ©vÃƒÂ© Verpakkingen V.O.F.;;;;;1;;;;;;1
Jan Kassa;;;;;;;;;1;;1
JD Holding Alphen aan den Rijn B.V.;;;;;;1;;;;;1
Joe's;;1;;;;;;;;;1
Jong Europe B.V.;;;;;;;1;;2;;2
Jopak Packaging Solutions;;;;;;;1;1;;;1
Kaayman;;;;;;;;;1;;1
Kardex Systemen B.V.;;;;;;;;2;;;2
Kartonwinkel;;;;;;;;;1;;1
Kik!;;;;;;;;1;;;1
Kluisspecialist B.V.;;;;;;;;1;;;1
KluisStore;;;;;;;;1;;;1
Klusbedrijf Krikken;;;1;;;;;;;;1
Kolibri Labels B.V.;;;;;;;;;2;;2
Koning & Hartman B.V.;;;1;;;;;;;;1
Koninklijke Academie van Beeldende Kunsten;;;;;;;;2;;;2
Koninklijke Fabrieken Posthumus B.V.;;;;;;;;;2;;2
Koninklijke PostNL B.V.;;;;;11;;;;;;11
Koninklijke Scheepsagentuur Dirkzwager B.V.;;;;;3;;;;;;3
Koninklijke van der Most B.V.;;;;;;;;;7;;7
Kop Beveiliging B.V.;;;1;;;;;;;;1
KPMG N.V.;;;;;;;;3;;;3
KPN Winkel;;;1;;;;;;;;1
Kreeft Opleidingen;;;1;;;;;;;;1
Kusters Facilities B.V.;;;;;;;7;;;;7
L&M V.O.F. t.h.o.d.n. Limburgia Borne;;1;;;;;;;;;1
L.R.E. Weegtechniek;;;;;;;;;1;;1
La Boulangerie Tradionelle Marrakec;;1;;;;;;;;;1
Lamers Voetcomfort B.V.;;;;;;;;;1;;1
Landesdirektion Sachsen;;;;;;;1;;;;1
laptopshuren.nl B.V.;;;;;;;;;1;;1
Lautratex BV;;;;;;;;;1;;1
Lawn Tennis Club 'De Manege';;;;;;;;1;;;1
Lekkerbrood;;1;;;;;;;;;1
Leolux Support B.V.;;;;;;;;1;;;1
Leonie Roeffen Meubelstyling;;;;;;;;1;;;1
Liftinstituut B.V.;;;;;;;;2;;;2
LIPS P. BANKETBAKKERIJ;;1;;;;;;;;;1
Loading Systems Nederland B.V.;;;;;1;;;;;;1
Logicx Berging B.V.;;;;;5;;;;;;5
Logistics Solutions B.V.;;;;;1;;;;;;1
Logistiekconcurrent;;;;;;;;1;1;;1
Lokker Intratech B.V.;;;;;;;;2;;;2
"Lotuskring ""De Blauwvinger"" Zwolle";;;1;;;;;;;;1
Lundiform B.V.;;;;;;;;1;;;1
LV Equipment B.V.;;;;;;;;;1;;1
Lyreco Nederland B.V.;;1;;;;;;1;7;;7
M.C. Gerritse Bedrijfswagens B.V.;;;;;1;;;;;;1
M.E. Design & Safety V.O.F.;;;;;;;;;1;;1
Maas Henk Weegschalen BV;;;;;;;;;1;;1
Maasdam Protective Products;;;;;;;;;1;;1
Maassen's Banketbakkerij B.V.;;1;;;;;;;;;1
MAGISTA;;;;;;;;1;;;1
Mainpress B.V.;;;;;;1;;;;;1
Manutan B.V.;;1;;1;1;;;1;1;;2
Martinic;;;;;;;;;1;;1
Master Nederland B.V.;;;;;;;;;1;;1
Mavim B.V.;;;;;;;;;1;;1
Media Info Groep B.V.;;;;;;;;;1;;1
Media Markt Arena B.V.;;;;;;;;;1;;1
MedicaMarkt B.V.;;;;;;;;1;;;1
Medisol B.V.;;;1;;;;;;;;1
Mega Cleaning Products B.V.;;;;1;;;;;;;1
Meldkamer MG;;;1;;;;;;;;1
Mena Computers h.o.d.n. uHost;;;;;;;;;1;;1
Mensys B.V.;;;;;;;;;1;;1
Mercateo Nederland B.V.;;;;;;;;1;;;1
Miele Nederland B.V.;;;;1;;;;;;;1
Millers;;1;;;;;;;;;1
Mirec B.V.;;;;;;;1;;;;1
Misco Solutions B.V.;;;;;;;;1;;;1
Moduli Print B.V.;;;;;;1;;;6;;6
Moeleker Custom Cooking B.V.;;;;;;;;1;;;1
Multicopy;;;;;;;;;1;;1
MultiCopy Utrecht Centrum B.V.;;;;;;;;;1;;1
Muziekcentrale Adams B.V.;;;;;;;;;1;;1
MW Studio’s B.V.;;;;;;;;2;;;2
N.V. HVC;;;;;;;2;;;;2
Naamplatenindustrie 'Vlug' B.V.;;;;;;;;;1;;1
Navacqs Seal Suppliers B.V.;;;;;;;;1;1;;1
Neerlandia Textielreiniging B.V.;;;;;;;;;2;;2
Neopost;;;;;;;;;4;;4
Netstar;;;;;;;;1;;;1
NetwerkShop;;;1;;;;;;;;1
Neuland Nederland;;;;;;;;;1;;1
NU Concepts B.V.;;;;;;;;1;;;1
Office Centre;;;;;;;;;1;;1
Oil Control Systems B.V.;;;;;;;;1;;;1
okay energetics;;;;;;;4;;;;4
OmniCard B.V.;;;2;;;;;;;;2
Online Kabelshop;;;;;;;;;1;;1
Online Seminar B.V.;;;;;;;;;1;;1
Outdoor & Travel Outfitters BV;;;;;;;;;1;;1
Paardekooper Rotterdam;;;;;1;;;;;;1
Pactechno;;;;;;;;;1;;1
PAPIEREN TIJGER;;;;;;1;;;;;1
Papyrus Groep Nederland B.V.;;;;;;;;;2;;2
Patissier en Broodspecialist Van Otten B.V.;;1;;;;;;;;;1
PayPlaza B.V.;;;;;;;;;;2;2
PaySquare SE;;;;;;;;;;1;1
People & Print Group;;;;;;;;;1;;1
Plein 9 A B.V.;;1;;;;;;;;;1
POL Heteren B.V.;;;;;;;;;1;;1
Portbase B.V.;;;;;2;;;;;;2
Presswood Verkoopmaatschappij B.V.;;;;;;;1;;;;1
Printjob B.V.;;;;;;;;;1;;1
Procility BV;;;;;;;;1;;;1
Promio;;;;;;;;;1;;1
Protinus IT B.V.;;;;;;;;2;1;;2
Quality Office;;;;;;;;1;;;1
Quarto B.V.;;;;;;;;;1;;1
Questionmarkgroup B.V.;;;;1;;;;;;;1
Rack Inspecs;;;;;;;;1;;;1
Rajapack Benelux;;;;;1;;;;;;1
Reflex Online B.V.;;;;;;;;2;;;2
Reisswolf Nederland B.V.;;;;1;;;4;;;;4
Reklaspits B.V.;;;;;;;;;1;;1
Relexim;;;;;;;;;1;;1
REMONDIS Nederland;;;;;;;1;;;;1
Renders Broeders;;1;;;;;;;;;1
Renewi Nederland B.V.;;;1;;;;1;;;;1
Re-on B.V.;;;1;;;;;;;;1
Rever B.V.;;;;;;;;;6;;6
Rhenus Logistics B.V.;;;;;1;;;;;;1
Rick van Gaalen;;;;;;;;1;;;1
Ricoh Nederland B.V.;;;;;;;;;2;;2
Rijnja Repro;;;;;;;;;2;;2
Robert Bosch B.V.;;;2;;;;;;;;2
Robert Schilte Orthopedie B.V.;;;;;;;;;1;;1
Robetex;;;;;3;;;;;;3
ROHDE & GRAHL B.V.;;;;;;;;7;;;7
Rotterdam Short Sea Terminals B.V.;;;;;1;;;;;;1
Rozee B.V.;;1;;;;;;;;;1
Ruvoma B.V.;;;;1;;;;;;;1
Sabe Verpakkingen;;;;;1;;;;;;1
Safe Site B.V.;;;;;;;;2;;;2
Safety Masters;;;1;;;;;;;;1
Safire B.V.;;;;;;;;7;;;7
Sandd B.V.;;;;;9;;;;;;9
SCAN COIN Netherlands;;;;;;;;;1;;1
Schiphorst Transport- en Opslagtechniek B.V.;;;;;;;;1;;;1
Schoondergang Van Zwanenburg Rest.-&K.a. B.V.;;2;;;;;;;;;2
Schoonmaakbedrijf Libelle Amsterdam;;;;1;;;;;;;1
Schotpoort Connect B.V.;;;;;7;;;;;;7
SDD B.V.;;;;;;;;;2;;2
Sdu Uitgevers B.V.;;;;;;1;;;;;1
SecurCash Nederland B.V.;;;;;;;;;1;;1
Securitas Beveiliging B.V.;;;1;;;;;;;;1
Security Monitoring Centre;;;2;;;;;;;;2
Selesdisgn B.V.;;;;;;;;;1;;1
SGS Nederland;;;;;4;;;;;;4
SHR HOUT RESEARCH;;;;;;;;1;;;1
SHURGARD NEDERLAND BV.;;;;;1;;;;;;1
Siemens Nederland N.V.;;;1;;;;;;4;;4
Siemens Vestiging Noord;;;1;;;;;;;;1
SITA Employment;;;;;;;2;;;;2
SITA National Sales;;;;;;;6;;;;6
Sita Recycling Services;;;;;;;2;;;;2
Sita Recycling Services West;;;;;;;3;;;;3
Sita Reenergy Roosendaal;;;;;;;1;;;;1
Sky Lite Holland B.V.;;;;;;;;;1;;1
Slager Automaterialen B.V.;;;;;;;;1;;;1
Sligro B.V.;;1;;;;;;;;;1
Smits Groente- en Fruitspec./traiteur;;1;;;;;;;;;1
Smits Van Burgst Beveiliging B.V.;;;3;;;;;;;;3
Snel-Braber Bathmen B.V.;;;;;;;;;1;;1
Solits B.V.;;;;;;;;1;;;1
Sportsdesign Utrecht B.V.;;;;;;;;;2;;2
SRH N.V.;;;;;;;;;;1;1
Stas B.V.;;;;;;;;;1;;1
STC B.V.;;;;;1;;;;;;1
Stg. Walk the Line;;;;;;;;;1;;1
Stichting ACEC Gebouw Apeldoorn;;;;;;;;1;;;1
Stichting Danaë Moons;;;;;;;;1;;;1
Stichting Do Not X-Ray;;;;;;;;1;;;1
Stichting Federatie Mediatorsverenigingen;;;;;;;4;;;;4
Stichting Nederlands Duikcentrum;;;;;;;;1;;;1
Stichting van de Familieleden;;;;;1;;;;;;1
Still Design B.V.;;;;;2;;;;;;2
Still Intern Transport B.V.;;;;;2;;;;;;2
Stomerij & Wasserij 'De Valk';;;1;;;;;;;;1
Stomerij 'De Pauw';;;;1;;;;;;;1
Stomerij Peeters;;;;;;;;;1;;1
Stomerij Primeur;;;;1;;;;;;;1
Straluma BV;;;;;;;;1;;;1
Strayshop B.V.;;;;;;;;1;;;1
Surence International B.V.;;;;;;;;;1;;1
Swift Car B.V.;;;;;;;;;;2;2
Sytec B.V.;;;2;;;;;;;;2
Tac-Up B.V.;;;;;;;;;3;;3
TÃƒÅ“V Nederland QA B.V.;;;;;;;1;;;;1
Tapes Amsterdam B.V.;;;;;;;;;1;;1
Tapwacht Service B.V.;;1;;;;;;;;;1
Tegelzettersbedrijf W. van Eck;;;;;;;1;;;;1
Tempelman W.F.;;;;;;;;;1;;1
Ten Kate Installatietechniek B.V.;;;;;;;;1;;;1
Tensing Safety & Security B.V.;;;;;;;;;1;;1
Tevu B.V.;;;;;;;;1;;;1
The Frozen Fountain;;;;;;;;1;;;1
Theo Pouw B.V.;;;;;;;1;;;;1
Thomas Boers BV;;;;;1;;;;;;1
Tiemens Beheer B.V.;;;;;;;1;;;;1
Todd van Hulzen Design;;;;;;;;2;;;2
Tonnaer Bykorf;;;;;;;;;3;;3
Tool Com B.V.;;;;;;;;1;;;1
Total Design B.V.;;;;;;;;1;;;1
TPG Post Holdings;;;;;8;;;;;;8
Transportbedr. Van de Wetering Loosdr. B.V.;;;;;2;;;;;;2
Transportbedrijf van Duijn en Zn BV;;;;;1;;;;;;1
Transposafe Systems;;;1;;;;;1;1;;1
Travelex N.V.;;;;;;;;;;1;1
Trigion Alarmcentrale B.V.;;;1;;;;;;;;1
Trigion Brand- en Beveiligingstechniek B.V.;;;1;;;;;;;;1
Trigion Services B.V.;;;1;;;;;;;;1
Trimbach Dozen B.V.;;;;;;;;1;;;1
TriOpSys B.V.;;;;;;;;;1;;1
Twence B.V.;;;;;;;1;;;;1
Uitgekookt Van Marle B.V.;;1;;;;;;;;;1
UniCarriers Netherlands B.V.;;;;;1;;;;;;1
Uniport Multipurpose Terminals B.V.;;;;;1;;;;;;1
United Electric Automation B.V.;;;4;;;;;;;;4
Upstream Gallery;;;;;;;;2;;;2
Valor Compostering B.V.;;;;;;;1;;;;1
Van der Helm Hudig Rotterdam B.V.;;;;;1;;;;;;1
Van der Ven Autorecycling B.V.;;;;;1;;1;;;;1
Van der Waal Bakkers;;1;;;;;;;;;1
Van Dijk Ijzerwarenhandel;;;1;;;;;;;;1
Van Drunen Lederwaren;;;;;;;;;1;;1
Van Gelder Ridderkerk B.V.;;1;;;;;;;;;1
Van Gool Hef- en Hijstechniek;;;;;;;;1;;;1
Van Hal Solutions B.V.;;;1;;;;;;;;1
Van Hal Telecom B.V.;;;;;;;;;2;;2
Van Kralingen B.V.;;;;;1;;;;;;1
Van Leeuwen Gevaarsetiketten B.V.;;;;;;;;;1;;1
Van Maanen Food Groep B.V.;;1;;;;;;;;;1
Van Os Kantoorinstallaties Apeldoorn;;;;;;;;;1;;1
Van Sloun Stomerij B.V.;;;;;;;;;1;;1
Van Straaten Post Utrecht B.V.;;;;;7;;;;;;7
Van Wees-Herenmode Voorschoten B.V.;;;;;;;;;1;;1
Vanheede Environmental Services BVB;;;;;;;1;;;;1
Veiligheidsinstituut Medi-Select B.V.;;;3;;;;;;;;3
Vendor B.V.;;;;1;;;;;;;1
Ver. Bedr. Jansen-Wijsmuller & Beuns B.V.;;;;;;;;;1;;1
Veracom B.V.;;;;;;;2;;;;2
Vermeij B.V.;;;;;;;;;1;;1
Verpakkingendirect.nl B.V.;;;;;;;;1;;;1
VE-Systems;;;;;1;;;;;;1
VeviGo B.V.;;;2;;;;;;;;2
Viking B.V.;;;;;;;;;1;;1
Vink Lisse B.V.;;;;;3;;;1;1;;3
Visser Projectservice B.V.;;;2;;;;;;;;2
Visualworkplace.nl;;;;;;;;;1;;1
Vitam Catering;;7;;;;;;;;;7
Vitamine en Zo;;1;;;;;;;;;1
VivePrint;;;;;;;;;1;;1
VKF Renzel B.V.;;;;;;;;;1;;1
Vlaggenplaza;;;;;;;;;1;;1
Voorhout Data Connection B.V.;;;2;;;;;;;;2
Vreugdenhil Berging B.V.;;;;;1;;;;;;1
WE CANTEEN B.V.;1;;;;;;;;;;1
WEDA B.V.;;;;;;;;;1;;1
Wesseling B.V.;;1;;;;;;;;;1
WEWO EUROPE B.V.;;;;;;;;1;;;1
Wildkamp B.V.;;;;;;;;1;;;1
Wolters Kluwer Nederland B.V.;;;;;;1;;;;;1
Wolves Autoberging B.V.;;;;;1;;;;;;1
Wortmann Milieutechniek B.V.;;;;;;;1;;;;1
Würth-Nederland B.V.;;;;;;;;1;;;1
Xerox (Nederland) B.V.;;;;;;5;;;7;;7
Zavin B.V.;;;;;;;1;;;;1
Zetes B.V.;;;;;;;;;1;;1
Zoomweg Zeeland Coldstore B.V.;;;;;1;;;;;;1
Zuidema Infra en Milieu B.V.;;;;;;;1;;;;1
Zweegers/TCS B.V.;;;;2;;;;;;;2
Eindtotaal;4;8;7;6;11;5;7;9;10;7;13
