FID,vrt_code,vrtnaam,haven_vaar,meetpunt,waterst_gw,waterst_hw,waterst_lw,waterst_ll,plaatsnaam,kenmerk_id,id,se_anno_cad_data,gdb_geomattr_data,shape
waterstand_nap.50,103a,Haven van Malburgen,,0.022,8.8,,,,IJsselkop,,9626,,,POINT (51.970199998 5.924699998999984)
waterstand_nap.51,406a,"Mond van de Dollard, Groote Gat en Buiten A",,3.726,,1.25,-1.7,-2.1,Delfzijl,,9668,,,POINT (53.315699998000014 7.061799999000016)
waterstand_nap.52,083,Oude IJssel,,0,6.4,,,,Doesburg-brug Geld.IJssel,,9700,,,POINT (52.012699999000006 6.127400000000023)
waterstand_nap.53,403c1,Schuitengat en Oosterom,,36.967,,1.04,-1.26,-1.62,Nes,,9758,,,POINT (53.42520000000002 5.567899997999973)
waterstand_nap.54,101,"Boven-Rijn, Waal, Boven-Merwede, Beneden-Merwede en Noord",,55.721,4.5,,,,Tiel (Waal),,9856,,,POINT (51.888300001999994 5.459100001000024)
waterstand_nap.55,113a,Droogte voor de Hoorn,,0,,0.67,0.4,0.15,Middelharnis,,9873,,,POINT (51.80079999899999 4.186000001000025)
waterstand_nap.56,138,Oosterschelde,,43.898,,1.55,-1.33,-1.71,Roompot-buiten,,9892,,,POINT (51.621100001 3.676499999999976)
waterstand_nap.57,130,Kanaal van Gent naar Terneuzen met de Zijkanalen en havens,,32.513,,2.29,-1.9,-2.44,Terneuzen,,9979,,,POINT (51.34609999899999 3.8138000000000147)
waterstand_nap.58,152a,Afgesneden Maas en havengebied te Roermond,,8.202,16.8,,,,Roermond Boven,,10073,,,POINT (51.210800000000006 5.981499999999983)
waterstand_nap.59,233y,Aanloop havens van IJmuiden en Noordzeekanaal,,1.016,,0.97,-0.73,-0.95,IJmuiden,,10141,,,POINT (52.464999999999975 4.537500001000012)
waterstand_nap.60,015,Haven van Noordpolderzijl,,0.016,,1.18,-1.38,-1.82,Eemshaven,,10345,,,POINT (53.459100001000024 6.569600001000026)
waterstand_nap.61,405b2,Gat van Schiermonnikoog en de Groote Siege,,0,,1.02,-1.29,-1.7,Lauwersoog,,10573,,,POINT (53.435299999999984 6.10390000000001)
waterstand_nap.62,233y1,Zuiderbuitenkanaal C.A.,,0.3,,0.97,-0.73,-0.95,IJmuiden,,10697,,,POINT (52.463500001 4.564300000999992)
waterstand_nap.63,102c,Koningshaven,,0.006,,,,,Rotterdam,,10766,,,POINT (51.91719999899999 4.5058999990000075)
waterstand_nap.64,150,"Maas, Julianakanaal, Bergsche Maas en Amer",,113.562,10.8,,,,Sambeek Boven,,10888,,,POINT (51.6395 5.98449999799999)
waterstand_nap.65,102d,Boerengat en aanliggende havens,,0,,,,,Rotterdam,,11015,,,POINT (51.91809999899999 4.500200000000007)
waterstand_nap.66,150b,Toeleidingskanaal en sluizen van Ternaaien,,0.035,45.25,,,,Eijsden Grens,,11216,,,POINT (50.81009999999998 5.6933999990000075)
waterstand_nap.67,084,"Geldersche IJssel, Keteldiep en Ketelmeer",,1.061,8.6,,,,Westervoort,,11278,,,POINT (51.95659999899999 5.949299999000004)
waterstand_nap.68,103,"Pannerdensch Kanaal, Neder-Rijn en Lek",,91.759,,1.38,0.27,-0.35,Jaarsveld,,11320,,,POINT (51.967599999000015 4.980000000000018)
waterstand_nap.69,131,Westerschelde,,27.083,,2.72,-2.11,-2.65,Bath,,11449,,,POINT (51.39759999900002 4.203100000000006)
waterstand_nap.70,211d,Sluis te Krimpen aan den IJssel en voorhavens,,0,,1.14,-0.27,-0.5,Krimpen aan den IJssel,,11712,,,POINT (51.91959999900001 4.5806999989999895)
waterstand_nap.71,152a5,Doncker Nack,,0,16.8,,,,B) Roemond Boven,,11735,,,POINT (51.199099999 5.980900001000009)
waterstand_nap.72,150h,Haven van Waalwijk,,0,,0.74,0.54,0.2,A) Heesbeen,,11816,,,POINT (51.71200000099998 5.0542000010000265)
waterstand_nap.73,404,"Veerbootroute Ameland, Brandgat, Molengat, Borndiep en Westgat",,10.338,,1.04,-1.26,-1.62,Nes,,12075,,,POINT (53.42839999900002 5.763099997999973)
waterstand_nap.74,112,Dordtsche Kil,,9.167,,0.65,0.39,0.15,Moerdijk,,12143,,,POINT (51.71909999799999 4.622299999000006)
waterstand_nap.75,109b,Oostkil,,0.028,,0.69,0.41,0.15,Keizersveer,,12184,,,POINT (51.725900002 4.8469000009999945)
waterstand_nap.76,125,Markkanaal,,0,,0.69,0.41,0.15,Keizersveer,,12232,,,POINT (51.64849999900002 4.840500001000009)
waterstand_nap.77,101,"Boven-Rijn, Waal, Boven-Merwede, Beneden-Merwede en Noord",,43.634,6,,,,Dodewaard,,12277,,,POINT (51.89930000200002 5.630199999000013)
waterstand_nap.78,150,"Maas, Julianakanaal, Bergsche Maas en Amer",,213.15,,0.69,0.41,0.15,Keizersveer,,12285,,,POINT (51.71940000000001 4.891899998999975)
waterstand_nap.79,147,Zuid Vlije - Krammer,,1.8,,1.6,-1.4,-1.7,Krammersluizen west,,12362,,,POINT (51.66180000100002 4.157200000999978)
waterstand_nap.80,150a,Noordergat van de Plomp,,0,,0.69,0.41,0.15,Keizersveer,,12369,,,POINT (51.71739999900001 4.781900000000007)
waterstand_nap.81,102e,Leuvehaven en aanliggende havens,,0,,,,,Rotterdam,,12634,,,POINT (51.910300001999985 4.486200000999986)
waterstand_nap.82,405f,Zuidoost Lauwers Boschgat,,1.34,,1.02,-1.29,-1.7,Lauwersoog,,12763,,,POINT (53.47910000000002 6.449499998000022)
waterstand_nap.83,101,"Boven-Rijn, Waal, Boven-Merwede, Beneden-Merwede en Noord",,76.116,,2.34,2.25,0.9,Zaltbommel,,12882,,,POINT (51.817499999000006 5.25)
waterstand_nap.84,180g,Oosterschelde - Brabantsche Vaarwater,,0,,1.86,-1.6,-1.94,Bergsediepsluis west,,12950,,,POINT (51.52450000099998 4.052999999000008)
waterstand_nap.85,402d,Veerhaven 't Horntje,,3.267,,0.58,-0.81,-1.11,Den Helder,,13196,,,POINT (52.9914 4.78860000100002)
waterstand_nap.86,211b,Sliksloot,,0,,1.24,-0.27,-0.5,Krimpen a/d IJssel,,13625,,,POINT (51.914199999999994 4.5767999999999915)
waterstand_nap.87,180a,Lodijksche Gat - Oosterschelde - Tholensche Gat,,0,,1.86,-1.6,-1.94,Bergsediepsluis west,,13734,,,POINT (51.51909999899999 4.123799997999981)
waterstand_nap.88,131h,Schaar van Spijkerplaat,,0,,2.05,-1.81,-2.32,Vlissingen,,13885,,,POINT (51.39160000200002 3.7102999989999716)
waterstand_nap.89,150,"Maas, Julianakanaal, Bergsche Maas en Amer",,0,4.9,,,,A) Oijen,,14174,,,POINT (51.816399999 5.536499999)
waterstand_nap.90,150,"Maas, Julianakanaal, Bergsche Maas en Amer",,186.8,,0.8,0.7,0.2,Hedel,,14201,,,POINT (51.733600002 5.25)
waterstand_nap.91,130b,Route via Middensluis/Westbuitenhaven naar de Westerschelde,,0,,2.29,-1.9,-2.44,Terneuzen,,14224,,,POINT (51.31899999799998 3.82510000100001)
waterstand_nap.92,402a,Molenrak,,0.1,,0.9,-0.9,-1.2,Harlingen,,14305,,,POINT (53.17639999800002 5.3992000000000075)
waterstand_nap.93,401a,Vaarwater benoorden langs Afsluitdijk,,0.198,,0.72,-0.82,-1.1,Den Oever,,14397,,,POINT (52.941700000000026 5.045000001999995)
waterstand_nap.94,104,Merwedekanaal (bezuiden de Lek),,23.733,,0.89,0.57,-0.3,Werkendam buiten,,14735,,,POINT (51.82669999799998 4.962299998999981)
waterstand_nap.95,109c,Bovenste gat van het Zand en het Jeppegat,,0.013,,0.69,0.41,0.15,Keizersveer,,14834,,,POINT (51.72700000200001 4.846999998999991)
waterstand_nap.96,108a,Vaarweg Nieuwe Merwede-Amer door de Spieringsluis,,0.096,,0.69,0.41,0.15,C) Keizersveer,,14841,,,POINT (51.782099999000025 4.755499999999984)
waterstand_nap.97,116b,Beneluxhaven,,0.341,,1.11,-0.63,-0.84,Hoek van Holland,,14901,,,POINT (51.961300000999984 4.129500001999986)
waterstand_nap.98,101,"Boven-Rijn, Waal, Boven-Merwede, Beneden-Merwede en Noord",,68.332,3,,,,Sint Andries,,14937,,,POINT (51.804099999000016 5.348999999)
waterstand_nap.99,150i,Oude Maasje,,0,,0.69,0.41,0.15,Keizersveer,,15041,,,POINT (51.71909999799999 4.894499999000004)
waterstand_nap.100,150,"Maas, Julianakanaal, Bergsche Maas en Amer",,113.861,8,,,,Sambeek Beneden,,15229,,,POINT (51.64090000099998 5.9807999989999985)
waterstand_nap.101,108,Nieuwe Merwede en Hollandsch Diep,,15.7,,0.7,0.4,0.2,Deeneplaat,,15244,,,POINT (51.745900000999995 4.725299999000015)
waterstand_nap.102,401,Schulpengat,,0,,0.72,-0.82,-1.1,Den Oever,,15274,,,POINT (52.938999998999975 5.039099998999973)
waterstand_nap.103,101,"Boven-Rijn, Waal, Boven-Merwede, Beneden-Merwede en Noord",,5.2,9.8,,,,Lobith,,15494,,,POINT (51.85000000100001 6.101599998999973)
waterstand_nap.104,110,Wantij en Otterkanaal,,0,,0.92,0.13,0,Dordrecht,,15514,,,POINT (51.820900000999984 4.676199999000005)
waterstand_nap.105,402a,Molenrak,,0.2,,0.9,-0.9,-1.2,Harlingen,,15529,,,POINT (53.17639999800002 5.399000000000001)
waterstand_nap.106,150,"Maas, Julianakanaal, Bergsche Maas en Amer",,57.487,14.2,,,,Neer,,15576,,,POINT (51.261300000999995 6.005600001999994)
waterstand_nap.107,150c1,Verlengde Oude Maas,,0,21.1,,,,A) Stevensweert,,15589,,,POINT (51.148300000000006 5.873300001000018)
waterstand_nap.108,111b,Zeehavens te Dordrecht,,0,,0.92,0.13,0,Dordrecht,,15622,,,POINT (51.800999999 4.628699998999991)
waterstand_nap.109,113,Spui en Beningen,,11.673,,0.63,0.29,0,Simonshaven,,15682,,,POINT (51.80359999799998 4.285599998999999)
waterstand_nap.110,150,"Maas, Julianakanaal, Bergsche Maas en Amer",,131.3,8.2,,,,Nijmegen,,15739,,,POINT (51.758099999000024 5.86450000100001)
waterstand_nap.111,401,Schulpengat,,12.1,,0.7,-0.8,-1.1,Den Oever,,15804,,,POINT (52.991599999000016 4.916200000999993)
waterstand_nap.112,108c,Noord Hollandsch Diep,,5.615,,0.67,0.39,0.15,Rak Noord,,15997,,,POINT (51.71049999799999 4.427499997999973)
waterstand_nap.113,404,"Veerbootroute Ameland, Brandgat, Molengat, Borndiep en Westgat",,7.693,,1.04,-1.27,-1.81,Holwerd,,16084,,,POINT (53.416000000999986 5.795600001000025)
waterstand_nap.114,102f,Waalhaven,,0,,1.2,-0.38,-0.64,Rotterdam,,16536,,,POINT (51.90210000100001 4.433800001000009)
waterstand_nap.115,150,"Maas, Julianakanaal, Bergsche Maas en Amer",,141.342,5.2,,,,Grave Beneden,,16666,,,POINT (51.770199999 5.736200000999986)
waterstand_nap.116,131i,Koopmanshaven of Westerhaven,,0,,2.05,-1.81,-2.32,Vlissingen,,17025,,,POINT (51.432500000999994 3.574700001999986)
waterstand_nap.117,402a,Molenrak,,0.2,,1,-1.3,-1.6,Nes,,17081,,,POINT (53.176499999999976 5.399000000000001)
waterstand_nap.118,143b,"Zuid Vlije, Jachtensluis Krammersluizen en Krammer-Sport",,0.082,,1.63,-1.45,-1.74,Krammersluizen west,,17244,,,POINT (51.66169999900001 4.190999999999974)
waterstand_nap.119,103,"Pannerdensch Kanaal, Neder-Rijn en Lek",,0.49,9.5,,,,Pannerdensche Kop,,17337,,,POINT (51.87220000100001 6.043699998000022)
waterstand_nap.120,117h,"Haringvliet, zuidelijke doorvaart Haringvlietbrug",,0,,0.67,0.39,0.15,Rak Noord,,17510,,,POINT (51.7106 4.423500000999979)
waterstand_nap.121,131c,Middelgat,,0,,2.42,-2.06,-2.58,A) Hansweert,,17851,,,POINT (51.43800000099998 3.998500001000025)
waterstand_nap.122,123a,Maasplassen Heel,,0,20.85,,,,Heel Boven,,17962,,,POINT (51.165700000000015 5.8904)
waterstand_nap.123,152a,Afgesneden Maas en havengebied te Roermond,,4.442,16.9,,,,A) Linne Beneden,,18158,,,POINT (51.18739999799999 5.95780000100001)
waterstand_nap.124,403b,"Westmeep, Noordmeep en Oostmeep",,13.785,,0.83,-1.05,-1.37,West-Terschelling,,18192,,,POINT (53.32970000099999 5.346799998999984)
waterstand_nap.125,142a,Keeten - Haven Stavenisse,,0,,1.58,-1.39,-1.69,Stavenisse,,18348,,,POINT (51.60020000100002 4.003300000000024)
waterstand_nap.126,101,"Boven-Rijn, Waal, Boven-Merwede, Beneden-Merwede en Noord",,102.2,,0.9,0.6,0.3,Werkendam-Buiten,,18420,,,POINT (51.819200002 4.89050000200001)
waterstand_nap.127,401d,Gat van de Stier,,0.202,,0.58,-0.81,-1.11,Den Helder,,18738,,,POINT (52.990800001000025 4.872599999999977)
waterstand_nap.128,117f,Haaven en Groote Dok te Hellevoetsluis,,0.015,,0.67,0.39,0.15,Hellevoetsluis,,18748,,,POINT (51.81709999999998 4.12779999899999)
waterstand_nap.129,150c,Maas van Wessem naar Ohe en Laak,,6.4,21.1,,,,Stevensweert,,18772,,,POINT (51.131099999000014 5.840899999999976)
waterstand_nap.130,186,Tholensche Gat - Oosterschelde,,12.6,,1.6,-1.4,-1.7,Stavenisse,,18827,,,POINT (51.542300001 3.9479000009999936)
waterstand_nap.131,112,Dordtsche Kil,,2.37,,0.72,0.29,0.05,'s-Gravendeel,,19136,,,POINT (51.77910000100002 4.627400000000023)
waterstand_nap.132,150,"Maas, Julianakanaal, Bergsche Maas en Amer",,0,10.95,,,,Well Dorp (L),,19288,,,POINT (51.557700001 6.055199999000024)
waterstand_nap.133,405b1,Glinder,,1.404,,1.04,-1.24,-1.7,Schiermonnikoog,,19461,,,POINT (53.44119999899999 6.153200001000016)
waterstand_nap.134,002,Zeehavenkanaal en havens van Delfzijl,,5.021,,1.35,-1.64,-2.07,Delfzijl,,19598,,,POINT (53.32739999900002 6.937600002000011)
waterstand_nap.135,108,Nieuwe Merwede en Hollandsch Diep,,7.676,,0.65,0.4,0.15,Moerdijk,,19610,,,POINT (51.79050000000001 4.765700001000027)
waterstand_nap.136,403c1,Schuitengat en Oosterom,,0.06,,0.83,-1.05,-1.37,West-Terschelling,,19838,,,POINT (53.31909999999999 5.14609999999999)
waterstand_nap.137,401e,Molengat,,0.83,,0.58,-0.81,-1.11,Den Helder,,19869,,,POINT (52.973099999 4.735399998999981)
waterstand_nap.138,117,Vaarweg van het Hollandsch Diep via de Goereesesluis naar de Noordzee,,18.856,,0.67,0.4,0.15,Middelharnis,,19983,,,POINT (51.77769999999998 4.197700000999987)
waterstand_nap.139,102h,Eemhaven en aanliggende Havens,,0,,1.14,-0.45,-0.7,Vlaardingen,,20162,,,POINT (51.89629999900001 4.39530000100001)
waterstand_nap.140,138f,Haven van Zierikzee,,0,,1.58,-1.39,-1.69,Stavenisse,,20200,,,POINT (51.62740000000002 3.8867999990000044)
waterstand_nap.141,084,"Geldersche IJssel, Keteldiep en Ketelmeer",,20.335,6.4,,,,Doesburg-brug,,20238,,,POINT (52.019200001 6.129500001999986)
waterstand_nap.142,403a,"Kimstergat, Vingegat en Vaarwater van de Zwarte Haan",,29.117,,0.95,-0.95,-1.18,Harlingen,,20288,,,POINT (53.35640000199999 5.654699999999991)
waterstand_nap.143,124,Amertak en Wilhelminakanaal,,0,,0.67,0.4,0.2,A) Deeneplaat,,20514,,,POINT (51.7115 4.8256999999999834)
waterstand_nap.144,403,"Vaargeul langs Pollendam, Blauwe Slenk, Vliestroom en Zuider Stortemelk",,28.061,,0.83,-1.06,-1.39,Vlieland haven,,20634,,,POINT (53.317299999 5.128499999999974)
waterstand_nap.145,150k,Haven van Lage Zwaluwe,,0,,0.65,0.39,0.15,Moerdijk,,20660,,,POINT (51.720699998999976 4.69599999899998)
waterstand_nap.146,209,Schie en havens te Schiedam,,5.395,,1.2,-0.38,-0.64,Rotterdam,,20928,,,POINT (51.90179999899999 4.409499998999991)
waterstand_nap.147,201,Vaarweg vanaf de Oude-Wetering via Leiden en Delft naar Rotterdam,,52.413,,1.2,-0.38,-0.64,Rotterdam,,21187,,,POINT (51.901999999 4.466800001000024)
waterstand_nap.148,150,"Maas, Julianakanaal, Bergsche Maas en Amer",,147.762,5.1,,,,Ravenstein,,21292,,,POINT (51.796399999000016 5.660300001999985)
waterstand_nap.149,226,Merwedekanaal (benoorden de Lek),,11.495,,1.62,0.63,-0.35,Hagestein beneden,,21374,,,POINT (52.0077 5.09340000200001)
waterstand_nap.150,115a,Dintelhaven,,0,,1.11,-0.63,-0.84,Hoek van Holland,,21431,,,POINT (51.93239999899998 4.14669999900002)
waterstand_nap.151,405a,"Oort, Lutjewad, Spruit, Zuid Oost Lauwers en het Ra Eemswadje",,25,,1.18,-1.38,-1.82,Eemshaven,,21654,,,POINT (53.46489999800002 6.470300000000009)
waterstand_nap.152,101,"Boven-Rijn, Waal, Boven-Merwede, Beneden-Merwede en Noord",,117.752,,0.86,0.2,0,Dordrecht,,21726,,,POINT (51.823199998999996 4.670699999000021)
waterstand_nap.153,150,"Maas, Julianakanaal, Bergsche Maas en Amer",,120.747,7.8,,,,Gennep,,21839,,,POINT (51.698100001 5.9567000010000015)
waterstand_nap.154,101c,Rietbaan,,0,,0.86,0.2,0,Dordrecht,,22037,,,POINT (51.829399998999975 4.669199999)
waterstand_nap.155,132,Havens Vlissingen-Oost (Sloehaven),,0.899,,2.05,-1.81,-2.32,Vlissingen,,22232,,,POINT (51.44700000099999 3.6715000010000267)
waterstand_nap.156,152a,Afgesneden Maas en havengebied te Roermond,,0.955,20.85,,,,Heel Boven,,22549,,,POINT (51.175000001 5.923500000999979)
waterstand_nap.157,150c,Maas van Wessem naar Ohe en Laak,,0,20.85,,,,Heel Boven,,22630,,,POINT (51.16389999900002 5.896899997999981)
waterstand_nap.158,103,"Pannerdensch Kanaal, Neder-Rijn en Lek",,78.408,,1.62,0.63,-0.35,Hagestein beneden,,22772,,,POINT (51.993600000000015 5.133099999000024)
waterstand_nap.159,150,"Maas, Julianakanaal, Bergsche Maas en Amer",,161.263,4.9,,,,Oijen,,23331,,,POINT (51.82679999999999 5.507199999000022)
waterstand_nap.160,402,"Boontjes, Doove Balg, Texelstroom",,0.015,,0.58,-0.81,-1.11,Den Helder,,24008,,,POINT (53.176300000000026 5.399099997999997)
waterstand_nap.161,137,Kanaal door Zuid-Beveland,,10.28,,2.42,-2.06,-2.58,Hansweert,,24053,,,POINT (51.44009999899998 4.011500001000002)
waterstand_nap.162,404b1,Kikkertgat,,0.338,,1.04,-1.26,-1.62,Nes,,24176,,,POINT (53.405400000999975 5.738000001999978)
waterstand_nap.163,150,"Maas, Julianakanaal, Bergsche Maas en Amer",,0,4.9,,,,B) Megen Dorp,,24513,,,POINT (51.816399999 5.536499999)
waterstand_nap.164,403c1,Schuitengat en Oosterom,,0.027,,0.83,-1.05,-1.37,West-Terschelling,,24564,,,POINT (53.31909999999999 5.145599999000012)
waterstand_nap.165,117c,Havens van Middelharnis,,0.2,,0.67,0.4,0.15,Middelharnis,,24621,,,POINT (51.77650000199998 4.195500001000028)
