Leveranciers;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7310 - Verhuizen;7410 - Verwerven en afstoten;7-Huisvesting
Daamen Notarissen;;;;7;7
Dalkia Dbu Gebouwenbeheer;4;;;;4
Danfoss Energie Systemen;1;;;;1
DareTronics Services;1;;;;1
Data Display Ned;1;;;;1
DBL Verlichting;1;;;;1
De Boeck bv;4;;;;4
De Bruin Techniek;1;;;;1
De Gelderse IJzerhandel;2;;;;2
De Gevelborstel;1;;;;1
De Goede Inspecties BV;1;;;;1
De Graaf en van Stijn;3;;;;3
De Haan van Ooyen B.V.;;;;2;2
De Haan Westerhoff;2;;;2;2
De Houtburcht b.v.;1;;;;1
De Jager Totaal;2;;;;2
De Kabath Vastgoedbescherming;;;;1;1
De Klerk Aannemingsbedrijf;;;;2;2
De Liemers Wegenbouw;5;;;4;6
De Meeuw Oirschot;1;;;4;4
De Melker Sanitairtechniek;1;;;;1
De Sleutel van Rijen;1;;;;1
De Sleutelspecialist;1;;;;1
De Ventilatiemeester;1;;;;1
De Vlieg Techniek;1;;;;1
De Voskop;1;;;;1
De Vries & van de Wiel Aannemingsmaatschappij;5;;;4;6
De Wild Projectstoffering;1;;;;1
De Wit datacenterkoeling;1;;;;1
De Witte Bouwbedrijf;1;;;;1
Decolux Holding;2;;;;2
Delta Comfort;1;1;;;1
Delta Energy;;10;;;10
Delta Infra;1;1;;7;7
Delta Netwerkbedrijf;;2;;;2
Denios;1;;;;1
Desings Technical Solutions;;;;1;1
DGMR Raadgevend Ingenieurs (incl. Bouw, Industrie en Milieu, Software);1;;;;1
DHW Service;1;;;;1
DIerenkliniek Dronten;;;;1;1
Dijkoraad Raadgevend Ingenieursbureau;;;;2;2
Dijkstra Draisma Bouwgroep;1;;;;1
Dijkstra Schoonmaakbedrijf;1;;;;1
Directbouw;2;;;;2
Distrimex Pompen En Service ;1;;;;1
Diversey;2;;;;2
DJB Services;3;;;;3
DND Trading;1;;;;1
Dof Master Fund Ii;;;;5;5
Dokkumer Vlaggen;1;;;;1
Dolfsma Dakbedekkingen;5;;;;5
Dolmans Landscaping;6;;;1;6
Donders Security;1;;;;1
DONG Energy Services;;1;;;1
Donker Holding (incl. Donkergroen);6;;;;6
Donkersgoed & Zonen;4;;;;4
Dorma van Duin Nederland;1;;;;1
Dozy BV Aann. Bedrijf;5;;;6;6
Draad Hoveniers;1;;;;1
Draaijer Installatietechniek B;1;;;;1
Drager Safety & Medical;2;;;1;2
DRS Installatietechniek;3;;;1;3
Dry Air Benelux;3;;;;3
Duijvelaar Pompen;3;;;;3
Duikbedrijf C.O.W. B.V.;2;;;;2
Dulo Asbestverwijdering;2;;;;2
Dunea (Duinwaterbedrijf Zuid-Holland);;4;;;4
Duratherm;2;;;;2
Dusseldorp;1;;;;1
Dutch Water Tech;1;;;;1
Duursma W&O;1;;;;1
DVD-FireSafety-First;7;;;;7
Dynamica Ingenieursbureau;;;;1;1
E. de Boer Aannemersbedrijf;3;;;3;4
E.C.M. van Wezel Holding;;;;1;1
Eaton;1;;;;1
EBW Installatietechnieken;2;;;;2
ECG Explosive Clearance Group;4;;;2;4
Eco Heating Systems Groningen;1;;;;1
ECO Ketelservice Verhuur BV;2;;;;2
Ecologica;;;;1;1
Eco-Montage BV;1;;;;1
Econosto;1;;;;1
Econsultancy;;;;2;2
Ecoreno;2;;;;2
ECR-Nederland;1;;;;1
Edelstaalverwerking Berlikum V;1;;;;1
Eden Springs;1;1;;;1
eDesign;1;;;;1
EDN Garage- en Industriedeuren;1;;;;1
Eemland Automatisering;1;;;;1
Efaflex;1;;;;1
Egro Service;1;;;;1
Eijkelboom;2;;;;2
Eijkelkamp Agrisearch Equipment;1;;;;1
Eindhoven Airport;;;;3;3
Elco;2;;;;2
Electro Drive BV;1;;;;1
Electro Eindhoven;1;;;;1
Elektra 21;5;;;;5
Elektrospekt;2;;;;2
Elektrotechnisch Inst.buro Bou;2;;;;2
Elinex Power Solutions;1;;;;1
Elma Multimedia;1;;;;1
Elreka Hekwerken;2;;;1;2
EMA Gravures;2;;;;2
Emerson Network Power;1;;;;1
Emmink Technische Handelsonder;1;;;;1
Emmo Consultancy;2;;;;2
Endenburg;3;;;;3
Endevoets Dakbedekkingen;2;;;1;2
Endinet;;4;;;4
Endress en Hauser;1;;;;1
Eneco (incl. Utiliq, Vaney, Joulz);4;10;;;10
Enerdeco;1;;;;1
Enexis (vh Essent Netwerk, At Home);1;7;;6;7
Engelen Groen Uden;6;;;1;6
Engeltjes Installatiebedrijf;4;;;;4
Ennatuurlijk B.V.;;2;;;2
Enviro-Chemie;1;;;;1
EP TECHNIEK;1;;;;1
Erik de Boer Loon en Transportbedrijf;1;;;;1
Eriks;4;;;;4
Erkon Engineering;1;;;;1
ES Ehrbecker Schiefelbusch Elektro;5;;;;5
Espero;1;;;;1
Essent Energie;;3;;;3
Euro Trapliften;1;;;;1
Eurocarbo Benelux BV;2;;;;2
Eurofins C-Mark;5;;;;5
Euro-Index;1;;;;1
Euromate (vh Plymovent, Lucom);2;;;;2
Europarcs Landgoed Brunssheim B.V.;;;;3;3
Eurorouting;1;;;;1
Eurosafe Solutions;3;;;;3
Evides Waterbedrijf;;3;;;3
Evilim Industriewater B.V;;3;;;3
Excelair B.V.;1;;;;1
Experis Nederland (vh Vitae);1;;;;1
Exploitatiemaatschappij Oostelijk;;;;3;3
F.J. SAT Holding B.V.;1;;;;1
Fa. Centraal onderhd- en schoo;3;;;;3
FAB Riool en Wegenbeheer;4;;;;4
Fabory Nederland;1;;;;1
Facta;3;;;1;3
Falco;2;;;;2
FBS Elektrotechniek;1;;;;1
Felix van der Putten Verf;1;;;;1
Fewiro Wijchen B.V.;7;;;1;7
Fideel Bouwservice BV;1;;;;1
Filcom;1;;;1;1
Filippo BouwCenter;1;;;;1
Fireblock;1;;;;1
Firejob;2;;;;2
Fitland Groep;;;;4;4
Fit-Store;1;;;;1
Fixet (incl. Grottendieck);1;;;;1
Flamco BV;1;;;;1
Franssen, E.J.H. en Franssen, P.A.H;;;;2;2
Fremo Wikkeltechniek;1;;;;1
Fri-Jado Super Service;7;;;;7
Frisia Bergum;5;;;;5
Friso Aannemingsmaatschappij;6;;;5;6
Fudura;3;;;;3
FuGoBo Air;3;;;;3
G. van der Plas Installaties;2;;;;2
G.A.E. Nering Bogel;1;;;;1
Gabriels Elektro, Gacom;2;;;;2
Galektron BV;1;;;;1
GB Brouwers Groenaannemers;4;;;1;4
GE Power Controls Nederland;1;;;;1
GEA Happel Nederland;1;;;;1
GEA Refrigeration Netherlands;1;;;;1
Gebr. de Hollander BV;1;;;;1
Gebr. van der Lee Aannemersbedrijf;;;;7;7
Gebr. van Driel;1;;;1;1
Gebr. Van Kessel;7;;;2;7
Gebr.Verhagen BV Schildersbedr;4;;;;4
Gebroeders Scheffer;2;;;;2
Geka Bouw;3;;;;3
Geldersch Landschap en Kasteelen;;;;2;2
Geleijns;1;;;;1
Geluidconsult;;;;1;1
Geocomfort;1;;;;1
Geofox-Lexmond;;;;4;4
Geomaat;1;;;;1
Gerco Beveiligingen;2;;;;2
Gerrits Glas- En Schilderwerken;3;;;;3
Gevel Totaal Service;1;;;;1
GGN (incl. van Mastrigt & Partners, Tijhuis & Partners);;;;1;1
Giesbers Bouw;;;;7;7
Gisola BV;2;;;;2
Glas en Kit bedrijf Marcel Win;1;;;;1
Glasbedrijf Het Centrum;2;;;;2
Gloudemans Taxatie- en Adviesbureau;;;;2;2
Gmb Rioleringstechnieken;4;;;;4
GOM Schoonhouden;;;;2;2
Goorbergh Geotechniek;;;;1;1
Govers Groothandel;1;;;;1
GPPC FONS BERGMANS;4;;;;4
Grassair Compressoren;1;;;;1
Gravure 85;1;;;;1
Graydon Nederland;1;;;;1
Greuters Schildersbedrijf Arnh;2;;;;2
Griekspoor;5;;;2;5
Groenendijk Dordrecht;1;;;;1
Grohe Nederland BV;1;;;;1
Groningen Airport Eelde;1;1;;3;3
Grontmij;3;;;4;4
Groothuis Bouwgroep BV;6;;;8;8
Groundwater Technology;;;;4;4
Grundfos Ned;2;;;;2
GSAudits;1;;;;1
GSN Gas Service Nuvelstijn;2;;;;2
Gubbels Schilderwerken;1;;;;1
Gubbels Wegenbouw en Sloopwerk;;;;6;6
H&D Civiel;4;;;;4
H. den Haan Aannemersbedrijf;3;;;1;4
H. van der Meulen Tegelbedrijf;1;;;;1
H. van Lubek, Bestratingsbedri;1;;;;1
H. Zwart Machinefabriek en Technische Handel;2;;;;2
H.J. Kooiman, Elektrotechnisch;2;;;1;2
Haan Techniek BV;;;;3;3
Habeco;2;;;;2
Habo;2;;;;2
Haerkens BV Electro-Installat.;4;;;2;4
Hafkamp Installatietechniek;4;;;;4
Hafkon;1;;;;1
Hakkers;1;;;;1
Hakvoort Horeca;2;;;;2
Haltronic Electro-Installaties;1;;;;1
Hamer Installatietechniek;4;;;1;4
Handicare stairlifts B.V.;1;;;;1
Hanel Kantoor- en Magazijnsystemen;1;;;;1
Havenbedrijf Amsterdam;;;;2;2
HBK2000 Besturingstechniek;5;;;;5
HdV Computers;1;;;;1
HeatPumpService B.V.;2;;;;2
Hecla Groep;1;;;;1
Heerkens van Bavel;;;;6;6
Hefas Branddetectie;2;;;1;2
Heibrink Telecom Support;2;;;;2
Heijl Automaterialen;1;;;;1
Hein Heun Sloopwerken;5;;;;5
Hekbouw;1;;;;1
HEKO-BECEWE;1;;;;1
Helder Vastgoed Schilderwerken;4;;;;4
Helders Schildersbedrijf;4;;;;4
Hellebrekers Technieken;6;;;1;6
HELLEMONS GLAS- EN SCHILDERWER;3;;;;3
Helma Reinigingsdienst BV;1;;;;1
Heluto BV Installatietechiek;1;;;3;3
Hendrickx Grondwerken B.V.;1;;;;1
Hendriks;1;;;;1
Hennekens Hout Holz Timber;;;;1;1
Henssen;2;;;;2
Hermans Accountants en Fiscalisten;;;;2;2
Hermans Bouw & Timmerbedrijf;4;;;2;4
Hermans Groep;2;;;;2
Het Markiezaat Schietsportvereniging;;;;4;4
Het Zuiden asbestsanering;2;;;;2
Het Zuiden Vloerenbedrijf;3;;;;3
Hexta Hekwerk;2;;;;2
Heynen;1;;;;1
Hiemstra;3;;;;3
Hilti Nederland;2;;;;2
Hi-Safe Systems (incl. Inham);2;;;;2
Hitec Power Protection BV;3;;;;3
HM Adviespartner BV;;;;1;1
Hoefakker Hoveniersbedrijf, Aannemingsbedrijf;3;;;;3
Hoefnagels Groep brand en bedrijfsdeuren;2;;;;2
Hoekstra Loonbedrijf Maatschap;5;;;;5
Hoeven van der Scheepsreparatie;3;;;;3
Hogenboom Vakantieparken;;;;2;2
HOH Hengelo Handelsonderneming;1;;;;1
Holland Mast;1;;;;1
Hollanddak BV;1;;;;1
Holtrop & Jansma;1;;;;1
Homa Pompen B.V.;1;;;;1
Homma Elektrotechniek BV;1;;;5;5
Hoornstra Aannemingsmaatschappij;5;;;1;5
Hopmann Liftservice;4;;;;4
Hopmans van Loon VOF;2;;;;2
Hormann Nederland;2;;;;2
Hotel Contact/Worldmeetings;;;;2;2
House of Light;1;;;;1
HR Groep;2;;;;2
HRN Schilderwerken;1;;;;1
HT Engineering;1;;;;1
Huiberts-Adams B.V.;1;;;2;2
Hulkenberg;1;;;;1
Hulshoff Verhuizen, Digitaliseren, Archiveren;;;;4;4
Hulsman & De Veluwe;2;;;;2
HulstFlier Installateurs;4;;;;4
Hunneman Milieu - Advies;2;;;3;3
Huurdeman Bouwbedrijf;5;;;5;6
HVB Constructie BV;2;;;;2
Ibis Accor Hotels;;;;1;1
IBK Service & Onderhoud;2;;;;2
Imbema Industrie, Transport en Automaterialen;1;;;;1
IMV Nederland/GE Digital Energy;2;;;;2
In den Eng Bouwbedrijf;3;;;5;5
InAxtion BV;1;;;;1
Inclusief Gresbo;2;;;;2
Indeko Oosterhout;2;;;1;2
Independent Solar Systems (incl. SolarAccess Off-Grid);1;;;;1
Info Service Hoogbruin VOF;1;;;1;2
Infra Partners;1;;;;1
INFRADAK;5;;;;5
Infrasoil;;;;1;1
Ingersoll Rand Security Techn;2;;;;2
Inoxcon;1;;;;1
Inpijn-Blokpoel Ingenieursbureau;;;;2;2
Inrio;2;;;;2
Installatiebedrijf Ron Missler;1;;;;1
Installatieburo IBS -Oele-Scho;2;;;;2
Insulation Solutions;1;;;;1
Integraal Omgevingsadvies;;;;1;1
Integron Group;4;;;;4
Interclean Benelux;1;;;;1
Intercodam Infra BV;1;;;;1
Interland Techniek;1;;;;1
Interline Systems;1;;;;1
Interno Schilderwerken B.V.;2;;;;2
Interstaal B.V.;;;;1;1
Isco3;1;;;1;1
Isolatietechniek Lambeek B.V.;1;;;;1
Issos;1;;;4;4
ITBB Elektro- en klimaattechniek;3;;;;3
ITN Installatietechniek;6;;;1;6
IV Groep (incl. Infra, Software, Oil&Gaz);;;;2;2
J Sellis Bestratingsbedrijf;2;;;;2
J. Butter Installatiebedrijf;4;;;;4
J. Koele BV;2;;;;2
J. Tot Loonbedrijf;1;;;;1
J. van Dijk Nettenhandel & Zn;1;;;;1
J. van Lingen Bulldozerbedrijf;4;;;;4
J. Verheggen Elektrotechniek;3;;;;3
J.A.W. Oerlemans Verhuurbedrijf;2;;;;2
J.B.V. Heldoorn Bouwbedrijf;6;;;7;7
J.H. Oosterbeek Sloopbedrijf;3;;;3;4
J.J. Meijer Aannemingsbedrijf;;;;2;2
J.M. Raadsma Dokkum IJzerhandel;1;;;;1
J.M. van Delft & Zn.;1;;;;1
Jabor Advies;2;;;1;2
Jan Knijnenburg BV;;;;4;4
Jan Kuipers Nunspeet;1;;;;1
Jan Oostra interieurontwerp;;;;2;2
Jan Snel BV;1;;;3;3
JANSEN BARTELS INSTALLATIETECH;2;;;;2
Jansma Drachten (incl. Wegen en Milieu);1;;;;1
Jansma en Van Dijk Holding;5;;;4;6
JEURCRAMA SCHOONMAAKBEDRIJF B.;2;;;;2
JKV Kraanbedrijf;1;;;;1
John Klaassen Hoveniersbedrijf;1;;;;1
Johnson Controls Automation Systems;4;;;;4
Joop Wallbrink Schilders- en G;2;;;1;2
Joosten Kunststoffen;1;;;;1
Jos van Rees & Zn.;1;;;;1
Jungheinrich Nederland;1;;;;1
Kaal Masten;2;;;;2
Kalisvaart;1;;;;1
Kalsbeek;2;;;;2
Kampereiland Vastgoed;;;;1;1
Karcher Doornenbal;1;;;;1
Kardex Systemen;1;;;;1
Keijzer Schildersbedrijf;1;;;;1
Kema;2;;;;2
Kemkens Utiliteit;4;;;;4
Kemp Schalwijk;3;;;;3
Kerkhof Technische Installaties Leersum;6;;;;6
Ketelaar hifi;1;;;;1
Kieback & Peter Nederland;1;;;;1
Kimsma Bouwbedrijf BV;4;;;;4
Klaver Klimaattechniek;3;;;;3
Klift-Roest Wonen;2;;;;2
Klimaat Techniek Brabant KTB;5;;;;5
Klimaatgroep Holland;2;;;2;3
Klingen Bomen;;;;1;1
Klinger;1;;;;1
Klinkhamer Reclame;1;;;;1
Klok (Glascentrale Assen, Schilderwerken, Project Totaal);2;;;;2
Klunder;2;;;1;2
Knoef IJzerhandel;1;;;;1
Knulst;2;;;;2
Kohler Peutz Geveltechniek;;;;2;2
Kone Liften, Deursystemen;3;;;;3
Koninklijke Royal Dirkzwager;1;;;;1
Kooiker Installatie BV;1;;;;1
Koopmans Bouwgroep;4;;;6;6
Koppeltron;1;;;;1
Kors Hoogwerk Systemen;1;;;;1
Korte Projectstoffering BV;2;;;;2
Koster Elektromotoren;1;;;;1
Kragten;1;;;2;2
Kreeft Bouwbedrijf;6;;;6;7
Krekt Dijksma Reclame;2;;;;2
Krinkels;7;;;;7
Kroep Elektro;2;;;;2
Kropman Installatietechniek;3;;;2;3
KTD Klimaatbeheersing;2;;;;2
Kuijpers Installaties (incl. Maintenance, Beveilinging);6;;;2;6
KWS Infra;2;;;;2
KyotoCooling BV;;;;2;2
Laarhoven van Best;2;;;;2
Labex Snelroldeuren B.V.;2;;;;2
Laco Handelsonderneming;;;;2;2
Lagemaat Sloopwerken;5;;;5;6
Laman Dexis Zoetermeer Technische Groothandel;1;;;;1
Landal;;;;1;1
LANDGOED BIEDUINEN;;;;1;1
Landustrie Sneek;2;;;;2
Langeland-Borgman;1;;;;1
Lankelma Geotechniek;1;;;1;2
Larson Juhl;1;;;;1
Lasaulec;1;;;;1
Lassche en Keizer;1;;;;1
Leemans Groep (incl. Speciaalwerken, Speciaalwerken, Transport);5;;;4;6
Lelystad Airport;;;;1;1
Lenco Zonwering B.V.;;;;2;2
Lenting Loodgietersbedrijf;;;;4;4
Lets BV;1;;;;1
Liander;2;7;;;7
Liebregts Vastgoedonderhoud;4;;;;4
Liftinstituut;1;;;;1
Liftus;1;;;;1
Lijstenmakerij de Vos;1;;;;1
Liko Limburgse Koelindustrie;;;;6;6
Linde Gas (incl. Cryoservice en Therapeutics);1;;;;1
Lindorff;1;;;;1
Lingen Schilderbedrijf;1;;;;1
Lipke Aannemersbedrijf;3;;;;3
Li-Tech Inregelservice;1;;;;1
Livingroof v.o.f.;2;;;;2
Lloyd's Register (incl. Cedeo);1;;;;1
Lobeco Beveiligingen;1;;;;1
Logstor Nederland BV;1;;;;1
Lokapost;1;;;;1
Loke Dakmanagement B.V.;2;;;;2
Loomans Cleaning Services VOF;1;;;;1
Loos van Vliet;;;;1;1
Loots Grondwatertechniek;;;;1;1
Löwik Daktechniek B.V.;3;;;;3
Lubron Waterbehandeling;1;;;;1
Luchthaven Maastricht;;;;1;1
Luchttechnisch revisie Bureau van Elewout;2;;;;2
Lykele Projectinrichting;4;;;;4
M. van de Avert Handelsonderne;1;;;;1
M.P. Hofmeijer;1;;;;1
M2 Multiservice;3;;;2;3
Maartensdijk Montage;1;;;;1
Maatschap de Weerd;;;;1;1
Maatschap Le Carreneuf;;;;4;4
Mabi Techniek;1;;;;1
Machinefabriek Rinsma;1;;;;1
MAK Installatiebedrijf;1;;;;1
Manutan (vh Overtoom International);1;;;;1
Marcel Oosten Hekwerk;1;;;;1
Marechal Electric;1;;;2;2
Marees Installatie en techniek;2;;;1;2
Mark Glas Service;2;;;;2
Mark Klimaattechniek;2;;;;2
Marsoft Telecommunicatie;3;;;;3
Mastermate Brinkman;3;;;1;3
Matex Deuren;1;;;;1
Mato Verlichting;1;;;;1
Matter Ongediertebestrijding;1;;;;1
Media & Internet;1;;;;1
Medusa Explorations;;;;2;2
Meer vd Corrosie Consultancy;1;;;;1
Meetbureau Bijleveld;1;;;;1
Meeusen & Zn BV AWM Bouwbedrij;4;;;;4
Mega Technics;1;;;;1
Megens Elektro;1;;;;1
Mennens;2;;;;2
Menoor;1;;;;1
Mensvoort van Veghel BV;;;;3;3
Merin (vh Uni-Invest);;;;2;2
Mertens Bouwbedrijf;;;;7;7
Metis Notarissen;;;;5;5
MGB Beveiligingen;1;;;;1
Midap Leidingsystemen;2;;;;2
