Leveranciers;3000 - Uitbesteden overig;3110 - Uitbesteden organisatie- en formatieadviesopdrachten;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3140 - Uitbesteden juridisch adviesopdrachten;3160 - Uitbesteden accountancy en financien;3- uitbesteden
Casa Caroni den Haag Restaurant;1;;;;;1
Center For People And Buildings;;2;;;;2
Centric (incl. Qualityhouse);3;;2;;;4
CGI Group (incl. Logica CMG);;;3;;;3
Chasse Theater;1;;;;;1
Christian Restaurant;1;;;;;1
Cinnamon Interactive;;;2;;;2
Circumference;;;1;;;1
CitySense (vh Jacobi Theater);1;;;;;1
Cloos Eetcafé;1;;;;;1
Colliers International;;;1;;;1
Comparex (incl. PC-Ware);1;;6;;;6
Competence Care;;;1;;;1
Computest Services;;;4;;;4
CON-c BV;;;4;;;4
Conclusion;;;3;;;3
Conquaestor Management Consulting;2;;;;;2
Cotica HRM advies;;;1;;;1
Cushman & Wakefield;;;2;;;2
De Baak incl. Seaside, Administratie, Hospitality, Management Centrum;;2;;;;2
De Basiliek Restaurant;1;;;;;1
De Fabrique;;;2;;;2
De Lei Interim;;4;;;;4
De Processpecialisten;2;;;;;2
De Rijtuigenloods;2;;;;;2
De Tuinkamer;1;;;;;1
DEBIMSPECIALIST;2;;;;;2
Déblé Venlo Relatiegeschenken;1;;;;;1
DeGraaf ICT;;2;;;;2
Den Haag Evenementen;2;;;;;2
Den Haag Nieuw Centrum Stichting;;;;1;;1
Denkstof;;;2;;;2
DEP Works;;3;;;;3
Detron (incl. Kender Thijssen, Finntax, Issue Information Technology, KT);;;4;;;4
Dimension Data Nederland;;;1;;;1
Dotweb Systems  B.V.;;;2;;;2
DTC De Tombe Consultancy;;;1;;;1
Dtz Zadelhoff;;;4;;;4
Dunea (Duinwaterbedrijf Zuid-Holland);;;1;;;1
Dus Architects;;;2;;;2
Dutch Green Building Council;1;;;;;1
Dyna Vision;;;2;;;2
Ebbinge & Company;;;1;;;1
Ecorys Nederland (incl. Ecorys-Kolpron);;1;2;;;2
Eden Hotels;;1;;;;1
EHM Hotels (incl. Apollo Hotels & Resorts);1;;;;;1
Ehrm Vision;;;1;;;1
Elburg Wasserij B.V.;1;;;;;1
Elektroraad;1;;;;;1
Emergo;;;1;;;1
EQLIBRE;;;1;;;1
ER (Piktsjers);1;;;;;1
Ernst & Young;;;;;2;2
ESBI;;;1;;;1
Eurs;;2;;;;2
Fakton (Beurs-WTC);;;3;;;3
FCTB;;;2;;;2
Filosoof;1;;;;;1
Flora Holland;1;;;;;1
FNV Formaat;1;;;;;1
Focus Advisering Training Coaching, Conferences;;;1;;;1
Fouquet Restaurant (De Bruijn - Kamphuis);1;;;;;1
Frame;;;1;;;1
Frisse Blikken ondernemen met Talent;;;2;;;2
Fujitsu Technology Solutions (vh Fujitsu Siemens);;;5;;;5
Gartner;;;4;;;4
Geonovum;2;;;;;2
GITP (incl. Pi Company);;;1;;;1
Gooiker T&C;1;;;;;1
Gradus Groep;;;1;;;1
Grenzeloos Coaching & Training;;;1;;;1
Groenewegen & Partners;;1;;;;1
Grontmij;;;1;;;1
Het Gevangenismuseum;1;;;;;1
Het Kookplein Kookschool en Lunchrestaurant;1;;;;;1
Het Ontwikkelaarsgilde;1;;;;;1
Het Scheepvaartmuseum Enterprise Stichting;1;;;;;1
Holland Branding Group;;1;;;;1
Holland Consulting Group;;;2;;;2
Hoogland Consulting;;;1;;;1
Hotelschool The Hague;;2;;;;2
HRS Bedrijfsmakelaars;;;2;;;2
IBM (incl. Cognos);;;2;;;2
IBR Instituut Voor Bouwrecht;1;;;;;1
Icop;2;;;;;2
ID Ware International;;;7;;;7
Igluu Workspace For Professionals;1;;;;;1
I-Mind;;;3;;;3
Imprima (Nederland);;;1;;;1
Independent Recruitment;;2;;;;2
Infrasoil;;;3;;;3
Insquare Informatie & Innovatie;;;1;;;1
Intelligence Group;;;1;;;1
Interpulse;;;1;;;1
Intexso Adviesbureau, Facility Beheer;;;1;;;1
IOB Ingenieursburo;;2;;;;2
IOD International association for Organisational and social Development;1;;;;;1
Iovio;;;1;;;1
Isiz;1;;;;;1
IT Staffing Nederland (vh IT Staffing Paxton, en incl. Info Motion, Centor);;;5;;;5
Itera;;;1;;;1
Itq Celerior;;;1;;;1
Jaarbeurs Utrecht;1;;;;;1
Jones Lang Lasalle;1;;1;;;1
Kahuna Network Solutions;;;1;;;1
Keek Trading & Advies;;;1;;;1
Keper Infra Advies;;;3;;;3
Koenders & Partners Adviseurs en Procesmanagers;;;1;;;1
Komfort Exploitatie Maatschappij;1;;;;;1
Koninklijke Schouwburg;1;;;;;1
Kottman & Co;;1;;;;1
KPMG;;;1;;;1
KPN (incl. Getronics, PTT Telecom);;;5;;;5
KPN Lokale Overheid (vh Gemnet);;;1;;1;1
Kranendonk Financieel Adviesbureau;;1;;;;1
Kubus Architectural Solutions;2;;;;;2
Kuijs Reinder Kakes;;1;;;;1
Kwaliteitsbureau NVAB;;;1;;;1
Lagerweij & Partners;;;2;;;2
Lago Coaching;;;1;;;1
Lagroup Leisure & Arts Consulting;;;2;;;2
LBP Lichtveld Buis & Partners;;;1;;;1
Le Moulin Fou Restaurant;1;;;;;1
Leeuwendaal Advies;;;1;;;1
Lloyd's Register (incl. Cedeo);2;;;;;2
LOUISE VINKE CONSULTANCY AND COACHING;;;1;;;1
Lubbers Internet Oplossingen / Presenter;2;;;;;2
Lyreco Nederland (vh Ahrend Office Products);;;1;;;1
Maallust Bierbrouwerij;1;;;;;1
Management Drives Opleidingen;1;;;;;1
Maximum Employment Marketing And Communications;;;4;;;4
Mees Ruimte & Milieu;;;2;;;2
Metavast;;;1;;;1
MIDI Projectmanagement Support;;;1;;;1
MMM Interactieve Communicatie;;;1;;;1
MOB Consultancy;;;1;;;1
More Balls Than Most;1;;;;;1
MROTTIER ADVIES EN ONTWIKKELING;;;1;;;1
Multi Vlaai;1;;;;;1
Multicopy (incl. Andre Cossee);;;1;;;1
Museumkwartier;1;;;;;1
MVGM Bedrijfshuisvesting, Vastgoedmanagement;;;1;;;1
MyBrand;;;2;;;2
Nadorp Makelaars;;;1;;;1
Natuurlijk in je kracht;;;1;;;1
Neo-Mundo;;1;;;;1
New Babylon Meeting Center;1;;;;;1
NGNB Advocaten;;;1;;;1
Nijmeijer & Mocking Milieu-advies;;;1;;;1
NOLLEN KNEEPKENS ADR MEDIATION;;;1;;;1
Nysingh Communicatieadvies;1;;;;;1
OBT - Opmeer/De Bink/Tds - Boekdruk;1;;;;;1
Odin Groep;;2;;;;2
OGD Software;;;2;;;2
Oker Restaurant;1;;;;;1
One Shoe;;;4;;;4
Ordina (incl. Be Value, Clockwork);;;4;;;4
Palmbout Urban Landscapes;;;2;;;2
Pantem / Leopold Cafe-Restaurant;1;;;;;1
Pasteur Reizen;1;;;;;1
PBLQ (HEC, ROI, Zenc);2;2;3;;;4
Pels Rijcken & Droogleever Fortuijn (incl. De Landsadvocaat);2;;3;4;;4
Perfect View;;;2;;;2
Personal Talent;;;1;;;1
Personeelsvereniging Ministerie van Financiën;1;;;;;1
Phyleon;;;1;;;1
Pink Elephant (vh Nobel);;;2;;;2
Pinkcube;1;;;;;1
PMO Institute;;;1;;;1
Poentjak Indonesisch Restaurant;1;;;;;1
POSG Professionals, P&O Services Professionals, P&O Mobiliteit;;;4;;;4
PQR;;;4;;;4
PRiMAN Staffing Solutions;;;1;;;1
Procos;2;;;;;2
Protinus It;1;;4;;;4
Public Partners;;2;1;;;2
PWN Waterleidingbedrijf Noord-Holland;;;1;;;1
Quality Support (incl. Klantcontact monitor);;;1;;;1
Ramkema Makelaardij;;;1;;;1
Rave-cruitment;;;2;;;2
Reales Planontwikkeling bv;;;2;;;2
Reclamematerialen.com;1;;;;;1
Regardz (incl. Iassociate);1;;;;;1
Regas;;;3;;;3
Reijnen en Zn Bakkerij;1;;;;;1
Ridge Management & Consultancy;;2;;;;2
Rigo Research en Advies;;;2;;;2
Roamler;2;;;;;2
Root B.V.;3;;;;;3
Royal Haskoning DHV (incl. Koninklijke Haskoning, Royal Haskoning, Corsmit, DHV);;;2;;;2
RPS Advies- en Ingenieursbureau (incl. Analyse, Bcc);;;1;;;1
Russell en Bakker;;;2;;;2
Sabel Communicatie;;;5;;;5
SBRCURnet Stg Bouwresearch;4;;;;;4
Schimmelpenninckhuys Hotel Restaurant;1;;;;;1
Scholten Awater & Partners;;;6;;;6
Schoonhoven Bedrijfsmakelaardij;;;1;;;1
Scil For Your Skills;;;1;;;1
Semmtech;1;;;;;1
Shofukan.com;;;1;;;1
Significant;;1;;;;1
Sinke Komejan Bedrijfsmakelaars;;;2;;;2
Smart Building Benelus Chapter Vereniging;1;;;;;1
Sogeti Nederland;;;7;;;7
Speechless;;;2;;;2
Spekkink Consultancy & Research;3;;;;;3
Sprengers Advocaten (vh Advokatenkollektief);;;;1;;1
Stg HBO Haaglanden & Rijnstreek Haagse Hogeschool;1;;;;;1
Stg Koninklijk Paleis;1;;;;;1
Stichting Vernieuwing Bouw;4;;;;;4
Sting Advies Rond Vastgoed;2;;;;;2
Studio 3005;1;;;;;1
Studio Oblique;;2;;;;2
Susanne de Jong Psycholoog;;;1;;;1
TDN Taxaties;;;1;;;1
Teka Groep;1;;;;;1
TEKSTBEELD  DIELEMAN;;;1;;;1
Tele2 (incl. Versatel, BBeyond);;;2;;;2
Telindus (incl. ISIT, 2-Store);;;4;;;4
Tenman;;;3;;;3
The Ascent;;;2;;;2
The Resources Factory;;;2;;;2
TNO;;;2;;;2
Tools4Ever;;;1;;;1
Total Identity, Total Public;2;;;;;2
TranQ;;;1;;;1
Trends Telematics;;;1;;;1
Triple P Nederland;;;2;;;2
Uneto VNI;;1;;;;1
Unique Nederland (incl. Content Uitzendbureau, Technicum);;;5;;;5
United Restart;;;1;;;1
United Talent;;;1;;;1
Unzip Holding;;3;;;;3
URA;;3;;;;3
Van Brummen Consultancy;;2;;;;2
Van Luyt Taxateurs;;;1;;;1
Van Rossum B.V.;;1;;;;1
Van Zessen Consultancy;;1;;;;1
VBTM Advocaten;1;;;;;1
VCD Groep (incl. Automatisering/Business Inteligence/Css);;;3;;;3
VCK Groep, Travel & Logistics;1;;;;;1
Veilignet;;;1;;;1
Veraart Interim Management & advies;;;1;;;1
Vijverberg Juristen (incl. Detachering);2;;;;;2
VKA Verdonck Klooster & Associates;;2;3;;;3
Vodafone (incl. Libertel);;;7;;;7
Voshoving bedrijfsmakelaars;;;1;;;1
Wareco Ingenieurs;;;1;;;1
WEBFACTOR;;;1;;;1
Winnock;;;1;;;1
Witteveen+Bos Raadgevende Ingenieurs;;;2;;;2
XDialogue BV;;2;;;;2
ZIGT Media Management;;;4;;;4
Eindtotaal;7;6;9;4;3;9
