Leveranciers;4110 - Consumptieve diensten;4120 - Risicobeheersen;4130 - Schoonmaak;4210 - Post-, koeriers- en transportdiensten;4310 - Documentmanagement;4410 - Afvalzorgmanagement;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;4710 - Bankdiensten;4-Diensten en middelen
Donker Holding (incl. Donkergroen);;;;;;;1;;;1
Douwe Egberts;;;;;;2;;;;2
Doxis;;;;;2;;;;;2
Drager Safety & Medical;;1;;;;;;;;1
Drentea Kantoormeubelen;;;;;;;1;1;;1
Droog;;;;;;;1;;;1
Drukkerij De Globe;;;;;;;;1;;1
Drukkerij Snep BV;;;;;1;;;;;1
DSL-Reclame;;;;;1;;1;;;1
Duikcentrum Amersfoort Noord;;;;;;;;1;;1
Ediction;;;;;1;;;;;1
Educom;;;;;;;;1;;1
Eelco Beukers tekst en productie;;;;;;;;1;;1
Eet Licht;1;;;;;;;;;1
Effectivents;;;;;1;;;;;1
EHBO;;1;;;;;;;;1
Eijsink Afrekensystemen;;;;;;;;1;;1
Engelsman Hoveniers;;;;;;;1;;;1
Enveloppenland.nl;;;;;;;;1;;1
EOM Eyes On Media;;;;;;;1;;;1
Equipe Quality Products (incl. Health2Work);;;;;;;;1;;1
Ergonomique;;;;;;;;1;;1
Erik Bouman Tentoonstellingen;;;;;;;2;;;2
Eriks;;;;;;;;1;;1
ESV Sign & Safety Products;;1;;;;;;;;1
Eten Bij De Vereniging;1;;;;;;;;;1
Europcar Autoverhuur (Sterverhuur);;;;;;;1;;;1
Excellent Ongediertebestrijding;;;1;;;;;;;1
Excelsior Drukkerij;;;;1;;;;;;1
Expo Display Service;;;;;;;;1;;1
F. Koppen;;;;;;;;2;;2
Facilicom Facility Solutions;;;2;;;;;;;2
Fair Groep;;1;;;;;;;;1
Falck Group;;1;;;;;;;;1
Fashion Talk;;;;;;;1;;;1
First Service Business Events;1;;;;;;;;;1
Flanderijn en van Eck Gerechtsdeurwaarders;;;;;;;;1;;1
Flex & Co;;;;;;;1;;;1
Foto Wiegers;;;;;;;;1;;1
Frigo Nieuw-Vennep BV;;;;;;;;1;;1
Funmaxx watersports;;;;;;;;1;;1
Gheestige Willem;1;;;;;;;;;1
Gijsbrecht;1;;;;;;;;;1
Gispen International;;;;;;;4;;;4
Glashandel Wybenga;;;;;;;;1;;1
Goerp;;;;;1;;;;;1
Gorman-Rupp/Wavo Pompen;;;;;;;;1;;1
Gorree Agenturen;;;;;;;;1;;1
Groene Team;;;1;;;;;;;1
Groeneveld Catering;1;;;;;;;;;1
Groeneveld Sign Systems;;;;1;;;;;;1
H.J. van Oort Transport Eck en Wiel;;;;;;1;;;;1
Hafo Spec Zaak voor Foto en Video;;;;;;;;1;;1
Hans Roggen Fotografie;;;;;1;;;;;1
Harjon;;;;;;;;1;;1
Hartig;1;;;;;;;;;1
Heijmans (incl. NMM, Burgers Ergon, Breijn, Utiliteitsbouw, Civiel, ...);;1;;;;;;;;1
Hein Post Wijn & Gastronomie;;;;;1;;;;;1
Hemrica;1;;;;;;;;;1
Het Hanze Huis;;;;;1;;;;;1
Het Kookplein Kookschool en Lunchrestaurant;1;;;;;;;;;1
Het Oranje Kruis;;1;;;;;;;;1
Het Stempel No. 539;;;;;;;;1;;1
Hey Hey de Haas;;;;;2;;;;;2
High Security International;;1;;;;;;;;1
HMS Holland Mounting Systems;;;;;;;;1;;1
Hobeka;1;;;;;;;;;1
Hoesmania;;;;;;;;1;;1
Holland Etiketten Service;;;;;1;;;;;1
Holland Service Koeriers;;;;1;;;;;;1
Hollandse Hoogte;;;;;;;;1;;1
Hoogduin Papierrestauratoren;;;;;3;;;;;3
Hotel Contact/Worldmeetings;1;1;;;;;;;;1
Hotel De Ville;1;;;;;;;;;1
Hotel-Café-Restaurant De Stadsherberg;1;;;;;;;;;1
Houtschild Boekhandel;;;;;;;;1;;1
HPM Videoproductie;;;;;2;;;;;2
Hulskamp Audiovisueel;;;;;;;1;;;1
HVRB;;1;;;;;;;;1
Id&Dn;;;;;;;;1;;1
Ifactors (incl. X Alt System, Ifactors Pro);;;;;;;;1;;1
Ilco Kemmere Fotografie;;;;;1;;;;;1
Imming Logistics;;;;;;;1;;;1
Internet New Business Concepts (Vergaderruimte-Utrecht.nl);1;;;;;;;;;1
Interscience;;;;;;;;1;;1
Intimus (vh Asterion, Pitney Bowes);;;;1;;;;4;;4
IPEC;;1;;;;;;;;1
IQ Kunstuitleen;;;;;;;1;;;1
ISS Holding;;;2;;;;;;;2
Jaarbeurs Utrecht;1;;;;;;;;;1
Jansen-Wijsmuller & Beuns;;;;;;;;2;;2
Jaski Automaten;1;;;;;;;;;1
JAVO Bedrijfshulpverlening;;1;;;;;;;;1
Jeol;;;;;;;;1;;1
Joh. Enschedé Stamps;;;;;2;;;;;2
Jonkheer Sound & Light B.V.;;;;;1;;;;;1
Jos Ten Berg Handelsmaatschappij;1;;;;;;;;;1
Kaars Koffie B.V.;1;;;;;;2;;;2
Kardex Systemen;;;;;;;1;1;;1
Kentie Afterprint;;;;;;;;1;;1
Klusservice Utrecht;;;;;;;;1;;1
Kobatt Benelux;;;;;;;;1;;1
Kodak Nederland;;;;;;;;1;;1
KoerierCompany;;;;1;;;;;;1
Koffiecentrale;1;;;;;;;;;1
KommaGo (incl. Netwekshop.nl, Portofoon.nl, Headset.nl, Vergadertelefonie.nl, Routershop.nl, Wifishop.nl);;1;;;;;;;;1
Koninklijke Ahrend (incl. Ahrend Inrichtingen);;;;;;;1;1;;1
Koninklijke Fabr. Posthumus (PS Groep);;;;;;;;1;;1
Koninklijke van der Most;;;;2;2;;;5;;5
Kop & Schouders;;;;;1;;;;;1
Kortmann Art Packers & Shippers;;;;1;;;1;;;1
KPN (incl. Getronics, PTT Telecom);;;;;;1;;;;1
Kristal Schoon Schoonmaakbedrijf;;;2;;;;;;;2
Kristie van Noort;;;;;;;1;;;1
Laarhoven Design;;;;;1;;;1;;1
Label Aleph;;;;;1;;;;;1
Labshop Gerrit Van Rijn;;;;;;;;1;;1
Lasaulec;;;;;;;;1;;1
Le Bouchon;1;;;;;;;;;1
Le Passage;1;;;;;;;;;1
Lebowski Grand Café (vh Lofen);1;;;;;;;;;1
Leitz Service;;;;;;;;1;;1
Linde Gas (incl. Cryoservice en Therapeutics);;;;;;;1;;;1
Link Art Company;;;;;;;1;;;1
LNR Global Com;;;;;;;;1;;1
L'Ortye Transport en Milieu;;;;;;;;1;;1
LSV GBKN Landelijk Samenwerkingsverband;;;;;;;;1;;1
Lutz Meubelstoffeerderij;;;;;;;2;;;2
Lyreco Nederland (vh Ahrend Office Products);1;;;;;;;5;;5
M EX T Netherlands;;1;;;;;;;;1
M.C. Design;;;;;;;;1;;1
Maas Internationaal - Koffieautomaten;3;;;;;;;;;3
Madurodam;1;;;;;;;;;1
Manutan (vh Overtoom International);;;;;;;1;2;;2
Margaret Wines;1;;;;;;;;;1
Marikesj;;;;;;;1;;;1
Marko;;;;;;;;1;;1
Masterkey-Plus;;;;;;1;;;;1
Matsu Consultancy;;;;1;;;;;;1
MCI Group;;;;;1;;;;;1
Medity;;1;;;;;;;;1
Mertens;;;;;;;;1;;1
Mertens Frames;;;;;;;1;;;1
Metaal Techniek Apeldoorn;;;;;;;;1;;1
Metafors;;;;;;;;1;;1
Metalsub;;;;;;;;1;;1
Micro Format Systems;;;;;4;;;;;4
Mikropakket Nederland;;;;4;;;;;;4
Minigrip;;;;;;;;1;;1
Moduli Print;;;;;1;;;5;;5
Monique Groenewegen EHBO instructie;;1;;;;;;;;1
Moonen Packaging;2;;;;;;;;;2
Moorman Karton Weesp;;;;;;;;1;;1
Mors Smitt B.V.;;;;;;;;1;;1
Multicopy (incl. Andre Cossee);;;;;;;;1;;1
N200.Com;;;;;1;;;;;1
Nationale Beeldbank;;;;;1;;;;;1
Nederhof gladheidbestrijding;;;1;;;;;;;1
Nederrijn Schoonmaak B.V.;;;;;;1;;;;1
Neopost (incl. Neopost Finance);;;;;;;1;1;;1
Neuland;;;;;1;;;;;1
New Babylon Meeting Center;1;;;;;;;;;1
NFGD Audiovisuele Technieken;;;;1;;;;1;;1
Nonhebel Entreematten;;;;;;;;1;;1
Notuleerservice Nederland;;;;;1;;;;;1
NRG Nuclear Research And Consultancy Group - Petten, Individual Monitoring, Radiation&Environment;;;;;;;;1;;1
Nsecure;;3;;;;;;;;3
Oberon;;;;1;;;;;;1
Oefencentrum Noord;;1;;;;;;;;1
Ogone (incl. Ingenico);;;;;;;;1;;1
Olivier Belgisch Bier Café;1;;;;;;;;;1
Omroep Muziek Stg;1;;;;;;;;;1
Ooxo.nl VOF;;;;;;;;1;;1
Opera della Casa;;;;;1;;;;;1
Oranje van Loon Grafisch Bedrijf;;;;1;;;;1;;1
Origin ART;;;;;;;1;;;1
OSP Office Service Partners (incl. Du Monde Food, Catering);1;;;;;;;;;1
Oud-Katholieke Kerk van Nederland;1;;;;;;;;;1
Paperlinx (v.h. Buhrmannubbens, incl. Living Office Paper Services);;;;;;;;2;;2
Pelican Rouge (vh Autobar Holland, Cafe Bar);3;1;;;;;;;;3
PenStore;;;;;;;;1;;1
Pictoright;;;;;;;;1;;1
Plas & Bossinade Advocaten;;;;;;1;;;;1
Plasman Banketbakkerij;1;;;;;;;;;1
Poentjak Indonesisch Restaurant;1;;;;;;;;;1
Pol.nl Wegbebakening, Bewegwijzering, Politietechniek;;;;;1;;;;;1
Poly Service;;;;;;;;1;;1
Poster Frame Fix;;;;;;;;1;;1
Postillion Hotels;1;;;;;;;;;1
PostNL (incl. TNT Post);;;;2;;;;1;;2
Preservation Technologies;;;;;3;;;;;3
Print Productions Scheveningen;;;;;1;;;;;1
Project-Team Energy (vh BL Regeltechniek);;1;;;;;;;;1
Promofit;;;;;1;;;;;1
PromoProfs;;;;;1;;;1;;1
Promotex;;;;;1;;;;;1
Protinus It;;;;;1;;1;4;;4
PWG Bedrijfsveilige Kleding;;1;;;;;;;;1
Quantes;;;;2;1;;;;;2
Quartier du Port Hotel;;;;;1;;;;;1
Recreatie Zuidholland;;;;;;;;1;;1
Reisaco;;;;;;;;1;;1
Reisswolf;;;;;1;2;;;;2
Rentokil Initial (incl. Initial Hokatex, Rentokil Hokatex, Ambius, Westplant Gree Facility);;;1;;;1;1;;;2
Reprorecht;;;;1;;;;;;1
Richards KUNSTinLIJSTEN.nl;;;;;;;1;;;1
Rick van Gaalen;;;;;;;1;;;1
Ricoh Groep (incl. Nashuatec, NRG);;1;;1;;;;1;;1
Riskcontrol;;1;;;;;;;;1
Riso Music;;;;;1;;;;;1
Roele de Vries;;;;;;1;;;;1
Roem Speelkaarten;;;;;1;;;;;1
Rohde & Grahl (incl. Working Well);;;;;;;1;;;1
Römer Drukkerij;;;;2;;;;1;;2
Ros Kantoorvakhandel;;;;;;;;1;;1
Rotie;1;;;;;;;;;1
Rova Bedrijven;;;1;;;1;1;1;;2
Ruys Efficiency in Zakenpost, Handelsvereniging;;;;;;;;2;;2
Safety Center Holland;;1;;;;;;;;1
SBK Facilitair Bedrijf (Stichting Beeldende Kunst);;;;;;;1;;;1
Scanserv;;;;;1;;;;;1
Schaik W Van Slijterij Wijnhandel;1;;;;;;;;;1
Scheeres (incl. Lockerschop);;;;;;;5;;;5
Scherpenzeel Utrecht;;;;;;1;;;;1
Schokland;;;;;;;;1;;1
Schoonenberg Hoorcomfort;;;;;;;;1;;1
SDU - Service Centrum Uitgevers;;;;;;;;1;;1
Secumar Benelux;;;;;;;;1;;1
Securitas (incl. Data en Archief, Telematics, Direct, Alert Teleservices, Meldkamer MG, MPL Beveiligingsdiensten);1;5;;;;;;;;5
Senso Gietvloeren;;;1;;;;;;;1
Service Point Nederland;;;;;;;;2;;2
Siemens Nederland;;1;;;;;;;;1
Sigma-Aldrich;;;;;;;;1;;1
Sita;;;1;;;3;;;;3
Skippi Sneltransport;;;;1;;;;;;1
SKVR (Kunst van Rotterdammers)Theater & Schrijvers;1;;;;;;;;;1
SMC Security Monitoring Centre;;1;;;;;;;;1
Sneeuwwit;;;1;;;;;;;1
Sodexo;4;;;;;;;;;4
Solfabel;;;;;;;1;;;1
Spar New Babylon;1;;;;;;;;;1
Speed Print;;;;1;;;;;;1
Spyder V.O.F.;;;;1;;;;;;1
Stadswerk 072 N.V.;;;;;;1;;;;1
Staples (incl. Advantage, Corporate Express);1;;;;;;;1;;1
Stg First Aid;;1;;;;;;;;1
Stichting GBKN;;;;;;;;1;;1
Stichting Hiphophuis Holland;1;;;;;;;;;1
Stichting Maatschappij van Weldadig;1;;;;;;;;;1
Stichting Maria Austria Instituut;;;;;;;;1;;1
Stichting Peerd;;;;;;;1;;;1
Stomerij Klement;;;1;;;;;;;1
Stroes Info;;;;1;;;;;;1
Struers Nederland;;;;;;;;1;;1
Studio Buitenhof;;;;;2;;;;;2
Studio Harm Rensink;;;;;;;1;;;1
Studio Rene Siebum;;;;;;;1;;;1
Sue McDonnnell Translations;;;;;;;;1;;1
Synergy Health (incl. Lips Gezondheidszorg, Textielservice);;;;;;;;1;;1
Taalcentrum-Vu;;;;;;;;1;;1
TBI Techniek (incl. Croon Electrotechniek, Wolter & Dros, CWF);;;;;;;;1;;1
Team Reacon;;1;;;;;1;;;1
Technische Unie;;;;;;;;1;;1
Teygeler;;;;;;;;1;;1
Thermo Fisher Scientific (incl. Fisher Emergo, Fermentas);;;;;;;;1;;1
Thole Toegangssystemen;;;;;;;;1;;1
THT Elektrotechniek;;;;;;;;1;;1
TOB media (Tonnaer Bykorf);;;;;2;;;2;;2
Top Movers;;;;2;;;;;;2
Totality Informatisering;;;;3;2;;;;;3
Trema;;1;;;;;;;;1
Trigion Beveiliging (incl. Csu Security, PreNed, Falck Security, Teleguard);;5;;;;;;;;5
Tripiti Drukkerij;;;;1;;;;;;1
Tyco Integrated Fire & Security (incl. ADT Fire & Security);;;;;;;;1;;1
uNiek-Design;;;;;1;;;1;;1
UninU (incl. Uniglas, HerstelDirect);;;1;;;;;;;1
University Press Amsterdam;;;;1;1;;;;;1
Van den Boog Atelier;;;;;;;1;;;1
Van der Vlugt Glashandel;;;;;;;;1;;1
Van der Zwans d'Or Catering;1;;;;;;;;;1
Van Deventer Drukkerij;;;;1;;;;1;;1
Van Gansewinkel;1;;1;;;1;1;;;2
Van Kralingen (Hizkia);;;;;;;1;;;1
Van Wieren Special;;;;;;;;1;;1
Van Zoetendaal;;;;;;;1;;;1
Vandeputte Medical;;1;;;;;;;;1
VBT Groep;;;;;;;;1;;1
Veha Barneveld;;;;1;;;;;;1
Vendor;;;1;;;;;;;1
Verkerk Bakkerij;1;;;;;;;;;1
Vermaat Leisure, Horeca, Service;1;;;;;;;;;1
Vervoer centrale arnhem BV;;;;1;;;;;;1
Villa Heideheuvel;1;;;;;;;;;1
Vink Lisse;;;;;;;1;1;;1
Virol;;;;;;1;;;;1
Vitam Catering;1;;;;;;;;;1
Vormplus;;;;;1;;;;;1
Vos en Setz;;;;;1;;;;;1
VVV Nederland;;;;;;;;1;;1
VWR International (incl. Omnilabo);;;;;;;;1;;1
Warung Adinda Indonesisch Restaurant;1;;;;;;;;;1
Waters Chromatography;;;;;;;;1;;1
Watertaxi Rotterdam;;;;;1;;;;;1
Webo Promotion;;;;;2;;;;;2
Wereldwinkel;;;;;1;;;;;1
Wiertsema en Partners;;;;;;;;1;;1
WMF;1;;;;;;;;;1
XP Koeriers;;;;1;;;;;;1
Zaamen;1;;;;;;;;;1
Zalsman;;;;1;2;;;2;;3
Zazou;;;;;;;1;;;1
Zie Displays;;;;;;;;1;;1
Ziggo (vh Casema);;;;;;;;1;;1
Zilvoldhf;1;;;;;;;;;1
Eindtotaal;6;6;7;7;6;5;6;7;1;8
