Handelsnaam anonimiseerd;1000 - Personele exploitatie overig;1110 - Verhuiskosten personeel binnen- en buitenland;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1160 - Personeelsevenementen, bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis & verblijfskosten;Eindtotaal
De heren van de Rechter B.V.;;;;1;;;1;;;1
De Hofnar Eten & Drinken B.V.;;;;1;;;;;;1
De Horeca Academie B.V.;;;;;;1;;;;1
De Horeca Academie Zakelijk B.V.;;;;;1;;;;;1
De Japanse Watertuin B.V.;;;;1;;;;;;1
De Kampanje;;;;;;1;;;;1
De Koning Organisat.-Creativit./Ontwikk. B.V.;;;;;1;;;;;1
De Kookfabriek Utrecht B.V.;;;;;;;1;;;1
De Koppelen;;;;1;;;;;;1
De Korenbeurs;;;;;;;1;;;1
De Laak B.V.;;;;1;;;;;;1
De Lachende Koe II B.V.;;;;1;;;1;;;1
De Lange Muur B.V.;;;;;;;1;;;1
De Levensboom;;;;;;1;;;;1
De Lisdodde;;;;1;;;;;;1
De Mönnink;;;;;;1;;;;1
De Nationale Taptoe;;;;;;1;;;1;1
De Nederlandse Fotovakschool;;;;;;2;;;;2
De Nieuwe Yogaschool B.V.;;;;;;2;;;;2
De Nonnen in Vught;;;;;1;2;;;;2
De Onderoff.ver. van 11 Afd. Rijdende Artill.;;;;1;;;;;;1
De Onderwijsspecialisten;;;2;;;;;;;2
de Persgroep Nederland B.V.;;;;1;;;1;;;1
De Positioneerders;;;;;;1;;;;1
DE REE archiefsystemen;;;;;;1;;;;1
De Reuselhoeve B.V.;;;1;;;;;;;1
De Rotterdam B.V.;;;;;;;1;;;1
De Ruggestee B.V.;1;;;;;;;;;1
De Rustende Jager;;;;;;;1;;;1
De Sinjoor;;;;1;;;;;;1
De Smaakfabriek;;;;;;;1;;;1
De Spits Horeca;;;;1;;;;;;1
De Spreeuwel B.V.;;;;;;;2;;;2
De Stijlacademie voor kleur & kleding;;;;;;1;;;;1
De Stok Holding B.V.;;;;;;;1;;;1
De Tuinderij;;;;1;;;;;;1
De Veldkeuken;;;;;;;1;;;1
De Veldmuis;;;;;;;1;;;1
De Winkel van Sinkel B.V.;;;;;;;1;;;1
De Witte Hoeve B.V.;;;;;;;1;;;1
De Witte Leeuw Breda B.V.;;;;;;1;1;;;1
De Witte Vosch B.V.;1;;;;;;;;;1
De Wolf Maritime Safety;;;;;;1;;;;1
Deal It;;;1;1;;;;;;1
Debatrix;;;;;;1;;;;1
December Productions;;;;;;;1;;;1
Decisco B.V.;;;;;1;1;;;;2
Decora;;;;1;;;;;;1
Decora B.V.;;;;1;;;;;;1
Defabrique Evenementen B.V.;;;;;;;1;;;1
Déhora Consultancy Group B.V.;;;;;;3;;;;3
Dela Uitvaartverzorging B.V.;;;;2;;;;;;2
Delft Congress Support B.V.;;;;;;2;;;;2
Delftsch Studenten Corps;;;;;1;;;;;1
Deloitte Consulting B.V.;;;;;;1;;;;1
Delta International Promotioneel B.V.;1;;;2;1;1;2;;;3
Delta International Uniformuitrustingen B.V.;;;;2;;1;1;;;2
Delta Park Neeltje Jans B.V.;;;;;;;1;;;1
Delta-N B.V.;;;;;;2;;;;2
Den Besten Kerst- en Relatiegeschenken B.V.;;;;1;;;1;;;1
Den Bosch Evenementen B.V.;;;;;;;1;;;1
Den Breejen & Zn. Schilderwerken B.V.;;;;;;1;;;;1
Den Haag Centrum v. Strategische Studies B.V.;;;;;;1;1;;;2
Den Helder Airport C.V.;;;;;;;3;;;3
Denise van Geelen Coaching en Mediation B.V.;;;;;;1;;;;1
Denk Producties B.V.;;;;;;2;;;;2
Dental Union B.V.;;;1;;;;;;;1
Dermatologie St. Antonius Ziekenhuis;;;1;;;;;;;1
Destil B.V.;;;;1;;;;;;1
DETHON Horeca Exploitatie B.V.;;;;;;;1;;;1
Dialogue B.V.;;;;;;1;;;;1
Diamond Kimberlit B.V.;;;;;;1;;;;1
Dickens Horecabedrijven B.V.;;;;1;;1;1;;;2
Dieden Financiële Diensten B.V.;;;;;;;1;;;1
Diepeveen Herveld B.V.;;;;;;;1;;;1
Digidoc B.V.;;;;;;1;;;;1
Digital Investigation B.V.;;;;;;1;;;;1
Digitransfer B.V.;;;;1;1;;;;;1
Dijkgraaf-Rijsdorp Drukkerij B.V.;;;1;;;;;;;1
Dijkman Klompenatelier;;;;1;;;;;;1
Dijkstra-Vereenigde B.V.;;;1;;;;;;;1
DilemmaConsult;;;;;;1;;;;1
Dinee Cafe De Kempen;;;;1;;;1;;;1
Diner Thuis;;;;1;;;;;;1
DIOR Opleidingen;;;;;;4;;;;4
Dirksen Bedrijfsopleidingen B.V.;;;;;1;2;;;;2
Dirksen Opleidingen B.V.;;;;;;1;;;;1
Discountoffice.nl B.V.;;;;1;;;;;;1
DJA Europe;;;;;;;1;;;1
DJ-Matic B.V.;2;;;;;;;;;2
DNV GL Business Assurance;;;;;;3;;;;3
Docendo B.V.;;;;;;1;;;;1
Doenederland.nl B.V.;;;;;;;1;;;1
Dohsbase V.O.F.;;;1;;;;;;;1
DOK Centrum;;;;;;1;;;;1
Dokkumer Vlaggen Centrale B.V.;;;;1;;;;;;1
Dolfijn Watersport en Recreatie;;;;;;;1;;;1
Dolphin Maritime Netherlands B.V.;1;;;;;;1;;;1
Domein De Wijngaardsberg;;;;1;;;;;;1
Domstad Evenementen B.V.;;;;1;;;;;;1
Doornse Oranjerie;;;;;;;1;;;1
Douaneopleidingen Nederland B.V.;;;;;;1;;;;1
Double You Promotions B.V.;;;;;2;;;;;2
Dräger Nederland B.V.;;;;;;2;;;;2
DRAGT;;;1;1;;1;;;;1
Drentea Kantoormeubelen;;;1;;;;;;;1
Drinkland Noordwijk B.V.;;;;1;;;;;;1
DRM Network Training & Services B.V.;;;;;;3;;;;3
Drs. M. van Ekelenburg Organis.-Adviseur B.V.;;;;;;1;;;;1
Drukbedrijf.nl B.V.;;;;;2;;1;;;2
Drukkerij Haver;;;;;;;1;;;1
DS Internet Trading B.V.;;;1;;;;;;;1
DtC - Desire to Communicate;;;;;;1;;;;1
DTS Veiligheidsopleidingen;;;1;;;;;;;1
DTS Veiligheidsopleidingen B.V.;;;;;;1;;;;1
DuSigma Holding B.V.;;;;;2;;;;;2
Dutch Drone Group B.V.;;;;;1;;;;;1
Dutch Hunting Falcons;;;;;;;1;;;1
Dutch Leisure Concepts;;;;;;1;;;;1
Dutraco Gouda B.V.;;;1;;;;;;;1
E & R Opleidingen B.V.;;;1;;;;;;;1
E.P.M. Bolsius, huisarts;;;;;1;;;;;1
E.T.W. Breda B.V.;;;1;;;;;;;1
E3 ICT B.V.;;;;;;2;;;;2
Eastern Plaza;;;;1;;;;;;1
Easy Actors B.V.;;;;;;3;;;;3
EB Commerce B.V.;;;;;1;;;;;1
Ebbinge & Company;;;;;;1;;;;1
EBSCO Information Services B.V.;;;;;;2;;;;2
Ecabo Services;;;;;;1;;;;1
ECHOS Home Baan Zulu;1;;;1;;1;1;;;1
ECHOS Home De Landing;1;;;1;1;;1;;;1
ECHOS Home De Schakel;;;;1;;1;;;;1
ECHOS Home De Vrijheid;1;;;;;;;;;1
ECHOS Home Het Anker;;;;;;1;;;;1
ECHOS Home Het Baken;;;;1;;1;1;;;1
Econ. and Soc. Stud.;;;;;1;;;;;1
ECR Nederland B.V.;;;;;;1;;;;1
Edelburijn;;;;;;1;;;;1
Edin B.V.;;;;;;2;;;;2
Educap B.V.;;;;;1;;;;;1
Educasent;;;;;;1;;;;1
Educatieve Boekhandel Lisette B.V.;;;;;;1;;;;1
Edufax B.V.;;;;;;4;;;;4
Eduvision B.V.;;;;;1;1;;;;1
EDV Holding B.V.;1;;;;;;;;;1
Eerste Hulp Groep B.V.;;;1;;;;;;;1
Eet- en Feestruim/Partycentrum 'Pieter Poot';;;;1;;;;;;1
Eetcafé 'de Smaak van Afrika';;;;1;;;;;;1
Eetcafé De Verlenging;;;1;;;;;;;1
Eetcafé Het Wapen van Harskamp;;;;;;1;;;;1
Eetcafe Westgaag V.O.F.;;;;1;;;;;;1
Eethuis 'De Stoeterij';;;;1;;;1;;;1
Eethuys & Gelagkamer 't Zwaantje;;;;;;;1;;;1
Eet-Villa Van den Brink;;;;;;;1;;;1
ee-Xparc NL B.V.;;;;;;;1;;;1
EFE;;;1;;1;2;;;;2
Effectyf B.V.;;;1;;;;;;;1
EHM Hotel Breda B.V.;;;;;;1;;;;1
EHM Hotel Hulshorst de Beyaerd B.V.;;;;1;;;1;;;1
Eilers Handel Nederland B.V.;;;1;;;;1;;;1
Eindhoven Academy B.V.;;;;;;1;;;;1
Eindhovens Studenten Corps;;;;;1;;;;;1
Eisenkolb Consumables B.V.;;;;;;1;;;;1
EKOPLUS Bouwstoffen B.V.;;;;;;1;;;;1
Ekwadraat Advies B.V.;;;;;;1;;;;1
El Borracho B.V.;;;;;;;1;;;1
Electra Breda B.V.;;;;;;1;;;;1
Elektor International Media B.V.;;;;;;1;;;;1
Element Materials Technology Amsterdam B.V.;;;;;;1;;;;1
Elscolab B.V.;;;;;;1;;;;1
Eltingh-Haarhuis Tennisevents B.V.;;;1;1;;;;;;1
Elycio Talen;;;;;;2;;;;2
Elycio Talen B.V.;;;;;;6;;;;6
Elycio Vertalers B.V.;;;;;;1;;;;1
Emid;;;;;;1;;;;1
Encare Arbozorg B.V.;;;;;;1;;;;1
Entopic B.V.;;;;;;1;;;;1
EPR Compliance Solutions B.V.;;;;;2;;;;;2
EQIN;;;1;;;1;;;;2
Ergo2Work B.V.;;;1;;;;;;;1
Ernst & Young Accountants LLP;;;;;2;;;;;2
Esbe Sportprijzen;;;;;;;1;;;1
Escape Light B.V.;;;1;;;;;;;1
Escape Room;;;;1;;;1;;;1
Espeq Opleidingen B.V.;;;;;;1;;;;1
Esri Nederland;;;;;;4;;;;4
Eten & Zo Zoetermeer B.V.;;;;1;;;;;;1
Eur. Instit. voor Certified Public Controll.;;;;;;1;;;;1
Euro Events B.V.;;;;;;;1;;;1
Euro Promo Textiel;;;;;;1;;;;1
Eurocept B.V.;;;3;;;;;;;3
Eurofins Food Testing Netherlands B.V.;;;1;;;;;;;1
Euroforum;;;;;;3;;;;3
Euro-Gifts Exports B.V.;;;;1;;;1;;;1
Euromast Horeca B.V.;;;;;;;1;;;1
Europort Pharmaceuticals B.V.;;;2;;;;;;;2
EuroUSC-Benelux B.V.;;;1;;;;;;;1
Euser Speciaal Transport B.V.;;;;1;;;;;;1
Eva van der Fluit B.V.;;;;;;1;;;;1
EVC Centrum Nederland B.V.;;;2;;2;6;;;;6
Evenementen Team Holding B.V.;;;;;;1;;;;1
evenementenamersfoort;;;;;;;1;;;1
Evenementenbureau HET B.V.;;;;;;;2;;;2
Evenementenhal Gorinchem B.V.;2;;;;;;;;;2
Evenementenzorg De Toren B.V.;1;;1;;;;;;;1
Events Materials B.V.;;;;1;;;;;;1
EVO Fenedex B.V.;;;;;;4;;;;4
E-WISE Nederland B.V.;;;;;;4;;;;4
eX:plain;;;;;;4;;;;4
Executive Academy V.O.F.;;;;;;4;;;;4
Experience Island;;;1;;;;;;;1
ExpertCollege B.V.;;;;;;1;;;;1
Expertisecentrum Conflictmanagement;;;;;;1;;;;1
Exploitatie Maatschappij Komfort B.V.;;;;1;1;1;1;;;1
Exploitatie Maatschappij Lommerrijk B.V.;;;;;;;1;;;1
Exploitatiemaatschappij City Hotel Gouda B.V.;;;;;;1;;;;1
Exploitatiemaatschappij Fort Vechten B.V.;;;;;;;1;;;1
Exploitatiemij. Grand Hotel Karel V B.V.;;;;1;;;;;;1
EXPO 66 B.V.;;;;;;1;;;;1
Expo Houten B.V.;;;;;1;;1;;;1
Expofit B.V.;;;;;1;;;;;1
Exponential Expansion B.V.;;;;;;2;;;;2
EyeVinci B.V.;;;;;1;;;;;1
F & L Powerrental B.V.;;;;;;;1;;;1
F.A.F. Training;;;;;;1;;;;1
Fa. van der Doelen;;;1;;1;;;;;1
Fa. Veldwijk Sportprijzen en Relatiegesch.;;;1;;;;1;;;1
Faber Reklame;;;;1;;;;;;1
Fabius Opleidingen B.V.;;;1;;;1;;;;1
Faes Cases B.V.;;;;;;1;;;;1
Fagron Nederland B.V.;;;2;;;;;;;2
Falck B.V.;;;;;;4;;;;4
Falck Nutec B.V.;;;;;;1;;;;1
Familyland B.V.;;;;1;;;;;;1
Faralley Beheer en Management B.V.;;;;;;1;;;;1
Fast Lane Benelux B.V.;;;;;;2;;;;2
Fast Lane Nederland B.V.;;;;;;3;;;;3
Federatie van Nederlandse Ruitersportcentra;;;;;;1;;;;1
Femto Engineering Software B.V.;;;;;;1;;;;1
Festo B.V.;;;;;1;;;;;1
FHI, Federatie van Technologiebranches;;;;;1;;;;;1
FHV BBDO B.V. .;;;;;1;;;;;1
fijnelunch.nl;;;;1;;;;;;1
FilmService B.V.;;;;;;1;;;;1
Finally Communication B.V.;;;;;1;;;;;1
Finance Insight B.V.;;;;;;1;;;;1
Firebrand Training BeNeLux B.V.;;;;;;1;;;;1
Firma Harm Krale;;;;;1;;;;;1
Firma S.J. van Kalsbeek en Zonen;;;;;;1;;;;1
Fish & Meat B.V.;;;;;;;1;;;1
Fitness Seller;;;1;;;;;;;1
Fletcher Hotel Exploitaties B.V.;;;;1;;;;;;1
Fletcher Hotel Paleis Het Stadhouderlijk Hof;;;;;;;1;;;1
Fleurette Super Service V.O.F.;;;;1;;;;;;1
Fleurop-Interflora Nederland B.V.;;;;;;1;;;;1
Fleurtiek Amsterdam B.V.;;;;1;;;;;;1
Flex-I.D. B.V.;;;;;;1;;;;1
Flexicon B.V.;;;;1;;;;;;1
Fliteline B.V.;;;;;;;;;6;6
Floriënt Express B.V.;;;;1;;;;;;1
Fluke Nederland B.V.;;;1;;;;;;;1
Fluxicon;;;;;;1;;;;1
FMH Academy B.V.;;;;;;1;;;;1
Focus Conferences B.V.;;;;;;1;;;;1
Forelopig B.V.;;;;;;1;;;;1
Formido Den Helder B.V.;;;;;;1;;;;1
Forsa Advies;;;;;;2;;;;2
Fort Voordorp B.V.;;;;;;2;;;;2
Fortes Solutions B.V.;;;;;;1;;;;1
Foto Harderwijk B.V.;;;;1;;;;;;1
Foto Jan Vredenburg B.V.;;;;;;;1;;;1
Foto Service Baron;;;;1;;;;;;1
Fotofabriek.nl B.V.;;;;1;;;;;;1
Fox Productions Clothing B.V.;;;;;1;;;;;1
Frank B.V.;;;;;1;;;;;1
Frans B.V.;;;;;;1;;;;1
Frans Beekwilder B.V.;;;;;1;;;;;1
Fratelli B.V.;;;;;;;1;;;1
Fred's Bloementeam;;;;;;1;;;;1
Fredt met DT B.V.;;;;;2;;;;;2
Free International Trading B.V.;;;1;;;;;;;1
FREZON;;;;;1;;;;;1
Friesevloot B.V.;;;;;;;1;;;1
Frijters Mind Tuning B.V.;;;;;1;1;;;;1
Fruitschaal.nu;;;;1;;;;;;1
FSN B.V.;;;;;;1;;;;1
Full House Drive In Casino's;;;;;;;1;;;1
Fun Beach B.V.;;;;;;;2;;;2
Fysio Wymbrits;;;;;1;;;;;1
G. Zwaan;;;;;;;1;;;1
G.V. Stage Equipment B.V.;;;;;;;1;;;1
Gajes in de Bajes;;;;1;;;1;;;1
Galerie Jan d'Art V.O.F.;;;;1;;1;;;;1
Gall & Gall;;;;1;;;1;;;1
Gartner Nederland B.V.;;;;;;;;2;;2
Gasterij de Kruidentuin B.V.;;;;;;;2;;;2
Gasthuys De Notabelen;;;;;;;1;;;1
Gastrobar FLOOR;;;;;;1;;;;1
Gauchos Franchise Den Haag B.V.;;;;;;;1;;;1
Gauchos Franchise Utrecht B.V.;;;;1;;;;;;1
Gazendam;;;;1;;;;;;1
GE Energy Netherlands B.V.;;;;;;1;;;;1
Gemaco B.V.;;;1;1;;1;1;;;2
Gematex V.O.F.;;;;1;;;1;;;1
Gemeente Enkhuizen;;;;;;1;;;;1
Gentec Energy B.V.;1;;;;;;;;;1
Gentle Podiumfaciliteiten;;;;;;1;;;;1
Geo B.V.;;;;;;1;;;;1
Geografische Boekhandel Pied à Terre B.V.;;;;1;;;;;;1
Geoplan Nederland B.V.;;;;;;1;;;;1
Gerrickens Training & Advies V.O.F.;;;;;;;1;;;1
Geschenkbezorgen.nl B.V.;;;;1;;;;;;1
GewoonDoen!;;;;;1;;;;;1
Gezondheid aan huis B.V.;;;;;1;;;;;1
Gezondheidscentrum De Watertoren;;;;;1;;;;;1
Gezondheidscentrum Hoensbroek Noord;;;;;1;;;;;1
Gezondheidscentrum Noordhove;;;;;1;;;;;1
GGZ Delfland locatie De Draeck;;;1;;;;;;;1
Gijtenbeek Utrecht B.V.;;;;1;;;;;;1
Gilde Utrecht;;;;;;;1;;;1
GITP B.V.;;;;;;2;;;;2
Global Connection;;;;;;;4;;;4
Global Knowledge;;;;;;4;;;;4
Global Knowledge Network Netherlands B.V.;;;1;;;5;;;;5
Gloed Holding B.V.;;;;;;1;;;;1
Glowgolf Rotterdam;;;;;;;1;;;1
GMC-Instruments Nederland B.V.;;;;;;1;;;;1
Go B.V.;;;;;;2;;;;2
Go Rental B.V.;;;;;;;1;;;1
Golazo Athletics B.V.;;;;;;;1;;;1
Golazo Sports SX B.V.;;;1;;;;;;;1
Golden Dynasty;;;;1;;;;;;1
Golden Tulip Westduin;;;;;;;1;;;1
Golf en Country Club Edda Huzid B.V.;;;1;;;;;;;1
Golfbaan Welschap B.V.;;;1;;;;1;;;1
GolfCenter.nl;;;1;;;;;;;1
Golfcentrum Dongen B.V.;;;1;;;;;;;1
Golfcentrum Reymerswael B.V.;;;;;;;1;;;1
Golfpark 'De Biltse Duinen' B.V.;;;;;;;1;;;1
Golfpark De Haenen B.V.;;;;;;1;;;;1
Good Life International B.V.;;;1;;;;;;;1
Gooiland B.V.;;;;;;;1;;;1
Gordian Logistic Experts B.V.;;;;;;3;;;;3
Gorkink Natuurlijk;;;;1;;;;;;1
Gortcoaching.nl;;;;;;1;;;;1
Gossimijne Horst B.V.;;;;;;;1;;;1
Goudse Verzekeringen B.V.;;;;;;;1;;;1
Governance & Integrity B.V.;;;;;2;4;;;;4
Govers Timmerwerken B.V.;;;;;;1;;;;1
GP Strategies Netherlands B.V.;;;;;;1;;;;1
Graave Eten & Drinken;;;;1;;;;;;1
Grafisch Media Instituut B.V.;;;1;;;1;;;;1
Grand Cafe Brasserie Brocante;;;;;;;1;;;1
Grand Café Hotel De Bourgondier B.V.;;;;;;1;;;;1
Greenz B.V.;;;;1;;;;;;1
Grieks Restaurant Alfa;;;;1;;;;;;1
Grieks Specialiteitenrestaurant Mykonos;;;;1;;;;;;1
Groenendijk Microfilm- en Scanservice B.V.;;;;;;1;;;;1
Groenveldsingel;;;;;;1;;;;1
Groepsaccommodatie Den Hop;;;;;;;1;;;1
Groote Sociëteit;;;;;;;1;;;1
Ground Crew;;;;;;5;;;;5
Guard Academy B.V.;;;1;;1;;;;;1
Gusto Mangia e Bevi;;;;;;;1;;;1
Gymnastiekvereniging Barendrecht;;;;;;1;;;;1
H & J Uitgevers;;;;;1;;;;;1
H&S Opleidingen & Detacheringen B.V.;;;;;;2;;;;2
H. Rugenbrink Werkmaatschappij B.V.;;;;;2;;;;;2
H.C.R. Lands End B.V.;;;;;;1;;;;1
H.M. Schouten Sportprijzen B.V.;;;;;;1;;;;1
Haags Historisch Museum;;;;;;1;;;;1
Hachi Den Helder B.V.;;;;;;;1;;;1
Hacom Sportprijzen Centrum Assen;;;;;;;1;;;1
Haemonetics B.V.;;;1;;;;;;;1
Haesje Claes B.V.;;;;;;1;;;;1
Handelsonderneming H. Brand;;;;;1;1;;;;1
Handelsonderneming Kubus B.V.;;;1;;;;;;;1
Handelsonderneming Topscore V.O.F.;;;;1;;;;;;1
Hanos Heerenveen B.V.;;;;;;;1;;;1
Hans Laroes B.V.;;;;;;1;;;;1
Hanzehal;;;1;;;;;;;1
Happy Meat B.V.;;;;1;;;;;;1
HApraktijk de Roo/Vermeulen/Wierckx-Mentink;;;;;1;;;;;1
Hartech Meet- & Testapparatuur B.V.;;;;;;2;;;;2
Hartemink Vervoersopleidingen B.V.;;;;;;1;;;;1
Hatenboer-Water B.V.;;;;;;1;;;;1
Havenbedrijf Rotterdam N.V.;;;;;;;1;;;1
HBM Machines B.V.;;;;;;1;;;;1
HC Producties;;;;;1;;;;;1
Health Education B.V.;;;;;;1;;;;1
Health2Work B.V.;;;;;1;;;;;1
Heemskerk Bloemisten;;;;1;;;1;;;1
Heesbeen Feest Groep;;;;;;;1;;;1
Heidenhain Nederland B.V.;;;;;;1;;;;1
Heijmans Utiliteit;;;;;;1;1;;;1
Heineken Experience;;;;1;;;;;;1
Helderse Zaalvoetbal Organisatie;;;;;;1;;;;1
HeliCentre B.V.;;;;;;4;;;;4
Helicon Opleidingen;;;;;;1;;;;1
Heliomare Arbeidsintegratie;;;1;;;;;;;1
Helix Learning;;;;;;1;;;;1
Henk Maas Weegschalen B.V.;;;;;;1;;;;1
Henri Bloem's Wijnkoperij;;;1;;;;;;;1
Heraldic United;;;;1;;;;;;1
Herberg 'In den Bockenreyder' B.V.;;;;;;1;;;;1
Herman Lieven V.O.F.;;;;;;;1;;;1
Hero Gifts International B.V.;;;;;1;;;;;1
HER-opleidingen B.V.;;;1;;;;;;;1
Herten en Wilde Zwijnen B.V.;;;;1;;;1;;;1
Het Bergpaviljoen;;;;1;;;;;;1
Het Expeditiehuis B.V.;;;;;;;1;;;1
Het Gezelschap 'Practische Studie';;;;;1;;;;;1
Het Kasteel van Rhoon;;;;;;;1;;;1
Het Nederlands Openluchtmuseum;;;;;;;1;;;1
Het Nederlandse Rode Kruis;;;;;;1;;;;1
Het Nederlandse Rode Kruis Afdeling Rotterdam;;;;1;;;;;;1
Het Oude Stadhuis;;;;;;;1;;;1
Het Pretpaleis Funverhuur B.V.;1;;;;;;;;;1
Het Rieten Dak B.V.;;;;;;;1;;;1
Het Wapen van Leeuwarden B.V.;;;;1;;;;;;1
Hewlett-Packard Nederland B.V.;;;;;;2;;;;2
Hijswinkel B.V.;;;1;;;;;;;1
HKA B.V.;;;;;;;1;;;1
Hocarest B.V.;;;;;;1;;;;1
Hodac B.V.;;;;;1;;;;;1
Hoek V.O.F.;;;;;1;;;;;1
Hoekstra Beroepsopleidingen B.V.;;;;;1;1;;;;1
Hoezo Proj.manag. & Congresorganisatie B.V.;;;;;;1;;;;1
Hoffmann Bedrijfsuitrusting B.V.;;;1;;;;;;;1
Hofstad Personeel B.V.;;;1;;;;;;;1
Hogenboom Vakantieparken B.V.;;;;;;1;3;;;3
Hogeschool Dirksen B.V.;;;;;;2;;;;2
Hogeschool Geo-ICT B.V.;;;;;;1;;;;1
Hogeschool INHolland;;;;;;2;;;;2
Hogeschool Isbw B.V.;;;;;;2;;;;2
Hogeschool NOVI B.V.;;;;;;3;;;;3
Hogeschool Schoevers;;;;;1;1;;;;2
Hogeschool Utrecht;;;;;;2;;;;2
Hogeschool van Amsterdam;;;;;;1;;;;1
HOG-Line Exploitatie B.V.;;;;;;;1;;;1
Hogrefe Uitgevers B.V.;;;;;4;;;;;4
Holding Beheermaatschappij Ropeni B.V.;1;;;;;1;1;;;1
Holland Combinatie B.V.;;;;1;;;;;;1
Holland Evenementen Groep B.V.;;;;;;;1;;;1
Holland Innovative B.V.;;;;;;1;;;;1
Holland Tour Guides B.V.;;;;;;;1;;;1
Holland-Nautic-Apeldoorn B.V.;;;;;;1;;;;1
Hollandse Hoogte B.V.;;;;;;1;;;;1
Hommel Sportprijzen;;;;1;;;1;;;1
Honebecke Gr./Fruit thodn De Gezonde Apoteker;;;;1;;;;;;1
Hoogduin Papierrestauratoren;;;;;;2;;;;2
Hoogenboom B.V.;;;;1;;;;;;1
Hoogeveen & Partners B.V.;;;1;;;;;;;1
Hop & Stork Den Haag B.V.;;;;1;;;;;;1
Hop & Stork Utrecht B.V.;;;;1;;;;;;1
Horeca Breda B.V.;;;;;;1;1;;;1
Horeca Brouw B.V.;;;;;;;1;;;1
Horeca Combinatie Groningen B.V.;;;;1;;;;;;1
Horeca Exploitatie Maatschappij Schiphol B.V.;;;;1;;;1;;1;1
Horeca Spoordonk B.V.;;;;;;;1;;;1
Horeca Stichting Nederland;;;;;1;1;;;;1
Horecaservies Verkoop B.V.;;;;;;;1;;;1
Hotel Contact B.V.;1;;;;;3;;;2;4
Hotel Leeuwarden Centre B.V.;;;;;;;;;1;1
Hotel Mitland;;;;;;;1;;;1
Hotel Oranjeoord Exploitatie B.V.;;;;1;;1;;;;1
Hotel Papendal;;;;;;;1;;;1
Hotel Restaurant Avenarius V.O.F.;;;;;;;;;1;1
Hotel Restaurant Princenhof;;;;;;3;;;;3
Hotel 't Hof van Gelre B.V.;;;;;;;;;1;1
Hotel Vaalsbroek B.V.;;;;;;;1;;;1
Hotel Vianen B.V.;;;;2;;;;;;2
Hotel Wieringermeer B.V.;;;;1;;;;;;1
Hotel Zuiderduin B.V.;;;;1;;;;;;1
Hotel-Café-Restaurant De Gouden Leeuw;;;;2;;;;;;2
Hotel-Café-Restaurant 'De Wadden';;;;;;;1;;;1
Hotel-Café-Restaurant 'West-End' Expl. B.V.;;;;;;1;1;;;1
Hotel-Restaurant 'De Zwarte Boer' B.V.;;;;1;;;;;;1
Hotel-Restaurant Slenaker Vallei;;;;;;2;;;;2
Hotflo Company B.V.;;;1;;;;;;;1
Hotzone Solutions;;;;;;1;;;;1
House of Lords B.V.;;;;;;;1;;;1
House of Sports;;;1;;;1;;;;2
Houthandel Wijers B.V.;;;;1;;;;;;1
HRCommunity B.V.;;;;;1;;;;;1
HRorganizer B.V.;;;;;4;;;;;4
HSG Nederland B.V.;;;;1;;;;;;1
HSK Interventie B.V.;;;1;;;1;;;;1
HTM Specials B.V.;;;;;;;1;;;1
Huffels Delicatessen B.V.;;;;1;;;;;;1
Hugen Brandbeveiliging en Adviesbureau B.V.;;;;;1;;;;;1
huisarts;;;;;1;;;;;1
Huisartsen de Burgt;;;;;1;;;;;1
Huisartsen Gezondheidscentrum Neerbeek;;;;;1;;;;;1
Huisartsen Holtenbroek;;;;;1;;;;;1
Huisartsen MC Wieenhof;;;;;1;;;;;1
Huisartsen Medisch Centrum Putstraat;;;;;1;;;;;1
Huisartsen mts. de Breet en de Breet-Coumans;;;;;1;;;;;1
Huisartsen Musis;;;;;1;;;;;1
Huisartsen N.G. van Vliet en F.J. v.d. Brule;;;;;1;;;;;1
Huisartsen Praktijk Daniels en Spaargaren;;;;;1;;;;;1
Huisartsen van de Nije Veste;;;;;1;;;;;1
Huisartsencentrum Mierlo;;;;;1;;;;;1
Huisartsengroepspraktijk de vier kwartieren;;;;;1;;;;;1
Huisartsenmaatschap Blanker & Thiele & Brand;;;;;1;;;;;1
Huisartsenmaatschap Landauer;;;;;1;;;;;1
Huisartsenmaatschap M.C.N.;;;;;1;;;;;1
Huisartsenmaatschap Winsum;;;;;1;;;;;1
Huisartsenpr.mw.C.P.de Bie en dhr.C.A.de Kock;;;;;1;;;;;1
Huisartsenpraktijk Aan de Donge;;;;;1;;;;;1
Huisartsenpraktijk Aemstelwijck B.V.;;;;;1;;;;;1
Huisartsenpraktijk Bakker-Hermans;;;;;1;;;;;1
Huisartsenpraktijk Beek Centrum;;;;;1;;;;;1
Huisartsenpraktijk Beljaart Rood;;;;;1;;;;;1
Huisartsenpraktijk Biddinghuizen;;;;;1;;;;;1
Huisartsenpraktijk Bijleveld;;;;;1;;;;;1
Huisartsenpraktijk Biltstraat;;;;;1;;;;;1
Huisartsenpraktijk Binnenstad;;;;;1;;;;;1
Huisartsenpraktijk Boekel;;;;;1;;;;;1
Huisartsenpraktijk Bögels B.V.;;;;;1;;;;;1
