;9410 - Lokale belastingen - waterschapslasten;9520 - BZK specifiek;9540 - EZ specifiek;9560 - I&M specifiek;Eindtotaal
Amadore Hotel Restaurant Arion;;;;1;1
Amadore Hotel Restaurant Arneville;;;;1;1
Amanda Schrijft;;;;1;1
Amaze Escape Events;;;;1;1
Amazing Bread Company B.V.;;;;2;2
Amber Nederland B.V.;;;;1;1
Ambiënt Advies B.V.;;;;4;4
Ambitiekompas B.V.;;;;1;1
Amcom B.V.;;;;1;1
Amenddak;;;;2;2
Amero B.V.;;;;1;1
Amersfoortse Broodjes Centrale (A.B.C.);;;;1;1
AMI Consultancy;;;;3;3
Amier Restaurant B.V.;;;;1;1
Ammonite Hotel Amsterdam;;;;1;1
Ampersand Leren & Ontwikkelen;;;;2;2
AMS Fun B.V.;;;;1;1
Amstelside B.V.;;;;1;1
AmsterBammetje;;;;1;1
Amsterdam Boat Experience B.V.;;;;1;1
Amsterdam Datascientist Lab B.V.;;;;2;2
Amsterdam Schiphol Pijpleiding C.V.;;;;3;3
AMVM Advies;;;;4;4
ANDC B.V.;;;;1;1
ANDEDO;;;;2;2
Ander Licht;;;;1;1
Andersson Elffers Felix;;;;4;4
Andes B.V.;;;;4;4
AndriessenZonnevylle notarissen;;;;3;3
ANG B.V.;;;;2;2
ANG Public Finance B.V.;;;;2;2
Ankerslot B.V.;;;;1;1
Annage Skûtsjesilen;;;;1;1
Annakerk Amstelveen B.V.;;;;1;1
anoniem_IenW_100;;;;1;1
anoniem_IenW_101;;;;1;1
anoniem_IenW_102;;;;2;2
anoniem_IenW_103;;;;8;8
anoniem_IenW_104;;;;7;7
anoniem_IenW_105;;;;3;3
anoniem_IenW_106;;;;2;2
anoniem_IenW_107;;;;1;1
anoniem_IenW_108;;;;1;1
anoniem_IenW_109;;;;1;1
anoniem_IenW_110;;;;1;1
anoniem_IenW_111;;;;1;1
anoniem_IenW_112;;;;1;1
anoniem_IenW_113;;;;1;1
anoniem_IenW_114;;;;1;1
anoniem_IenW_115;;;;1;1
anoniem_IenW_116;;;;1;1
anoniem_IenW_117;;;;1;1
anoniem_IenW_118;;;;1;1
anoniem_IenW_119;;;;2;2
anoniem_IenW_120;;;;1;1
anoniem_IenW_121;;;;2;2
anoniem_IenW_122;;;;1;1
anoniem_IenW_123;;;;1;1
anoniem_IenW_124;;;;1;1
anoniem_IenW_125;;;;2;2
anoniem_IenW_126;;;;1;1
anoniem_IenW_127;;;;2;2
anoniem_IenW_128;;;;1;1
anoniem_IenW_129;;;;1;1
anoniem_IenW_130;;;;1;1
anoniem_IenW_131;;;;1;1
anoniem_IenW_132;;;;1;1
anoniem_IenW_133;;;;1;1
anoniem_IenW_134;;;;1;1
anoniem_IenW_135;;;;1;1
anoniem_IenW_136;;;;2;2
anoniem_IenW_137;;;;1;1
anoniem_IenW_138;;;;1;1
anoniem_IenW_139;;;;1;1
anoniem_IenW_140;;;;2;2
anoniem_IenW_141;;;;1;1
anoniem_IenW_142;;;;2;2
anoniem_IenW_143;;;;2;2
anoniem_IenW_144;;;;2;2
anoniem_IenW_145;;;;2;2
anoniem_IenW_146;;;;2;2
anoniem_IenW_147;;;;1;1
anoniem_IenW_148;;;;1;1
anoniem_IenW_149;;;;1;1
anoniem_IenW_150;;;;2;2
anoniem_IenW_151;;;;2;2
anoniem_IenW_152;;;;2;2
anoniem_IenW_153;;;;2;2
anoniem_IenW_154;;;;1;1
anoniem_IenW_155;;;;1;1
anoniem_IenW_156;;;;1;1
anoniem_IenW_157;;;;5;5
anoniem_IenW_158;;;;2;2
anoniem_IenW_159;;;;1;1
anoniem_IenW_160;;;;1;1
anoniem_IenW_161;;;;2;2
anoniem_IenW_162;;;;2;2
anoniem_IenW_163;;;;2;2
anoniem_IenW_164;;;;1;1
anoniem_IenW_165;;;;1;1
anoniem_IenW_166;;;;3;3
anoniem_IenW_167;;;;1;1
anoniem_IenW_168;;;;1;1
anoniem_IenW_169;;;;1;1
anoniem_IenW_170;;;;2;2
anoniem_IenW_171;;;;1;1
anoniem_IenW_172;;;;2;2
anoniem_IenW_173;;;;1;1
anoniem_IenW_174;;;;1;1
anoniem_IenW_175;;;;2;2
anoniem_IenW_176;;;;1;1
anoniem_IenW_177;;;;1;1
anoniem_IenW_178;;;;1;1
anoniem_IenW_179;;;;1;1
anoniem_IenW_180;;;;2;2
anoniem_IenW_181;;;;1;1
anoniem_IenW_182;;;;1;1
anoniem_IenW_183;;;;1;1
anoniem_IenW_184;;;;1;1
anoniem_IenW_185;;;;1;1
anoniem_IenW_186;;;;1;1
anoniem_IenW_187;;;;1;1
anoniem_IenW_188;;;;2;2
anoniem_IenW_189;;;;1;1
anoniem_IenW_190;;;;1;1
anoniem_IenW_191;;;;1;1
anoniem_IenW_192;;;;1;1
anoniem_IenW_193;;;;1;1
anoniem_IenW_194;;;;1;1
anoniem_IenW_195;;;;1;1
anoniem_IenW_196;;;;3;3
anoniem_IenW_197;;;;1;1
anoniem_IenW_198;;;;1;1
anoniem_IenW_199;;;;2;2
anoniem_IenW_200;;;;1;1
anoniem_IenW_201;;;;2;2
anoniem_IenW_202;;;;1;1
anoniem_IenW_203;;;;1;1
anoniem_IenW_204;;;;1;1
anoniem_IenW_205;;;;1;1
anoniem_IenW_206;;;;1;1
anoniem_IenW_207;;;;1;1
anoniem_IenW_208;;;;1;1
anoniem_IenW_209;;;;1;1
anoniem_IenW_210;;;;1;1
anoniem_IenW_211;;;;1;1
anoniem_IenW_212;;;;2;2
anoniem_IenW_213;;;;1;1
anoniem_IenW_214;;;;1;1
anoniem_IenW_215;;;;9;9
anoniem_IenW_216;;;;1;1
anoniem_IenW_217;;;;1;1
anoniem_IenW_218;;;;1;1
anoniem_IenW_219;;;;1;1
anoniem_IenW_220;;;;1;1
anoniem_IenW_221;;;;1;1
anoniem_IenW_222;;;;1;1
anoniem_IenW_223;;;;8;8
anoniem_IenW_224;;;;1;1
anoniem_IenW_225;;;;1;1
anoniem_IenW_226;;;;1;1
anoniem_IenW_227;;;;1;1
anoniem_IenW_228;;;;1;1
anoniem_IenW_229;;;;1;1
anoniem_IenW_230;;;;1;1
anoniem_IenW_231;;;;1;1
anoniem_IenW_232;;;;1;1
anoniem_IenW_233;;;;1;1
anoniem_IenW_234;;;;1;1
anoniem_IenW_235;;;;1;1
anoniem_IenW_236;;;;1;1
anoniem_IenW_237;;;;1;1
anoniem_IenW_238;;;;1;1
anoniem_IenW_239;;;;1;1
anoniem_IenW_240;;;;1;1
anoniem_IenW_241;;;;3;3
anoniem_IenW_242;;;;1;1
anoniem_IenW_243;;;;1;1
anoniem_IenW_244;;;;1;1
anoniem_IenW_245;;;;5;5
anoniem_IenW_246;;;;3;3
anoniem_IenW_247;;;;1;1
anoniem_IenW_248;;;;1;1
anoniem_IenW_249;;;;1;1
anoniem_IenW_250;;;;1;1
anoniem_IenW_251;;;;1;1
anoniem_IenW_252;;;;1;1
anoniem_IenW_253;;;;1;1
anoniem_IenW_254;;;;1;1
anoniem_IenW_257;;;;1;1
anoniem_IenW_26;;;;1;1
anoniem_IenW_264;;;;1;1
anoniem_IenW_271;;;;1;1
anoniem_IenW_273;;;;1;1
anoniem_IenW_277;;;;4;4
anoniem_IenW_279;;;;1;1
anoniem_IenW_280;;;;1;1
anoniem_IenW_292;;;;1;1
anoniem_IenW_315;;;;1;1
anoniem_IenW_316;;;;1;1
anoniem_IenW_318;;;;1;1
anoniem_IenW_319;;;;1;1
anoniem_IenW_320;;;;1;1
anoniem_IenW_321;;;;1;1
anoniem_IenW_322;;;;2;2
anoniem_IenW_323;;;;2;2
anoniem_IenW_324;;;;1;1
anoniem_IenW_325;;;;1;1
anoniem_IenW_326;;;;8;8
anoniem_IenW_327;;;;2;2
anoniem_IenW_328;;;;1;1
anoniem_IenW_329;;;;1;1
anoniem_IenW_330;;;;2;2
anoniem_IenW_331;;;;1;1
anoniem_IenW_332;;;;10;10
anoniem_IenW_333;;;;8;8
anoniem_IenW_334;;;;1;1
anoniem_IenW_335;;;;2;2
anoniem_IenW_336;;;;1;1
anoniem_IenW_337;;;;1;1
anoniem_IenW_338;;;;1;1
anoniem_IenW_339;;;;1;1
anoniem_IenW_340;;;;2;2
anoniem_IenW_341;;;;1;1
anoniem_IenW_342;;;;9;9
anoniem_IenW_343;;;;1;1
anoniem_IenW_344;;;;10;10
anoniem_IenW_345;;;;2;2
anoniem_IenW_346;;;;1;1
anoniem_IenW_347;;;;2;2
anoniem_IenW_348;;;;9;9
anoniem_IenW_349;;;;1;1
anoniem_IenW_350;;;;1;1
anoniem_IenW_351;;;;1;1
anoniem_IenW_352;;;;1;1
anoniem_IenW_353;;;;2;2
anoniem_IenW_354;;;;1;1
anoniem_IenW_355;;;;2;2
anoniem_IenW_356;;;;1;1
anoniem_IenW_357;;;;3;3
anoniem_IenW_358;;;;1;1
anoniem_IenW_359;;;;1;1
anoniem_IenW_360;;;;1;1
anoniem_IenW_361;;;;2;2
anoniem_IenW_362;;;;1;1
anoniem_IenW_363;;;;1;1
anoniem_IenW_364;;;;3;3
anoniem_IenW_365;;;;1;1
anoniem_IenW_366;;;;3;3
anoniem_IenW_367;;;;1;1
anoniem_IenW_368;;;;4;4
anoniem_IenW_369;;;;1;1
anoniem_IenW_370;;;;1;1
anoniem_IenW_371;;;;1;1
anoniem_IenW_372;;;;2;2
anoniem_IenW_373;;;;9;9
anoniem_IenW_374;;;;1;1
anoniem_IenW_375;;;;3;3
anoniem_IenW_376;;;;2;2
anoniem_IenW_377;;;;1;1
anoniem_IenW_378;;;;10;10
anoniem_IenW_379;;;;1;1
anoniem_IenW_380;;;;5;5
anoniem_IenW_381;;;;2;2
anoniem_IenW_382;;;;2;2
anoniem_IenW_383;;;;2;2
anoniem_IenW_384;;;;1;1
anoniem_IenW_385;;;;2;2
anoniem_IenW_386;;;;3;3
anoniem_IenW_387;;;;8;8
anoniem_IenW_388;;;;7;7
anoniem_IenW_389;;;;2;2
anoniem_IenW_390;;;;1;1
anoniem_IenW_391;;;;2;2
anoniem_IenW_392;;;;1;1
anoniem_IenW_393;;;;4;4
anoniem_IenW_394;;;;1;1
anoniem_IenW_398;;;;1;1
anoniem_IenW_40;;;;2;2
anoniem_IenW_409;;;;1;1
anoniem_IenW_41;;;;1;1
anoniem_IenW_410;;;;1;1
anoniem_IenW_411;;;;2;2
anoniem_IenW_412;1;;;;1
anoniem_IenW_417;;;;1;1
anoniem_IenW_419;;;;1;1
anoniem_IenW_438;;;;1;1
anoniem_IenW_442;;;;2;2
anoniem_IenW_444;;;;1;1
anoniem_IenW_52;;;;1;1
anoniem_IenW_565;;;;9;9
anoniem_IenW_581;;;;1;1
anoniem_IenW_582;;;;4;4
anoniem_IenW_583;;;;9;9
anoniem_IenW_584;;;;1;1
anoniem_IenW_585;;;;4;4
anoniem_IenW_586;;;;7;7
anoniem_IenW_587;;;;8;8
anoniem_IenW_588;;;;11;11
anoniem_IenW_589;;;;2;2
anoniem_IenW_590;;;;1;1
anoniem_IenW_591;;;;1;1
anoniem_IenW_592;;;;1;1
anoniem_IenW_593;;;;1;1
anoniem_IenW_594;;;;9;9
anoniem_IenW_595;;;;1;1
anoniem_IenW_596;;;;7;7
anoniem_IenW_597;;;;3;3
anoniem_IenW_598;;;;1;1
anoniem_IenW_599;;;;2;2
anoniem_IenW_600;;;;8;8
anoniem_IenW_601;;;;2;2
anoniem_IenW_602;;;;8;8
anoniem_IenW_603;;;;2;2
anoniem_IenW_604;;;;2;2
anoniem_IenW_605;;;;6;6
anoniem_IenW_606;;;;1;1
anoniem_IenW_607;;;;2;2
anoniem_IenW_608;;;;11;11
anoniem_IenW_609;;;;2;2
anoniem_IenW_610;;;;1;1
anoniem_IenW_611;;;;9;9
anoniem_IenW_612;;;;11;11
anoniem_IenW_613;;;;1;1
anoniem_IenW_614;;;;2;2
anoniem_IenW_615;;;;10;10
anoniem_IenW_616;;;;1;1
anoniem_IenW_617;;;;8;8
anoniem_IenW_618;;;;11;11
anoniem_IenW_619;;;;7;7
anoniem_IenW_620;;;;9;9
anoniem_IenW_621;;;;8;8
anoniem_IenW_622;;;;4;4
anoniem_IenW_623;;;;1;1
anoniem_IenW_624;;;;1;1
anoniem_IenW_625;;;;1;1
anoniem_IenW_626;;;;4;4
anoniem_IenW_627;;;;1;1
anoniem_IenW_628;;;;1;1
anoniem_IenW_629;;;;11;11
anoniem_IenW_630;;;;2;2
anoniem_IenW_631;;;;7;7
anoniem_IenW_632;;;;5;5
anoniem_IenW_633;;;;4;4
anoniem_IenW_634;;;;1;1
anoniem_IenW_635;;;;1;1
anoniem_IenW_636;;;;1;1
anoniem_IenW_637;;;;1;1
anoniem_IenW_638;;;;2;2
anoniem_IenW_639;;;;1;1
anoniem_IenW_640;;;;3;3
anoniem_IenW_641;;;;8;8
anoniem_IenW_642;;;;7;7
anoniem_IenW_643;;;;1;1
anoniem_IenW_644;;;;6;6
anoniem_IenW_645;;;;5;5
anoniem_IenW_646;;;;6;6
anoniem_IenW_647;;;;5;5
anoniem_IenW_648;;;;2;2
anoniem_IenW_649;;;;4;4
anoniem_IenW_65;;;;2;2
anoniem_IenW_650;;;;5;5
anoniem_IenW_651;;;;2;2
anoniem_IenW_652;;;;9;9
anoniem_IenW_653;;;;1;1
anoniem_IenW_654;;;;1;1
anoniem_IenW_655;;;;1;1
anoniem_IenW_660;;;;1;1
anoniem_IenW_661;;;;8;8
anoniem_IenW_662;;;;3;3
anoniem_IenW_663;;;;1;1
anoniem_IenW_664;;;;1;1
anoniem_IenW_665;;;;1;1
anoniem_IenW_666;;;;9;9
anoniem_IenW_667;;;;1;1
anoniem_IenW_668;;;;4;4
anoniem_IenW_671;;;;2;2
anoniem_IenW_672;;;;1;1
anoniem_IenW_673;;;;9;9
anoniem_IenW_675;;;;2;2
anoniem_IenW_680;;;;1;1
anoniem_IenW_681;;;;5;5
anoniem_IenW_682;;;;9;9
anoniem_IenW_683;;;;5;5
anoniem_IenW_684;;;;4;4
anoniem_IenW_685;;;;1;1
anoniem_IenW_686;;;;2;2
anoniem_IenW_687;;;;8;8
anoniem_IenW_688;;;;12;12
anoniem_IenW_689;;;;1;1
anoniem_IenW_690;;;;7;7
anoniem_IenW_691;;;;2;2
anoniem_IenW_692;;;;7;7
anoniem_IenW_693;;;;4;4
anoniem_IenW_694;;;;2;2
anoniem_IenW_695;;;;2;2
anoniem_IenW_696;;;;2;2
anoniem_IenW_697;;;;8;8
anoniem_IenW_698;;;;2;2
anoniem_IenW_699;;;;7;7
anoniem_IenW_702;;;;1;1
anoniem_IenW_703;;;;1;1
anoniem_IenW_704;;;;13;13
anoniem_IenW_709;;;;6;6
anoniem_IenW_710;;;;9;9
anoniem_IenW_711;;;;1;1
anoniem_IenW_717;;;;2;2
anoniem_IenW_719;;;;1;1
anoniem_IenW_728;;;;1;1
anoniem_IenW_729;;;;7;7
anoniem_IenW_730;;;;2;2
anoniem_IenW_731;;;;1;1
anoniem_IenW_732;;;;2;2
anoniem_IenW_733;;;;1;1
anoniem_IenW_734;;;;7;7
anoniem_IenW_735;;;;7;7
anoniem_IenW_736;;;;8;8
anoniem_IenW_737;;;;8;8
anoniem_IenW_738;;;;8;8
anoniem_IenW_739;;;;4;4
anoniem_IenW_740;;;;11;11
anoniem_IenW_741;;;;1;1
anoniem_IenW_742;;;;9;9
anoniem_IenW_743;;;;1;1
anoniem_IenW_744;;;;4;4
anoniem_IenW_745;;;;3;3
anoniem_IenW_746;;;;10;10
anoniem_IenW_747;;;;1;1
anoniem_IenW_748;;;;4;4
anoniem_IenW_749;;;;2;2
anoniem_IenW_750;;;;2;2
anoniem_IenW_751;;;;1;1
anoniem_IenW_752;;;;8;8
anoniem_IenW_753;;;;1;1
anoniem_IenW_754;;;;10;10
anoniem_IenW_756;;;;3;3
anoniem_IenW_76;;;;1;1
anoniem_IenW_8;;;;1;1
anoniem_IenW_93;;;;1;1
anoniem_IenW_98;;;;4;4
anoniem_IenW_99;;;;1;1
ANSINGER B.V.;;;;5;5
Ansul;;;;1;1
Antargaz B.V.;;;;1;1
ANTEA BELGIUM N.V;;;;4;4
Antea Inspection B.V.;;;;7;7
Antea Nederland B.V.;;;;9;9
Antichic;;;;1;1
Anticimex;;;;1;1
Antré Evenementenorganisatie;;;;1;1
Antropia B.V.;;;;2;2
ANWB B.V.;;;;3;3
ANWB-Rijopleiding;;;;3;3
Aon Global Risk Consulting B.V.;;;;1;1
AON Nederland C.V.;;;;1;1
Aon Risk Services Outside The Americas;;;;1;1
Ap-Art;;;;2;2
Apartt Rotterdam Horeca B.V.;;;;1;1
Apollo Journey;;;;1;1
Apollo13;;;;4;4
Appassionato;;;;1;1
Appel B.V.;;;;1;1
Appeltje+P B.V.;;;;1;1
Appia Quality Projects B.V.;;;;3;3
Applied Risk B.V.;;;;3;3
APPM Management Consultants B.V.;;;;3;3
Apps B.V.;;;;2;2
Aqua Vision B.V.;;;;5;5
Aquador;;;;1;1
AquAdvisor;;;;1;1
Aqualab Zuid B.V.;;;;1;1
Aquality B.V.;;;;1;1
Aquasport Sail Away;;;;1;1
AquaSwets Dordt B.V.;;;;1;1
AquaTerra-KuiperBurger;;;;4;4
AquaTerra-KuiperBurger (ATKB);;;;6;6
Aquatic Drones B.V.;;;;4;4
Aquifer Advies B.V.;;;;5;5
A-Quin B.V.;;;;5;5
ARA Adviesburo B.V.;;;;2;2
ARA Groep B.V.;;;;3;3
ARAG SE Nederland;;;;2;2
Arane adviseurs in verkeer en vervoer B.V.;;;;4;4
Arbo Aanzet;;;;4;4
Arbo Inspectie Dienst B.V.;;;;1;1
Arbo Unie B.V.;;;;1;1
ARCADIS Nederland;;;;6;6
ARCADIS Nederland B.V.;;;;10;10
Arcadis Planrealisatie B.V.;;;;4;4
Archimedeans B.V.;;;;2;2
Architektenburo en Bouwburo Coors B.V.;;;;1;1
Architektenburo K. van Velsen B.V.;;;;3;3
ArchiXL B.V.;;;;2;2
Ardama B.V.;;;;1;1
Ardis Opleidingen B.V.;;;;1;1
Ardis Organisatieontwikkeling B.V.;;;;1;1
Ardit;;;;2;2
Arendshoeve B.V.;;;;1;1
Arie Kok Catering-Partyverhuur B.V.;;;;1;1
Arkance Systems Benelux BVBA;;;;1;1
Arlande ProjectPartners B.V.;;;;3;3
Arnage Horeca B.V.;;;;2;2
Arriva Personenvervoer Nederland B.V.;;;;6;6
Arriva Touring;;;;1;1
ARS Traffic & Transport Technology B.V.;;;;7;7
Art Centre Delft B.V.;;;;2;2
Art Hotel Eindhoven;;;;1;1
Art of Work Utrecht;;;;1;1
Artfood sprl;;;;1;1
Arthur J Gallagher (UK) Ltd;;;;4;4
Artiestenverloningen B.V.;;;;1;1
Artige B.V.;;;;1;1
Artium Experts B.V.;;;;1;1
Arup B.V.;;;;7;7
Arup-Nebest;;;;8;8
