Leveranciers;1000 - Personele exploitatie overig;1110 - Verhuiskosten personeel binnen- en buitenland;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1160 - Personeelsevenementen, bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis & verblijfskosten;1-Personele exploitatie
Athlon Car Lease;;;;;;;;;3;3
Atlantic Groep;;;;;;2;1;;;2
Atlas Holiday Spijkenisse;;;;;;;;;1;1
ATPI Group (incl. The Advanced Travel Partner, ATP Corporate Travel, ATP Event Experts, ATP Groups & Incentives);;;;;;;;;4;4
Atticus Uitgeverij;;;;;;1;;;;1
ATWORKZ;;;;;;2;;;;2
Auditconnect;;;;;;2;;;;2
AutomotiveNL;;;;;;;;;1;1
AUV Groothandel;;;;;;1;;;;1
Avans;;;;;;2;;;;2
A'Vier Communicatie (Veranderverhaal.nl);;;;;;1;;;;1
AVIH Algemene Vereniging Inlands Hout;;;;;;;;;1;1
AVK Adviesgroep voor Kantoorinnovatie;;;;;;2;;;;2
A-Way Events & Wellness;;;;1;;;;;;1
Ayers Rock Evenementencentrum;;;;;;1;;;;1
B+B Vakmedianet;;;;;;1;;;;1
B2B Productions;;;;;;1;;;;1
Babbilage Restaurant-Brasserij;;;;1;;;1;;;1
Babel Taleninstituut;;;;;;1;;;;1
Babymand.nl;;;;;;;1;;;1
Backshop;;;1;;;;;;;1
Badhotel;;;;;;;;;1;1
Bakker & Schnabel Training;;;;;;1;;;1;1
Bakkerij De Jong B.V.;;;;1;;;;;;1
Bakkerij Elsevier;;;;;;;;;1;1
Bakkerij Hirdes;;;;;;;;;1;1
Balkan Grill Restaurant;;;;1;;;;;;1
Banketbakkerij Boheemen;;;;1;;;1;;1;1
Banketbakkerij Gosselaar;;;;;;;1;;;1
Banketbakkerij Maison Kelder;;;;;;;1;;;1
Banketbakkerij Mekking;;;;1;;;;;;1
Banketbakkerij Michiels;;;;1;;;;;1;1
Banketbakkerij Partyservice Borgman;;;;1;;;;;;1
Banketbakkerij Rodenburg BV;;;;1;;;;;;1
Banketbakkerij-Chocolaterie Wesseling;;;;;;;1;;;1
Barbacoa Bbq & Grill Restaurant;;;;1;;;;;;1
Bastiaanse Communication;;;;;;1;;;;1
Bastion Hotels;;;;;;1;;;1;1
Baston Service (Swingaway);;;;;;;1;;;1
Beach Club Oranje B.V.;;;;1;;;;;;1
Beachclub Copacabana;;;;;;;;;1;1
Beaumont Hotel Restaurant;;;;;;;;;1;1
Beekman & Beekman;;;;1;;;;;;1
Beekman Opleiding & Advies;;;;;;2;;;;2
Berckeley Square;;;;;;1;;;;1
Berends J. Metamorfase;;;;;;1;;;;1
Berenschot Groep (incl. HB, KSG, Mazars Berenschot);;;;;;5;1;;;5
Berghauser Pont;;;;;;1;;;;1
Besseling Vervoert;;;;;;;;;1;1
Best Value;;;;;;1;;;;1
Best Western Hotels;;;;;;;;;1;1
Beter Evenementen;;;;1;;;;;;1
Beuk Horeca;;;;;;1;;;;1
Beuk Touringcars;;;;;;;;;1;1
Beurshotel;;;;;;;;;1;1
Bezemer & Kuiper;;;;;;1;;;;1
Bezoekerscentrum de Kennemerduinen;;;;;;;1;;;1
BGL Partners;;;;;;1;;;;1
Biebcafé;;;;;;;;;1;1
Bierbrouwerij de Koningshoeven;;;;;;;1;;;1
Bij Broeders Restaurant;;;;;;;1;;;1
Bijenhuis Wageningen;;;;;;1;;;;1
Bilderberg Hotels;;;;;;1;;;1;1
Bis 26 B.V.;;;;1;;;;;;1
Bison Bowling;;;;;;;1;;;1
Bistro De Lachende Gans;;;;;;;1;;;1
Bistrot De La Place;;;;1;;;;;;1
Bizz Design;;;;;;1;;;;1
Bleijenberg Accountants-Adviseurs B.V.;;;;;;1;;;;1
Blender Restaurant;;;;;;;1;;;1
BlinkLane Consulting;;;;;;2;;;;2
Blomberg Congres Instituut;;;;;;1;;;;1
Blooming Art;;;;1;;;;;;1
Blooming Trainingsbureau;;;;;;1;;;;1
Blossom Café-Restaurant;;;;;;;;;1;1
Blue Mansion Hotel B.V.;;;;;;;;;1;1
Blue Sakura Japanese Sushi en Grill;;;;;;;1;;;1
blueriq;;;;;;1;;;;1
Boaty.nl;;;;1;;;;;;1
Boek en Service;;;;;;1;;;;1
Boeketcadeau.nl;;;;1;;;;;;1
Boerderij Breevoort;;;;;;;;;1;1
Boerenlogies de 4 Jaargetijden;;;;;;1;;;;1
Boerenspellen Limburg;;;;1;;;;;;1
Boertiengroep (incl. Ncatb);;;;;;4;;;;4
Bofit;;;;;;1;;;;1
Bol.Com;;;;1;;1;;;;1
Bon Vivant;;;;1;;;;;;1
Bond van Landpachters van Eigen Grond;;;;;;1;;;;1
Bongers Wageningen;;;;;;;;;1;1
Boonoonoonoos;;;;1;;;;;;1
Boost Events;;;;;;;1;;;1
Bos & Bos Catering (incl. Brasserie Bites);;;;1;;;;;;1
Bospaviljoen Norgerberg;;;;;;;1;;;1
Botanica Tuincafé;;;;;;;1;;;1
Bovo Tours;;;;;;;1;;1;1
Bowling Scheveningen;;;;;;;1;;;1
Bowork Handelsonderneming;;;1;;;;;;;1
BPF - Bouwinvest Office Fund;;;;;;;;;1;1
Braams & Partners;;;;;;1;;;;1
Brainport Development;;;;;;1;;;;1
Brains&More;;;;;;2;;;;2
Brand in Bedrijf;;;;;1;;;;;1
Brasserie De Dagvisser;;;;1;;;1;;;1
Brasserie De Kroon;;;;;;;1;;;1
Brasserie de Stad;;;;;;;;;1;1
Brasserie Harkema (Haxpema);;;;;;;;;1;1
Brasserie Stadhuis Schiedam;;;;;;;;;1;1
Break Free Fun Company;;;;;;;1;;;1
Breetveld Organisatie Adviseurs;;;1;;;;;;;1
Bridge2learn;;;;;;1;;;;1
BriefopBestelling;;;;;;1;;;;1
Bright Now;;;;;1;;;;;1
Broekmeulen Renée Tekst & Training;;;;;;1;;;;1
Brood2Day B.V.;;;;;;;;;1;1
Broodje Bert;;;;;;1;;;1;1
Broos Water;;;;;;1;;;;1
Brummerij;;;;;;;1;;;1
Buisleidingen Industrie Gilde;;;;;;1;;;;1
Buiten Strandpaviljoen;;;;1;;;;;;1
Buitengoed Hagenhorst;;;;;;1;;;;1
Buitenhof Brasserie;;;;;;;1;;;1
Bukman Management;;;;;;1;;;;1
Bureau Beweeglijk;;;;;;1;;;;1
Bureau Beysterveld;;;;;;2;;;;2
Bureau Emme;;;;;;1;;;;1
Bureau Frank Little, Facilitation en Training;;;;;;1;;;;1
Bureau Greven;;;;;;1;;;;1
Bureau mr W.A. Overkamp;;;;;;;1;;;1
Bureau Schijf, Partner in Leiderschap;;;;;;3;;;;3
Bureau Speelberg;;;;;;1;;;;1
Bureau Taal;;;;;;1;;;;1
Bureau voor Beeldzaken;;;;;;1;;;;1
buro VihK;;;;;;1;;;;1
Buro Vonkstof;;;;;;1;;;;1
Business Talen Rotterdam;;;;;;1;;;;1
BVO Training Center;;;;;;3;;;;3
By Mike Ryan;;;;;;;1;;;1
C&G Coaching & Guidance;;;;;;1;;;;1
C. Vernooij Praktijk voor Begeleidingskunde;;;;;;1;;;;1
C.D. Rippen;;;;;;1;;;;1
Cadeau Company;;;;1;;;;;;1
Cadenza;;;;;;1;;;;1
Café & Partycentrum Oosterheide;;;;;;;;;1;1
Cafe Du Midi;;;;1;;;1;;;1
Cafetaria de Schans;;;;1;;;;;;1
Cafÿý-Restaurant Overwijk;;;;1;;;;;;1
Cake, Bake & Love;;;;;;;1;;;1
Camping Het Drents Kwartiertje;;;;1;;;1;;;1
CAOP - Centrum Voor Arbeidsverhoudingen Overheidspersoneel;;;;;;1;;;;1
Capgemini;;;;;;2;;;;2
CapitalP;;;;;;;;;2;2
Care4Talent;;;;;;1;;;;1
Caris Bakkerij;;;;1;;;;;;1
Carlson Wagonlit Travel;;;;;;2;;;6;6
Carlton Hotel;;;;1;;;1;;1;1
Carolien Nout Journalistieke;;;;1;;;;;;1
Carriere Switch;;;;;1;;;;;1
Cartouch;;;;1;;;;;;1
Caseware;;;;;;1;;;;1
Castra Restaurant;;;;1;;;;;;1
Cateau Communicatie, Cathelijne Janssen;;;;;;2;;;;2
CCS Cornelissen Consulting Services;;;;;;1;;;;1
Centerforce Trainingen;;;;;;1;;;;1
Central Studios Nederland;;;;;;;;;2;2
Centre For Generative Leadership;;;;;;;;;1;1
Centrum Voor Conflicthantering;;;;;;1;;;;1
Cesar Moerman communicatie;;;;;;1;;;;1
C'est Ca Restaurant;;;;;;;1;;;1
Chez Antionette;;;;;;;;;1;1
Chielbellen.nl;;;;;;;1;;;1
Chinees-Indisch Specialiteiten Restaurant 'Ming-Yeg' V.O.F.;;;;1;;;;;;1
Chocoladeatelier PUUR;;;;1;;;;;;1
Chocolaterie Pierre;;;;1;;;;;;1
Chorda Safety Solutions;;;;;;1;;;;1
Christelijke Hogeschool Windesheim;;;;;;1;;;;1
Christian Bijl Praktijk psycho sociaal advies/hulpvrl.;;;;;1;;;;;1
Christian Restaurant;1;;;1;;;;;1;1
CIBT/V&V Visumdienst;;;;;;;;;1;1
Ciran;;;1;;;;;;;1
Cityhotel Exploitatie;;;;;;;;;1;1
Civas;;;;;;1;;;;1
Cliniclowns;;;;;;1;;;;1
Clip Coaching;;;;;;1;;;;1
Clip/Stichting Pro;;;;;;1;;;;1
Cloos Eetcafé;;;;;;;1;;;1
CMI Career Management Institute;;;;;;1;;;;1
Coaching in Organisaties;;;;;;1;;;;1
CoachNetwerk;;;;;;1;;;;1
Colors World Food;;;;;;;;;1;1
Communicatie Bureau De Lynx;;;;;;1;;;;1
Compagnon;;;;;2;;;;;2
Compass Group Nederland (incl. Eurest, ECS Catering, Avenance);;;;1;;;1;;1;1
Compu'Train;;;;;;3;;;;3
Conclusion;;;;;2;;;;;2
Concorde Group;;;;;;1;;;;1
Conferentiecentrum Kaap Doorn;;;;;;1;;;;1
Congruent Managementsupport;;;;;;1;;;;1
Connexxion;;;;;;;1;;2;2
Consonant;;;;;;1;;;;1
Contact at Work;;;;;;1;;;;1
Continea;;;;;1;;;;;1
Controlsolutions;;;;;;;;;1;1
Conveno Functioneringsadviseurs;;;;;;1;;;;1
Coolinair Catering;;;;;;1;;;;1
Cooperatie Neptunus U.A.;;;;;;;;;1;1
Coosto;;;;;;1;;;;1
Coppens Beheer B.V.;;;;;;1;;;;1
Cormet Schoolcatering;;;;1;;;;;;1
Corridor Taverne;;;;;;;;;1;1
Cotica HRM advies;;;;;;1;;;;1
Country Hotel De Broeierd;;;;;;;;;1;1
Covra - Centr. Organ. V. Radio-Aktief Afval;;;;;;1;;;;1
Create 2 Connect;;;;;;1;;;;1
CTYK B.V.;;;;;;;1;;;1
Cuisine@Yourhome;;;;;;;1;;1;1
Culpepper Beachclub;;;;1;;;;;;1
Cursus Instituut Amsterdam;;;;;;1;;;;1
Cyntrix;;;;;;1;;;;1
D.O.C. Stap;;;;;;1;;;;1
Daals Traiteurs;;;;;;;;;1;1
Dare Calibrations (Dijkstra Advies, Research & Emc Consultancy);;;;;;1;;;;1
DataExpert;;;;;;2;;;;2
Dataland;;;;;;1;;;;1
DBR De Boer, Ritsema & van Eck;;;;;;2;;;1;2
De Agnietenberg Horeca;;;;;;;1;;;1
De Ark management centrum;;;;;;1;;;;1
De Baak incl. Seaside, Administratie, Hospitality, Management Centrum;;;;;;3;;;1;3
De Bagatelle Restaurant;;;;1;;;;;;1
De Bakkerswinkel (incl. Geelhoed Eetwinkel);;;;1;;;;;;1
De Ballentent;;;;1;;;;;;1
De Basiliek Restaurant;;;;1;;;;;;1
De Beijer Taxi-Touringcar;;;;;;;;;1;1
De Bel Psychologen;;;;;;1;;;;1
De Belgische Keizer Café-Restaurant;;;;;;;1;;;1
De Belt Psychologisch Bureau (incl. Jan Fens);;;1;;;;;;;1
De Beukenhof Restaurant Hotel;;;;;;;1;;;1
De Bierelier Muziekcafé;;;;1;;;1;;;1
De Boerinn;;;;;;;1;;;1
De Bonte Wever Assen (De Smelt);;;;;;;1;;1;1
De Brabantse Biesbosch Restaurant & Brasserie;;;;;;;;;1;1
De Bron Cmc - Complementair Medisch Centrum;;;;;;1;;;;1
De Buytenhof;;;;;;;1;;;1
De Byzantijn Bloembinderij;;;;;;;1;;;1
De Doelen Hotel-Grand Café;;;;;;;;;1;1
De Drankenmarkt;;;;;;;1;;;1
De Echoput Restaurant;;;;1;;;;;;1
De Eeuwige Jachtvelden Café-Restaurant;;;;1;;1;1;;;1
De Ferrante Secretariaten en Opl B.;;;;;;1;;;;1
De Firma B.V.;;;;;;;1;;;1
De Fiscount Adviesgroep;;;;;;1;;;;1
De Fleurist;;;;1;;;;;;1
De Gantel Rondvaartbedrijf;;;;;;;1;;;1
De Gouden Molen Restaurant ;;;;;;;;;1;1
De Grillerije;;;;1;;;;;;1
De Gruijter & Co.;;1;;;;;;;1;1
De Harmonie Restaurant;;;;;;;;;1;1
De Heerenkeet Café-Restaurant;;;;;;;1;;;1
De Heus Landwinkel;;;;;;;;;1;1
De Hoestinkhof;;;;1;;;;;;1
De Hofstad Taxicentrale;;;;;;;;;1;1
De Hoorneboeg/Ernst Sillem Hoeve Conferentiecentrum;;;;;;;;;1;1
De Japanse Watertuin;;;;;;;;;1;1
De Kater Wageningen;;;;1;;;;;;1
De keuken van Thijs;;;;1;;;;;;1
De Koepoort Hotel-Café-Restaurant;;;;;;;;;1;1
De Koningshof Restaurant;;;;1;;;1;;1;1
De Kookfabriek;;;;;;;1;;;1
De Koperen Hoogte;;;;1;;;;;;1
De Kriekeput;;;;1;;;;;;1
De Krim Vakantiecentrum;;;;;;;;;1;1
De Landbouw Café-Restaurant-Brasserie (incl. Rat Pack);;;;1;;;;;;1
De Landman Café;;;;1;;;;;;1
De Leeuw;;;;;;;;;1;1
De Lof der Zotheid Restaurant Café Diner;;;;1;;;;;;1
De Looimolen;;;;;;;1;;;1
De Maaspoort Venlo;;;;;;;;;2;2
De Mandemaaker Restaurant;;;;;;;;;1;1
De Markies Restaurant;;;;;;;1;;;1
De Meesterslijpers;;;;;;;1;;;1
De Meisjes van Spijs;;;;1;;;;;;1
De Merkplaats;;;;;;1;;;;1
De Moor Tekst & Uitleg;;;;;;1;;;;1
De Moriaan Wijnhandel;;;;1;;;;;;1
De Nachtegaal Hotel-Restaurant;;;;1;;;;;;1
De Nieuwe Karmeliet;;;;;;;1;;;1
De Ondernemende Dame;;;;;1;1;;;;1
De Onderzoekspartner;;;;;;1;;;;1
De Ooievaart - Ga Den Haag;;;;;;;1;;;1
De Pannenkoeken Saloon;;;;;;;1;;;1
De Paus Hotel-Café-Restaurant;;;;1;;;;;;1
De Peer Horeca;;;;;;;1;;;1
De Persgroep (incl. PCM, De Volkskrant, Het Parool, Trouw, Algemeen Dagblad, Perscombinatie);;;;1;;;1;;;1
De Piraten Schuit!;;;;;;;1;;;1
De Plank eten drinken slapen;;;;;;;;;1;1
De Pont;;;;;;;;;1;1
De Posthoorn Hotel-Café-Restaurant;;;;;;;;;1;1
De Postwagen Partycentrum;;;;1;;;;;;1
De Pothaar;;;;1;;;;;;1
De Prinsenkelder Restaurant;;;;;;;;;1;1
De Prom Utrecht (incl. Vredenburg);;;;;;1;;;1;1
De Redactie (Automotive Publishing);;;;;;1;;;;1
De Reiger Catering (incl. Nikita, Vechthuis);;;;;;;1;;;1
De Roestelberg Café Restaurant;;;;;;;1;;;1
De Roofvogelboerderij;;;;1;;;;;;1
De Rotterdam;;;;1;;;;;1;1
De Ruggestee Restaurant;;;;1;;;;;;1
De Schenker;;;;2;;;;;;2
De Smaakcateraar;;;;1;;;;;;1
De Snoeptiek Brood-Banket Bakkerij;;;;1;;;1;;;1
De Staat Strandpaviljoen;;;;;;;1;;;1
De Stadstuin Restaurant-Grand Café;;;;;;;1;;;1
De StressOntknoping;;;;;;1;;;;1
De Surinees;;;;;;;1;;;1
De Taaltrainer;;;;;;1;;;;1
De Tenders Rondvaart;;;;1;;;;;;1
De Toeter Cafe;;;;;;;1;;;1
De Tuyn Restaurant (J.A.W. Groeneveld);;;;1;;;;;1;1
De Utrechtse Haven;;;;1;;;1;;;1
De Vier Jaargetijden Bloemsierkunst;;;;1;;;1;;;1
De Vijfde Smaak Restaurant;;;;;;;;;1;1
De Vijverhoeve;;;;;;;;;1;1
De Vreugdehoeve;;;;;;;;;1;1
De Vroolijke Frans;;;;1;;;;;;1
De Vuurdoorn Bloembinderij (VOF Van de Beek);;;;;;;;;1;1
De Waag Restaurant;;;;;;;;;1;1
De Westerbouwing Café-Restaurant;;;;1;;;;;;1
De Westlandse Druif;;;;;;;;;1;1
De Wijk van Morgen B.V.;;;;;;;;;1;1
De Witte Raaf Hotel-Restaurant;;;;1;;;;;;1
De Wittebrug, Hotel Restaurant;;;;;;;1;;;1
De Zoete Inval Bistro;;;;;;;;;1;1
De Zwaan Hotel Restaurant;;;;;;;1;;;1
De Zwolsche Bol B.V.;;;;1;;;;;;1
Debat Nl;;;;;;1;;;;1
Debatrix;;;;;;1;;;;1
Decisio;;;;;;;;;1;1
Dehora Consultancy Group;;;;;;2;;;;2
Dekxels Restaurant;;;;;;;1;;;1
Delano;;;;;;;1;;1;1
Delicatessenshop 'Baltus';;;;;;;1;;;1
Delphi Grieks Restaurant;;;;1;;;;;;1
Den Draeck Restaurant;;;;;;;1;;;1
Den Haag Marketing & Events;;;;2;;;1;;1;2
Den Tol Cafe-Restaurant;;;;;;;;;1;1
Denk Producties;;;;;;1;;;;1
Derks Rondeel Beuningen;;;;;;1;;;;1
Desire to Communicate;;;;;;1;;;;1
Dewerking;;;;;;1;;;;1
DFI Dutch Fashion Incasso;;;;;;;;;1;1
DHTC Den Helder Training Centre;;;;;;1;;;;1
Dialogue;;;;;;1;;;;1
Dierenpark Amersfoort;;;;;;;;;1;1
Dierenpark Emmen;;;;1;;;;;;1
Digisterker (Digitale Overheid);;;;;;1;;;;1
Dijkstra Personenvervoer;;;;;;;;;2;2
Dik Trom Catering;;;;1;;;;;1;1
Dingemanse Puur Culinair;;;;1;;;;;;1
Diogenes Reizen ;;;;;;;;;1;1
Dirksen Bedrijfsopleidingen;;;;;;1;;;;1
Disconsult (incl. Dior Opleidingen);;;;;;2;;;;2
Doen Strandclub;;;;;;;1;;;1
Domino's Pizza;;;;;;;;;1;1
Domplein 2013 Stg;;;;1;;;;;;1
Domstad Evenementen (incl. Tours & Events);;;;1;;;1;;;1
Domstad Hogeschool, Cursus- en Vergadercentrum;;;;;;;;;1;1
Dor;;;;;;1;;;;1
Dos Santos Legal;;;;;;2;;;;2
Dr. C.J.M. Scheepens Consultancy;;;;;;;;;1;1
Dr. Ten;;;;;;1;;;;1
Drentea Kantoormeubelen;;;1;;;;;;;1
Drive-Inn Show 'La Plaza';;;;;;;1;;;1
Droomproductie;;;;;1;;;;;1
Drs. M. Roorda Psycholoog;;;;;;1;;;;1
Drs. M.J. van der Molen Persoonlijk Ontwikkeling, Therapie & Coaching;;;;;;1;;;;1
DTC De Tombe Consultancy;;;;;;2;;;;2
Du Soleil;;;;;;1;;;;1
Ducktrail;;;;1;;;;;;1
Dukino Business Events;;;;;;;1;;;1
Dutch at Home;;;;;;1;;;;1
Dutch Hunting Falcons;;;;;;;1;;;1
D'Vijff Vlieghen Restaurant;;;;;;;;;1;1
Dzb Party Catering;;;;;;;;;1;1
Easy Catering Drachten;;;;1;;1;;;;1
Ebbinge & Company;;;;;;2;;;;2
Echos Home;;;;1;;;;;;1
Ecofys;;;;;;;;;1;1
Economy Hotel;;;;;;;;;1;1
Ecorys Nederland (incl. Ecorys-Kolpron);;;;;;2;;;;2
Eden Hotels;;;;;;;;;1;1
EEN!;;;;;;;1;;;1
Eerste Hulp Plus;;;;;;1;;;;1
Eet- en Koffiehuis De Kiosk;;;;;;;1;;;1
Eetcafé Compaenen;;;;;;;1;;;1
Eetcafé De Hoeskamer;;;;;;;1;;;1
Eetcafé de Spil;;;;1;;;;;;1
Eetcafe H.41;;;;1;;;;;;1
Eethuisje 'De Rijsttafel';;;;;;;1;;;1
Eetwinkel De Buren;;;;;;;;;1;1
Efteling;;;;;;;2;;;2
EHM Hotels (incl. Apollo Hotels & Resorts);;;;;;1;;;1;1
EIC Europees Instituut Voor Certified Public Controllers;;;;;;1;;;;1
Ekeko Restaurant;;;;;;;;;1;1
Eko Fish Group B.V.;;;;;;;1;;;1
Ekohoeve;;;;;;;;;1;1
Ele Tio Fermin;;;;;;;1;;;1
E-learningportals (Icttrainingen.nl);;;;;;1;;;;1
Els Dekkers;;;;;;1;;;;1
Elycio Talen;;;;;;2;;;;2
Emkro;;;;1;;;;;;1
Emmeloord Hotel;;;;;;;;;1;1
Empower People;;;;;;1;;;;1
Emtek Ergonomics;;;1;;;;;;;1
Energieprojecten.com;;;;;;1;;;;1
Energy Delta Institute Stg;;;;;;2;;;;2
Engelanderhof Hotel Restaurant;;;;;;;;;1;1
Engels Grandcafé/Restaurant/Zalen;;;;;;;;;1;1
Entopic;;;;;;1;;;;1
Equipe Quality Products (incl. Health2Work);;;1;;;;;;;1
Ergatis;;;1;;;;;;;1
Ergonomiespecialist B.V.;;;1;;;;;;;1
Ergoweb (Kantoorinrichter);;;1;;;;;;;1
Escoplan;;;;;;;;;1;1
Esri Nederland;;;;;;2;;;;2
ETC International;;;;;;1;;;;1
Eurodata Compliance Group B.V.;;;;;;1;;;;1
Euroforum;;;;;;1;;;1;1
Euroforum/SBO Studiecentrum Bedrijf en Overheid;;;;;;1;;;;1
Euromate (vh Plymovent, Lucom);;;;;;1;;;;1
European Language Centre;;;;;;1;;;;1
Evenementen Amersfoort;;;;1;;;;;;1
Everest;;;;;;1;;;;1
Evert Pruis;;;;;;1;;;;1
Evidente;;;;;;1;;;;1
EVM Examen- en Certificeringsinstituut Plaagdierpreventie;;;;;;1;;;;1
Excelsior Sport B.V.;;;;1;;;;;;1
Exelirent B.V.;;;;;;1;;;;1
ExplainIT;;;;;;1;;;;1
Exploitatie Nationaal Sport Centrum Papendal;;;;;;;;;1;1
Exploitatiemaatschappij Seaport Beach Resort;;;;;;1;;;1;1
EXPOTRAVEL BVBA;;;;;;;;;1;1
Extrarius Adventures;;;;1;;;;;;1
Faber Vlaggen (vh Shipmate);;;;1;;;;;;1
Falck Group;;;;;;3;;;;3
Fast Lane Benelux;;;;;;2;;;;2
Federatie Voor De Nederlandse Export;;;;;;2;;;;2
Feedback Consulting Van Zuilen;;;;;;1;;;;1
Felicivin;;;;;;;1;;;1
Fergees;;;;1;;;;;;1
Ferry Improviser;;;;;;1;1;;;1
Fiesta Verhuur;;;;;;;1;;;1
Firma Van der Zandt Botenverhuurbedrijf;;;;1;;;;;;1
First Service Business Events;;;;;;;1;;;1
First1 Bedrijfsfitness;;;2;;;;;;;2
Fletcher Hotel Restaurant;;;;;;;1;;1;1
Fleurop;1;;;2;;;2;;;2
Fleurtiek Amsterdam;;;;;;;1;;;1
Flex I.D.;;;;;;2;;;;2
