Leveranciers;9301 - Laboratoriumonderzoek;9302 - Laboratoriummaterialen;9303 - Laboratoriuminstrumenten;9304 - Aankoop onderzoeksmateriaal;9305 - Research & development;9600 - VWS Specifiek;Eindtotaal
CASA Leiden;;;;;;1;1
CASA Maastricht;;;;;;1;1
CasaGrande B.V.;;;;;1;;1
Catec B.V.;;;1;;;;1
CBD;;;;;5;;5
CBN Labsuppliers B.V.;;1;1;;;;1
CBO B.V.;;;;;2;;2
CCV Services B.V.;;;1;;;;1
Central Veterinary Institute of Wageningen UR;2;;;2;5;;5
Centrale Organis. voor Radioactief Afval N.V.;;1;;;;;1
Centric Netherlands B.V.;;;;;1;;1
Cerulean Logic B.V.;;1;;;;;1
CGE Risk Management Solutions B.V.;;;;;2;;2
Citygis B.V.;;;;;1;;1
Clindia Benelux B.V.;;1;;;;;1
CLM Onderzoek en Advies B.V.;;;;;2;;2
Co. Van Beek Generatoren;;;1;;;;1
Coform;;;;;2;;2
Comecer Netherlands B.V.;;1;1;;;;1
Conrad Electronic Benelux B.V.;;1;;;;;1
Control Energy Services B.V.;;;1;;;;1
Corning B.V.;;1;;;;;1
Cosanta B.V.;;;;;1;;1
Council of Europe Minority Youth Committees;;1;;;;;1
Crepa Heftruck Verhuur B.V.;;;1;;;;1
CrisisTox Consult;;;;;1;;1
Cruxin;;;1;;;;1
Cryo Store B.V.;;1;1;;;;1
CSL Behring B.V.;;;;;;4;4
CSO Adviesbureau, Milieu, Ruimte, Water;4;;;;;;4
Cycloop Concept Creatie B.V.;;;;;1;;1
Da Vinci Laboratory Solutions B.V.;1;2;;;;;2
Dactari;;1;;;;;1
Dako Netherlands B.V.;;1;;;;;1
DAT.Mobility B.V.;;;;;2;;2
Dbvision B.V.;;;;;2;;2
DDC Europe B.V.;;;;;2;;2
DDL Diagnostic Laboratory B.V.;;4;;;;;4
De Wilde Metaal B.V.;;;1;;;;1
Den Hartog B.V.;1;1;;;;;1
Denios B.V.;;1;2;;;;2
Dermatologie St. Antonius Ziekenhuis;1;;;;1;;1
Deventer Ziekenhuis;1;;;;;;1
Devrimed B.V.;;6;;;;;6
DGMR Industrie Verkeer en Milieu B.V.;;;;;2;;2
DiagnOptics Technologies B.V.;;;2;;;;2
DiaSorin SA/N.V.;;2;;;;;2
Diebels Relatiegeschenken B.V.;;;;;;1;1
Dijkstra-Vereenigde B.V.;;1;2;;;;2
Distrilab B.V.;;1;;;;;1
Doornebos Tekst & Uitleg;;;;;2;;2
Doxis;;;;;1;;1
Dr. Weigert Nederland;;1;;;;;1
Dräger Medical Netherlands B.V.;1;1;1;;;;1
Dräger Nederland B.V.;;1;1;;;;1
Drefa Industries B.V.;;1;;;;;1
Drentea Kantoormeubelen;;;1;;;;1
Dupa Veiligheidstechniek B.V.;;;1;;;;1
Dutch Water Tech B.V.;;1;;;;;1
Dyzle Operations B.V.;;;2;;;;2
Ecofide;;;;;1;;1
Ecomatters B.V.;;;;;1;;1
Eijkelkamp Soil & Water B.V.;;2;1;;;;2
ELDC B.V.;;3;;;;;3
ELITechGroup B.V.;;1;;;;;1
Elscolab B.V.;;2;;;;;2
Emdamed B.V.;;1;;;;;1
Emelca;;2;;;;;2
EnableMi B.V.;;;;;1;;1
Endomed B.V.;;1;;;;;1
Energieonderzoek Centrum Nederland;;;;;4;;4
Envigo;;2;;3;1;;4
Envitec N.V.;;2;6;;;;6
EpiVax, Inc.;2;;;;;;2
Eppendorf Nederland B.V.;;;1;;;;1
Erbrink Stacks Consult;;;;;1;;1
Eriks B.V.;;1;;;;;1
Eurogentec Nederland B.V.;;3;;;1;;3
European Veterinary Laboratory (EVL);1;;;;;;1
Eurotherm B.V.;;;2;;;;2
Exelis Visual Information Solutions B.V.;;;1;;;;1
F. Veldhuis Siervishandel B.V.;;1;;1;;;1
Federal Express Europe Inc.;;1;;;;;1
Fisher Scientific of the Netherlands B.V.;;5;1;1;;;5
Fitland Groep B.V.;;;;;1;;1
Flycatcher Internet Research B.V.;;;;;2;;2
Food Risk Management;;1;;;;;1
Fridina Holding B.V.;;;1;;;;1
Fugro GeoServices B.V.;;;;;5;;5
Fujitsu Technology Solutions B.V.;;;1;;;;1
G.R. Instruments B.V.;;1;2;;;;2
Gadaku Institute B.V.;;;;;2;;2
GC Biotech B.V.;;1;1;;;;1
GE Healthcare Europe branch Netherlands;;2;3;;;;4
Gelre Ziekenhuizen Diensten B.V.;1;;;;;;1
Genomic Investments B.V.;;2;;;2;;3
GenScript (Hong Kong) Limited;;2;;;2;;2
Geodan B.V.;;;;1;2;;2
Getinge B.V.;;1;4;;;;4
Gezondheidscentrum Bronovo;;;;;;1;1
Gezondheidsdienst voor Dieren;;;;;1;;1
GfK Intomart B.V.;;;;3;;;3
Gilson International B.V.;;;1;;;;1
Glassinstruments;;1;;;;;1
GlaxoSmithKline B.V.;;;;;;9;9
Goudappel Coffeng B.V.;;;;;2;;2
Greiner Bio-One B.V.;;2;;;;;2
Groene Hart Ziekenhuis;1;;;;;;1
Groundworks;;;;;1;;1
GS1 Nederland B.V.;;;;;;1;1
Gunnebo Nederland B.V.;;;1;;;;1
HACH;;;1;;;;1
HALIX B.V.;;;;;4;1;4
HaskoningDHV Nederland B.V.;;;;;4;;4
Haulotte Netherlands B.V.;;;1;;;;1
Healthlink Europe Services B.V.;;1;;;;;1
Heckman Milieu Software;;;;;2;;2
Heleon B.V.;;1;;;;;1
Henriëtte Prast;;;;;2;;2
Het Waterlaboratorium N.V.;;;;;2;;2
Hettich Benelux B.V.;;;2;;;;2
Heyl OG B.V.;;;;;;1;1
Hitma UltraPure B.V.;;2;;;;;2
Hogeschool Utrecht;;;;;1;;1
Homij Technische Installaties B.V.;;;1;;;;1
Houdijk Advies B.V.;;;;;2;;2
HowAboutYou B.V.;;;;1;;;1
Huis voor Beweging;;;;;1;;1
I & O Research B.V.;;;;2;;;2
I.T.K. Diagnostics B.V.;;4;;;;;4
Igloocoolers B.V.;;;1;;;;1
IJsselland Ziekenhuis;7;;;;;;7
Imago Mediabuilders B.V.;;;;;1;;1
IMARES;;;;;3;;3
Inacom Instruments B.V.;;1;;;;;1
Informatiebeveiliging Nederland B.V.;;;;;2;;2
Infors Benelux B.V.;;;3;;;;3
Ingenieursbureau Wittich & Visser B.V.;;;1;;;;1
INHOLLAND Academy;;;;;2;;2
Initial B.V.;;1;;;;;1
Innosieve Services B.V.;;1;;;;;1
Inpaqt B.V.;;;;;2;;2
Insector UA;;;;;2;;2
Installatiebedrijf Rosmalen B.V.;;;1;;;;1
Instruchemie B.V.;;1;;;;;1
Instrument Solutions Benelux B.V.;;1;;;;;1
International Procurement Agency B.V.;;;;;3;;3
Interscience B.V.;;1;2;;;;2
Interster;;1;1;;;;1
Inventech Benelux B.V.;;;1;;;;1
IPN Equipment;;;1;;;;1
Isogen Life Science B.V.;;2;2;;;;2
iVention B.V.;;;;2;;;2
Izore;1;;;;;;1
J.H. Ritmeester B.V.;;3;;;;;3
J.J. Bogte;;;;;2;;2
Jeol (Europe) B.V.;;;2;;;;2
JM Separations B.V.;;3;2;;;;4
Johnson Controls Systems & Service B.V.;;;1;;;;1
Joint Analytical Systems Benelux B.V.;;1;2;;;;2
Kalibra International B.V.;1;;3;;;;3
KATO Group B.V.;;1;;;;;1
KEMA Nederland B.V.;;;;;3;;3
Kiewiet MPI;;;;;1;;1
KiVa B.V.;;;;;3;;3
Klinipath B.V.;;1;;;;;1
KNF Verder B.V.;;;;1;;;1
Koel en Airco Service KAS;;;2;;;;2
Koninklijke van der Most B.V.;;;;;;1;1
Krypton Consulting;;;;;1;;1
KWR Water B.V.;;;;;2;;2
LA Biosystems B.V.;;4;2;;;;4
Labair;;;1;;;;1
LabBio Technology B.V.;;;1;;;;1
Labkoo;;1;;;;;1
Laboratorium Microbiologie Twente Achterhoek;1;;;;;;1
Laser 2000 Benelux C.V.;;;1;;;;1
Leene Communicatie;;;;;1;;1
Leica Microsystems B.V.;;;2;;;;2
Life Technologies Europe B.V.;;4;4;;;;5
Lighthouse Worldwide Solutions Benelux B.V.;;1;1;;;;1
Linde Gas Benelux B.V.;;2;;;;;2
Lyreco Nederland B.V.;;1;;;;;1
M. Schimmel B.V.;;;;1;;;1
M.C. TEC B.V.;;1;;;;;1
M.T. Diagnostics Nederland B.V.;;2;;;;;2
Maatsch. KNO-Arts. Medisch Centrum Haaglanden;;;;;;1;1
Maatschap Chirurgie Spaarne Ziekenhuis;;;;;6;;6
Maatschap Dermatologen Zaans Medisch Centrum;2;;;;;1;2
Maatschap Oogartsen Jeroen Bosch Ziekenhuis;1;;;;;;1
Maatschap Orthopedie St. Elisabeth Ziekenhuis;7;;;;;;7
Maatschap Radiologie Orbis Medisch Centrum;1;;;;;;1
Mad Multimedia;;;;;2;;2
MailStreet B.V.;;;;;3;;3
Mango International B.V.;;;;;3;;3
Manutan B.V.;;1;;;;;1
MARIN Asia B.V.;;;;;2;;2
Marketresponse Nederland B.V.;;;;2;;;2
Mart Microbiology B.V.;;;1;;;;1
MCS Diagnostics B.V.;;2;1;;;;2
Meander Medisch Centrum;2;;;;;;2
Medeco B.V.;;1;;;;;1
Mediaproducts B.V.;;1;;;;;1
Medical Research Data Management B.V.;;;;;1;;1
Mediost B.V.;;1;;;;;1
Mediphos Medical Supplies B.V.;;2;1;;;;2
Medisch Centrum Leeuwarden B.V.;;;;;;1;1
Medische Laboratoria dr. Stein & Collegae;1;;;;;;1
Meekers Medical B.V.;;1;1;;;;1
Meiko Nederland B.V.;;;1;;;;1
Meridian Bioscience Europe B.V.;;1;;;;;1
Messer B.V.;;2;;;;;2
Metamorfose Vertalingen;;;;;2;;2
Metrohm Applikon;;3;6;;;;6
Mettler-Toledo B.V.;;1;3;;;;3
MF Safe & Clean;;1;;;;;1
Microbiome Limited;;1;;;1;;1
Microlan B.V.;;;1;;;;1
Microsafe Laboratories;1;2;;;2;;2
microscope consultancy;2;;;;1;;2
Miele Nederland B.V.;;1;1;;;;1
Miltenyi Biotec B.V.;;1;;;;;1
Minerva Meettechniek B.V.;;;1;;;;1
Minigrip;;2;;;;;2
MLS;;1;;;;;1
Modelec Data-Industrie;;;2;;;;2
Molenaar Optics;;1;1;;;;1
MSA Nederland B.V.;;;1;;;;1
Mulder-Hardenberg B.V.;;;1;;;;1
MuniSense B.V.;;;;;1;;1
N.B. tekst & advies;;;;;1;;1
NAK AGRO;;;;;3;;3
Nationale Hoorstichting;;;;;1;;1
Nauta Security Storage B.V.;;;1;;;;1
Nederland Sales & Service B.V.;;1;;;;;1
Nederlands bijkantoor van Sanofi Pasteur MSD;;1;;;;8;8
Nederlands Huisartsen Genootschap;;;;;2;;2
NewRisk Research;;;;;1;;1
Nidsa Holding B.V.;;;1;;;;1
Nieuwland Automatisering;;;;;1;;1
Nipak Verpakkingen;;1;;;;;1
NovaVeth B.V.;;2;;;;;2
Noviprint B.V.;;1;;;;;1
NVKC Ver. v. Klin. Chem. & Laborat.geneesk.;;;;;1;;1
O&M-Movianto Nederland B.V.;;;;;;4;4
Odura;;;;;2;;2
Olympus Nederland B.V.;;1;1;;;;1
Omegam Water B.V.;;;;;2;;2
Omgeving en beleving;;;;;2;;2
Onderzoeksbureau Data Desk;;;;;1;;1
Oor Veiligheidskunde & Managementsystemen;;;;;2;;2
Org-idee;;;;;3;;3
Orthopedie Haga Ziekenhuis;1;;;;;;1
Oxoid;;3;;;;;3
Pall Netherlands;;1;;;;;1
Pallas health research and consultancy B.V.;;;;;2;;2
Palux Service Center;;;1;;;;1
PAM Consult;;;;;2;;2
Pamgene International B.V.;;;;;2;;2
Panteia B.V.;;;;4;;;4
Parker Hannifin B.V.;;;1;;;;1
Pepscan Presto B.V.;;1;;;;;1
Perbio Science Nederland B.V.;;1;;;;;1
PerkinElmer Nederland B.V.;;6;3;;;;6
Perseus;;;;;3;;3
Pfizer B.V.;;;;;;7;7
Phenomenex B.V.;;1;;;;;1
Pinkcube B.V.;;1;;;;;1
Plant Research International B.V.;;;;;4;;4
Pluriform;;;;;2;;2
Poly Temp Scientific;;1;2;;;;2
Poolster B.V.;;;1;;;;1
POSG Professionals B.V.;;;;;2;;2
PreMeo Thuisvaccinatie;1;;;;2;;2
Procare;;1;1;;;;1
Promega Benelux B.V.;;2;1;;;;2
Promis Electro-Optics B.V.;;;1;;;;1
Promopodium B.V.;;1;;;;;1
PromoSnoepje;;1;;;;;1
Prosense B.V.;;;1;;;;1
Protinus IT B.V.;;1;1;;;;1
PROXY Laboratories B.V.;1;;;;1;;1
Qiagen Benelux B.V.;;4;1;;;;4
Qlip;;;;;1;;1
QRS Healthcare;;1;;;;;1
Quo B.V.;;1;;;;;1
Rae Benelux B.V.;;;1;;;;1
RAV Hollands Midden;;;;;2;;2
Red Five B.V.;;;;;2;;2
Regel Partners B.V.;;;1;;;;1
Reina Sikkema advies en tekstschrijven;;;;;2;;2
Remyx;;;;;1;;1
Repair Management Nederland B.V.;;1;;;;;1
Rigo Research en Advies B.V.;;;;;2;;2
Rob Vollmer Beheer B.V.;;;1;;;;1
Roche Diagnostics Nederland B.V.;;4;2;;;;4
Roche Nederland B.V.;;;;;;1;1
Rodesta B.V.;;1;;;;;1
Rogier Bosman Chemie B.V.;;1;;1;;;1
Rovers Medical Devices B.V.;;1;;;;;1
RPS advies- en ingenieursbureau B.V.;;;;;5;;5
RS Components B.V.;;1;1;;;;1
Ruigrok-NetPanel B.V.;;;;2;;;2
RuimteFocus;;;;;3;;3
RutgersStimezo zuid Nederland;;;;;;1;1
S+B Rotterdam B.V.;;;1;;;;1
Saltro Diagnostic and Medical Services B.V.;4;;;;2;;4
Sanbio B.V.;;3;;;;;3
Sanitas-Water;;;;;2;;2
Schuttelaar & Partners, Maatsch. Comm. B.V.;;;;;2;;2
Screening Devices B.V.;;1;;;;;1
Seagull Technologies B.V.;;1;;;;;1
Sensitech Holding B.V.;;1;;;;;1
Sentron Europe B.V.;;1;;;;;1
Separations Analytical Instruments B.V.;;1;1;;;;2
Shimadzu Benelux;;1;1;;;;1
Siemens Healthcare Nederland B.V.;1;2;;;;;2
Siemens Nederland N.V.;;;1;;;;1
Sigma Aldrich Chemie B.V.;;3;;;;;3
Sintec B.V.;;;2;;;;2
Sitech Site Services B.V.;;;;;1;;1
SMARTmv;;;;;1;;1
Smeba Brandbeveiliging B.V.;;;1;;;;1
Sopachem B.V.;;1;;;;;1
Sophia Revalidatie Delft;;;;;1;;1
Sorbisense;1;;;;;;1
Space & Cartoon Safari;;;;;1;;1
Speciaaldrukkerij Lijnco Groningen B.V.;;1;;;;;1
Spectrometry Vision B.V.;;;1;;;;1
Spectrum Europe B.V.;;3;1;;;;3
Sphaero Q;;1;;;;;1
Stago BNL B.V.;;1;1;;;;1
Steril Medical Technics B.V.;;;1;;;;1
Steriservice Nederland;;;1;;;;1
Stg. Federatie van Med. Wetensch. Ver.;;;;;1;;1
Stg. Nat. Lucht- en Ruimtevaartlaboratorium;;;;;2;;2
Stg. Nederlands Inst. voor Alcoholbeleid STAP;;;;;1;;1
Stg. Steunfds. Ziekenhuis Canisius-Wilhelmina;1;;;;;;1
Stichting Administratiekantoor Kropman;;;1;;;;1
Stichting Aids Fonds - Soa Aids Nederland;;;;;1;;1
Stichting Bargerveen;;;;;2;;2
Stichting CED-Groep;;;;;1;;1
Stichting Centerdata;;;;;1;;1
Stichting Deltares;;;;;2;;2
Stichting Dutch Hospital Data;;;;;2;;2
Stichting Elkerliek Ziekenhuis;;;;;;1;1
Stichting Fonds Instituut Clingendael;;;;;3;;3
Stichting HIV Monitoring;;;;;3;;3
Stichting Informatie Voorziening Zorg;;;;;2;;2
Stichting Isala Klinieken;7;;;;;;7
Stichting Kanjertraining;;;;;2;;2
Stichting LIFE;;;;;1;;1
Stichting Miletus;;;;;2;;2
Stichting Onderzoek Medisch Centrum Alkmaar;1;;;;1;;2
Stichting Perinatale Registratie Nederland;;;;;1;;1
Stichting Pharos;;;;;2;;2
Stichting Rutgers;;;;;2;;2
Stichting Sociaal Fonds Zorggroep Almere;;;;;1;;1
Stichting ter Ondersteuning Nebasnsg;;;;;2;;2
Stichting VeiligheidNL;;;;;3;;3
Stichting Vrienden Tergooi;2;;;;;;2
Stichting Vrienden van het Westfries Gasthuis;;;;;;1;1
Stork Technical Services Group B.V.;;;2;;;;2
Stratumse Apotheek B.V.;;;;;;1;1
T. Service;;1;;;;;1
Taks B.V.;;;;;2;;2
Tauw B.V.;4;;;;;;4
Tebu Bio B.V.;;1;;;;;1
Tecan Benelux B.V.B.A.;;1;2;;;;2
Techn. Advies- en Handelsburo J.J. Bos B.V.;;1;1;;;;1
Technische Unie B.V.;;1;1;;;;1
Technolution B.V.;;;;;3;;3
Tecnilab-BMI B.V.;;3;2;2;;;4
Telegrootgebruik B.V.;;;1;;;;1
Tenviro milieu & chemie;;;;;2;;2
Thermo Fisher Scientific B.V.;;2;7;;;;7
ThorLabs;;1;1;;;;1
TNO B.V.;2;;;;7;;7
TNS Nipo B.V.;;;;6;2;;6
Topa Verpakking B.V.;;1;;;;;1
Toyota Material Handling Nederland B.V.;;;1;;;;1
Trade Med B.V.;;1;;;;;1
Tradinco Instruments;;;1;;;;1
Transposafe Systems;;1;;;;;1
Triple A Trading;;1;1;1;;;1
Triplemass B.V.;;;1;;;;1
Triptic B.V.;;;;;1;;1
Triskelion B.V.;1;1;;1;5;;5
Tritium Microbiologie B.V.;;1;;;;;1
Tromp Medical B.V.;;1;;;;;1
ttopstart B.V.;;;;;1;;1
U-Cytech B.V.;;1;;;;;1
Uitgeverij Edu'actief B.V.;;;;;2;;2
United Parcel Service Nederland B.V.;;1;;;;;1
Uno;;;1;;;;1
Urenco Nederland B.V.;;;;;1;;1
van Aanholt beleidsadvies;;;;;1;;1
Van Beek SPF Varkens Duitsland B.V.;;1;;;;;1
Van der Laan, Gryglicki & Partners B.V.;;;;;1;;1
Van der Voort Amsterdam Lucht en Milieu B.V.;;1;1;;;;1
Van Eck Bedrijfshygiëne B.V.;;;;1;;;1
Van Egmond Systems B.V.;;1;;;;;1
Van Swinden Laboratorium;;1;1;;;;1
Veiligheidstechniek Nederland B.V.;;;1;;;;1
Veip B.V.;;1;;1;;;1
Vektis C.V.;;;;;2;;2
Veldkamp Marktonderzoek B.V.;;;;3;2;;3
Verspoor Advies B.V.;;;;;2;;2
Veugen High Care B.V.;;;2;;;;2
VieCuri Medisch Centrum voor Noord-Limburg;1;;;;;;1
Vinitex Laboratoriuminrichtingen B.V.;;;2;;;;2
Vink Lisse B.V.;;2;;;;;2
Voedingscentrum Nederland;;;;;1;;1
Waterlaboratorium Noord B.V.;;;;;2;;2
Waterlandziekenhuis;2;;;;;;2
Waters Chromatography B.V.;;2;1;;;;2
Watson-Marlow B.V.;;2;1;;;;2
Weegtechniek Holland B.V.;;1;1;;;;1
Werfen B.V.;;1;1;;;;1
Westburg B.V.;;1;1;;;;1
White Queen B.V.;;;;;4;;4
Williamson-Dickie Nederland B.V.;;2;;;;;2
Wiltec Spijkenisse;;;;1;;;1
Wilten Instrumenten;;;1;;;;1
Wim's Dierenspeciaalzaak;;1;;;;;1
WING Process Consultancy B.V.;;;;;2;;2
WorkSphere;;;1;;;;1
World Courier Holland B.V.;;1;;1;;;1
Xerox (Nederland) B.V.;;1;;;1;;1
Yogh;;;;;2;;2
Zetes B.V.;;1;;;;;1
Zirbus Technology Benelux B.V.;;1;;;;;1
ZomerBloemen B.V.;;2;;;;;2
ZorgSaam;1;;;;;;1
Eindtotaal;8;8;8;7;8;10;11
