Leveranciers;1110 - Verhuiskosten personeel binnen- en buitenland;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1160 - Personeelsevenementen, bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis & verblijfskosten;Eindtotaal
Academie voor Medezeggenschap B.V.;;;;;1;;;;1
Academie voor Organisatiecultuur;;;;;1;;;;1
Academy for Information and Management B.V.;;;;;1;;;;1
Academy for Leadership B.V.;;;;;2;;;;2
Academy of Logistics;;;;;1;;;;1
Accent Organisatie Advies B.V.;;;;;1;;;;1
Accenture B.V.;;;;;1;;;;1
Accor Hospitality Nederland N.V.;;;;;;;;1;1
Accountantskantoor Geerlofs B.V.;;;;;;;;1;1
Accres Exploitatie B.V.;;;;;1;;;;1
Accretio;;1;;;3;;;1;3
Achmea Health Centers;;;;;1;;;;1
Achmea Schadeverzekeringen N.V.;;;1;;;;;;1
Achterkamp Bedrijfsopleidingen B.V.;;;;;1;;;;1
ACM Opleidingen B.V.;;;;;1;;;;1
Acteren & meer;;;;;;;;1;1
Acteursbureau Kapok B.V.;;;1;;;;;1;1
ACTME B.V.;;;;;1;;;;1
Actures Mediation;;;;;1;;;;1
Ad Em Producties B.V.;;;;;1;;;;1
Ad Simonse Personeels & Organisatie-Advies;;;1;;;;;;1
Adames;;;1;;1;;;;1
Adecco Detachering B.V.;;1;1;2;1;;;1;2
Adecco Personeelsdiensten B.V.;;1;;;;;;1;1
Adfo Groep B.V.;;;1;;;;;;1
Adler International C.V.;;;1;;;;;;1
Adoptiepraktijk Vinke;;;;;2;;;1;2
Adra kinderfonds;;;1;;;;;;1
Adrem B.V.;;;;;;;;1;1
Adriaanse van der Weel Advocaten;;;;;;;;1;1
ADT Advocaten;;;;;;;;1;1
Adventure and Thrill;;;1;;;;;;1
Adventure Vlaardingen;;;1;;;;;;1
Adviesbureau Atim B.V.;;;;;2;;;;2
Adviesbureau Silvia Scholten;;;;;1;;;;1
Adviesbureau Van Montfoort B.V.;;;;;;;;1;1
Advocaat Uithoorn;;1;;;;;;;1
Advocatenkantoor Dekker;;;;;;;;1;1
Advocatenkantoor Kloosterman & Stronks;;;;;;;;1;1
Advocatenkantoor Seegers & Lebouille;;;1;;;;;;1
Advocatenkantoor Taner B.V.;;;;;;;;1;1
Advocatenkantoor Thomas van Dijk B.V.;;;2;;;;;;2
Ad-voice;;;;;1;;;;1
AED Solutions B.V.;;1;;;;;;;1
Aeon Loopbaanadvies;;;;;1;;;;1
Aerbo Bedrijfscommunicatie;;;;;;;;1;1
Aertery B.V.;;;2;;;;;;2
AFC Ajax N.V.;;;1;;;;;;1
After Sports;;;1;;;;;;1
AG5 B.V.;;;;;1;;;;1
Agathon Coaching & Loopbaanadvies V.O.F.;;;;;1;;;;1
Agrifirm-Welkoop;;;1;;;;;;1
Agrip Advies;;;1;;;;;;1
Ahrend Nederland B.V.;;1;1;;;;;;1
Ai-Opener;;;;;1;;;;1
Airport Medical Services C.V.;;1;;;;;;;1
Akkermans Leisure & Golf;;;1;;;;;;1
AKL Training;;;;;1;;;;1
Aksu Bakkerij B.V.;;;;;;;;1;1
Aktant Trainingen;;;;;1;;;;1
Al-Andaluz International B.V.;;;1;;;;;;1
Alba-academie;;;;;1;;;;1
Albert Heijn B.V.;;;1;;;;;;1
Albert-Schweitzergroep - Scouts Troep;;;1;;;;;;1
Albron Nederland B.V.;;1;1;;;;;1;1
Alcoholvrij.com;;;1;;;;;;1
Alex Aalders Bloemist;;;1;;;;;;1
Alexander Hotel B.V.;;;;;1;;;;1
Alexis leerhulpmiddelen.nl;;1;;;;;;;1
Alfred's Holding B.V.;;;1;;;;;2;2
Alfun Verhuur B.V.;;;;;1;;;;1
Algemene Stichting Horeca Onderwijs;;;;;1;;;;1
Alkmaarse Poort;;;;;;;;1;1
All About Change;;;;;1;;;;1
All Cartoons Holland;;;1;;;;;;1
All In Verhuur B.V.;;;1;;;;;;1
alleenarbeidsrecht.nl;;;1;;;;;;1
Allen & Overy LLP;;;;;1;;;1;1
Allgifts.nl B.V.;;;1;;;;;;1
Allied Breda;;;1;;;;;;1
Almusica;;;1;;;;;;1
Aloys Roemaat Transport B.V.;;1;;;;;;;1
Alp De Veenen Hotel B.V.;;;;;;;;1;1
Alpha Architectenbureau;;;1;;;;;;1
Altijd B.V.;;;1;;;;;;1
Altrecht Hoofdgebouw;;;;2;;;;;2
Always Green B.V.;;;1;;;;;;1
AMADO;;;;;;;;1;1
Amantis Loopbaanadvies Coaching Training;;;;;1;;;;1
Amaze Escape Events;;;1;;1;;;1;1
Amazicsoft;;;;;2;;;;2
Amazing Bread Company B.V.;;;2;;1;;;1;2
Ambachtelijke Slagerij Kevelam;;;1;;;;;1;1
Ambuwerk Nederland;;;;;1;;;;1
Ameland Adventure;;;1;;;;;;1
Ã–mer Balli t.h.o.d.n. Döner Company;;;1;;;;;1;1
American Hotel Exploitatie B.V.;;;1;;;;;;1
American Roadhouse B.V.;;1;1;;;;;;1
Amethist Developing People B.V.;;;;;1;;;;1
AMI Maastricht;;;;;2;;;;2
Amigo;;;1;;;;;;1
Amis Services B.V.;;;2;2;2;;;;3
Amisni B.V.;;;1;;;;;;1
AMK Arbeidsintegratie;;;;;1;;;;1
Amler B.V.;;;;;;;;1;1
AMPLEXOR Netherlands;;;;;1;;;;1
Amplixs Interaction Management B.V.;;;;;2;;;;2
Amstelplein 4 B.V.;;;;;;;;1;1
Amsterdam Boats B.V.;;1;;;;;;;1
Amsterdam Dungeon B.V.;;;1;;;;;;1
Amsterdam Experience;;1;;;;;;;1
Amsterdam Flowers;;;1;;;;;;1
Amsterdam Loopt;;1;;;;;;;1
Amsterdams ADR Instituut B.V.;;;;;2;;;;2
Amsterdams Ballonnen Bedrijf;;;1;;;;;;1
Amsterdamse Orde van Advocaten;;;1;;;;;;1
Amsterdamse Watertaxi Centrale B.V.;;;1;;;;;;1
An Fong Best B.V.;;;1;;;;;;1
Anaguía;;;;;1;;;;1
'Ananda';;;;;1;;;;1
Andale;;;;;1;;;;1
Ander Licht;;;1;;1;;;;1
Andersson Elffers Felix;;;;;3;;;;3
Andre Kerstens B.V.;;;1;;;;;;1
Andrea en Andrea B.V.;;;;;2;;;;2
André's Bloemen B.V.;;;1;;;;;;1
Angela Wijers Trainingen;;;;;1;;;;1
Anja's Broodjesdienst;;;1;;;;;;1
Anker & Kompas;;;;;1;;;;1
Anne Heleen Bijl Creatieve Consultancy;;;;;1;;;;1
Annelies Hillen Coaching;;;;;1;;;;1
Annemarie Willems Producties;;;1;;1;;;;1
Annette Polman Atelier;;;;;1;;;;1
anoniem;;1;2;1;4;;;2;4
Anovis B.V.;;;;;;;;1;1
Antoinette van Gurp;;;;;1;;;;1
AOB Compaz B.V.;;;1;;1;;;;1
Aparthotel 't Suyderduyn B.V.;;;4;;;;;;4
Apartt Rotterdam Horeca B.V.;;;1;;;;;;1
APCOA Parking Nederland B.V.;;;;;;;;1;1
Aperitivo B.V.;;;;;;;;1;1
apetito B.V.;;;;;;;;1;1
APG Asset Management N.V.;;;;;;;;1;1
APG Service Partners B.V.;;;4;;;;;;4
Apollo13;;;1;;1;;;;1
Apotheek Ypenburg;;;;;;;;1;1
Apox B.V.;;;1;;;;;;1
Appelscha-Outdoor;;;1;;2;;;;2
Applied Research Laboratory Eur. (ARLE) B.V.;;;1;;;;;;1
Aps (Dsluis,Veer,Schans,Schouw);;;1;;;;;;1
Aps Arnhem-Zuid;;;1;;;;;;1
Aqua Flor Bloembinderij V.O.F.;;;1;;;;;;1
Aqua Zoo Friesland;;;1;;;;;;1
AR Mediation en Bedrijfsjuridisch Advies;;;;;1;;;;1
AR Updates B.V.;;;;;1;;;;1
ARAG Rechtsbijstand;;;1;;;;;;1
Arag-Ned., Alg. Rechtsbijst. Verzeker.mij NV;;;1;;;;;;1
Arap Relatiegeschenken B.V.;;;1;;;;;;1
Arb.psych. Adv.bureau J.J. van den Broek B.V.;;;1;;1;;;;1
Arbo Safe B.V.;;;;;1;;;;1
Arbo Unie B.V.;;6;1;1;1;;;;6
Arbode B.V.;;;;;1;;;;1
ArboDirect;;;;;1;;;;1
ArboFragma;;;;;1;;;;1
Arborapport R.K. Snijder;;;;;;;;1;1
Arbo-Rie-Support B.V.;;2;;;;;;;2
ArboVitale B.V.;;1;1;;;;;;1
ARC Arbeidsrelatiecoach Ruth;;;;;1;;;;1
Archol;;;;;1;;;;1
Ardis Organisatieontwikkeling B.V.;;;;;2;;;;2
Arehbo (Service & Advies);;;;;1;;;;1
Arendshoeve B.V.;;;1;;;;;1;1
Aristo Amsterdam B.V.;;;1;;;;;;1
Armada (Haaglanden) Catering;;;1;;;;;;1
ArmSlag ArbeidsmarktOpleidingen B.V.;;;;;1;;;;1
Arriva Touring;;;;;;;;1;1
ARS Docendi;;;;;;;;1;1
Art & Dining;;;;;;;;1;1
Art & Woonhotel De Lichttoren B.V.;;;;;1;;;;1
Art of Events;;;2;;;;;;2
Artha training & coaching B.V.;;;;;2;;;;2
Artiestenbureau van Otterloo B.V.;;;1;;;;;;1
Artihove Regina B.V.;;;1;;;;;1;1
Artmotivator;;;;;1;;;;1
Artra B.V.;;;;;1;;;;1
Arts & Dennissen Catering;;;1;;;;;;1
ARTTRA Cultureel Organisatiebureau;;;1;;;;;;1
arvato Finance B.V.;;1;;;;;;;1
Arvelo;;;;;1;;;;1
AS 21 B.V.;;;;;;;;1;1
Ascom (Nederland) B.V.;;;;;2;;;;2
Asgard Hotel B.V.;;;;;;;;1;1
A-side media B.V.;;;;;2;;;;2
Asmani Project Management;;1;;;;;;;1
Asselbergs & Klinkhamer Advocaten;;;;;1;;;;1
Associated Business Consultants;;;;;1;;;;1
Assurantiekantoor Lodewijk B.V.;;;1;;;;;;1
Astare;;;;;;;;1;1
Astrid van Ruijven Training & Advies;;;;;3;;;;3
At Computing B.V.;;;;;1;;;;1
At Osborne B.V.;;;;;1;;;;1
A-Tax De Vries Taxi B.V.;;;;;;;;1;1
Atelier Da Vince;;;1;;;;;;1
Atelier de Pleijsterplaats;;;1;;1;;;;1
Atelier Hobbijou;;;;;1;;;;1
Atelier Meike Beekhuis;;;1;;;;;;1
Atelier Sanne Dols;;;;;1;;;;1
Athene Palace B.V.;;;;;;;;1;1
Atlantic Hotel Exploitatie B.V.;;;;;1;;;1;1
Atos Nederland B.V.;;;;;1;;;;1
Auberge de Veste;;;;;;;;1;1
Auberge De Zwaan Oirschot B.V.;;;1;;;;;;1
Auberge du Bonheur B.V.;;;;;;;;1;1
Auberge Navet V.O.F.;;;1;;;;;;1
Aude;;;;;1;;;;1
Audius;;;;;1;;;;1
Augusta B.V.;;;;;1;;;;1
Auke Smits Publiciteit B.V.;;;;1;;;;;1
Auto- Rijw. en Taxibedrijf Klein Brinke B.V.;;;;;;;;1;1
Auto Sturm Lease B.V.;;;;;;;;2;2
Autobedrijf Holsch B.V.;;;;;;;;1;1
Autobedrijf P.W.Y. Zantingh;;;;;;;;1;1
Autobedrijf van Reenen;;;1;;;;;1;1
Autogrill Nederland B.V.;;;;;;;;1;1
AUTOLOK BV;;;;;;;;1;1
Automatic Signal Rijsenhout B.V.;;;;;;;;1;1
Automotive Publishing B.V.;;;;;1;;;;1
Autop Sittard;;;1;;;;;1;1
Autoverhuur Drenthe Assen B.V.;;;;;;;;1;1
Autoverhuur Rijnmond B.V.;;;;;;;;1;1
Autoverhuur Sloothaak B.V.;;;;;;;;1;1
Autoverhuur Van der Weerd B.V.;;1;;;;;;;1
Autoverhuurbedrijf Tigchelaar B.V.;;;;;;;;1;1
AV Point Europe B.V.;;;1;;1;;;;1
Avans Hogeschool B.V.;;;;;3;;;;3
Avantiro;;;;;1;;;;1
Avetica B.V.;;;;;1;;;;1
Aviodrome;;;2;;;;;;2
AVT Benelux B.V.;;1;;;1;;;;1
Awec Sandur B.V.;;;1;;;;;;1
Axyos B.V.;;;;;2;;;;2
AyniSpirit;;;;;1;;;;1
AZ Barbecue & Gourmet Partyservice B.V.;;;1;;;;;1;1
Aziatische Bloemsierkunst V.O.F.;;;1;;;;;;1
B & B Ambachtelijke Bakkerij B.V.;;;1;;;;;;1
B & V Brandbeveiliging B.V.;;1;;;1;;;;1
B Tax;;;;;;;;2;2
B&B Mollenvlied;;1;;;;;;;1
B&C Melissen Advocaten;;;;;;;;1;1
B&G Catering Service;;;;;;;;1;1
B. van Dekken Beheer B.V.;;;;;1;;;;1
B.ict Solutions;;;;;1;;;;1
B.V. Bouwbedrijf Breumelhof;;1;;;;;;;1
B.V. Copes SNEL;;;;;;;;1;1
B.V. Exploitatiemaatschappij Museumstoomtram;;;1;;;;;;1
B.V. Fryslan Miljeu Bedrijfsservice (Omrin);;;;;1;;;;1
B.V. Hotel Bel Air Den Haag;;;;;1;;;1;1
B.V. Nederlands Onderwijs Instituut;;;;;1;;;;1
B.V. Ondernemingshuis Kantorenpark Sittard;;;1;;1;;;;1
B.V. Panorama Mesdag;;;1;;;;;;1
B.V. Perscentrum Nieuwspoort;;;1;;;;;;1
B.V. Princeville Exploitatie;;;;;;;;1;1
B.V. VITESSE;;;1;;;;;;1
B+B Vakmedianet B.V.;;;1;;2;;;;2
B4 Solutions;;;;;1;;;;1
Baas & Co.;;;;;1;;;;1
Babel B.V.;;;;;1;;;;1
Babel Talen;;;;;1;;;;1
Babo café;;;;;;;;1;1
BAB-VIOS Touringcars B.V.;;;1;;;;;;1
Babycompany.nl;;;1;;;;;;1
Bacchus Bistro;;;1;;;;;;1
Bacco Perbacco;;;1;;;;;;1
BACD;;;1;;1;;;;1
Bad Hotel Renesse;;;;;1;;;;1
Badhotel Bruin;;;1;;;;;;1
Bagels & Beans Exploitatie B.V.;;;;;;;;1;1
Bagels & Beans Vivaldi;;;1;;;;;1;1
bagsandboxes;;;1;;;;;;1
Bak Travel;;;1;;;;;1;1
Bakery Cafe Kottier;;;1;;;;;;1
Bakker & Schnabel B.V.;;;;;1;;;1;1
Bakker & Schnabel Bemiddeling;;;;;1;;;;1
Bakker Albert;;;1;;;;;;1
Bakker Breggen Bakkerij B.V.;;;1;;;;;;1
Bakker Derks 'Der Deutsche Backer';;;;;;;;1;1
Bakker Travel B.V.;;;;;;;;1;1
Bakker Van Maanen Productie B.V.;;;1;;;;;;1
Bakker Wijnand V.O.F.;;;1;;;;;;1
Bakker Wim;;;1;;1;;;1;1
Bakkerij A. Tammer V.O.F.;;;1;;;;;;1
Bakkerij A.M.J. Verbeek;;;1;;;;;;1
Bakkerij Bongaards V.O.F.;;;1;;;1;;;1
Bakkerij Bornhijm B.V.;;;1;;;;;1;1
Bakkerij Brokking;;;1;;;;;1;1
Bakkerij Brood & Meer;;;1;;;;;;1
Bakkerij Dam B.V.;;;1;;;;;;1
Bakkerij De Lekkerbek B.V.;;;1;;;;;;1
Bakkerij Deterd B.V.;;;1;;;;;;1
Bakkerij Drieslag;;;;;1;;;1;1
Bakkerij Hilvers B.V.;;;1;;;;;;1
Bakkerij Jansen en Terpstra;;;1;;;;;1;1
Bakkerij Jos Rood B.V.;;;1;;;;;;1
Bakkerij Leurs;;;1;;;;;;1
Bakkerij M. Michiels B.V.;;;1;;;;;;1
Bakkerij Nijstad;;;1;;;;;;1
Bakkerij Olink;;;1;;;;;;1
bakkerij Piet Haaksma;;;;;;;;1;1
Bakkerij Schutte;;;1;;;;;;1
Bakkerij 't Zand B.V.;;;1;;;;;;1
Bakkerij Van der Brug;;;1;;;;;;1
Bakkerij van Dommelen Maarssen C.V.;;;1;;;;;;1
Bakkerij van Zuijlen;;;1;;;;;;1
Bakkerij Vos;;;1;;;;;;1
Bakkerscafé Brood op de Plank;;;1;;;;;;1
Bakx & Meijer catering en organisatie;;;1;;;;;;1
Balans & Impuls B.V.;;;1;;1;;;;1
Balans International B.V.;;;;;1;;;;1
Balls and Arrows;;;1;;;;;;1
Bally's eten & drinken;;;;;;;;1;1
Bandra Beheer B.V.;;;1;;;;;;1
Bang on the Beach B.V.;;;;;;;;1;1
Banketbakkerij Arnold Cornelis B.V.;;;1;;;;;;1
Banketbakkerij Bergenhenegouwen;;;1;;;;;;1
Banketbakkerij Boheemen;;;1;;1;;;1;1
Banketbakkerij G.C.J.F. Gordijn;;;1;;;;;;1
Banketbakkerij H.F. Borsboom;;;1;;;;;;1
Banketbakkerij Jan de Groot;;;1;;;;;1;1
Banketbakkerij Jansen-de Koning;;;1;;;;;;1
Banketbakkerij Konditorei v.d. Sterre V.O.F.;;;1;;;;;;1
Banketbakkerij Lentz;;;1;;;;;;1
Banketbakkerij Maison Kelder B.V.;;;1;;1;;;1;1
Banketbakkerij Marco Osté;;;1;;;;;;1
Banketbakkerij Nijstad;;;1;;;;;;1
Banketbakkerij Oorbeek;;;1;;;;;;1
Banketbakkerij Salverda;;;1;;;;;;1
Banketbakkerij Smeets;;;1;;;;;;1
Banketbakkerij Stevers B.V.;;;1;;;;;;1
Banketbakkerij Theo Blom V.O.F.;;;1;;;;;1;1
Banketbakkerij van Beek & Specker B.V.;;;1;;;;;1;1
Banketbakkerij Van Dijk en Zoon;;;1;;;;;1;1
Banketbakkerij Verspeek;;;1;;;;;;1
Banketbakkerij-Partyservice Van den Berg;;;1;;;;;;1
Banning N.V.;;;;;;;;1;1
Bar & Restaurant De drie ysermannen;;;;;;;;1;1
Bar Le Duc;;;1;;;;;1;1
Bar Lekker;;;1;;;;;;1
Bar Restaurant La Vina;;;1;;1;;;1;1
Bar Restaurant Pavlov B.V.;;;1;;1;;;2;2
Barbarossa Beach B.V.;;;;;;;;1;1
Barbecue Bus;;;1;;;;;;1
Barbeque Specialist de Visser;;;;;;;;1;1
BarentsKrans N.V.;;;;;;;;1;1
Barista Bandits;;;;;;1;;;1
Bar-Restaurant Duvels;;;1;;;;;;1
Bar-Restaurant Imono;;;;;;;;1;1
Bart Strijbosch B.V.;;;1;;;;;;1
Bart van Dieken Fotografie;;;1;;;;;;1
Bartholomeus Gasthuis;;;1;;;;;;1
Bartraxie;;;1;;;;;;1
BAS Bedrijfskleding B.V.;;;1;;;;;;1
Bas Westland Beheer B.V.;;;;1;1;;;;1
Basaal;;;;;;;;1;1
Basic Fit Oss;;;1;;;;;;1
Bastion Holding B.V.;;;;;;;;1;1
Bastion Hotel Maastricht B.V.;;;;;;;;1;1
Bastion Hotel Rijswijk B.V.;;;;;;;;1;1
Batavia Werf;;1;;;;;;;1
Baumann & Steffen Sicherheitstechn. Ned. B.V.;;;4;;;;;;4
Bavak Beveiligingsgroep B.V.;;;;;3;;;;3
BB Office & Ergonomics;;1;;;;;;;1
BCD Travel Nederland B.V.;;;1;;;;;7;7
BCN B.V.;;;;;1;;;;1
BCT B.V.;;;;;1;;;;1
BDGF B.V.;;;1;;;;;1;1
Be more Mindful;;;;;1;;;;1
BE+ER;;;;;;1;;;1
Beachclub 57;;;1;;;;;1;1
Beachclub The Bing B.V.;;;1;;;;;;1
BeamSystems B.V.;;;1;;;;;;1
Beatrixtheater B.V.;;;2;;;;;;2
Becis B.V.;;;;;2;;;;2
Bedrijfsfitness Nederland B.V.;;4;1;;1;;;;4
Bedrijfskring Heerhugowaard;;;1;;;;;;1
BedrijfsMotivaties B.V.;;;1;;1;;;;1
Bedrijvenkring Bornsestraat Almelo;;;1;;;;;;1
Beekse Bergen Exploitatie B.V.;;1;1;;;;;;1
Beenhakkers Slagwerk;;;1;;;;;;1
Beest en Goed;;;;;1;;;;1
BeHaVe4All;;;;;1;;;;1
Behr Groep Nederland B.V.;;;;;1;;;;1
Beimers Taxi;;;1;;;;;1;1
Beko Bakkerij Techniek B.V.;;;1;;;;;;1
Beko Verpakkingen B.V.;;;1;;;;;;1
Belangenver. Bedrijfshulpverlening Nederland;;;1;;;;;;1
Belarto Nederland B.V.;;;1;;;;;;1
Beleg van Almere;;;1;;;;;;1
Beleg van Breda;;;;;;;;1;1
Belfleur;;;1;;;;;;1
Belgian Beer Cafe Belvédère;;;1;;;;;1;1
Belgisch Biercafé Olivier B.V.;;;1;;;;;1;1
Beljon + Westerterp Development B.V.;;;;;1;;;;1
Bellagio Den Bosch B.V.;;;1;;;;;;1
Bellevue Groothoofd hotel culinair B.V.;;;1;;;;;;1
Ben Tiggelaar & Company B.V.;;;;;1;;;;1
Bendien Consultancy;;;;;1;;;;1
Benecke Beheer B.V.;;;;;1;;;;1
Benecke Education B.V.;;;;;1;;;;1
Benelux Hotel Exploitatie II B.V.;;;;;1;;;;1
Benner Exploitatie B.V.;;;1;;;;;;1
Benner Kaap Hoorn Exploitatie B.V.;;;1;;;;;1;1
Ben's Beste Super B.V.;;;1;;;;;;1
BenS Colors;;;1;;;;;;1
Benti Beheer B.V.;;;;;;;;1;1
Bentlage Communicatie;;;;;1;;;;1
Ber.ver. voor Buitengew. opsporingsambtenaren;;;1;;;;;;1
Berenschot Groep B.V.;;;1;;4;;;;4
Berger Psychologie;;1;1;;;;;;1
Bergh Delisse Events;;;1;;;;;;1
Berghauser Pont Academy B.V.;;;;;1;;;;1
Berkenplas V.O.F.;;1;;;;;;;1
Beroepsver. van Professionals in Sociaal Werk;;;;;3;;;1;3
Beroepsvereniging Arbo-Adviseurs;;1;;;;;;;1
Beroepsvereniging voor Public Affairs (Bvpa);;;1;1;1;;;;1
BERT HELLINGERINSTITUUT;;;;;1;;;;1
Bestuursacademie Nederland Opleidingen B.V.;;;;;2;;;;2
Bettink Meijer Advocaten;;;1;;;;;;1
Betty Wijntjes, coach loopbaan en ontwikkel.;;;;;1;;;;1
Between B.V.;;;;;;;;1;1
Beugeling Interim Partner B.V.;;;;;1;;;;1
Beuk Touringcars;;;1;;;;;1;1
Beurs Rotterdam N.V.;;;;;1;;;;1
Bever B.V.;;;1;;;;;;1
BHV Competent;;1;;;;;;;1
Bianca de Wit Photography;;;1;;;;;;1
Bierens Van Boven advocaten;;;1;;;;;;1
Biesenhof Horeca;;;1;;;;;;1
BigaBeer t.h.o.d.n. De Bezorgbeer Zoetermeer;;;;;;;;1;1
Bigoli;;;;;;;;1;1
Bij Maud Workshops Tilburg;;;1;;1;;;;1
Bij Teus;;;;;;;;1;1
Bijzondere Zaken;;;;;1;;;;1
BijzonderStrafrecht.nl;;;1;;2;;;;2
Bilderberg Europa Hotel Scheveningen;;;;;1;;;;1
Bilderberg Grand Hotel Wientjes;;;1;;;;;1;2
Bilderberg Hotel De Buunderkamp;;;;;2;;;;2
Bilderberg Hotel De Klepperman;;;;;1;;;;1
Bilderberg Hotel 't Speulderbos;;;;;;;;1;1
Bilderberg Parkhotel Rotterdam;;;1;;;;;1;1
Bilderberg Residence Groot Heideborgh;;;;;1;;;1;1
Binkies Food & Drinks B.V.;;;1;;;;;1;1
Binnen Breda B.V.;;;;;;;;1;1
Binnenlands Bestuur B.V.;;;;;1;;;;1
Biologisch Slagerij Haverkort;;;1;;;;;;1
Bird Jazz Podium/Horeca B.V.;;;1;;;;;;1
BirdView Expertises B.V.;;1;1;;;;;;1
Bis 26 B.V.;;;1;;;;;;1
BIS Bedrijfs Informatie Systemen B.V.;;;;;1;;;;1
BIS Elektrotechniek B.V.;;;;;1;;;;1
Bison Bowling;;;1;;;;;1;1
Bison Haarlem B.V.;;;1;;;;;1;1
Bistro De Rotonde;;;;;;;;1;1
Bistro Jacques;;;;;;;;1;1
Bistro Pampus;;;1;;;;;;1
Bistro Vive la Vie;;;;;;;;1;1
bITa Center B.V.;;;;;1;;;;1
Bizzdesign Academy B.V.;;;;;2;;;;2
Black and Blue B.V.;;;1;;;;;;1
Blankestijn & Partners B.V.;;;;;2;;;;2
Bleekemolen Indoor Kart Planet B.V.;;;1;;;;;;1
Blender B.V.;;;1;;;;;;1
Blij Lunch & Borrelroom;;;;;1;;;;1
Blik op Ethiek;;;1;;1;;;;1
bloem & styling aan de zeven alleetjes;;;1;;;;;;1
Bloem- en Tuincentrum Van der Maat B.V.;;;1;;;;;;1
Bloemberg Advies;;;;;1;;;;1
