2;1000 - Personele exploitatie overig;1120 - Arbeidsomstandigheden en personele zorg (incl. BHV middelen);1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Studie en opleiding;1160 - Personeelsevenementen, - bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis en verblijfkosten;Eindtotaal
Artihove Regina B.V.;;;1;;;;;;1
Artisante;;;1;;;;;;1
Artpub B.V.;;;1;;;;;;1
Asia Vietnamees Spec. Rest.;;;1;;;;;;1
ASL;;;;;;;;2;2
Ass. Autofauteuils B.V.;;;;;;1;;;1
Assemblee Sprekersbureau B.V.;;;;;1;;;;1
Astrid Ticheler Consultancy;;;;;1;;;;1
Atelier Ellen Kleine Schaars;;;1;;;;;;1
Atim Bace Academy;;;;;1;;;;1
Atlantis Almere B.V.;;;1;;;;;;1
Auberge de Rousch;;;1;;;;;;1
Auberge Navet V.O.F.;;;1;;;;;;1
Audicare Computer Administratie B.V.;;;;;1;;;;1
Authentiek leiderschap B.V.;;;;;1;;;;1
Auto- & Mot. Hobbycl. LT. Kol. Tonnetkazerne;;;1;;2;;;;2
Auto Jansen;;;;;;1;;;1
Autobedrijf Smaling;;;;;1;;;;1
Autoschade Centrum Rivierenland B.V.;1;;;;;;;;1
Avans Hogeschool B.V.;;;;;1;;;;1
AVEQ Creatieve Producties B.V.;;;;;;2;;;2
AVEQ Interactieve Media B.V.;;1;;;;;;;1
B.V. Amstel Hotel Maatschappij;;;;;;;;1;1
B.V. Eerste Hulp Dichtbij!;;1;;;;;;;1
B.V. Het Refter;;;1;;;;;;1
B.V. Nart;;;;;1;;;;1
B.V. Rederij G. Doeksen en Zonen;;;;;;;;1;1
B.V. 't Nieuwe Draeckje;;;1;;;;;;1
B+B Vakmedianet B.V.;;;;;1;;;;1
B55;;;1;;;;;;1
Bäcker Derks Kronenburg V.O.F.;;;1;;;;;;1
Béla's Horeca & Bakkerij Exploitatie;;;1;;;;;;1
Böwe Systec Nederland B.V.;;;;;1;;;;1
Babbels;;;1;;;;;;1
BABO Caf?? B.V.;;;1;;;;;;1
BAB-VIOS TOURINGCARS;;;;;;1;;;1
Back 2 the Beach B.V.;;;;;1;;;;1
Back in Town;;;1;;;;;;1
Badhu B.V.;;;1;;;;;;1
Bagels & Beans Belfort 6 Almere;;;1;;;;;;1
Bakker Derks 'Der Deutsche Backer';;;1;;;;;;1
Bakkerij Jager;;;1;;;;;;1
Balans & Impuls B.V.;;1;;3;1;;;;3
Balans Group B.V.;;;1;;;;;;1
Balloons 2 Go B.V.;;;1;;;;;;1
Balls and Arrows;;;;;1;;;;1
BandZoeker Music B.V.;;;1;;;;;;1
Banketbakkerij M.J. van Beek;;;1;;;;;;1
Banketbakkerij Nijstad;;;1;;;;;;1
Banketbakkerij Rijkhoff B.V.;;;1;;;;;;1
Bapas;;;1;;;;;;1
Bar Bistro de Rode Haan;;;1;;;;;;1
Bar Bistro 'Pieke Potloed';;;1;;;;;;1
Bar Bouwmeester B.V.;;;1;;;;;;1
Bar De Tapperij;;;1;;;;;;1
Bar Eetcafe Te Pas;;;1;;;;;;1
Bar Italia;;;1;;;;;;1
Bar Le Duc;;;1;;;;;;1
Bar Restaurant Pavlov B.V.;;;2;;;;;;2
Barn47 B.V.;;;1;;;;;;1
Bartenders;;;1;;;;;;1
Bar-West B.V.;;;1;;;;;;1
Bascafe;;;1;;;;;;1
Basis Ontwerp;;;1;;;;;;1
Bassoonery;1;;;;;;;;1
Battlefield Live Nederland B.V.;;;1;;;1;;;1
Baumann & Steffen Sicherheitstechn. Ned. B.V.;;;;;1;;;;1
Baumgardt & Brokling Advocaten;;;;;1;;;;1
BAX B.V.;;;1;;;;;;1
BBQ-Buffet Restaurant De Opschepper;;;1;;;;;;1
BCD Travel Asia B.V.;;;;;1;;;;1
BCM Academy B.V.;;;;;1;;;;1
Beach Club WOW;;;1;;;;;;1
Beachclub Copacabana B.V.;;;1;;;;;;1
Beachclub Lemmer;;;1;;;;;;1
BEACHCLUB PEUKIE BV;;;1;;;;;;1
Bean there Surinaams eetcafé;;;1;;;;;;1
Bed & Breakfast feel@home;;;;;;;;1;1
BedrijvennetwerkHR;;;;;1;;;;1
Beheerstichting De Goudsche Waag;;;;;;1;;;1
Beiaard Groep Nederland B.V.;;;1;;;;;;1
Belangen Vereniging S.P.D.;;;;;1;;;;1
Beleving aan zee;;;1;;;;;;1
Belgisch Biercaf� Olivier B.V.;;;1;;;;;;1
Benelux Solar & Techn. Syst.-Applicat. B.V.;;1;;;;;;;1
Berenschot Interim Management B.V.;;;;;3;;;;3
Berghauser Pont Academy B.V.;;;;;1;;;;1
Berghorst Horeca Exploitatie B.V.;;;1;;;;;;1
Bermuda Eindhoven B.V.;;;1;;;;;;1
Beroepsver. van Professionals in Sociaal Werk;;;;;1;;;;1
Beroepsvereniging Vide;;;;;;;1;;1
Bestuursacademie Nederland Opleidingen B.V.;;;;;1;;;;1
Beter Horen B.V.;;;;1;;;;;1
Bezemer Kuiper & Schubad B.V.;;2;;;;;;;2
BHV - SPECIALIST.NL;;1;;;;;;;1
Biercaf� De Bonte Koe;;;1;;;;;;1
Bierfabriek Delft B.V.;;;1;;;1;;;1
Bierfabriek Nes B.V.;;;1;;;;;;1
Big Sur B.V.;;;;;1;;;;1
Bij Aaltje aan de Linie;;;;;1;;;;1
Bij De Nonnen;;;1;;;;;;1
BIJ GIEL B.V.;;;1;;;;;;1
'bij tante';;;1;;;;;;1
BijzonderStrafrecht B.V.;;;;;1;;;;1
Bilderberg Europa Hotel Scheveningen;;;;;;1;;;1
Bilderberg Hotel De Keizerskroon;;;;;;1;;;1
Biljart-Dartcafé Janssen&Janssen;;;1;;;;;;1
Bimbimbikes B.V.;;;;;;1;;;1
Binoq B.V.;;;;;1;;;;1
BirdView Expertises B.V.;;;;1;;;;;1
Bison Bowling;;;;;;1;;;1
Bistro Bonne Femme;;;1;;;;;;1
Bistro Brasserie Het Ei Van Columbus;;;1;;;;;;1
Bistrot de la Place;;;1;;;;;;1
BitSensor B.V.;;;1;;;;;;1
BitterSweetz;;;1;;;;;;1
BJM Techonology Ltd.;;;;;1;;;;1
Black Heritage Tours;;;;;;1;;;1
Blad Truck- & Autobusopleidingen;;;;;1;;;;1
Bloembinderij Calendula;;;1;;;;;;1
Bloembinderij van der Maat;;;1;;;;;;1
Bloemisterij 'Melia';;;1;;;;;;1
BLOS Horeca B.V.;;;1;;;;;;1
BLOSSOM bloemisterij;;;1;;;;;;1
BlueCity010 B.V.;;;;;;1;;;1
BlueDogConnection B.V.;;5;;;;;;;5
Boats4rent B.V.;;;1;;;;;;1
Bob de Ronde Partners;;;;;1;;;;1
Bodega De Posthoorn;;;1;;;;;;1
Bodhi Tree B.V.;;;;;1;;;;1
Boeketcadeau.nl;;;1;;;;;;1
Boerderij de Huppe;1;;;;;;;;1
Boerensolexverhuur;;;1;;;;;;1
Boertien Vergouwen Overduin B.V.;;;;;2;;;;2
Bold Move B.V.;;;;;1;;;;1
Bollore Undici;;;1;;;;;;1
Bolyari;;;1;;;;;;1
Bonusan B.V.;;;;;1;;;;1
Boogh Arbeidsre-integratie;;;;1;;;;;1
Boostenhof;;;1;;;;;;1
Bootcamp Inc.;;;;;1;;;;1
Borrelrestaurant James;;;1;;;;;;1
Bos & Bos Infoversum B.V.;;;1;;;;;;1
Boterhal;;;1;;;;;;1
Boulangerie Oscar;;;1;;;;;;1
Boulevard Café Amsterdam;;;1;;;;;;1
Bouvigne Paradijs B.V.;;;1;;;;;;1
Bouwcombinatie DUO2 V.O.F.;;;1;;;;;;1
Bouwkunde;;;1;;;;;;1
Bowling- & Partycentrum Groningen B.V.;;;;;;1;;;1
Bowling en Partycentrum Heerenveen;;;;;;1;;;1
Bowling- en Partycentrum Westerpark B.V.;;;;;;1;;;1
Bowling Harderwijk B.V.;;;;;;1;;;1
Bowling Scheveningen B.V.;;;1;;;1;;;1
Bowlingcentrum Apeldoorn B.V.;;;;;;1;;;1
Bowlingcentrum Groeneveld;;;;;;1;;;1
Bowlingpaleis Stad Roermond;;;;;;1;;;1
BPN 019 Biro Umum;;;;;;;;1;1
Brüggemann horeca groep;;;1;;;;;;1
Brabant Water N.V.;;;1;;;;;;1
Brafoer B.V.;;;1;;;;;;1
Brain Box Mediatraining B.V.;;;;;2;;;;2
Bram's Gourmet Frites;;;1;;;;;;1
BrandsÃ¸n, drinking bar & dining room;;;1;;;;;;1
Bras.-Restaurant Korderijnk 'sinds 1916' B.V.;;;1;;;;;;1
Brasserie De 3 Heeren;;;1;;;;;;1
Brasserie De 7 Deugden;;;1;;;;;;1
Brasserie De Boerderij;;;1;;;;;;1
Brasserie de Eyserhof;;;1;;;;;;1
Brasserie de Houtrib;;;1;;;;;;1
Brasserie de Koepel;;;1;;;;;;1
Brasserie de Waag;;;1;;;;;;1
Brasserie d'Oude Veiling;;;1;;;;;;1
Brasserie 'Het Vliegerhuys';;;1;;;;;;1
Brasserie in de Verleeden Tijd;;;1;;;;;;1
Brasserie Jansen;;;1;;;;;;1
Brasserie Kriebelz;;;1;;;;;;1
Brasserie Lieveling;;;1;;;;;;1
Brasserie Lodge Visdonk;;;1;;;;;;1
Brasserie Mijn Streek B.V.;;;1;;;;;;1
Brasserie NUL76;;;1;;;;;;1
Brasserie Paris;;;1;;;;;;1
Brasserie So Nice;;;1;;;;;;1
Brasserie 't Raethuys;;;1;;;;;;1
Brasserie 't Zusje;;;;;;1;;;1
Brasserie 't Zusje Nijmegen B.V.;;;1;;;;;;1
Brasserie 't Zusje Scheveningen B.V.;;;1;;;;;;1
Brasserie 't Zusje Sint-Oedenrode B.V.;;;1;;;;;;1
Brasserie Vrienden;;;1;;;;;;1
Brasserie Westbeer;;;1;;;;;;1
Brasserij De Bergerrie;;;1;;;;;;1
Bravo 24 B.V.;;;1;;;;;;1
BRB Sound;;;1;;;;;;1
Break Free Fun Company;;;1;;;;;;1
Break Out Events B.V.;;;1;;;;;;1
Brechtje Kessener;;;1;;;;;;1
Bredase Eurofins Personeelsvereniging;;;1;;;;;;1
Bret B.V.;;;1;;;;;;1
Brinkhof N.V.;;;;;1;;;;1
Brndstf. ('brandstof');;;;;1;;;;1
Broekies Entertainment Group Bunnik;;1;;;;;;;1
Broers;;;1;;;;;;1
BroerZ;;;;;1;;;;1
Brofa B .V.;;;;;;;;1;1
Brood- en Banketbakkerij P.A. Bliek;;;1;;;;;;1
Broodje Kooiker;;;1;;;;;;1
Brouwhuis Breda B.V.;;;1;;;;;;1
BR-Platform Nederland;;;;;1;;;;1
Bruker Nederland B.V.;;;;;1;;;;1
BRUKER OPTIK GmbH;;;;;1;;;;1
Brut Burger Bar;;;1;;;;;;1
Buddha Garden;;;1;;;;;;1
Buds Tolhuis NO.11;;;1;;;;;;1
Buffetrestaurant 'De Troubadour';;;1;;;;;;1
Buitengoed Uylenburg B.V.;;;;;;;;1;1
Buitenhuis Solexverhuur;;;1;;;;;;1
Buitenpoort Gelredome B.V.;;;2;;;;;;2
Bureau Aldoende;;;;;1;;;;1
Bureau de Bakker;;;1;;;;;;1
Bureau Pals B.V.;2;;;;;;;;2
Bureau Zuidema B.V.;;;;;3;;;;3
Bureau Zuijdgeest Beter Schrijven;;;;;1;;;;1
Burghoorn Trainingen;;;;;1;;;;1
BurnInn B.V.;;;;1;;;;;1
Buro Rood;;;;;4;;;;4
Burrata Turfmarkt B.V.;;;1;;;;;;1
Businessbloemist De Lotus;;;1;;;;;;1
Butler Laurens;;;;;1;;;;1
BVO Opleidingen B.V.;;;;;2;;;;2
By Tater;;;1;;;;;;1
C.I.C. Company B.V.;;;;;1;;;;1
C.M.Stokkermans;;;;;1;;;;1
C.O.T.A.;;;;;2;;;;2
C.P.I. Governance B.V.;;;;;1;;;;1
C.R.M. van Veen B.V.;;;;;1;;;;1
C.V. Het Uddelermeer;;;1;;;;;;1
César Lüttger;1;;;;;;;;1
Cabbie;;;;;1;;;;1
Cadeau Concepten B.V.;;;1;;;;;;1
Cado Flower & Food Stylist;;;1;;;;;;1
Caf?? de Pepel;;;1;;;;;;1
Caf?? Le Montmartre de Paris;;;1;;;;;;1
Café ¨de Steen¨;;;1;;;;;;1
Café Bar De Stee;;;1;;;;;;1
Café Beugelbaan Braam;;;1;;;;;;1
Café Boonstra;;;1;;;;;;1
Café De Boer;;;1;;;;;;1
Café De Dijk B.V.;;;1;;;;;;1
Café De Dikke Stein;;;1;;;;;;1
Café De Hamer;;;1;;;;;;1
Café De Hazewind;;;1;;;;;;1
Café de Slijterij;;;1;;;;;;1
Café De Stam B.V.;;;1;;;;;;1
Café De Voetnoot;;;1;;;;;;1
Café De Walvis;;;1;;;;;;1
Café D'n Döbbele Vonck;;;1;;;;;;1
Café Extrablatt Enschede B.V.;;;1;;;;;;1
Café Jansen B.V.;;;1;;;;;;1
Café Koos;;;1;;;;;;1
Café Middeloo;;;1;;;;;;1
Café 'Ons Honk';;;1;;;;;;1
Café 'Pollux';;;1;;;;;;1
Café Restaurant De Beyerd;;;1;;;;;;1
Café Restaurant De Vereniging Elst B.V.;;;1;;;;;;1
Café Restaurant Jongepier;;;1;;;;;;1
Café Restaurant Kapitein Zeppos;;;1;;;;;;1
Café Restaurant Rootz B.V.;;;1;;;1;;;1
Café Restaurant Van Veen Witten;;;1;;;;;;1
Café Roothans;;;1;;;;;;1
Café Salden;;;1;;;;;;1
Café 'Silversant';;;1;;;;;;1
Café Singelier;;;1;;;;;;1
Café Sprakel B.V.;;;1;;;;;;1
Café 't Fust;;;1;;;;;;1
Café 't Trefpunt;;;1;;;;;;1
Café Vrijdag Amsterdam B.V.;;;1;;;;;;1
Café zaal Bij van Dijk;;;1;;;;;;1
Café-brasserie Merode;;;1;;;;;;1
Café-Restaurant Candia;;;1;;;;;;1
Café-Restaurant Pan;;;1;;;;;;1
Café-Restaurant 't Fortuin;;;1;;;;;;1
Café-Zaal De Leeuwerik;;;1;;;;;;1
Café-Zaal 'Den Driehoek';;;1;;;;;;1
CafÃ© Berentsen;;;1;;;;;;1
CafÃ© Boudewijn B.V.;;;1;;;;;;1
CafÃ© de Kale Jonker;;;1;;;;;;1
CafÃ© de paris V.O.F.;;;;;;1;;;1
CafÃ© De Zaak;;;1;;;;;;1
CafÃ© Moeke De Bruin;;;1;;;;;;1
CafÃ© ''t Vonderke';;;2;;;;;;2
CafÃ©-Restaurant ''t Koetshuis';;;1;;;;;;1
CafÃ©-Restaurant Zaal Zwakenberg;;;1;;;;;;1
CafÃ©-Zalen-Restaurant Het Onland B.V.;;;1;;;;;;1
Cafe Bistro Jules;;;1;;;;;;1
Caf� De Vriendschap;;;1;;;;;;1
Cafe Dongewijk;;;1;;;;;;1
Cafe Huppel The Pub;;;1;;;;;;1
Cafe Joost;;;1;;;;;;1
Caf� Kachel;;;1;;;;;;1
Caf� Restaurant Central B.V.;;;1;;;;;;1
Caf� Restaurant De Biechtstoel;;;1;;;;;;1
Caf� Samson;;;1;;;;;;1
Cafe Steijn;;;;;;1;;;1
Cafe/Restaurant De Eeuwige Jachtvelden;;;1;;;;;;1
Cafe-Bistro Hans en Grietje B.V.;;;1;;;;;;1
Caf�-Restaurant De Boschvijver B.V.;;;1;;;;;;1
Cafetaria de Dirigent B.V.;;;1;;;;;;1
Cafe-Zaal D'n Beer;;;1;;;;;;1
Camiel Mikily B.V.;;;1;;;;;;1
Camping Starnbosch;;;1;;;;;;1
Cantina Tabasco;;;1;;;;;;1
Capabel Hogeschool;;;;;1;;;;1
Capgemini Educational Services B.V.;;;;;5;;;;5
Capgemini Nederland B.V.;;;;;2;;;;2
Capo Cucina;;;1;;;;;;1
Cappon Coaching & Training;;;;;1;;;;1
Capra B.V.;;;;;1;;;;1
Care For Us B.V.;;1;;;;;;;1
Caroni;;;1;;;;;;1
Carpe Diem Lunch & Diner;;;1;;;;;;1
Casa Lisetta;;;1;;;;;;1
Caseon;;;;;1;;;;1
CaseWare Nederland;;;;;2;;;;2
Cater King van Waas;;;1;;;;;;1
Catering- en Partyservice J. Breet;;;;;;1;;;1
Catering en Partyservice Van Dam;;;;;;1;;;1
Cateringbedrijf Hof van Eden;;;1;;;;;;1
Cava Andalusi�;;;1;;;;;;1
Cave Oporto;;;1;;;;;;1
Cellini;;;1;;;;;;1
Celonis B.V.;;;;;1;;;;1
Centric Netherlands B.V.;;;;;1;;;;1
Centric Training;;;;;4;;;;4
Centropa;;;1;;;;;;1
Centrum voor Systemisch Werk;;;;;1;;;;1
Cenzo B.V.;;;;1;;;;;1
CertoPlan B.V.;;;;;1;;;;1
Certus Arbo B.V.;;1;;;;;;;1
CFA Institute;;;;;1;;;;1
Chalet Bergrust;;;1;;;;;;1
Challenge Coins;;;;;;;;1;1
ChangePropellers B.V.;;;;;1;;;;1
Charelli B.V.;;;1;;;;;;1
Charoso B.V.;;;1;;;;;;1
Chez Etienne;;;1;;;;;;1
China Access;;;;;;;;1;1
China Fantasy;;;1;;;;;;1
Chinees Indisch Restaurant Nieuw China;;;1;;;;;;1
Chinees Indisch Restaurant Po Wah;;;1;;;;;;1
Chinees Indisch Restaurant Sin Jah;;;1;;;;;;1
Chinees Indisch Restaurant Tai Soen;;;1;;;;;;1
Chinees Japans Restaurant Hachi;;;1;;;;;;1
Chinees-Indisch Afhaalcentrum Jumbo;;;1;;;;;;1
Chinees-Indisch Restaurant Kota Radja;1;;;;;;;;1
Chinees-Indisch Restaurant Malakka;;;1;;;;;;1
Chocoladebezorgd;;;1;;;;;;1
ChoreoMachiel;;;;;1;;;;1
christa coaching;;;;;1;;;;1
Christelijke Hogeschool Ede;;;;;1;;;;1
Christoffel's Croiss. en Petite Mangerie;;;1;;;;;;1
Ciao! Ciao! B.V.;;;1;;;;;;1
CIBIT Adviseurs/Opleiders;;;;;1;;;;1
CIBT Netherlands;;;;;;;;1;1
Cicerones;;;;;1;;;;1
CIO Platform Nederland;;;;;1;;;;1
Citra Lestari;;;1;;;;;;1
City Gaming B.V.;;;1;;;;;;1
Clarion Events Limited;;;;;1;;;;1
Class by Jofel B.V.;;;1;;;;;;1
Claus Hoofddorp B.V.;;;1;;;;;;1
Cloose;;;1;;;;;;1
Clou, voor Marketing, Informatie en Research;;;;;1;;;;1
CLS trainingen;;;;;1;;;;1
Clubgebouw JST Waalsdorp;;;;;;1;;;1
CM Coaching en Talentontwikkeling;;;;;1;;;;1
CM Partners B.V.;;;;;2;;;;2
Cmotions HR B.V.;;;;2;;;;;2
CNV Connectief;1;;;;;;;;1
Coaching en Counseling Amsterdam;;;;;1;;;;1
Coffeelovers Mariënburg;;;1;;;;;;1
Combo Emonomy B.V.;;;;;1;;;;1
Comex PlanS Co. Ltd;;;;;1;;;;1
Comic House;;;;;1;;;;1
Communicatie-Apparatuur B.V.;;1;;;;;;;1
Communications Management Benelux B.V.;;;;;1;;;;1
Competence Factory;;;;;1;;;;1
Computrain Opleidingen;;;;;1;;;;1
Conclusion Implementation B.V.;;;;;1;;;;1
Conducto Opleidingen B.V.;;;;;1;;;;1
Conduite;;;;;;1;;;1
Confluent;;1;;;;;;;1
Connect Management Consulting;;;;;1;;;;1
Connected Information Systems B.V.;;;1;;;;;;1
Connexxion Taxi Services B.V.;;;;;;1;;1;1
Cre Age;;;;1;;;;;1
Crouzen trainingen;;;;1;;;;;1
Crystal Palace Boutique Hotel;;;;;1;;;;1
CSR Centrum B.V.;;;;1;;;;;1
Cuisine Royale B.V.;;;1;;;;;;1
Cultuurmarketing;;;;;1;;;;1
Cuppen Psychologen;;;1;;;;;;1
Curry's B.V.;;;1;;;;;;1
D. Braun B.V.;;;;;2;;;;2
D.H.T.C. Den Helder Training Centre B.V.;;;;;1;;;;1
D.I.L. Dienstleistungsgesellschaft m.b.H.;;;;;;;1;;1
Da Attilio B.V.;;;1;;;;;;1
Da Mario;;;1;;;;;;1
Déhora Consultancy Group B.V.;;;;;1;;;;1
Daan van Koppen;1;;;;;;;;1
Dabroek Advies;;;;1;;;;;1
DaddysCool;;;;;;1;;;1
DÃ© wieÃ«tsjaf;;;1;;;;;;1
Darah Afgaans Restaurant;;;1;;;;;;1
DataExpert B.V.;;;;;4;;;;4
Dazhong B.V.;;;1;;;;;;1
De Academy B.V.;;;;;1;;;;1
De Appel B.V.;;;1;;;;;;1
De Argumentenfabriek B.V.;;;;;1;;;;1
De Baak Administratie;;;;;3;;;;3
De Baak Noordwijk B.V.;;;;;2;;;;2
De Babbel Apeldoorn B.V.;;;1;;;;;;1
De Basiliek;;;1;;;;;;1
De Bazar B.V.;;;1;;;1;;;1
De Beer Accountants en Belastingadviseurs;;;;;1;;;;1
De Belgische Keizer B.V.;;;1;;;;;;1
De Bengel Eindhoven;;;1;;;;;;1
De Beren Apeldoorn;;;1;;;;;;1
De Beren Holding B.V.;;;1;;;;;;1
De Bierelier B.V.;;;1;;;;;;1
De Bierkelder Utrecht;;;1;;;;;;1
De Birkt Horeca B.V.;;;1;;;;;;1
De Blokhut Feesten & Activiteiten;;;1;;;;;;1
De Boerinn B.V.;;;1;;;;;;1
De Boom in B.V.;;;1;;;;;;1
De Branding Utrecht B.V.;;;1;;;;;;1
De Brasserie Bennekom;;;1;;;;;;1
De Buik van Parijs;;;1;;;;;;1
De Byzantijn;;;1;;;;;;1
De Commanderie;;;1;;;;;;1
De Corenmaet;;;1;;;;;;1
De Corridor;;;1;;;;;;1
De Drie Paardjes;;;1;;;;;;1
De Drukkerij B.V.;;;1;;;;;;1
De Dwarsdenkerij;;;1;;;;;;1
De Efteling B.V.;;;1;;;1;;;1
de emsterie;;;1;;;;;;1
De Flierefluiter B.V.;;;1;;;;;;1
De Gaffel;;;1;;;;;;1
De Gezonde Zaak B.V.;;;;2;;;;;2
De Gouden Wok B.V.;;;1;;;;;;1
DE GOUDEN WOK ZUIDERPARK;;;1;;;;;;1
De Graaf Van Vlaanderen B.V.;;;2;;;;;;2
De Haagse Gravin;;;1;;;;;;1
de Haegsche Prael;;;1;;;;;;1
De Harmonie B.V.;;;1;;;;;;1
De Haselderhof;;;1;;;;;;1
De Haven van Texel;;;1;;;;;;1
De Heerekamer;;;1;;;;;;1
De Heeren van Ambacht B.V.;;;1;;;;;;1
De Heeren van Maarssen B.V.;;;1;;;;;;1
De Heerenmeester;;;1;;;;;;1
De Heks B.V.;;;1;;;;;;1
De Herberg;;;1;;;;;;1
De Hertenkamp Assen B.V.;;;1;;;;;;1
De IJzeren Pot;;;1;;;;;;1
De Indo;;;1;;;;;;1
De Juffer;;;1;;;;;;1
De Kamer Hiernaast;;;1;;;;;;1
De Karkol;;;1;;;;;;1
De Karpendonkse Hoeve B.V.;;;1;;;;;;1
De Kleine Heerlijkheid;;;1;;;;;;1
De Klok Horeca Gendt;;;1;;;;;;1
De Kloveniersdoelen B.V.;;;1;;;;;;1
De Koning;;;1;;;;;;1
De Kookfabriek Amsterdam B.V.;;;1;;;;;;1
De Kookfabriek Den Haag B.V.;;;1;;1;;;;1
