Leveranciersnaam;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7310 - Verhuizen;7410 - Verwerven en afstoten;Eindtotaal
Green Energy Facilities B.V.;4;;;4;5
Groenburgwal B.V.;;;;2;2
Grondslag B.V.;1;;;;1
Groningen Seaports N.V.;;;;3;3
Gunnebo Nederland B.V.;1;;;;1
Guy Wolfs Hoveniersbedrijf;1;;;;1
H.J.L.J. Swanenberg Beheermaatschappij B.V.;;;;6;6
Handelmaatschappij Maritiem B.V.;1;;;;1
Hans Cox V.O.F.;1;;;;1
Harreman Verhuizingen B.V.;1;;1;;1
Harrie van Erp Top Movers;;;1;;1
HaskoningDHV Nederland B.V.;4;;;;4
Havenbedrijf Amsterdam N.V.;;1;;;1
Havenbedrijf Rotterdam N.V.;1;;;2;2
HBL Online B.V.;1;;;;1
Hecla Professional Audio & Video Systems B.V.;1;;;;1
Heesen Project Solutions B.V.;4;;;;4
Heijmans Utiliteit;4;;;;4
Heijmans Wegen;3;;;;3
Helix Advies B.V.;2;;;;2
Hendon Industr. Service & Transportdiensten;1;;;;1
Heras B.V.;1;;;;1
Herinneringen op Linnen B.V.;1;;;;1
Het NIC B.V.;3;;;;3
Heuts Automaterialen;1;;;;1
HEYDAY Facility Management;2;;;;2
High Security International B.V.;4;;;;4
Hillson Holding B.V.;1;;;;1
Hiltra Verhuur B.V.;;;;1;1
Hinowa Nederland B.V.;1;;;;1
Holding R. Doppegieter B.V.;;;;3;3
Holland Mast B.V.;1;;;;1
Hollander Design Group B.V.;1;;;;1
Hollandse Telecommunicatie Maatschappij;1;;;;1
Hollestelle Kranentechniek B.V.;1;;;;1
Holwerda Transport Almere B.V.;1;;;;1
Hornbach Bouwmarkt (Nederland) B.V.;1;;;;1
Hornbach Bouwmarkt + Tuincentrum;1;;;;1
Hosted.nl B.V.;;1;;;1
Hotel Contact B.V.;;1;;;1
Houtwerk Hattem;1;;;;1
Hoveniersbedrijf Jkh;1;;;;1
Hoveniersbedrijf Kees de Bruin B.V.;2;;;;2
Hovers;2;;;;2
HUBO Bossenbroek;1;;;;1
IBM Nederland B.V.;;;;5;5
IJzerhandel Zwaard B.V.;1;;;;1
IJzershop;1;;;;1
ILI GIS-SERVICES;2;;;;2
Industrial Energy Experts;3;;;;3
Infrastructure Services & Projects B.V.;2;;;;2
Ingenieursbureau Ebatech B.V.;1;4;;;4
InhouseManagement B.V.;1;;;;1
InnoSec International B.V.;1;;;;1
Instituut voor Veiligheid en Milieu B.V.;1;;;;1
Int. Verhuisbedr. Joh. van Buuren & Zn. B.V.;2;;;;2
Interdaad B.V.;2;;;;2
Intermontage;1;;;;1
Intersafe Groeneveld B.V.;1;1;;;1
Involtum Services B.V.;;2;;;2
itsme B.V.;1;;;;1
IXBLUE B.V.;;;;5;5
Jaap Overdevest Aanneming en Realisering B.V.;1;;;;1
Jack Hannen Hoveniersbedrijf en Boomkwekerij;2;;;;2
Jalinen B.V.;1;;;;1
Jar Luchtreiniging;1;;;;1
Jewel B.V.;2;;;;2
Jongeneel Utrecht;1;;;;1
Jos Scholman Groen B.V.;;;;5;5
Joulz Infradiensten B.V.;2;;;;2
Joulz Meetbedrijf B.V.;1;2;;;2
Julo Systeemwanden en Kantoorinr. B.V.;4;;;;4
KantoorExpert;1;;;;1
Kavegas B.V.;1;;;;1
KEMA Nederland B.V.;;2;;;2
Kenter;1;2;;;2
King Wall;1;;;;1
Kipp & Zonen B.V.;1;;;;1
Kiwa Technology;;2;;;2
Klaas van Ommen Beregeningstechniek;1;;;;1
Klimaatservice Holland B.V.;1;;;;1
Koeman en Bijkerk B.V.;3;;;;3
Koeriers Amsterdam;1;;;;1
Koers Groep B.V.;3;;;;3
Koet Tuin- en Boomzorg;3;;;;3
Komeet Accu Nederland;1;;;;1
Kone B.V.;1;;;;1
Kongsberg Maritime Holland B.V.;;;;7;7
Kralen en Kettingen Van Daalen;1;;;;1
Krinkels B.V.;1;;;;1
Kroon B.V.;1;;;;1
Kuiper Bouw B.V.;1;;;;1
Laanbroek Schoeman Adviseurs B.V.;3;;;;3
Lagemaat Sloopwerken B.V.;4;;;;4
Landustrie Sneek B.V.;1;;;;1
Lankhorst Mouldings;1;;;;1
Lankor Hoveniers;2;;;;2
Lejeune Multi Electra;2;;;;2
Lekkerkerker;1;;;;1
Leyten Vastgoedexploitatie II B.V.;;;;2;2
Liander N.V.;;7;;;7
Liandon B.V.;;2;;;2
Light & Design B.V.;2;;;;2
Linde Gas Benelux B.V.;;;;1;1
Linde Gas Cryoservices B.V.;;1;;;1
Lockerbox NL B.V.;1;;;;1
Loodgiet.- & Inst.bedr. M. Schroevers B.V.;1;;;;1
Looman IT;2;;;;2
Loon- en Kraanverhuurbedrijf Zoutman B.V.;1;;;;1
Lubron Waterbehandeling B.V.;1;;;;1
luchtcontrole.nl;1;;;;1
Maatschap H. van der Veen & J. de Vries;;;;1;1
Maatschap Martens-Teluij;1;;;;1
Maatschap R.B. en M.J. Naaijer;1;;;;1
Maatschap voor Communicatie;;1;2;;2
Madeko Office Solution B.V.;1;;;;1
Madri Install Service B.V.;1;;;;1
MannaertsAppels;1;;;;1
Manutan B.V.;1;;;;1
Markiezenfabriek Noord-Holland B.V.;2;;;;2
Mastermate VBT Groep;1;;;;1
Math Slabbers Timmerwerken B.V.;2;;;;2
MD Techniek B.V.;2;;;;2
Measuremen B.V.;3;;;;3
Meter Support B.V.;;2;;;2
Metos B.V.;1;;;;1
Metrohm Nederland B.V.;;;;2;2
Miele Nederland B.V.;1;;;;1
Milu B.V.;1;;;;1
Misco Solutions B.V.;3;;;;3
MK2 Audiovisueel B.V.;1;;;;1
MK2 Audiovisueel Verhuur B.V.;2;;;;2
Mondial Movers B.V.;1;;2;;2
Monsdal Limburg Zuid B.V.;3;;;;3
Mourik Groot-Ammers B.V.;;;;7;7
Movares Nederland B.V.;;2;;;2
MTS H R RICHTERINK;;;;1;1
MWH;1;;;;1
N.V. Nuon Warmte;;3;;;3
N.V. PWN Waterleidingbedrijf Noord-Holland;;4;;;4
N.V. Rendo;;1;;;1
N.V. Waterbedrijf Drenthe;;1;;;1
N.V. Waterbedrijf Groningen;;1;;;1
Nachtveiligheidsdienst Haarlem B.V.;1;;;;1
NBB Beheer B.V.;1;;;;1
Nelen & Schuurmans B.V.;;2;;;2
New Horizon Utiliteitsgebouwen B.V.;3;;;;3
NIBA Bleskensgraaf;1;;;;1
NIC Best Deal B.V.;2;;;;2
Nierop Transport & Trafficservice B.V.;1;;;;1
Nieuw Ammervelde;2;;;;2
Norisk Keymanagement B.V.;1;;;;1
Nortek Oceanografische Instrum.&Diensten B.V.;;;;5;5
Oasen N.V.;;1;;;1
Observator Instruments B.V.;;;;3;3
ODS Metering Systems B.V.;;;;3;3
Ok Gas B.V.;;1;;;1
Parkstad Installatie Techniek & More;1;;;;1
PBT Beveiligingsgroep B.V.;1;;;;1
Pels Rijcken & Droogleever Fortuijn N.V.;6;;;;6
PHB De Combi Nijmegen B.V.;5;;;;5
Pictogrammenwinkel;1;;;;1
PILLER GERMANY GMBH & CO. KG;2;;;;2
POL Heteren B.V.;3;;;;3
PolderKracht B.V.;2;;;;2
Postma Oliehandel;1;;;;1
PPI-Management;2;;;;2
Presentatie Techniek Holland B.V.;1;;;;1
Primagaz Nederland B.V.;;2;;;2
Property FiveFour B.V.;2;;;;2
Protinus IT B.V.;1;;;7;7
PROXIMUS;1;;;;1
PZEM Energy B.V.;;7;;;7
Q-Park AZM;2;;;;2
Q-Park Beheer B.V.;1;;;;1
Randstad Resource Bedrijf Zakelijk B.V.;7;;;;7
Rasenberg Infra B.V.;;;;5;5
Recycling Kampen Beheer B.V.;;;;5;5
Recycling Kampen Containers en Transport B.V.;1;;;;1
Regts Holding B.V.;1;;;;1
Renewi Nederland B.V.;;1;;;1
Rentokil pest control;1;;;;1
Restaurant Schietbaan Europoort C.V.;;;;2;2
Revis Verkeerstechniek B.V.;1;;;;1
Rhine Consulting Group B.V.;2;;;;2
Rijngas B.V.;;1;;;1
Rijnja Repro;1;;;;1
Ristorante Italia Oggi B.V.;;1;;;1
ROHDE & GRAHL B.V.;1;;;1;1
Roompot Service B.V.;;1;;;1
Rotterdam Airport B.V.;1;;;;1
Rovato Techniek B.V.;1;;;;1
RPS advies- en ingenieursbureau;2;;;;2
Rris;3;;;;3
RRS Nederland B.V.;1;;;;1
Saab Technologies B.V.;1;;;;1
Schildersbedrijf Donker;1;;;;1
Schiphol Nederland B.V.;;1;;;1
Schiphol Real Estate B.V.;;;;2;2
Scholten Awater B.V.;;;;2;2
Schuitemaker Industrial B.V.;;;;7;7
Schürgers Sleutelservice V.O.F.;1;;;;1
Securitas Beveiliging B.V.;1;;;;1
Security Monitoring Centre;1;;;;1
SELEX ES GMBH;6;;;;6
Sens2Sea B.V.;;;;3;3
SEPTENTRIO NV;2;;;;2
SGS Search Milieu;4;;;;4
Signa Terra B.V.;5;;;;5
SITA Recycling Services Noord;1;;;;1
Sleut.- & Safespecial. W. van den Hoogen B.V.;1;;;;1
Slopen en Saneren B.V.;2;;;;2
Source4Energy B.V.;;2;;;2
Sportfondsen Welzijn Delft B.V.;1;;;;1
Spyke Security B.V.;5;;;;5
Staelduinsebos Groenspecialisten;2;;;;2
Stedin;;7;;;7
Stedin Infradiensten B.V.;2;5;;;5
Stichting Kerkuilenwerkgroep Nederland;1;;;;1
Stracke Deuren en Zonwering;1;;;;1
Strandhotel Westduin B.V.;;1;;;1
Strukton Worksphere;4;;;;4
Sun Solutions B.V.;;1;;;1
SV Logistic Services B.V.;1;;;;1
Swanenberg Handelsonderneming B.V.;4;;;;4
Sweco Holdco B.V.;2;;;4;4
Sweco Nederland;4;;;3;4
Sysqa B.V.;3;;;;3
Tasman Properties C.V.;;;;1;1
TDC;1;;;;1
Tebezo Grond-, Water- en Wegenbouw;2;;;;2
Techniplan Adviseurs B.V.;1;;;;1
Technisch Buro Nijkamp B.V.;3;;;;3
Technisch Handelsburo Visser Assen B.V.;1;;;;1
Technische Unie B.V.;2;;;;2
Telder Bouw en Industrie B.V.;1;;;;1
Thermo Fisher Scientific B.V.;;;;7;7
Thyzo B.V.;1;;;;1
Toolrent Mijdrecht B.V.;1;;;;1
Top Movers Nederland B.V.;3;;3;;4
Topbloemen Nederland B.V.;4;;;;4
Total Gas and Power Nederland B.V.;;4;;;4
TRAAS Ongediertebestrijding;2;;;;2
TrafficSupply B.V.;1;;;;1
Transportbedrijf P.A. Van Rooyen B.V.;2;;1;;2
Trenton B.V.;;2;;;2
Turific B.V.;1;;;;1
TVE Reclameproducties B.V.;1;;;;1
Twynstra Gudde Huisv., V.g. en Fac. Man. B.V.;3;;;;3
Tyco Fire and Security Nederland B.V.;1;1;;;1
U-Conto;;4;;;4
Unica Installatietechniek;2;;;1;2
Uniper Benelux N.V.;2;10;;;10
UTS Abbink Den Haag;1;;;;1
UTS Bernardt B.V.;1;;;;1
UTS Van der Lee/Cors De Jongh B.V.;3;;2;;4
V.O.F. A. Prop Beplantingswerken;3;;;;3
V.O.F. Loonbedrijf A. Verhoef;1;;;;1
V.O.F. Movares, Goudappel Coffeng, Nelen;;;;6;6
V.O.F. Movares, Infram, Goudappel Coffeng;2;;;;2
Vakman Verf & Interieur B.V.;1;;;;1
Van Bemmel & Kroon B.V.;1;;;;1
Van Buuren Exploitatie B.V.;1;;1;;1
Van der Ent Group;1;;2;;2
Van der Kolk B.V.;1;;;;1
Van der Meer Sleutelservice B.V.;1;;;;1
Van Doorn Geldermalsen B.V.;2;;;;2
Van Dorp installaties B.V.;;;;3;3
Van Ewijk Zonwering B.V.;2;;;;2
Van Ginkel Oost Nederland B.V.;1;;;;1
Van Ginkel Veenendaal B.V.;2;;;;2
Van Kats Machines B.V.;1;;;;1
Van Oort Bodemonderzoek B.V.;1;;;;1
Van Vuuren Elektrotechniek B.V.;2;;;;2
Van Zwanenburg Handelmaatschappij B.V.;1;;;;1
Vandervalk+Degroot;2;;;;2
Vandervelde Protection B.V.;1;;;;1
Vegro Verpleegartikelen B.V.;1;;;;1
Veolia Gebouwenbeheer B.V.;2;;;;2
Ver. v. Corp. Real Estate Manag. Execut.;1;;;;1
Verboon Groen & GWW B.V.;2;;;;2
Verenig. Dakbedekk.branche Nederland Vebidak;1;;;;1
Vestiging Brabant Noordoost;;7;;;7
Vile Pensioen B.V.;1;;;;1
Vink Lisse B.V.;1;;;1;2
Vision Furniture B.V.;2;;;;2
Visions Connected Netherlands B.V.;1;;;;1
Visveiling Urk;;1;;;1
Vitens N.V.;;4;;;4
Vlotweg Top Movers;1;;1;;1
Vogel Verhuizingen-Mondial Movers;;;1;;1
Voskamp Solution Center;1;;;;1
Vriesia Glasservice B.V.;1;;;;1
W. Schuurman Elektrotechnische Groothandel;1;;;;1
Wagensveld Hoveniers;1;;;;1
Waterkracht B.V.;1;;;;1
Westland Infra Netbeheer B.V.;;1;;;1
Wetlantec Nederland B.V.;2;;;;2
Wielinga Wijnimport V.O.F.;;1;;;1
Willard Transport;1;;;;1
Witteveen+Bos;2;;;;2
Work21 B.V.;1;;;;1
Worksphere;2;;;;2
WorkWire B.V.;5;;;;5
Xerox (Nederland) B.V.;1;;;;1
Y-con Beheer B.V.;2;;;;2
Ype Kramer Autocentrum;1;;;;1
Zandbeek Eindhoven;;2;;;2
Zonwering-Nederland B.V.;1;;;;1
Eindtotaal;10;11;4;10;12
