;6000 - ICT overig;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6310 - Aanschaf, beheer en onderhoud infrastructuur;6410 - Spraak en dataverbindingen;6510 - Aan een externe partij uitbestede ICT-dienstverlening;Eindtotaal
Apotheek De Tjonger B.V.;;;;;;;;1;1
Apotheekhoudende Huisartsenprakt. Middenmeer;;;;;;;;1;1
Applied Biosystems;;4;;;;;;;4
Aram Design;;;;1;;;;;1
ARCADIS Nederland B.V.;;;;;;;;1;1
Architektenburo en Bouwburo Coors B.V.;;6;;;;;;;6
Arcus IT Managed Services B.V.;;;;;;;;1;1
Ardis Organisatieontwikkeling B.V.;;;;;;;;2;2
Argeweb;;;;1;1;;1;;1
Arjo Nederland B.V.;;1;;;;;;;1
Arnold Roos;;;;;;;;1;1
Arob Antennebouw B.V.;;;;;;;;;
ARP Nederland B.V.;;;1;;;;;;1
ARQ IVP B.V.;;;;;;;;1;1
Arseus Dental Nederland;;;;;;;;;
Artimedès B.V.;;1;;;;;;;1
Artsenmaatschap Therapeuticum Aurum;;;;;;;;1;1
ASB Security B.V.;;;;1;;;2;;2
Asolutions B.V.;;;;;1;;;;1
Aspider Communications Nederland B.V.;;;;;;;;1;1
ASpider Solutions Nederland B.V.;;;;;;;;1;1
Assemblee Sprekersbureau B.V.;;;;;;;;1;1
At Osborne B.V.;;;;;;;;2;2
Atlas Copco Tools Nederland;;2;;;;;;;2
Atos Nederland B.V.;;;;;1;;;9;9
Attenti Electronic Monitoring;;4;;;1;4;;;5
Attenti Electronic Monitoring Lt;;;;;;5;;;5
Audio Video Wolbers;;;;;;1;;;1
Aura Software B.V.;;;;;1;;;;1
Ausma Vorkheftrucks B.V.;;2;;;;;;;2
Auto Muntstad B.V.;;2;;;;;;;2
Auto Ridderkerk B.V.;;2;;;;;;;2
Autobedrijf van den Udenhout B.V.;;2;;;;;;;2
Automatic Signal Rijsenhout B.V.;;1;;;1;;;1;1
Autotelex B.V.;;;;;2;;1;;2
AvePoint Benelux;;;;;;;;2;2
Avex B.V.;;7;7;;2;1;1;;7
Axians;;;;;1;;;;1
Axiell ALM Netherlands B.V.;;;;;1;;;;1
Azerty;;;1;;;;;;1
Azion;;1;;;;;1;;1
B.L. Mulder B.V.;;1;;;;;;1;1
B.V. Algemeen Nederlands Persbureau ANP;;;;;;;3;;3
B.V. Algemeen Verpakkings Centrum A.V.C.;;2;;;;;;;2
B.V. MSB-A Plus;;;;;;;;1;1
B.V. Verenigde Instrumenthandel Salm & Kipp;;2;;;;;;;2
B.V.D.A. International B.V.;;2;;;;;;;2
Baan Twente B.V.;;3;;;;;;;3
Backshop B.V.;;1;;;;;;;1
Baker Tilly Berk Eindhoven;;;;;;;;2;2
BAM Bouw en Techniek regio Zuidwest;;2;1;;;;;;2
Barbara Wauben;;;;;;;;1;1
Batenburg Mechatronica B.V.;;1;;;;;;;1
Bavo Europoort B.V.;;;;;;;;1;1
Bax-shop.nl B.V.;;;;;;;1;;1
Beck-online DIE DATENBANK;;;;2;;;;;2
Behr Groep Nederland B.V.;;;;;;;;4;4
Belcentrale.nl;;;;;;;;1;1
Benelux Solar & Techn. Syst.-Applicat. B.V.;;;1;;;;;;1
BenF Media;;;;;;;;1;1
Berends, huisarts;;;;;;;;1;1
Berenschot Groep B.V.;;;;;;;;5;5
Bernhoven B.V.;;;;;;;;1;1
Best Practical Solutions, LLC;;;;;1;;;;1
Besten Machines;;2;;;;;;;2
Between Staffing Nederland B.V.;;;;;;;;4;4
BHV Competent;;1;;;;;;;1
BIS Econocom;;;1;;;;;;1
BIT B.V.;;;;;;;;1;1
Bitmap' Software;;1;;1;;;;;1
Bizway B.V.;;;;;2;;;;2
Bizzdesign Academy B.V.;;;;;;;;1;1
BKB;;;;;;;;4;4
Blauw Research B.V.;;;;;;;;3;3
Bloemenhuis De Narcis;;;;;;;;;
Blokhutspecialist B.V.;;2;;;;;;;2
BLUEPalm B.V.;;;;;;;;1;1
BMA Ergonomics B.V.;;3;;;;;;;3
BMC Implementatie;;;;;;;;1;1
BMD Advies Centraal Nederland B.V.;;;;;;;;2;2
Bobbe International B.V.;;;;2;;;;;2
Bochane Auto I B.V.;;3;;;;;;;3
Boek 9 B.V.;;;;1;;;;;1
Boerderij Prins;;;;;;;;;
Boerhof Projectinrichters;;5;;;;;;;5
Boikon B.V.;;2;;;;;;;2
bol.com B.V.;;;1;;;;;;1
Bolster Group B.V.;;;;;;;;1;1
Boom uitgevers Den Haag;;;;;;;;1;1
Boris van der Heijden Advies;;;;;;;;1;1
Bosch en Duin;;;;;;;;1;1
Bossers & Cnossen B.V.;;;;1;;;1;;1
Bouders Advies;;;;;;;;1;1
Boutellier Studie & Strategie;;;;;;;;1;1
Bouwmarkt Oosterwolde B.V.;;;;;;;1;;1
Bouwservice Fons van der Heijden B.V.;;2;;;;;;;2
BPI Services B.V.;;;2;1;2;;;3;4
Breur IJzerhandel;;;1;;;1;;;1
Brightsight B.V.;;;2;;;;;;2
Brite Telecom B.V.;;;;;;;;1;1
British Broadcasting Corporation;;;;;;;2;;2
Broekhuizen Communicatie;;1;;;;;;;1
Brooks Automation Ltd.;;1;;;;;;;1
Brouwers Groenaannemers B.V.;;2;;;;;;;2
Brugmans Beheer B.V.;;;;;;;;1;1
Bruynzeel Storage Systems B.V.;;3;1;;;;;;3
BSI Group The Netherlands B.V.;;;;;;;;3;3
BT NEDERLAND N.V.;;;;;;;;1;1
BTC Mediatest B.V.;;;;;;;1;;1
Budget Mobiel B.V.;;;;;;;;1;1
Budget Phone Company B.V.;;;;;;;;1;1
Bumicom Telecommunicatie B.V.;;;1;;;;;;1
Bundesministerium fur Justiz;;;;;;1;;;1
Bureau Beerens;;;;;1;;;;1
Bureau Beke;;;;;;;;1;1
bureau MindsWare;;;;;1;;1;;1
Bureau voor Interculturele Evaluatie B.V.;;;;;;1;;1;1
Buro Brand Visuele Communicatie;;;;;;;;1;1
Buro Magis;;;;;;;;2;2
Burotronic B.V.;;1;1;;;;;;1
Business Openers B.V.;;;;;;;;1;1
BusinessHosting.nl;;;;;;;;1;1
Buyitdirect.com B.V.;;7;7;2;3;4;7;;8
Buyitdirect.com NV;;4;;;;;;;4
BVO Opleidingen B.V.;;;;;;;;;
BW Antes Zorg;;;;;;;;1;1
C. Rietsema, Huisarts en acupuncturist;;;;;;;;1;1
C.J.F. Kemperman;;;;;;;;2;2
C.P.E. Production Oy;;4;;;;;;;4
C6 Consultancy B.V.;;;;;;;;2;2
Caiway;;;;;;;1;1;1
Cambridge Medical;;;;;;;;1;1
Cambrium IT Services B.V.;;;;;;;;1;1
CameraNU.nl;;1;;1;;;;;1
Cannock Outsourcing B.V.;;;;;;3;;;3
Canon Medical Systems Europe B.V.;;2;;;;;;;2
CAOP;;;;;;;;5;5
Capgemini Nederland B.V.;2;2;;;3;;;7;7
Capitola Digital B.V.;;;;;;2;;;2
Cardio Solutions B.V.;;;;;;;1;;1
Cardiologie & Research Amsterdam B.V.;;;;;;;;1;1
Cardiologie Centrum AMC B.V.;;;;;;;;1;1
Cardiothoracale chirurgie St. Antonius B.V.;;;;;;;;1;1
Carl Zeiss B.V.;;2;1;;;;;;2
Carrier2;;;;;;;;1;1
Carrosserie Akkermans B.V.;;5;1;;;;;;5
CartoonistLive;;;;;;;;1;1
Case Telecom B.V.;;;;;;;;1;1
CBizz B.V.;;;;;;;1;1;1
CCV Group B.V.;;1;1;1;;;1;1;2
Cedere B.V.;;;1;;;;1;;1
Cell Signaling Technology Europe B.V.;;;;;1;;;;1
Centralpoint Amstelveen B.V.;;;;;2;1;;;
Centralpoint Nijmegen B.V.;;9;7;3;6;7;7;2;9
Centre IT B.V.;;;;;;;1;;1
Centric Netherlands B.V.;;;6;;;;;1;6
CenturyLink Communications NL B.V.;;;;1;;;;;1
CGI Nederland B.V.;;;;;2;;;2;3
Charta Beheer B.V.;;;;;;;;1;1
CHW Analysis Ltd;;;;;;;;1;1
CIIO B.V.;;;;;;;;1;1
Circular IQ B.V.;;;;;1;;;;1
Ciwit B.V.;;2;;;2;;;;2
Claranet Benelux B.V.;;;;;;;;1;1
CLB Integrated Solutions B.V.;;;2;;3;;;;3
Clevr B.V.;;2;;;3;1;;;4
Cloud Telecom;;;;;;;;2;2
Cloud Telecom B.V.;;;;;;;;1;1
CloudVPS;;;;;;;1;;1
CM.COM Netherlands B.V.;;1;;2;2;2;3;1;4
CNC Team Nederland B.V.;;4;;;;;;;4
Cne Computer Network Engineering B.V.;;;;;;;;1;1
COBBS Industries B.V.;;3;;;;;;;3
Collé Sittard Machinehandel B.V.;;2;;;;;;;2
Colt Technology Services B.V.;;;;;;;;1;1
Combi Coöp. Med. Specialisten Franciscus UA;;;;;;;;1;1
Comic House Amsterdam B.V.;;;;;;;;1;1
Communicatie Cockpit B.V.;;;;;2;;;;2
Communications Security Net B.V.;;;;;;;;1;1
Companies House;;;;;;;1;;1
COMPAREX Nederland B.V.;;7;4;8;9;5;1;4;10
Computacenter;;7;7;2;3;3;2;;7
Computel Stand-By B.V.;;;;;;;;1;1
Conclusies van Waarde B.V.;;;;;;;;2;2
Conecto Networks B.V.;;;1;;;;;;1
Connecta B.V.;;;;;;;;2;2
Connected Information Systems B.V.;;;;;2;1;;;2
Conrad Electronic Benelux B.V.;;;;;;1;;;1
Consiglio Nazionale delle ricerche;;;;;;2;;;2
Content Strategy B.V.;;;;;;;;4;4
ContentKalender B.V.;;;;;;1;;;1
ContentValue Beheer B.V.;;;;;2;;;;2
Control Risks Benelux B.V.;;;;2;;;;;2
Coolblue B.V.;;1;1;;;;1;;1
Coöp. Med. Special. Bedrijf Midden-Brabant UA;;;;;;;;1;1
Coöper. medisch specialisten MSB Drachten UA;;;;;;;;1;1
Coöperatie Centrum Hap 'In de Leonardus' UA;;;;;;;;1;1
Coöperatie Forum1 UA;;;;;1;;;;1
Coöperatie Medisch Centrum Eudokia UA;;;;;;;;1;1
Coöperatie MSB Weert UA;;;;;;;;1;1
Coöperatie specialisten Jonkerbosch UA;;;;;;;;1;1
Coosto Holding B.V.;;;;2;3;1;;;3
Core-Active;;;;;;;;1;1
Cornelese Technical Systems B.V.;;2;;;;;;;2
Corps 3 op twee B.V.;;;;;1;;;;1
COT Inst. v. Veiligh. & Crisismanagement B.V.;;;;;;;;3;3
C-quential B.V.;;;;2;;;;;2
Creapolis Media;;;;;1;;;;1
Creditsafe Nederland B.V.;;;;;;;;1;1
Crisisplan B.V.;;;;;;;;4;4
Croonwolter&dros B.V.;;;;1;;;;;
CrowdStrike Inc.;;;;;;;;5;5
CSI Service;;1;;;;;;;1
CSL Benelux B.V.;;;;;;;1;;1
CTM Solution B.V.;;;;;4;1;;;4
CURA Safety Solutions B.V.;;1;;;;;;;1
CURLconcepts B.V.;;;1;;;;;;1
Customer Revolution B.V.;;;;;;;;4;4
Cybery B.V.;;;;;;;;3;3
Cycling Dutchmen;;;;;;;;4;4
D. Bolten;;;1;;;;;;1
D. van Wijngaarden;;;;;;;;1;1
Da Vinci Laboratory Solutions B.V.;;2;;;;;;;2
Dael Security B.V.;;4;;;;;;;4
Danja Von Salisch Organisatieadvies;;;;;;;;2;2
Dassault Systèmes B.V.;;;;;5;;;;5
Data Interface B.V.;;;;;1;;;;1
DATA-collectief Groep B.V.;;;;;;2;;;2
DataExpert B.V.;;1;;;;;;;1
Dataplace Nedzone B.V.;;;;;;;;1;1
DataWeb B.V.;;;;;;;;1;1
Datema Electronics;;1;;;;;;;1
Daxisweb B.V.;;;;;;;;1;1
DB Audio Video Systemen B.V.;;;;;;;1;;1
DDS City B.V.;;;;;;;;1;1
De Beurs ICT;;;;;;;1;;1
De Bossche Specialisten Coöperatie UA;;;;;;;;1;1
De Drecht, huisartsen;;;;;;;;1;1
De Galan Groep B.V.;;;;;;;;4;4
De Groot Houtbewerkingsmachines B.V.;;2;;;;;;;2
De Hoogstraat Revalidatie;;;;;;;;1;1
De Horeca Academie Zakelijk B.V.;;;;;;;;2;2
De Kluizenier;;;;1;;;;;1
De Ruijter Strategie B.V.;;;;;;;;1;1
De Staffing Groep Nederland B.V.;;;;;2;;;5;5
Dean One B.V.;;;;;;;;2;2
deBolleBieste Huisartsenpraktijk B.V.;;;;;;;;1;1
Decos Software Engineering B.V.;;;;;1;;;2;2
Dedicon B.V.;;1;;;;;;;1
Defacto Software B.V.;;;;;2;;;;2
DEKRA Certification B.V.;;;;;;;;1;1
deLex B.V.;;;;1;;;;;1
deLex Media en Management B.V.;;;;1;;;;;1
Dell Int. Holdings XII CoÃ¶peratief UA;;;2;;;;;;2
Deloitte Accountants B.V.;;;;;;;;2;2
Deloitte Consulting B.V.;;;;;;;;5;5
DELTA Energie B.V.;;;;;;;1;;1
DELTA Fiber Nederland B.V.;;;;1;;;1;1;2
Delta-N B.V.;;;;1;;;;;1
Demca;;2;;;;;;;2
Denkschets.nl;;;;;;;;1;1
Dentalair Products Nederland B.V.;;2;;;;;;;2
Detailresult Logistiek B.V.;;;;;;;;2;2
Detron Business Communcations;;;;;;;2;;2
Detron Communication Solutions;;1;5;;1;;5;;6
Deventer Research Centre (DRC);;;;;;;;1;1
DF Interim;;;;;;;;1;1
Dialogic Innovatie & Interactie;;;;;;;;2;2
Digidentity B.V.;;;;1;2;;1;;2
Digital Development Group B.V.;;;;1;;;;;1
Digital Revolution B.V.;;;;;;;1;;1
Digitale Opsporing B.V.;;2;;;;;;;2
Dijkstra-Vereenigde B.V.;;3;;;;;;;3
Dimotech;;1;;;;;;;1
Dirksen Bedrijfskleding B.V.;;;;;3;;;;3
Discountoffice.nl B.V.;;1;1;;;1;1;;1
Diversey B.V.;;2;;;;;;;2
djik Beheer B.V.;;;;;;;;2;2
DNV GL Business Assurance;;;2;;;;;1;2
Doclogic B.V.;;;;;2;;;;2
DocNK;;;;;;;;1;1
Docspro B.V.;;;1;;1;1;;;2
Dokkumer Vlaggen Centrale B.V.;;;;;;;;;
Doorwerth Groep B.V.;;;;;;;;;
DPI;;;;;;;1;;1
Dr.D.J. Vinkers, Psychiater;;;;;;;;1;1
Drentea Kantoormeubelen;;2;;;;;;;2
Drielox Luchtkanalen B.V.;;1;;;;;;;1
DSD Automatisering B.V.;;;;;;;;1;1
DSP-Groep B.V.;;;;;;;;4;4
DTG B.V.;;;;1;;;;;1
Dusseldorp Den Haag B.V.;;6;;;;;;;6
DVTadvies B.V.;;;;;;;;1;1
DWDK B.V.;;1;;;;;;;1
DXC Technology;;;;;6;1;;;6
Dyna-Tech;;;1;;;;;;1
E.A.M. Bouwmeester en A.F. Sluis huisartsen;;;;;;;;1;1
Easy Office Online B.V.;;;;;;;;1;1
Easy Solutions B.V.;;;;;;;;1;1
Ecniv Concepts B.V.;;;;;;;;1;1
EcoSmart Nederland B.V.;;2;;;;;;;2
Edith Bons Beeldend Kunstenaar;;1;;;;;;;1
Edpnet B.V.;;;;;;;;1;1
Effect Consulting B.V.;;;;;;;;1;1
Effectory Holding B.V.;;;;;;;;2;2
eFormity;;;;;;1;;;1
Eijsink Afrekensystemen;;;1;;1;;;;1
Eilie Telecom B.V.;;;;;;;;1;1
Electrocar B.V.;;2;;;;;;;2
Electrolux Professional B.V.;;2;;;;;;;2
Elektr Serv.bur. C.L. Groenewegen B.V.;;;;;;1;;;1
Elmar Hellendoorn;;;;;;;;2;2
Emango Internet Services B.V.;;;;;;;;1;1
EMC Computer Systems (Benelux) B.V.;;;2;;;;;;2
E-Mergo;;;;;1;;;;1
EMMA Communicatie B.V.;;;;;;;;2;2
Employee Performance Group B.V.;;;;;;;;3;3
EMS Benelux B.V.;;4;;;;;;;4
Enable U;;;;;1;;;;1
ENGIE Services Noord locatie Leeuwarden;;1;;;;;;;1
ENGIE Services West B.V.;;2;1;;;;;;2
Enigmatry B.V.;;;;;;;;2;2
Enliven Media;;;;;;;;2;2
Enof creatieve communicatie B.V.;;;;;;;;;
Eppendorf Nederland B.V.;;1;;;;;;;1
e-Quest IT Diensten B.V.;;;;;;;;1;1
Equinix (Netherlands) B.V.;;;5;;;7;;;7
E-quipment B.V.;;;;;;;1;;1
Ergo2Go B.V.;;;;;;;1;;1
Ergo2Work B.V.;;;1;;;;;;1
Ergonomique;;;;;;;1;;1
Ergozit;;1;;;;;;;1
Ernst & Young Accountants LLP;;;;;;;;4;4
Escape Room Designer B.V.;;;;;;;;1;1
Etikettenkoning B.V.;;1;;;;;;;1
Euronet Communications B.V.;;;;;;;;1;1
Eurotempest B.V.;;;;;;1;;;1
eValue8;;;;;;;1;;1
Evers Kassasystemen B.V.;;;1;;;;;;1
every media;;;;;;;;1;1
Everything And More;;;1;;;;1;;1
Evolve B.V.;;;;;;1;;;1
Exact Netherlands B.V.;;;;;;1;;;1
Experian Nederland B.V.;;;;1;;;2;;2
E-Zorg;;;;;;;1;;1
F. Mesters Beheer B.V.;;1;;;;;;;1
F. Zandi;;;;;;;;1;1
Facilicom Solutions B.V.;;1;;;;;;;1
Facilion B.V.;;;;;1;1;;;1
Factiva Limited;;;;;2;;3;;4
Fairview Indoor Media B.V.;;1;;;;;;;1
Ferro Explore B.V.;;;;;;;;2;2
FiberXS Holding B.V.;;;;;;;;1;1
Fidato B.V.;;;1;;;;;;1
Fier;;;;;;;;1;1
Fietje Schelling;;;;;;;;1;1
Fikr Consultancy;;;;;;;;1;1
FireEye Ireland Limited;;;;;;;;5;5
First Element B.V.;;;;;1;;;;1
FIRST.Org;;;;1;;;;;1
Fisher Emergo B.V.;;1;;;;;;;1
Fit-for-Purpose Advies;1;;;;;;;;1
Flamingo Television Bonaire B.V.;;;;;;;1;;1
Flash Rental Services B.V.;;1;1;2;;2;1;;3
Flec International B.V.;;;;;;;;2;2
Flex IT Rent B.V.;;1;;;;;;;1
Flex-I.D. B.V.;;;;;1;;;;1
Flexim Netherlands B.V.;;;;;;;;1;1
FlexIntens Werving, Selectie & Detacher. B.V.;;;;;;;;3;3
FLO Legal;;;;;;;;2;2
flux.partners B.V.;;;;;;;;4;4
FMMU Advies B.V.;;;;;;;;6;6
FMO - MMO;;;;;;;;1;1
FMO12;;;;;;;;1;1
Forensisch Milieuonderzoek Nijboer;;;;;;;;2;2
Four Lemons B.V.;;1;;;;;;1;1
Fox Crypto B.V.;;1;;;;2;;;2
Fox-IT;;;;2;;5;;;5
Frama Nederland;;;1;;;;;;1
Francien Swart Consultancy;;;;;;;;2;2
Frankeershop;;;;;;;1;;1
Freddy Dezeure BVBA;;;;;;;;1;1
Fujitsu Technology Solutions B.V.;;;;;4;1;;4;5
Fusix Networks B.V.;;;;;;2;;;2
Fysiotheraphie/Fysiofitness Leonardus;;;;;;;;1;1
Fysiotherapie Speelzijde;;;;;;;;1;1
Fysiotherapie Zorggroep Almere B.V.;1;;;;;;;;1
FysiQ;;;;;;;;1;1
G2 Speech B.V.;;;;;;;;;
G4S Cash Management B.V.;;;;;;1;;;1
G4S Cash Solutions B.V.;;;;;;7;;;7
Gaastra Management;;;;;;;;1;1
Gaffar;;;;;;;;1;1
Galaxy Business Networks;;;;;;;;1;1
Gannexion B.V.;;;;1;;1;;;1
Garansys B.V.;;4;;;;;;;4
Gartner Nederland B.V.;;;;6;3;;;5;7
Gauddi B.V.;;2;;;;;2;;2
GBS re Home Office;;;;;;1;;;1
GÉANT Vereniging;;;;;;1;;;1
Gebrs. Stoop Waarland B.V.;;1;;;;;;;1
Geefirm B.V.;;;;;;;;1;1
Gemnet B.V.;;;;3;;2;;;3
Geostick Self-Adhesive Labels;;;;;;;;1;1
Gerco Rietveld;;;;;;;;1;1
Gezondheidscentrum Camminghaburen;;;;;;;;1;1
Gezondheidscentrum D&A;;;;;;;;1;1
Gezondheidscentrum De Bolzen B.V.;;;;;;;;1;1
Gezondheidscentrum Venserpolder;;;;;;;;1;1
GGMD voor Doven en Slechthorenden;;;;;;;;1;1
GGz Centraal locatie Zon & Schild;;;;;;2;;1;2
GGZ Dennenweg;;;;;;;;1;1
GGZ inGeest Overschiestraat;;;;;;;;1;1
GGZ Oost Brabant Landgoed Coudewater;;;;;;;;1;1
GGZ-Reflection Haaglanden B.V.;;;;;;;;1;1
GH+O;;;;;;;;1;1
Gispen Kantoorinrichting;;5;;;;;1;;5
Glasvezelnetwerk Texel B.V.;;;;;;;;1;1
Global Data Excellence;;;;;;;1;;1
Global-e ICT solutions B.V.;;;;;;;;1;1
Globe Telecom;;;;;;;;1;1
GnTel B.V.;;;;;;;;1;1
GoodtobeBetter B.V.;;;;;;;;3;3
Gosler huisarts waarnemingen;;;;;;;;1;1
Go-Trex B.V.;;;;;;;;1;1
GrayShift LLC;;;;;2;;;;2
Grenkefinance N.V.;;;2;;;;;;2
Griffid B.V.;;;1;;;;;;1
Grip Multimedia B.V.;;;1;;1;;;;1
GripNet B.V.;;;;;1;;;;1
Groeiruimte;;;;;;;;2;2
Groepspraktijk D'n Iemhof;;;;;;;;1;1
Groningen Airport Eelde N.V.;;;;;;;;2;2
GroupMapping B.V.;;;;;;;;1;1
GSM Reparatie Centrum B.V.;;;;;;;1;;1
GSM-Centrum;;1;;;;;;;1
GTT Netherlands B.V.;;;;;;;;1;1
Guapamano Ltd.;;;;;;;;1;1
Gunnebo Nederland B.V.;;;1;;;;;;1
GW Cross Media B.V.;;;;;1;1;;;2
H.a.praktijk H.A.M. vd Lugt en K. Kuschbert;;;;;;;;1;1
Haagse Beek organisatieadvies B.V.;;;;;;;;2;2
Hackdefense B.V.;;;;;;1;;1;1
Hagisto;;;1;;;;;;1
Hamilton Germany GmbH;;5;;;;;;;5
HAP Snobl;;;;;;;;1;1
HAP Vos & van Aalen;;;;;;;;1;1
Hay United B.V.;;;;;;;;1;1
Hbsoftware B.V.;;;;;1;;;;1
HeadFirst B.V.;;;;;;;;5;5
Health Angels B.V.;;;;;;;;1;1
Health2Work B.V.;;2;1;;1;;1;;2
Heart-Out B.V.;;;1;;;;1;;1
HeBlad B.V.;;2;;;;;;;2
Heijmans Utiliteit;;4;;;;;;;4
Heijnen B.V.;;;1;;;;;;1
HeldenVan.nu;;;;;;;1;;1
Henry Schein Dental;;2;;;;;;;2
Heras B.V.;;1;;;;;;;1
Hertzinger Satelliet Ontvangst B.V.;;1;;;;;1;;1
Hestec;;;;;;;;1;1
Heuvelman Sound & Vision B.V.;;;;;;1;;;1
Hewlett-Packard Nederland B.V.;;;1;;;;;;1
Hilf Telecom B.V.;;;;;;;;1;1
HMC Westeinde;;;;;;;;1;1
Hogrefe Uitgevers B.V.;;;;1;;;;;1
Hollander Design Group B.V.;;2;;;;;;;2
Hooghiemstra & Partners B.V.;;;;;;;;2;2
Hospitality Group B.V.;;;;;;;;3;3
Hospitality Interim B.V.;;;;;;;;2;2
Hostnet B.V.;;1;;1;;;;;1
Huidstichting Chanfleury van IJsselstein;;;;;;;;;
Huisarts M. Roest;;;;;;;;1;1
Huisarts Veurink;;;;;;;;1;1
Huisartsen Beijum;;;;;;;;1;1
Huisartsen Buitenlust;;;;;;;;1;1
Huisartsen Centrum Dokkum;;;;;;;;1;1
Huisartsen Ganzenhoef;;;;;;;;1;1
Huisartsen N.G. van Vliet en F.J. v.d. Brule;;;;;;;;1;1
Huisartsen Praktijk Popescu;;;;;;;;1;1
Huisartsencentrum Pniël;;;;;;;;1;1
Huisartsengroepspraktijk Lombok;;;;;;;;1;1
Huisartsengroepspraktijk Sint Anna;;;;;;;;1;1
Huisartsenmaatschap Holtrop en Westermann;;;;;;;;1;1
Huisartsenmaatschap J. Spies & M. ten Napel;;;;;;;;1;1
Huisartsenmaatschap Landauer;;;;;;;;1;1
Huisartsenmaatschap Mosae Forum;;;;;;;;1;1
Huisartsenmaatschap Sluisoordlaan;;;;;;;;1;1
Huisartsenmaatschap Terwinselen;;;;;;;;1;1
Huisartsenprakt. van Buuren, Hiddink&Verburg;;;;;;;;1;1
Huisartsenpraktijk A.C.J. Matthee;;;;;;;;1;1
Huisartsenpraktijk Aletta;;;;;;;;1;1
Huisartsenpraktijk Asklepios;;;;;;;;1;1
Huisartsenpraktijk Avecinna;;;;;;;;1;1
Huisartsenpraktijk Baskaya;;;;;;;;1;1
Huisartsenpraktijk Bergerhoef;;;;;;;;1;1
Huisartsenpraktijk Biddinghuizen;;;;;;;;1;1
Huisartsenpraktijk Blessing & Helmers;;;;;;;;1;1
Huisartsenpraktijk Bos;;;;;;;;1;1
Huisartsenpraktijk Brouwer & Truin;;;;;;;;1;1
Huisartsenpraktijk Buitenweide;;;;;;;;1;1
Huisartsenpraktijk Busser en Leeuw;;;;;;;;1;1
Huisartsenpraktijk C. Alferink en I. Spel;;;;;;;;1;1
Huisartsenpraktijk Catharijnesingel;;;;;;;;1;1
