Verkiezing		Provinciale Staten Zuid-Holland 2019																																																																		
Datum		20-3-2019																																																																		
Gebied		Gemeente Dordrecht																																																																		
Nummer		505																																																																		
																																																																				
Lijstnummer	Aanduiding	Volgnummer	Naam kandidaat	Totaal	Stadhuis	Stadskantoor	't Zeepaert	Centrum Stapal	Dordrechts Museum	't Klockhuys, bij toren Grote Kerk	School Vest	Hogeschool InHolland	Energiehuis	Centraal Station, Portacabin op bordes	School Noordhove	Gebouw De Driesprong	Zorgcentrum De Linde	Kerkgebouw Pinkstergemeente	Dordtse Vrije School	School De Repelaer	Sportcomplex Sport+	Wantijschool	School De Regenboog	Zorgcentrum Merwelanden	Prinses Julianaschool	Prinsemarij	Gebouw Dorswedo	Prins Bernhardschool	Het Weizigt NMC	School De Fontein	Het Waterwiel	Speeltuin Zeehavenkwartier	Wijkcentrum De Admiraal	Wooncentrum Watersteijn	Postillion Hotel	Wooncentrum De Klockelaer	J.F. Kennedyschool	Trefpunt de Nieuwe Stoof	Zorgcentrum Vreedonk	Bewonersvereniging 't Trefpunt	Winkelcentrum Sterrenburg	Cultureel Centrum Sterrenburg	Albert Schweitzerziekenhuis, Dordtwijk	Verpleeghuis De Sterrenlanden	Polyanderschool	School De Driehoek	Portacabin Eulerlaan	Gymzaal Ockenburg	Ontmoetingskerk	School De Meridiaan	School Het Kristal Dependance	School Het Kristal	Verzorgingshuis Dubbelmonde	Beatrixschool, de boerderij	Verpleeghuis Het Parkhuis	Postduivenvereniging 'De Luchtbode'	OBS Dubbeldam	De Gravenhorst	Hotel De Watertoren	School De Griffioen	Lucina Verloskundigenpraktijk	Geert Grooteschool	Wielborgh, Het Polderwiel	Portacabin Parkeerplaats Stadspolderring	Kandelaarkerk	Speeltuin Stadspolders	School De Bever	Johan Frisoschool Dependance
	aangetroffen stembiljetten			46249	1217	1266	466	751	757	381	844	346	751	1111	545	928	1103	451	659	775	198	579	473	547	568	1140	828	676	627	765	559	174	558	538	321	512	528	682	528	650	935	795	587	847	533	851	412	370	1263	779	359	939	1132	834	1003	416	928	830	808	886	792	1121	1231	888	575	555	966	812
	meer stembiljetten dan toegelaten kiezers 			74	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	25	28	0	0	0	0	2	0	0	0	1	0	0	0	6	1	0	0	0	0	0	0	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0
	minder stembiljetten dan toegelaten kiezers 			26	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	6	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	3	0	0	0	0	5	0	0	0	0	1
	kiezers met stembiljet hebben niet gestemd			5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1
	er zijn te weinig stembiljetten uitgereikt			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	er zijn te veel stembiljetten uitgereikt			10	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
	geen verklaring			79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	1	0	0	25	28	0	0	0	0	2	0	0	0	0	6	0	0	6	1	0	0	1	0	1	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0
	andere verklaring			6	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
1	VVD			5860	197	181	80	84	56	75	86	59	104	119	47	95	114	112	31	68	30	48	32	39	27	61	72	47	72	36	41	4	58	125	52	49	37	48	66	70	118	49	98	103	28	136	71	49	175	118	41	110	192	138	189	77	207	139	238	100	71	171	171	82	55	80	181	151
		1	Vermeulen, F.	3369	104	93	40	50	31	38	47	31	50	60	20	55	59	78	15	43	12	31	16	24	16	29	40	23	40	20	24	4	25	79	30	31	20	31	34	37	73	27	55	64	22	94	32	29	103	81	29	58	123	78	115	41	127	84	136	55	32	110	97	50	27	50	110	87
		2	Baljeu, J.N.	793	30	20	14	9	8	9	12	12	22	27	6	11	17	9	2	6	6	9	7	1	5	16	11	15	15	5	7	0	11	13	2	2	3	2	11	12	17	7	16	15	2	13	20	5	24	12	7	20	15	18	25	5	23	14	28	13	14	24	26	11	8	10	19	15
		3	Hoogland, E.N.W.	77	3	2	0	2	1	0	0	0	6	1	1	0	0	2	0	1	0	0	1	1	1	1	1	1	0	0	1	0	0	0	1	2	0	0	0	1	1	0	1	1	0	2	0	0	1	1	0	3	3	2	6	3	2	1	3	0	1	1	5	0	0	4	2	4
		4	Bouchtaoui, K.	77	2	1	4	2	1	3	3	1	0	0	1	1	0	1	0	1	0	0	0	0	0	1	1	1	0	1	1	0	0	1	1	0	1	1	2	1	1	2	3	1	0	2	0	1	1	2	0	0	1	1	1	0	1	0	4	2	3	2	3	0	3	1	4	5
		5	Zevenbergen, E.F.A.	31	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	2	1	1	0	1	1	0	0	0	0	1	0	0	1	1	1	0	1	0	0	0	2	0	1	2	1	1	1	2	0	0	1	2
		6	Bonnevits-de Jong, L.	70	3	2	0	0	0	0	2	0	2	0	1	1	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	3	2	0	0	1	1	2	3	0	0	1	0	0	0	0	0	1	3	0	3	7	0	4	0	3	2	3	1	1	0	7	0	0	1	2	3
		7	van Hemert, R.	13	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1
		8	van der Lubbe, S.G.	38	0	3	1	0	0	0	1	1	0	1	1	2	4	0	0	1	0	0	0	1	0	0	1	0	1	0	2	0	1	0	1	1	0	0	0	1	1	0	0	0	0	0	1	0	2	1	0	0	0	0	0	1	1	0	1	1	2	0	1	0	1	0	0	1
		9	Weide, R.F.	8	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0
		10	Nelisse, R.M.L.	50	3	1	0	2	2	1	1	0	1	2	1	2	0	2	0	0	0	0	0	0	0	2	0	0	0	1	1	0	0	1	2	0	1	0	0	0	1	0	1	0	0	0	1	0	2	0	0	0	1	2	1	0	0	3	3	1	2	1	2	1	0	0	0	2
		11	van Waaij, P.H.A.	12	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	2	0	0	0	0	2	0	0	0	0	0
		12	Zilverentant, H.L.	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
		13	van Dijken, A.J.	21	2	7	0	0	2	0	0	1	1	0	0	1	1	0	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		14	Heijnen, F.M.C.	17	1	1	0	0	1	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	2	1	0	0	0	0	0	0	0	1	0
		15	van den Dool, S.W.C.	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
		16	van der Vegte-Poot, A.	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
		17	de Ridder, R.L.	5	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
		18	Nulkes, S.	6	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
		19	Rijke Willems, D.A.G.	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		20	Kemp, A.S.	10	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	1
		21	Bartelds, H.M.	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
		22	Roest, A.W.	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
		23	Ringelberg, J.A.	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
		24	van Leeuwen-Verhaar, M.P.	6	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
		25	Zuyderduyn, C.B.	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
		26	Schotel, J.W.C.B.	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		27	Jans, A.L.	13	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
		28	Hermann, K.	1154	44	47	20	13	9	22	18	12	18	24	15	22	27	17	12	14	8	5	5	0	4	9	15	6	14	7	4	0	17	24	12	9	9	7	14	13	19	10	20	21	3	22	15	12	32	15	4	25	38	28	28	25	40	30	53	22	13	28	27	18	15	12	37	26
		29	Noordijk, B.P.E.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		30	Jahan, S.F.	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		31	Troost, R.	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
		32	Oelfke-ten Seldam, J.	11	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	1	1	0	2	1	0	0	0	0	0	0	0	0
		33	Polak, A.	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		34	Albers, M.B.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		35	van Ham, M.C.J.	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		36	van Moorsel, N.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		37	Rijerkerk, A.J.	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		38	van der Eijk, J.	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		39	Keeven, L.P.G.	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
		40	Visser, A.	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	0	0	1	0	0	0	0	0	0	2	0
		41	Nieuwenhuizen, I.C.J.	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
		42	Verkuijl, R.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		43	Westerdijk, H.D.	8	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1
		44	Smals, B.M.G.	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		45	Ouwendijk, P.	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
		46	van Woensel, P.T.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		47	Ludema, M.W.	4	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
		48	Brill, T.L.	10	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0
2	PVV (Partij voor de Vrijheid)			3804	44	77	12	58	41	17	42	26	15	39	34	39	79	26	48	64	16	77	77	85	64	115	86	102	37	76	99	59	83	50	21	90	55	90	31	70	78	94	30	57	47	49	23	28	103	55	43	74	60	46	77	30	60	70	31	102	61	95	116	85	43	50	83	70
		1	de Vree, J.H.	1814	27	43	8	35	9	6	18	14	6	21	15	26	32	17	13	29	8	40	31	37	28	46	38	48	17	35	45	39	38	28	16	44	22	39	17	34	34	44	12	34	24	23	12	12	51	28	13	32	30	20	41	15	29	36	18	49	38	44	55	36	15	28	38	34
		2	Privé, B.	63	0	3	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	1	1	1	0	3	5	0	0	2	2	1	0	0	0	5	4	0	0	4	3	3	0	0	1	1	0	1	3	0	1	3	0	1	0	0	1	0	0	3	1	1	1	1	0	1	1	1
		3	Braam, E.G.T.	26	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	1	1	0	0	0	0	2	0	0	0	0	1	1	0	0	2	0	2	0	0	0	0	5	0	1	0	0	1	1	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
		4	Mooiman, J.	29	0	1	0	0	1	0	0	0	0	0	3	0	1	0	0	0	0	0	1	1	1	0	0	0	0	2	1	0	0	1	1	0	0	0	0	0	2	1	0	0	0	0	0	1	1	1	0	0	1	0	0	1	1	1	0	1	0	1	2	0	0	1	0	0
		5	Dulfer, T.F.	144	2	6	0	0	7	3	1	0	1	2	2	1	6	0	4	3	0	3	5	4	2	8	4	5	5	0	2	0	3	1	1	1	4	4	1	0	2	0	0	0	1	2	0	1	4	1	1	4	3	0	2	1	3	1	2	3	0	3	5	3	2	1	4	4
		6	van Leeuwen, D.T.J.	951	10	14	3	13	16	1	14	2	5	7	6	1	17	6	17	18	5	22	18	19	22	28	25	25	4	22	29	14	21	10	0	21	9	23	6	16	22	28	13	7	12	10	8	3	22	14	14	19	15	15	12	12	18	16	6	23	12	36	26	33	17	15	20	14
		7	Groenendijk, H.W.H.	22	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	2	0	0	1	1	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	2	1	0	0	0	0	0	1	1	3	0	0	0	1	0
		8	van Beek, J.R.	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0
		9	Glerum, P.J.T.	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
		10	Stoop, A.C.A.	11	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
		11	Rutten-Alberts, S.A.M.	346	2	6	1	6	4	2	7	6	3	4	2	1	9	2	6	6	2	6	6	13	3	12	7	11	2	7	8	0	7	4	2	12	6	8	2	6	7	13	1	6	2	6	3	8	7	6	6	4	5	5	6	0	3	6	2	12	4	6	15	4	2	1	9	6
		12	Bouman, B.	169	1	3	0	4	1	2	0	3	0	1	2	4	5	0	4	2	1	1	8	5	6	6	3	5	2	3	3	2	4	1	0	3	2	5	2	5	6	3	2	1	5	3	0	0	5	3	4	3	1	1	7	1	0	3	1	4	4	3	3	0	2	1	2	2
		13	van den Boomgaard, M.R.	11	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0
