"Stadsdeel","Naam","Adres","Postcode","Plaats","Telefoonnummer","E-mailadres","Website","Type","Aantal hallen","Naam gebiedsgerichtwerkengebied","Vastgoedeigendom (incl. erfpacht/opstal)","Exploitatie","Verhuuradministratie","x","y"
"Nieuw-West","Sportcentrum Caland","Eliza van Calcarstraat 2","1068 RR","Amsterdam","020-2517707","sportverhuur@amsterdam.nl","https://www.amsterdam.nl/sport/sporthallen/sportcentrum-caland/","Sporthal","1","Osdorp","Gemeente Amsterdam","Gemeente Amsterdam","Gemeente Amsterdam","4,80713356","52,35443917"
"Zuid","Sportcentrum De Pijp","Lizzy Ansinghstraat 88","1072 RD","Amsterdam","020-2517707","sportverhuur@amsterdam.nl","https://www.amsterdam.nl/sport/sporthallen/sportcentrum-de-pijp/","Sporthal","2","De Pijp, Rivierenbuurt","Gemeente Amsterdam","Gemeente Amsterdam","Gemeente Amsterdam","4,89371511","52,34975372"
"Nieuw-West","Sportcentrum Ookmeer","Dokter Meurerlaan 7","1067 SM","Amsterdam","020-2517707","sportverhuur@amsterdam.nl","https://www.amsterdam.nl/sport/sporthallen/sportcentrum-ookmeer/","Sporthal","1","Osdorp","Gemeente Amsterdam","Stichting Ookmeer","Gemeente Amsterdam","4,80397743","52,3678604"
"Zuid","Sportcentrum VU","Uilenstede 100","1183 AM","Amstelveen","020-5985090","info@sportcentrumvu.nl","www.sportcentrumvu.nl","Sporthal","2","","Sportcentrum VU","Sportcentrum VU","Sportcentrum VU","4,87171296","52,3204219"
"Oost","Sportgebouw Zeeburgereiland","Foekje Dillemastraat 118","1095 MK","Amsterdam","020-2517707","sportverhuur@amsterdam.nl","www.amsterdam.nl/sport/waar-sporten/sporthallen/","Sporthal","1","IJburg, Zeeburgereiland","Gemeente Amsterdam","Gemeente Amsterdam","Gemeente Amsterdam","4,96866457","52,37236218"
"Nieuw-West","Sporthal Aristos","Tom Schreursweg 10","1067 MC","Amsterdam","020-2517707","sportverhuur@amsterdam.nl","www.amsterdam.nl/sport/waar-sporten/sporthallen/","Sporthal","1","Geuzenveld, Slotermeer, Sloterdijken","Gemeente Amsterdam","Aristos","Gemeente Amsterdam","4,78435888","52,38206168"
"West","Sporthal Blauw-Wit","Joos Banckersweg 18 A","1056 EP","Amsterdam","020-2517707","sportverhuur@amsterdam.nl","https://www.amsterdam.nl/sport/sporthallen/sporthal-blauw-wit/","Sporthal","1","Bos en Lommer","Blauw-Wit","Blauw-Wit","Gemeente Amsterdam","4,85669711","52,3757839"
"Nieuw-West","Sporthal Calvijn","Pieter Calandlaan 3","1065 KH","Amsterdam","020-2517707","sportverhuur@amsterdam.nl","https://www.amsterdam.nl/sport/sporthallen/sporthal-calvijn/","Sporthal","1","Slotervaart","Gemeente Amsterdam","Gemeente Amsterdam","Gemeente Amsterdam","4,83152234","52,35609532"
"Noord","Sporthal De Weeren","Beemsterstraat 656","1027 ED","Amsterdam","020-2517707","sportverhuur@amsterdam.nl","https://www.amsterdam.nl/sport/sporthallen/sporthal-de-weeren/","Sporthal","1","Noord-Oost","Gemeente Amsterdam","Gemeente Amsterdam","Gemeente Amsterdam","4,95933828","52,40119389"
"Noord","Sporthal Elzenhagen","J.H. Hisgenpad 1","1025 WK","Amsterdam","020-2517707","sportverhuur@amsterdam.nl","https://www.amsterdam.nl/sport/sporthallen/sporthal-elzenhagen/","Sporthal","1","Noord-Oost","Gemeente Amsterdam","Gemeente Amsterdam","Gemeente Amsterdam","4,92565868","52,40131911"
"Zuidoost","Sporthal Gaasperdam","Ravenswaaipad 5","1106 AW","Amsterdam","020-2517707","sportverhuur@amsterdam.nl","https://www.amsterdam.nl/sport/sporthallen/sporthal-gaasperdam/","Sporthal","1","Gaasperdam, Driemond","Stichting Sporthal Gaasperdam","Stichting Sporthal Gaasperdam","Gemeente Amsterdam","4,97825726","52,29676965"
"Oost","Sporthal IJburg","Pampuslaan 1","1087 HP","Amsterdam","020-2517707","sportverhuur@amsterdam.nl","https://www.amsterdam.nl/sport/sporthallen/sporthal-ijburg/","Sporthal","1","IJburg, Zeeburgereiland","Gemeente Amsterdam","Gemeente Amsterdam","Gemeente Amsterdam","5,00433556","52,35129567"
"West","Sporthal Laan van Spartaan","Rinus Michelslaan 26","1061 MB","Amsterdam","020-2517707","sportverhuur@amsterdam.nl","https://www.amsterdam.nl/sport/sporthallen/sporthal-laan-van/","Sporthal","1","Bos en Lommer","Gemeente Amsterdam","Gemeente Amsterdam","Gemeente Amsterdam","4,83917473","52,37335349"
"Centrum","Sporthal Oostenburg","Oostenburgergracht 151","1018 ND","Amsterdam","020-2517707","sportverhuur@amsterdam.nl","https://www.amsterdam.nl/sport/sporthallen/sporthal-oostenburg/","Sporthal","1","Centrum-Oost","Gemeente Amsterdam","Stichting Space","Gemeente Amsterdam","4,92521155","52,36808996"
"Zuid","Sporthal ROC Europaboulevard","Europaboulevard 13","1079 PC","Amsterdam","020-2517707","sportverhuur@amsterdam.nl","www.amsterdam.nl/sport/waar-sporten/sporthallen/","Sporthal","1","De Pijp, Rivierenbuurt","ROC Amsterdam","ROC Amsterdam","Gemeente Amsterdam","4,89280296","52,33959684"
"Oost","Sporthal Wethouder Verheij","Polderweg 300","1093 KP","Amsterdam","020-2517707","sportverhuur@amsterdam.nl","https://www.amsterdam.nl/sport/sporthallen/sporthal-wethouder/","Sporthal","1","Oud-Oost","Gemeente Amsterdam","Gemeente Amsterdam","Gemeente Amsterdam","4,93135106","52,35788575"
"Oost","Sporthal Zeeburg","Insulindeweg 1001","1095 DH","Amsterdam","020-2517707","sportverhuur@amsterdam.nl","https://www.amsterdam.nl/sport/sporthallen/sporthal-zeeburg/","Sporthal","1","Indische Buurt, Oostelijk Havengebied","Gemeente Amsterdam","Gemeente Amsterdam","Gemeente Amsterdam","4,95130945","52,36594199"
"Zuid","Sporthallen Zuid","Burgerweeshuispad 54","1076 EP","Amsterdam","020-2517707","sportverhuur@amsterdam.nl","https://www.amsterdam.nl/sport/sporthallen/sporthallen-zuid/","sporthal","3","Oud-Zuid","Gemeente Amsterdam","Gemeente Amsterdam","Gemeente Amsterdam","4,85410708","52,33997926"
"Buiten Amsterdam","Sporthal Aetsveld","Mr.C. Kooimancentrum 17","1383 ED","Weesp","020-2517707","sportverhuur@amsterdam.nl","www.amsterdam.nl/sport/waar-sporten/sporthallen/","Sporthal","1","","Gemeente Weesp","Gemeente Weesp","Gemeente Amsterdam","5,04314753","52,29887035"
"Zuidoost","Tennishal Strandvliet","Passage 3","1114 BH","Amsterdam","020-6969918","","www.tennishalstrandvliet.nl","Sporthal","1","","Gemeente Amsterdam","Stichting Strandvliet","Stichting Strandvliet","4,93736306","52,31614903"
"Oost","Tennisschuur IJburg","Zandzeggestraat 1","1087 SL","Amsterdam","020-7781671","info@tennisschuur.nl","https://www.tennisclubijburg.nl/tennishal","Sporthal","1","IJburg, Zeeburgereiland","Gemeente Amsterdam","TC IJburg","TC IJburg","5,00572701","52,34536045"
"Nieuw-West","Sportgebouw Sloten","Sloterweg 1043T","1066 CC","Amsterdam","020-2517707","sportverhuur@amsterdam.nl","https://www.amsterdam.nl/sport/sporthallen/sportcentrum-sloten/","Sporthal","1","De Aker, Sloten, Nieuw-Sloten","Gemeente Amsterdam","Gemeente Amsterdam","Gemeente Amsterdam","4,80943351","52,34013284"
"Oost","Universum","Science Park 306","1098 XH","Amsterdam","020-5258955","info@usc.uva.nl","www.usc.uva.nl","Sporthal","2","Watergraafsmeer","Universiteit van Amsterdam","USC","USC","4,95629984","52,35564969"
"Nieuw-West","Velodrome (sporthal en wielerbaan)","Sloterweg 1043M","1066 CC","Amsterdam","06-10948079","info@velodrome-amsterdam.nl","amsterdam.nl/sport/velodrome-amsterdam","Sporthal","1","De Aker, Sloten, Nieuw-Sloten","Gemeente Amsterdam","Gemeente Amsterdam","Gemeente Amsterdam","4,80743484","52,33924226"
"Buiten Amsterdam","AGO Zwembad Diemen","Kriekenoord 17","1111 PT","Diemen","020-6903487","info@agozwembad.nl","www.agozwembad.nl","Zwembad","","","","","","4,97502668","52,33658413"
"Buiten Amsterdam","Amstelbad","Wethouder Koolhaasweg 10","1191 EB","Ouderkerk aan de Amstel","020-4961400","info@amstelbad.nl","www.amstelbad.nl","Zwembad","","","","","","4,92082057","52,30255999"
"Zuidoost","Bijlmer Sportcentrum","Anton de Komplein 157","1102 DR","Amsterdam","020-6973220","infobijlmersportcentrum@optisport.nl","www.optisport.nl/bijlmersportcentrum","Zwembad","","Bijlmer-Centrum, Amstel III","Gemeente Amsterdam","Optisport","Optisport","4,95762875","52,31527429"
"West","Brediusbad","Spaarndammerdijk 306","1013 ZX","Amsterdam","020-6846984","sport@amsterdam.nl","www.amsterdam.nl/brediusbad","Zwembad","","Westerpark","Gemeente Amsterdam","Gemeente Amsterdam","Gemeente Amsterdam","4,86833838","52,39247172"
"Buiten Amsterdam","De Breek","Sportpark 7","1121 MS","Landsmeer","020-4821677","zwembad@debreek.nl","www.debreek.nl","Zwembad","","","","","","4,90541595","52,43216085"
"Zuid","De Mirandabad","De Mirandalaan 9","1079 PA","Amsterdam","020-2524444","sport@amsterdam.nl","www.amsterdam.nl/demirandabad/","Zwembad","","De Pijp, Rivierenbuurt","Gemeente Amsterdam","Gemeente Amsterdam","Gemeente Amsterdam","4,90227468","52,33873416"
"Oost","Flevoparkbad","Insulindeweg 1002","1095 DH","Amsterdam","020-6925030","sport@amsterdam.nl","www.amsterdam.nl/flevoparkbad","Zwembad","","Indische Buurt, Oostelijk Havengebied","Gemeente Amsterdam","Gemeente Amsterdam","Gemeente Amsterdam","4,95185034","52,36493033"
"Noord","Friendship Sports Centre","Beemsterstraat 652","1027 ED","Amsterdam","020-3331234","info@friendshipsc.nl","www.friendshipsc.nl","Zwembad","","Noord-Oost","Stichting Friendship Sports Centre","Stichting Friendship Sports Centre","Stichting Friendship Sports Centre","4,95984695","52,40025203"
"Centrum","Het Marnix","Marnixplein 1","1015 ZN","Amsterdam","020-5246000","info@hetmarnix.nl","www.hetmarnix.nl","Zwembad","","Centrum-West","Gemeente Amsterdam","Stichting Space","Stichting Space","4,87847974","52,3779916"
"Noord","Noorderparkbad","Sneeuwbalweg 5","1032 VS","Amsterdam","020-4352120","sport@amsterdam.nl","www.amsterdam.nl/noorderparkbad/","Zwembad","","Oud-Noord","Gemeente Amsterdam","Gemeente Amsterdam","Gemeente Amsterdam","4,91872836","52,39826964"
"Nieuw-West","Sloterparkbad","President Allendelaan 3","1064 GW","Amsterdam","020-5063506","sport@amsterdam.nl","optisport.nl/locaties/sloterparkbad","Zwembad","","Geuzenveld, Slotermeer, Sloterdijken","Gemeente Amsterdam","Optisport","Optisport","4,81712029","52,37001857"
"Oost","Sportfondsenbad Oost","Land van Cocagneplein 44","1093 NB","Amsterdam","020-6650811","amsterdamoost@sportfondsen.nl","www.sportfondsenbadamsterdamoost.nl/","Zwembad","","Oud-Oost","Gemeente Amsterdam","Sportfondsen","Sportfondsen","4,92848672","52,35664337"
"Buiten Amsterdam","SportPlaza de Sporthoeve","Snelliuslaan 1","1171 CZ","Badhoevedorp","020-6596811","info@sportplazanet.nl","www.sportplazanet.nl","Zwembad","","","","","","4,7747698","52,34306669"
"West","SportPlaza Mercator","Jan van Galenstraat 315","1056 CB","Amsterdam","020-6188911","info@sportplazamercator.nl","www.sportplazamercator.nl","Zwembad","","Oud-West, De Baarsjes","Sportfondsen","Sportfondsen","Sportfondsen","4,84609938","52,37174539"
"Oost","Swimgym","Wibautstraat 131b","1091 GL","Amsterdam","020-3331016","vragen@swimgym.nl","www.swimgym.nl","Zwembad","","Oud-Oost","Commercieel","SwimGym B.V.","SwimGym B.V.","4,91278854","52,35419685"
"Buiten Amsterdam","Victoriabad Weesp","Basisweg 1","1383 NC","Weesp","0294-430041","info@zwembadweesp.nl","www.zwembadweesp.nl","Zwembad","","","","","","5,02711104","52,2983962"
"Zuid","Zuiderbad","Hobbemastraat 26","1071 ZC","Amsterdam","020-2521390","sport@amsterdam.nl","www.amsterdam.nl/zuiderbad/","Zwembad","","Oud-Zuid","Gemeente Amsterdam","Gemeente Amsterdam","Gemeente Amsterdam","4,88602646","52,35867321"
"Buiten Amsterdam","Zwembad De Meerkamp","Van der Hooplaan 239","1185 LN","Amstelveen","088-8585185","info@meerkamp.nl","www.meerkamp.nl","Zwembad","","","","","","4,85262535","52,28842768"
