Stadsdeel,Naam,Adres,Postcode,Plaats,Omschrijving,Telefoonnummer,E-mailadres,Website,Type,Scheidingswand,Beheer,Toegankelijk mindervaliden,Voorzieningen mindervaliden,Bijzonderheden,Gebiedsgerichtwerkengebied
Noord,Gymzaal Parlevinker 11,Parlevinker 11,1034 PX,Amsterdam,De Vier Windstreken,020 251 7707,sportverhuur@amsterdam.nl,https://www.amsterdam.nl/sport/waar-sporten/gymzalen/gymzalen-amsterdam/,gymzaal,,Stichting Innoord,,,,Noord-West
Zuid,Gymzaal Peelstraat 171,Peelstraat 171,1079 RN,Amsterdam,Humanistisch Kindcentrum,020 251 7707,sportverhuur@amsterdam.nl,https://www.amsterdam.nl/sport/waar-sporten/gymzalen/gymzalen-amsterdam/,gymzaal,,Sport en Bos,,,AED,"De Pijp, Rivierenbuurt"
Nieuw-West,Gymzaal Pieter Calandlaan 768,Pieter Calandlaan 768,1060 TZ,Amsterdam,Horizon,020 251 7707,sportverhuur@amsterdam.nl,https://www.amsterdam.nl/sport/waar-sporten/gymzalen/gymzalen-amsterdam/,gymzaal,,Sport en Bos,,,,"De Aker, Sloten, Nieuw-Sloten"
Noord,Gymzaal Plejadenplein 40,Plejadenplein 40,1033 VL,Amsterdam,De Poolster,020 251 7707,sportverhuur@amsterdam.nl,https://www.amsterdam.nl/sport/waar-sporten/gymzalen/gymzalen-amsterdam/,gymzaal,,Stichting Innoord,,,,Noord-West
Zuidoost,Gymzaal Reigersbos 301,Reigersbos 301,1107 EZ,Amsterdam,Tamboerijn,020 251 7707,sportverhuur@amsterdam.nl,https://www.amsterdam.nl/sport/waar-sporten/gymzalen/gymzalen-amsterdam/,gymzaal,,Sport en Bos,ja,,,"Gaasperdam, Driemond"
West,Gymzaal Revaleiland 1,Revaleiland 1,1014 ZG,Amsterdam,Houthavens (Spaarndammer en Wereldschool),020 251 7707,sportverhuur@amsterdam.nl,https://www.amsterdam.nl/sport/waar-sporten/gymzalen/gymzalen-amsterdam/,gymzaal,,Sport en Bos,,,,Westerpark
West,Gymzaal Roggeveenstraat 12,Roggeveenstraat 12,1013 PV,Amsterdam,Zeeheld,020 251 7707,sportverhuur@amsterdam.nl,https://www.amsterdam.nl/sport/waar-sporten/gymzalen/gymzalen-amsterdam/,gymzaal,,Sport en Bos,,,,Westerpark
Oost,Gymzaal Simon Stevinstraat 48,Simon Stevinstraat 48,1097 CA,Amsterdam,Lidwinaschool,020 251 7707,sportverhuur@amsterdam.nl,https://www.amsterdam.nl/sport/waar-sporten/gymzalen/gymzalen-amsterdam/,gymzaal,,Sport en Bos,ja,ja,AED,Watergraafsmeer
Nieuw-West,Gymzaal Slotermeerlaan 160,Slotermeerlaan 160,1063 JW,Amsterdam,Veerkracht,020 251 7707,sportverhuur@amsterdam.nl,https://www.amsterdam.nl/sport/waar-sporten/gymzalen/gymzalen-amsterdam/,gymzaal,,Sport en Bos,,,,"Geuzenveld, Slotermeer, Sloterdijken"
Oost,Gymzaal Sportgebouw Zeeburgereiland,Foekje Dillemastraat 118,1095 MK,Amsterdam,Gymzaal in Sportgebouw Zeeburgereiland,020 251 7707,sportverhuur@amsterdam.nl,https://www.amsterdam.nl/sport/waar-sporten/gymzalen/gymzalen-amsterdam/,gymzaal,,Sport en Bos,,,,"IJburg, Zeeburgereiland"
Oost,Gymzaal Sporthal Wethouder Verheijhal,Polderweg 300,1093 KP,Amsterdam,Gymzaal Sporthal Wethouder Verheijhal,020 251 7707,sportverhuur@amsterdam.nl,https://www.amsterdam.nl/sport/waar-sporten/gymzalen/gymzalen-amsterdam/,gymzaal,,Sport en Bos,,,,Oud-Oost
Nieuw-West,Gymzaal Steelvlietplein 75,Steelvlietplein 75,1069 AT,Amsterdam,St. Lukas,020 251 7707,sportverhuur@amsterdam.nl,https://www.amsterdam.nl/sport/waar-sporten/gymzalen/gymzalen-amsterdam/,gymzaal,,Sport en Bos,,,,Osdorp
Oost,Gymzaal Tosaristraat 30C,Tosaristraat 30C,1019 RT,Amsterdam,De Kleine Kapitein,020 251 7707,sportverhuur@amsterdam.nl,https://www.amsterdam.nl/sport/waar-sporten/gymzalen/gymzalen-amsterdam/,gymzaal,,Sport en Bos,,,AED,"Indische Buurt, Oostelijk Havengebied"
Oost,Gymzaal Tweede Oosterparkstraat 33,Tweede Oosterparkstraat 33,1091 HV,Amsterdam,Louise de Colignyschool,020 251 7707,sportverhuur@amsterdam.nl,https://www.amsterdam.nl/sport/waar-sporten/gymzalen/gymzalen-amsterdam/,gymzaal,,Sport en Bos,ja,,AED,Oud-Oost
Oost,Gymzaal Van 't Hofflaan 50,Van 't Hofflaan 50,1097 EP,Amsterdam,Daltonschool De Meer,020 251 7707,sportverhuur@amsterdam.nl,https://www.amsterdam.nl/sport/waar-sporten/gymzalen/gymzalen-amsterdam/,gymzaal,,Sport en Bos,,,,Watergraafsmeer
West,Gymzaal Van Gentstraat 16A,Van Gentstraat 16A,1055 PE,Amsterdam,El Amien,020 251 7707,sportverhuur@amsterdam.nl,https://www.amsterdam.nl/sport/waar-sporten/gymzalen/gymzalen-amsterdam/,gymzaal,,Sport en Bos,ja,,,Bos en Lommer
Noord,Gymzaal Varenweg 6,Varenweg 6,1031 CB,Amsterdam,De Klimop,020 251 7707,sportverhuur@amsterdam.nl,https://www.amsterdam.nl/sport/waar-sporten/gymzalen/gymzalen-amsterdam/,gymzaal,,Stichting Innoord,,,,Oud-Noord
Zuid,Gymzaal Vechtstraat 88,Vechtstraat 88,1079 JN,Amsterdam,St. Catharina,020 251 7707,sportverhuur@amsterdam.nl,https://www.amsterdam.nl/sport/waar-sporten/gymzalen/gymzalen-amsterdam/,gymzaal,,Sport en Bos,,,,"De Pijp, Rivierenbuurt"
Zuid,Gymzaal Verbindingstraat 2,Verbindingstraat 2,1073 TJ,Amsterdam,9e Montessori/Scholekster/Oscar Carré,020 251 7707,sportverhuur@amsterdam.nl,https://www.amsterdam.nl/sport/waar-sporten/gymzalen/gymzalen-amsterdam/,gymzaal,,Sport en Bos,,,AED,"De Pijp, Rivierenbuurt"
Zuidoost,Gymzaal Vreeswijkpad 8,Vreeswijkpad 8,1106 DV,Amsterdam,De Knotwilg,020 251 7707,sportverhuur@amsterdam.nl,https://www.amsterdam.nl/sport/waar-sporten/gymzalen/gymzalen-amsterdam/,gymzaal,,Sport en Bos,ja,,,"Gaasperdam, Driemond"
Oost,Gymzaal Welnastraat 845,Welnastraat 845,1096 GJ,Amsterdam,Montessorischool De Amstel Kind Centrum,020 251 7707,sportverhuur@amsterdam.nl,https://www.amsterdam.nl/sport/waar-sporten/gymzalen/gymzalen-amsterdam/,gymzaal,,Sport en Bos,,,,Watergraafsmeer
Centrum,Gymzaal Westerstraat 202,Westerstraat 202,1015 MS,Amsterdam,Theo Thijssen,020 251 7707,sportverhuur@amsterdam.nl,https://www.amsterdam.nl/sport/waar-sporten/gymzalen/gymzalen-amsterdam/,gymzaal,,Sport en Bos,,,,Centrum-West
Zuidoost,Gymzaal Woudrichemstraat 8,Woudrichemstraat 8,1107 NG,Amsterdam,De Ster,020 251 7707,sportverhuur@amsterdam.nl,https://www.amsterdam.nl/sport/waar-sporten/gymzalen/gymzalen-amsterdam/,gymzaal,,Sport en Bos,ja,,,"Gaasperdam, Driemond"
Nieuw-West,Gymzalen Akerwateringstraat 2,Akerwateringstraat 2,1069 GE,Amsterdam,De Punt zaal 1 en zaal 2,020 251 7707,sportverhuur@amsterdam.nl,https://www.amsterdam.nl/sport/waar-sporten/gymzalen/gymzalen-amsterdam/,2 gymzalen,n.v.t.,Sport en Bos,,,AED,Osdorp
Zuid,Gymzalen Apollohal,Apollolaan 4,1077 BA,Amsterdam,Du Midi (beneden en boven),020 251 7707,sportverhuur@amsterdam.nl,https://www.amsterdam.nl/sport/waar-sporten/gymzalen/gymzalen-amsterdam/,2 gymzalen,n.v.t.,Sport en Bos,,,,Oud-Zuid
Nieuw-West,Gymzalen Sportcentrum Caland,Eliza van Calcarstraat 2,1068 RR,Amsterdam,Gymzalen in Sportcentrum Caland,020 251 7707,sportverhuur@amsterdam.nl,https://www.amsterdam.nl/sport/waar-sporten/gymzalen/gymzalen-amsterdam/,2 gymzalen,n.v.t.,Sport en Bos,,,,Osdorp
Zuid,Gymzalen Willem Witsenstraat 6-8,Willem Witsenstraat 6,1077 AZ,Amsterdam,2e Dalton/Willemspark/A'damse Mont zaal 1 en 2,020 251 7707,sportverhuur@amsterdam.nl,https://www.amsterdam.nl/sport/waar-sporten/gymzalen/gymzalen-amsterdam/,2 gymzalen,n.v.t.,Sport en Bos,,,AED,Oud-Zuid
Zuid,Schermzaal Sporthallen Zuid,Burgerweeshuispad 54,1076 EP,Amsterdam,,020 251 7707,sportverhuur@amsterdam.nl,www.amsterdam.nl/sport/waar-sporten/sporthallen/,schermzaal,,Sport en Bos,,,,Oud-Zuid
Nieuw-West,Sportzaal Abraham Kuyperplein 2,Abraham Kuyperplein 2,1067 DE,Amsterdam,Basisschool 't Koggeschip zaal 1 en zaal 2,020 251 7707,sportverhuur@amsterdam.nl,https://www.amsterdam.nl/sport/waar-sporten/gymzalen/gymzalen-amsterdam/,sportzaal,1,Sport en Bos,,,,"Geuzenveld, Slotermeer, Sloterdijken"
West,Sportzaal Archangelweg 4,Archangelweg 4,1013 ZZ,Amsterdam,4e Gymnasium zaal 1 en zaal 2,020 251 7707,sportverhuur@amsterdam.nl,https://www.amsterdam.nl/sport/waar-sporten/gymzalen/gymzalen-amsterdam/,sportzaal,1,Sport en Bos,,,,
West,Sportzaal Borgerstraat 109,Borgerstraat 109,1053 PE,Amsterdam,Brede school De Kinkerbuurt zaal 1 en zaal 2,020 251 7707,sportverhuur@amsterdam.nl,https://www.amsterdam.nl/sport/waar-sporten/gymzalen/gymzalen-amsterdam/,sportzaal,1,Sport en Bos,ja,,AED,"Oud-West, De Baarsjes"
Oost,Sportzaal Centrum voor Vrije Tijd,Ed Pelsterpark 6,1087 EJ,Amsterdam,"CVT, deelbaar in drie delen",020 251 7707,sportverhuur@amsterdam.nl,https://www.amsterdam.nl/sport/waar-sporten/gymzalen/gymzalen-amsterdam/,sportzaal,2,Sport en Bos,,,,
Oost,Sportzaal Eva Besnyöstraat 491,Eva Besnyöstraat 491,1087 LG,Amsterdam,Laterna Magica zaal A en zaal B,020 251 7707,sportverhuur@amsterdam.nl,https://www.amsterdam.nl/sport/waar-sporten/gymzalen/gymzalen-amsterdam/,sportzaal,1,Sport en Bos,ja,ja,,"IJburg, Zeeburgereiland"
Nieuw-West,Sportzaal Evertsweertplantsoen 3,Evertsweertplantsoen 3,1069 RK,Amsterdam,De Kikker (De Globe en Johannesschool) zaal 1 en zaal 2,020 251 7707,sportverhuur@amsterdam.nl,https://www.amsterdam.nl/sport/waar-sporten/gymzalen/gymzalen-amsterdam/,sportzaal,1,Sport en Bos,,,,Osdorp
Nieuw-West,Sportzaal Jan de Louterstraat 11A,Jan de Louterstraat 11A,1063 KX,Amsterdam,Immanuel / Burgemeester de Vlugt zaal 1 en zaal 2,020 251 7707,sportverhuur@amsterdam.nl,https://www.amsterdam.nl/sport/waar-sporten/gymzalen/gymzalen-amsterdam/,sportzaal,1,Sport en Bos,ja,ja,,"Geuzenveld, Slotermeer, Sloterdijken"
Zuid,Sportzaal Kalfjeslaan 370,Kalfjeslaan 370,1081 JA,Amsterdam,St. Jozefschool (niet deelbaar),020 251 7707,sportverhuur@amsterdam.nl,https://www.amsterdam.nl/sport/waar-sporten/gymzalen/gymzalen-amsterdam/,sportzaal,nee,Sport en Bos,,,,"Buitenveldert, Zuidas"
Zuidoost,Sportzaal Klateringpad 1-3,Klateringpad 1-3,1104 KW,Amsterdam,Crescendo / Blauwe Lijn zaal 1 en zaal 2,020 251 7707,sportverhuur@amsterdam.nl,https://www.amsterdam.nl/sport/waar-sporten/gymzalen/gymzalen-amsterdam/,sportzaal,1,Sport en Bos,ja,ja,AED,Bijlmer-Oost
Oost,Sportzaal Pieter Nieuwlandstraat 3,Pieter Nieuwlandstraat 3,1093 XG,Amsterdam,De Dapper zaal A en zaal B,020 251 7707,sportverhuur@amsterdam.nl,https://www.amsterdam.nl/sport/waar-sporten/gymzalen/gymzalen-amsterdam/,sportzaal,1,Sport en Bos,,,AED,Oud-Oost
Zuid,Sportzaal Theophile de Bockstraat 100,Theophile de Bockstraat 100,1058 VC,Amsterdam,De Bockesprong zaal A en zaal B,020 251 7707,sportverhuur@amsterdam.nl,https://www.amsterdam.nl/sport/waar-sporten/gymzalen/gymzalen-amsterdam/,sportzaal,1,Sport en Bos,,,,Oud-Zuid
