OBJECTID;ADRES;ADRES_TYPE;SOORTADRES;OPENBARERUIMTENAAM;HUISNUMMER;HUISLETTER;TOEVOEGING;POSTCODE;GEBRUIKSDOEL;BUURTNAAM;WIJKNAAM;STADSDEELNAAM;WOONPLAATSNAAM;BAG_ID_VERBLIJFSOBJECT;BAG_ID_ADRES;BAG_ID_PAND;VVE;AARD_ZAKELIJKRECHT;CULTUURBEBOUWD;KADAANDUIDING_APPARTEMENTSRECHT;SPLITSINGSTYPE;ONTSTAANUIT_SPLITSING;KADAANDUIDING_PERCELEN;KADCONTROLE;X;Y;LONG;LAT
20;Pieter van den Zandestraat 23 2513TL 's-Gravenhage;Verblijfsobject;Hoofdadres;Pieter van den Zandestraat;23;;;2513TL;woonfunctie;Kortenbos;Centrum;Centrum;'s-Gravenhage;0518010000541606;0518200000541605;0518100000274406;Vereniging Van Eigenaren Pieter Van Der Zandestraat 19,21,23 Te 'S-Gravenhage;Eigendom (recht van);;GVH00 C 6030 A 3;Hoofdsplitsing;;GVH00 C 5808 P ;1;80545.01300000027;454944.3530000001;4.301078903547541;52.07776382481819
21;Torenstraat 148 2513BW 's-Gravenhage;Verblijfsobject;Hoofdadres;Torenstraat;148;;;2513BW;woonfunctie;Kortenbos;Centrum;Centrum;'s-Gravenhage;0518010000709821;0518200000709820;0518100000223496;Vereniging Van Eigenaren Torenstraat 146,148,152 Te 'S-Graven- Hage;Eigendom (recht van);;GVH00 C 6031 A 2;Hoofdsplitsing;;GVH00 C 5765 P ;1;80726.9600000009;455044.0610000007;4.303710921351928;52.0786843113718
22;Torenstraat 152 2513BW 's-Gravenhage;Verblijfsobject;Hoofdadres;Torenstraat;152;;;2513BW;woonfunctie;Kortenbos;Centrum;Centrum;'s-Gravenhage;0518010000577545;0518200000577544;0518100000223496;Vereniging Van Eigenaren Torenstraat 146,148,152 Te 'S-Graven- Hage;Eigendom (recht van);;GVH00 C 6031 A 3;Hoofdsplitsing;;GVH00 C 5765 P ;1;80726.9600000009;455044.0610000007;4.303710921351928;52.0786843113718
23;Slijkeinde 42 2513VD 's-Gravenhage;Verblijfsobject;Hoofdadres;Slijkeinde;42;;;2513VD;woonfunctie;Kortenbos;Centrum;Centrum;'s-Gravenhage;0518010000708962;0518200000708961;0518100000353484;Vereniging Van Eigenaren Slijkeinde 42/52 Te 'S-Gravenhage;Eigendom (recht van);;GVH00 C 6034 A 1;Hoofdsplitsing;;GVH00 C 5893 P ;1;80610.40300000086;454894.4609999992;4.302043504812635;52.07732424662786
24;Slijkeinde 48 2513VD 's-Gravenhage;Verblijfsobject;Hoofdadres;Slijkeinde;48;;;2513VD;woonfunctie;Kortenbos;Centrum;Centrum;'s-Gravenhage;0518010000610012;0518200000610011;0518100000353484;Vereniging Van Eigenaren Slijkeinde 42/52 Te 'S-Gravenhage;Eigendom (recht van);;GVH00 C 6034 A 2;Hoofdsplitsing;;GVH00 C 5893 P ;1;80610.40300000086;454894.4609999992;4.302043504812635;52.07732424662786
25;Slijkeinde 46 2513VD 's-Gravenhage;Verblijfsobject;Hoofdadres;Slijkeinde;46;;;2513VD;woonfunctie;Kortenbos;Centrum;Centrum;'s-Gravenhage;0518010000475608;0518200000475607;0518100000353484;Vereniging Van Eigenaren Slijkeinde 42/52 Te 'S-Gravenhage;Eigendom (recht van);;GVH00 C 6034 A 5;Hoofdsplitsing;;GVH00 C 5893 P ;1;80603.64200000092;454891.2829999998;4.301945588588444;52.07729477839552
26;Slijkeinde 44 2513VD 's-Gravenhage;Verblijfsobject;Hoofdadres;Slijkeinde;44;;;2513VD;woonfunctie;Kortenbos;Centrum;Centrum;'s-Gravenhage;0518010000509409;0518200000509408;0518100000353484;Vereniging Van Eigenaren Slijkeinde 42/52 Te 'S-Gravenhage;Eigendom (recht van);;GVH00 C 6034 A 6;Hoofdsplitsing;;GVH00 C 5893 P ;1;80603.64200000092;454891.2829999998;4.301945588588444;52.07729477839552
27;Slijkeinde 52 2513VD 's-Gravenhage;Verblijfsobject;Hoofdadres;Slijkeinde;52;;;2513VD;woonfunctie;Kortenbos;Centrum;Centrum;'s-Gravenhage;0518010000576566;0518200000576565;0518100000353484;Vereniging Van Eigenaren Slijkeinde 42/52 Te 'S-Gravenhage;Eigendom (recht van);;GVH00 C 6034 A 7;Hoofdsplitsing;;GVH00 C 5893 P ;1;80610.40300000086;454894.4609999992;4.302043504812635;52.07732424662786
28;Slijkeinde 52 2513VD 's-Gravenhage;Verblijfsobject;Hoofdadres;Slijkeinde;52;;;2513VD;woonfunctie;Kortenbos;Centrum;Centrum;'s-Gravenhage;0518010001768711;0518200001768778;0518100000353484;Vereniging Van Eigenaren Slijkeinde 42/52 Te 'S-Gravenhage;Eigendom (recht van);;GVH00 C 6034 A 7;Hoofdsplitsing;;GVH00 C 5893 P ;1;80612.86400000006;454889.7490000017;4.302080425868894;52.077282231675966
29;Slijkeinde 30 2513VD 's-Gravenhage;Verblijfsobject;Hoofdadres;Slijkeinde;30;;;2513VD;woonfunctie;Kortenbos;Centrum;Centrum;'s-Gravenhage;0518010000610401;0518200000610400;0518100000328044;Vereniging Van Eigenaren Slijkeinde 30/40 Te 'S-Gravenhage;Eigendom (recht van);;GVH00 C 6035 A 1;Hoofdsplitsing;;GVH00 C 5894 P ;1;80623.53799999878;454900.63500000164;4.302233732921482;52.07738149527855
30;Slijkeinde 36 2513VD 's-Gravenhage;Verblijfsobject;Hoofdadres;Slijkeinde;36;;;2513VD;woonfunctie;Kortenbos;Centrum;Centrum;'s-Gravenhage;0518010000576970;0518200000576969;0518100000328044;Vereniging Van Eigenaren Slijkeinde 30/40 Te 'S-Gravenhage;Eigendom (recht van);;GVH00 C 6035 A 2;Hoofdsplitsing;;GVH00 C 5894 P ;1;80623.53799999878;454900.63500000164;4.302233732921482;52.07738149527855
31;Slijkeinde 40 2513VD 's-Gravenhage;Verblijfsobject;Hoofdadres;Slijkeinde;40;;;2513VD;woonfunctie;Kortenbos;Centrum;Centrum;'s-Gravenhage;0518010000509407;0518200000509406;0518100000328044;Vereniging Van Eigenaren Slijkeinde 30/40 Te 'S-Gravenhage;Eigendom (recht van);;GVH00 C 6035 A 3;Hoofdsplitsing;;GVH00 C 5894 P ;1;80623.53799999878;454900.63500000164;4.302233732921482;52.07738149527855
32;Slijkeinde 38 2513VD 's-Gravenhage;Verblijfsobject;Hoofdadres;Slijkeinde;38;;;2513VD;woonfunctie;Kortenbos;Centrum;Centrum;'s-Gravenhage;0518010000844655;0518200000844654;0518100000328044;Vereniging Van Eigenaren Slijkeinde 30/40 Te 'S-Gravenhage;Eigendom (recht van);;GVH00 C 6035 A 4;Hoofdsplitsing;;GVH00 C 5894 P ;1;80617.01700000092;454897.5700000003;4.302139292212656;52.07735307494646
33;Slijkeinde 34 2513VD 's-Gravenhage;Verblijfsobject;Hoofdadres;Slijkeinde;34;;;2513VD;woonfunctie;Kortenbos;Centrum;Centrum;'s-Gravenhage;0518010000879328;0518200000879327;0518100000328044;Vereniging Van Eigenaren Slijkeinde 30/40 Te 'S-Gravenhage;Eigendom (recht van);;GVH00 C 6035 A 5;Hoofdsplitsing;;GVH00 C 5894 P ;1;80617.01700000092;454897.5700000003;4.302139292212656;52.07735307494646
34;Slijkeinde 32 2513VD 's-Gravenhage;Verblijfsobject;Hoofdadres;Slijkeinde;32;;;2513VD;woonfunctie;Kortenbos;Centrum;Centrum;'s-Gravenhage;0518010000576968;0518200000576967;0518100000328044;Vereniging Van Eigenaren Slijkeinde 30/40 Te 'S-Gravenhage;Eigendom (recht van);;GVH00 C 6035 A 6;Hoofdsplitsing;;GVH00 C 5894 P ;1;80617.01700000092;454897.5700000003;4.302139292212656;52.07735307494646
35;Slijkeinde 18 2513VD 's-Gravenhage;Verblijfsobject;Hoofdadres;Slijkeinde;18;;;2513VD;woonfunctie;Kortenbos;Centrum;Centrum;'s-Gravenhage;0518010000672879;0518200000672878;0518100000288620;Vereniging Van Eigenaren Slijkeinde 18/28 Te 'S-Gravenhage;Eigendom (recht van);;GVH00 C 6036 A 1;Hoofdsplitsing;;GVH00 C 5895 P ;1;80636.71599999815;454906.8299999982;4.302424584099216;52.07743893811936
36;Slijkeinde 24 2513VD 's-Gravenhage;Verblijfsobject;Hoofdadres;Slijkeinde;24;;;2513VD;woonfunctie;Kortenbos;Centrum;Centrum;'s-Gravenhage;0518010000543613;0518200000543612;0518100000288620;Vereniging Van Eigenaren Slijkeinde 18/28 Te 'S-Gravenhage;Eigendom (recht van);;GVH00 C 6036 A 2;Hoofdsplitsing;;GVH00 C 5895 P ;1;80636.71599999815;454906.8299999982;4.302424584099216;52.07743893811936
37;Slijkeinde 28 2513VD 's-Gravenhage;Verblijfsobject;Hoofdadres;Slijkeinde;28;;;2513VD;woonfunctie;Kortenbos;Centrum;Centrum;'s-Gravenhage;0518010000509902;0518200000509901;0518100000288620;Vereniging Van Eigenaren Slijkeinde 18/28 Te 'S-Gravenhage;Eigendom (recht van);;GVH00 C 6036 A 3;Hoofdsplitsing;;GVH00 C 5895 P ;1;80636.71599999815;454906.8299999982;4.302424584099216;52.07743893811936
38;Slijkeinde 22 2513VD 's-Gravenhage;Verblijfsobject;Hoofdadres;Slijkeinde;22;;;2513VD;woonfunctie;Kortenbos;Centrum;Centrum;'s-Gravenhage;0518010000875840;0518200000875839;0518100000288620;Vereniging Van Eigenaren Slijkeinde 18/28 Te 'S-Gravenhage;Eigendom (recht van);;GVH00 C 6036 A 5;Hoofdsplitsing;;GVH00 C 5895 P ;1;80630.3209999986;454903.82400000095;4.30233196800006;52.077411065081044
39;Slijkeinde 20 2513VD 's-Gravenhage;Verblijfsobject;Hoofdadres;Slijkeinde;20;;;2513VD;woonfunctie;Kortenbos;Centrum;Centrum;'s-Gravenhage;0518010000505684;0518200000505683;0518100000288620;Vereniging Van Eigenaren Slijkeinde 18/28 Te 'S-Gravenhage;Eigendom (recht van);;GVH00 C 6036 A 6;Hoofdsplitsing;;GVH00 C 5895 P ;1;80630.3209999986;454903.82400000095;4.30233196800006;52.077411065081044
40;Slijkeinde 6 2513VD 's-Gravenhage;Verblijfsobject;Hoofdadres;Slijkeinde;6;;;2513VD;woonfunctie;Kortenbos;Centrum;Centrum;'s-Gravenhage;0518010000841460;0518200000841459;0518100000241262;Vereniging Van Eigenaren Slijkeinde 6/16 Te 'S-Gravenhage;Eigendom (recht van);;GVH00 C 6037 A 1;Hoofdsplitsing;;GVH00 C 5896 P ;1;80650.15199999884;454913.1460000016;4.302619172346904;52.077497502691195
41;Slijkeinde 12 2513VD 's-Gravenhage;Verblijfsobject;Hoofdadres;Slijkeinde;12;;;2513VD;woonfunctie;Kortenbos;Centrum;Centrum;'s-Gravenhage;0518010000606529;0518200000606528;0518100000241262;Vereniging Van Eigenaren Slijkeinde 6/16 Te 'S-Gravenhage;Eigendom (recht van);;GVH00 C 6037 A 2;Hoofdsplitsing;;GVH00 C 5896 P ;1;80650.15199999884;454913.1460000016;4.302619172346904;52.077497502691195
42;Slijkeinde 10 2513VD 's-Gravenhage;Verblijfsobject;Hoofdadres;Slijkeinde;10;;;2513VD;woonfunctie;Kortenbos;Centrum;Centrum;'s-Gravenhage;0518010000807564;0518200000807563;0518100000241262;Vereniging Van Eigenaren Slijkeinde 6/16 Te 'S-Gravenhage;Eigendom (recht van);;GVH00 C 6037 A 5;Hoofdsplitsing;;GVH00 C 5896 P ;1;80643.37099999934;454909.95800000057;4.302520965839021;52.07746794238285
43;Slijkeinde 8 2513VD 's-Gravenhage;Verblijfsobject;Hoofdadres;Slijkeinde;8;;;2513VD;woonfunctie;Kortenbos;Centrum;Centrum;'s-Gravenhage;0518010000739477;0518200000739476;0518100000241262;Vereniging Van Eigenaren Slijkeinde 6/16 Te 'S-Gravenhage;Eigendom (recht van);;GVH00 C 6037 A 6;Hoofdsplitsing;;GVH00 C 5896 P ;1;80643.37099999934;454909.95800000057;4.302520965839021;52.07746794238285
44;Slijkeinde 14 2513VD 's-Gravenhage;Verblijfsobject;Hoofdadres;Slijkeinde;14;;;2513VD;woonfunctie;Kortenbos;Centrum;Centrum;'s-Gravenhage;0518010000672877;0518200000672876;0518100000241262;Vereniging Van Eigenaren Slijkeinde 6/16 Te 'S-Gravenhage;Eigendom (recht van);;GVH00 C 6037 A 8;Hoofdsplitsing;;GVH00 C 5896 P ;1;80643.37099999934;454909.95800000057;4.302520965839021;52.07746794238285
45;Vleerstraat 70 2513VJ 's-Gravenhage;Verblijfsobject;Hoofdadres;Vleerstraat;70;;;2513VJ;woonfunctie;Kortenbos;Centrum;Centrum;'s-Gravenhage;0518010000880469;0518200000880468;0518100000215225;Vereniging Van Eigenaren Vleerstraat 70/80 Te 'S-Gravenhage;Eigendom (recht van);;GVH00 C 6038 A 1;Hoofdsplitsing;;GVH00 C 5897 P ;1;80678.38500000164;454914.18499999866;4.303030726137492;52.07751063013379
46;Vleerstraat 74 2513VJ 's-Gravenhage;Verblijfsobject;Hoofdadres;Vleerstraat;74;;;2513VJ;woonfunctie;Kortenbos;Centrum;Centrum;'s-Gravenhage;0518010000812126;0518200000812125;0518100000215225;Vereniging Van Eigenaren Vleerstraat 70/80 Te 'S-Gravenhage;Eigendom (recht van);;GVH00 C 6038 A 2;Hoofdsplitsing;;GVH00 C 5897 P ;1;80678.38500000164;454914.18499999866;4.303030726137492;52.07751063013379
47;Vleerstraat 78 2513VJ 's-Gravenhage;Verblijfsobject;Hoofdadres;Vleerstraat;78;;;2513VJ;woonfunctie;Kortenbos;Centrum;Centrum;'s-Gravenhage;0518010000846143;0518200000846142;0518100000215225;Vereniging Van Eigenaren Vleerstraat 70/80 Te 'S-Gravenhage;Eigendom (recht van);;GVH00 C 6038 A 7;Hoofdsplitsing;;GVH00 C 5897 P ;1;80678.38500000164;454914.18499999866;4.303030726137492;52.07751063013379
48;Vleerstraat 58 2513VJ 's-Gravenhage;Verblijfsobject;Hoofdadres;Vleerstraat;58;;;2513VJ;woonfunctie;Kortenbos;Centrum;Centrum;'s-Gravenhage;0518010000689158;0518200000689157;0518100000319917;Vereniging Van Eigenaren Vleerstraat 58/68 Te 'S-Gravenhage;Eigendom (recht van);;GVH00 C 6039 A 1;Hoofdsplitsing;;GVH00 C 5898 P ;1;80683.70600000024;454900.8579999991;4.303111236237498;52.077391577852865
49;Vleerstraat 64 2513VJ 's-Gravenhage;Verblijfsobject;Hoofdadres;Vleerstraat;64;;;2513VJ;woonfunctie;Kortenbos;Centrum;Centrum;'s-Gravenhage;0518010000645284;0518200000645283;0518100000319917;Vereniging Van Eigenaren Vleerstraat 58/68 Te 'S-Gravenhage;Eigendom (recht van);;GVH00 C 6039 A 2;Hoofdsplitsing;;GVH00 C 5898 P ;1;80683.70600000024;454900.8579999991;4.303111236237498;52.077391577852865
50;Vleerstraat 60 2513VJ 's-Gravenhage;Verblijfsobject;Hoofdadres;Vleerstraat;60;;;2513VJ;woonfunctie;Kortenbos;Centrum;Centrum;'s-Gravenhage;0518010000544609;0518200000544608;0518100000319917;Vereniging Van Eigenaren Vleerstraat 58/68 Te 'S-Gravenhage;Eigendom (recht van);;GVH00 C 6039 A 6;Hoofdsplitsing;;GVH00 C 5898 P ;1;80680.90399999917;454907.8759999983;4.30306884023512;52.077454270812645
51;Vleerstraat 68 2513VJ 's-Gravenhage;Verblijfsobject;Hoofdadres;Vleerstraat;68;;;2513VJ;woonfunctie;Kortenbos;Centrum;Centrum;'s-Gravenhage;0518010000410061;0518200000410060;0518100000319917;Vereniging Van Eigenaren Vleerstraat 58/68 Te 'S-Gravenhage;Eigendom (recht van);;GVH00 C 6039 A 7;Hoofdsplitsing;;GVH00 C 5898 P ;1;80683.70600000024;454900.8579999991;4.303111236237498;52.077391577852865
52;Vleerstraat 66 2513VJ 's-Gravenhage;Verblijfsobject;Hoofdadres;Vleerstraat;66;;;2513VJ;woonfunctie;Kortenbos;Centrum;Centrum;'s-Gravenhage;0518010000611736;0518200000611735;0518100000319917;Vereniging Van Eigenaren Vleerstraat 58/68 Te 'S-Gravenhage;Eigendom (recht van);;GVH00 C 6039 A 8;Hoofdsplitsing;;GVH00 C 5898 P ;1;80680.90399999917;454907.8759999983;4.30306884023512;52.077454270812645
53;Vleerstraat 46 2513VJ 's-Gravenhage;Verblijfsobject;Hoofdadres;Vleerstraat;46;;;2513VJ;woonfunctie;Kortenbos;Centrum;Centrum;'s-Gravenhage;0518010000475365;0518200000475364;0518100000270595;Vereniging Van Eigenaren Vleerstraat 46/56, Zuilingstraat 103/105 slijkeinde 4 Te 'S-Gravenhage;Eigendom (recht van);;GVH00 C 6040 A 1;Hoofdsplitsing;;GVH00 C 5899 P ;1;80688.70399999991;454888.3359999992;4.303186859618862;52.07727971650232
54;Zuilingstraat 103 2513VG 's-Gravenhage;Verblijfsobject;Hoofdadres;Zuilingstraat;103;;;2513VG;industriefunctie;Kortenbos;Centrum;Centrum;'s-Gravenhage;0518010000484354;0518200000484353;0518100000216168;Vereniging Van Eigenaren Vleerstraat 46/56, Zuilingstraat 103/105 slijkeinde 4 Te 'S-Gravenhage;Eigendom (recht van);;GVH00 C 6040 A 1;Hoofdsplitsing;;GVH00 C 5899 P ;1;80672.5390000008;454876.7320000008;4.302953621185758;52.07717326460906
55;Vleerstraat 54 2513VJ 's-Gravenhage;Verblijfsobject;Hoofdadres;Vleerstraat;54;;;2513VJ;woonfunctie;Kortenbos;Centrum;Centrum;'s-Gravenhage;0518010000742514;0518200000742513;0518100000270595;Vereniging Van Eigenaren Vleerstraat 46/56, Zuilingstraat 103/105 slijkeinde 4 Te 'S-Gravenhage;Eigendom (recht van);;GVH00 C 6040 A 4;Hoofdsplitsing;;GVH00 C 5899 P ;1;80686.55099999905;454893.73099999875;4.303154283017571;52.077327911091714
56;Vleerstraat 50 2513VJ 's-Gravenhage;Verblijfsobject;Hoofdadres;Vleerstraat;50;;;2513VJ;woonfunctie;Kortenbos;Centrum;Centrum;'s-Gravenhage;0518010000408110;0518200000408109;0518100000270595;Vereniging Van Eigenaren Vleerstraat 46/56, Zuilingstraat 103/105 slijkeinde 4 Te 'S-Gravenhage;Eigendom (recht van);;GVH00 C 6040 A 5;Hoofdsplitsing;;GVH00 C 5899 P ;1;80686.55099999905;454893.73099999875;4.303154283017571;52.077327911091714
57;Vleerstraat 48 2513VJ 's-Gravenhage;Verblijfsobject;Hoofdadres;Vleerstraat;48;;;2513VJ;woonfunctie;Kortenbos;Centrum;Centrum;'s-Gravenhage;0518010000576356;0518200000576355;0518100000270595;Vereniging Van Eigenaren Vleerstraat 46/56, Zuilingstraat 103/105 slijkeinde 4 Te 'S-Gravenhage;Eigendom (recht van);;GVH00 C 6040 A 6;Hoofdsplitsing;;GVH00 C 5899 P ;1;80686.55099999905;454893.73099999875;4.303154283017571;52.077327911091714
58;Zuilingstraat 117 2513VG 's-Gravenhage;Verblijfsobject;Hoofdadres;Zuilingstraat;117;;;2513VG;woonfunctie;Kortenbos;Centrum;Centrum;'s-Gravenhage;0518010000678685;0518200000678684;0518100000334377;Vereniging Van Eigenaren Zuilingstraat 107/117 Te 'S-Gravenhage;Eigendom (recht van);;GVH00 C 6041 A 1;Hoofdsplitsing;;GVH00 C 5900 P ;1;80659.53700000048;454870.5729999989;4.302765329559052;52.077116169776104
59;Zuilingstraat 109 2513VG 's-Gravenhage;Verblijfsobject;Hoofdadres;Zuilingstraat;109;;;2513VG;woonfunctie;Kortenbos;Centrum;Centrum;'s-Gravenhage;0518010000411959;0518200000411958;0518100000334377;Vereniging Van Eigenaren Zuilingstraat 107/117 Te 'S-Gravenhage;Eigendom (recht van);;GVH00 C 6041 A 2;Hoofdsplitsing;;GVH00 C 5900 P ;1;80659.53700000048;454870.5729999989;4.302765329559052;52.077116169776104
60;Zuilingstraat 107 2513VG 's-Gravenhage;Verblijfsobject;Hoofdadres;Zuilingstraat;107;;;2513VG;woonfunctie;Kortenbos;Centrum;Centrum;'s-Gravenhage;0518010000479032;0518200000479031;0518100000334377;Vereniging Van Eigenaren Zuilingstraat 107/117 Te 'S-Gravenhage;Eigendom (recht van);;GVH00 C 6041 A 5;Hoofdsplitsing;;GVH00 C 5900 P ;1;80665.86199999973;454873.5689999983;4.302856926553449;52.0771439432095
61;Zuilingstraat 115 2513VG 's-Gravenhage;Verblijfsobject;Hoofdadres;Zuilingstraat;115;;;2513VG;woonfunctie;Kortenbos;Centrum;Centrum;'s-Gravenhage;0518010000846903;0518200000846902;0518100000334377;Vereniging Van Eigenaren Zuilingstraat 107/117 Te 'S-Gravenhage;Eigendom (recht van);;GVH00 C 6041 A 6;Hoofdsplitsing;;GVH00 C 5900 P ;1;80665.86199999973;454873.5689999983;4.302856926553449;52.0771439432095
62;Zuilingstraat 113 2513VG 's-Gravenhage;Verblijfsobject;Hoofdadres;Zuilingstraat;113;;;2513VG;woonfunctie;Kortenbos;Centrum;Centrum;'s-Gravenhage;0518010000378878;0518200000378877;0518100000334377;Vereniging Van Eigenaren Zuilingstraat 107/117 Te 'S-Gravenhage;Eigendom (recht van);;GVH00 C 6041 A 7;Hoofdsplitsing;;GVH00 C 5900 P ;1;80659.53700000048;454870.5729999989;4.302765329559052;52.077116169776104
63;Zuilingstraat 111 2513VG 's-Gravenhage;Verblijfsobject;Hoofdadres;Zuilingstraat;111;;;2513VG;woonfunctie;Kortenbos;Centrum;Centrum;'s-Gravenhage;0518010000712189;0518200000712188;0518100000334377;Vereniging Van Eigenaren Zuilingstraat 107/117 Te 'S-Gravenhage;Eigendom (recht van);;GVH00 C 6041 A 8;Hoofdsplitsing;;GVH00 C 5900 P ;1;80665.86199999973;454873.5689999983;4.302856926553449;52.0771439432095
64;Zuilingstraat 129 2513VG 's-Gravenhage;Verblijfsobject;Hoofdadres;Zuilingstraat;129;;;2513VG;woonfunctie;Kortenbos;Centrum;Centrum;'s-Gravenhage;0518010000778773;0518200000778772;0518100000236062;Vereniging Van Eigenaren Zuilingstraat 119/129 Te 'S-Gravenhage;Eigendom (recht van);;GVH00 C 6042 A 1;Hoofdsplitsing;;GVH00 C 5901 P ;1;80646.72500000149;454864.50499999896;4.302579789718546;52.07705991795011
