Leveranciers;1000 - Personele exploitatie overig;1110 - Verhuiskosten personeel binnen- en buitenland;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1160 - Personeelsevenementen, bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis & verblijfskosten;Eindtotaal
Bier-Reclame Museum Breda;;;;1;;;;;;1
Bij Aaltje aan de Linie;;;;1;;;;;;1
Bijenhoudersver. Nieuwleusen en omstreken;;;;1;;;;;;1
BijzonderStrafrecht B.V.;;;;;;1;;;;1
Bilderberg Hotel De Keizerskroon;;;;;;;;;1;1
Bilderberg Residence Groot Heideborgh;;;;;;1;;;;1
Binnenlands Bestuur B.V.;;;;;;1;;;;1
BioAware SA N.V.;;;;;;1;;;;1
Biotechnische Vereniging Nederland;;;;;;;;;1;1
Biotechnology Industry Organization;;;;;;;;;1;1
Bistro De Zoete Inval V.O.F.;;;;1;;;;;;1
Bistro Mer B.V.;;;;1;;;;;;1
Bjusterbaarlik Boerderij Recreatie;;;;1;;;;;;1
BKFF bas kijzers fotografie en film;;;;1;;;;;;1
Blij Lunch & Borrelroom;;;;1;;;;;;1
Bloemenatelier in de Roos;;;;1;;;;;;1
Bloemenboetiek Abutilon;;;;1;;;;;;1
BLOSSOM bloemisterij;;;;1;;;;;;1
Blue Online B.V.;;;;1;;;;;;1
Blue Pelican Sustainability Services;;;;;;1;;;1;2
blueriq;;;;;;1;;;;1
BMC Advies B.V.;;;;;;1;;;;1
BodemenergieNL;;;;;;1;;;;1
Bodo Aretz;;;;;;;;;1;1
Boek en Service;;;;;;1;;;;1
Boekhandel Van der Velde B.V.;;;;1;;;;;;1
Boer Bartele;;;;1;;;;;;1
Boerderij Camping 'Bouwlust';;;;1;;;;;;1
Boerderijterras Jacobushof;;;;1;;;;;;1
Boertien Vergouwen Overduin B.V.;;;;;;2;;;;2
Boks-Sportvereniging 'Assen';;;;1;;;;;;1
bol.com B.V.;;;;1;;1;;;;1
Bont Hospitality B.V.;;;;1;;;;;;1
Boode in Bathmen B.V.;;;;1;;;;;;1
Bookboon Corporate;;;;;;1;;;;1
Boonoonoonoos;;;;1;;;;;;1
Boost Events;;;;1;;;;;;1
Boterwaag Den Haag B.V.;;;;1;;;;;;1
Boulevard;;;;1;;;;;;1
Bowling- & Partycentrum Groningen B.V.;;;;1;;;;;;1
Bowling- en Partycentrum Gouda;;;;1;;;;;;1
Bowling Scheveningen B.V.;;;;1;;;;;;1
Braber Winkels B.V.;;;;1;;;;;;1
Brainstudio;;;;;;1;;;;1
Brasserie De Kroon;;;;1;;;;;;1
Brasserie Sequenza;;;;1;;;;;;1
Brasserie Soho B.V.;;;;1;;;;;;1
Brasserie 't Zusje Scheveningen B.V.;;;;1;;;;;;1
Bravo-Preventie;;;1;;;1;;;;1
Break Free Fun Company;;;;1;;;;;;1
Bridge2learn;;;;;;2;;;;2
Bright Caliber;;;;;;1;;;;1
Bright Events;;;;1;;;;;;1
Brood- & Banketbakkerij Maxima;;;;;;;;;1;1
Brouwer's Hap & Tap;;;;1;;;;;;1
Brunel Nederland B.V.;;;;;;;;;1;1
Brussels School of Competition Foundation;;;;;;1;;;;1
BRW Customer Experience Software B.V.;;;;;;1;;;;1
Budapest School for Central Bank Studies;;;;;;1;;;;1
Buffetrestaurant Thijs & Aafke;;;;;;;;;1;1
Bulb Quality Support B.V.;;;;;;1;;;;1
Bundesamt f�r Verbraucherschutz und Lebensmittelsicherheit.;;;;;;;;;1;1
Bureau Beweeglijk;;;;;;1;;;;1
Bureau Beysterveld;;;;;;2;;;;2
Bureau Drop;;;;;;1;;;;1
Bureau eMMe;;;;;;1;;;;1
Bureau Kees Horden B.V.;;;;;;1;;;;1
Bureau Schijf, Partner in Leiderschap;;;;;;1;;;;1
Bureau Tromp B.V.;;;;;;2;;;;2
Bureau van Es;;;;;;1;;;;1
Bureau Veritas Industrial Services;;;;;;1;;;;1
Bureau voor coaching training ensupervisie Nelly Hazen;;;;;;1;;;;1
Bureau Zuidema B.V.;;;;;;2;;;;2
Bureau Zuidema Learning Solutions B.V.;;;;;;2;;;;2
Bureautaal B.V.;;;;;;1;;;;1
Buren N.V.;;;;1;;;;;;1
Burger Coaching & Advies;;;;;;1;;;;1
Burggolf Sint-Nicolaasga B.V.;;;;1;;;;;;1
Buro Q B.V.;;;;1;;;;;;1
Buro Wittenburg Beheer B.V.;;;;;;1;;;;1
BuzzMaster B.V.;;;;;;1;;;;1
Bvolve B.V.;;;;;;1;;;;1
C & F Sporting B.V.;;;;1;;;;;;1
C.I.V.A.S. B.V.;;;;;;1;;;;1
C.V. La Galleria Plein;;;;1;;;;;;1
C365 B.V.;;;;;;;;;2;2
Cadran Solaire;;;1;;;;;;;1
Café Huppel 'The Pub';;;;1;;;;;;1
Café Restaurant Rootz B.V.;;;;1;;;;;;1
Café-Restaurant De Plantage B.V.;;;;1;;;;;;1
Café-Restaurant De Veranda B.V.;;;;;;;;;1;1
Café-Restaurant Pan;;;;1;;;1;;;1
Café-Restaurantbedrijf De Kikker;;;;1;;;;;;1
CafÃ© Bolhuis;;;;1;;;;;;1
CafÃ© De Hetebrij;;;;1;;;;;;1
CafÃ© Het Oude Pakhuis;;;;;;;;;1;1
CafÃ© Mano;;;;;;;;;1;1
CafÃ© Orloff Utrecht B.V.;;;;1;;;;;;1
CafÃ© Restaurant De Biechtstoel;;;;1;;;;;;1
CafÃ© Wouters;;;;1;;;;;;1
CafÃ©-Restaurant Campman B.V.;;;;1;;;;;;1
CafÃ©-Restaurant Chambor;;;;1;;;;;;1
CafÃ©-Restaurant Overwijk;;;;1;;;;;;1
Cafe/Restaurant De Eeuwige Jachtvelden;;;;1;;;;;;1
Cafe/Restaurant De Haagsche Kluis;;;;1;;;;;;1
Caf�-biljart en Zalencentrum 'Onder de Linden';;;;1;;;;;;1
Campus Deltion College;;;;1;;;;;;1
Camuse;;;;;;1;;;;1
CanCreate Concepts & Productions;;;;1;;;;;;1
Capgemini Educational Services B.V.;;;;;;2;;;;2
Capgemini Nederland B.V.;;;1;;;2;;;;2
Capilla;;;;;;1;;;;1
Capital Catering GmbH;;;;;;;1;;;1
Capo Cucina;;;;1;;;;;;1
CareerGuide;;;;;1;;;;;1
Carnegie-Stichting;;;;1;;;;;;1
Caroni;;;;1;;;;;;1
Carpe Diem B.V.;;;;2;;;;;;2
Cascadis;;;;;;1;;;1;1
Catering Groep Nederland B.V.;;;;1;;;;;;1
Catering van het Land;;;;;;;;;1;1
CBE - Group B.V.;;;;;;;;;1;1
Center for Creative Leadership;;;;;;1;;;;1
Central Point Nederland B.V.;;;1;;;;;;;1
Centrale Wapenhandel Dorhout Mees B.V.;;;;1;;;;;;1
Centre de Cours Alliance Fran�aise de La Haye;;;;;;1;;;;1
Centre for European Policy Studies CEPS;;;;;;1;;;;1
Centric;;;;;;3;;;;3
Centrum Quadraat;;;;1;;;;;;1
Cesar Moerman Communicatie;;;;;;1;;;;1
CFA Institute;;;;;;1;;;;1
CGE Risk Management Solutions B.V.;;;;;;1;;;;1
Chalet Bergrust;;;;1;;;;;;1
Chartervaart Harderwijk B.V.;;;;1;;;;;;1
China International Food Safety & Quality;;;;;;;;;1;1
Chinees Indisch Wokrestaurant 'Golden City';;;;1;;;;;;1
Chinees Restaurant 't Paradijs B.V.;;;;;;;;;1;1
Chinees Specialiteitenrestaurant Peking;;;;1;;;;;;1
Chinees Wok Restaurant Royal Palace;;;;1;;;;;;1
Chinees-Indisch Restaurant 'Jasmijn';;;;1;;;;;;1
Chorda B.V.;;;;;;1;;;;1
Ciao! Ciao! B.V.;;;;1;;;;;;1
CIBIT Adviseurs/Opleiders;;;;;;1;;;;1
CIBT Visumdienst B.V.;;;;;;;;;1;1
Cindrillon;;;;1;;;;;;1
Citylife B.V.;;;;1;;;;;;1
ClearDynamics;;;;;;1;;;;1
Clip;;;;;;1;;;;1
Clou, voor Marketing, Informatie en Research;;;;;;1;;;;1
CLS Computertrainingen;;;;;;1;;;;1
Clubgebouw JST Waalsdorp;;;;1;;;;;;1
CNV Jongeren;;;;;;1;;;;1
Coöperatie Exploitatie Bouwcampus UA;;;;;;;;;1;1
CoachNetwerk B.V.;;;;;;1;;;;1
Coachpunt;;;;;;1;;;;1
CoÃ¶p. K.T. Centrum Proefboerderij Zegveld UA;;;;;;;;;1;1
CoÃ¶peratie 'Neptunus' UA;;;;;;;;;1;1
CoÃ¶peratieve Rabobank UA;;;;;;;;;1;1
CoÃ¶peratieve Vereniging Marconia UA;;;;1;;;;;;1
COCD;;;;;;1;;;;1
Coeurage;;;;;;1;;;;1
Collect Car B.V.;;;;;;;;;1;1
Comenius Consult;;;;;;1;;;;1
Common Eye B.V.;;;;;;3;;;;3
Communicatiebureau De Walvis;;;;;;;;;1;1
Compass Group Belgilux;;;;;;;;;1;1
Compass Group Nederland B.V.;;;;1;;;;;;1
Compass Services (UK) Limited;;;;;;;1;;;1
Competence Factory;;;;;;1;;;;1
Compu'Train;;;;;;1;;;;1
Compu'Train Opleidingen B.V.;;;;;;1;;;;1
Conduite;;;;;;1;;;;1
Conference Series llc Limited;;;;;;;;;1;1
ConflictSolutions;;;;;;1;;;;1
Congruent Managementsupport;;;;;;1;;;;1
Connexxion Tours B.V.;;;;1;;;;;;1
Considerati B.V.;;;;;;1;;;;1
Continu Ontwikkelen B.V.;;;;;;1;;;;1
Controlyse B.V.;;;;;;1;;;;1
Conveno B.V.;;;;;;1;;;;1
Conveno Beheer B.V.;;;;;;1;;;;1
Cook Inn catering;;;;1;;;;;;1
Cooking Adventure;;;;1;;;;;;1
Co�peratie De Betekenaar UA;;;;;;1;;;;1
Co�peratie Hoeve Biesland BA;;;;1;;;;;;1
Coosto Holding B.V.;;;;;;1;;;;1
Copper8 B.V.;;;;;;;;;1;1
Corael;;;;;;1;;;;1
Core4Core;;;;;;1;;;;1
Corn.-Stone Marketing & Sales Programmes B.V.;;;;;;1;;;;1
Co-Zijn Coaching;;;;;;1;;;;1
Crazy Holding;;;;1;;;;;;1
CRIBIQ-CONSORTIUM DE RECHERCHE ET INNOVATIONS EN BIOPROCEDE;;;;;;;;;1;1
CroesvanDam Organisatiecoach. en Consultancy;;;;;;1;;;;1
Crowne Plaza Brussels - Le Palace;;;;;;;;;1;1
Cuisine@yourhome;;;;1;;;;;1;1
Culpepper B.V.;;;;1;;;;;;1
Culture Incorporated;;;;;;1;;;;1
Cura Mortu Orum Mortuariabeheer B.V.;;;;;;1;;;;1
D.E.A. Events;;;;1;;;;;;1
D.H.T.C. Den Helder Training Centre B.V.;;;;;;1;;;;1
Dagvoorzitter.nl;;;;;;1;;;;1
DARA B.V.;;;;1;;;;;;1
DASMO-TPAST B.V.;;;;;;1;;;;1
DataExpert B.V.;;;;;;1;;;;1
De Academy B.V.;;;;;;1;;;;1
De Alchemist;;;;;;1;;;;1
De Baak Administratie;;;;;;4;;;;4
De Baak B.V.;;;;;;2;;;;2
De Bankarie;;;;1;;;;;;1
De Bazar B.V.;;;;1;;;;;;1
De Beken B.V.;;;;1;;;;;;1
De Bierelier B.V.;;;;1;;;1;;;1
De Bierkelder Utrecht;;;;1;;;;;;1
De Boerinn B.V.;;;;1;;;;;;1
De Bosrand Vlieland Beheer B.V.;;;;1;;;;;;1
De Corridor;1;;;;;;;;1;1
De Docentenacademie;;;;;;1;;;;1
De Drijvende Kracht;;;;;;1;;;;1
De Ferrante Secretariaten en Opleidingen B.V.;;;;;;2;;;;2
De Gouden Wok Zuiderpark;;;;1;;;;;;1
de Goudreinet Barneveld;;;;;;;;;1;1
De Goudse Lichtfabriek B.V.;;;;1;;;;;;1
De Heeren Hofsteenge;;;;1;;;;;;1
De Hertenkamp Assen B.V.;;;;1;;;;;1;1
De Holland Winkel;;;;1;;;;;;1
De Horeca Academie Zakelijk B.V.;;;;;;;;;1;1
De investeringsmaatschappij;;;;;;3;;;;3
De Kantine;;;;;;;;;1;1
De Kleurenverdieping;;;;;1;;;;;1
De Korenbeurs Utrecht B.V.;;;;1;;;;;;1
De Loonse schuur;;;;1;;1;;;;1
De Merkplaats B.V.;;;;;;1;;;;1
De Moor Tekst & Uitleg;;;;;;2;;;;2
De Nieuwe Pelgrim;;;;;;1;;;;1
De Nonnen in Vught;;;;;;2;;;1;2
De Noordelijke Rentmeesters B.V.;;;;;;;;;1;1
De Otter Horeca B.V.;;;;1;;;;;;1
De Overburen;;;;1;;;;;;1
de Persgroep Nederland B.V.;;;;1;;;;;;1
De Poort van Kleef Utrecht B.V.;;;;1;;;;;;1
De Reehorst' B.V.;;;;2;;;;;;2
De Rijtuigenloods B.V.;;;;2;;;;;;2
De Rode Vosch B.V.;;;;1;;;;;;1
De Roos Fulfilment;;;;1;;;;;;1
De Roos Geschenken B.V.;;;;2;;;;;;2
De schaal van Kampen;;;;;;1;;;;1
De Schenker B.V.;;;;1;;;;;;1
De Secretaresse Trainer;;;;;;1;;;;1
De Smaakboutique;;;;1;;;;;;1
De Staffing Groep Nederland B.V.;5;;;;;;;;2;5
De Succesvolle Introvert;;;;;;1;;;;1
De Surinees;;;;1;;;;;;1
De Tombe Consultancy B.V.;;;1;;;1;;;;2
De Tuinderij;;;;1;;;;;;1
De Utrechtse Haven B.V.;;;;1;;;;;1;1
De Veldkeuken;;;;1;;;;;;1
de Verheldering;;;;;;1;;;;1
De Vier Jaargetijden;;;;1;;;;;;1
De Voscheheugte;;;;1;;;;;;1
De Waterreus;;;;1;;;;;;1
De Winkel van Sinkel B.V.;;;;1;;;;;1;1
De Witterbrug B.V.;;;;1;;;;;;1
De Zon;;;;1;;;;;;1
DEEP Underground Engineering GmbH;;;;;;1;;;;1
Dekxels B.V.;1;;;1;;;;;;1
deLex Media en Management B.V.;;;;;;1;;;;1
Delft Congress Support B.V.;;;;;;1;;;1;1
Delft Projectmanagement B.V.;;;;;;1;;;;1
Delft Projects & Consultancy;;;;1;;;;;;1
Deloitte Accountants;;;;;;1;;;;1
Deloitte Risk Services;4;;;;;;;;;4
Demo-Advies B.V.;;;;;;1;;;;1
Den Bosch Evenementen B.V.;;;;1;;;;;;1
Denk Producties B.V.;;;;;;2;;;;2
Der Schatzmeister des Helmholtz-Fondse.V.;;;;;;1;;;;1
DesignThinkers B.V.;;;;;;1;;;;1
Development Works;;;;;;1;;;;1
Dialogis;;;;;;1;;;;1
Didgames;;;;1;;;;;;1
Die Akademie Fresenius GmbH;;;;;;;;;1;1
Dientje;;;;1;;;;;;1
DiEx B.V.;;;;;;2;;;;2
Dijkgraaf Support B.V.;;;;;;1;;;;1
Dikscommuniceert;;;;;;1;;;;1
Diner Thuis;;;;1;;;;;;1
DinercafÃ© Diep;;;;1;;;;;;1
DIOR Opleidingen;;;;;;2;;;;2
Dirksen Bedrijfsopleidingen B.V.;;;;;;1;;;;1
Discountoffice.nl B.V.;;;;1;;;;;;1
Djihn Personal and Team Development B.V.;;;;;;1;;;;1
DLB Exploitatie B.V.;;;;1;;;;;;1
DLG BENELUX;;;;;;1;;;;1
DNV GL Netherlands B.V.;;;;;;1;;;1;2
Docendo B.V.;;;;;;1;;;;1
Doenederland.nl B.V.;;;;1;;;;;;1
Dolphin Maritime Netherlands B.V.;;;;;;1;;;;1
Domstad Evenementen B.V.;;;;1;;1;;;;1
Dorpshuis Ten Post;;;;;;;;;1;1
Double A Exploitatie B.V.;;;;1;;;;;;1
Double Service;;;;1;;;;;;1
Down Under BEACH B.V.;;;;1;;;;;;1
Down Under Horecaexploitatie B.V.;;;;1;;;;;;1
Drentea Kantoormeubelen;;;1;;;;;;;1
Drentse Koe IJs;;;;1;;;;;;1
Drunen M.Z. v;;;;;;;;;1;1
Du Soleil;;;;;;1;;;;1
Dudok Den Haag B.V.;;;;1;;;;;;1
Dukers & Baelemans Opleiding en Advies B.V.;;;;;;2;;;;2
Dunea N.V.;;;;1;;;;;;1
Dungelmann Turfmarkt B.V.;;;;1;;;;;;1
Dutch at Home;;;;;;1;;;;1
Dutch Broadcasting Company (D.B.C.);;;;1;;;;;;1
Dutch Card Printing;;;1;;;;;;;1
Dutch Research Institute for Transitions B.V.;;;;;;1;;;;1
Duwtje;;;;;;2;;;;2
Ebbinge & Company International Holding B.V.;;;;;;2;;;;2
Ebbinge B.V.;;;;;;2;;;;2
EBD GmbH;;;;;;;;;1;1
EBSA;;;;;;1;;;1;1
EBSCO Information Services B.V.;;;;;;;;1;;1
EBU;;;;;;1;;;;1
Ecole Nationaled'administration;;;;;;1;;;;1
Edi van Gelder training en coaching;;;;;;1;;;;1
EDM-Competence Centre B.V.;;;;;;2;;;;2
Edo Plantinga Onl. Proj.manag. & Consultancy;;;;;;1;;;;1
Eduact B.V.;;;;;;2;;;;2
Eduvision B.V.;;;;;;1;;;;1
Eemlandhoeve Exploitatie B.V.;;;;;;;;;1;1
Een wereld van verschil;;;;;;1;;;;1
Eet- en koffiehuis de Kiosk;;;;1;;;;;;1
EHS crew;;;;;;1;;;;1
Eidoskoop;;;;;;1;;;;1
eko-tours B.V. i.o.;;;;1;;;;;;1
El Niño B.V.;;;;1;;;;;;1
El SÃ³tano;;;;1;;;;;;1
Elektrotechnische Studievereniging Scintilla;;;;;;1;;;;1
Elycio Talen B.V.;;;;;;4;;;;4
Elzinga Catering;;;1;;;;;;1;1
EMENDO Event & Congress GbR;;;;;;1;;;;1
EMMA Communicatie B.V.;;;;;;2;;;;2
EmmaÃ¼s Coaching (organisatie-team-individu);;;;;;1;;;;1
Emperon B.V.;;;;;;1;;;;1
Endemol Shine Nederland Producties B.V.;;;;1;;;;;;1
Energeia B.V.;;;;;;1;;;1;1
Energy Delta Institute B.V.;;;;;;3;;;;3
Energy Matters;;;;;;;;;1;1
Entopic B.V.;;;;;;1;;;1;1
Enversed Entertainment Eindhoven B.V.;;;;1;;;;;;1
EOSD European Organisation for Sustainable Development GmbH;;;;;;;;;1;1
Equipoise B.V.;;;;;;;;;1;1
ERA;;;;;;1;;;;1
Ergatis B.V.;;;1;;;;;;;1
Ergonomiespecialist B.V.;;;1;;;;;;;1
Ergonomique;;;1;;;;;;;1
Eric Borrias Verhalenverteller;;;;;;;1;;;1
ESB B.V.;;;;;;1;;;;1
Escape Challenge B.V.;;;;1;;;;;;1
Escaperoom071 B.V.;;;;1;;;;;;1
Escher in het Paleis;;;;1;;;;;;1
eSpecialisten B.V.;;;;;;;;;1;1
Esri Nederland;;;;;;2;;;;2
Essania;;;;1;;;;;;1
Eten & Co Groningen B.V.;;;;1;;;;;;1
Eten & Zo Zoetermeer B.V.;;;;1;;;;;;1
Eten bij Werelds;;;;1;;;;;;1
Etop;;;;;;1;;;;1
EU-Japan Centre for Industrial Cooperation;;;;;;;;;1;1
Eur. Instit. voor Certified Public Controll.;;;;;;1;;;1;1
Eurest Services B.V.;;;;;;;1;;;1
Euro Events B.V.;;;;1;;;;;;1
Euroforum;;;;;;2;;;1;2
European Academy for Taxes, Economics & Law Brauner Klingenberg GmbH;;;;;;;;;1;1
European Fund Management Consulting O�;;;;;;1;;;;1
European Language Centre B.V.;;;;;;1;;;;1
European Microfinance Network (EMN) aisbl;;;;;;1;;;;1
EvenementContact;;;;;;1;;;;1
Events4Business;;;;1;;;;;;1
Evidente;;;;;;1;;;;1
Evite Services B.V.;;;;1;;;;;1;1
EVO Fenedex;;;;;;1;;;1;1
EVW Creations;;;;1;;;;;;1
eX:plain;;;;;;1;;;;1
Excelsior Sport B.V.;;;;1;;;;;;1
Exito Beekbergen B.V.;;;;1;;;;;1;1
Expertisecentrum Lichaamstaal Nederland;;;;;;1;;;;1
Explainit Company;;;;;;2;;;;2
ExplainIT Special Accounts B.V.;;;;;;1;;;;1
Exploitatie 't Maoske B.V.;;;;;;;;;1;1
Exploitatiemij. Grand Hotel Karel V B.V.;;;;1;;;;;1;1
EXPOTRAVEL BVBA;;;;;;;;;1;1
Extrarius Adventures;;;;1;;;;;;1
FaberExposize B.V.;;;;1;;;;;;1
Factor Veiligheid! B.V.;;;;;;2;;;;2
Falck Nutec;;;;;;1;;;;1
Falck Prevention B.V.;;;;;;2;;;;2
Falke & Verbaan B.V.;;;;;;1;;;;1
Federal Institute for Risk Assessment(BFR);;;;;;1;;;;1
Feel Good 2 Stress Counselling en Coaching;;;;;;1;;;;1
Feelgood2GO B.V.;;;;1;;;;;;1
Feithhuis Exploitatie B.V.;;;;1;;;;;;1
Fellini Assen B.V.;;;;1;;;;;1;1
Festivals Limburg B.V.;;;;1;;;;;;1
