Leveranciers;4110 - Consumptieve diensten;4120 - Risicobeheersen;4130 - Schoonmaak;4210 - Post-, koeriers- en transportdiensten;4310 - Documentmanagement;4410 - Afvalzorgmanagement;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;4710 - Bankdiensten;Eindtotaal
Chubb Fire & Security Alkmaar;;1;;;;;;;;1
Chubb Fire & Security Amsterdam;;1;;;;;;;;1
Chubb Nederland B.V.;;1;;;;;;;;1
CoÃ¶rdesign B.V.;;;;;;;;1;;1
Codor Dorned B.V.;;;1;;;;;;;1
Cofely Zuid B.V.;;;;;;;;;1;1
Cold Tex B.V.;;;;;;;;1;;1
Color Wood Holding B.V.;;;;;1;;;1;;1
Compass Group Nederland B.V.;6;;;;;;;;;6
Complex E-Techniek B.V.;;1;;;;;;;;1
Conrad Electronic Benelux B.V.;;;;;;;;2;;2
Coolblue B.V.;;;;;;;;1;;1
Coolwater Service Zuid B.V.;1;;;;;;;;;1
Coöp. In- en Verkoopver. 'Den Oever' UA;;;;;;;;1;;1
Coöperat. In- en Verkoopver. 'Lauwerszee' UA;;;;;;;;1;;1
Cormet Schoolcatering B.V.;1;;;;;;;;;1
Croon Elektrotechniek B.V.;;1;;;;;1;;;1
Crowd Support B.V.;;2;;;;;;;;2
CSU Cleaning Services;;;2;;;;;;;2
CSU Cleaning Services Zuid;;;1;;;;;;;1
CURA Safety Solutions B.V.;;1;;;;;;;;1
CWS Nederland B.V.;;;3;;;;;;;3
D.T.S. Customs B.V.;;;;1;;;;;;1
Dalton Continental B.V.;;;;;;;;1;;1
De Koningh Coding & Labeling B.V.;;;;;;;;1;;1
De Lage Landen Vendorlease B.V.;;;;;;;;2;;2
De Meerlanden Bedrijfsafval B.V.;;;;;;1;;;;1
de Persgroep Nederland B.V.;;;;;1;;;;;1
De Resolutie Rijswijk B.V.;;;;;2;;;;;2
De Resolutie Utrecht B.V.;;;;;1;;;;;1
De Swart B.V.;;;;;1;;;;;1
Debets Kantoor en Meer;;;;;;;;1;;1
Deli XL;1;;1;;;;;;;1
Dependance Rotterdam;;;;;1;;;;;1
Detron Computerverhuur;;;;1;;;;;;1
DHL International B.V.;;;;1;;;;;;1
DHL Worldwide Express;;;;1;;;;;;1
Digital Revolution B.V.;;;;;;;;1;;1
Dijkema Meubelstoffeerders;;;;;;;1;;;1
Discountoffice.nl B.V.;;;;;;;;1;;1
Distus;;;;;;;;1;;1
Dokkumer Vlaggen Centrale B.V.;;;;;;;;1;;1
Dolmans Facilitaire Diensten;;;6;;;;;;;6
Dols Kantoorefficiency & Projektinrichting;;;;;;;;1;;1
Dopper;;;;;;;;1;;1
Dorset ID;;;;;;;;1;;1
Douwe Egberts Horeca;3;;;;;;;;;3
Drentea Kantoormeubelen;;;;;;;4;2;;4
Drukbedrijf.nl B.V.;;;;;1;;;;;1
Drukkerij E.P.A. van de Geer B.V.;;;;;1;;;;;1
Dutch Card Printing;;;1;;1;;;;;1
Dutch Special Solutions B.V.;;;1;;;;;;;1
E & E Collect B.V.;;;;;;;;1;;1
E&E Koeriers;;;;1;;;;;;1
EcoSmart Nederland B.V.;;;;;;6;;;;6
Eden Springs Nederland B.V.;1;;;;;;;;;1
Eijkelkamp Soil & Water B.V.;;;;;;;;1;;1
Enexis B.V.;;;;;;;;;1;1
Engels;;;;;;;;1;;1
ENGIE Services Noord B.V.;;;;;;;2;;;2
ENGIE Services West vestiging Alkmaar;;;;;;;1;;;1
Ergobrain B.V.;;;;;;;;1;;1
ERHA Trading B.V.;;;;;;;;1;;1
Esra Handelmaatschappij B.V.;;;;;;;;1;;1
ESVSHOP.NL;;1;;;;;;;;1
Eurest Services B.V.;1;;;;;;;;;1
Euromate B.V.;;;1;;;;;;;1
Evite Services B.V.;;;;;1;;;;;1
Fa. P.H. Walinga;;;;;;;;1;;1
Falck Emergency & Care Center;;1;;;;;;;;1
Falck Prevention B.V.;;2;;;;;;;;2
Federal Express Europe Inc.;;;;1;;;;;;1
Fidato B.V.;;;;;;;;1;;1
Fietsenstalling 'Laag Catharijne';;;;1;;;;;;1
Firma J. Jorna en Zn.;;;;;;;;1;;1
First Light B.V.;;;;;;;;1;;1
First Service B.V.;4;1;;;;;;;;4
Fisher Emergo B.V.;;;;;;;;1;;1
Flanderijn en v. Eck Gerechtsdeurwaard. B.V.;;;;1;;;;;;1
Focus e-commerce;;;;;;;;1;;1
Formzet B.V.;;;;;2;;;;;2
Foto Konijnenberg B.V.;;;;;;;1;;;1
Foto Sipkes V.O.F.;;;;;;;;1;;1
Fresh Air Solutions B.V.;;;;;;;1;;;1
Fusernet Services B.V.;;;2;;;;;;;2
G4S Services;;4;;;;;;;;4
Geschreven en Gedrukt;;;;;2;;;;;2
Gispen Groningen;;;;;;;4;1;;4
Glazenwasserij- en Schoonmaakbedrijf Horst;;;1;;;;;;;1
Gom Schoonhouden;;;7;;;;;;;7
Gonçalves Drukwerk Adviseur;;;;;1;;;;;1
Good Xpress B.V.;;;;;;;1;;;1
Grafisch Service Centrum Van Gils B.V.;;;;;1;;;;;1
Grand Catering B.V.;2;;;;;;;;;2
Greengiving B.V.;;;;;1;;;;;1
Greenz B.V.;;;;;;;;1;;1
Grenkefinance N.V.;;;;;;;;1;;1
Gullimex B.V.;;;;;;;;1;;1
H&N Communicatie B.V.;;;;;1;;;;;1
H. Hol & Zoon;;;;;;;;1;;1
H.J.M. Zonderland Fotografie;;;1;;1;;;;;1
Hacousto Security Systems;;1;;;;;;;;1
Hakado Automatencatering;1;;;;;;;;;1
Hamminga Bouw- en Tuinmarkt B.V.;;;;;;;;1;;1
Handelsonderneming Hemker & Bekking B.V.;;;;;;;;1;;1
Health2Work B.V.;;;;;;;1;;;1
Hectas Facility Services C.V.;;;2;;;;;;;2
Heevis;;;;;;;;1;;1
Hega Offset B.V.;;;;;1;;;;;1
Heidelberg Benelux B.V.;;;;;;;;1;;1
Heigo Nederland B.V.;;;;;;;;4;;4
Herman Koetsier;;;;1;;;;;;1
Het Financieele Dagblad B.V.;;;;;2;;;;;2
het Ngi: voorh. Ned. Genootsch. Informatica;;;;;;;;1;;1
Hokra B.V.;;;;;;;;1;;1
Holland Promotion B.V.;;;;;1;;;;;1
Horeca Adviescentrum HTC;1;;;;;;;;;1
Horeca World B.V.;;;;;;;1;;;1
Horequip B.V.;;;;;;;1;;;1
Horticoop B.V.;;;;;;;;1;;1
Hulskamp Audiovisueel Utrecht;;;;;;;;1;;1
ICO Communicatie;;;;;2;;;;;2
ID Ware International B.V.;;;;;1;;;;;1
Iedema Projectstoffering Wateringen B.V.;;;;;;;4;;;4
IHC Interior B.V.;;;;;;;1;1;;1
Impero Romano Holding B.V.;1;;;;;;;;;1
In2Content B.V.;;;;;;;;1;;1
Incassor;;;;1;1;;;;;2
Initial B.V.;;;3;;;;;4;;5
Instituut voor Veiligheid en Milieu B.V.;;2;;;;;;;;2
Intersafe Groeneveld B.V.;;;;;;;;1;;1
Intexso Adviesbureau B.V.;;;1;;;;;;;1
Intimus International Netherlands B.V.;;;;;;;;1;;1
Iron Mountain Nederland B.V.;;;;;4;;;;;4
ITS Office Supplies B.V.;;;;;;;;1;;1
J.P. van Eesteren B.V.;;;;;;;1;;;1
Jan Schut Verhuizingen en Transporten B.V.;;;;1;;;;;;1
JBM Koeriers B.V.;;;;1;;;;;;1
JooSign;;;;;;;1;;;1
Jos Boone B.V.;;;;;;;;1;;1
Jos ten Berg's Handelmaatschappij B.V.;1;;;;;;;;;1
Jungheinrich Nederland B.V.;;;;;1;;;1;;1
Kamera Express;;;;;;;;1;;1
Kantoor & Kopie;;;;;;;;1;;1
Kantoorverzorging Verhallen en Jansen;;;;;;;;1;;1
KATO Group B.V.;;;;;;;;1;;1
Kega Holding Company B.V.;;;;;1;;;;;1
Kentie Afterprint B.V.;;;;;;;;1;;1
King Nederland B.V.;;;2;;;;;;;2
Klein Beernink B.V.;;;;;;;;1;;1
Kluwer Opleidingen;;;;;;;;1;;1
Koninklijke Fabrieken Posthumus B.V.;;;1;;;;;1;;1
Koninklijke Kampert en Helm Rotaform B.V.;;;;;3;;;;;3
Koninklijke van der Most B.V.;;;;;4;;;2;;4
Kop Beveiliging B.V.;;1;;;;;;;;1
KPN B.V.;;1;;1;;;;;;1
Krämer Bouw B.V.;;;;;;;1;1;;1
Kreko B.V.;;;;;;;;1;;1
Kris Kras context, content and design;;;;;1;;;1;;1
Kris Kras Design B.V.;;;;;1;;;;;1
Label Solutions;;;;;;;;1;;1
Labelprint B.V.;;;;;;;;1;;1
Langerak-de Jong B.V.;1;;;;;;;;;1
Lasaulec B.V.;;;;;;;;1;;1
Leaseplan Nederland N.V.;;;;1;;;;;;1
Leijdsman Elektro B.V.;;1;;;;;1;;;1
LetsGrow.com B.V.;;;;;1;;;;;1
Maasmond Leeuwarden B.V.;;;;;;;2;;;2
Madeko Office Solution B.V.;;;;;;;;1;;1
Magna Carta Chipcard Technology;1;;;;;;;;;1
Magneet Grafische Communicatie B.V.;;;;;3;;;1;;3
Manhard B.V.;;;;;;;;1;;1
Manutan B.V.;;1;;;;;1;2;;2
Maren Bruin;;;;;1;;;;;1
Mark Bogman Safes B.V.;;1;;;;;;;;1
mayer-network Benelux B.V.;;;;;1;;;;;1
MDS Tapijt- en Meubelreiniging B.V.;;;2;;;;;;;2
Medi Totaal B.V.;;1;;;;;;;;1
Medizon B.V.;;1;;;;;;;;1
Meldkamer MG;;1;;;;;;;;1
Mercer (Nederland) B.V.;;1;;;;;;;;1
Meta Internat. Verhuiz. en Transporten B.V.;;;;1;;;;;;1
Metos B.V.;2;;;;;;;;;2
Mill-Art;;;;;1;;;;;1
Minigrip;;;;;;;;2;;2
Mischa Keijser Fotografie;;;;;;;;1;;1
Misco Solutions B.V.;;;;;;;;1;;1
Mister Aqua B.V.;1;;;;;;;;;1
Moduli Print B.V.;;;;;2;;;1;;2
Mondial Movers B.V.;;;;;1;;;;;1
Mostert's Schoonmaakbedrijf B.V.;;;1;;;1;;;;1
Multicopy Utr. Centr. Hoog Catharijne B.V.;;;;;1;;;;;1
Multi-Post Mail Systems B.V.;;;;;;;;2;;2
Nachtveiligheidsdienst Haarlem B.V.;;1;;;;;;;;1
Natural Choice Corporation;1;;;;;;;;;1
Ned. Software Metrieken Gebruikers Associatie;;;;;;;;1;;1
Nederlandse Vereniging Bedrijfshulpverlening;;1;;;;;;;;1
Nederlandse Vereniging voor Inkoopmanagement;;;;;;;;1;;1
Nederlof Mode voor Mannen;;;;;;;;1;;1
Neopost;;;;1;;;;1;;1
Neopost Finance B.V.;;;;1;;;;;;1
Nestlé Waters Direct Netherlands B.V.;1;;;;;;;;;1
NIC Best Deal B.V.;;;;;;;;1;;1
Nico Naus;;;;;;;;1;;1
NSD International NL B.V.;;;;;;;;1;;1
NUON Business;;;;;;;;;1;1
Oasis Document Management Netherlands B.V.;;;;;3;;;;;3
Online Geschenken Groothandel B.V.;;;;;;;;1;;1
Ontwerpwerk B.V.;;;;;1;;;;;1
Optelec Nederland B.V.;;;;;;;;1;;1
P. Bestebreurtje B.V.;;;;;;;;1;;1
P. Mol;;;;;;;;;1;1
Paagman Den Haag B.V.;;;;;;;;1;;1
Paardekooper;;;;;;;;1;;1
Pactechno;;;;;;;1;1;;1
Panasonic Biomedical Sales Europe B.V.;;;;;;1;;;;1
PaperlinX B.V.;;;;;;;;1;;1
Papyrus Groep Nederland B.V.;;;1;;1;;;4;;4
Paradigit Computers;;;;;;;1;;;1
PCP B.V.;;;;;;;1;;;1
PDA Technologies Center;;;;;;;;1;;1
Pelican Rouge Group B.V.;2;;;;;;;;;2
Pentoprint B.V.;;;;;;;;1;;1
Perfect Direct Mail B.V.;;;;;1;;;;;1
Performis B.V.;;;;;1;;;;;1
Permanent Fire Protection Service B.V.;;1;;;;;;;;1
Personeelsvereniging Remunj;1;;;;;;;;;1
Pharmacie & Welzijn B.V.;;;1;;;;;;;1
Point to Point Communicatie B.V.;;;;;2;;;;;2
POL Heteren B.V.;;;;;;;;1;;1
Polomnis B.V.;;;;;;;1;;;1
PostNL Marketing & Sales B.V.;;;;1;;;;;;1
Primera Den Haag;;;;1;;;;;;1
Profix Benelux B.V.;;;;;1;;;1;;2
Progenta Project Services Benelux B.V.;;;2;;;;;;;2
Pronk's Container Centrale B.V.;;;;;;1;;;;1
Property FiveFour B.V.;;;;;;;1;;;1
Protinus IT B.V.;;;;;;;3;5;;5
Public Creation B.V.;;;;;;;;1;;1
PvIB Platform voor informatie Beveiliging;;;;;;;;1;;1
PVO Interieur B.V.;;;;;;;;1;;1
PVO Interieur ZH B.V.;;;;;;;;2;;2
QuoVadis Trustlink B.V.;;;;;;;;;1;1
Rae Benelux B.V.;;;;;;;;2;;2
Rational Nederland Grootkeukentechniek B.V.;1;;;;;;;;;1
Reisswolf Nederland B.V.;;;1;;;2;;;;2
Remondis Argentia B.V.;;;;;1;;;;;1
Rendac Son B.V.;;;;;;1;;;;1
Rentokil hygiene;;;3;;;;;;;3
Reprografisch Centrum Groningen B.V.;;;;;1;;;;;1
Restaurant & Catering Mennega;1;;;;;;;;;1
Restaurant Basalt;;;;;1;;;;;1
Restaurant Christian;1;;;;;;;;;1
Ricoh;;;;;;;;2;;2
Rijwielhuis Luuk Westerkamp;;;1;;;;;;;1
RJ Safety & Security;;1;;;;;;;;1
Robert Bosch B.V.;;1;;;;;;;;1
ROHDE & GRAHL B.V.;;;;;;;1;;;1
RS Components B.V.;;;;;;;1;;;1
Ruys Handelsvereniging B.V.;;;;1;;;;1;;1
Safe2lock;;;;;;;1;;;1
Sanocorpus;;;;;;;;1;;1
Santas Service B.V.;1;;;;;;;;;1
Saval B.V.;;1;;;;;;;;1
Schippers Bladel B.V.;;;;;;;;1;;1
Scholten Awater B.V.;;;;;;;;1;;1
Schoonmaakbedrijf Jansma & Dik B.V.;;;1;;;;;;;1
Schoonmaakbedrijf Libelle Amsterdam B.V.;;;1;;;;;;;1
Screenhouse B.V.;;;;;1;;;;;1
Sectra Communications B.V.;;1;;;;;;;;1
Secur Protects @ Work B.V.;;;;;;;;1;;1
SecurCash Nederland B.V.;;;;1;;;;;;1
Securitas Beveiliging B.V.;;7;;;;;;;;7
Securitas Data & Archief B.V.;;;;;1;;;;;1
Securitas Nederland B.V.;;3;;;;;;;;3
Securitas Services B.V.;;2;;;;;;;;2
Security Monitoring Centre;;2;;;;;;;;2
Servicebureau Jansen;;;;;1;;;;;1
SGS Nederland B.V.;;;;2;;;;;;2
Shurgard Nederland CB Holding B.V.;;;;;1;;;;;1
Shurgard Self-Storage Capelle;;;;;1;;;;;1
Siemens Nederland N.V.;;1;;;;;;;;1
SignPlan B.V.;;;;;;;;1;;1
Signtific Bedrijfskleding;;;;;;;;1;;1
Silliker Netherlands B.V.;;;;;;1;;;;1
Simac Electronics B.V.;;1;;;;;1;;;1
Sita Ecoservice;;;;;;1;;;;1
Sitex Electronics B.V.;1;;;;;;;;;1
Sl Plus B.V.;;;;;;;1;;;1
Smidswater B.V.;;;;;1;;;;;1
Speciaaldrukkerij Lijnco Groningen B.V.;;;;;1;;;;;1
Spencer Medical B.V.;;2;;;;;;;;2
Stanley Security Nederland B.V.;;1;;;;;;;;1
Stanley Security Solutions;;1;;;;;;;;1
Staples Nederland B.V.;1;;2;;;;;6;;6
Stempelfabriek De Maas B.V.;;;;;;;;1;;1
Stg. Pens.fonds Benelux-Bur. Intell. Eigendom;;;;;;;;4;;4
Sticht. Info.voorzien. Ontwikkel.sam.werk.;;;;1;;;;;;1
Stichting Crowdpress;;;;;1;;;;;1
Stichting Heden Den Haag;;;;;;;1;;;1
Stichting Reprorecht;;;;;1;;;;;1
Studio v. Graf. Vormgeving Jos Tigges B.V.;;;;;1;;;;;1
Studio van 't Wout B.V.;;;;;;;;1;;1
Studiodet;;;;;2;;;;;2
Suit Supply;;;;;;;;1;;1
TAPES Media B.V.;;;;1;;;;;;1
TB Brandveiligheid;;2;;;;;;;;2
Technisch Bureau Magema B.V.;;;;;;;;2;;2
Technische Unie;;;;;;;1;;;1
Technische Unie B.V.;;;;;;;;1;;1
Telegrootgebruik B.V.;;;;;;;;1;1;1
Ten Hoopen, Jonker Fresco advocaten HJF Stichting Beheer Derdengelden;;;;;;;;1;;1
Testo;;;;;;;;2;;2
The Printer Copyservice B.V.;;;;;1;;;;;1
The Rat Pack B.V.;1;;;;;;;;;1
TL Besparen B.V.;;;;;;;;1;;1
TNT Express Nederland B.V.;;;;1;;;;;;1
Ton Persoon;;;;;1;;;;;1
Top Label B.V.;;;;;1;;;1;;1
Top Movers Nederland B.V.;;;;;1;;;1;;1
Topa Verpakking B.V.;;;;;;;;1;;1
Transposafe Systems;;;;;;;;1;;1
Travelcard Nederland B.V.;;;;1;;;;;;1
Trigion Alarmcentrale B.V.;;1;;;;;;;;1
Trigion Beveiliging B.V.;;5;;;;;;;;5
Trigion Beveiligingstechniek B.V.;;1;;;;;;;;1
Trigion Services B.V.;;6;;;;;;;;6
Ubiqu Access B.V.;;1;;;;;;;;1
Uitspanning de Oase;1;;;;;;;;;1
UniCarriers Netherlands Service B.V.;;;;;;;;1;;1
United Parcel Service Nederland B.V.;;;;1;;;;;;1
UTS Archiefservices;;;;;3;;;;;3
UTS Bernardt Archief- en Databeheer B.V.;;;;;2;;;;;2
UTS Hersevoort Zwolle B.V.;;;;;1;;;;;1
v. 'n S. Group B.V.;;;;;;;;1;;1
V.O.F. N.J. Potuyt;;;;;;;;1;;1
V.O.F. Schoonmaakbedrijf De Vries Flevoland;;;1;;;;;;;1
Van der Plas Meubel en Projekt B.V.;;;;;;;2;;;2
Van der Valk Hotel Den Haag B.V.;1;;;;;;;;;1
Van Dingenen Transport B.V.;;;;1;;;;;;1
Van Dorp installaties Amsterdam;1;;;;;;;;;1
Van Gansewinkel Milieutechniek B.V.;;;;;;1;;;;1
Van Gansewinkel Nederland B.V.;;;;;;3;;;;3
Van Roij Fasteners Europe B.V.;;;;;;;;1;;1
Van Scherpenzeel B.V.;;;;;;1;;;;1
Van Vliet Rotterdam;;;;;;1;;;;1
Van Zwanenburg Handelmaatschappij B.V.;2;;;;;;;;;2
vandenberg drukwerken B.V.;;;;;1;;;;;1
VANWAARDE Documentenwacht B.V.;;;;;2;;;;;2
VBT Groep B.V.;;1;;;;;;1;;2
Veenman+;;;;;1;;;;;1
Veip B.V.;;;;;;;;1;;1
Vendor B.V.;;;1;;;;;;;1
Veneboer Camping & Outdoor B.V.;;;;;;;;1;;1
Venema Communicatie B.V.;;;;;;;2;;;2
Verkaart Groep Holding B.V.;1;;;;;;;;;1
Verkoopcoöperatie van 'Den Helder' BA;;;;;;;;1;;1
Vermaat Bedrijfshoreca B.V.;5;;;;;;;;;5
Vermeyden Delicatessen B.V.;1;;;;;;;;;1
Verpakking Moonen;2;;;;;;;1;;2
Viking Life-Saving Equipment B.V.;;;;;;;;2;;2
Virbac Nederland B.V.;;;;;;;;2;;2
Visafslag Den Helder/Texel Beheer B.V.;;;1;;;;;;;1
Visafslag Lauwersoog B.V.;;1;;;;;;;;1
Visualworkplace.nl;;;;;;;;1;;1
Vitesse Textielreinigers B.V.;;;1;;;;;;;1
Vivon Nederland B.V.;;1;;;;;;;;1
Vlaggenindustrie Groningen B.V.;;;;;;;1;;;1
Voorne Direct Office Supplies;;;;;;;;1;;1
VWR International B.V.;;;;;;;;4;;4
W.A. Hienfeld B.V.;;1;;;;;;;;1
Werkman Den Haag B.V.;;;;;;;;1;;1
Westvlietbewaking B.V.;;1;;;;;;;;1
WEWO EUROPE B.V.;;;;;;;;1;;1
Wiko Isolatietechniek en Steigerbouw;;;;;;;1;;;1
WMF Nederland B.V.;1;;;;;;;1;;1
Xerox (Nederland) B.V.;;;;1;6;;;1;;6
Zegwaard Rioolbeheer B.V.;;;;;;1;;;;1
Zoomie;1;;;;;;;;;1
Eindtotaal;7;7;7;2;7;6;6;7;1;9
