Leveranciers;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6310 - Aanschaf, beheer en onderhoud infrastructuur;6410 - Spraak en dataverbindingen;6510 - Uitbesteding ICT;Eindtotaal
Danish Defence;;;;;;1;;1
DataExpert B.V.;6;;5;2;6;;;7
Datema-Delfzijl B.V.;;;;;;1;;1
DE REE archiefsystemen;;;2;;;;;2
de Rolf groep B.V.;;;;;1;;;1
De Staffing Groep Nederland B.V.;;;;;;;5;5
Deal It;6;4;1;;1;;;6
Deloitte Consulting B.V.;4;;;;;;;4
Delta International Promotioneel B.V.;;;;;;1;;1
Delta International Uniformuitrustingen B.V.;;;;;;1;;1
DeltaISIS B.V.;;;;;;;2;2
Delta-N B.V.;;;1;;1;;;1
Design Solutions;2;;;;1;;;2
Digicel;;;;;;5;;5
Digicel Aruba;;;;;;2;;2
Digital Revolution B.V.;1;;;;;;;1
Digitale Checklisten;;;;;;1;;1
Dimension Data Nederland B.V.;6;5;;;;;;7
Directie Telecommunicatiezaken;;;;;;1;;1
Document House Beuningen;;;;;;1;;1
Dos Mundos;;;;;;1;;1
DPA Finance B.V.;;;;;;;2;2
DPA IT B.V.;;;;;;;1;1
DRAGT;;;;;;1;;1
DYNAMIC NETWORK SERVICES, INC.;6;;;;;;;6
EDS';;;;;;1;;1
Eijsink Afrekensystemen B.V.;;;;5;;;;5
Elasticsearch Global B.V.;2;;;;;;;2
Elementbouwtechniek P.B.S. Holland B.V.;1;;;;;;;1
Elproma B.V.;;2;;;;;;2
Elsto-Boekholt-Dynatec B.V.;1;;;;;;;1
Emka Nederland B.V.;1;;;;;;;1
EMPIC GmbH;;;;;;2;;2
Endenburg Elektrotechniek B.V.;2;;;;;;;2
Enginia B.V.;;;3;;4;;;4
Epilog Laser B.V.;2;;;;;;;2
Ertronix;1;;;;;;;1
E-Semble;;;1;;2;;;2
ESG Elektroniksystem- und Logistik-;;;;;;3;;3
Esri Nederland;;;2;;7;;;7
European Defence Agency ORG. INTERNAT;;2;;;;;;2
Eurotempest B.V.;5;3;;;1;;;5
Every Angle Software Solutions B.V.;5;;;;;2;;5
Exact Software Nederland B.V.;;;;2;;;;2
Exelis Visual Information Solutions B.V.;;;3;;;;;3
Experis Ciber;;;;;;;3;3
Exploitatie Maatschappij Komfort B.V.;;;;;;2;;2
Exploitatiestichting t.b.v. de Koninklijke Nederlandse Redding Maatschappij;;;;;;1;;1
Farnell (Netherlands) B.V.;1;;;;;;;1
Farnell BV;1;;;;;;;1
Festo B.V.;2;;;;;;;2
Fifo Color B.V.;1;;;;;;;1
FIREEYE IRELAND LIMITED;;;;;5;;;5
FixedToday B.V.;;;;;;;3;3
Fofic;2;;;;;;;2
Forrester Research Ltd.;;;1;;;;;1
Fortes Solutions B.V.;4;;;2;;;;4
Foto Video Beemster;;;;;;1;;1
Foto Video Beemster B.V.;;;;;;1;;1
Fox Crypto B.V.;3;;;4;;;;5
Fugro GeoServices B.V.;;;;;1;;;1
Fujitsu Technology Solutions B.V.;2;;;;;;;2
G.F.P. (Gear for Professionals) B.V.;2;;;;;;;2
GAMIC Gesellschaft f³r angewandte Mikrowellen- u. Informations- Informationstechnologie und Consulting mbH;;;;;1;;;1
Gartner Nederland B.V.;4;;3;;5;;4;6
Gemnet B.V.;;;;;;1;;1
George C. Marshall European Center for Security Studies;;;;;;2;;2
Gerritse IJzerwaren Houten;1;;;;;;;1
Getronics Nederland B.V.;;;;;;1;;1
Gilde Main B.V.;1;;;1;;;;2
Global Knowledge;;;;;;;1;1
Globalstar Europe Satellite Service;;;;;;1;;1
GS Handelsbedrijf B.V.;1;;;;;;;1
H. Schippers It;;;1;;;;;1
H.J.M. Zonderland Fotografie;2;;;;;;;2
Hamer B.V.;;;;;1;;;1
Hans Roggen Fotografie;2;;;;;;;2
HANSSEN, PAUL;;;2;;;;;2
Hardware.nl;1;;;;;;;1
Hartman Direct B.V.;1;;;;;;;1
HBK 2000 Besturingstechniek B.V.;2;;;;;;;2
HBM Machines B.V.;1;;;;;;;1
Helion IT B.V.;;;;;;;4;4
Hendriks Bouw en Industrie Onderdeel van Polvo;1;;;;;;;1
HQ NAEW&C Force GK;;;;;;1;;1
Huto Machines B.V.;1;;;;;;;1
iBabs B.V.;2;;;2;;;;3
IBM Nederland B.V.;;7;;;;;;7
ICQ Groep B.V.;;;;;;;6;6
IlionX Business Solutions B.V.;;;;;;;2;2
Imagem;;;;;;6;;6
Imatica;;;1;;;;;1
Impulse Info Systems;1;;;;;;;1
IN2 productions;2;;;;;;;2
In2Content B.V.;1;;;;;;;1
Incentro Nederland B.V.;;;;2;;;;2
Incontrol Management Consultants B.V.;1;;;;;;;1
Incontrol Simulation Software B.V.;;;1;;;;;1
Index Hospitality Systems B.V.;;;;4;;;;4
Indra Navia AS;;;;;4;;;4
Infinite Simulation Systems B.V.;;;2;;;;;2
Informatique Computers & Componenten;1;;;;;;;1
Infotheek Projektpartners;6;2;;;;;;6
Infotrans Caribbean N.V.;;;;;;1;;1
Infrastructure Services & Projects B.V.;1;;;;;;;1
Inmarsat Solutions B.V.;;;;;;1;;1
Inmarsat Solutions B.V. Voorheen:Stratos Billing Customer S;;;;;;1;;1
Integrc Netherlands B.V.;;;;;;;5;5
Intern.Cospas-Sarsat Programme;;;;;;2;;2
International Numbering Plans B.V.;;;;;;1;;1
Interscience B.V.;;;;2;;;;2
Intronics;6;5;;;;3;;6
IS Group B.V.;;;;;;1;;1
ITANNEX;;;;;3;;;3
ITSM-House B.V.;;;;;;2;;2
J.B.S. Handelsonderneming;2;;;;;;;2
J.J.M. Berkers;4;;;;;;;4
JD Knowledge B.V.;;;;;;4;;4
Jenot Automatisering;2;;;;;;;2
Jenrick Nederland B.V.;;;;;;5;8;8
Jungheinrich Nederland B.V.;;1;;;;;;1
Justcroft International Ltd;;;;;1;;;1
Kannegieter Electronica B.V.;1;;;;;;;1
KantoorExpert Groep;;;;;;1;;1
Keyprocessor B.V.;;;1;;1;;;1
Kirkman Company B.V.;;;;;;;3;3
Knapzak Benelux B.V.;1;;;;;;;1
KnowledgePlaza Professional Services B.V.;;;;;;4;;4
Koninklijke van der Most B.V.;;;;;;4;;4
KPN B.V.;6;7;7;;5;9;;9
KPN Business Service Desk;;;;;;2;;2
KPN Business Service Desk (172);;;;;;3;;3
KPN BV inz. Getronics-ADM CBI;;;;;;4;;4
KPN Consulting B.V.;;;;;;1;;1
KPN Corporate Market;;;;;;1;;1
KPN Telecom;;;;;;4;;4
Kruizinga B.V.;1;;;;;;;1
LadderHulp.nl;1;;;;;;;1
Laska Computers;;;;;;2;;2
Le Blanc Adviesgroep;;;;;;;2;2
Leica Geosystems B.V.;;;2;;;;;2
LexisNexis Business Information Solutions B.V.;;;3;;;;;3
Lisense IT B.V.;;;;;;1;;1
Livingston T&M B.V.;2;;;;;;;2
Livingston TEMS;1;;;;;;;1
Log*in Consultants Nederland B.V.;;;;;;;2;2
Logistiekconcurrent;1;;;;;;;1
Louis Meulstee Photography;3;;;;;;;3
Maastricht Aachen Airport B.V.;;;;;;1;;1
Machinefabriek J. van Geffen;1;;;;;;;1
Makerpoint B.V.;1;;;;;;;1
Manutan B.V.;2;;;;;1;;2
Maqutos B.V.;1;;;;;;;1
Marlink AS;;;;;;1;;1
Martijn Beekman Fotografie;1;;;;;;;1
Matchd;;;;;;;3;3
Matching Pool B.V.;;;;;;;4;4
Max ICT B.V.;1;;;;;;;1
Mercateo Nederland B.V.;1;;;;;;;1
Merlin Gerin;;;;2;;;;2
Micro-Mail Zeewolde B.V.;1;;;;;;;1
Microsoft Imagine Information Centr;;;1;;;;;1
Minerva Meettechniek B.V.;;;2;;;;;2
Misco Nederland B.V.;1;;;;;1;;2
Misco Solutions B.V.;6;2;2;;;2;;6
MK2 Audiovisueel B.V.;;;;;;1;;1
MobileIron International, Inc.;;;;7;;;;7
Moduli Print B.V.;;;;;;5;;5
Motiv It Masters B.V.;4;;4;;;;;4
Mouser Electronics, Inc.;1;;;;;;;1
MSS Advanced Technologies B.V.;;;;;;;2;2
Mulder-Hardenberg B.V.;;1;;;;;;1
Myler;;;;;;;6;6
N.O.D. Netwerk Onderzoek Diensten V.O.F.;1;;2;;4;2;;4
N4ALL B.V.;2;1;;;;;;2
NATO Communications and Information Agency NCI Agency;;;;;;5;;5
NATO Financial Control;;;;;3;;;3
NATO JFC HQ BRUNSSUM;;;;;;1;;1
NATO Supreme Allied Command Transformation;;;;;;1;;1
NCC Services Limited Manchester Technology Centre;;;;;;1;;1
Ned. Org. voor toegep.-nat.wetensch. ond. TNO;;;;;5;4;;6
NEDAERO Services B.V.;1;;;;;;;1
Nedelko B.V.;1;;;;;;;1
Nederland ICT;2;;;;;;;2
Nederlands Centrum voor Informatie Management;;;;;;;7;7
NedGraphics B.V.;;;;3;;;;3
Neho-Speciaal-Techniek B.V.;1;;;;;;;1
Netherlands Training Detachment;;;;;;1;;1
Netpresenter B.V.;;;2;;;;;2
Network Republic Europe B.V.;3;2;;;;;;3
NEW TECHNOLOGIES GROUP NV;;;;;;1;;1
Newstar Computer Products Europa B.V.;1;;;;;;;1
Newton Technisch Bureau B.V.;1;;;;;;;1
NFGD Zoetermeer B.V.;;;;;;1;;1
Nilfisk B.V.;1;;;;;;;1
Nintex UK LTD;;;2;;;;;2
NiVo Engineering B.V.;;;;;;;6;6
NLTD Fort Rucker;;;;;;1;;1
NMS National Multiple Services B.V.;;;;;;1;;1
NoorderSoft B.V.;;;;;1;;;1
Norisk Keymanagement B.V.;;;;;1;;;1
Northwave B.V.;;;;;4;;4;4
Nottrot B.V.;1;;;;;;;1
Nuvole B.V.;;;;;;;1;1
OCLC B.V.;;;;;4;;;4
Office Centre;1;;;;;;;1
onlinekabelshop.nl;1;;;;;;;1
Onsight Solutions B.V.;7;;2;7;4;;1;7
OPAS GmbH & Co. KG;;;;;2;;;2
Open Text AG;;;;;2;;;2
Open Text CoÃ¶peratief UA;;;;;5;;;5
OPEN.satisfaction B.V.;;;;;;2;2;2
Oracle Nederland;1;;;;;;;1
Orcavoice B.V.;;;;;1;1;;1
Ordina Technologie & Competenties B.V.;1;;;;;;7;7
Ormer ICT Staffing B.V.;;;;;;;4;4
Ovsoftware B.V.;;;;;;;3;3
Owello;;;1;;;;;1
P2000 Alarmeringsystemen B.V.;;;;;1;1;;1
PAE National Security Solutions LLC;;;;;4;;;4
Paralax B.V.;;;3;1;;2;1;3
Paul Tolenaar Fotografie;2;;;;;;;2
Pels Rijcken & Droogleever Fortuijn N.V.;;;;;;2;;2
Phil Nijhuis Fotografie;2;;;;;;;2
Picturae ICT B.V.;;;2;;;;;2
PINE ICT B.V.;;1;;;;3;;3
PIPNL;;;;;;1;;1
Plaatwerkindustrie Tol B.V.;2;;;;;;;2
Planon B.V.;5;;5;;;;;6
Portbase B.V.;;;1;;;;;1
PRESAGIS EUROPE;;;2;;;;;2
Presentation Partner B.V.;2;;;;;1;;2
Primaned B.V.;;;;2;;;1;2
Pro Systems International B.V.;;;;;;1;;1
Procyon Networks B.V.;;;;;;2;;2
Prodicom B.V.;;;;;;;6;6
Prof-Tools;1;;;;;;;1
PRO-MATCH system integration;;1;;;;;;1
Pro-Tect Europe B.V.;1;;;;;;;1
Protinus IT B.V.;7;5;2;4;3;;;7
Proximus SA;;;;;;1;;1
Q-Park Nederland;1;;;;;;;1
Rackmount.it B.V.;;;;;1;;;1
Rajapack Benelux;1;;;;;;;1
Ram Mobile Data (Netherlands) B.V.;;;;;2;1;;2
Randstad Uitzendbureau B.V.;;;;;;;5;5
RedBlue IT Professionals B.V.;;;;;;;2;2
RedNose IT B.V.;;;1;;;;;1
Rene Verleg Fotografie;2;;;;;;;2
Respond B.V.;2;;;2;;;;3
Rexcom B.V.;1;;;;;;;1
RGL Consultancy & Training;;;;;;;4;4
Rittal B.V.;2;2;;;2;;;3
Rob Gieling Fotografie;1;;;;;;;1
Rocket Software B.V.;;;;2;;;;2
Rohde & Schwarz Benelux B.V.;4;;1;;;;;4
Romex B.V.;1;;;;;;;1
Roossien Hoogwerktechniek;1;;;;;;;1
RS Components B.V.;1;;;;;;;1
Saab Medav Technologies GmbH;;;;;7;3;;7
Sabern B.V.;;;2;;;;;2
Safety Solutions Consultants B.V.;;;;;;1;;1
Sagam Nederland B.V.;;;;;1;;;1
Sakko Commercial B.V.;1;;;;;;;1
SAM International B.V.;1;;;;;;;1
SAP Nederland B.V.;6;;2;7;;;;8
Satel B.V.;;;;;;1;;1
Scarlet B.V.;;;;;;1;;1
Schiphol Nederland B.V.;1;;;;2;2;;3
Scholten Awater B.V.;7;4;;;2;6;;7
Sdu Uitgevers B.V.;;;;;;1;;1
Secure Cyber Communications B.V.;2;;;;;;;2
SecureLink Nederland B.V.;3;;2;1;;;;4
Seido Systems BVBA;2;;;;;;;2
Septentrio NV;;1;;;;;;1
SETAR;;;;;;3;;3
Shopclub Nederland B.V.;1;;;;;;;1
Silicon Graphics B.V.;;;;;;3;;3
Simac Electronics B.V.;3;;;;;;;3
SITA SC Global Invoice;;;;;;1;;1
Slimstock B.V.;;;;4;;;1;4
SLTN IT Services B.V.;;;;;;;4;4
SMT Simple Management Technologies B.V.;;;3;;2;;;3
Socia B.V.;2;2;;;2;1;;3
Software AG Nederland B.V.;4;;;;;;2;5
SoftwareONE B.V.;7;;5;7;5;;2;8
Sogeti Nederland B.V.;;;;;;;5;5
Solipsis B.V.;2;;;;;;;2
Sonic Foundry International B.V.;2;;2;;;;;2
Spie-ICS;1;;;;;;;1
SPS RES-Q Services B.V.;;;1;;;;;1
Star Apple Interim B.V.;;;;;;;2;2
Start People;;;;;;;5;5
Stg. Nat. Lucht- en Ruimtevaartlaboratorium;;;;;;2;;2
Stichting Beheer ICT Rechtshandhaving;;;;;5;;;5
Stichting Bureau Krediet Registratie (BKR);;;;;;2;;2
Stichting Deltares;;;;;2;;;2
Storro B.V.;;;1;;;;;1
Strandhotel Scheveningen B.V.;1;;;;;;;1
Stratec Services B.V.;;;1;;;;;1
STRICT;;;;;2;;;2
Strict Project Masters B.V.;;;;;;;2;2
Strijbosch B.V.;1;;;;;;;1
Studio 38C;2;;;;;;;2
Supply Service B.V.;1;;;;;;;1
Surcom International B.V.;2;;;;;;;2
SURFmarket;;;;;;3;;3
Sweco Nederland B.V.;;;1;;;;;1
Systecon (UK) Ltd;;;;;2;;;2
T N E I Services;;;1;;;;;1
T&T Compet&t.b.v.;3;;;1;2;;;3
T&T Mobility;;;;;;1;;1
Tapes Amsterdam B.V.;2;;;;;;;2
TAPIRAMA;;;;;;1;;1
Technisch Bureau Magema B.V.;1;;;;;1;;1
TELBO NV;;;;;;2;;2
Telecom Italia Spa Sede Legale;;;;;;1;;1
TELEDYNE CARIS, INC.;;;3;;2;;;3
Telegrootgebruik B.V.;;;;;;7;;7
Telekom Deutschland GmbH;;;;;;2;;2
Telindus-ISIT B.V.;2;;1;;;;;2
Telpress Benelux B.V.;;;;;2;;;2
Tensing Safety & Security B.V.;2;;;;;;;2
Thales Nederland;1;;;;;;;1
The Future Store;2;;;;;;;2
The MathWorks B.V.;;;4;;2;;;4
The Royal Netherlands Airforce Deta;;;;;;1;;1
The Two Automatiseringsdiensten B.V.;;;;;;;4;4
Thermo Fisher Scientific B.V.;;;;1;;;;1
Thesio B.V.;;;;;;;1;1
T-Mobile Netherlands B.V.;;;;;;1;;1
Tooling Center Benelux B.V.;1;;;;;;;1
Toolmax;1;;;;;;;1
TOPdesk Nederland B.V.;;;;;1;;;1
Transcom Nederland B.V.;1;;;;;;;1
Transposafe Systems;;;;;;1;;1
Traxion Consultancy B.V.;;;;;;;3;3
Trits Procesinnovatie;;;1;;;;;1
TrueCom;2;;;;;;;2
T-Systems Enterprise Services GmbH;;;;;;1;;1
T-SYSTEMS International GmbH;;;;;;2;;2
"UAB "" Minginte"" Viesbutis "" Siaulia krasto medzioto uzeiga";;;;;;3;;3
Ukomst B.V.;;;;;;;3;3
Ultimo Software Solutions B.V.;;;2;;;;;2
United4all;2;;;;;;;2
UP learning B.V.;2;;;2;;;;3
UTS;;;;;;4;;4
UTS Bonaire;;;;;;1;;1
UTS st maarten;;;;;;2;;2
V.O.F. Boet Schouwink Producties;1;;;;;;;1
V.O.F. Delta Star;;;;;;1;;1
Valerie Kuypers Fotografie;2;;;;;;;2
Valori Interim B.V.;1;;;;;;;1
Van Hal Totaal;8;2;;;1;7;;8
Van Vlier Media B.V.;1;;;;;;;1
Vanderkooij Telecommunicatie B.V.;4;2;3;;1;;;4
VCD Business Solutions B.V.;1;;;;;;1;1
Vector Eyes;;;;;1;;;1
Venture ICT Consultancy B.V.;;;;;1;;;1
Vertimart Consultants B.V.;2;;;;;;;2
Video Duplication Holland B.V.;1;;;;;;;1
Vigilance B.V.;;;4;;;;;4
VIR E-care Solutions B.V.;4;;5;;;;;5
Vosko B.V.;4;;;;2;;;4
VX Company External Resources B.V.;;;;;;;2;2
We-Got-IT B.V.;5;3;1;1;1;3;;6
XBWORKS;;;;;;;4;4
Xolphin B.V.;;;;;;1;;1
X-Press Images;2;;;;;;;2
XS4ALL Internet B.V.;;;;;;1;;1
Yacht;;;;;;;6;6
YourIT B.V.;;;;;1;;;1
Zalsman B.V.;;;;;;5;;5
Zalsman Print B.V.;;;;;;3;;3
Ziggo B.V.;;;;;;1;;1
Anoniem 4;3;;;;;;;3
Anoniem 6;5;5;;7;2;;;7
Anoniem 10;1;;;;;;;1
Anoniem 11;1;;;;;;;1
Anoniem 12;;;;;;;4;4
Anoniem 17;;;;;;;4;4
Anoniem 20;2;;;;;;;2
Anoniem 21;7;5;;;4;2;;7
Anoniem 26;1;;1;;1;;;1
Anoniem 29;2;;;;;;;2
Anoniem 52;;;;1;;;;1
Anoniem 55;6;;;;;;;6
Anoniem 57;;;;;;4;;4
Anoniem 59;;;;;7;;;7
Anoniem 63;;;;3;;;;3
Anoniem 68;;;6;;;;1;6
Anoniem 69;1;;;;;;;1
Anoniem 78;5;;;1;;;;5
Anoniem 84;1;;1;2;;;1;2
Anoniem 92;6;;;;5;;2;6
Anoniem 97;1;;;;;;;1
Anoniem 98;1;;;;;;;1
Anoniem 110;1;;;;;;;1
Anoniem 114;3;;;;;;;3
Anoniem 115;6;;;;;;;6
Anoniem 116;2;;;;;;;2
Anoniem 121;;;;;7;;;7
Anoniem 124;6;5;5;2;7;4;;7
Anoniem 142;7;2;1;4;3;2;;7
Anoniem 148;;;;;;2;;2
Anoniem 162;3;;;;;2;;4
Anoniem 172;;;2;;;1;;2
Anoniem 188;1;4;;;1;;;4
Anoniem 190;4;;;;;;;4
Anoniem 192;7;7;5;4;7;8;4;9
Anoniem 220;1;;;;1;;;1
Anoniem 221;2;3;;1;;;;4
Anoniem 228;4;1;;;;;;4
Anoniem 234;;;4;;;;;4
Anoniem 244;9;7;7;6;8;;;10
Anoniem 248;;;;;;;3;3
Anoniem 273;2;;4;;;4;;5
Anoniem 275;2;;1;;2;;;2
Anoniem 278;2;;;;;;;2
Anoniem 291;;;;;;;7;7
Anoniem 295;;;;;;;4;4
Anoniem 299;;;2;;;4;;4
Anoniem 301;2;;;;;;;2
Anoniem 303;5;;;;;;;5
Anoniem 305;;;;;;4;;4
Anoniem 306;;;;;;6;;6
Anoniem 308;2;;;;;;;2
Anoniem 318;;;;;;;4;4
Anoniem 344;7;;;;;7;;7
Eindtotaal;11;9;9;9;10;10;10;13
