Leveranciers;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6310 - Aanschaf, beheer en onderhoud infrastructuur;6410 - Spraak en dataverbindingen;6510 - Uitbesteding ICT;6-ICT
CTNET B.V.;;;;;1;;;1
Cubiks Netherlands;;;;;;2;;2
Cuna International;;1;;1;1;;;1
D. Botter;;;;;;1;;1
Danckaarts Techniek;;1;;;;;;1
Dankers Special Cases;;1;;;;;;1
Dantuma;;1;;;;;;1
Dapp Idee;;;;;1;;;1
DATA Collectief;;;;;2;;;2
DataExpert;;;2;1;;;;2
Dataweb Internetdiensten;;;;;;;2;2
Datema Electronics;;1;;;;;;1
Davilex Business;;;;;1;;;1
Daxis Web;;;;;;;2;2
Dds City;;;;;;;2;2
De Heeg Internet Solutions;;;;;1;;;1
De Lange;;;1;;;;;1
De Telefoongids (KPN);;;;;;1;;1
De Wilt Cyrox Groep;;1;1;;;;;1
Dean Connect;;;;;;;2;2
Decos Software;;;;2;1;;;2
Defacto Software;;;;1;1;;;1
Dell Computer;;1;;;;;;1
Deloitte Consulting;;;;;2;;;2
Delt (Euroscript);;;;;2;;;2
Delta Comfort;;;1;;;;;1
Denken en Doen Communicatie;;;;;;;1;1
Dentalair Products Nederland;;;;1;;;;1
Detailresult Groep;;;;;;;2;2
Detron (incl. Kender Thijssen, Finntax, Issue Information Technology, KT);;6;4;3;5;1;;7
DFG De Facilitators Groep;;;;2;;;;2
Die Haghe;;1;;;;;;1
Digidentity;;1;;1;;1;;1
Digital Revolution;;;1;;;;;1
DLA ICT (DLA NETWORK);;1;;;;;;1
Docspro;;2;;2;1;;;3
Docuwork BV;1;;;;;;;1
Domestix Internet Access;;;;;;;1;1
Drager Safety & Medical;;;;;;;1;1
Drentea Kantoormeubelen;;;;;1;;;1
DSD Automatisering;;;;;;;2;2
Duifhuizen;;1;;;;;;1
Dynamics Dossier;;;;;;4;;4
Dyslexie Font B.V.;;;;1;;;;1
E.Novation;;3;;;;;;3
EAL Electronic Application Laboratory;;;;;1;;;1
Easy Ergonomics;;;1;;;;;1
Easy Office Online;;;;;;;2;2
Easynet;;;;;;;2;2
EasyServer;;;;;1;;;1
EasyVoip.nl;;;;;;;2;2
Eaton;;1;;;;;;1
ECDL Nederland;;;1;1;;;;1
eCoachPro;;;;1;;;;1
EDPnet;;;1;;;;2;2
Edutel;;;;;;;2;2
eformity document solutions b.v.;;;;;1;;;1
EGCS;;1;;;;;;1
Eilie Telecom;;;;;;;2;2
Eindhoven Airport;;;;1;;;;1
Electronic Equipment Service;;;;;;1;;1
Electrotechnisch Installatiebureau Randstad;;1;;;;1;;1
Elephant Talk Mobile Services;;;;;;;2;2
Emango Internet Services;;;;;;;2;2
Enable - U;;;;2;;;;2
Entopic;;;1;1;1;;;2
e-Quest Automatisering;;;;;;;2;2
Equinix;;5;1;;;;;5
Equipe Quality Products (incl. Health2Work);;1;1;;1;;;1
Ergo2Work (Dutchrebels Holding);1;1;1;;;;;1
ErgoBrain (incl. Ergodirect);;1;1;1;;;;1
Escrow Europa;;1;;1;;;;1
ESG Electronische Signatuur;;;;;1;;;1
ESL Entertainment Service Langenberg;;;;;1;;;1
Esri Nederland;;;;2;;;;2
Euphony;;;;;;;2;2
EuroMessage (incl. Callmax);;;1;;;1;;1
EuroNet Internet;;;;;;1;;1
Eurotempest;2;1;;;;;;2
Evema Telecom;;;;1;;;;1
Everest;;;;3;;;;3
Evers Kassasystemen;;;1;1;;;;1
Evoswitch Netherlands;;3;;;;;;3
exceet Card Nederland;1;;1;;;;;1
EZCompany;;1;;;;;;1
E-Zorg;;;;;1;;;1
F19 Projecten;;;;1;;;;1
Falck Group;;;;2;;;;2
Falkplan-Andes;;;;1;;;;1
Fedex - Federal Express;;;1;;;;;1
Fel Wit Grafisch Ontwerpers;;;;;1;;;1
Fenestrae;;;;;1;;;1
FiberXS Holding;;;;;;;2;2
Fidato Presentatie Specialisten;;1;;;;;;1
Fieten IT;;;;;;1;;1
Flash Services Nederland;;1;;;2;;;2
Flex I.D.;;;;2;;;;2
Flexera Software;2;;;;;;;2
Foize Telecom;;;;;;;2;2
Forum Instituut voor Multiculturele Vraagstukken;;;;;;1;;1
Fox-IT, Crypto;;4;;2;4;;;5
Frama Nederland;;1;1;;;;;1
Franke Interim Management;;;;;1;;;1
Fudura;;;1;;;;;1
Fujitsu Technology Solutions (vh Fujitsu Siemens);;4;;4;1;;;5
Fusernet;;1;;;;;;1
G4S Beveiliging (incl. Group 4, Securicor, Falck, Hacousto, Ricas);;;;;;1;;1
Galaxy Business Network;;;;;;;2;2
Gannexion;;;1;;1;;;1
Gartner;;;;;4;;;4
Gatsometer;;;;;;;6;6
Gebr. van den Donk;;2;;;;;;2
Gerson Kantoorspecialisten;;1;;;;;;1
Gillz;;;;;1;;;1
Gispen International;;3;;;;;;3
Glashelder;;;;;;;2;2
Global-e;;;;;;;2;2
GNTel;;;;;;;2;2
Gouweloos Elektrotechniek;;;;;;1;;1
Graydon Nederland;;;2;;;;;2
Green Valley;;;;2;;;;2
GripNet (incl. Grip Multimedia);;;;2;;1;;2
Grontmij;;;;;;;1;1
GSA Facilitaire Diensten;;1;;;;;;1
GSM Goodies B.V.;;1;1;;;1;;1
GSM Reparatie Centrum;;1;1;;;;;1
Hagemeijer Ned;;1;;;;;;1
Handelsonderneming Tonnie Vugts;;;1;;;;;1
Hawebo;;;;;;;2;2
HBS Software;;;;1;;;;1
Heerlijkthuis.nl/Leesland;;;;;;1;;1
Heijmans (incl. NMM, Burgers Ergon, Breijn, Utiliteitsbouw, Civiel, ...);;2;;;;;;2
HeldenVan.nu;;;;;;1;;1
Henk Scholten;;1;;;;;;1
Heras Security Systems;;;;2;;;;2
Hestec;;;;;;;2;2
Heuvelman Sound & Vision;1;;;;2;;;2
High Five Health Promotion;;;7;;;;;7
Hilf Telecom;;;;;;;2;2
Hinttech;;;;1;2;;;2
Hippo;;;1;;;;;1
Hireserve;;;;;2;;;2
Hollander Techniek;;;;;;1;;1
Hollandium Management Consultancy B.V.;;;;;1;;;1
Honeywell;1;1;1;;;;;2
Hostnet;;;1;1;;;;1
HowAboutYou;;;;2;;;;2
HP Hewlett Packard (incl. Autonomy, Verity);;5;1;1;6;;;6
HR Groep;;;;;;;1;1
HSB Identification;;;;;3;;;3
HTC International;;;;;;1;;1
Hulskamp Audiovisueel;2;;;;;;;2
Human Content Media Producties;;1;;;;1;;1
Human Office BV;;2;;;;;;2
I2Connect;;;;;;;2;2
I3-groep;5;6;6;4;7;;;7
i4IP;;;;;;;2;2
IAF International Association of Facilitators;;;;;;;2;2
IBM (incl. Cognos);;;;1;;;;1
ICATT Interactieve Media;;;;2;1;;;2
ICE Bureau voor Interculturele Evaluatie;;;;;1;;;1
ICT Concept;;;;;;;2;2
ICTroom Company;;1;;1;;;;1
I-Cube Systems & Infrastructures;;;;;;1;;1
ID Systemen (Cardprintershop.nl);;1;;;;;;1
ID Ware International;;;;1;;;;1
Idgis;;;;1;;;;1
IEPC Incentive Europe Premiums Concepts & Licensing;1;;;;;;;1
Igo Post Internationale Geschenken Organisatie;;1;;;;;;1
Ikea;;1;;;;;;1
Imotions;;1;;1;1;;;1
Impromex Technics/Ergoshop;;;1;;;;;1
Improvement-IT;;;;2;;;;2
Impulse Info Systems;;;;;7;;;7
Imtech (incl. Radio Holland, Bostec);;1;;;4;;;4
In Touch Women Resource Management Werving & Selectie;;;;;;;2;2
Inbraakpreventie;;;;;;1;;1
Indg Digitale Communicatie;;;;1;;;;1
Infoland, Intranet & Interneto;;;;2;;;;2
Infopact Netwerkdiensten;;;1;;;;2;2
Infoprojects;;2;;4;;;;5
Informaxion;;;;;;;2;2
Informed Consulting;;;;;2;;;2
Infracom;;;;;;;2;2
Infrastructure Services & Projects;;;;;;2;;2
Innocom;;1;;;;;;1
Innovative Design Delft;;2;;1;;;;2
Inperon;;;;;;;2;2
Inprove It;;;;;1;;;1
Insightsworld;;;;1;;;;1
Instruct;;;;1;;;;1
Interactive Affairs;;;;1;;;;1
InterConnect Services;;;;;;;2;2
Intermax;;;;;;;2;2
Internet overal;;;;;;;2;2
Internet Selling Service;1;1;;;1;;;1
Internet Unie;;2;;;1;;1;2
Internlnet;;;;;;1;;1
Interoute Managed Services Netherlands;;;;;;;2;2
Interstroom informatietechnologie;;;;;;;2;2
Intimus (vh Asterion, Pitney Bowes);2;2;1;;;;;3
Iolan;;1;1;2;1;;;2
IP Installerende Partners Communicatietechniek;;;;;;1;;1
IP Parking;;;;1;;;;1
IP Specials;;;;;;;2;2
IP Visie Networking BV;;;;;;;2;2
iQip;;;;;;1;;1
Iron Mountain Nederland;;;;;;;2;2
IS Interned Services Groep;;;;;;1;2;2
Isoft;;;;6;3;;;6
ISS Holding/Facility Services;;;;1;;;;1
ISSX B.V.;;;4;;;;;4
IT Staffing Nederland (vh IT Staffing Paxton, en incl. Info Motion, Centor);2;;;5;1;;;5
Ithos;;;;;2;;;2
ITsec Security Services;;;;;2;;;2
iWelcome;;;;1;;;;1
iXware Nederland;;2;;;;;;2
Jansen-Wijsmuller & Beuns;;1;;;;;;1
JDN Business Web Hosting;;;;;;;2;2
Joh. Enschedé Stamps;;;;1;2;;;2
Josje Deekens Fotografie;;;;;1;;;1
Kabelnoord;;;;;;;2;2
Kabeltex;;;;;;;2;2
Kahuna Network Solutions;;;;;;;2;2
Karmac Informatie & Innovatie;;;;1;;;2;2
Karst Grit Media;;;;;1;;;1
Kassa Noord;;1;1;;;;;1
Keesing Reference Systems;;;1;;;;;1
KEMBIT BV;;;;3;;;;3
KeurigConcepts;;;;1;;;;1
Khonraad Software Engineering;;;;1;;;;1
Klein Poelhuis Installatietechniek;;;;;1;;;1
Klompé & RUPP;;1;;;;;;1
KlusWijs Musselkanaal;;1;;;;;;1
KMG (incl. Juris);;;;1;;;;1
Knowledge Exchange (incl. Howardshome, Finchline Media);;;2;1;;2;;2
Kodision;;;;1;;;;1
Kofax;;;;2;2;;;2
Koldijk Voskamp Beveiligingstechniek;;1;;;;;;1
KommaGo (incl. Netwekshop.nl, Portofoon.nl, Headset.nl, Vergadertelefonie.nl, Routershop.nl, Wifishop.nl);;;;;1;;;1
Koning & Hartman;;;;1;;2;;2
Koninklijke Ahrend (incl. Ahrend Inrichtingen);;1;;;;;;1
Koninklijke Fabr. Posthumus (PS Groep);;1;;;;;;1
Kop Beveiliging;;;;;1;;;1
Kovoks;;;;;;;2;2
KPMG;;;;;5;;;5
KPN (incl. Getronics, PTT Telecom);7;3;4;5;6;7;;8
KPN Lokale Overheid (vh Gemnet);2;2;2;1;3;2;;4
KPN/Telfort;;;;;;1;;1
Krammer Software;;;;1;;;;1
KSD Divisie 1.0;;;;4;;;;4
Lagerweij & Partners;;;;;;;1;1
Landskroon Consultancy;;;;;2;;;2
Laptopsverhuur B.V.;;1;;;;;;1
Lead;;;;2;;;;2
Leaseplan Nederland;;;;;;;1;1
Leaseweb;;2;;;;;;2
Legal Intelligence/Quay Consult;;;;;1;;;1
Lexis Nexis;;;;2;;;;2
Lexmark International (incl. Perceptive Software);;;1;;;;;1
Lijbrandt Telecom;;;;;;;2;2
Lijnco Speciaaldrukkerij Groningen;;1;;;;;;1
Lindorff;;;;;;1;;1
LJS Automatisering;1;;;;;;;1
Lloyd's Register (incl. Cedeo);;;;1;;;;1
Logic Technology;;2;;;;;;2
Login Consultants Nederland;;;;;2;;;2
Lomboxnet;;;;;;;2;2
Luna.nl;;;;;;;2;2
M&I Argitek;;;;;;1;;1
Maas Internationaal - Koffieautomaten;;1;;;;;;1
Magna Carta;;1;;;;;;1
Mainpress (incl. Computerboek.nl, Managementboek.nl, Jongbloed);;;;;;1;;1
Manders Electronica & Computers;;;1;;;;;1
Manpower (incl. TVcN Tolk- en Vertaalcentrum Nederland);;;;2;;;;2
Manutan (vh Overtoom International);;1;1;;1;1;;1
Mari Frunt;;1;;;;;;1
Marjan Beeker Aanbestedingsjurist;;;;;;;1;1
Master IT;;;;1;;;;1
Matrix IT B.V.;;1;1;;1;;;1
Mavention;;;;3;;;;3
MaxiAxi B.V.;;;;;1;;;1
Maxxus Communications;;;;;;1;;1
ME Design & Safety;;;;;;1;;1
Mediageniek;;1;;;;;;1
Medieq Service;;1;;;;;;1
Merkpc;;;;;;;2;2
MessageBird;;;1;;;;;1
Metrodc digital creators;;;;;1;;;1
Microsoft (incl. Technet);;;;7;;;;7
Mijndomein.nl;;;;;1;;;1
Minds in Motion;;;;1;;;;1
Misco Nederland;;1;2;;;;;2
Misco Solutions (vh SCC Services);5;7;1;4;5;3;1;7
Mite Systems (vh Elmo ICT Groep);;1;;1;;2;;2
MKBnu;;1;;1;1;;;2
Mondial Movers;1;;;2;;;;2
Monteba IT Solutions;;;;;;;2;2
Motto VoIP;;;;;;;2;2
Movisie Fulfilment;;;;;;5;;5
MSO - Multi Micro Service Organisatie;;1;;;;1;;1
Mtel;;;;;;;2;2
Muiswerk Educatief;;;;1;;;;1
Multi Post Nederland;;1;1;;;;;1
Muys Kantoor & Kado;;;1;;;;;1
MW Instruments;;;1;;;;;1
Mwm2;;;1;;;;;1
My Facilities;1;;;;;;;1
MyMicro Group (incl. ReplaceDirect);;1;;;;;;1
NBD Biblion;;;;1;;;;1
NEC Nederland;;;;4;;;;4
Nederland ICT;;;;;1;;;1
Nedzone Internet;;;;;;;2;2
Neopost (incl. Neopost Finance);;1;1;;;;;1
Nesh Media;;;;1;1;;;1
Net First;;;1;;;;;1
Netaffairs Internetdiensten;;;;;;;2;2
Netaware;;;;;1;;;1
Netco Technology;;1;;;;;;1
Netdialog B.V.;;;;;2;;;2
Netexpo;;;;;;;2;2
Netpresenter;;;;1;;;;1
Netstar Multimedia;;1;;;;;;1
Network Innovations (vh 2connect-IT);;;;;;1;;1
Networking4All;;;;1;;1;;1
Netzozeker.nl;;;;;1;;;1
Nexct;;2;1;;;2;;3
Nextpertise;;;;;;;2;2
NFGD Audiovisuele Technieken;;;;;1;;;1
Nijboer Blijstra Techniek;;;;1;;;;1
Nimsys;;;;;;;2;2
Nivo Plus;;;;;1;;;1
NL Hosting Internet;;;1;;;1;;1
Noit Computers;;1;1;1;1;1;;1
Novius;;;;;1;;;1
Nsecure;;;;1;2;;;2
N-Store;;;;;;1;;1
Nuus Kassasystemen;;1;1;;;;;1
OCLC (incl. PICA);;;2;3;;;;3
Office Power;;;;;1;;;1
Okaphone Elektronika;;;1;;;;;1
Onderwijsbureau Groei;;;;1;;;;1
OnDynamix B.V.;;;;;2;;;2
OneXS Nederland;;;;;;;2;2
Onior ECM specialists;;;;;2;;;2
On-Site;;;;;1;;;1
Ooperon;;2;1;;1;;;2
Operational Care;;;;;1;;;1
Ophuysen Faxspecialist;;1;;;;;;1
Optelec Nederland;;;;1;;;;1
Oracle;;3;2;2;1;;;4
Orcavoice;;;1;;;1;;1
Ordina (incl. Be Value, Clockwork);3;;;7;6;;;8
Osage Communicatie en Ontwerp;3;;;;;;;3
OSPL Nederland;;1;;;2;;;2
Owja;;;;;;1;;1
P. van Leeuwen Technische Handelsonderneming;;1;;;;1;;1
Pactechno;;1;;;;;;1
Paperwork IT BV;;;;;;;2;2
Paradigit Computers;;1;;;;;;1
Paralax;;;;1;;;;1
Pardon Consult (vh Wassenaar Consult);;;1;1;1;;;1
PayEasy Internet Solutions;;;;;;;2;2
PE Netlogics;;;;;1;;2;2
Peek Traffic;;;;;1;;6;6
Peercode (vh In2Sports);;;;2;;;;2
Pepperflow;;;;2;;;;2
Pharma Partners;;;;;1;;;1
Pine Digital Security;;;;;1;;;1
Pinewood Automatisering;;;1;;1;;;1
Pioen Partners;;;;1;;;;1
Planon;;;;2;1;;;2
Plex Elektronische Informatie;;;;;;;2;2
Plinq;;;;;;;2;2
Pocos;;;;;;;2;2
Pointgroup;;;;1;;;;1
Pompestichting;;;;;1;;;1
Pondres Distributie;;;;;;1;;1
Portiva;;;;;;2;;2
PQR;5;7;2;6;5;1;;7
Previder;;;;;;;2;2
Priority Telecom Netherlands;;;;1;;1;;1
Professional Development Systems;;;;1;;;;1
Promothing;;;;;;1;;1
Protinus It;5;7;4;5;7;2;;7
Protopics;;;;2;4;;;4
PTH Presentatie Techniek Holland;;;;;1;;;1
PublicSpirit;1;;;;;;;1
PWC PriceWaterhouseCoopers;;;;;2;;;2
Qelp BV;;;;2;;;;2
Qfast;;;;;;;2;2
Q-Matic Holland;1;2;;2;;;;3
QPR CostControl;;;;1;;;;1
QSM Quantitative Software Management;;;;;1;;;1
Quality Support (incl. Klantcontact monitor);;;;1;;;;1
Quality Systems;;;;;;;2;2
Qualogy Applications;;;;;2;;;2
Quarto;2;1;;2;;;;2
Quovadis Trustlink;;;;1;;;;1
Qweb Internet Services;;;;;;;2;2
R.I.A.Carter;;;1;;;;;1
R2 Retail Solutions;;1;;;;;;1
Raatwerk;;;;1;1;;;1
Rabobank;;;;;;;2;2
Radik BV;;;;;;;2;2
Ram Mobile Data;;;;;1;;;1
Rapide Internet;;;;;;;2;2
React New Media;;;;1;;;;1
Reasonnet;;;;;;;2;2
Redworks;;;;;;;2;2
Reisswolf;;;;;;;1;1
Rensen Regeltechniek;;;;1;;;;1
Rentokil Initial (incl. Initial Hokatex, Rentokil Hokatex, Ambius, Westplant Gree Facility);;1;;;;;;1
Republicom;;;;;;;2;2
RFK;;1;1;;;;;1
Rhenus Data Office;;1;;;;;;1
Richard Sluijs;;;;;1;;;1
Ricoh Groep (incl. Nashuatec, NRG);;;1;1;2;2;;3
Ripe Ncc;;;;1;;;;1
Ritom Beveiligingstechniek;;;;;;1;;1
Rittal;;1;;;;;;1
Robot Nederland;;1;;;1;1;6;6
RoutIT;;;;;;;2;2
Routz;;;;;1;;;1
Ruys Efficiency in Zakenpost, Handelsvereniging;;1;1;;;;;1
Sailor Telecom & ICT;;;;;;;2;2
SAP Nederland;;;;4;;;;4
Sas Institute;;;;2;;;;2
Schiphol Groep (incl. Real Estate);;;;4;;;2;4
Schiphol Telematics;;;;;2;1;;2
Schneider Electric (incl. MGE UPS Systems);;;;;2;;;2
Scholten Awater & Partners;7;5;1;2;4;;;7
Schulinck;;;;2;;;;2
Schuttelaar & Partners;;;;;2;;;2
Schutten IT;;3;;3;;;;4
Screen Check;;;;1;;;;1
Scriptease;1;;;;;;;1
Scriptware;;;;1;;;;1
SDU - Service Centrum Uitgevers;;;;;;1;;1
Seceurtronics Nederland;;;;;;1;;1
Sectra Communications;;2;2;;;1;;3
Securitech;;;;1;;;;1
Seeder De Boer;;;;;4;;;4
Serverius B.V.;;1;;;;;;1
Service Centrum Auteurs- en Naburige Rec;;;;1;;;;1
Set Wireless;;1;1;1;1;2;;2
Siemens Nederland;;1;1;1;1;1;6;6
SIG Software Improvement Group (incl. Portfolio Management);;;;;2;;;2
Signet;;;;;;;2;2
Singel & Partners;;;;;2;;;2
Sinis;;;;;2;;;2
SkyBites;;;;;;;2;2
Slaapspecialist Van der Schuit;;1;;;;;;1
SLTN (vh Inter Access);;;;3;1;;;3
Smart Documents (incl. High Concept Software Development);;;;2;;;;2
Smartphone Repair Company;;1;;;;;;1
Smartteq;;;;;2;;;2
SMC Security Monitoring Centre;;1;1;;;;;1
Smelt Advies Coaching & Selectie;;1;1;;;1;;1
Smit Elektra;;;;;;1;;1
Smits van Burgst;;1;;;1;;;1
Smorenberg Alkmaar;;1;;;;;;1
Soft dB Northern Europe;;;;;1;;;1
Softcrow;;;;1;;;;1
SoftDirect;;;;1;;;;1
Software Borg;;;;2;;;;2
SoftwareHosting;;;;;;;2;2
SoftwareOne;;2;4;5;2;;;6
Sogeti Nederland;3;;;7;4;;;7
Solcon Internetdiensten;;;;;;;2;2
Sollie Comm;;;;;;;2;2
Sound Intelligence;;;;3;2;;;3
Spaces Rode Olifant;;;1;;;1;;1
Speak Up;;;3;;4;;2;4
SQS Software Quality Systems;;;;;;;3;3
Square Information Systems;;;;;3;;;3
Stabiplan;;;;1;;;;1
Staples (incl. Advantage, Corporate Express);;1;5;;1;;;5
STB Automatisering & Advies;;;;;1;;;1
Stg Rinis;;;3;1;;;;3
Stichting Het Klaverblad Zeeland;;;;;;1;;1
Stichting Ti Coast;;;;2;;;;2
Still Intern Transport;;1;;;;;;1
Stipp;;;;2;2;;;3
Stipte (vh Scarlet Telecom);;;;;;;2;2
STN Telefact;;;;;;2;;2
Stream;;;;4;;;;4
Studio2 Communications;;;;1;;;;1
Surfnet;;;;;2;2;;3
Suzo B.V.;;;;;1;;;1
SwitchTRAX;;;;;;;2;2
Systemec;;;;;;;2;2
T&T Compet&T;;;1;3;;2;1;3
Talk & Vision;;5;1;;2;1;;5
Tangram Automatisering;;;;2;;;;2
Tappan Communicatie;;1;;;2;;;2
Tapwacht Service;;1;;;;;;1
