Leveranciers;3110 - Uitbesteden organisatie- en formatieadviesopdrachten;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3130 - Uitbesteden communicatieadvies;3140 - Uitbesteden juridisch adviesopdrachten;3150 - Uitbesteden automatiseringsadvies;3160 - Uitbesteden accountancy en financien;Eindtotaal
Chris Bergman Sport- en Stoelmassage;1;;;;;;1
Chris Siegers;2;2;;;;;3
CIIO B.V.;2;;;;;;2
Clockwork B.V.;;;;;1;;1
CM Telecom B.V.;1;;;;;;1
Co & Co Solutions B.V.;;;;;1;;1
Coblue Cybersecurity B.V.;2;;;;;;2
Colombo B.V.;2;;;;;;2
Commedia Consult;;1;;;;;1
COMPAREX Nederland B.V.;;;;;2;;2
Concorde Group B.V.;1;;;;;;1
Conquaestor B.V.;;;;;2;6;6
Considerati B.V.;2;3;;;;;3
Coöp. Adv.centr. Besch. Vit. Infrastruct. UA;;2;;;;;2
Coöperatief Medisch Specialisten Rijnstate UA;1;;;;;;1
Coöperatief MSB Meander Medisch Centrum UA;1;;;;;;1
Coöperatieve M7 UA;2;;;;;;2
CoPassie;1;;;;;;1
Corps 3 op twee B.V.;;2;;;;;2
COT Inst. voor Veil.h.- & Crisismanagem. B.V.;5;;;;;;5
Crisisplan B.V.;5;;;;;;5
Custodia Group Holland;;4;;;;;4
Dari Financial Services B.V.;2;;;;;;2
de Architekten Cie. B.V.;1;;;;;;1
De Bakkerswinkel 'De Nineties';1;;;;;;1
De Galan Groep B.V.;4;1;;;;;4
De Naamafdeling;1;;;;;;1
De Nieuwe Pelgrim;1;;;;;;1
De Schans;1;;;;;;1
De Veranderzaak;1;;;;;;1
De Voorzitters;2;;;;;;2
De Vreugd Consultancy;;1;;;;;1
De werktuin;1;;;;;;1
Decos Software Engineering B.V.;1;;;;;;1
Deloitte Accountants B.V.;;;;;;2;2
Deloitte Consulting B.V.;3;;;;;;3
Den Haag Centrum v. Strategische Studies B.V.;2;;;;;;2
Diakonessenhuis Doorn;1;;;;;;1
Dick Brandt Advies;2;;;;;;2
Digital Volta;;2;;;;;2
Docspro B.V.;2;;;;;;2
Doktershuis Oude Noorden;1;;;;;;1
Door de Wind Advies B.V.;1;;;;;;1
Doorgang Coaching en Advies;3;;;;;;3
Doxis;1;;;;;;1
Driessen B.V.;1;;;;;;1
DSP-Groep B.V.;;2;;;;;2
ECORYS Nederland B.V.;2;3;;;;;3
Effectory B.V.;;2;2;;;;2
Electrotech. Installatiebureau Randstad B.V.;1;;;;;;1
Ellie Roetgerink Consultancy;1;;;;;;1
Emergis;1;;;;;;1
Eproseed NL B.V.;1;;;;;;1
Erftemeyer Advies en Bemiddeling;1;;;;;;1
Ernst & Young Accountants LLP;;;;;;4;4
Fa. Klein;1;;;;;;1
Fahm Instituut;1;;;;;;1
Ferro Explore B.V.;2;;;;;;2
Fieten IT;3;;;;;;3
Fine Arts Productions John van Helvert;1;;;;;;1
Flex-I.D. B.V.;2;;;;;;2
FMMU Advies BV;7;;;;;;7
Fotografie : Paul Voorham;1;;;;;;1
Fotografie Jurgen Huiskes;1;;;;;;1
Fox-IT;1;;;;;;1
Froger Consultancy;;1;;;;;1
Fujitsu Technology Solutions B.V.;3;;;;;;3
Fysiotherapie Mens en Leven;1;;;;;;1
G2 Speech B.V.;1;;;;;;1
Gemini Ziekenhuis/N.w. Z.h.g.,loc. Den Helder;1;;;;;;1
Gezondheidscentrum Lage Veld;1;;;;;;1
Gezondheidscentrum Venserpolder;1;;;;;;1
GfK;3;;;;;;3
GGNet - DaAr;1;;;;;;1
GGZ Divers B.V.;1;;;;;;1
GGZ Drenthe Oosteinde;1;;;;;;1
GGZ inGeest Overschiestraat;1;;;;;;1
GGzE;1;;;;;;1
Gispen Kantoorinrichting;2;;;;;;2
GMI Groep B.V.;4;;;;;;4
Gosler huisarts waarnemingen;1;;;;;;1
H.R. Guest Fotografie;1;;;;;;1
Hans Roggen Fotografie;1;;;;;;1
HAP Windhausen;1;;;;;;1
Health Angels B.V.;1;;;;;;1
HEC B.V.;4;3;;;;;4
Helderman Management & Advies B.V.;2;;;;;;2
Hellemans Consultancy B.V.;2;;;;;;2
Hennequin Consultancy B.V.;2;;;;;;2
Het Notuleercentrum B.V.;1;;;;;;1
Het PR Bureau B.V.;3;;;;;;3
Heuvelman Sound & Vision B.V.;1;;;;;;1
Hiemstra Communicatie B.V.;1;;;;;;1
Hoffmann Bedrijfsrecherche B.V.;1;;;;;;1
Hogeschool INHolland;1;;;;;;1
Holland Consulting Group;2;;;;;;2
Huidstichting Chanfleury van IJsselstein;1;;;;;;1
Huisartsen Oog in Al;1;;;;;;1
Huisartsenpraktijk Baardwijk;1;;;;;;1
Huisartsenpraktijk Buchten;1;;;;;;1
Huisartsenpraktijk de Compositie;1;;;;;;1
Huisartsenpraktijk De Oude Kapelanie;1;;;;;;1
Huisartsenpraktijk Hendricks-Adriaens;1;;;;;;1
Huisartsenpraktijk Hooge Plaaten;1;;;;;;1
Huisartsenpraktijk van Oord;1;;;;;;1
Huisartsenpraktijk Van Rij De Smit;1;;;;;;1
Huisartspraktijk Bloemen;1;;;;;;1
Huisartspraktijk Boogaart;1;;;;;;1
Human Talent Group B.V.;2;;;;;;2
HVWS;1;;;;;;1
I & O Research Groep B.V.;;5;;;;;5
i psy Almere B.V.;1;;;;;;1
i psy Tilburg B.V.;1;;;;;;1
i3 groep;3;;;;;;3
ICATT Interactive Media B.V.;1;;;;;;1
ICTRecht B.V.;1;;;;;;1
ICTroom Group B.V.;2;;;;;;2
Ikos Consult;;1;;;;;1
Impact R&D;1;2;;;;;2
Impulse Info Systems;3;;;;;;3
IMTA;;2;;;;;2
IMTC2;2;;;;;;2
In2Content B.V.;1;;;;;;1
Incassor;;2;;;;;2
Indigo Midden-Nederland B.V.;1;;;;;;1
Infoprojects;4;;;;;;4
Ingenieursbureau B-Ware B.V.;1;;;;;;1
Inprove IT B.V.;2;;;;;;2
Inspire Innovation B.V.;1;;;;;;1
Instituut voor Psychotrauma Nederland B.V.;1;;;;;;1
Integron B.V.;2;;;;;;2
Interactive Acts;;1;;;;;1
Interactive Perception;1;;;;;;1
Intern./MDL-artsen Albert Schweitzer Zkh.;1;;;;;;1
Ipsos B.V.;1;2;;;;;3
i-psy Haaglanden B.V.;1;;;;;;1
i-psy Noord-Holland B.V.;1;;;;;;1
i-psy Rijnmond B.V.;1;;;;;;1
i-psy Utrecht B.V.;1;;;;;;1
Ivo Broekhuizen Communicatie;2;;;;;;2
Jaffar Consultancy;1;4;;;;;4
Ja-maar® B.V.;1;;;;;;1
jannydierx.nl;1;;;;;;1
Jenrick Nederland B.V.;1;;;;;;1
Jeugd enzo.;2;;;;;;2
Jo Bos & Co;1;;;;;;1
Joh. Enschedé Amsterdam B.V.;3;;;;;;3
Jong & Je Wil Wat;;2;;;;;2
JVDT B.V. (Jongens van de tekeningen);1;;;;;;1
Kafkabrigade B.V.;2;;;;;;2
Kennemer Gasthuis locatie Zuid;1;;;;;;1
Kick Smeets Fotografie;1;;;;;;1
Kim Roelofs Mediation en Juridisch advies;1;;;;;;1
Kinderfysiotherapie Rosalie Pijnenburg;1;;;;;;1
KNAP Academie;1;2;;;;;2
Korvinus Van Roy & Zandt Advocaten;1;;;;;;1
KplusV organisatieadvies B.V.;;1;;;;;1
KPMG Advisory N.V.;2;;;;;;2
KPMG Audit;3;;;;;2;4
KPMG Management Services B.V.;;2;;;;;2
KPN B.V.;3;;;;;;3
KPN Contact lokatie Eindhoven;2;;;;;;2
Kruizinga B.V.;1;;;;;;1
Kwink Groep B.V.;2;1;;;;;3
L. Meijer Huisarts;1;;;;;;1
Laanbroek Schoeman Adviseurs B.V.;5;2;;;;;5
Lauwer Consulting;2;;;;;;2
Leeuwendaal Advies B.V.;1;;;;;;1
Lentenaer B.V.;;3;;;;;3
LiveLAB B.V.;2;;;;;;2
LPMC;1;;;;;;1
M & R Archiefbeheer En Opslag B.V.;2;;;;;;2
Maatsch. Chirurgen Medisch Centrum Haaglanden;1;;;;;;1
Maatsch. Medisch Specialist. Bedr. Amstelland;1;;;;;;1
Maatschap Cardiologie Almere;1;;;;;;1
Maatschap Cardiologie Tilburg;1;;;;;;1
Maatschap Gynaecologen;1;;;;;;1
Maatschap Interne Geneeskunde;1;;;;;;1
Maatschap Internisten;1;;;;;;1
Maatschap Internisten Drachten;1;;;;;;1
Maatschap Internisten MCA;1;;;;;;1
Maatschap KNO Drachten;1;;;;;;1
Maatschap Longartsen St. Antonius Ziekenhuis;1;;;;;;1
Maatschap Longziekten;1;;;;;;1
Maatschap MSB Gouda;1;;;;;;1
Maatschap Neurologie Midden-Brabant;1;;;;;;1
Maatschap Oogartsen Oogziekenhuis;1;;;;;;1
Maatschap Oogheelkunde Roermond;1;;;;;;1
Maatschap Orthopedie Martini Ziekenhuis;1;;;;;;1
Maatschap Reumatologie Voorburg;1;;;;;;1
Maatschap Timmers en Timmers-den Hollander;1;;;;;;1
Maatschap Vrouwenartsen;1;;;;;;1
Madison Gurkha B.V.;3;;;;;;3
Maes Consultancy;2;;;;;;2
Manpower B.V.;1;;;;;;1
Manpower Personeelplanning;5;;;;;;5
Marjan Beeker, aanbestedingsjurist;1;;;;;;1
Marketresponse Nederland B.V.;2;;;;;;2
Martijn Beekman Fotografie;1;;;;;;1
Mavention Holding B.V.;;;;;2;;2
MC-Zuiderzee;1;;;;;;1
Med. Spec. Bdr. Spaarne Gasths H'lem/Hoofddrp;1;;;;;;1
Mediation en Advies Bureau Kaminski;1;;;;;;1
Mediation Praktijk Uden;1;;;;;;1
MediCor Gezondheidszorg Rijswijkseplein B.V.;1;;;;;;1
MediFirst B.V.;6;;;;;;6
Medisch Centrum Mook;1;;;;;;1
Medisch Spec. Bedr. Canisius Wilhelmina Zknhs;1;;;;;;1
Medisch Specialistisch Bedrijf MCH-Bronovo;1;;;;;;1
Meekes en Quanjel Huisartspraktijk;1;;;;;;1
Melchior & Doceo;1;;;;;;1
Merlin Security Services B.V.;1;;;;;;1
Met ggz Holding B.V.;1;;;;;;1
Metis IT B.V.;4;;;;;;4
MetrixLab B.V.;2;;;;;;2
MichielB.com;1;;;;;;1
Mijksenaar B.V.;1;;;;;;1
Mobiel Centre Marktonderzoek B.V.;2;;;;;;2
Mols huisartsen praktijk;1;;;;;;1
Mondriaan;1;;;;;;1
Monsterevents;1;;;;;;1
Monuta Sol;4;;;;;;4
Moonen HRM Consulting;1;;;;;;1
More Balls Than Most B.V.;1;;;;;;1
Motivaction International B.V.;;2;;;;;2
MSB de Medici;1;;;;;;1
Mts Chirurgie-Orthopedie (VieCuri);1;;;;;;1
Mts Longartsen Tilburg;1;;;;;;1
Mts. Anesthesiologie BOA Amphia;1;;;;;;1
Mts. Gynaecologen St. Elisabeth Zkh. Tilburg;1;;;;;;1
Mts. KNO-Artsen Canisius-Wilhelmina Ziekenh.;1;;;;;;1
Mts. R. den Besten en A.M. den Besten Leeuwis;1;;;;;;1
MultiMediations;1;;;;;;1
Mutanabbi B.V.;4;;;;;;4
N.V. Luchthaven Schiphol;3;;;;;;3
N.V. Nederlandse Gasunie;4;;;;;;4
N=5 Communicatie-Adviesbureau;2;;;;;;2
Ned. ICT, V.b. Inf.techn., Telec.&aanv. sect.;2;;;;;;2
Ned. Org. voor toegep.-nat.wetensch. ond. TNO;5;3;;;;;6
Nederlands Debat Instituut Holding B.V.;1;;;;;;1
Nederlands Instituut van Psychologen (N.I.P.);2;;;;;;2
Net2Legal Consultants;;2;;;;;2
Nijssen People Support;1;;;;;;1
Niks & Partners, Interim Eventman. & MICE BV;2;;;;;;2
NMI Certin B.V.;3;;;;;;3
Noorderbreedte B.V.;1;;;;;;1
Noortje van Dorp;1;;;;;;1
Northwave B.V.;1;;;;;;1
Notuleerservice Nederland B.V.;1;;;;;;1
Novagraaf Nederland B.V.;1;;;;;;1
Novius Adv.groep v. Inf. & Organisatie B.V.;2;2;;;;;2
NTA;1;;;;;;1
NubiloSoft B.V.;2;;;;;;2
Omdenken B.V.;1;;;;;;1
Omnext B.V.;2;;;;;;2
Onestopsourcing B.V.;;;;;2;;2
Onior Holding B.V.;3;;;;;;3
Onlyhuman B.V.;3;;3;;2;;4
OPPS Advies B.V.;3;;;;;;3
Opvoedpoli;1;;;;;;1
Oracle Nederland;1;;;;;;1
OrangeTrail B.V.;;2;;;;;2
Ordina Beheer & Outsourcing;5;;;;;;5
Ordina Business Consulting & Solutions B.V.;;;;;7;;7
Ordina Nederland B.V.;2;;;;;;2
Ordina Technologie & Competenties B.V.;4;;;;;;4
OSAGE communicatie en ontwerp;1;;;;;;1
OZGN;1;;;;;;1
P & R Groep B.V.;2;;;;;;2
P.I. Research B.V.;1;3;;;;;3
P.V. RIAGG Amersf. & Omstrek. 'De Kei';1;;;;;;1
PA Consulting Services B.V.;7;;;;;;7
Paralax B.V.;1;;;;;;1
Partner in Crime;2;;;;;;2
Partners+Pröpper B.V.;;3;;;;;3
Pels Rijcken & Droogleever Fortuijn N.V.;1;;;6;;;6
People & Property B.V.;2;;;;;;2
Pepperflow B.V.;1;;;;;;1
Perswoordvoerder;1;;;;;;1
Peter Faber Stichting;1;;;;;;1
Peter Scholten Holding B.V.;3;;;;;;3
Photo Republic;1;;;;;;1
PJAVR;2;;;;;;2
Planon B.V.;;;;;3;;3
PNA Group;3;;;;;;3
Point FWD;;1;;;;;1
Pointgroup B.V.;1;;;;;;1
Policy Research Corporation Nederland B.V.;3;;;;;;3
Power of 4 B.V.;2;;;;;;2
PQR B.V.;3;;;;;;3
Pr. Buitenpost Centr. Amb. G. Ghz Buitenpost;1;;;;;;1
PRAK Security & Judgment;;2;;;;;2
Praktijk Beulen;1;;;;;;1
Praktijk Blonk;1;;;;;;1
Praktijk Bogaard;1;;;;;;1
Pricewaterhousecoopers Accountants N.V.;2;;;;;2;3
Pricewaterhousecoopers Advisory N.V.;;2;;;;;2
Pricewaterhousecoopers N.V.;6;;;;;2;6
Privacy Management Partners Coöperatie UA;;2;;;;;2
Pro Facility Adviesbureau B.V.;1;;;;;;1
Pro Persona GGz;1;;;;;;1
Profource B.V.;2;;;;;;2
Protinus IT B.V.;3;;;;;;3
PSI-CARE 24/7;1;;;;;;1
Psyom;1;;;;;;1
PsyQ Haaglanden B.V.;1;;;;;;1
PsyQ Hilversum;1;;;;;;1
PsyQ Rijnmond B.V.;1;;;;;;1
PsyQ Utrecht B.V.;1;;;;;;1
Public Partners;2;;;;;;2
Qconferencing B.V.;4;;;;;;4
Qidos B.V.;1;;;;;;1
QSM Nederland B.V.;1;;;;;;1
Quint Wellington Redwood Nederland B.V.;2;;;;;;2
Quiver;1;;;;;;1
Radar Advies B.V.;4;;;;;;4
Rae Benelux B.V.;1;;;;;;1
Reactief advies en organisatie;2;;;;;;2
RebelGroup Executives B.V.;1;3;;;;;4
Rebond;1;2;;;;;2
Reclamestudio Guthschmidt B.V.;1;;;;;;1
Regioplan Beleidsonderzoek B.V.;2;3;;;;;4
Regulator;;2;;;;;2
Reisswolf Heesch B.V.;1;;;;;;1
Rene Verleg Fotografie;1;;;;;;1
René Weijers Bestuursadvies;1;;;;;;1
Resources Management & Finance B.V.;;;;;;2;2
Revalidatie Drenthe;1;;;;;;1
Revalidatie Friesland, locatie Sneek;1;;;;;;1
Revalidatiecentrum De Trappenberg;1;;;;;;1
Revalidatiecentrum Leijpark;1;;;;;;1
Revant Revalidatiecentrum Breda;1;;;;;;1
Richard Sluijs ontwerpen;1;;;;;;1
Right Marktonderzoek en Advies B.V.;2;;;;;;2
Rivierduinen;1;;;;;;1
RMD Advies;1;;;;;;1
Rocky Hehakaija;1;;;;;;1
ROI B.V.;2;;;;;;2
Rollema Transport B.V.;1;;;;;;1
Scheper Ziekenhuis;1;;;;;;1
Scheper-Bethesda Ziekenhuis locatie Emmen;1;;;;;;1
Schiphol Airport Retail B.V.;1;;;;;;1
Scholten Awater B.V.;2;;;;;;2
SecMan B.V.;;1;;;;;1
Secundity B.V.;2;;;;;;2
Sedi B.V.;2;;;;;;2
Sen Productions;1;;;;;;1
Senior Jurist Training & Coaching;1;;;;;;1
Senority B.V.;4;;;;;;4
Senseguide;;2;;;;;2
Sharewire B.V.;3;;;;;;3
Sherazade Advies;1;;;;;;1
Siemens Nederland;2;;;;;;2
Significant B.V.;5;4;;;;2;6
SILO;2;;;;;;2
Singeling Constructie-Lastechniek B.V.;2;;;;;;2
Sint Lucas Andreas Ziekenhuis;1;;;;;;1
Sira Consulting B.V.;;;;;;2;2
Skils B.V.;1;;;;;;1
Smith Communicatie B.V.;2;;;;;;2
Smits van Burgst Groep B.V.;1;;;;;;1
Software Quality Systems (SQS) Nederland B.V.;2;;;;;;2
SoftwareONE B.V.;1;;;;4;;4
Sogeti Nederland B.V.;1;;;;;;1
SOS (Netherlands) B.V.;4;;;;;;4
Spanjaard Training & Advies;;3;;;;;3
Sparked B.V.;1;;;;;;1
Speakers Acadamy;2;;;;;;2
sport-connecting-us;2;;;;;;2
Sprengers Advocaten;1;;;;;;1
Spresso Design Studio;1;;;;;;1
Stafmts. Medisch Specialist. Bedrijf VieCuri;1;;;;;;1
Station 10 B.V.;3;;;;;;3
StefanWijers.nl;1;;;;;;1
Stg. Centr. voor Arbeidsverhoud. Overh.pers.;5;;;;;;5
Stg. met ggz, regiokantoor Venray;1;;;;;;1
Sticht. The Hague Instit. for Global Justice;2;;;;;;2
Stichting Aafje Thuiszorg Huizen Zorghotels;1;;;;;;1
Stichting Accessibility;1;;;;;;1
Stichting Administratiekantoor Hippo B.V.;2;;;;;;2
Stichting Bug;1;;;;;;1
Stichting Dialyse Centrum Groningen;1;;;;;;1
Stichting Dimence;1;;;;;;1
Stichting Expertisecentrum JSO;2;;;;;;2
Stichting GGz Breburg Groep;1;;;;;;1
Stichting GGZ Noord-Holland-Noord;3;;;;;;3
Stichting GGZ Westelijk Noord-Brabant;1;;;;;;1
Stichting HVO-Querido;4;;;;;;4
Stichting Impact Amsterdam;2;;;;;;2
Stichting Internationaal Juridisch Instituut;1;;;;;;1
Stichting Interzorg Noord-Nederland;1;;;;;;1
Stichting Inwendige Geneeskunde Asklepios;1;;;;;;1
Stichting Kempenhaeghe/De Berkenschutse;1;;;;;;1
Stichting Longziekten Almere;1;;;;;;1
Stichting Maurits Instituut;2;;;;;;2
Stichting Medisch Spectrum Twente;1;;;;;;1
Stichting Nephron;1;;;;;;1
Stichting Power;3;;;;;;3
Stichting Reinier van Arkel Groep;1;;;;;;1
Stichting Sarya;1;;;;;;1
Stichting Slachtoffer in Beeld;3;;;;;;3
Stichting Theaterproduktie Rotterdam;1;;;;;;1
Stichting Villa Pinedo;1;;;;;;1
Streekziekenhuis Koningin Beatrix;1;;;;;;1
Stroes Adviesbureau;1;;;;;;1
Stronkman Invest B.V.;2;;;;;;2
Studio Kerstin;2;;;;;;2
Sturingsadvies;2;;;;;;2
SVS Verbal;3;;;;;;3
Sweco Nederland;1;;;;;;1
T&T Compet&t.b.v.;1;;;;;;1
T.I.F. Transtar Int. Freight Netherlands B.V.;1;;;;;;1
Talk & Vision B.V.;1;;;;;;1
Tappan Communicatie B.V.;6;1;;;;;6
Tekst & Beleid B.V.;1;;;;;;1
Tele2 Nederland B.V.;7;;;;;;7
Thalheim Projectmanagement;2;;;;;;2
The Boston Consulting Group B.V.;3;;;;;;3
TNO Delft;4;2;;;;;4
TNS Nipo B.V.;;2;;;;;2
Touzani productions;1;;;;;;1
Towers Watson Netherlands B.V.;;3;;;;;3
Transformation Technologies B.V.;2;;;;;;2
TRConsult B.V.;;1;;;;;1
Trea van Vliet;;1;;;;;1
Triple Inch business Coaching;;1;;;;;1
Turnaround Communicatie B.V.;2;;;;;;2
Twaalf B.V.;;1;;;;;1
Twynstra Gudde;1;2;;;;;2
Twynstra Gudde Huisv., V.g. en Fac. Man. B.V.;2;;;;;;2
Twynstra Gudde Interim Management B.V.;2;;;;;;2
UNC Inc.;2;;;;;;2
Unisys Nederland N.V.;6;;;;;;6
V.O.F. Apotheek Terwinselen;1;;;;;;1
VaJCMusic;1;;;;;;1
Valsplat B.V.;1;;;;;;1
van aanpakken;1;;;;;;1
Van de Bunt, Advis. v. Org. en Beleid B.V.;2;;;;;;2
Van Eybergen Management Advies;2;;;;;;2
Van Vlier Media B.V.;2;;;;;;2
Vanberkel Professionals B.V.;;;;;;2;2
VanRoots;3;3;;;;;4
Vanthoff Mediation;1;;;;;;1
VANWAARDE Documentenwacht B.V.;2;;;;;;2
Verbeterforum B.V.;3;3;;;;;4
Verdonck, Klooster & Associates B.V.;3;;;;;;3
Vereniging de Medische Staf GGZ Oost Brabant;3;;;;;;3
Vigiles EU Project and Consulting B.V.;1;;;;;;1
Vorm Vijf Grafisch Adviesteam B.V.;1;;;;;;1
Vrouwenartsenpraktijk Emmen e/o;1;;;;;;1
WCC Consulting EMEA B.V.;;;;;2;;2
WePayPeople N.V.;;;;;1;;1
Wereldkinderen, Vereniging voor Kinderwelzijn;4;;;;;;4
Wessels & Van Haandel V.O.F.;1;;;;;;1
Winkelman-v. Hessen Market. & Publ. Rel. B.V.;3;;;;;;3
Wissenraet Van Spaendonck Tilburg B.V.;6;;;;;;6
Yacht B.V.;;;4;;;;4
Yellowtail B.V.;4;;;;;4;5
Z. Dot. Al. Holdings N.V.;;2;;;;;2
Zenber interieur - architectuur B.V.;2;;;;;;2
Zoom Media B.V.;2;;;;;;2
Zorg Innovaties Nederland B.V.;1;;;;;;1
Zorggroep Almere Onroerend Goed B.V.;1;;;;;;1
Zuyderland Geestelijke Gezondheidszorg B.V.;1;;;;;;1
Eindtotaal;9;7;4;6;7;7;10
