FID,ID,CBS_CATEGORIE,ADRES,REDENGEVENDE_OMSCHRIJVING,MONUMENTNUMMER,MONUMENTTYPE,MONUMENTCODE,GEOMETRIE
MONUMENTEN_ADRESSEN_OPEN.fid-263630a9_1861df6f7ba_2d36,2805,"Gebouwen, woonhuizen",Plompetorengracht 5 ,,18305,RM,Rijksmonument,POINT (136945.401 456411.708)
MONUMENTEN_ADRESSEN_OPEN.fid-263630a9_1861df6f7ba_2d37,2807,"Gebouwen, woonhuizen",Plompetorengracht 7 ,,18306,RM,Rijksmonument,POINT (136946.672 456419.759)
MONUMENTEN_ADRESSEN_OPEN.fid-263630a9_1861df6f7ba_2d38,2809,"Gebouwen, woonhuizen",Plompetorengracht 9 ,,18307,RM,Rijksmonument,POINT (136949.512 456440.7)
MONUMENTEN_ADRESSEN_OPEN.fid-263630a9_1861df6f7ba_2d39,2810,"Gebouwen, woonhuizen",Plompetorengracht 10 ,,18319,RM,Rijksmonument,POINT (136918.83 456424.915)
MONUMENTEN_ADRESSEN_OPEN.fid-263630a9_1861df6f7ba_2d3a,2810,"Gebouwen, woonhuizen",Plompetorengracht 10 BS,,18319,RM,Rijksmonument,POINT (136918.604 456423.575)
MONUMENTEN_ADRESSEN_OPEN.fid-263630a9_1861df6f7ba_2d3b,4695,,KROMME NIEUWEGR; BRUG NR 43,,47084,RM,Rijksmonument,POINT (137021.487189095 455944.656972934)
MONUMENTEN_ADRESSEN_OPEN.fid-263630a9_1861df6f7ba_2d3c,4696,,KROMME NIEUWEGR; BRUG NR 45/47,,47084,RM,Rijksmonument,POINT (137021.487189095 455944.656972934)
MONUMENTEN_ADRESSEN_OPEN.fid-263630a9_1861df6f7ba_2d3d,4697,,KROMME NIEUWEGR; BRUG NR 49/2,,47084,RM,Rijksmonument,POINT (137021.487189095 455944.656972934)
MONUMENTEN_ADRESSEN_OPEN.fid-263630a9_1861df6f7ba_2d3e,4699,Losse objecten (niet vallende onder 1 t/m 12),LAUWERECHTBRUG,,450553,RM,Rijksmonument,POINT (136213.096402169 456898.051278326)
MONUMENTEN_ADRESSEN_OPEN.fid-263630a9_1861df6f7ba_2d3f,2363,Agrarische gebouwen,OUDE VLEUTENSEWEG  0033,Boerderij gebouwd rond 1880 in de traditionele bouwwijze van die tijd. De boerderij is van architectuurhistorisch belang als voorbeeld van de traditionele 19e eeuwse boerderij in een verzorgde vorm.,3440098,GM,Gemeentelijk monument,POINT (133446.326996369 456639.523507958)
MONUMENTEN_ADRESSEN_OPEN.fid-263630a9_1861df6f7ba_2d40,2365,"Gebouwen, woonhuizen",Oudegracht 2 ,,36591,RM,Rijksmonument,POINT (136444.435 456466.601)
MONUMENTEN_ADRESSEN_OPEN.fid-263630a9_1861df6f7ba_2d41,2365,"Gebouwen, woonhuizen",Oudegracht aan de Werf 2 ,,36591,RM,Rijksmonument,POINT (136437.497200957 456467.199086124)
MONUMENTEN_ADRESSEN_OPEN.fid-263630a9_1861df6f7ba_2d42,2365,"Gebouwen, woonhuizen",1e Achterstraat 1A ,,36591,RM,Rijksmonument,POINT (136446.443662008 456471.322856417)
MONUMENTEN_ADRESSEN_OPEN.fid-263630a9_1861df6f7ba_2d43,2366,"Gebouwen, woonhuizen",Oudegracht 3B ,,36483,RM,Rijksmonument,POINT (136411.309 456456.426)
MONUMENTEN_ADRESSEN_OPEN.fid-263630a9_1861df6f7ba_2d44,2366,"Gebouwen, woonhuizen",Oudegracht 3C ,,36483,RM,Rijksmonument,POINT (136411.309 456456.426)
MONUMENTEN_ADRESSEN_OPEN.fid-263630a9_1861df6f7ba_2d45,2366,"Gebouwen, woonhuizen",Oudegracht 3A ,,36483,RM,Rijksmonument,POINT (136411.309 456456.426)
MONUMENTEN_ADRESSEN_OPEN.fid-263630a9_1861df6f7ba_2d46,2368,"Gebouwen, woonhuizen",Oudegracht 5A ,,36484,RM,Rijksmonument,POINT (136412.869 456450.728)
MONUMENTEN_ADRESSEN_OPEN.fid-263630a9_1861df6f7ba_2d47,2368,"Gebouwen, woonhuizen",Oudegracht 5C ,,36484,RM,Rijksmonument,POINT (136412.869 456450.728)
MONUMENTEN_ADRESSEN_OPEN.fid-263630a9_1861df6f7ba_2d48,2368,"Gebouwen, woonhuizen",Oudegracht 5E ,,36484,RM,Rijksmonument,POINT (136412.869 456450.728)
MONUMENTEN_ADRESSEN_OPEN.fid-263630a9_1861df6f7ba_2d49,2368,"Gebouwen, woonhuizen",Oudegracht aan de Werf 5 ,,36484,RM,Rijksmonument,POINT (136421.875 456449.464)
MONUMENTEN_ADRESSEN_OPEN.fid-263630a9_1861df6f7ba_2d4a,2368,"Gebouwen, woonhuizen",Oudegracht 5B ,,36484,RM,Rijksmonument,POINT (136412.869 456450.728)
MONUMENTEN_ADRESSEN_OPEN.fid-263630a9_1861df6f7ba_2d4b,2368,"Gebouwen, woonhuizen",Oudegracht 5D ,,36484,RM,Rijksmonument,POINT (136412.869 456450.728)
MONUMENTEN_ADRESSEN_OPEN.fid-263630a9_1861df6f7ba_2d4c,2368,"Gebouwen, woonhuizen",Oudegracht 5G ,,36484,RM,Rijksmonument,POINT (136412.869 456450.728)
MONUMENTEN_ADRESSEN_OPEN.fid-263630a9_1861df6f7ba_2d4d,2368,"Gebouwen, woonhuizen",Oudegracht 5H ,,36484,RM,Rijksmonument,POINT (136412.869 456450.728)
MONUMENTEN_ADRESSEN_OPEN.fid-263630a9_1861df6f7ba_2d4e,2369,"Gebouwen, woonhuizen",Oudegracht 6 ,,36592,RM,Rijksmonument,POINT (136446.983 456457.51)
MONUMENTEN_ADRESSEN_OPEN.fid-263630a9_1861df6f7ba_2d4f,2369,"Gebouwen, woonhuizen",Oudegracht 6A ,,36592,RM,Rijksmonument,POINT (136447.488 456456.151)
MONUMENTEN_ADRESSEN_OPEN.fid-263630a9_1861df6f7ba_2d50,2369,"Gebouwen, woonhuizen",Oudegracht 6B ,,36592,RM,Rijksmonument,POINT (136447.488 456456.151)
MONUMENTEN_ADRESSEN_OPEN.fid-263630a9_1861df6f7ba_2d51,2369,"Gebouwen, woonhuizen",1e Achterstraat 3A ,,36592,RM,Rijksmonument,POINT (136464.403 456471.33)
MONUMENTEN_ADRESSEN_OPEN.fid-263630a9_1861df6f7ba_2d52,2370,"Gebouwen, woonhuizen",OUDEGRACHT  0008/0008A,,36593,RM,Rijksmonument,POINT (136461.553685875 456456.644030727)
MONUMENTEN_ADRESSEN_OPEN.fid-263630a9_1861df6f7ba_2d53,2370,"Gebouwen, woonhuizen",OUDEGRACHT  0008/0008A,,36593,RM,Rijksmonument,POINT (136461.553685875 456456.644030727)
MONUMENTEN_ADRESSEN_OPEN.fid-263630a9_1861df6f7ba_2d54,2371,"Gebouwen, woonhuizen",Oudegracht 10 ,,36594,RM,Rijksmonument,POINT (136450.093 456448.492)
MONUMENTEN_ADRESSEN_OPEN.fid-263630a9_1861df6f7ba_2d55,2371,"Gebouwen, woonhuizen",OUDEGRACHT  0010/0010BS,,36594,RM,Rijksmonument,POINT (136462.579622671 456450.961499879)
MONUMENTEN_ADRESSEN_OPEN.fid-263630a9_1861df6f7ba_2d56,2374,"Gebouwen, woonhuizen",Oudegracht 14 ,,36596,RM,Rijksmonument,POINT (136453.03 456441.814)
MONUMENTEN_ADRESSEN_OPEN.fid-263630a9_1861df6f7ba_2d57,2375,"Gebouwen, woonhuizen",Oudegracht 16 ,,36597,RM,Rijksmonument,POINT (136455.183 456437.073)
MONUMENTEN_ADRESSEN_OPEN.fid-263630a9_1861df6f7ba_2d58,2375,"Gebouwen, woonhuizen",Oudegracht 16 BS,,36597,RM,Rijksmonument,POINT (136455.747 456435.759)
MONUMENTEN_ADRESSEN_OPEN.fid-263630a9_1861df6f7ba_2d59,2376,"Gebouwen, woonhuizen",Oudegracht 17 ,,36485,RM,Rijksmonument,POINT (136417.157 456437.515)
MONUMENTEN_ADRESSEN_OPEN.fid-263630a9_1861df6f7ba_2d5a,2377,"Gebouwen, woonhuizen",Oudegracht 18 ,,36598,RM,Rijksmonument,POINT (136456.797 456433.327)
MONUMENTEN_ADRESSEN_OPEN.fid-263630a9_1861df6f7ba_2d5b,2382,"Gebouwen, woonhuizen",Oudegracht 26 ,,36600,RM,Rijksmonument,POINT (136466.244 456409.169)
MONUMENTEN_ADRESSEN_OPEN.fid-263630a9_1861df6f7ba_2d5c,2383,"Gebouwen, woonhuizen",Oudegracht 28 ,,36601,RM,Rijksmonument,POINT (136467.5 456405.629)
MONUMENTEN_ADRESSEN_OPEN.fid-263630a9_1861df6f7ba_2d5d,2383,"Gebouwen, woonhuizen",Oudegracht 28K ,,36601,RM,Rijksmonument,POINT (136467.5 456405.629)
MONUMENTEN_ADRESSEN_OPEN.fid-263630a9_1861df6f7ba_2d5e,2383,"Gebouwen, woonhuizen",Oudegracht 28A ,,36601,RM,Rijksmonument,POINT (136467.5 456405.629)
MONUMENTEN_ADRESSEN_OPEN.fid-263630a9_1861df6f7ba_2d5f,2383,"Gebouwen, woonhuizen",Oudegracht 28B ,,36601,RM,Rijksmonument,POINT (136467.5 456405.629)
MONUMENTEN_ADRESSEN_OPEN.fid-263630a9_1861df6f7ba_2d60,2383,"Gebouwen, woonhuizen",Oudegracht 28C ,,36601,RM,Rijksmonument,POINT (136467.5 456405.629)
MONUMENTEN_ADRESSEN_OPEN.fid-263630a9_1861df6f7ba_2d61,2383,"Gebouwen, woonhuizen",Oudegracht 28D ,,36601,RM,Rijksmonument,POINT (136467.5 456405.629)
MONUMENTEN_ADRESSEN_OPEN.fid-263630a9_1861df6f7ba_2d62,2383,"Gebouwen, woonhuizen",Oudegracht 28E ,,36601,RM,Rijksmonument,POINT (136467.5 456405.629)
MONUMENTEN_ADRESSEN_OPEN.fid-263630a9_1861df6f7ba_2d63,2383,"Gebouwen, woonhuizen",Oudegracht 28F ,,36601,RM,Rijksmonument,POINT (136467.5 456405.629)
MONUMENTEN_ADRESSEN_OPEN.fid-263630a9_1861df6f7ba_2d64,2383,"Gebouwen, woonhuizen",Oudegracht 28G ,,36601,RM,Rijksmonument,POINT (136467.5 456405.629)
MONUMENTEN_ADRESSEN_OPEN.fid-263630a9_1861df6f7ba_2d65,2383,"Gebouwen, woonhuizen",Oudegracht 28H ,,36601,RM,Rijksmonument,POINT (136467.5 456405.629)
MONUMENTEN_ADRESSEN_OPEN.fid-263630a9_1861df6f7ba_2d66,2383,"Gebouwen, woonhuizen",Oudegracht 28J ,,36601,RM,Rijksmonument,POINT (136467.5 456405.629)
MONUMENTEN_ADRESSEN_OPEN.fid-263630a9_1861df6f7ba_2d67,2384,"Gebouwen, woonhuizen",Oudegracht 29 ,,36488,RM,Rijksmonument,POINT (136426.22 456407.811)
MONUMENTEN_ADRESSEN_OPEN.fid-263630a9_1861df6f7ba_2d68,2384,"Gebouwen, woonhuizen",Oudegracht aan de Werf 29A ,,36488,RM,Rijksmonument,POINT (136434.383381967 456404.021555241)
MONUMENTEN_ADRESSEN_OPEN.fid-263630a9_1861df6f7ba_2d69,2385,"Gebouwen, woonhuizen",Oudegracht 30 ,,31027,RM,Rijksmonument,POINT (136468.921 456398.069)
MONUMENTEN_ADRESSEN_OPEN.fid-263630a9_1861df6f7ba_2d6a,2385,"Gebouwen, woonhuizen",Oudegracht 30A ,,31027,RM,Rijksmonument,POINT (136469.204 456396.647)
MONUMENTEN_ADRESSEN_OPEN.fid-263630a9_1861df6f7ba_2d6b,2385,"Gebouwen, woonhuizen",Oudegracht 30B ,,31027,RM,Rijksmonument,POINT (136469.487 456395.225)
MONUMENTEN_ADRESSEN_OPEN.fid-263630a9_1861df6f7ba_2d6c,2385,"Gebouwen, woonhuizen",Oudegracht 30C ,,31027,RM,Rijksmonument,POINT (136469.658 456393.837)
MONUMENTEN_ADRESSEN_OPEN.fid-263630a9_1861df6f7ba_2d6d,2386,"Gebouwen, woonhuizen",Oudegracht 32 ,,16903,RM,Rijksmonument,POINT (136470.218 456391.56)
MONUMENTEN_ADRESSEN_OPEN.fid-263630a9_1861df6f7ba_2d6e,2386,"Gebouwen, woonhuizen",Oudegracht 32 BS,,16903,RM,Rijksmonument,POINT (136470.479 456390.153)
MONUMENTEN_ADRESSEN_OPEN.fid-263630a9_1861df6f7ba_2d6f,2387,"Gebouwen, woonhuizen",OUDEGRACHT  0035,"Het tweebeukige pand is zes traveeën breed en bestaat thans uit drie bouwlagen, kelders, werfkelders en een zadeldak met zeer flauwe helling.

Het 17de-eeuwse pand werd in 1905 grondig verbouwd, waarbij de kapverdieping tot derde bouwlaag werd gemaakt en de huidige kap werd aangebracht. Op de begane grond in een achterkamer bevindt zich een rococo-stucplafond.

Het casco van het pand is van bouwhistorisch belang.
",3440716,GM,Gemeentelijk monument,POINT (136426.928506722 456366.439177188)
MONUMENTEN_ADRESSEN_OPEN.fid-263630a9_1861df6f7ba_2d70,2391,"Gebouwen, woonhuizen",Oudegracht 41 ,,36489,RM,Rijksmonument,POINT (136435.082 456351.234)
MONUMENTEN_ADRESSEN_OPEN.fid-263630a9_1861df6f7ba_2d71,2391,"Gebouwen, woonhuizen",Oudegracht 41 BS,,36489,RM,Rijksmonument,POINT (136435.054 456349.801)
MONUMENTEN_ADRESSEN_OPEN.fid-263630a9_1861df6f7ba_2d72,2391,"Gebouwen, woonhuizen",Oudegracht 41 BSA,,36489,RM,Rijksmonument,POINT (136435.029 456348.366)
MONUMENTEN_ADRESSEN_OPEN.fid-263630a9_1861df6f7ba_2d73,2393,"Gebouwen, woonhuizen",Oudegracht 43 ,,36490,RM,Rijksmonument,POINT (136434.859 456343.619)
MONUMENTEN_ADRESSEN_OPEN.fid-263630a9_1861df6f7ba_2d74,2393,"Gebouwen, woonhuizen",Oudegracht 43 BS,,36490,RM,Rijksmonument,POINT (136434.822 456342.301)
MONUMENTEN_ADRESSEN_OPEN.fid-263630a9_1861df6f7ba_2d75,2394,"Gebouwen, woonhuizen",Oudegracht 44 ,,31029,RM,Rijksmonument,POINT (136475.035 456360.222)
MONUMENTEN_ADRESSEN_OPEN.fid-263630a9_1861df6f7ba_2d76,2394,"Gebouwen, woonhuizen",Oudegracht 44A ,,31029,RM,Rijksmonument,POINT (136475.153 456358.798)
MONUMENTEN_ADRESSEN_OPEN.fid-263630a9_1861df6f7ba_2d77,2395,"Gebouwen, woonhuizen",Oudegracht 45 ,,36491,RM,Rijksmonument,POINT (136434.929 456337.819)
MONUMENTEN_ADRESSEN_OPEN.fid-263630a9_1861df6f7ba_2d78,2395,"Gebouwen, woonhuizen",Oudegracht 45 BS,,36491,RM,Rijksmonument,POINT (136434.997 456336.391)
MONUMENTEN_ADRESSEN_OPEN.fid-263630a9_1861df6f7ba_2d79,2395,"Gebouwen, woonhuizen",Oudegracht aan de Werf 45 ,,36491,RM,Rijksmonument,POINT (136441.102 456332.755)
MONUMENTEN_ADRESSEN_OPEN.fid-263630a9_1861df6f7ba_2d7a,2396,"Gebouwen, woonhuizen",Oudegracht 46 ,,31030,RM,Rijksmonument,POINT (136475.56 456355.509)
MONUMENTEN_ADRESSEN_OPEN.fid-263630a9_1861df6f7ba_2d7b,2396,"Gebouwen, woonhuizen",Oudegracht 46A ,,31030,RM,Rijksmonument,POINT (136475.684 456353.935)
MONUMENTEN_ADRESSEN_OPEN.fid-263630a9_1861df6f7ba_2d7c,2396,"Gebouwen, woonhuizen",Oudegracht 46B ,,31030,RM,Rijksmonument,POINT (136475.803 456352.358)
MONUMENTEN_ADRESSEN_OPEN.fid-263630a9_1861df6f7ba_2d7d,2396,"Gebouwen, woonhuizen",Oudegracht 46C ,,31030,RM,Rijksmonument,POINT (136475.911 456350.761)
MONUMENTEN_ADRESSEN_OPEN.fid-263630a9_1861df6f7ba_2d7e,2397,"Gebouwen, woonhuizen",Oudegracht 47 ,,36492,RM,Rijksmonument,POINT (136435.276 456331.619)
MONUMENTEN_ADRESSEN_OPEN.fid-263630a9_1861df6f7ba_2d7f,2397,"Gebouwen, woonhuizen",Oudegracht 47 BS,,36492,RM,Rijksmonument,POINT (136435.364 456330.191)
MONUMENTEN_ADRESSEN_OPEN.fid-263630a9_1861df6f7ba_2d80,2398,"Gebouwen, woonhuizen",Oudegracht 48 ,,31031,RM,Rijksmonument,POINT (136476.09 456347.907)
MONUMENTEN_ADRESSEN_OPEN.fid-263630a9_1861df6f7ba_2d81,2398,"Gebouwen, woonhuizen",Oudegracht 48A ,,31031,RM,Rijksmonument,POINT (136478.934412251 456346.919683351)
MONUMENTEN_ADRESSEN_OPEN.fid-263630a9_1861df6f7ba_2d82,2398,"Gebouwen, woonhuizen",Oudegracht 48B ,,31031,RM,Rijksmonument,POINT (136480.297849529 456347.154758743)
MONUMENTEN_ADRESSEN_OPEN.fid-263630a9_1861df6f7ba_2d83,2398,"Gebouwen, woonhuizen",Oudegracht 48C ,,31031,RM,Rijksmonument,POINT (136481.708301885 456347.248788901)
MONUMENTEN_ADRESSEN_OPEN.fid-263630a9_1861df6f7ba_2d84,2401,"Gebouwen, woonhuizen",Oudegracht 55 ,,36494,RM,Rijksmonument,POINT (136436.106 456296.451)
MONUMENTEN_ADRESSEN_OPEN.fid-263630a9_1861df6f7ba_2d85,2401,"Gebouwen, woonhuizen",Oudegracht 55A ,,36494,RM,Rijksmonument,POINT (136436.106 456296.451)
MONUMENTEN_ADRESSEN_OPEN.fid-263630a9_1861df6f7ba_2d86,2401,"Gebouwen, woonhuizen",Oudegracht 55B ,,36494,RM,Rijksmonument,POINT (136436.106 456296.451)
MONUMENTEN_ADRESSEN_OPEN.fid-263630a9_1861df6f7ba_2d87,4172,"Gebouwen, woonhuizen",Kromme Nieuwegracht 14 ,,36220,RM,Rijksmonument,POINT (136970.415479301 456049.784859576)
MONUMENTEN_ADRESSEN_OPEN.fid-263630a9_1861df6f7ba_2d88,4172,"Gebouwen, woonhuizen",Kromme Nieuwegracht 14A ,,36220,RM,Rijksmonument,POINT (136971.191208467 456049.361734576)
MONUMENTEN_ADRESSEN_OPEN.fid-263630a9_1861df6f7ba_2d89,4172,"Gebouwen, woonhuizen",Kromme Nieuwegracht 14B ,,36220,RM,Rijksmonument,POINT (136972.037458467 456049.150172076)
MONUMENTEN_ADRESSEN_OPEN.fid-263630a9_1861df6f7ba_2d8a,4172,"Gebouwen, woonhuizen",Ambachtstraat 1 ,,36220,RM,Rijksmonument,POINT (136971.896416801 456056.83694291)
MONUMENTEN_ADRESSEN_OPEN.fid-263630a9_1861df6f7ba_2d8b,746,"Gebouwen, woonhuizen",Drift 1 ,,36090,RM,Rijksmonument,POINT (136909.111 456093.527)
MONUMENTEN_ADRESSEN_OPEN.fid-263630a9_1861df6f7ba_2d8c,747,"Gebouwen, woonhuizen",Drift 3 ,,36091,RM,Rijksmonument,POINT (136914.07 456103.175)
MONUMENTEN_ADRESSEN_OPEN.fid-263630a9_1861df6f7ba_2d8d,750,"Gebouwen, woonhuizen",Drift 8 ,,36104,RM,Rijksmonument,POINT (136916.49 456293.965)
MONUMENTEN_ADRESSEN_OPEN.fid-263630a9_1861df6f7ba_2d8e,751,,Drift 9 ,,514247,RM,Rijksmonument,POINT (136914.435 456163.411)
MONUMENTEN_ADRESSEN_OPEN.fid-263630a9_1861df6f7ba_2d8f,751,,Nobelstraat 2B ,,514247,RM,Rijksmonument,POINT (136933.885 456145.613)
MONUMENTEN_ADRESSEN_OPEN.fid-263630a9_1861df6f7ba_2d90,751,,Nobelstraat 2A ,,514247,RM,Rijksmonument,POINT (136927.352 456147.002)
MONUMENTEN_ADRESSEN_OPEN.fid-263630a9_1861df6f7ba_2d91,753,"Gebouwen, woonhuizen",Drift 13 ,,36093,RM,Rijksmonument,POINT (136917.201 456182.537)
MONUMENTEN_ADRESSEN_OPEN.fid-263630a9_1861df6f7ba_2d92,754,"Gebouwen, woonhuizen",Drift 15 ,,36094,RM,Rijksmonument,POINT (136920.089 456194.61)
MONUMENTEN_ADRESSEN_OPEN.fid-263630a9_1861df6f7ba_2d93,756,"Gebouwen, woonhuizen",Drift 19 ,,36096,RM,Rijksmonument,POINT (136925.852 456227.859)
MONUMENTEN_ADRESSEN_OPEN.fid-263630a9_1861df6f7ba_2d94,757,"Gebouwen, woonhuizen",Drift 21 ,,36097,RM,Rijksmonument,POINT (136928.624 456248.154)
MONUMENTEN_ADRESSEN_OPEN.fid-263630a9_1861df6f7ba_2d95,759,"Gebouwen, woonhuizen",Drift 25 ,,36099,RM,Rijksmonument,POINT (136931.636 456271.088)
MONUMENTEN_ADRESSEN_OPEN.fid-263630a9_1861df6f7ba_2d96,761,"Gebouwen, woonhuizen",Drift 29 ,,36100,RM,Rijksmonument,POINT (136939.455 456339.974)
MONUMENTEN_ADRESSEN_OPEN.fid-263630a9_1861df6f7ba_2d97,4204,"Gebouwen, woonhuizen",Lange Lauwerstraat 22 ,,450437,RM,Rijksmonument,POINT (136516.187 456446.109)
MONUMENTEN_ADRESSEN_OPEN.fid-263630a9_1861df6f7ba_2d98,416,"Gebouwen, woonhuizen",Boothstraat 14 ,,36028,RM,Rijksmonument,POINT (136845.574 456334.047)
MONUMENTEN_ADRESSEN_OPEN.fid-263630a9_1861df6f7ba_2d99,417,"Gebouwen, woonhuizen",Boothstraat 17 ,,36021,RM,Rijksmonument,POINT (136857.974 456327.695)
MONUMENTEN_ADRESSEN_OPEN.fid-263630a9_1861df6f7ba_2d9a,442,"Gebouwen, woonhuizen",Breedstraat 1 ,,36031,RM,Rijksmonument,POINT (136601.362 456332.258)
MONUMENTEN_ADRESSEN_OPEN.fid-263630a9_1861df6f7ba_2d9b,445,"Gebouwen, woonhuizen",Breedstraat 5 ,,450364,RM,Rijksmonument,POINT (136608.035 456333.507)
MONUMENTEN_ADRESSEN_OPEN.fid-263630a9_1861df6f7ba_2d9c,447,"Gebouwen, woonhuizen",Breedstraat 10 ,,46942,RM,Rijksmonument,POINT (136597.881 456354.681)
MONUMENTEN_ADRESSEN_OPEN.fid-263630a9_1861df6f7ba_2d9d,447,"Gebouwen, woonhuizen",Breedstraat 10A ,,46942,RM,Rijksmonument,POINT (136596.449 456354.455)
MONUMENTEN_ADRESSEN_OPEN.fid-263630a9_1861df6f7ba_2d9e,447,"Gebouwen, woonhuizen",Breedstraat 10B ,,46942,RM,Rijksmonument,POINT (136596.449 456354.455)
MONUMENTEN_ADRESSEN_OPEN.fid-263630a9_1861df6f7ba_2d9f,447,"Gebouwen, woonhuizen",Breedstraat 10C ,,46942,RM,Rijksmonument,POINT (136596.449 456354.455)
MONUMENTEN_ADRESSEN_OPEN.fid-263630a9_1861df6f7ba_2da0,447,"Gebouwen, woonhuizen",Breedstraat 10D ,,46942,RM,Rijksmonument,POINT (136596.449 456354.455)
