Leveranciers;7000 - Huisvesting overig;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7310 - Verhuizen;7410 - Verwerven en afstoten;7-Huisvesting
ANP - Algemeen Nederlands Persbureau;;1;;;;1
Antea (vh Oranjewoud, Save);;5;;;;5
Anticimex (vh ISS Hygiene Services);;1;;;;1
Aon Nederland;;3;;;;3
APF International;;;;;6;6
Aprisco;;;;;6;6
Aqua + Sprinklersystemen;;6;;;;6
Aquaco;;2;;;;2
AquaServa B.V.;;3;;;;3
Arcadis (incl. Prc./Bouwcentrum, Alkyon);;7;;;;7
Archikon B.V.;;1;;;;1
Architectenbureau Cepezed;;6;;;;6
Architectenbureau Fritz;;3;;;;3
Architectenbureau K2;;2;;;;2
Architectuur Lokaal;;2;;;;2
Archivolt Architecten;;2;;;;2
ARNHEM REAL ESTATE NETHERLANDS B.V.;;;;;1;1
ARS Grafische Producties & Communicatie;;;;;2;2
Artgineering Maatschap;;3;;;;3
Artiestenverloningen;;1;;;;1
Arup/Dgmr Het Nieuwe Rijksmuseum;;3;;;;3
Arup/Van Heugten Het Nieuwe Rijksmuseum;;6;;;;6
Arval Bnp Paribas Group;;;;;6;6
Asbest & Combi Services;;1;;;;1
ASB-Security;;1;;;;1
ASR Verzekeringsgroep;;;;;6;6
Assa Abloy (incl. Crawford, Cardo, Albany, Besam, Lips);;1;;;1;2
Asset Management Consultancy;;1;;;;1
Assist Archiefverzorging Gouda;;3;;;;3
At Osborne;;3;;;;3
Atal Meettechniek;;1;;;;1
Atelier 010;;2;;;;2
Atelier Davidowitz;;1;;;;1
Atelier Terhorst;;1;;;;1
Atelier van Zijderveld;;1;;;;1
ATPI Group (incl. The Advanced Travel Partner, ATP Corporate Travel, ATP Event Experts, ATP Groups & Incentives);;1;;;;1
Automatic Signal Rijsenhout;;4;;;;4
Avex;;1;;;;1
Aviapartner Cargo;;;;;4;4
Avic;;2;;;;2
AVVH Adviesbureau voor Veilig Voedsel & Hygiene;;1;;;;1
AXIS HOLDING B.V.;;;;;4;4
B&A Groep;;1;;;;1
B&G Hekwerk;;2;;;;2
B&S Vastgoed Nederland;;;;;7;7
B.B.V. BURO BOUWTOEZICHT VAN VOORTHUIZEN;;2;;;;2
Bacol Ventilatie;;2;;;;2
Bakers Architekten;;1;;;;1
Ballast Nedam;;2;;;;2
Balmoral International Land;;3;;;7;7
Bam (incl. Interflow);;9;;;5;9
Barlow Bar & Restaurant / Lafayette Cafe / Tilkema;;1;;;;1
Bartels Ingenieurs voor Bouw;;2;;;;2
Barten Bouwbedrijf;;1;;;;1
Barthen Rioleringswerken (incl. Riool.nl);;1;;;;1
Basalt Bouwadvies;;4;;;;4
Base Consultancy;;4;;;;4
Bava Lichtarchitectuur;;1;;;;1
BBA - Bouwkundige Begeleidingen Adviesgroep;;2;;;;2
BBA Bureau Voor Bouwhistorie & Architectuur;;1;;;;1
BBC Bouwmanagement;;4;;;;4
BBCI Frijwijk;;1;;;;1
BBM Restauratiearchitectuur;;2;;;;2
BBN Adviseurs;;2;;;;2
BCM Consultancy;;1;;;;1
BCN Business Centre Nederland;;1;;;;1
BCT ARCHITECTEN,INGENIEURS EN ADVISEURS;;2;;;;2
BDA Groep (incl. BDA Geveladvies, BDA Dakadvies, BDA Onderbouw en BDA Zonne-energie);;3;;;;3
BDG (Bureau De Gruyter, BDG Tech. Admin. Diensten);;1;;;;1
BDZ4Eurojust;;5;;;;5
Beekink Raadgevend Ingenieursbureau;;3;;;;3
Beijaard Bouwbegeleiding & Vormgeving;;1;;;;1
Bejan Bouw en Adviesbureau;;1;;;;1
BELEGGINGSMAATSCHAPPIJ VAN LANDSCHOOT B.V.;;;;;3;3
BenR Adviseurs voor duurzaamheid B.V.;;1;;;;1
Berenschot Groep (incl. HB, KSG, Mazars Berenschot);;2;;;4;4
Berg van den Bouwrecht Adviesbureau;;2;;;;2
Berlage Brasserie;;1;;;;1
Best Western Hotels;;1;;;;1
Bestdeal Factors (incl. Solid Factors);;4;;;;4
Beverwijkse Bazaar;;1;;;;1
Bierman Henket Architecten;;6;;;;6
Bilderberg Hotels;;1;;;;1
Biltz Bouw en Onderhoud;;1;;;;1
BIM Media;;1;;;;1
Bitter en Zoet Hotel Restaurant;;1;;;;1
BJ Projectmanagement;;3;;;;3
Blauwdruk Redactie/Vormgeving;;1;;;;1
Bloot Architecture;;2;;;;2
Blossom Bloemisterij;;1;;;1;1
Blossom Café-Restaurant;;1;;;;1
Bluwaco Nederland B.V.;;1;;;;1
BME Asbest Consult;;3;;;;3
Boag;;1;;;;1
Bobcat Media;;1;;;;1
BOEKWEIT VASTGOED BEHEER B.V.;;;;;3;3
Boerhof Projectinrichting Heeten;;4;;;;4
Boerman Architectenbureau Bna;;3;;;;3
Boersema Installatie Adviseurs;;2;;;;2
Boks Brandpreventie;;1;;;;1
Bollenstreek Totaalbouw B.V.;;3;;;;3
Bomen Service International;;2;;;;2
Bonenkamp Techniek en Handel;;2;;;;2
Boogaart Almere;;6;;;;6
Booms & Kuipers Technisch Adviesbureau;;2;;;;2
Boost Business innovation;;2;;;;2
Boot Organiserend Ingenieursburo;;2;;;;2
Bordewijk Advies;;1;;;;1
Bos en Alkemade Architecten;;2;;;;2
Bosch en Slabbers;;1;;;;1
Bosland Adviesbureau;;1;;;;1
bouAd Adviesgroep (vh Nebest);;4;;;;4
Bouwbedrijf Wessels Rijssen;;3;;;;3
Bouwconsulting;;;;;4;4
Bouwfonds Office Value Fund;;;;;8;8
BouwMan;;2;;;;2
Bouwmeester Boomverzorging;;2;;;;2
Bouwstart;;4;;;;4
Bouwwerk-Adviesbureau Voor Architectuur-, Bouw- en Cultuurhistorie;;2;;;;2
BPF - Bouwinvest Office Fund;;;;;8;8
BPSI - Brand- en Preventie Service Instituut;;1;;;;1
Brabant Water;;1;1;;;1
Brakel Interieurgroep (incl. Anso);;1;;;;1
Brands Bouwgroep;;1;;;;1
Brands Compart Montage;;2;;;;2
Bredenoord Aggregaten;;2;;;;2
Breedveld & Schröder;;7;;;;7
Breevast Vastgoed Exploitatie;;;;;6;6
Breijer Bouw en Installatie, Contractonderhoud, Elektrotecniek, Technisch Beheer;;7;;;;7
Broersma B.V. Ingenieursbureau voor Beton- en Staalkontrukties;;1;;;;1
Brondool;;1;;;;1
Brongers Bouw;;;;;2;2
Broomans Ingenieursbureau;;2;;;;2
Bruggink Samenwerking;;1;;;;1
Bruynzeel Storage Systems;;;;;1;1
BTB Organisatie;;2;;;;2
BTL (incl. Advies, Bomendienst, Realisatie);;2;;;;2
BUDDINGH NATUURSTEEN VEENENDAAL B.V.aL;;2;;;;2
BUFFEL CONSULTANCY;;2;;;;2
Buiteveld Bouwbedrijf;;6;;;;6
Bureau Veritas;;2;;;;2
Bureau Voor Bouwhistorisch Onderzoek;;1;;;;1
Bureau Voor Bouwhistorisch Onderzoek en Restauratie K.C. van den Ende;;5;;;;5
Bureau Voor Toegepast Historisch Onderzoek Drs E.F.T.Vink;;1;;;;1
bureau ZWIRT;;4;;;;4
Burgraadt Gebouwen;;;;;3;3
Burgt & Strooij V.D. Bouw-En Restauratiebedrijf;;3;;;;3
Burgy Bouwbedrijf;;5;;;;5
Buro Dsb;;2;;;;2
Buro Voor Bouwkunde Theo de Haan;;2;;;;2
Business Translation Services;;1;;;;1
Buster Bouwcontrole;;2;;;;2
B-Vak;;3;;;;3
BVVC - Buro Voor Visuele Communicatie;;3;;;;3
BWT Nederland (vh Christ Holland);;1;;;;1
C.S.R. Handelsonderneming;;3;;;;3
C4Id Interieurarchitecten;;1;;;;1
CAG Consult Air Group;;4;;;;4
CAOP - Centrum Voor Arbeidsverhoudingen Overheidspersoneel;;2;;;;2
CapitalP;;1;;;;1
Carbon6;;;;;6;6
Caro Interim Management;;3;;;;3
Casimir;;1;;;;1
Cauberg-Huygen Raadgevende Ingenieurs;;1;;;;1
CBRE (incl. CB Richard Ellis, ING REIM);;5;;;;5
Cedric Consult;;2;;;;2
Cegelec;;5;;;;5
Centendo;;1;;;;1
Centraal Bureau Bouwbegeleiding;;5;;;;5
Centurio;;1;;;;1
Chalet Group;;2;;;7;7
CHALET V B.V.;;;;;6;6
Circustheater;;1;;;;1
Cito Repro;;1;;;;1
Climaintenance;;1;;;;1
Co2 Servicepunt (incl. DWA Installatie- en Energieadvies);;2;;;;2
CO-Education B.V.;;2;;;;2
Coenradie Ingenieursbureau;;1;;;;1
Cofely (incl. Kalibra, GTI, Fabricom Oil, en Axima Services);;8;;;;8
Colour Digital;;1;;;;1
Colt International;;2;;;;2
Combiwerk;;2;;;;2
ComVest Consultancy;;2;;;;2
Concorde Group;;1;;;;1
Conserduc-Renofors B.V.;;1;;;;1
Consol;;1;;;;1
Constructie Bureau De Prouw;;1;;;;1
Consumentenbond;;;;;5;5
Containexx;;;;;2;2
Control Energy Services;;1;1;;;1
Convoi;;1;;;;1
COOPERATIEVE VISAFSLAG DEN OEVER U.A.;;;;;1;1
Copex Air Cargo, Air, Movers&Packers;;1;;;;1
Copijn Boomspecialisten;;3;;;;3
Corio, Hoog Catharijne;;;;;3;3
Cornelissen Aannemingsbedrijf;;6;;;;6
Cornisol Fireprotection B.V.;;2;;;;2
Cosource;;6;;;;6
Costprom Projectmanagement;;1;;;;1
COT Advies;;1;;;;1
Crown Intern Transport;;1;;;;1
Crown Point;;;;;5;5
Crux Engineering;;2;;;;2
Cruz Y Ortiz Amsterdam;;6;;;;6
CSO Adviesbureau voor Milieu onderzoek;;3;;;;3
CSU Schoonmaak (vh. City Service);;4;;;;4
CT Consultancy;;1;;;;1
Cuisine Royale;;1;;;;1
Cushman & Wakefield;;;;;3;3
CV Vastgoed Ankerplaats;;;;;6;6
D/L Real Estate K15 Zaandam;;;;;6;6
Da Ponte;;1;;;;1
Daad Architecten;;4;;;;4
Dalhuisen Olie;;1;;;;1
Dalkia Dbu Gebouwenbeheer;;1;;;;1
Dam & Partners Architecten;;2;;;;2
DareTronics Services;;1;;;;1
Dassen Bouw;;7;;;;7
DAT.Mobility (vh Goudappel, Omnitrans International);;2;;;;2
DBSgroep;;;;;4;4
DC16;;;;;9;9
De Alliantie Amsterdam;;;;;4;4
De Architekten Cie;;4;;;;4
De Bak Stg/Café;;1;;;;1
De Bosman Bedrijven;;4;;;;4
De Combi Groep;;4;;;;4
De Comme;;6;;;;6
De Deventer Steenhouwerij;;1;;;;1
De Dijk B.V. Sloop- & Isolatiebedrijf;;2;;;;2
De Enk Groen & Golf B.V.;;6;;;;6
De Fretes Beheer B.V.;;2;;;;2
De Groot & Visser;;6;;;;6
De Houtarts Onderzoekt, Adviseert & Begeleidt;;1;;;;1
De Jager Totaal;;5;;;;5
de Jong Gortemaker Algra architecten en ingenieurs B.V.;;2;;;;2
De Jongh Schildersbedrijf;;1;;;;1
De Koepel Integraal Beheer;;6;;;;6
De Kunstrijders;;1;;;;1
De Meeuw Oirschot;;3;;;3;4
De Persgroep (incl. PCM, De Volkskrant, Het Parool, Trouw, Algemeen Dagblad, Perscombinatie);;1;;;;1
De Raad Vastgoed;;1;;;;1
De Raat Security Products;;;;;1;1
De Stadskwekerij;;1;;;;1
De Vest Elektrotechnisch Aannemingsbedrijf;;1;;;;1
De Vlieg Techniek;;5;;;;5
De Vos Bedrijfsdiensten;;4;;;;4
De vries Brandbeveiliging B.V.;;1;;;;1
De Vries en Verburg Bouwbedrijf;;7;;;;7
De Vroome Advies;;1;;;;1
De Waal Beheer o.g. Utrecht;;1;;;;1
De Wilde Bouwbureau en Aannemingsbedrijf;;4;;;;4
De Witte Dame;;;;;3;3
De Zwart Bouwbedrijf;;1;;;;1
Debie & Verkuijl tuinarchitecten BNT buro voor tuin en parkrestauratie;;2;;;;2
Debuco Advies;;1;;;;1
Deerns Raadgevende Ingenieurs;;7;;;;7
Dehullu Projekt (Dehullu Sign Sytems);;1;;;;1
DEKKER HOUT VASTGOED B.V.;;;;;4;4
Dekker Zevenhuizen;;1;;;;1
Dekker-Struik Installatietechniek;;;;;1;1
Dela;;;;;6;6
DELSTUC FA. STUCADOORSBEDRIJF;;2;;;;2
Delta Comfort;;1;;;;1
Delta Cultureel Stichting;;2;;;;2
Delta Energy;;;7;;;7
Delta Lloyd;;;;;6;6
Delta Vorm Groep B.V.;;2;;;;2
Deltametropool;;2;;;;2
Den Helder Airport;;;;;1;1
Denekamper Metaalindustrie;;2;;;;2
Denkstof;;2;;;;2
Dennenheuvel Restaurant Hotel Conferentie;;;;;6;6
Desso;;2;;;;2
Devenco;;1;;;;1
DGI Dak & Gevel Ingenieurs;;3;;;;3
DGMR Raadgevend Ingenieurs (incl. Bouw, Industrie en Milieu, Software);;4;;;;4
DHW Service;;1;;;;1
Diacarb;;1;;;;1
Diederendirrix;;1;;;;1
Dijkman Carbaat Bouw;;2;;;;2
Dijkoraad Raadgevend Ingenieursbureau;;7;;;;7
Dijkoraad Viavesta;;2;;;;2
Dijkxhoorn Bouw;;6;;;;6
Direct Payrolling B.V.;;2;;;;2
Dirkzwager Advocaten & Notarissen;;;;;1;1
Districon;;2;;;;2
DJM Bedrijfsdiensten;;1;;;;1
DocumentenWacht (incl. MuseumWacht);;1;;;;1
Doen Evenementen;;1;;;;1
Doepel Strijkers Architects;;2;;;;2
Dof Master Fund Ii;;;;;7;7
DOF Vastgoed Kantoren;;;;;9;9
Donker Holding (incl. Donkergroen);;1;;;;1
DONKERS PROJECTEN B.V.;;1;;;;1
Doornebal Interieurs;;5;;;;5
Dorigo Wierper;;1;;;;1
Double 2;;1;;;;1
Double U Building;;;;;5;5
DOUMA BOUWKUNDIG ADVIESBURO VOF;;2;;;;2
DPC Dutch Property Company Rembrandt;;;;;7;7
Draisma Aannemingsbedrijf;;5;;;;5
Drecomm;;1;;;;1
DRES MASTER FUND II;;;;;4;4
Dröge Bureau voor Bouwhistorie;;2;;;;2
Dros Schoonmaakdiensten B.V.;;1;;;;1
Drost Technisch Beheer B.V.;;1;;;;1
DSS - De Swart Services;;5;;;;5
Dtz Zadelhoff;;3;;;6;6
Du Prie Bouw & Ontwikkeling;;4;;;;4
DUIJTS ADVISEURS B.V.;;5;;;;5
Duin Vastgoed;;;;;2;2
Duits-Nederlandse Windtunnels Stichting /Deutsch-Niederländische Windkanäle Stiftung;;2;;;;2
Dunea (Duinwaterbedrijf Zuid-Holland);;2;4;;;5
Duo2;;5;;;9;9
Dura Vermeer;;8;;;;8
Dutch Property Company Vermeer 5;;;;;3;3
Dutch Spring / Verschoor Fd;;1;;;;1
Dynatherm;;2;;;;2
Eaton;;2;;;;2
Ebatech Ingenieursbureau;;2;;;;2
Ecosmart;;1;;;;1
Ede Asbestverwijdering;;1;;;;1
Eemshaven Properties;;;;;2;2
Efectis Nederland;;2;;;;2
EFPC European Fire Protection Consultants;;2;;;;2
EGM Architecten;;4;;;;4
Eib - Economisch Instituut Voor De Bouw;;2;;;;2
Eik bouwadvies;;1;;;;1
Eindhoven Airport;;;;;2;2
Electrolux Professional;;1;;;;1
ELEGAST BEHEER;;;;;5;5
Elro Dakbedekkingbedrijf ;;1;;;;1
Else.Com;;2;;;;2
Elseco;;1;;;;1
Elst Notarissen;;1;;;;1
EMPELEN EN VAN DIJK GROENVOORZIENINGEN;;2;;;;2
En4S Consultancy;;3;;;;3
Eneco (incl. Utiliq, Vaney, Joulz);;7;8;;;8
Enerdeco;;1;;;;1
Enerflex Energiesystemen;;2;;;;2
Energiewacht;;1;;;;1
Energy Circle;;;3;;;3
Enexis (vh Essent Netwerk, At Home);;3;2;;;3
Engelsman Hoveniers;;1;;;;1
ENKHUIZER (E.A.B.) B.V. AANNEMERSBEDRIJF;;3;;;;3
ENKZICHT RESTAURATIEATELIER;;2;;;;2
Ensing;;1;;;;1
Epoc Nederland;;2;;;6;6
Erdi Wegbebakening, Verkeerstechniek, Constructiebedrijf;;1;;;;1
Erfgoedhuis Zuid-Holland;;1;;;;1
Ergolift;;2;;;;2
ESSENSTAM LOON- EN GRONDVERZETBEDRIJF;;1;;;;1
Essent Energie;;2;;;;1
Esveld @ Work B.V.;;2;;;;2
ETV Groep Beheer;;;;;5;5
Eureko Achmea Group (incl. Achmea Vastgoed);;;;;7;7
Eurlicon;;2;;;;2
Eurofins C-Mark;;3;;;;3
Euromate (vh Plymovent, Lucom);;2;;;;2
Eurosafe Solutions;;5;;;;5
EusebiusBS;;;;;7;7
Evenhuis,Inspectie & Adviesbureau;;4;;;;4
Evers Partners Raadgevend Ingenieursburo;;1;;;;1
Evides Waterbedrijf;;1;;;;1
Exience;;2;;;;2
EXPLOITATIE DWARSTOCHT 6 ZAANDAM B.V.;;;;;3;3
Fa Boelot;;1;;;;1
Fabrications;;1;;;;1
Facilicom Facility Solutions;;6;;;7;7
Facility Service;;4;;;;4
Falck Group;;2;;;;2
Fepa Horeca (Le Hathor);;1;;;;1
File2Share;;2;;;;2
Filosoof;;2;;;;2
Fire Safety 4 You;;4;;;;4
Firejob;;2;;;;2
Firesol B.V.;;1;;;;1
Firma van Es Boomverzorging;;3;;;;3
First Service Business Events;;1;;1;;1
Fixet (incl. Grottendieck);;;;;1;1
FlameQ B.V.;;2;;;;2
Flanderijn & Bakhuis Gerechtsdeurwaarders;;;1;;;1
Flek Studio;;1;;;;1
Flier Boomverzorging;;2;;;;2
Floc Restaurant;;1;;;;1
Floor Installatietechniek;;3;;;;3
Floriaan;;2;;;;2
Florie Makelaardij;;;;;2;2
FN2 B.V.;;;;;7;7
Folkers Vos & Creman;;2;;;;2
Formabouw;;5;;;;5
Formenta Wego;;1;;;1;1
Forteck Sloop en Infra;;2;;;;2
FOTEX NETHERLANDS B.V.;;;;;7;7
Fotopersbureau PhotoPress Images (Pedro Sluiter);;1;;;;1
Frisia Makelaars;;2;;;;2
Fudura;;2;;;;2
Fugro (incl. EcoPlan, Aerial Mapping, Ingenieursbureau, Inpark);;2;;;;2
G4S Beveiliging (incl. Group 4, Securicor, Falck, Hacousto, Ricas);;1;;;;1
Galjema Technisch Adviesbureau;;3;;;;3
GEA POLACEL COOLING TOWERS B.V.;;1;;;;1
Gebr. van der Tol;;2;;;;2
Gehlen Zonwering;;1;;;;1
Geocomfort;;2;;;;2
Gerco Beveiligingen;;2;;;;2
Gerlok;;;;;1;1
Gerritse Ijzerwaren (inc Isero);;;;;1;1
Geste Beheer- en Exploitatiemaatschappij B.V.;;;;;4;4
Geven Wegenbouwbedrijf;;1;;;;1
Gielissen;;1;;;;1
Glashandel Ariba;;1;;;;1
Glashandel Koelewijn B.V.;;1;;;;1
GMS Groenendijk Microfilm en Scanservice;;1;;;;1
Goede Speelsystemen;;1;;;;1
Gooisch Stofzuiger Centrum;;1;;;;1
Gorissen Installatie Advies;;1;;;;1
Goudstikker-De Vries Ingenieursbureau Voor Bouwtechniek;;2;;;;2
Gouweloos Elektrotechniek;;7;;;;7
GPT Halverton (Dutch Active Fund PropCo);;;;;7;7
Graafstra Staalconstructie;;4;;;;4
Green Point Solutions B.V.;;4;;;;4
Green Power Nederland;;2;;;;2
Green Village Stichting;;2;;;;2
Groeneveld Catering;;1;;;;1
Groeneveld Sign Systems;;1;;;;1
Groen-Totaal;;2;;;;2
Groningen Airport Eelde;;;;;2;2
Grontmij;;7;;;;7
Groothandelsgebouwen;;;;;6;6
Grosfeld van der Velde Architecten;;3;;;;3
GrownDownTown UA Coöperatie;;1;;;;1
GTEX B.V.;;1;;;;1
Gula International;;;;;5;5
Gunnebo;;7;;;;7
GVR 500 Building;;;;;7;7
H2O BOUWMANAGEMENT B.V.;;1;;;;1
Haagse Hapjes;;1;;;;1
Habelco;;;;;3;3
Hafkamp Installatietechniek;;1;;;;1
Hago Electronics;;1;;;;1
Hamer Installatietechniek;;1;;;;1
Hartman Schilders;;7;;;;7
Harvey Claire;;2;;;;2
HAVE TEN ANIK TEKTST & VERTALING;;1;;;;1
Havenbedrijf Ijmuiden;;;;;2;2
Havenbedrijf Rotterdam;;;;;4;4
Havencomplex Lauwersoog;;;;;2;2
HDW Nederland;;1;;;;1
HE Adviseurs;;4;;;;4
Hectas Bedrijfsdiensten;;5;;;;5
Heembouw Roelofarendsveen B.V.;;7;;;;7
Heezen bedrijven;;1;;;;1
Hegeman Bouw Chemie;;1;;;;1
Hegeman Plus B.V.;;7;;;;7
Heijkoop Zwaartransport B.V.;;1;;;;1
Heijmans (incl. NMM, Burgers Ergon, Breijn, Utiliteitsbouw, Civiel, ...);;11;;;;11
Heilijgers Bouw, Beheer en Onderhoud;;7;;;;7
Heinen Tuincentrum;;1;;;;1
Helmond van Zuidam Architecten;;1;;;;1
Hennekes Preventie en Reintegratie;;;;;1;1
HENRI CULINAIR;;1;;;;1
Heras Security Systems;;7;;;;7
Heringa van Kalsbeek;;;;;1;1
Herruer Grond- Weg- en Waterbouw;;3;;;;3
Het GeluidBuro B.V.;;2;;;;2
Het Havengebouw Amsterdam;;;1;;4;4
Het NIC - Nederlands Inkoop Centrum;;5;;;;5
Het Nieuwe Instituut (vh Niadec);;1;;;;1
Het Veldwerkbureau;;1;;;;1
Hetsen & Visschers;;1;;;;1
High Security International;;3;;;;3
Hilti Nederland;;;;;1;1
Hinke Fongers Beheer;;;;;6;6
Historic Engineering Projects;;;;;1;1
HKW ENGINEERING B.V.;;2;;;;2
HN Projects;;2;;;;2
HOD Nederland;;1;;;;1
Hoefakker Hoveniersbedrijf, Aannemingsbedrijf;;2;;;;2
Hoekstra Heerenveen B.V. Installatiebedrijf;;2;;;;2
Hof der Muzen Grand Cafe (J. Kos);;1;;;;1
Hoffman Beltrum Zutphen Bouwbedrijf;;4;;;;4
Hofstra Vastgoed;;;;;6;6
Hogeschool van Utrecht;;2;;;;2
Holtzer Bouw- en Restauratie Adviesburo;;1;;;;1
Homij;;9;;;;9
Honeywell;;7;;;;7
Hoogendoorn Boomadvies;;2;;;;2
Hoogtij Bedrijvenpark Vereniging;;2;;;;2
Hoogvliet en Zn Aannemersbedrijf;;7;;;;7
Hoorn Beleggingen;;;;;6;6
Hop B.V. Hekwerken;;1;;;;1
Horeca Adviescentrum HTC;;1;;;;1
Horstink Gebroeders Aannemingsbedrijf;;4;;;;4
Horticoop;;1;;;;1
Hospitality Design;;2;;;;2
Hostellerie Carnegie Cottage;;1;;;;1
Hotel Hengelo;;1;;;;1
Hotelcasa 400;;1;;;;1
HSH NORDBANK AG;;;;;7;7
Huisman Warmtetechniek B.V.;;2;;;;2
Human Quality Management;;2;;;;2
Huurman Aannemersbedrijf;;7;;;;7
Huurwel;;;;;4;4
Hydroscope;;2;;;;2
HydroZorg Interieurbeplanting;;2;;;;2
I.A.A. Architecten;;2;;;;2
Ibis Software (vh Brink Automatisering, KPD Automatisering);;6;;;;6
IBK Service & Onderhoud;2;;;;;2
IBS Special Projects, Consultants;;3;;;;3
ICAT Textielrestauratie;;2;;;;2
Icop;;3;;;;3
ICS Quality Cleaning;;2;;;;2
ICTroom Company;;;;;7;7
ID Bouwen van Architectuur;;4;;;;4
ID Ware International;;3;;;;3
Ief Capital Vastgoed Rietveld;;6;;;9;9
IF Technology;;4;;;;4
IGG BOINTON DE GROOT B.V.;;4;;;;4
Ij Kantine;;1;;;;1
Ilex Installatiemanagement;;5;;;;5
Ilionx Software Solutions;;1;;;;1
IMD International;;1;;;;1
Imming Logistics;;1;;;;1
Immolab;;1;;;;1
IMPACT INTERACTIVE SERVICES;;1;;;;1
ImProvia Projects;;1;;;;1
Imtech (incl. Radio Holland, Bostec);;9;;;;9
In den Zevende Hemel Brasserie Restaurant;;1;;;;1
In Omnibus Omnia B.V. i.o.;;7;;;;7
Inbo Adviseurs Stedenbouwkundigen;;5;;;;5
Incendio;;2;;;;2
INELEMENTS B.V.;;1;;;;1
Infrasoil;;2;;;;2
Ingenieursburo van Dorp;;2;;;;2
Innax Gebouwenmanagement;;1;;;;1
Innogreen;;1;;;;1
inNova B30 B.V. i.o.;;6;;;;6
Inpijn-Blokpoel Ingenieursbureau;;1;;;;1
Instant Apeldoorn;;;;;1;1
Institute 4 Safety;;2;;;;2
Inteco;;1;;;;1
InterBouwconsult;;1;;;;1
International Engineering Consultants For Restoration Technology;;3;;;;3
International New Town Institute Stichting;;4;;;;4
Interparking Nederland;;;;;3;3
Intersafe Groeneveld;;6;;;;6
Interswitch;;1;;;;1
Intertent;;1;;;;1
Intex Architecten;;2;;;;2
Investeren in Ruimte;;2;;;;2
IOB Ingenieursburo;;1;;;;1
Iolan;;7;;;;7
IPR Vastgoedmanagement;;2;;;;2
IRI Infrastructural Risk Inspections (Technical Inspection Services);;2;;;;2
Isolectra;;1;;;;1
ISS Holding/Cleaning services;;1;;;;1
ITN Installatietechniek;;2;;;;2
IV Groep (incl. Infra, Software, Oil&Gaz);;2;;;;2
Ivast;;;;;5;5
J.W.K. Klussenbedrijf;;2;;;;2
Jacot (incl. Jacot Audiovisueel, en Technisch Bureau Jacot);;2;;;;2
Jager Aannemersbedrijf;;6;;;;6
Jagerjanssen;;1;;;;1
je-BHV;;1;;;;1
JGK Bouwprojecten;;1;;;;1
JHA Adviesbureau BCDP B.V.;;3;;;;3
Jiu-Jiu - De Chinese Muur Restaurant ;;1;;;;1
Jobé Luikbeslag;;2;;;;2
