Leveranciers;1000 - Personele exploitatie overig;1110 - Verhuiskosten personeel binnen- en buitenland;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1160 - Personeelsevenementen, bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis & verblijfskosten;Eindtotaal
Berenschot B.V.;;;;;;1;;;;1
Berenschot International B.V.;;;;;1;4;;;;4
Berkhoff Consult;;;;;;1;;;;1
Berlitz Schools of Languages B.V.;;;;;;1;;;;1
BestelBroodje.NL;;;;;;1;;;;1
Bestuursacademie Nederland B.V.;;;;;;1;;;;1
Bestuursacademie Nederland Opleidingen B.V.;;;;;;1;;;;1
Beter Horen;;;1;;;1;;;;1
'Betonvereniging';;;;;;1;;;;1
Between B.V.;;;;;;;;;1;1
Beuk Touringcars;;;;1;;;;;;1
Beurs van Berlage C.V.;1;;;;;;;;;1
Bezemer Kuiper & Schubad B.V.;2;;;;;;;;;2
BG Promotions;;;;1;;;;;;1
BijzonderStrafrecht.nl;;;;;;1;;;;1
Bilderberg Europa Hotel Scheveningen;;;;;;;;;1;1
Bilderberg Grand Hotel Wientjes;1;;;;;;;;;1
Bilderberg Hotel De Keizerskroon;;;;;;1;;;;1
Bilderberg Residence Groot Heideborgh;;;;;;1;;;1;1
Billabong Beach/Boomerang Beach;;;;1;;;;;;1
BIM Media B.V.;;;;;;1;;;;1
Binnenlands Bestuur B.V.;;;;;;1;;;;1
Bio op je bord;;;;1;;;;;;1
Bisnez Management B.V.;;;;;;1;;;;1
Bison Bowling;1;;;;;;;;;1
Bistro De Zoete Inval V.O.F.;;;;1;;;;;;1
Bizon Events B.V.;;;;1;;;;;;1
BlinkLane Consulting B.V.;;;;;;1;;;;1
BLOC;;;;;;1;;;;1
Bloembinderij De Kelk;;;;1;;;;;;1
Bloemsierkunst De Klerk B.V.;1;;;;;;;;;1
Bloemsierkunst Futura;1;;;;;;;;;1
blooming trainingsbureau B.V.;;;;;;1;;;;1
BLOSSOM bloemisterij;;;;1;;;;;;1
BodemenergieNL;;;;;;1;;;;1
Boeketcadeau.nl;;;;1;;;;;;1
Boels Verhuur Zwolle;1;;;;;;;;;1
Bokstijn Feestartikelen;;;;;;1;;;;1
bol.com B.V.;;;;1;;;;;;1
Bon Vivant B.V.;;;;1;;;;;;1
Boogh Arbeidsre-integratie;;;;;;1;;;;1
Books Unlimited V.O.F.;;;;1;;;;;;1
Boom Distributie Centrum;;;;1;;;;;;1
Boomerang Beach;;;;1;;;;;;1
Booombegeleiding;;;;;;2;;;;2
Boot 10 Amsterdam B.V.;1;;;;;;;;;1
Boot Hospitality TechKNOWlogy;;;;;;2;;;;2
Boot Varen Den Haag;;;;1;;;;;;1
Bouckaert Training & Coaching;;;;;;1;;;;1
Bouthoorn Tele-Training;;;;;;1;;;;1
Bovenkamers;;;;;;1;;;;1
Bowling Scheveningen B.V.;;;;1;;;;;;1
Bowlingcentrum Apeldoorn B.V.;1;;;;;;;;;1
Brain Box Mediatraining B.V.;;;;;;1;;;;1
Brand!;;;;;;1;;;;1
Brasserie Buitenhof;;;;1;;;;;;1
Brasserie Dendermonde;;;;1;;;;;;1
Brasserie NUL76;1;;;;;;;;;1
Brasserie Sequenza;;;;1;;;;;;1
Brasserie/Restaurant Babbilage;1;;;2;;;;;;2
Breedt Bruijn Projecten;;;;;;1;;;;1
Breinkorf;;;;;;1;;;;1
BridgeHead Strategic Sourcing Support B.V.;;;;;;1;;;;1
Bright Events;;;;1;;;;;;1
Brilmij Groep B.V.;;;1;;;;;;;1
Brouwer's Tours B.V.;;;;;;1;;;1;1
BT&CM;;;;;;1;;;;1
Buckaroo Online Payment Services;;;;;;1;;;;1
Buena Vista Beach Club;;;;1;;;;;;1
Building Business B.V.;;;;;;1;;;;1
Building G100;;;;;;1;;;;1
Buitengoed Hagenhorst Exploitatie B.V.;;;;1;;;;;1;1
Bureau 5 voor 9;;;;;;1;;;;1
Bureau G.I.T.;;;;;;1;;;;1
Bureau Greven;;;;;;1;;;;1
bureau JETTING;;;;;;1;;;;1
Bureau Queste;;;;;;2;;;;2
Bureau Schijf, Partner in Leiderschap;;;;;;2;;;;2
Bureau Zuidema B.V.;;;;;;4;;;1;4
Burn Out Poli;;;;;;2;;;;2
Buro van Oranje;;;;;;1;;;;1
Business Talen Rotterdam B.V.;;;;;;1;;;;1
BuzzMaster B.V.;;;;1;;;;;;1
C.V. Rosarium Wokrestaurant Westbroekpark;;;;1;;;;;;1
CAD Accent B.V.;;;;;;1;;;;1
Café Berger B.V.;;;;;;1;;;;1
Café de Bank;;;;1;;;;;;1
Café 'De Kleine Witte';;;;1;;;;;;1
Café Restaurant Rootz B.V.;1;;;2;;;;;;2
Café Van Beek;;;;1;;;;;;1
Café van Miltenburg;;;;1;;;;;;1
Cafe/Restaurant De Eeuwige Jachtvelden;;;;1;;;;;1;1
Campanile Hotel Zwolle;1;;;;;;;;;1
Canal Company B.V.;1;;;;;;;;;1
Cans B.V.;;;;;;3;;;;3
CAOP;;;;;;1;;;;1
Capgemini Academy;;;;;;1;;;;1
Capgemini Nederland B.V.;;;;;;2;;;;2
Capital Driver;;;;;;;;;1;1
CapitalP B.V.;;;;;;1;;;;1
Capo Cucina;1;;;;;1;;;;1
Carlton Beach;;;;;;;;;1;1
Carlton Beach Club;;;;;;;;;1;1
Carlton Hotels Nederland B.V.;;;;;;1;;;;1
Carpe Diem Events;;;;1;;;;;;1
Catering Lokaal B.V.;;;;;;3;;;;3
CB Facturatie B.V.;;;;1;;;;;;1
Center For Organizational Performance B.V.;;;;;;1;;;;1
Centraal Boekhuis B.V.;;;;;;1;;;;1
Centre de Cours Alliance Française de La Haye;;;;;;1;;;;1
Centre for Generative Leadership B.V.;1;;;;;;;;;1
Centrum Quadraat;;;;;;;;;1;1
Centrum voor Conflicthantering B.V.;;;;;;2;;;;2
CFO Consult;;;;;;1;;;;1
Cha House B.V.;;;;;;;;;1;1
Chin. Ind. Restaurant De Lange Muur/Zen's Wok;;;;1;;;;;;1
Choco-Paradijs;;;;1;;;;;;1
Choy Consultants B.V.;;;;;;1;;;;1
Christelijke Hogeschool Ede;;;;;;1;;;;1
Christelijke Hogeschool Windesheim;;;;;;4;;;;4
Ciao! Ciao! B.V.;;;;1;;;;;;1
CIBIT Adviseurs/Opleiders;;;;;;2;;;1;2
Ciep Personal Quality and Results;;;;;;2;;;;2
CIOnet Nederland B.V.;;;;;;;;;1;1
Cityhotel Exploitatie B.V.;;;;;;;;;1;1
C-Kracht;;;;;;1;;;;1
Claire Werkt!;;;;;;2;;;;2
Click;;;;;;1;;;;1
Cloos;;;;1;;;;;;1
Cloose;;;;1;;;;;;1
Clown Snorre;1;;;1;;;;;;1
CLS Computertrainingen;;;;;;1;;;;1
Club Foos;;;;1;;;;;;1
CM Partners B.V.;;;;;;1;;;;1
Coach Company;;;;;;1;;;;1
CoCon Coaching & Consultancy;;;;;;2;;;;2
Coffee Culture;;;;1;;;;;;1
COGEN PROJECTS B.V.;;;;;;1;;;;1
Collabó B.V.;;;;;;2;;;;2
Collective Talent Company;;;;;;1;;;;1
Combining Cultures;;;;;;1;;;;1
Compacon & Partners B.V.;;;;1;;;;;;1
Company Sandwich;;;;1;;;;;;1
COMPAREX Nederland B.V.;;;4;;;2;;;;5
Compu'Train;;;;;;1;;;;1
Computrain Opleidingen;;;;;;1;;;;1
Compu'Train Opleidingen B.V.;;;;;;1;;;;1
Concorde Group B.V.;;;;1;;;;;;1
Conducto Opleidingen B.V.;;;;;;1;;;;1
Congresbureau KIVI;;;;;;;;;1;1
Connecting Business Club;;;;;;1;;;;1
ConQuaestor Academy B.V.;;;;;;1;;;;1
Conquaestor B.V.;;;;;;2;;;;2
Construction Media B.V.;;;;;;;;1;;1
Consulo B.V.;;;4;;;;;;;4
Contrasticon B.V.;;;;;;1;;;;1
Corael Opleidingen;;;;;;1;;;;1
Corinor Organisatieontwikkeling B.V.;;;;;;2;;;;2
CornerStone Consultants B.V.;;;;;;1;;;;1
Corpus Experience Beheer B.V.;;;;1;;;;;;1
Cotica HRM advies;;;;;;1;;;;1
Country Hotel De Broeierd;;;;;;;;;1;1
Crazy Piano's Scheveningen B.V.;;;;;;;1;;;1
Crisislab;;;;;;1;;;;1
Crisisplan B.V.;;;;;;1;;;;1
CrMatch B.V.;;;;;;1;;;;1
Crow B.V.;;;;;;1;;2;;2
Crown Electric Records;;;;;;1;;;;1
CS Opleidingen B.V.;;;;;;1;;;;1
CSC Computer Sciences;;;;;;2;;;;2
CT2 B.V.;;;;;;1;;;;1
Culpepper B.V.;;;;1;;;;;;1
Cursor voor Ondernemingsraden B.V.;;;;;;1;;;;1
CVA Informatica Opleidingen B.V.;;;;;;1;;;;1
D.A.B. Special service;;;;;;;;;1;1
Dataland B.V.;;;;;;1;;;;1
De Appelboom;;;;;;1;;;;1
De Argumentenfabriek B.V.;;;;;;1;;;;1
De Argumentenfabriek Denkacademie B.V.;;;;;;1;;;;1
De Baak B.V.;;;;;;4;;;1;4
de baaningenieurs;;;;;;1;;;;1
De Beiaard Eet- en Proeflokaal;1;;;;;;;;;1
De Bijenkorf;;;;1;;;;;;1
De Boer & Ritsema van Eck;;;;;;1;;;;1
De Boomkamer;;;;1;;;;;;1
De Bouwwinkel;;;;;;1;;;;1
De Bruijn Advies;;;;;;1;;;;1
De Correspondent B.V.;;;;;;1;;;;1
De Corridor;;;;1;;;;;;1
De drie ringen;;;;1;;;;;;1
De Federatie B.V.;;;;;;2;;;;2
De Galan Groep B.V.;;;;;;1;;;;1
De Gouden Wok B.V.;;;;1;;;;;;1
De Gouden Wok Zuiderpark;;;;1;;;;;;1
De Graaf Van Vlaanderen B.V.;1;;;;;;;;;1
De Grooth Vervoer;;;1;;;;;;;1
De Heeren van Liemeer;1;;;;;;;;;1
De Heeren Van Suylichem B.V.;1;;;;;;;;;1
De Hoofdzaken;;;;;;1;;;;1
De Horeca Academie Zakelijk B.V.;;;;1;;;;;;1
De Japanse Watertuin B.V.;;;;1;;;;;;1
De Javaanse Vlam;;;;1;;;;;;1
De Kleyne Sint Jacob;;;;1;;;;;;1
De Knegt & Leeflang B.V.;;;;1;;;;;;1
De Kookfabriek Amsterdam B.V.;;;;;;1;;;;1
De Kookfabriek Den Haag B.V.;1;;;1;;;;;;1
De kookstudio van Zwolle;;;;1;;;;;;1
De Kwartiermakers Huub Janssen;;;;;;1;;;;1
De L'espoir;;;;;;1;;;;1
De Lof der Zotheid (Breitner);;;;1;;;;;;1
De Lunchboxx;1;;;1;;;;;;1
De Nederlands-Vlaamse Bouwfysica Vereniging;;;;;;1;;;;1
De Nieuwe Stad B.V.;;;;;;2;;;;2
De Reiger;;;;;;1;;;;1
De Rijtuigenloods B.V.;2;;;;;;;;;2
De Roo Taxi B.V.;;;;;;;;;1;1
De Ruijter Strategie B.V.;;;;;;1;;;;1
De Schenker;;;;1;;;;;;1
De Smelt B.V.;;;;1;;;;;;1
De Spijker B.V.;1;;;;;;;;;1
De Streng;;;;1;;;;;;1
De Toekomstbus;;;;;;1;;;;1
De Tuinkamer;;;;;;1;;;;1
De Vlaggenproducent B.V.;;;;1;;;;;;1
De Vreugd Consultancy;;;;;;1;;;;1
De Watertuin Holding B.V.;;;;1;;;;;;1
De Wijkplaats B.V.;;;;;;1;;;;1
De Winkel van Sinkel B.V.;;;;1;;;1;;;1
De Witte Vosch B.V.;;;;;;1;;;;1
De Zus van Tante Til!;;;;1;;;;;;1
De Zwarte Vosch B.V.;;;;1;;;;;;1
Debatrix;;;;;;2;;;;2
DéBlé-Venlo;1;;;;;;;;;1
Decora;;;;1;;;;;;1
Defensiemusea Stichting;;;;;;2;;;;2
Dekkers & van Amersfoort B.V.;;;;1;;;;;;1
Dekxels B.V.;;;;1;;1;;;;1
Delftse Sportvereniging CONCORDIA;;;;1;;;;;;1
Deloitte Consulting B.V.;;;;;;1;;;;1
Delta 3;;;;1;;;;;;1
Delta Hotel B.V.;;;;;;;;;1;1
Delta International Promotioneel B.V.;;;;;;1;;;;1
Deltion College Stichting;;;;;;1;;;;1
Dendy B.V.;;;;1;;;;;;1
Denk Producties B.V.;;;;;;1;;;;1
Denkschets.nl;;;;;;1;;;;1
Detron Telecom Enterprise;;;;;;2;;;;2
Devoteam Nederland B.V.;;;;;;1;;;;1
DFG;;;;;;1;;;;1
DGB B.V.;;;;;;1;;;;1
Die Port van Cleve;;;;;;;;;1;1
Digiforce B.V.;;;;1;;;;;;1
Digital Action;;;;;;1;;;;1
Diner Thuis;;;;1;;1;;;;1
Dining56;1;;;;;;;;;1
Discountoffice.nl B.V.;;;;1;;;;;;1
Ditverzinjeniet.nl;;;;1;;;;;;1
d'n Hut;;;;1;;;;;;1
Docos Tafeltennis;;;;1;;;;;;1
Domino's Pizza Torenstraat;;;;;;;1;;;1
Domino's Pizza Voorburg;;;;1;;;;;;1
Domstad Evenementen B.V.;1;;;;;;;;;1
Donkergroen B.V.;1;;;;;;;;;1
Door de Wind Advies B.V.;;;;;;1;;;;1
Dopper;;;;1;;;;;;1
Dos Mundos;;;;;;;;;1;1
Dosha Ayurvedische Praktijk Bergstraat;;;;;;1;;;;1
Double Healix Educational Media B.V.;;;;;;1;;;;1
Double U Facility;;;;;;1;;;;1
DoubleTree by Hilton Hotel A'dam Centr. Stat.;;;;;;;;;1;1
Douwe Egberts Professional Netherlands B.V.;1;;;;;;;;;1
DownUnderBeach Events;;;;1;;;;;;1
Doxis;;;;;;1;;;;1
DPA Finance B.V.;;;;;;;;;1;1
DSP-Groep B.V.;;;;;;2;;;;2
Dudok Den Haag B.V.;1;;;1;;;;;;1
DuizendpootPercussie;;;;;;1;;;;1
Duodecima;;;;;;1;;;;1
Dusecon;;;;;;2;;;;2
Duthler Associates;;;;;;1;;;;1
DynaVision B.V.;;;;;;2;;;;2
Easy Ergonomics B.V.;;;1;;;;;;;1
Ebbinge & Company;;;;;;2;;;;2
Echte Bakker Keurhorst;1;;;;;;;;;1
E-Democracy B.V.;;;;;;1;;;;1
Eden Oranje Hotel B.V.;;;;;;;;;1;1
Edi van Gelder training en coaching;;;;;;2;;;;2
EDV Holding B.V.;;;;;;1;;;;1
EEN! B.V.;;;;1;;;;;;1
Eerst doen, dan denken;;;;;;1;;;;1
Eetcafé Lokaal Duinoord;;;;1;;;;;;1
EHM Hotel Breda B.V.;1;;;;;;;;;1
EHP Exploitatie Hotel De Veluwe B.V.;;;;;;;;;1;1
EHP Exploitatie Hotel De Wipselberg B.V.;;;;;;;;;1;1
Elektroraad Opleidingen B.V.;;;;;;1;;;;1
Element Catering;;;;1;;;;;;1
Elycio Talen B.V.;;;;;;1;;;;1
Encounter;;;;;;1;;;;1
Enneagram Nederland;;;;;;1;;;;1
ENTERTAINIT!;;;;;;1;;;;1
Entopic B.V.;;;;;;1;;;;1
EPC;;;;;;1;;;;1
Epiphany Mindfulness;;;;;;1;;;;1
EPI-USE B.V.;;;;;;1;;;;1
Equrion Services B.V.;;;;;;;;1;;1
Ergatis B.V.;;;1;;;1;;;;1
Ergonomie Opleidingen Nederland;;;;;;1;;;;1
Ermé;;;;;;1;;;;1
ESAA;;;;;;1;;;;1
Esri Nederland;;;;;;2;;;;2
ESSENZA;;;;;;1;;;;1
Eten & Zo Zoetermeer B.V.;1;;;1;;;;;;1
Eten en zo...;;;;1;;;;;;1
Etop;;;;;;1;;;;1
Etuconsult;;;;;;2;;;;2
Euroforum;;;;;;2;;;;2
European Language Centre B.V.;;;;;;1;;;;1
European Leadership Platform B.V.;;;;;;1;;;;1
European Management Development Centre;;;;;;2;;;;2
EURS B.V.;;;;;;1;;;;1
Evite Services B.V.;;;;;;3;;;;3
EVW Creations;;;;1;;;;;;1
eX:plain;;;;;;1;;;;1
Expereans Financiële Diensten B.V.;;;3;;;;;;;3
Explainit Company;;;;;;1;;;;1
Exploitatie Maatschappij De Nieuwe Poort B.V.;;;;;;2;;;;2
Exploitatie Maatschappij Komfort B.V.;1;;;;;;;;;1
Exploitatie Schimmelpenninckhuys B.V.;1;;;;;;;;1;1
Exploitatiemaatschappij Hotel Naarden B.V.;;;;;;;;;2;2
Exploitatiemij. Grand Hotel Karel V B.V.;1;;;;;1;;;;1
Expo Display Service;;;;1;;;;;;1
Fabius Opleidingen B.V.;;;;;;1;;;;1
Face Two B.V.;;;;;;3;;;;3
Facility Service;;;;;;;1;;;1
Family Naarden-Vesting Cafetaria Brasserie;1;;;;;;;;;1
FaMo;;;;;;1;;;;1
Fashion Hotel Amsterdam B.V.;;;;;;;;;2;2
Federatie NVB;;;;;;;;1;;1
Fepa Horeca B.V.;;;;1;;;;;;1
Festina Lente;;;;1;;;;;;1
Fine Fresh Food;;;;1;;;;;;1
Firebrand Training BeNeLux B.V.;;;;;;1;;;;1
Firma Hof der Muzen;;;;1;;;;;;1
Firma Quakernaat;;;;1;;;;;;1
Firoozi Food B.V.;;;;1;;;;;;1
First Choice Events;;;;1;;;;;;1
First Priority Music;;;;1;;;;;;1
First Service B.V.;1;;;;;;;;;1
Fish & Meat B.V.;;;;1;;;1;;;1
Fitland Groep B.V.;;;;;;;;;1;1
Fletcher Hotel Paleis Het Stadhouderlijk Hof;;;;;;;;;1;1
Fletcher Hotel Restaurant Apeldoorn;;;;;;;;;1;1
Fletcher Hotel-Restaurant De Zeegser Du;;;;;;;;;1;1
Fleurtiek Amsterdam B.V.;;;;1;;;;;;1
Flex Project Service;;;;;;2;;;;2
Flirt Incompany;;;;;;1;;;;1
FloraHolland;1;;;;;;;;;1
Flowers4u;;;;1;;;;;;1
Focus Conferences B.V.;;;;;;2;;;;2
Fontana Resort Bad Nieuweschans;;;;;;;;;1;1
Foodzie;;;;;;1;;;;1
For Conference B.V.;;;;;;1;;;;1
Fort Voordorp B.V.;;;;2;;;;;;2
Fortune Factory B.V.;;;;1;;;;;;1
Forzes;;;;;;1;;;;1
Frame B.V.;;;;;;1;;;;1
Franke Interim Management B.V.;;;;;;1;;;;1
Frankwatching;;;;;;1;;;;1
Freedom Scientific Benelux B.V.;;;1;;;;;;;1
FREZON;;;;1;;;;;;1
Friends of the Brands B.V.;;;;1;;;;;;1
Fruitful Office Nederland B.V.;;;;1;;;;;;1
Fujitsu Technology Solutions B.V.;;;;;;;;;1;1
Full House Casino's;;;;1;;;;;;1
Future Produkties;;;;1;;;;;;1
Gaertner Ergonomische Meubelen B.V.;;;1;;;;;;;1
Gajes in de Bajes;;;;1;;;;;;1
Gartner Nederland B.V.;;;;;;2;;;;2
Gasterij De Gelegenheid;;;;1;;;;;;1
Gastheeren Catering & Events;;;;;;1;;;;1
Gastvrijheid & Meer;;;;;;1;;;;1
Gattopardo;;;;;;1;;;;1
gefeliciTAART B.V.;;;;1;;;1;;;1
Gemaco B.V.;;;;1;;;;;;1
Geoplan Nederland B.V.;;;;;;1;;;;1
George Royal B.V.;;;;1;;;;;;1
Geschenkbezorgen.nl B.V.;1;;;1;;;;;;1
Geschenkbezorgen.nl BV;;;;1;;;;;;1
Get Events;;;;;;;1;;;1
GIOIA Consultancy;;;2;;;;;;;2
GITP;;;;;;2;;;;2
GITP Training & Opleiding B.V.;;;;;;2;;;;2
GL events World Forum Convention Center B.V.;;;;2;;;;;;2
Global Knowledge Network Netherlands B.V.;;;;;;1;;;;1
Global Project Performance;;;;;;1;;;;1
Golden Elephant;;;;1;;;;;;1
Golden Palace;;;;1;;;;;;1
Gommers Wijnimport;;;;1;;;;;;1
Gooische Catering;;;;1;;;;;;1
GradusGroep B.V.;;;;;1;1;;;;2
Grand Café Carras;1;;;;;;;;;1
Grand Café De Wildeman Eindhoven B.V.;1;;;;;;;;;1
Grand Cafe Lubeck;1;;;1;;;;;;1
Grand Kasteel Woerden;;;;;;1;;;;1
Grandcafé De Wens B.V.;;;;1;;;;;;1
Grandcafé restaurant Opium;1;;;;;;;;;1
Granny's Corner;1;;;1;;;;;;1
Greenbean;;;;1;;;;;;1
GreenHorse Holding B.V.;;;;;;1;;;;1
Grieks Specialiteitenrestaurant Athene Palace;;;;1;;;;;;1
Grieks Specialiteitenrestaurant Parthenon;;;;1;;;;;;1
Groenendijk Bedrijfskleding B.V.;1;;;;;;;;;1
Groeneveld Horeca B.V.;1;;;;;;;;;1
Groengrijs;;;;;;;;;1;1
Grontmij Nederland B.V.;;;;;;2;;;;2
Groote Sociëteit Haagsche Club-Plaats Royaal;;;;1;;;;;;1
GroupSupport.com B.V.;;;;;;1;;;;1
Gusto Mangia e Bevi;;;;1;;1;;;;1
