Rijlabels;1110 - Verhuiskosten personeel (binnen- en buitenland);1120 - Arbeidsomstandigheden en personele zorg (incl. BHV middelen);1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Studie en opleiding;1160 - Personeelsevenementen, - bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis en verblijfkosten;Eindtotaal
Amazing Bread Company B.V.;;;1;;;;;;1
Ambitious;;;1;;;;;;1
Ambrosijn;;;1;;;1;;;1
Amersfoort Express;;;;;;1;;;1
Amsterdamse Mod.-Kunsthandel 'D' Eendt' B.V.;;;;;;1;;;1
Andriessen & Partners B.V.;;;1;;;1;;;1
Angela Ramautar-Badloe;;;;;;;;1;1
Anita van Rijzen;;;1;;;;;1;1
Anna Snel;;;;;1;;;;1
Anne Reitsma Fotografie;;;1;;;;;;1
Anneke Slijfer Massage;;;1;;;;;;1
Annemarie Willems Producties;;;1;;;;;;1
Annet Brinkhuis Opleidingen;;;;;1;;;;1
Annette Polderman;;;1;;;;;;1
Anunz;;1;;;;;;;1
AO Contact Group;;;;;;;1;;1
Appel B.V.;;;;;;;;1;1
Arbeids Psychologie Amsterdam;;;;;1;;;;1
Architectuurcentrum Aorta;;;1;;;;;;1
ArchiXL B.V.;;;;;1;;;;1
Arendshorst Giethoorn;;;1;;;1;;;1
Arjen Meijer;;;1;;;;;;1
Arnauld Geschenken B.V.;;;1;;;;;;1
Array Media B.V.;;;;;1;;;;1
Arriva Personenvervoer Nederland B.V.;;;;;;1;;;1
Art of Events;;;1;;;;;;1
Arte per due B.V.;;;1;;;;;;1
Artihove Regina B.V.;;;1;;;1;;;1
Arvid&Marie;;;;;1;;;;1
Atelier de Pleijsterplaats;;;1;;;;;;1
Athene Palace B.V.;;;1;;;1;;;1
Atlantic Hotel Exploitatie B.V.;;;;;1;;;;1
Atos Nederland B.V.;;;;;1;;;;1
Attractieverhuurwagenborgen;;;1;;;1;;;1
Aunikom;;;;;1;;;;1
Autonomica;;;;;1;;;;1
Avex B.V.;;;1;;;;;;1
AVK Training & Coaching;;;;;1;;;;1
Avontuurfabriek;;;1;;;;;1;1
B. Venderik;;;1;;;;;1;1
B.V. Boekhandel Godert Walter;;;1;;;;;;1
B.V. Gulpener Bierbrouwerij;;;1;;;;;;1
B.V. Perscentrum Nieuwspoort;;;1;;;1;;;1
B.V. Val & S;;;;;1;;;;1
B+B Vakmedianet B.V.;;;;;1;;;;1
Baarle Outdoor & Leisure;;;1;;;;;;1
Babel;;;;;1;;;;1
BAB-VIOS Touringcars B.V.;;;1;;;;;;1
Bake My Day Groningen;;;;;;;;1;1
Bakker Bogers;;;1;;;;;;1
Bakkerij Beukeveld B.V.;;;1;;;1;;;1
Bakkerij C.J. van Kempen;;;1;;;;;;1
Balkanrestaurant MacedoniÎ;;;1;;;1;;;1
Bambu;;;;;1;;;;1
Banketbakkerij Arnold Cornelis B.V.;;;1;;;;;;1
Banketbakkerij Boheemen;;;1;;;1;;;1
Banketbakkerij Borgman;;;1;;;;;1;1
Banketbakkerij Jan de Groot;;;1;;;;;;1
Banketbakkerij Maison Kelder B.V.;;;1;;;;;;1
Banketbakkerij Theo Blom V.O.F.;;;1;;;;;;1
Banketbakkerij-Partyservice Van den Berg;;;1;;;;;;1
Barbara Suijkerbuijk;;;1;;;;;;1
Barborossa Beach BV;;;1;;;1;;;1
Barlow;;;1;;;;;;1
Bar-Restaurant Imono;;;1;;;1;;;1
Bas Retail B.V.;;1;1;;;1;;;1
Basaal 2.0;;;1;;;;;;1
Basarz;;;1;;;;;;1
BCN B.V.;;;;;1;;;;1
Beach Club TWINS;;;1;;;1;;;1
Beachclub Copacabana B.V.;;;1;;;;;;1
Becht Consultancy;;;;1;;;;;1
Bedrijvenvereniging WEST;;;;;1;;;;1
Belarto International B.V.;;1;;;;;;;1
Ben Meij Tweewielers;;;1;;;;;;1
BenN Groep B.V.;;;1;;;1;;;1
Benner Kaap Hoorn Exploitatie B.V.;;;1;;;1;;;1
Bernadette Berg;;;1;;;;;;1
Bernstorff B.V.;;;1;;;1;;;1
Beroepsvereniging Vide;;;;;1;;;;1
Bert Hellinger Instituut Nederland;;;;;1;;;;1
Bert Kwant;;;1;;;;;;1
Beterinhetzadel;;;;;1;;;;1
Big Street Steakhouse;;;;;1;;;;1
Bij Floor;;;1;;;;;;1
Bij Maud uitjes Tilburg;;;;;;1;;;1
Bilder B.V.;;;1;;;;;;1
BIMformaat;;;;;1;;;;1
Bindje;;;;;1;;;;1
Binnenlands Bestuur B.V.;;;;;1;;;;1
Binn'npret;;;1;;;1;;;1
Binoq B.V.;;;;1;;;;;1
Birds of the West Indies B.V.;;;;;1;;;;1
Bistro Basta;;;1;;;1;;;1
Bitcare B.V.,;;;1;;;;;;1
BitesWeLove;;;;;1;;;;1
Bizzdesign Academy B.V.;;;;;1;;;;1
Block & Barrels B.V.;;;1;;;1;;;1
Bloem Den Haag;;;1;;;1;;;1
Bloembinderij All Seasons;;;1;;;;;;1
Bloemsierkunst Artisjok;;;1;;;;;;1
Blom Haptotherapie;;;;;1;;;;1
BLOSSOM bloemisterij;;;1;;;1;;;1
Blue Lagoon;;;1;;;1;;;1
Bluedesk CRM B.V.;;;;;1;;;;1
Bob van der Heijden Sport B.V.;;;1;;;;;;1
BodyMindLanguage;;;;;1;;;;1
Boerhof Projectinrichters;;1;;;;;;;1
bol.com B.V.;;1;1;;1;1;;;1
Bolleboos Online;;1;;;;;;;1
Bon Lunchlevering;;;1;;;;;;1
Bongo Belevenisbon;;;1;;;;;;1
Bonne Consult;;;;;1;;;;1
Booming Productions;;;;;1;;;;1
Boost Events;;;1;;;;;;1
Boosty I B.V.;;;1;;;;;;1
Boot Varen Den Haag;;;1;;;;;;1
Bos & Bos catering;;;1;;;1;;;1
Bos & Bos GAE B.V.;;;1;;;1;;;1
Bos & Bos Infoversum B.V.;;;1;;;1;;;1
Boubtax;;;;;;;;1;1
Bouckaert Training & Coaching;;;;1;1;;;;1
Boulevardtrein;;;1;;;;;;1
Boutiquehotel The Roosevelt;;;;;;;;1;1
Bouwcombinatie DUO2 V.O.F.;;;1;;;;;;1
Bouzy;;;1;;;;;;1
Bowling- & Partycentrum Groningen B.V.;;;1;;;1;;;1
Bowling en Party Centrum Breda;;;1;;;;;;1
Bowling en partycentrum Restaurant Suyderoogh;;;1;;;1;;;1
Bowling Scheveningen B.V.;;;1;;;1;;;1
Brabants Lederwarenhuis 's-Gravenhage B.V.;;1;1;;;;;;1
Braber Winkels B.V.;;;1;;;;;;1
BraIn B.V.;;;;;1;;;;1
Bram en Aagie;;;;;1;;;;1
Branchever. Maatschappelijke Kinderopvang;;;1;;;;;;1
Brand ID;;;;;1;;;;1
Brasserie Groen;;;1;;;1;;;1
Brasserie Midi;;;1;;;1;;;1
Brasserie Soho B.V.;;;1;;;1;;;1
Break Free Fun Company;;;1;;;1;;;1
Break-Out Gruno Park B.V.;;;1;;;1;;;1
Brenda Boele Buitencoaching;;;;1;;;;;1
Brenda den Boer;;;1;;;;;;1
Brezo-Elan B.V.;;;1;;1;;;;1
Bries;;;;;1;;;;1
Bright Events;;;;;1;;;;1
Brinkhuis Management & Advies B.V.;;;;;1;;;;1
British Council;;;;;1;;;;1
British Language Training Centre B.V.;;;;;1;;;;1
Broekies Entertainment Group Bunnik;;;1;;;1;;;1
Bronzeandmore;;;1;;;;;;1
Brouwerij Martinus;;;1;;;1;;;1
Brouwerij Maximus B.V.;;;1;;;;;;1
BR-Platform Nederland;;;;;1;;;;1
Bruker Nederland B.V.;;;;;1;;;;1
Brutaal Communicatie B.V.;;;;;1;;;;1
Buckshot;;;1;;;1;;;1
Buiten in de Kuil B.V.;;;;;;1;;;1
Buitensport Reactief;;;1;;;1;;;1
Buog;;;1;;;;;;1
Bureau Aan Zet;;;;;1;;;;1
Bureau Cato;;;;;1;;;;1
Bureau Overleren;;;;;1;;;;1
Bureau Sense;;;;;1;;;;1
Bureau Veritas Industrial Services;;;;;1;;;;1
Bureau VTV;;;;;1;;;;1
Bureau Zuidgeest;;;;;1;;;;1
Bureau Zuijdgeest Taalvaardigheidstrainingen;;;;;1;;;;1
Buro Rood;;;;;1;;;;1
C.C.O.M. Choice Consultancy Option Maker;;;;;1;;;;1
C.I.C. Company B.V.;;;;;1;;;;1
C.J.M. Klaassen;;;;;1;;;;1
C.P.M. Theunissen;;1;;;;;;;1
C.V. La Galleria Plein;;;1;;;;;;1
C4Media Inc;;;;;1;;;;1
Cadeau Pakje in;;;;;1;;;;1
Cadeaubonnen.nl B.V.;;;1;;;1;;;1
Caf√© de Bak B.V.;;;1;;;;;;1
Caf√© De Bazel B.V.;;;1;;;;;;1
Caf√© de Kale Jonker;;;1;;;1;;;1
Caf√© De Sigaar;;;1;;;1;;;1
Caf√© du Midi B.V.;;;1;;;1;;;1
Caf√© Restaurant Rootz B.V.;;;1;;;;;;1
Caf√© Willem B.V.;;;1;;;;;;1
Caf√©-Restaurant De Plantage B.V.;;;1;;;;;;1
Caf√É¬© De Klikspaan;;;1;;;1;;;1
Caf√É¬© Singelier;;;1;;;1;;;1
CafÈ de Drie Uiltjes;;;1;;;1;;;1
CafÈ de Oude Wacht;;;1;;;1;;;1
Cafe J&A;;;1;;;1;;;1
CafÈ Restaurant De Biechtstoel;;;1;;;1;;;1
Cafe Restaurant Vandaag B.V.;;;1;;;;;;1
Cafe/Restaurant De Eeuwige Jachtvelden;;;1;;;;;;1
CafÈ-Restaurant Amier;;;1;;;1;;;1
CAI-Opleidingen B.V.;;;;;1;;;;1
Caja Dreuning;;;1;;;;;;1
Canon Nederland N.V.;;;;;1;;;;1
CAOP;;;;;1;;;;1
Cao-recht Advies en Opleiding;;;;;1;;;;1
Capgemini Nederland B.V.;;;;;1;;;;1
Capricio;;;1;;;1;;;1
Capriole Coffee Caf√© B.V.;;;1;;;;;;1
Cas Oomen;;;;;1;;;;1
Catering Broodje Gesmeerd;;;1;;;1;;1;1
Cavari Clinics Nederland B.V.;;1;;;;;;;1
Cave Oporto;;;1;;;1;;;1
CCS Energiemanagement B.V.;;;;;1;;;;1
Ceciel van Sante;;;;;1;;;;1
Centrum voor Kwalit. en Manag. i.d. Zorgsect.;;;;;1;;;;1
Cervantes;;;1;;;1;;1;1
Change Management BV;;;;;1;;;;1
Charlotte Gmelig Meijling;;;;;1;;;;1
Chef marketing;;;;;1;;;;1
Chin. Ind. Specialiteitenrestaurant Mandarin;;;1;;;;;;1
China Express;;;;;;;;1;1
Christelijke Hogeschool Windesheim;;;;1;1;;;;1
Ciao! Ciao! B.V.;;;1;;;1;;;1
CIBIT Adviseurs/Opleiders;;;;;1;;;;1
CIBT Netherlands;;;;;;;;1;1
CiEP Personal Quality and Results B.V.;;;;;1;;;;1
Cinetree B.V.;;;1;;;;;;1
Citadel;;;;;1;;;;1
Cityhotel Exploitatie B.V.;;;;;;;;1;1
Citylife B.V.;;;1;;;1;;;1
CKO De Herberg B.V.;;;1;;;;;;1
Cloose;;;1;;;1;;;1
Clou;;;;;1;;;;1
CLOUD/Danslab;;;;;1;;;;1
CLS Computertrainingen;;;;;1;;;;1
CM Partners B.V.;;;;;1;;;;1
Co√∂peratie Academic Transfer UA;;;;1;;;;;1
Co√∂peratie De Betekenaar UA;;;;;1;;;;1
Coach to coach B.V.;;;;;1;;;;1
Coachboulevard B.V.;;;;;1;;;;1
Coachen in contact;;;;;1;;;;1
Coaching in Organisaties;;;;;1;;;;1
CoConEd;;;;;;;;1;1
Cogitans;;;;;;;;1;1
College of Multimedia;;;;;1;;;;1
College van Orgeladviseurs Nederland;;;1;;;;;;1
Colorado Charlie;;;1;;;;;;1
Colourful People B.V.;;;;1;;;;;1
Communicatief Tekst & Training;;;;;1;;;;1
Communicatiefestival;;;;;1;;;;1
Company Care Network;;1;;;;;;;1
Compuact opleidingen;;;;;1;;;;1
Compu'Train Opleidingen B.V.;;;;;1;;;;1
Conam-Cont.gr. Autom. en Motorrijwielhistorie;;;;;;;;1;1
Conducto Opleidingen B.V.;;;;;1;;;;1
Conferentieoord 'De Poort' B.V.;;;;;1;;;;1
Coniche IN Consultancy & Projects;;;;;1;;;;1
Content Strategy B.V.;;;;;1;;;;1
Convertentie B.V.;;;;;1;;;;1
Coosto B.V.;;;;;1;;;;1
Corner-Stone Holding B.V.;;;;;1;;;;1
Courage Management B.V.;;;;;;;;1;1
Crazy Holding;;;1;;;1;;;1
Creative Learning;;;;;1;;;;1
Crowne Plaza Hotel Maastricht;;;;;;;;1;1
Cuisine et Culture;;;;;;;1;;1
Culinair Centrum Beverwijk;;;;;1;;;;1
Culturele Vacatures B.V.;;;;1;;;;;1
CURA Preventie B.V.;;1;;;;;;;1
D Schuiling van Oosten;;;1;;;;;;1
D&J Zijderveld V.O.F.;;;;;1;;;;1
D. Toeback B.V.;;;1;;;;;;1
Daan exploiteert B.V.;;;1;;;;;;1
Dagobert Participatie B.V.;;;1;;;;;;1
Dahab Transport;;;1;;;;;;1
DARA B.V.;;;1;;;;;;1
Dare2move;;;;;1;;;;1
DAVL;;;;1;;;;;1
De Argumentenfabriek B.V.;;;;;1;;;;1
De Baai Utrecht B.V.;;;1;;;;;;1
De Basiliek;;;1;;;1;;;1
De Belevers;;;1;;;;;1;1
De Bierelier B.V.;;;1;;;;;;1
De Bijzaeck;;;1;;;1;;;1
De Blauwe Diamant;;;;;1;;;;1
De Boerinn B.V.;;;1;;;;;;1
de Bolle Bieste;;1;;;;;;;1
De Bonte Koe B.V.;;;1;;;;;;1
De Cateringfabriek;;;;;1;;;;1
De Duiventil Groningen;;;;;;1;;1;1
De Edyssee;;;;;1;;;;1
De Franse Stap Culinair;;;1;;;;;;1
De Gezonde Zaak;;;;;1;;;;1
De Gouden Wok Zuiderpark;;;1;;;;;;1
De Hofnar Scheveningen B.V.;;;1;;;;;;1
De Jong Psycholoog voor Arbeid en Vitaliteit;;1;;1;1;;;;1
De jongens van Lucht V.O.F.;;;;;1;;;;1
De Jufferen Lunsingh V.O.F.;;;1;;;1;;;1
de Keuken van Alex;;;1;;;;;;1
De Klantcontact Monitor B.V.;;;;;1;;;;1
De Kleine Kasteleine;;;1;;;1;;;1
De Klub;;;1;;;;;;1
De Kookfabriek Utrecht B.V.;;;1;;;;;;1
De Kroon Daily Deli B.V.;;;1;;1;;;;1
De Kruidentuin;;;1;;;;;;1
De Loopbaanpraktijk;;;;;1;;;;1
De Matroos en het Meisje;;;1;;;;;;1
De Munt;;;1;;;1;;;1
De Museumvereniging;;;;;1;;;;1
De Nederlandse Token Vereniging;;;;;1;;;;1
De Onderstroom Karin Brugman;;;;;1;;;;1
De Overbuurvrouw;;;1;;;1;;;1
de Persgroep Nederland B.V.;;;1;;;;;;1
De Pier Horeca B.V.;;;1;;;;;;1
De Pijp Groningen B.V.;;;1;;;1;;;1
De Professionele Dialoog;;;;;1;;;;1
DE REE archiefsystemen;;;;;1;;;;1
De Roestenburgh;;;;;1;;;;1
De Roode Leeuw B.V.;;;1;;;1;;;1
De Roos Geschenken B.V.;;;1;;;;;;1
De Schenker B.V.;;;1;;;;;;1
De Schildhoeve B.V.;;;1;;;;;;1
De Singel Fysiotherapie;;1;;;;;;;1
De Staat van het Web BV;;;;;1;;;;1
De Sushimeisjes;;;1;;;;;;1
De Taaltrainer;;;;;1;;;;1
'De Tijd' Bedrijfskleding;;1;;;;;;;1
De Tombe Consultancy B.V.;;;;;1;;;;1
De Topografisch Historische Atlas;;;;;1;;;;1
De Vingerhoed B.V.;;;1;;;;;;1
De Waterburcht Eelde B.V.;;;1;;;1;;;1
De Werkschuur loopbaanbegeleiding en coaching;;;;;1;;;;1
De Wijnbrigade;;;1;;;;;;1
De Wilt-Cyrox Groep B.V.;;1;;;;;;;1
De Zagerij Utrecht;;;1;;;;;;1
De Zeemeeuw' Strandpaviljoen;;;1;;;1;;;1
Debat.NL B.V.;;;;;1;;;;1
Debatrix;;;;;1;;;;1
Debbie Weerts;;;1;;;;;;1
Defibrion;;1;;;;;;;1
deLex Media en Management B.V.;;;;;1;;;;1
Delft Congress Support B.V.;;;;;1;;;;1
Delta Kappa Gamma Society-Nederland;;;1;;;;;;1
Den Engh B.V.;;;1;;;;;;1
Denk Producties B.V.;;;;;1;;;;1
Dennis Cooking Place;;;1;;;1;;;1
Dental International Beheer B.V.;;;;;1;;;;1
Departyshop.nl B.V.;;;1;;;;;;1
depoorte.com;;;;;1;;;;1
DesignThinkers B.V.;;;;;1;;;;1
Deventer Buitensocieteit;;;1;;;1;;;1
Devhouse Spindle BV;;;;;1;;;;1
DFG;;;;;1;;;;1
Digital Farm;;;;;1;;;;1
Digital Optimizers B.V.;;;;;1;;;;1
Digital Power B.V.;;;;;1;;;;1
Dignitas Mediation & Conflict Management;;;;;1;;;;1
Dillenburgh Consulting;;;;;1;;;;1
Diner Thuis;;;1;;1;;;;1
Dinercaf√É¬© Diep;;;1;;;1;;;1
Dinerspel.nl;;;1;;;1;;;1
DIOR Opleidingen;;;;;1;;;;1
Discountoffice.nl B.V.;;;;;1;;;;1
DJ Zebra Entertainment;;;1;;;1;;;1
DjembÈ-mee en Hou;;;1;;;1;;;1
DOL Drama Op Locatie B.V.;;;1;;;1;;;1
Domino's Pizza Netherlands B.V.;;;1;;;1;;1;1
Domstad Evenementen B.V.;;;;;;1;;;1
Double A Exploitatie B.V.;;;1;;;1;;;1
Double Healix Lead.ship Educat. And Dev. B.V.;;;;;1;;;;1
Driessen Holding B.V.;;;1;;;;;;1
Drijkkerij v.d. Hulst - uw drukwerkspecialist;;;1;;;;;;1
Drink en Eetlokaal Proefverlof B.V.;;;1;;;;;;1
Drukkerij Comprint B.V.;;;1;;;;;;1
Drukkerij De Ballonnerie B.V.;;;1;;;;;;1
Drukkerij Jan Evers B.V.;;;1;;;;;;1
Ducktrail B.V.;;;;;;1;;;1
Dudok Den Haag B.V.;;;1;;;1;;;1
duidelijk over pensioen, Leon Kurvers;;;;;1;;;;1
'Duo' Eten & Drinken;;;1;;;;;;1
Dutch Pinball Museum;;;;;1;;;;1
Duwtje B.V.;;;;;1;;;;1
Dynatos BV;;;;;1;;;;1
E. de Jaeger;;;1;;;;;;1
E. Smit;;;1;;;;;;1
E. van Duin, huisarts;;1;;;;;;;1
E.R.J. Martens Beheer B.V.;;;;;;;;1;1
E.S. Burgler;;;;;1;;;;1
Easy Ergonomics B.V.;;1;;;;;;;1
Ebbinge & Company International Holding B.V.;;;;;1;;;;1
Ebbinge B.V.;;;;;1;;;;1
Ecabo Services;;;;;1;;;;1
ECPC;;;;;;;1;;1
Edubookers;;;;;1;;;;1
Edukans;;;;;;1;;;1
Eenden Verhuur Westland;;;1;;;;;;1
Eenkhoorn Financi√´le Dienstverlening B.V.;;;;;;1;;;1
Eet- en Drinkhuis 'De Gulzige Kater';;;1;;;1;;;1
Eetcaf?? Spinoza B.V.;;;1;;;;;;1
Eetcaf√© Het Zwarte Schaap;;;;;;;;1;1
Eetcaf√© van Miltenburg;;;1;;;;;;1
EetcafÈ de Gans B.V.;;;1;;;1;;;1
Eetcafe de Stadstuin;;;1;;;1;;;1
Eetwaar;;;1;;;1;;;1
Effectory B.V.;;;;;1;;;;1
EHBO Vereniging Castricum;;;;;1;;;;1
Eijkenaar en De Hoop;;1;;;;;;;1
Eindhoven247 B.V.;;;;;;1;;;1
EKG B.V.;;;1;;;1;;;1
E-learning training;;;;;1;;;;1
Elenchis;;;;;1;;;;1
Elias Wagenpark Advies;;;;;1;;;;1
Elycio Talen B.V.;;;;;1;;;;1
Emma Kroon;;;1;;;;;;1
Emtek Ergonomics B.V.;;1;;;;;;;1
Entopic B.V.;;;;;1;;;;1
Enva;;;;;1;;;;1
ER;;;;;1;;;;1
Erena trainingen;;;;;1;;;;1
Ergo2Go B.V.;;1;;;;;;;1
Ergonomique;;1;;;;;;;1
Erik Mathlener;;;;;1;;;;1
Ernst Sillem Hoeve B.V.;;;;;1;;;1;1
Erwin Nelissen Organisatieadvies;;;;;1;;;;1
Escape Challenge B.V.;;;1;;;1;;;1
Escape Hunt Groningen;;;1;;;1;;;1
Escape Room Scheveningen;;;1;;;;;;1
Esenso;;;;;1;;;;1
eSpecialisten B.V.;;;;;1;;;;1
Espees;;;;;1;;;;1
Estil Nederland V.O.F.;;;;;1;;;;1
E-Storage BV;;;;;1;;;;1
Eten & Co Groningen B.V.;;;1;;;1;;;1
Eten bij Werelds;;;1;;;;;;1
Etxea Restaurant;;;1;;;;;;1
Eur. Instit. voor Certified Public Controll.;;;;;1;;;;1
Eurest Services B.V.;;;;;;;;1;1
Euroborg Horeca;;;1;;;;;;1
Euroborg N.V.;;;1;;1;1;;1;1
Eurometrics;;;;;1;;;;1
Europa Nostra;;;;;1;;;;1
Europcar Autoverhuur Nederland, Den Haag;;;;;;;;1;1
European Association of Organic Geochemists;;;;;;;1;;1
European Testing Conference;;;;;1;;;;1
Evangel. School VWO HAVO VMBO-TL de Passie;;;1;;;;;;1
EVC Centrum Nederland B.V.;;;;;1;;;;1
EVO Fenedex;;;;;1;;;;1
Expertisecentrum Conflictmanagement;;;;;1;;;;1
Expertisecentrum Nederlands B.V.;;;;;1;;;1;1
Expertisenetwerk Hoger Onderwijs EHON;;;;;1;;;;1
Exploitatie De Binnenhof;;;1;;;;;;1
Exploitatie Schimmelpenninckhuys B.V.;;;;;1;;;;1
Exploitatiemij. Grand Hotel Karel V B.V.;;;1;;;;;;1
F.A. Rijpma;;1;;;;;;1;1
F2D FLK B.V.;;;1;;;;;;1
FA Kitchen;;;1;;;;;;1
Fanny Bod Com;;;;;1;;;;1
Fatoush;;;1;;;1;;;1
Feestbeestje Entertainment;;;1;;;;;;1
Feithhuis Exploitatie B.V.;;;1;;;1;;;1
Fia Sanders;;;;;1;;;;1
Fid√∫sje;;;;;1;;;;1
Fier;;;;;1;;;;1
Fietstochten Utrecht;;;1;;;;;;1
Firm Ground;;;;;1;;;;1
Firma Hof der Muzen;;;1;;;1;;;1
Five Flavors;;;1;;;;;;1
Fletcher Hotel-Restaurant D Broeierd-Enschede;;;;;;;;1;1
Flitz-Events;;;;;;1;;;1
Flonker;;;;;1;;;;1
Floor Daver - Samen Ontwikkelen;;;;;1;;;;1
Flore V.O.F.;;;1;;;;;;1
Floriana B.V.;;;;;1;;;;1
Florisgifts B.V.;;;1;;;;;;1
Flow Research;;;;;1;;;;1
FOAM-Fotografiemuseum Amsterdam;;;1;;;;;;1
Fokko Labree;;;;;1;;;;1
Forsa Advies B.V.;;;;;1;;;;1
Foto Sipkes;;;1;;;1;;;1
fotoprintXL.nl;;;1;;;;;;1
Four Rose's;;;1;;;1;;;1
FPM Advies;;;;;1;;;1;1
FQC Consultancy;;;;;1;;;;1
Frame B.V.;;;;;1;;;;1
Francissen Communicatie;;;;;1;;;;1
Frankwatching B.V.;;;;;1;;;;1
Frederik B.V.;;;1;;;;;;1
Freia Trainingen;;;;;1;;;;1
Friesland Boeit;;;1;;;1;;;1
Fruitkwekerij De Braacken;;;1;;;;;;1
FullCharge B.V.;;;;;1;;;;1
Future Earth B.V.;;;1;;;;;;1
FutureFlock;;;;;1;;;;1
Fysiotherapeutisch Centrum Palenstein;;1;;;;;;;1
G. Bakker en Zn. B.V.;;;1;;;;;;1
G.P. Poiesz B.V.;;;;;1;;;;1
G4S Training & Safety B.V.;;;;;1;;;;1
Gaby typetjes-inhuren;;;;;1;;;;1
Gajes in de Bajes;;;1;;;;;;1
Gartner Nederland B.V.;;;;;1;;;;1
Gartner Summits;;;;;1;;;;1
GasTerra;;;;1;;;;;1
Gastouderbureau Westland;;;1;;;;;1;1
Gauchos Franchise Den Haag B.V.;;;1;;;;;;1
Geberit International B.V.;;;;;1;;;;1
Gebr. Barendsen B.V.;;;1;;1;;;;1
gefeliciTAART B.V.;;;1;;;;;;1
Gelders Fanfare Orkest;;;;;1;;;;1
geodomein;;;;;1;;;;1
Gereformeerde Scholengemeenschap;;;;;1;;;;1
Gerry Schultinga;;;;;1;;;;1
Get out of here B.V.;;;1;;;;;;1
Gewoon Gouds B.V.;;;1;;;;;;1
Gezond Werken Noord Nederland;;1;;;;;;;1
Gezondheidscentra Huizen;;1;;;;;;;1
Gezondheidscentrum;;1;;;;;;;1
Gezondheidscentrum de Entree;;1;;;;;;;1
Gezondheidscentrum Lewenborg;;1;;;;;;;1
Gezondheidscentrum Oosterflank;;1;;;;;;;1
Gezondheidscentrum Oosterheem;;;;;1;;;;1
GGZ Delfland;;1;;;;;;;1
GGZ inGeest Overschiestraat;;1;;;;;;;1
GHC De Bilt;;1;;;;;;;1
Giotto Cultuurprojecten;;;;;1;;;;1
Gispen Kantoorinrichting;;1;;;;;;;1
GITP Medezeggenschap B.V.;;;;;1;;;;1
GJM Communicatie B.V.;;;;;1;;;;1
GKGoldConsultancy B.V.;;;;;1;;;;1
Global Edutainment;;;;;1;;;;1
Global Knowledge Network Netherlands B.V.;;;;;1;;;;1
Global Project Performance;;;;;1;;;;1
Glow Golf Scheveningen B.V.;;;1;;;;;;1
GN Beheer B.V.;;;;;;;1;;1
Go B.V.;;;;;1;;;;1
