Leveranciers;4000 - Diensten en middelen overig;4110 - Consumptieve diensten;4120 - Risicobeheersen;4130 - Schoonmaak;4210 - Post-, koeriers- en transportdiensten;4310 - Documentmanagement;4410 - Afvalzorgmanagement;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;4710 - Bankdiensten;4-Diensten en middelen
Brand Interieurbouw en Aannemeningsbedrijf;;;;;;;;1;;;1
Brilmij Groep;;;;;;;;;1;;1
Broek Tekst- & Dataverwerking;;;;;;1;;;;;1
Brosi Transportservice;;;;;1;;;;;;1
Bruikman Reclamestudio;1;;;;;;;;;;1
Bureau Jeugd en Media;;;;;;1;;;;;1
CB Centraal Boekhuis (incl. Facturatie);;;;;;2;;;;;2
CCV Services;;1;;;;;;;;;1
Central Point;;;;;;;;;1;;1
Chemdry;;;;1;;;;;;;1
CIBT/V&V Visumdienst;;;;;1;;;;;;1
Clever Etiketten;;;;;;;;;1;;1
Colour Digital;1;;;;;;;;;;1
Comichouse;;;;;;1;;;;;1
Conrad Electronic;;1;;;;;;;1;;1
Coolblue - Pda Shops;;;;;;;;;1;;1
Copex Air Cargo, Air, Movers&Packers;;;;;1;;;;;;1
Covra - Centr. Organ. V. Radio-Aktief Afval;;;;;;;2;;;;2
Cryo Store;;;;;;;;;1;;1
CSU Schoonmaak (vh. City Service);;;;2;;;;;;;2
CWS Nederland;;;;2;;;;;;;2
Damen van Deventer;;;;;;1;;;;;1
Data B Mailservice;;;;;;1;;;;;1
Dbf Communicatie;;;;;;3;;;;;3
De Graaf Security;;;;;;;1;;;;1
De Groot Drukkerij (incl. Het Kontakt Edities, Premere);;;;;;;;;1;;1
De Resolutie;;;;;;;;;1;;1
De Wilt Cyrox Groep;;;;;;;;;1;;1
DE.S.B. Kantoorinrichters;;;;;;;;;1;;1
Douwe Egberts;;3;;;;;;;;;3
Drentea Kantoormeubelen;;;;;;;;2;;;2
Dsa Express;;;;;2;;;;;;2
DT Duidelijke Taal Tekstproducties;;;;;;1;;;;;1
Dyzle Operations;;1;1;;1;;;;;;1
Eden Springs;;1;;;;;;;;;1
Ergonomique;;;;;1;;;;1;;1
Ese (incl. Otto Gebr);;;;;2;;;;;;2
Ese International;;;;;;;;;1;;1
Fallen Serenity Productions;;;;;;1;;;;;1
Faydherbe / De Vringer;;;;;;1;;;;;1
Fedex - Federal Express;;;;;1;;;;;;1
Fonville Bloemenboutique;;2;;1;;;;;1;;2
Frama Nederland;;;;;1;;;;;;1
G + G Holland Int. BV;;;;;;;;1;;;1
Gaetano Productions;;;;;;1;;;;;1
Gebr. De Jong Schoonmaakbedr.;;;;1;;;;;;;1
Geschenkbezorgen.nl (incl. Wijnlatenbezorgen);;1;;;;;;;;;1
Gispen International;;;;;;;;2;;;2
GLS General Logistics Systems;;;;;1;;;;;;1
GOM Schoonhouden;;;;3;;;;;;;3
Grafisch Bedrijf Tuijtel;;;;;;2;;;;;2
H.J.M. Zonderland Fotografie;;;;;;1;;;;;1
Hectas Bedrijfsdiensten;;;;1;;;;;;;1
Heden Kunst van Nu;;;;;;;;1;;;1
Hega Offset;;;;;;1;;;;;1
Heleen van Haaren Grafische Voorbereiding Begeleiding;;;;;;1;;;;;1
Het Notuleercentrum Opleidingen;;1;;;;;;;;;1
Hoenson Office Service B.V.;;;;;;1;;;;;1
Hollandse Hoogte;;;;;;2;;;;;2
Hultafors Group incl. Snickers Original;;;;;;;;;1;;1
Immano;;;;;;1;;;;;1
Impact Reporters;;;;;;1;;;;;1
Improve Quality Services;;;;2;;;;;;;2
Indomo;1;;;;;;;;;;1
Intersafe Groeneveld;;;;;;;;;2;;2
ISS Holding;;2;;6;;;;;;;6
J. BOUT&ZONEN;1;;;;;;;;;;1
Jansen-Wijsmuller & Beuns;;;;;;;;;1;;1
John's Brood & Kaas Specialiteiten;;1;;;;;;;;;1
JuRo Unirek;;;;;;;;1;;;1
Kees Kaptein Teksten;;;;;;2;;;;;2
Kent Nederland;;1;;;;;;;;;1
Koncept Nederlands Pools Vertaalbureau;;;;;;2;;;;;2
Koninklijke Fabr. Posthumus (PS Groep);;;;;;;;;1;;1
Koninklijke van der Most;;;;;;2;;;2;;3
L5 Communicatie Design;;;;;;1;;;;;1
Lakmoes Studio;;;;;;1;;;;;1
Life Safe Support;;;1;;;;;;;;1
Lijnco Speciaaldrukkerij Groningen;;;;;;1;;;;;1
Lobbes Speelgoed;;;;;;;;;1;;1
Lubron Waterbehandeling;;1;;;;;;;;;1
Lyreco Nederland (vh Ahrend Office Products);;1;;;;;;;4;;4
M.W. Bedrijfskleding;;;;;;;;;1;;1
Mansveld;;;1;;;;;;;;1
Mantext;;;;;;2;;;;;2
Manutan (vh Overtoom International);;1;;;;;;;1;;1
Marcel Uljee Teksten;;;;;;1;;;;;1
Marieke Duijsters Fotografie Studio Billie Alice;;;;;;1;;;;;1
Master Nederland;;;;;;;;;1;;1
Maurik Bedrijfsveiligheid;;;;;;;;;1;;1
MAYER-NETWORK BENELUX;;;;;;;;;1;;1
Media Point;;;;;;;;;1;;1
Medica Europe;;1;;;;;;;;;1
Meekers Medical;;;;;;;;;1;;1
Miedema Ophaaldienst;;;;;1;;;;;;1
Miele;1;;;;;;;;;;1
Minigrip;;;;;;;;;1;;1
MNX Global Logistics;;;;;1;;;;;;1
Movianto Nederland;;;;;1;;;;;;1
Multi Post Nederland;;;;;;;;;1;;1
Multimedia Baarn (De Vries & Co);;;;;;;;;1;;1
MYbusinessmedia (vh Media Business Press);;;;;;1;;;;;1
N.B. Tekst & Advies;;;;;;1;;;;;1
Nationale Beeldbank;;;;;;1;;;;;1
Ned Document Reproductie;;;;;;1;;;;;1
Nespresso Nederland;1;;;;;;;;;;1
Neuland;;;;;;;;;1;;1
NISB Ned Inst Sport en Bewegen;;;;;;;;1;;;1
Noordhoff Uitgevers (incl. Wolters-Noordhoff);;;;;;1;;;;;1
Noviprint;;;;;;;;;1;;1
Nsecure;;;1;;;;;;;;1
NSI Kantoren en Winkel;;;;1;;;;;;;1
OBT - Opmeer/De Bink/Tds - Boekdruk;;;;;;;;;1;;1
Office Depot (incl. Viking Direct, vh Guilbert);;;;;;;;;1;;1
Ogone (incl. Ingenico);;;;;;;;;;1;1
OMNILABEL BV;;;;;;;;;1;;1
Optima Forma;;;;;1;;;;2;;2
Palux Service Center;;1;;;;;;;;;1
Paperlinx (v.h. Buhrmannubbens, incl. Living Office Paper Services);;;;;;;;;2;;2
Patricia Wolf fotografie;;;;;;1;;;;;1
Pelican Rouge (vh Autobar Holland, Cafe Bar);;4;;;;;;1;;;4
Pieterson Boulangerie;;1;;;;;;;;;1
Planetenbaan Kledingreparatie & Stomerij;;;;;;;;;1;;1
PostNL (incl. TNT Post);;;;;3;;;;;;3
Prelum Uitgevers;;;;;;1;;;;;1
PrintVision;;;;;;1;;;;;1
Pro Facility;;;;1;;;;;;;1
Progenta Project Services;;;;2;;;;;;;2
Promteg;;;1;;;;;;1;;1
Protinus It;;;;;;;;;1;;1
Reisswolf;;;;;;;2;;;;2
Rendement;;;;;;1;;;;;1
Rentokil Initial (incl. Initial Hokatex, Rentokil Hokatex, Ambius, Westplant Gree Facility);;1;;2;;;1;;;;2
Repro Utrecht;;;;;;1;;;1;;1
Repromat;;;;;;;;;1;;1
Restauratie Atelier Sterken;;;;2;;1;;;;;2
Ricoh Groep (incl. Nashuatec, NRG);;;;;;3;;;;;3
Ripassa;;1;;;;;;;;;1
Rohde & Grahl (incl. Working Well);;;;;;;;2;;;2
Rolette Reklame;;;;;;1;;;1;;1
Romagna Restaurant;;;1;;;;;;;;1
Roparun;1;;;;;;;;;;1
S.M. van Schip;;;;;;2;;;;;2
Safety Green;;;;;;;;;1;;1
Salm en Kipp;;;;;;;;;1;;1
Sam International;;;;;;;;;1;;1
Schoonmaakbedrijf Houweling & Zonen;;;;1;;;;;;;1
Schurgers Sleutelservice;;;;;;;;;1;;1
Seceurtronics Nederland;;;;;;;;;1;;1
Securitas (incl. Data en Archief, Telematics, Direct, Alert Teleservices, Meldkamer MG, MPL Beveiligingsdiensten);;;2;;;;;;;;2
Segeren Tekst;;;;;;2;;;;;2
SGS;;;;;1;;;;;;1
Sita;;;;;;;4;;;;4
Sligro (incl. van Hoeckel);;3;;;;;;;;;3
SMC Security Monitoring Centre;;;1;;;;;;;;1
Snelpas Business Service;;;;;;;;;1;;1
Soliede Opleidingen;;;1;;;;;;;;1
Sophisol;;;;;;;2;;;;2
Srs Beveiliging;;;1;;;;;;;;1
Stempelfabriek De Maas;;;;;;;;1;1;;1
Stempelfabriek.nl/Stempelmakers.nl;;;;;;;;;1;;1
Stg Promotie den Haag;;;;;1;;;;;;1
Stichting Bundel Utrecht;;;1;;;;;;;;1
Stijlzorg Bureau;;;;;;2;;;;;2
Stolk & Reese Kuvert;;;;;;;;;1;;1
Stomerij B & B;;;;;;;;;1;;1
Strak Grafische Realisatie & Apple Systeembeheer;1;;;;;;;;;;1
Studio Imago;;;;;;3;;;;;3
Studio Wittenberg;;;;;;1;;;;;1
SUIT Supply;1;;;;;;;;;;1
Systeemhuis Compri;;;;;;1;;;;;1
'T Haasjes Bloemsierkunst;;1;;;;;;;;;1
T Winkeltje;;;;;;1;;;;;1
Taalcentrum-Vu;;;;;;2;;;;;2
TaalVermogen;;;;;;2;;;;;2
Taartenwinkel.nl;;1;;;;;;;;;1
Technische Unie;;1;;;;;;;;;1
Tecnilab-BMI;;1;;;;;;;;;1
Textcetera;;;;;;2;;;;;2
Tjitske Sluis Foto's;;;;;;2;;;;;2
Topa Verpakking;;;;;;;;;1;;1
Topbloemen Nederland;;;;;;;;;1;;1
Transmedia;;;;;;1;;;;;1
Trigion Beveiliging (incl. Csu Security, PreNed, Falck Security, Teleguard);;;3;;;;;;;;3
Triptic;;;;;;1;;;;;1
USB Factory;;;;;;;;;1;;1
Valid Express;;;;;1;;;;;;1
Van Eijken Optiek;;;;;;;;;1;;1
Van Galen Fotostudio;;;;;;1;;;;;1
Van Gansewinkel;;;;;;;1;;;;1
VAN STRAATEN POST UTRECHT BV;;;;;1;;;;;;1
Van Uffelen Mode;;;;;;;;;2;;2
Van Vliet Groep;;;;;;;1;;;;1
VCK Groep, Travel & Logistics;;;;;1;1;;;;;1
Velto;;;;;;;;1;;;1
Ventiv;;;;;;;;;1;;1
Verhaar Whisky- en Wijnhandel;;1;;;;;;;;;1
Vigilat Beveiligingen;;;1;;;;;;;;1
VLS Van Leeuwen Schoonmaak;;;;4;;;;;;;4
VTN Veiligheidstechniek Nederland;;;;;;;;;1;;1
WASVERZORGING NEDERHORST BV;;;;1;;;;;;;1
Waterlogic/Watercompany International;;1;;;;;;;;;1
Webo Promotion;;;;;;;;;1;;1
West English Communications;;;;;;1;;;;;1
Wilchem;;;;;;;1;;;;1
Wiltec (incl. Ter Horst);;;;;;;;;1;;1
Worktrainer;;;;;;;;1;;;1
World Courier Holland;;;;;1;;;;;;1
Xerox;;;;;;;;;1;;1
Xerox/Document House;;;;;;;;;1;;1
Zetes;;;;;;;;;1;;1
Zph Verpakkingen;;;;1;;;;;;;1
Eindtotaal;2;5;4;7;4;6;5;3;5;1;7
