Via wie?,Soort vleermuis,Aantallen,Adres,Wijk/Dorp,Functie,Opmerkingen
Via de zoogdiervereniging Eric Jansen,Gewone dwergvleermuis,>15,Brink 3,Utrecht (Haarzuilens),zomerlocatie,
Via de zoogdiervereniging Eric Jansen,Gewone dwergvleermuis,>35,Brink 2,Utrecht (Haarzuilens),zomerlocatie,
Via de zoogdiervereniging Eric Jansen,Gewone dwergvleermuis,>80,Ockhuizerweg 3,Utrecht (Haarzuilens),zomerlocatie,
Via de zoogdiervereniging Eric Jansen,Gewone dwergvleermuis,>50,Wethouder de Greeflaan 8a,Utrecht (Haarzuilens),zomerlocatie,
Via de zoogdiervereniging Eric Jansen,Gewone dwergvleermuis,>15,Brink 13,Utrecht (Haarzuilens),zomerlocatie,
Via de zoogdiervereniging Eric Jansen,Gewone dwergvleermuis,>15,Kasteellaan 1,Utrecht (Haarzuilens),zomerlocatie,
Via de zoogdiervereniging Eric Jansen,Gewone dwergvleermuis,>3,Kasteellaan 1,Utrecht (Haarzuilens),ook winterverblijf >80 dieren,
Via de zoogdiervereniging Eric Jansen,Laatvlieger,>3,Alexandralaan,Utrecht (Haarzuilens),zomerlocatie,
Via de zoogdiervereniging Eric Jansen,Laatvlieger,>3,Kasteellaan 1,Utrecht (Haarzuilens),zomerlocatie,
Via de zoogdiervereniging Eric Jansen,Gewone dwergvleermuizen?,>35,Nedereindseweg 113,Ijsselstein,zomerlocatie,
Via de zoogdiervereniging Eric Jansen,Gewone dwergvleermuis,>80,Koningsweg 135,Utrecht (Rijsweerd),zomerlocatie,
Via de zoogdiervereniging Eric Jansen,Gewone dwergvleermuis,>15,Burgemeester Ter Pelkwijklaan ,Utrecht (Rijsweerd),zomerlocatie,
Via de zoogdiervereniging Eric Jansen,Gewone dwergvleermuis,>5,Burgemeester Ter Pelkwijklaan ,Utrecht (Rijsweerd),zomerlocatie,
Via de zoogdiervereniging Eric Jansen,Gewone dwergvleermuis,>35,Impalastraat 49,Utrecht (Tolsteeg),zomerlocatie,
Via de zoogdiervereniging Eric Jansen,Gewone dwergvleermuis,>5,Impalastraat 47,Utrecht (Tolsteeg),zomerlocatie,
Via de zoogdiervereniging Eric Jansen,Gewone dwergvleermuis,>5,Impalastraat 9,Utrecht (Tolsteeg),zomerlocatie,
Via de zoogdiervereniging Eric Jansen,Gewone dwergvleermuis,>15,Heidelberglaan 8,,,
Via de zoogdiervereniging Eric Jansen,Gewone dwergvleermuis,>7,Padualaan (centrumgebouw noord),Utrecht (Uithof),jaarrond locatie,
Via de zoogdiervereniging Eric Jansen,Gewone dwergvleermuis,>2,Padualaan (Kruydtgebouw),Utrecht (Uithof),jaarrond locatie,
Via de zoogdiervereniging Eric Jansen,Gewone dwergvleermuis,>3,Leuvenlaan (Aardwetenschappen,Utrecht (Uithof),jaarrond locatie,
Via de zoogdiervereniging Eric Jansen,Gewone dwergvleermuis,>3,Yalelaan (diergeneeskunde hoogbouw),Utrecht (Uithof),jaarrond locatie,
Via de zoogdiervereniging Eric Jansen,Gewone dwergvleermuis,>8,Koningslaan 5,Utrecht (Nieuw Amelisweerd),voorjaars- najaarslocatie,
Via de zoogdiervereniging Eric Jansen,Gewone grootoorvleermuis,>1,Koningslaan 11a,Utrecht (oud Amelisweerd),na herbestemming niet meer aanwezig,
Via de zoogdiervereniging Eric Jansen,Gewone dwergvleermuis,80,Marskramersbaan,Bunnik,zomerlocatie,jagen op Rijnsweerd
Via de zoogdiervereniging Eric Jansen,Gewone dwergvleermuis,80,Voerliedenhoek,Bunnik,zomerlocatie,jagen op Rijnsweerd
Via de zoogdiervereniging Eric Jansen,Gewone dwergvleermuis,>3500,Moreelsepark 3,,,
Via de zoogdiervereniging Eric Jansen,Laatvliegers,>3,Achter Sint Pieter 180,Utrecht centrum,overwinteringsplek,
Via de zoogdiervereniging Eric Jansen,Laatvliegers,>1,Buurkerkhof 11,Utrecht centrum,overwinteringsplek,
Via de zoogdiervereniging Eric Jansen,Laatvliegers,>2,Jansdam 14,Utrecht centrum,Zomer+winterplek?,
Via de zoogdiervereniging Eric Jansen,Laatvliegers,>3,H.F. van Riellaan 5A,Utrecht tuindorp,Zomer+winterplek?,
Via de zoogdiervereniging Eric Jansen,Gewone dwergvleermuis,>3,Oudegracht 167,Utrecht centrum,winterlocatie?,
Via de zoogdiervereniging Eric Jansen,Gewone dwergvleermuis,>12,Mariahoek 14,Utrecht centrum,winterlocatie?,
Workshop vleermuisexperts 24 april 2014,Gewone dwergvleermuis,,Moreelsepark 3,,,
Workshop vleermuisexperts 24 april 2014,Gewone dwergvleermuis,,Heidelberglaan 8,,,
Workshop vleermuisexperts 24 april 2014,Gewone dwergvleermuis,,Australiëlaan 5,,,
Workshop vleermuisexperts 24 april 2014,Gewone dwergvleermuis,,Paranadreef 2,,,
Workshop vleermuisexperts 24 april 2014,Gewone dwergvleermuis,,Daalsesingel ..,,,
Workshop vleermuisexperts 24 april 2014,Gewone dwergvleermuis,,Willem Dreeslaan,,Kraamverblijfplaats,
Workshop vleermuisexperts 24 april 2014,Gewone dwergvleermuis,,H.F. van Riellaan 5a,,,
Workshop vleermuisexperts 24 april 2014,Gewone dwergvleermuis,,Winklerlaan..,,,
Workshop vleermuisexperts 24 april 2014,Gewone dwergvleermuis,,Lieven de Keylaan 9,,,
Workshop vleermuisexperts 24 april 2014,Gewone dwergvleermuis,,Pagodedreef…,,,
Workshop vleermuisexperts 24 april 2014,Gewone dwergvleermuis,,Vechtplantsoen 74,,,
Workshop vleermuisexperts 24 april 2014,Gewone dwergvleermuis,,Vechtplantsoen ..,,,
Workshop vleermuisexperts 24 april 2014,Gewone dwergvleermuis,,Professor Zonnebloemlaan 6- 10,,Zomerverblijfplaats,door Floris Brekelmands ooit gevonden
Workshop vleermuisexperts 24 april 2014,Gewone dwergvleermuis,,Hamlaan,,,ooit onderzocht in het kader van een bouwvergunning
Bekend uit de wintertellingen (zelden gewone dwergvleermuizen gevonden),Watervleermuis (klein groepje) en baardvleermuis,,,,,
Bekend uit de wintertellingen (zelden gewone dwergvleermuizen gevonden),Baardvleermuis,,,,,
Bekend uit de wintertellingen (zelden gewone dwergvleermuizen gevonden),Gewone grootoorvleermuis,,,,,
Bekend uit de wintertellingen (zelden gewone dwergvleermuizen gevonden),,,Fort op de Biltstraat,,Winterverblijfplaats,
Bekend uit de wintertellingen (zelden gewone dwergvleermuizen gevonden),,,Fort Lunet 1,,Winterverblijfplaats,
Bekend uit de wintertellingen (zelden gewone dwergvleermuizen gevonden),,,Fort Lunet 2,,Winterverblijfplaats,
Bekend uit de wintertellingen (zelden gewone dwergvleermuizen gevonden),,,Fort Lunet 3,,Winterverblijfplaats,
Bekend uit de wintertellingen (zelden gewone dwergvleermuizen gevonden),,,Fort Lunet 4,,Winterverblijfplaats,
Bekend uit de wintertellingen (zelden gewone dwergvleermuizen gevonden),,,Fort Rhijnauwen,,Massawinterverblijfplaats,
Bekend uit de wintertellingen (zelden gewone dwergvleermuizen gevonden),,,Kasteel de Haar,,Winterverblijfplaats,
Bouwvergunningen ,Gewone dwergvleermuis,,Morelstraat 36,,,uit: Eindrapport Ffwet toets Fruitbuurt
Bewonersmeldingen,Gewone dwergvleermuis?,,Mariastraat 12 - Voormalig Poortgebouw Zoudenbalch,,,Van buurman: dhr Witkop
Bewonersmeldingen,Gewone dwergvleermuis?,,Otterstraat 99,,,Via Twitter: @MicheR bewoonster uit omgeving
Bewonersmeldingen,Gewone dwergvleermuis?,,Pahud de Mortangesdreef 200 3562AG Utrecht ,,,Via Klantcontactcentrum: marcovrede_27@hotmail.com klachten over een vleermuizenplaag s nachts en s ochtends rondom Pahud de Mortangesdreef
Bewonersmeldingen,Gewone dwergvleermuis?,,Buys Ballotgebouw,,,
Bathopper onderzoek,Gewone dwergvleermuis,,Pijlstaartvlinder ~800 ,,Winterverblijf op afstand,
Bathopper onderzoek,Gewone dwergvleermuis,,Katharinastraat ~1000 ,,Winterverblijf dichtbij,
Bathopper onderzoek,Gewone dwergvleermuis,,Bochtdijk ~1500,,Zomerverblijf dichtbij,
Bathopper onderzoek,Gewone dwergvleermuis,,Vuurvlinder ~600 ,,Zomerverblijf op enige afstand,
Bathopper onderzoek,Gewone dwergvleermuis,,Marie Curiestraat ~400 ,,Zomerverblijf op enige afstand,
Bathopper onderzoek,Gewone dwergvleermuis,,Zamenhofdreef ~500 ,,Zomerverblijf op enige afstand,
Bathopper onderzoek,Gewone dwergvleermuis,,Keerkring ~400 ,,Zomerverblijf op enige afstand,
Bathopper onderzoek,Gewone dwergvleermuis,,Meentweg ~700 ,,Zomerverblijf dichtbij,
Bathopper onderzoek,Gewone dwergvleermuis,,Zonstraat ~400 ,,Zomerverblijf op enige afstand,
Bathopper onderzoek,Gewone dwergvleermuis,,Wagenstraat ~350 ,,Zomerverblijf op enige afstand,
Bathopper onderzoek,Gewone dwergvleermuis,,Groenedijk ~700 ,,Zomerverblijf dichtbij,
Bathopper onderzoek,Gewone dwergvleermuis,,Frederik Hendriklaan ~800,,Winterverblijf op enige afstand,
Bathopper onderzoek,Gewone dwergvleermuis,,Kapteynlaan ~500 ,,Overgangsverblijf?,
Bathopper onderzoek,Gewone dwergvleermuis,,Hanoidreef ~1100 ,,Winterverblijf dichtbij,
Bathopper onderzoek,Gewone dwergvleermuis,,Achter Clarenburg ~1500 ,,Winterverblijf dichtbij,
Bathopper onderzoek,Gewone dwergvleermuis,,Terschelling ~500 ,,Overgangsverblijf?,
Bathopper onderzoek,Gewone dwergvleermuis,,Javastraat ~1200 ,,Winterverblijf dichtbij,
Bathopper onderzoek,Gewone dwergvleermuis,,Kanaalweg ~1500 ,,Winterverblijf dichtbij?,
Bathopper onderzoek,Gewone dwergvleermuis,,Australielaan ~2200 ,,Winterverblijf dichtbij,
