lrk_id;type_oko;opc;actuele_naam_oko;aantal_kindplaatsen;vve;status;inschrijfdatum;opvanglocatie_adres;opvanglocatie_postcode;opvanglocatie_woonplaats;bag_id;naam_houder;kvk_nummer_houder;vestigingsnummer_houder;rechtsvorm_houder;start_geschillencommissie;einde_geschillencommissie;houder_adres;houder_postcode;houder_woonplaats;houder_buitenland;correspondentie_adres;correspondentie_postcode;correspondentie_woonplaats;correspondentie_buitenland;contact_persoon;contact_telefoon;contact_emailadres;contact_website;cbs_code;verantwoordelijke_gemeente;gastouderbureau_1;gastouderbureau_2;gastouderbureau_3;gastouderbureau_4;gastouderbureau_5;gastouderbureau_6;gastouderbureau_7;gastouderbureau_8;gastouderbureau_9;gastouderbureau_10;lrk_url
100066410;VGO;Nee;Wijnands den Uijl;5;;Ingeschreven;21-09-2010;Veeringstraat 33 ;1502NK;Zaandam;0479010000009851;Wijnands den Uijl;;;;;;;;;;;;;;;'';;;479;Zaanstad;158005909;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/a2456164-9838-4cb9-a456-62e1cc3f2bc5
100075964;BSO;Nee;Prokino kindercentrum Villa Vrolijk BSO;70;;Ingeschreven;01-01-2010;Watergoorweg 44a ;3861MA;Nijkerk;0267010000000918;Stichting Prokino Kinderopvang;34162208;000026208466;Stichting;2016-01-12;;Postbus 10248;1001EE;Amsterdam;;Postbus 424;3860AK;NIJKERK GLD;;Mevr. A. Godthelp;'033-2460461';a.godthelp@prokino.nl;http://www.prokino.nl;267;Nijkerk;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/ec32fd28-58df-4e28-ba63-0cc1bda908ea
100077067;VGO;Nee;Plitscher;4;;Ingeschreven;15-07-2013;Mandelborg 3C ;6228CP;Maastricht;0935010000066499;Plitscher;;;;;;;;;;;;;;;'';;;935;Maastricht;985438046;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/a0345c6b-5e68-4ccb-8efb-bdace5a06df5
100077122;VGO;Nee;Kinderopvang Ieniemini;6;;Ingeschreven;28-04-2010;Hamburgerweg 119 ;3851EJ;Ermelo;0233010000006471;Verweij;;;;;;;;;;;;;;;'';;;233;Ermelo;134438929;161848060;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/1bd3a931-fa38-41af-90ca-964ab9351032
100079271;BSO;Nee;MP Atelier;10;;Ingeschreven;23-12-2015;Newtonstraat 50 ;1171XH;Badhoevedorp;0394010000334572;Vecht;64193144;000033040443;Eenmanszaak;2016-01-14;;;;;;;;;;O.M. van der Vecht;'0650471632';ocella@mpatelier.nl;http://www.mpatelier.nl;394;Haarlemmermeer;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/25fc050f-7096-4cda-b8e3-4fddee0ea88b
100079623;BSO;Nee;Happy Kids;60;;Ingeschreven;01-10-2013;Rubenslaan 16 ;3925VB;Scherpenzeel;0279010000003768;Happy Kids Scherpenzeel B.V.;09130037;000018326080;BeslotenVennootschap;2015-12-16;;Rubenslaan 16 ;3925VB;Scherpenzeel;;Rubenslaan 16 ;3925VB;Scherpenzeel;;Diana Mulder;'0332588587';info@happykids.info;http://www.happykids.info;279;Scherpenzeel;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/38e403b4-c062-4709-9074-c1f98e9fa2b6
100113254;KDV;Nee;De Wegwijzer;16;Ja;Ingeschreven;14-07-2011;Molenstraat 1 ;6645BR;Winssen;0209010000011674;KION Kinderopvang B.V.;09166969;000056648626;Besloten Vennootschap;2016-02-01;;Postbus 66;6500AB;Nijmegen;;Postbus 66;6500AB;Nijmegen;;kion;'024-3602058';;http://www.kion.nl;209;Beuningen;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/c5a9a0ef-cfd1-4c55-9599-66c84124b9bd
100113424;VGO;Nee;Brummel;6;;Ingeschreven;21-04-2021;Richtersweg 25 ;7339AA;Ugchelen;0200010000175197;Brummel;;;;;;;;;;;;;;;'';;;200;Apeldoorn;228536686;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/25bfbf4b-5a8f-480a-b531-2619504cc409
100123582;BSO;Nee;Wonderland BSO Anne Frank;40;;Ingeschreven;01-01-2010;Zuster Meijboomstraat 2 ;2331PD;Leiden;0546010000003980;Wonderland;28094406;;BV;2016-01-07;;Vondellaan 45 ;2332AA;Leiden;;Vondellaan 45 ;2332AA;Leiden;;mw. P. Bernsen;'085-2733440';info@wonderlandkinderopvang.nl;http://www.wonderlandkinderopvang.nl;546;Leiden;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/817207f8-573c-47ad-8ea9-26f851b37ae8
100129687;KDV;Nee;Peuteropvang Belhamels;16;Ja;Ingeschreven;26-11-2021;Aartseveen 70 ;3755VE;Eemnes;0317010000100552;Stichting Kinderopvang Huizen;41193172;000050871331;Stichting;2015-12-23;;Postbus 3060;1270EB;HUIZEN;;;;;;Mw. W. Knecht- Molenaar;'035-57200300';info@kinderopvanghuizen.nl;http://www.kinderopvanghuizen.nl;317;Eemnes;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/c380ab20-672e-45dc-83f1-50ccff19d783
100137854;VGO;Nee;Rietrae;6;;Ingeschreven;07-12-2010;Pater Hubertuscour 5 ;6166ZA;Geleen;1883010000040331;Rietrae;;;;;;;;;;;;;;;'';;;1883;Sittard-Geleen;985438046;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/6894ff23-8d66-4f50-94aa-40351a15bc7f
100153112;VGO;Nee;Schilderinck;6;;Ingeschreven;18-09-2018;Eschrand 22 ;7134NM;Vragender;1586010000040280;Overkamp Schilderinck;;;;;;;;;;;;;;;'';;;1586;Oost Gelre;160012351;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/aae16d04-c8e7-4277-b0c7-2451cb446b12
100163038;VGO;Nee;Gorter van Wijk;6;;Ingeschreven;08-09-2015;Molenstraat 62 ;6657BX;Boven-Leeuwen;0668010000004866;Gorter van Wijk;;;;;;;;;;;;;;;'';;;668;West Maas en Waal;167244000;221793513;285546582;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/ae1bc688-49d5-42b6-a50e-bc9f7666ae47
100163518;VGO;Nee;Jonker;6;;Ingeschreven;01-12-2015;Sint Bernadettestraat 8 ;1652CL;Zuidermeer;1598010000037434;Jonker;;;;;;;;;;;;;;;'';;;1598;Koggenland;160012351;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/8b9adf5f-6c76-41d5-9190-14ef7253ddc9
100166283;VGO;Nee;Geldof-de Kok;6;;Ingeschreven;31-01-2014;Michaelsdreef 5 ;4335BH;Middelburg;0687010000017387;Geldof-de Kok;;;;;;;;;;;;;;;'';;;687;Middelburg;132639531;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/8bb9fe53-d330-4f31-a613-1b685fd0fc45
100166714;VGO;Nee;Sørensen;5;;Ingeschreven;09-02-2017;Waalbandijk 2 ;6669MA;Dodewaard;1740010000013131;Sørensen;;;;;;;;;;;;;;;'';;;1740;Neder-Betuwe;221881888;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/f273e8df-841b-4aca-9a87-bf131b0d7a71
100167937;KDV;Nee;Kinderdagverblijf Diedeltje Dei;16;Nee;Ingeschreven;03-12-2020;De Sânjes 4 ;9269HA;Feanwâlden;1891010001664751;Visser - Faber;66317533;000034953175;Eenmanszaak;2020-08-03;;;;;;Westerloane 11 ;9108LC;Broeksterwâld;;;'+31 0611432828';info@diedeltjedei.nl;;1891;Dantumadiel;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/c959c049-5e71-4bb0-9951-aba9084e27f8
100172829;VGO;Nee;Ket;5;;Ingeschreven;08-10-2020;Gerard Doulaan 4 ;1412JB;Naarden;0425010000007390;Ket;;;;;;;;;;;;;;;'';;;1942;Gooise Meren;815625777;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/9325fde3-cd07-4640-b64d-707b16cb47d3
100178376;KDV;Nee;KDV Plons;70;Nee;Ingeschreven;07-03-2013;Veerstraat 48 ;1075SW;Amsterdam;0363010000852427;Stichting Humankind;41208044;000021758670;Stichting;2016-01-14;;Postbus 591;6400AN;Heerlen;;Lisidunalaan 2 ;3833BR;Leusden;;Regiodirecteur Midden-Nederland;'033 2018000';regiomiddennederland@kinderopvanghumanitas.nl;http://www.kinderopvanghumanitas.nl;363;Amsterdam;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/dfa40b57-4d60-4633-90c1-1f98aa967fd6
100182094;VGO;Nee;Kins Ammerlaan;6;;Ingeschreven;20-01-2020;Stationsstraat 42 ;2405BN;Alphen aan den Rijn;0484010000021020;Kins Ammerlaan;;;;;;;;;;;;;;;'';;;484;Alphen aan den Rijn;837471126;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/aee759d9-3a16-4a0e-bb33-4455de4b5742
100184686;VGO;Nee;Wiericx;6;;Ingeschreven;28-02-2011;Moerasberg 45 ;4708NK;Roosendaal;1674010000080320;Wiericx;;;;;;;;;;;;;;;'';;;1674;Roosendaal;206278421;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/a56b1054-7339-4a76-af74-6c3bb0bdeca5
100186142;VGO;Nee;Smit;6;;Ingeschreven;01-10-2019;Valeriuslaan 84 ;1985EX;Driehuis NH;0453010001041671;Smit;;;;;;;;;;;;;;;'';;;453;Velsen;146575891;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/d25c17e0-fa70-4ab2-bf29-b48b698a368b
100186233;VGO;Nee;Hazekamp;6;;Ingeschreven;05-12-2017;Regulus 30 ;2221MT;Katwijk;0537010000003854;Hazekamp;;;;;;;;;;;;;;;'';;;537;Katwijk;755893530;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/50bc13b0-a005-4ad5-b57c-b375058aee00
100189921;VGO;Nee;Haveman;6;;Ingeschreven;16-11-2017;Tortelstraat 7 ;9331KJ;Norg;1699010000001724;Haveman;;;;;;;;;;;;;;;'';;;1699;Noordenveld;162798441;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/5c682703-4735-46aa-9a70-a217998cf42a
100200321;VGO;Nee;Gasthuis 'Tante Lies';6;;Ingeschreven;07-07-2010;Klaproosstraat 40 ;7731WG;Ommen;0175010000007052;Zandbergen;;;;;;;;;;;;;;;'';;;175;Ommen;160012351;335782565;857358327;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/3670313e-82f0-4f2d-a419-edd595163a57
100202342;BSO;Nee;Odaschool BSO;20;;Ingeschreven;01-03-2017;Laan ten Bogaerde 7 ;5491GC;Sint-Oedenrode;0846010000004041;De Verbinding B.V.;50168223;000036448656;BV;2016-01-25;;Pearl S. Buckstraat 1 ;5491DG;Sint-Oedenrode;;;;;;P.A. van der Kruis;'0413-782142';administratie@deverbinding-sintoedenrode.nl;http://www.deverbinding-sintoedenrode.nl;1948;Meierijstad;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/3ca5bf31-49ac-4cc7-a41a-4b575639c389
100205082;KDV;Nee;Spring, 't Molentje;16;Nee;Ingeschreven;26-10-2020;Sint Cornelisstraat 14 ;5827AL;Vortum-Mullem;0756010000008698;Stichting Spring Kinderopvang;41062125;;Stichting;2016-02-08;;Postbus 116;5830AC;Boxmeer;;;;;;Manager kindcentrum;'+31 0882088200';info@spring-kinderopvang.nl;http://www.spring-kinderopvang.nl;1982;Land van Cuijk;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/5ecd5bc6-6524-4735-ab7a-f0fc7ca5f184
100219937;GOB;Nee;ViaViela Bibische van Zweeden;;;Ingeschreven;01-01-2010;Fabrieksgracht 79 ;1781CW;Den Helder;0400010000006273;Zweeden;75941651;000043784887;Eenmanszaak;2020-02-01;;;;;;Fabrieksgracht 79 ;1781CW;Den Helder;;Bibische van Zweeden;'06-47049569';b.vanzweeden@viaviela.nl;http://www.viaviela.nl;400;Den Helder;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/4ea37b56-9bea-451b-a358-5f723e13e23c
100223278;GOB;Nee;Gastouderbureau Tobias;;;Ingeschreven;28-04-2011;Fresiaplein 12 ;2241XS;Wassenaar;0629010000011954;Kinderopvang en Gastouderbureau Tobias;55691307;000013266004;VennootschapOnderFirma;2012-01-01;;Fresiaplein 12 ;2241XS;Wassenaar;;Fresiaplein 12 ;2241XS;Wassenaar;;C.F.G. van der Kroft;'070-5110752/06-13469523';heidi@gastouderbureautobias.nl;http://www.gastouderbureautobias.nl;629;Wassenaar;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/bb816a44-639a-4247-9df6-3a5c7372b4d0
100227417;VGO;Nee;Riele;6;;Ingeschreven;18-10-2010;Molenbelt 47 ;7413XE;Deventer;0150010000051540;Riele;;;;;;;;;;;;;;;'';;;150;Deventer;134161531;185791578;190734243;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/af1b3d2e-c434-4c8e-a30c-dc6c8abf3e69
100232036;VGO;Nee;Uijl Ligtvoet;6;;Ingeschreven;18-10-2021;Chopinstraat 4 ;4661CB;Halsteren;0748010000030386;Uijl Ligtvoet;;;;;;;;;;;;;;;'';;;748;Bergen op Zoom;132893277;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/e3275aae-45e5-413d-bfa0-186f7e7eb252
100233144;BSO;Nee;Prokino BSO De Vlieger 3;60;;Ingeschreven;01-01-2010;Ingelandhof 1 ;8043EC;Zwolle;0193010000028118;Stichting Prokino Kinderopvang;34162208;000009012214;Stichting;2016-01-12;;Postbus 10248;1001EE;Amsterdam;;Klooienberglaan 561 ;8031GC;Zwolle;;J. Lokhorst;'0383338792';regio-middenoost@prokino.nl;http://www.prokino.nl;193;Zwolle;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/e3cabd26-4850-4a3b-ab2c-3d3deb3fcb0b
100236935;KDV;Nee;Kinderdagverblijf de Koningsbeer b.v.;28;Nee;Ingeschreven;01-01-2022;Raadhuisstraat 5 ;5126CK;Gilze;0784010000001512;De Koningsbeer B.V.;82523770;;Besloten Vennootschap;2021-07-15;;Goirleseweg 3 ;5133BC;Riel;;Raadhuisstraat 5 ;5126CK;Gilze;;Marlies de Beer;'06-21199171';info@dekoningsbeer.nl;http://www.dekoningsbeer.nl;784;Gilze en Rijen;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/dd8cdf5c-b65f-42ae-9673-4d60b83c9176
100242558;KDV;Nee;KDV IKC Anne Frankschool;34;Ja;Ingeschreven;02-06-2014;K.P.-laan 20 ;7943CV;Meppel;0119010000011039;Stichting Kinderopvang Zuidwest-Drenthe;59510099;000039684970;Stichting;2016-01-21;;Leonard Springerlaan 39 ;7941GX;Meppel;;;;;;Marijke Toering;'0522 726800';m.toering@pluskinderopvang.nl;;119;Meppel;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/11bde136-bd57-423c-9c04-06d112426c07
100248640;KDV;Nee;2 Voices-Parkside;52;Nee;Ingeschreven;01-01-2010;Zocherstraat 68 ;1054MA;Amsterdam;0363010000880162;2 Voices B.V.;55449417;000000017256;BV;2015-12-03;;Cornelis Anthoniszstraat 20 hs;1071VT;Amsterdam;;Zocherstraat 68 ;1054MA;Amsterdam;;A. Cox / H. Philippart;'020-6185132';2voices@xs4all.nl;http://www.2voices.net;363;Amsterdam;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/b6179466-967c-47f5-a478-14427e97c592
100253489;KDV;Nee;Partou KDV Van der Hoopstraat 84;32;Nee;Ingeschreven;01-01-2010;van der Hoopstraat 84 ;1945TT;Beverwijk;0375010000018709;Partou B.V.;30225440;000044347634;Besloten Vennootschap;2015-12-29;;Postbus 396;4130EJ;VIANEN UT;;Postbus 396;4130EJ;Vianen;;Regiosecretariaat;'0882357550';regiosecretariaat@partou.nl;http://www.partou.nl;375;Beverwijk;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/e17b7fce-0834-4d48-a98f-684e829c5d54
100255413;VGO;Nee;Ides;6;;Ingeschreven;01-04-2020;Stuyvesantstraat 26 ;1403XM;Bussum;0381010000037575;Ides;;;;;;;;;;;;;;;'';;;1942;Gooise Meren;226759799;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/ed32dc22-5eef-49c9-8306-c291d11649d7
100257100;VGO;Nee;Gebuijs;6;;Ingeschreven;10-01-2022;Deijlerweg 19 ;2241AA;Wassenaar;0629010000010262;Gebuijs;;;;;;;;;;;;;;;'';;;629;Wassenaar;100223278;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/f880974e-1e3e-477f-a1b0-cd30edefdcb4
100262478;VGO;Nee;Koster;6;;Ingeschreven;04-08-2021;De Buorren 13 ;9155AN;Raard;0058010000223550;Koster;;;;;;;;;;;;;;;'';;;1970;Noardeast-Fryslân;402222830;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/ea724497-6dc1-47a9-af2e-cdac16769788
100278280;KDV;Nee;KDV het Kabouterhuis;14;Nee;Ingeschreven;01-01-2010;Iepenlaan 22 ;3862VJ;Nijkerk;0267010000009489;Kinderdagverblijf Het Kabouterhuis;08065465;;Onbekend;2016-01-06;;Iepenlaan 22 ;3862VJ;Nijkerk;;Iepenlaan 22 ;3862VJ;Nijkerk;;Mevr. E. Nijhof en E. Trap;'033-2462116';info@kinderdagverblijfhetkabouterhuis.nl;http://www.kinderdagverblijfhetkabouterhuis.nl;267;Nijkerk;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/26a14720-f12a-41f1-a70f-f95c1501fa77
100281758;VGO;Nee;Borgschot;6;;Ingeschreven;01-10-2021;De Sitterstraat 198 ;3318AD;Dordrecht;0505010000053582;Borgschot;;;;;;;;;;;;;;;'';;;505;Dordrecht;117383521;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/f85f0f24-edc5-4790-aed4-10a7a2585bf5
100294881;KDV;Nee;Kinderopvang Bam!;10;Ja;Ingeschreven;05-01-2021;Van Rijslaan 8 ;2625KX;Delft;0503010000019692;Izzy Bear B.V.;61143464;;BV;2015-12-03;;Palmyraplaats 2 ;2624NN;Delft;;;;;;Iris Roozenburg-Verschoor;'015-3649798';info@kinderopvangbam.nl;http://www.kinderopvangbam.nl;503;Delft;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/6d831ba1-892c-46d4-a9d8-0935a548d2a2
100304114;VGO;Nee;Landeweerd Boon;6;;Ingeschreven;19-04-2021;Poolmansweg 254 ;7545LX;Enschede;0153010000313535;Landeweerd Boon;;;;;;;;;;;;;;;'';;;153;Enschede;464044911;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/1a04e006-0f67-4246-b8c0-ca82ee94c80d
100312548;VGO;Nee;Jager;6;;Ingeschreven;17-12-2018;Begoniastraat 69 ;7906JB;Hoogeveen;0118010000005189;Jager;;;;;;;;;;;;;;;'';;;118;Hoogeveen;140697962;154768200;181991639;195998261;297013762;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/a1c80948-c260-4bce-8e06-1c984d50397c
100316347;VGO;Nee;Marsman;6;;Ingeschreven;03-09-2018;Nieuwstadweg 6 ;7688PW;Daarle;0163010000573229;Marsman;;;;;;;;;;;;;;;'';;;163;Hellendoorn;190734243;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/8bbd1ef0-78c1-483c-9012-881fd77bfe5e
100319853;KDV;Nee;Gulliver;100;Nee;Ingeschreven;01-01-2010;Panamaplein 21 ;2548HJ;'s-Gravenhage;0518010000617906;Triodus B.V.;27301844;;BeslotenVennootschap;2016-01-25;;Postbus 85014;3009MA;Rotterdam;;Postbus 85014;3009MA;ROTTERDAM;;Sheila Groos;'0703098090';gulliver@triodus.nl;http://www.triodus.nl;518;'s-Gravenhage;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/86fba36b-4f4c-48f2-9b00-7a53283a4650
100331531;VGO;Nee;Brul Meijer;6;;Ingeschreven;21-01-2022;Graaf Floris V weg 32 ;3739NB;Hollandsche Rading;0310010000684127;Brul Meijer;;;;;;;;;;;;;;;'';;;310;De Bilt;146575891;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/d4e2e35b-c5a5-4dd3-a373-7d28ee775d65
