Handelsnaam;1110 - Verhuiskosten personeel binnen- en buitenland;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1160 - Personeelsevenementen, bijeenkomsten en recepties;1180 - Reis & verblijfskosten;Eindtotaal
Absoluta Food and Facilities B.V.;;;1;;;;1;1
Aby Teleconsulting;;;;;1;;;1
Academia Talen;;;;;1;;;1
Academie Amsterdam;;;;;1;;;1
Academie Lokale Belastingen;;;;;1;;;1
Academie voor arbeidsmarktcommunicatie B.V.;;;;;1;;;1
Academie voor de Rechtspraktijk B.V.;;;;;1;;;1
Academie voor Management;;;;;2;;;2
Academie voor Motivatie en Gedragsverandering;;;;;1;;;1
Academie voor Organisatiecultuur;;;;;2;;;2
Academisch Medisch Centrum;;;;;1;;;1
Academisch Ziekenhuis Maastricht;;;;;;;1;1
Academy for Information and Management B.V.;;;;;1;;;1
Academy for Leadership B.V.;;;1;;2;;;2
Academy of Logistics;;;;;2;;;2
Accent Organisatie Advies B.V.;;;;;1;;;1
Accor Hospitality Nederland N.V.;;;;;1;;2;2
Accountantskantoor Geerlofs B.V.;;;;;1;;1;1
Accres Apeldoorn B.V.;;;;;1;;;1
Accretio;;;;;2;;1;2
Achterkamp Bedrijfsopleidingen B.V.;;;;;1;;1;1
ACM Opleidingen B.V.;;;;;1;;;1
Acteur en Theatermaker Ben van Bokhoven;;;1;;;;;1
Acteursbureau Kapok B.V.;;;1;;1;;1;1
Actief Events B.V.;;;1;;;;;1
Actief Veenhuizen;;;1;;1;;;1
Actifood B.V.;;;;;;;1;1
Active Professionals B.V.;;;;;1;;;1
Activo;;;;;1;;;1
ACTME B.V.;;;;;1;;;1
Ad Simonse Personeels & Organisatie-Advies;;;1;;;;;1
Adames;;;1;;1;;;1
Adames Consultancy;;;;;1;;;1
Adao;;;;;1;;;1
Adecco Detachering B.V.;;1;1;1;1;;;1
Adinda Calbo t.h.o.d.n. Bagels & Beans IJdock Amsterdam;;;;;;;1;1
Adler International C.V.;;;1;;;;;1
Admiraal Steakhouse;;;;;1;;;1
Adoptiepraktijk Vinke;;;;;1;;;1
Adriaanse van der Weel Advocaten;;;;;;;1;1
ADT Advocaten;;;;;1;;1;1
Adv. en Evenementen Organisatiebureau Jerrink;;;1;;;;;1
Advanced Security Solutions B.V.;;;1;;;;;1
Advante;;;;;1;;;1
AdviCo Mercuur B.V.;;;;;1;;;1
Advies en begeleiding Een Helder Hoofd;;;;;1;;;1
Adviesbur. drs. P.M.G. Heymann;;;;;1;;;1
Adviesbureau ATIM B.V.;;;;;2;;;2
Adviesbureau Kap B.V.;;;;;1;;;1
Adviesbureau Movement;;;;;;;1;1
Adviesbureau Planplan;;1;;;;;;1
Adviesbureau Van Montfoort B.V.;;;;;;;1;1
Adviesgroep voor Kantoorinnovatie AVK B.V.;;;;;1;;;1
Advocatenkantoor Dekker;;;;;;;1;1
Advocatenkantoor Dogan;;;;;;;1;1
Advocatenkantoor 'In de Praktijk';;;1;;;;;1
Advocatenkantoor Thomas van Dijk B.V.;;;2;;;;;2
AEDcompany.nl;;;1;;;;;1
Aerbo Bedrijfscommunicatie;;;;;;;1;1
Aestic Produkten B.V.;;;1;;;;;1
AEVES B.V.;;;;2;;;;2
AFC Ajax N.V.;;;1;;;;;1
afgekort R.E.T. N.V.;;;;;;;1;1
After Sports;;;;;1;;1;1
Agathos M&O;;;;;2;;;2
Agecia de Gestao da tesouraria ee da divida publica;;;;;1;;;1
Agilent Technologies Netherlands B.V.;;;;;1;;;1
AgiliX Agile Development Consulting B.V.;;;;;1;;;1
Agnitio;;;;;1;;;1
Agrip Advies;;;1;;;;;1
Ahrend Nederland B.V.;;1;1;;;;;1
Aiber Services B.V.;;;;;2;;;2
AKA Escape Rooms;;;1;;;;;1
Akker Alliantie;;;;;1;;;1
Aksaray Taxi;;;;;;;1;1
Aktief Overijssel B.V.;;;1;;;;;1
Al Gusto;;;1;;;;;1
Alanya Kebab;;;;;;;1;1
Albatros Bled;;;;;1;;;1
Albert Heijn B.V.;;;1;;;;;1
Albert-Schweitzergroep - Scouts Troep;;;1;;;;;1
Albron Nederland B.V.;;;;;;;2;2
Aleco Sport Visions;;;1;;;;;1
Alette den Exter tekstadvies en -coaching;;;1;;1;;;1
Alex Aalders Bloemist;;;1;;;;;1
Alex van Groningen BV;;;;;2;;;2
Alexandra Stein Kliniek;;;2;;;;;2
ALFACONTROL B.V.;;;1;;;;;1
Alfred's Holding B.V.;;;1;;1;;1;1
Algemeen Christelijke Politiebond;;;1;;;;;1
Alkaram B.V.;;;1;;;;1;1
Alkondor Innovatie B.V.;;;;;;;1;1
All About People B.V.;;;;;1;;;1
ALL American Bowling;;;;;;;1;1
All Cartoons Holland;;;1;;;;;1
All Tactical;;;2;;1;;;2
All-4-Music Events;;;1;;;;;1
Allen & Overy LLP;;;;;1;;1;1
Alles voor je truck B.V.;;;1;;;;;1
Allgifts.nl B.V.;;;1;;;;;1
Alliance Francaise Utrecht Cursuscentrum;;;;;1;;;1
Almip Holding B.V.;;;;;1;;;1
Am tech;;;1;;;;;1
Amapress;;;;;;;1;1
Amaze Escape Events;;;1;;1;;1;1
Amazing Bread Company B.V.;;;2;;1;;;2
Ambachtelijke Slagerij Kevelam;;;1;;;;1;1
Ambachtelijke Slagerij van Elten;;;;;;;1;1
Ambassador City Centre Hotel;;;;;;;1;1
Ambitious;;;1;;;;;1
Ambius B.V.;;;1;;;;;1
AMEK Academie Middeleeuwse Eur. Krijgskunsten;;;;;1;;;1
Ameland Adventure;;;1;;;;;1
Ã–mer Balli t.h.o.d.n. Döner Company;;;;;;;1;1
Amersflora;;;1;;;;;1
Amersfoortsche Stadsbrouwerij De Drie Ringen;;;1;;;;;1
AMH Dienstenmakelaar B.V.;;;;;1;;;1
Amigo;;;1;;;;;1
Amis Services B.V.;;;;;1;;;1
Amisni B.V.;;;1;;;;;1
AMK Arbeidsintegratie;;;;;1;;;1
Amler B.V.;;;;;;;1;1
Amplixs Interaction Management B.V.;;;;;3;;;3
Amrath Nijmegen B.V.;;;;;;;1;1
Amstelborgh/Borchland B.V.;;;1;;;;;1
Amsterdam Boat Center;;;1;;;;1;1
Amsterdam Boat Events B.V.;;;1;;;;;1
Amsterdam Boats B.V.;;;1;;1;;1;1
Amsterdam Flowers;;;1;;;;;1
Amsterdams ADR Instituut B.V.;;;;;1;;;1
Amygdala B.V.;;;;;1;;;1
Anaguía;;;;;1;;;1
AnalitiQs B.V.;;;;;1;;;1
Andermanskeuken;;;;;;;1;1
Andersson Elffers Felix;;;;;4;;;4
André Dokter Horeca B.V.;;;1;;;;;1
André's Bloemen B.V.;;;1;;;;;1
Angela Wijers Trainingen;;;;;1;;;1
Anja's Broodjesdienst;;;1;;;;1;1
Anje Kel Advies;;;1;;1;;;2
Anke Boelens Interieurvormgeving;1;;;;;;;1
Anker & Anker Opleidingen;;;;;1;;;1
Annage Skutsjesilen;;;1;;;;;1
Anne Boermans Coaching en Counseling;;;1;;1;;;2
Anne Frank Stichting;;;1;;;;;1
Anovis B.V.;;;1;;;;1;1
ANP Pers Support;;;;;1;;;1
ANWB B.V.;;;;;1;;;1
ANWB-Rijopleiding;;;;;1;;;1
Aoc Terra;;;1;;;;;1
AOG Contractonderwijs B.V.;;;;;3;;1;3
Apenheul;;;1;;;;;1
APG Asset Management N.V.;;;;;;;1;1
APG Service Partners B.V.;;;4;;;;;4
Apollo13;;;;;1;;;1
Apox B.V.;;;1;;;;;1
Appartementenhotel Geuldal;;;1;;;;;1
Appelscha-Outdoor;;;1;;1;;;1
Applied Research Laboratory Eur. (ARLE) B.V.;;;1;;;;;1
APPLY Opleidingen en Advies B.V.;;;;;1;;;1
Aps Arnhem-Zuid;;;;;;;1;1
Aqua Flor Bloembinderij;;;1;;;;;1
AR Updates B.V.;;;;;1;;1;1
Arag-Ned., Alg. Rechtsbijst. Verzeker.mij NV;;;1;;;;;1
Arb.psych. Adv.bureau J.J. van den Broek B.V.;;;1;;;;;1
Arbo Safe B.V.;;;;;1;;;1
Arbo Unie B.V.;;6;;;2;;;6
ArboFragma;;;;;1;;;1
Arbo-Rie-Support B.V.;;2;;;;;;2
ArboVitale B.V.;;1;;;;;;1
Archimediair;;;1;;;;;1
Ardis Organisatieontwikkeling B.V.;;;;;2;;;2
Arehbo (Service & Advies);;;1;;1;;;1
Arendje Verhuur B.V.;;;1;;;;;1
Aristo Amsterdam B.V.;;;;;1;;;1
Arjan&;;;;;1;;;1
Arjen Kwantes;;;;;;;1;1
Arkiva Horeca B.V.;;;1;;;;;1
Armand de Wit PFP Training & Consultancy;;;1;;;;;1
ArmSlag ArbeidsmarktOpleidingen B.V.;;;;;1;;;1
Arnauld Geschenken B.V.;;;1;;;;;1
Arnhemse Taxi Service;;;;;;;1;1
Arriva Touring;;;;;;;1;1
Arro Tentverhuur;;;1;;;;;1
Art & Dining;;;;;;;1;1
Art & Woonhotel De Lichttoren B.V.;;;;;1;;;1
Art for More B.V.;;;1;;;;;1
Art of Interaction;;;;;1;;;1
Artec Neval Instituut B.V.;;;;;1;;;1
Artha training & coaching B.V.;;;;;1;;;1
Artiestenservice.nl;;;1;;;;;1
Artiestenverloningen B.V.;;;1;;;;;1
Artige B.V.;;;1;;;;;1
Artihove Regina B.V.;;;2;;;;;2
Arts & Dennissen Catering;;;1;;;;;1
Art-Scene Gigi Lameris;;;;;;;1;1
ARTTRA Cultureel Organisatiebureau;;;1;;;;;1
Arval BNP Paribas group;;;;;;;1;1
arvato Finance B.V.;;;1;;;;;1
Ascom (Nederland) B.V.;;;;;2;;;2
Asco-Sports Inc.;;;1;;;;;1
Asian Paradise;;;1;;;;;1
Asrom Computeropleidingen;;;;;1;;;1
Asselbergs & Klinkhamer Advocaten;;;;;1;;;1
Asser Bowling Centrum Veldkamp;;;1;;;;;1
Assissa Consultancy Europe (ACE) B.V.;;;;;1;;;1
Associated Business Consultants;;;;;1;;;1
Associatie voor Coaching;;;1;;;;;1
Astare Groningen;;;;;;;1;1
Astrid Plaza N.V.;;;;;2;;;2
Astrid van Ruijven Training & Advies;;;1;;3;;;3
At Computing B.V.;;;;;1;;;1
Atelier de Pleijsterplaats;;;1;;;;;1
Athenas B.V.;;;;;1;;;1
Athene Palace B.V.;;;1;;;;1;1
ATIM Opleidingen B.V.;;;;;1;;;1
Atlantic Hotel Exploitatie B.V.;;;;;2;;;2
Atletiekvereniging Startbaan;;;1;;;;;1
Atos Nederland B.V.;;;;;1;;;1
Attero;;;1;;;;;1
Attract bvba;;;;;1;;;1
Auberge du Bonheur B.V.;;;1;;;;1;1
Augeo academy B.V.;;;;;1;;;1
August;;;;;;;1;1
Auke Smits Publiciteit B.V.;;;;2;;;;2
Australian Restaurant Down Under;;;1;;;;;1
Authentiek leiderschap B.V.;;;;;2;;;2
Autisme Anders Bekeken B.V.;;;;;1;;;1
Auto Sturm Lease B.V.;;;;;;;1;1
Autobedrijf Holsch B.V.;;;;;;;1;1
Autobedrijf Van Der Heide;;;;;;;1;1
Autobedrijf Van Reenen;;;1;;;;1;1
Automotive Publishing B.V.;;;;;1;;;1
Autop Sittard;;;1;;;;;1
Autorijschool Espeldoorn;;;;;1;;;1
Autoverhuur Bultman B.V.;;;1;;;;1;1
Autoverhuur Doesburg B.V.;;;1;;;;;1
Autoverhuur Sloothaak B.V.;;;;;;;1;1
Autoverhuurbedrijf Tigchelaar B.V.;;;;;;;1;1
AV Bloemsierkunst;;;1;;;;;1
AV Point Europe B.V.;;;1;;;;;1
Avans Hogeschool B.V.;;;;;1;;1;1
AvaTarZ Fun B.V.;;;1;;;;;1
AVD Solutions;;;1;;;;;1
Avetica B.V.;;;;;2;;;2
Axiell ALM Netherlands B.V.;;;;;1;;;1
Axyos B.V.;;;;;1;;;1
AYDEM Facilitaire Diensten;;;1;;;;;1
AZ Barbecue & Gourmet Partyservice B.V.;;;1;;;;;1
Aziatisch Restaurant Azisa;;;;;;;1;1
Aziatisch Restaurant Jasmijn & Ik;;;;;;;1;1
Aziatische Bloemsierkunst V.O.F.;;;1;;;;;1
B & B Ambachtelijke Bakkerij B.V.;;;1;;;;1;1
B & T Productions;;;1;;;;;1
B & V Brandbeveiliging B.V.;;1;;;1;;;2
B Tax;;;;;;;2;2
B&B Aan de Werf;;;;;;;1;1
B&B bij de jongens;;;;;;;1;1
B&B Mollenvlied;;;;;;;1;1
B&C Melissen Advocaten;;;;;;;1;1
B&G Catering Service;;;1;;;;;1
B. en S. Luxe Verhuur V.O.F.;;;1;;;;;1
B.V. Algemeen Nederlands Persbureau ANP;;;;;1;;;1
B.V. Exploitatiemaatschappij Museumstoomtram;;;1;;;;1;1
B.V. Hotel Bel Air Den Haag;;;;;;;1;1
B.V. Ondernemingshuis Kantorenpark Sittard;;;;;;;1;1
B.V. Panorama Mesdag;;;1;;;;;1
B.V. Princeville Exploitatie;;;;;;;1;1
B.V. Rovinij Adviesgroep;;;;;1;;;1
B.V. Sport;;;;;1;;;1
B.V. 't Nest Regio Sevenum;;;1;;;;;1
B.V. tot Expl. van het Landg. 'de Leperkoen';;;;;;;1;1
B+B Vakmedianet B.V.;;;1;;2;;;2
Baas & Co.;;;;;1;;;1
Babel B.V.;;;;;1;;;1
Babello Entertainment;;;1;;;;;1
Babo café;;;;;;;1;1
Babycompany.nl;;;1;;;;;1
Babymand.nl;;;1;;;;;1
Bacchus Bistro;;;;;;;1;1
Bacco Perbacco;;;;;;;1;1
Bäckerei Derks GmbH & Co KG;;;;;1;;;1
Badhu B.V.;;;;;;;1;1
Badoux Fietsen;;;1;;;;;1
Bagels & Beans Vivaldi;;;;;;;1;1
Bak Travel;;;1;;;;;1
Bakers Consult;;;;;2;;;2
Bakery Cafe Kottier;;;1;;;;1;1
Bakker Administratie, Coaching en Advies;;;;;1;;;1
Bakker Breggen Bakkerij B.V.;;;1;;;;;1
Bakker Derks 'Der Deutsche Backer';;;1;;;;1;1
Bakker Gerard;;;;;;;1;1
Bakker Groenvoorzieningen B.V.;;;1;;;;;1
Bakker Van Maanen Productie B.V.;;;1;;;;;1
Bakker Voskamp B.V.;;;1;;;;;1
Bakker Wim;;;1;;;;;1
Bakkerij A.M.J. Verbeek;;;1;;;;1;1
Bakkerij Beerse B.V.;;;;;;;1;1
Bakkerij Bongaards V.O.F.;;;1;;;1;1;1
Bakkerij Bornhijm B.V.;;;1;;;;1;1
Bakkerij Broekmans B.V.;;;;;;;1;1
Bakkerij De Lekkerbek B.V.;;;1;;;;1;1
Bakkerij Deterd B.V.;;;1;;;;;1
Bakkerij Ercan;;;;;;;1;1
Bakkerij Gerards;;;1;;;;;1
Bakkerij Hilvers B.V.;;;1;;;;;1
Bakkerij Jansen en Terpstra;;;1;;;;;1
Bakkerij Joop;;;;;;;1;1
Bakkerij Jos Rood B.V.;;;1;;;;1;1
Bakkerij Kaspers;;;1;;;;;1
Bakkerij Korteweg;;;1;;;;;1
Bakkerij Lubbers;;;;;;;1;1
Bakkerij Menekse;;;1;;;;;1
Bakkerij Nass;;;;;;;1;1
Bakkerij Nico en Aeltsje de Groot V.O.F.;;;;;;;1;1
bakkerij Piet Haaksma;;;;;;;1;1
Bakkerij Pots;;;1;;;;1;1
Bakkerij Schutte;;;1;;;;1;1
Bakkerij Schuurmans;;;1;;;;1;1
Bakkerij Slager V.O.F.;;;1;;;;;1
Bakkerij 't Zand B.V.;;;1;;;;1;1
Bakkerij van den Berg;;;1;;;;;1
Bakkerij Van den Dobbelsteen;;;1;;;;;1
Bakkerij van Zuijlen;;;1;;;;;1
Bakx & Meijer catering en organisatie;;;1;;;;;1
Balans;;;1;;;;;1
Balans & Impuls B.V.;;1;1;;2;;;2
Balansys B.V.;;;2;;;;;2
Balhoofd B.V.;;;1;;;;;1
Balkan Grill Boro;;;1;;;;;1
Balkan Restaurant Makedonia;;;;;;;1;1
Ballon Express 2.0 B.V.;;;1;;;;;1
Bally's eten & drinken;;;;;;;1;1
Balsobé Huidspecialisaties en Huidverzorging;;;;;;;1;1
Balthazar Communicatie en Evenementen;;;1;;;;;1
BAM Bouw en Techniek regio Zuidwest;;;2;;;;;2
Banana Pancakes;;;;;;;1;1
BandZoeker Music B.V.;;;1;;;;;1
Banketbakkerij Arnold Cornelis B.V.;;;1;;;;1;1
Banketbakkerij Blommestein;;;1;;;;;1
Banketbakkerij Boheemen;;;1;;;;1;1
Banketbakkerij Borgman;;;1;;;;;1
Banketbakkerij Brokking B.V.;;;;;;;1;1
Banketbakkerij Burgt;;;1;;;;;1
Banketbakkerij De Kruyter;;;;;;;1;1
Banketbakkerij De Vlaam B.V.;;;;;;;1;1
Banketbakkerij Dorgelo;;;1;;;;;1
Banketbakkerij G.C.J.F. Gordijn;;;1;;;;;1
Banketbakkerij Groen;;;1;;;;;1
Banketbakkerij H. van der Heijden;;;1;;;;1;1
Banketbakkerij J.T. Holtkamp V.O.F.;;;;;;;1;1
Banketbakkerij Jan de Groot;;;1;;;;1;1
Banketbakkerij Jansen-de Koning;;;1;;;;;1
Banketbakkerij Konditorei v.d. Sterre V.O.F.;;;1;;;;1;1
Banketbakkerij Maison Kelder B.V.;;;1;;;;1;1
Banketbakkerij Nijstad;;;1;;;;;1
Banketbakkerij Salverda;;;1;;;;1;1
Banketbakkerij Steentjes V.O.F.;;;1;;;;;1
Banketbakkerij Stevers B.V.;;;1;;;;1;1
Banketbakkerij Teunissen;;;1;;;;;1
Banketbakkerij Teurlings B.V.;;;1;;;;;1
Banketbakkerij Theo Blom V.O.F.;;;1;;;;;1
Banketbakkerij van Beek & Specker B.V.;;;1;;;;1;1
Banketbakkerij Van Dijk en Zoon;;;1;;;;1;1
Banketbakkerij Verspeek;;;;;;;1;1
Banketbakkerij-Chocolaterie Looijenga B.V.;;;1;;;;;1
Banketbakkerij-Partyservice Van den Berg;;;1;;;;;1
Banketbakkerij-Salon De Thee 'Christiaan';;;1;;;;1;1
Banketbakkerij-Tearoom H. van Haaren;;;1;;;;;1
Banning N.V.;;;;;;;1;1
BAOGROUP;;;;;;;1;1
Bar Company;;;1;;;;;1
Bar Lekker;;;;;;;1;1
Bar Restaurant Pavlov B.V.;;;1;;;;2;2
Barbarossa Beach B.V.;;;;;;;1;1
Barbecue Catering Nederland;;;2;;;;;2
Barbecue-Exclusief B.V.;;;1;;;;;1
BarentsKrans N.V.;;;;;1;;;1
Barnet, Enfield an Haringey;;;;;1;;;1
Bart de Koning, Journalistiek & Debat;;;;;1;;;1
Bartels catering;;;;;;;1;1
BAS Bedrijfskleding B.V.;;;2;;;;;2
Basaal;;;;;;;1;1
Bashil B.V.;;;1;;;;1;1
Basic Fit Oss;;;;;1;;;1
Bastion Hotel Hoofddorp B.V.;;;;;;;1;1
Bastion Hotel Maastricht B.V.;;;;;;;1;1
Bastion Hotel Rijswijk B.V.;;;;;;;1;1
Baston Service B.V.;;;1;;;;;1
Battal & Looman;;;;;1;;;1
Battlefield Live Nederland B.V.;;;1;;;;;1
Baumann & Steffen Sicherheitstechn. Ned. B.V.;;;4;;;;;4
Baumgardt & Brokling Advocaten;;;1;;;;;1
Baut Zuid AS;;;1;;;;;1
Bavak Beveiligingsgroep B.V.;;;;;1;;;1
Baydar Consultancy;;;;;1;;;1
BB Office & Ergonomics;;1;;;;;;1
BBC Bruxelles;;;;;;;1;1
BBQ-Buffet Restaurant De Opschepper;;;1;;;;;1
BCD Travel Nederland B.V.;;;;;1;;8;8
Be Now;;;;;1;;;1
Beach Club WOW;;;;;;;1;1
Beachclub The Bing B.V.;;;1;;;;;1
Beachclub Titus B.V.;;;;;;;1;1
Beachzone events;;;1;;;;;1
Beauforthuis Exploitatie B.V.;;;1;;;;;1
Bed & Breakfast Bordeaux Arnhem;;;;;;;1;1
Bed & Breakfast Hoeve de Haar;;;1;;;;;1
Bed and Breakfast Achter de Kan;;;;;;;1;1
Bedeaux Interieurs;;;1;;;;;1
Bedrijfsfitness Nederland B.V.;;4;;;;;;4
BEDRIJFSKRING LELYSTAD;;;1;;;;;1
Beef & More;;;;;;;1;1
Beekman & Beekman B.V.;;;;;;;1;1
Beekse Bergen Exploitatie B.V.;;;2;;;;;2
Beerens Business Press B.V. (BBP);;;;;1;;;1
Beerens Metaalwerken;;;1;;;;;1
Beest en Goed;;;;;1;;;1
BeeZ Hotel en Cocktailbar;;;;;;;1;1
Begijnhof Hotel;;;;;;;1;1
Beheer Centrum voor Mindfulness;;;;;1;;;1
Behr Groep Nederland B.V.;;;;;2;;;2
BeHuman;;;;;1;;;1
Beide-Handen;;;1;;;;;1
Beijk Catering Service B.V.;;;;;;;1;1
Beimers Taxi;;1;;;;;;1
Bekenkamp Yachting;;;1;;;;;1
Belangenver. Bedrijfshulpverlening Nederland;;;1;;;;;1
BeleefBreda;;;1;;;;;1
Belfleur;;;1;;;;;1
Belgisch Biercafé Olivier B.V.;;;1;;;;1;1
Beljon + Westerterp Recruitment;;;1;1;;;;2
Bella Beer 2011 B.V.;;;1;;;;;1
Belly 2 Baby;;;1;;;;;1
Ben Holding B.V.;;;;;;;1;1
Ben Tiggelaar & Company B.V.;;;;;1;;;1
Benecke Education B.V.;;;;;1;;;1
Benner Kaap Hoorn Exploitatie B.V.;;;1;;;;1;1
Benner Via Vecchia Exploitatie B.V.;;;;;;;1;1
BenS Colors;;;1;;;;;1
Benti Beheer B.V.;;;;;;;1;1
Berends Que Performance;;;;;1;;;1
Berenschot B.V.;;;;2;;;;2
Berenschot Groep B.V.;;;;;4;;;4
Berger Psychologie;;;1;;;;;1
Bergh Delisse Events;;;1;;;;;1
Berghauser Pont Academy B.V.;;;;;1;;;1
BERLAGE GRAND-CAFE;;;;;;;1;1
Berlijn Café;;;1;;;;;1
Bermuda Eindhoven B.V.;;;;;;;1;1
Beroepsonderwijs en Volw.educ.;;;;;;;1;1
Beroepsver. van Professionals in Sociaal Werk;;;;;4;;1;4
Beroepsvereniging Vide;;;;;1;;;1
Beroepsvereniging voor Public Affairs (Bvpa);;;;;1;;;1
Bert Hellinger Instituut Nederland;;;;;1;;;1
Beschermingsbewind.nl;;;;;1;;;1
Bestax;;;;;;;1;1
Bestpizza.nl;;;;;;;1;1
Bestuursacademie Nederland Opleidingen B.V.;;;1;;3;;;3
Between B.V.;;;;;;;1;1
Beursbegeleiding.nl;;;1;;;;;1
Bever B.V.;;;1;;;;;1
Bewust Psycholoog Amsterdam;;;;;1;;;1
Bharata Yoga;;;1;;;;;1
BHG Opleidingen;;1;;;1;;;1
BHVstore B.V.;;1;;;;;;1
Bibliotheek Leeuwarden Centrum;;;;3;;;;3
Bicycle Tours By Locals Rotterdam;;;1;;;;;1
Bierfabriek Nes B.V.;;;;;;;1;1
Biesboschcentrum Dordrecht;;;1;;;;;1
Big Five For Life International;;;;;1;;;1
BigaBeer t.h.o.d.n. De Bezorgbeer Zoetermeer;;;;;;;1;1
Bigoli;;;;;;;1;1
Bij Aaltje aan de Linie;;;1;;;;;1
Bij Floor;;;;;;;1;1
Bij Maarten Oogmode B.V.;;1;;;;;;1
Bij ons aan tafel;;;;;;;1;1
Bij Tholen;;;;;;;1;1
bij Wout;;;;;;;1;1
BijzonderStrafrecht B.V.;;;;;1;;;1
BijzonderStrafrecht.nl;;;1;;2;;;2
Bikers Heeswijk;;;1;;;;;1
Bilderberg Grand Hotel Wientjes;;;;;1;;1;1
Bilderberg Hotel De Keizerskroon;;;1;;1;;1;1
Bilderberg Hotel Klein Zwitserland;;;1;;;;;1
Bilderberg Residence Groot Heideborgh;;;;;1;;1;1
Biljartvereniging 'Victoria';;;;;;;1;1
B-in motion;;;1;;;;;1
Bindje;;;;;1;;;1
Binkies Food & Drinks B.V.;;;;;;;1;1
Binnenlands Bestuur B.V.;;;;;1;;;1
Binn'npret;;;1;;;;;1
biologisch restaurant aan Sjuuteeanjd;;;1;;;;;1
Biologische Toko;;;1;;;;;1
BirdView Expertises B.V.;;;1;;;;;1
Birza Italiaans IJs;;;;;;;1;1
BIS Bedrijfs Informatie Systemen B.V.;;;;1;1;;;1
Bison Bowling;;;;;;;1;1
