Rijlabels;3000 - Uitbesteden overig;3110 - Uitbesteden organisatie- en formatieadviesopdrachten;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3130 - Uitbesteden communicatieadvies;3140 - Uitbesteden juridisch adviesopdrachten;3150 - Uitbesteden automatiseringsadvies;3160 - Uitbesteden accountancy en financien;Eindtotaal
Anoniem 252;1;;;;;;;1
Anoniem 254;1;;;;;;;1
Anoniem 26;2;;;;;;;2
Anoniem 260;2;;;;;;;2
Anoniem 261;1;;;;;;;1
Anoniem 273;1;;;;;;;1
Anoniem 274;1;;;;;;;1
Anoniem 281;1;;;;;;;1
Anoniem 286;1;;;;;;;1
Anoniem 293;1;;;;;;;1
Anoniem 295;1;1;;;;;;2
Anoniem 296;2;;;;;;;2
Anoniem 301;1;;;;;;;1
Anoniem 318;;1;;;;;;1
Anoniem 337;1;;;;;;;1
Anoniem 338;1;;;;;;;1
Anoniem 348;1;;;;;;;1
Anoniem 350;1;;;;;;;1
Anoniem 351;1;;;;;;;1
Anoniem 363;;1;;;;;;1
Anoniem 367;1;;;;;;;1
Anoniem 398;1;;;;;;;1
Anoniem 408;2;;;;;;;2
Anoniem 41;1;;;;;;;1
Anoniem 413;;1;;;;;;1
Anoniem 414;1;;;;;;;1
Anoniem 420;;2;;;;;;2
Anoniem 427;1;;;;;;;1
Anoniem 428;1;;;;;;;1
Anoniem 43;1;;;;;;;1
Anoniem 432;1;;;;;;;1
Anoniem 433;1;;;;;;;1
Anoniem 437;1;;;;;;;1
Anoniem 448;1;;;;;;;1
Anoniem 45;1;;;;;;;1
Anoniem 450;1;;;;;;;1
Anoniem 458;1;;;;;;;1
Anoniem 466;1;;;;;;;1
Anoniem 47;;1;;;;;;1
Anoniem 473;1;;;;;;;1
Anoniem 478;1;;;;;;;1
Anoniem 49;1;;;;;;;1
Anoniem 524;1;;;;;;;1
Anoniem 527;1;;;;;;;1
Anoniem 541;1;;;;;;;1
Anoniem 544;1;;;;;;;1
Anoniem 550;1;;;;;;;1
Anoniem 553;2;;;;;;;2
Anoniem 58;1;;;;;;;1
Anoniem 582;;1;1;;;;;1
Anoniem 584;;1;;;;;;1
Anoniem 591;4;1;;;2;;;5
Anoniem 593;1;;;;;;;1
Anoniem 596;;2;;;;;;2
Anoniem 598;1;;;;;;;1
Anoniem 599;2;;;;;;;2
Anoniem 605;1;;;;;;;1
Anoniem 610;1;;;;;;;1
Anoniem 616;1;;;;;;;1
Anoniem 62;1;;;;;;;1
Anoniem 632;2;;;;;;;2
Anoniem 633;2;;;;;;;2
Anoniem 641;1;;;;;;;1
Anoniem 643;1;;;;;;;1
Anoniem 646;1;;;;;;;1
Anoniem 649;;1;;;;;;1
Anoniem 654;1;;;;;;;1
Anoniem 658;1;;;;;;;1
Anoniem 666;1;;;;;;;1
Anoniem 670;;1;;;;;;1
Anoniem 696;1;;;;;;;1
Anoniem 700;1;;;;;;;1
Anoniem 701;2;;;;;;;2
Anoniem 702;2;;;;;;;2
Anoniem 708;1;;;;;;;1
Anoniem 717;2;;;;;;;2
Anoniem 737;;1;;;;;;1
Anoniem 758;1;;;;;;;1
Anoniem 772;1;;;;;;;1
Anoniem 773;1;;;;;;;1
Anoniem 784;2;;;;;;;2
Anoniem 789;1;;;;;;;1
Anoniem 793;3;;;;;;;3
Anoniem 795;;1;;;;;;1
Anoniem 95;;1;;;;;;1
ANP Photo;1;;;;;;;1
ANS Verkeer & Ruimte B.V.;2;;;;;;;2
Antea Inspection B.V.;3;;;;;;;3
Antea Nederland B.V.;7;;;;;;;7
Anton Martens Management B.V.;3;;;;;;;3
Antropia B.V.;1;;;;;;;1
Ap-Art;1;;;;;;;1
APC tekst;;1;;;;;;1
APG Service Partners B.V.;1;;;;;;;1
Apollo13;3;;;;;;;3
Application Builders B.V.;2;;;;;;;2
APPM Management Consultants B.V.;6;;;;;;;6
Apps B.V.;;;2;;;;;2
Aqua Mare;1;;;;;;;1
Aquarius Conflictbemiddeling;2;;;;;;;2
Aquative B.V.;1;;;;;;;1
ARA Groep B.V.;2;1;;;;;;2
ARAG SE Nederland;1;;;;;;;1
Arbo Unie B.V.;4;;;;;;;4
Arbode Maritiem B.V.;2;;;;;;;2
Arborendement V.O.F.;1;;;;;;;1
Arboriginals B.V.;;1;;;;;;1
ARCADIS Nederland;2;;;;;;;2
ARCADIS Nederland B.V.;6;;;;;;2;6
Arcadis Planrealisatie B.V.;2;;;;;;;2
Arcgis Gebruikersgroep Nederland;1;;;;;;;1
Archibald Schimmelpenninck;1;;;;;;;1
Ardis Opleidingen B.V.;1;1;;;;;;1
Ardis Organisatieontwikkeling B.V.;;1;;;;;;1
Arenda Oomen Fotografie;1;;;;;;;1
ARERI;2;;;;;;;2
Aris;2;;;;;;;2
Aristo Utrecht B.V.;1;;;;;;;1
ARN Sustainability B.V.;2;;;;;;;2
Arnage Horeca B.V.;1;;;;;;;1
ARS Traffic & Transport Technology B.V.;2;;;;;;;2
Art Centre Delft;1;;;;;;;1
ArtdCom B.V.;1;;;;;;;1
Artesia B.V.;1;;;;;;;1
Artiestenverloningen B.V.;1;;;;;;;1
Ascom (Nederland) B.V.;1;;;;;;;1
Asecos B.V.;1;;;;;;;1
Astra Consultancy;2;;;;;;;2
At Osborne B.V.;5;;;;;;;5
atelier 1:1 B.V.;2;;;;;;;2
Atelier Groenblauw / Opmaat;2;;;;;;;2
Atelier Henk de Bouter;1;;;;;;;1
Atelier Heuvel;1;1;;;;;;1
ATK Grootkeukentechniek B.V.;1;;;;;;;1
Atlantic Hotel Exploitatie B.V.;1;;;;;;;1
Atlas Schilder- en Onderhoudsbedrijf;1;;;;;;;1
Atlas Services Group Flex B.V.;1;;;;;;;1
Atos Nederland B.V.;4;3;;;;6;;7
ATP Specials B.V.;1;;;;;;;1
Attractiepark en Camping Duinrell B.V.;1;;;;;;;1
Audio Visuele;1;;;;;;;1
Audit-Plus B.V.;;;;;;4;;4
Auee & Palmen Advies;1;;;;;;;1
August;1;;;;;;;1
Autobedrijven Esa Groningen B.V.;;1;;;;;;1
Automotive Publishing B.V.;2;;;;;2;;2
AutomotiveNL B.V.;2;;;;;;;2
AV Annelotte Verhaagen;;1;;;;;;1
Avec Pleijsier;1;;;;;;;1
Avex B.V.;2;;;;;;;2
Avia-Support;2;;;;;;;2
Aviation Medical Consultation;;1;;;;;;1
Aviste B.V.;1;;;;;;;1
Aviv B.V.;4;;;;;;;4
Avus Nederland;1;;;;;;;1
Awareness B.V.;2;;1;;;;;2
AXA;1;;;;;;;1
Axu Verkeer en Vervoer B.V.;2;;;;;;;2
Axxicom Airport Caddy B.V.;1;;;;;;;1
Ayla B.V.;1;;;;;;;1
B.V. Algemeen Nederlands Persbureau ANP;1;1;;;;;;1
B.V. Copes SNEL;1;;;;;;;1
B.V. Perscentrum Nieuwspoort;1;;;;;;;1
B.V. Reederij 'Oosterschelde';;1;;;;;;1
BAAS Chauffeursdienst;;1;;;;;;1
Babsou Investments Group B.V.;1;;;;;;;1
Baker Tilly Berk Breda;4;1;;;;;3;5
Bakerware B.V.;2;;;;;;;2
Bakker Consultancy;1;;;;;;;1
Bakker Installaties V.O.F.;1;;;;;;;1
Balance Ervaring op Projectbasis B.V.;4;;;;;;;4
Bally's eten & drinken;1;;;;;;;1
Balticode Nederland B.V.;1;;;;;;;1
BAM Bouw en Techniek B.V.;2;;;;;;;2
Bandra Beheer B.V.;1;;;;;;;1
Banketbakkerij en Chocolaterie Wesseling B.V.;1;;;;;;;1
Banketbakkerij Leo van Ewijk;1;;;;;;;1
Bar Restaurant Pavlov B.V.;1;;;;;;;1
Barbara Alberts Office Support;2;;;;;;;2
Bart van Vliet Freelance Fotograaf;2;;;;;;;2
Barthen Rioleringswerken B.V.;1;;;;;;;1
Bartolomeus Productions;1;;;;;;;1
Bastion Hotel Leiden B.V.;1;;;;;;;1
Bastion Hotel Terbregseplein B.V.;1;;;;;;;1
Bastion Hotel Utrecht B.V.;1;;;;;;;1
BB & P BELEID, BESTUUR EN POLITIEK;;1;;;;;;1
BBA Binnenmilieu, Feelgoodbuild. Consultants;1;;;;;;;1
BCN B.V.;1;;;;;;;1
BDO Accountants & Belastingadviseurs B.V.;2;;;;;;;2
BDS Harlingen B.V.;1;;1;;;;;1
BeanBrothers;2;;;;;;;2
Beau Investments B.V.;6;;;;;;;6
Beaumont Communicatie & Management B.V.;2;;;;;;;2
Becis B.V.;;;;;;2;;2
Bedrijfscatering Jan Vendrig;1;;;;;;;1
Bedrijvenpark Nederland B.V.;2;;;;;;;2
Beeldleveranciers Coöperatief UA;1;;;;;;;1
Be-Ge Savas Seating B.V.;1;;;;;;;1
Behind the Story;1;1;;;;;;1
Belangenver. Bedrijfshulpverlening Nederland;1;;;;;;;1
Beleidstheater;2;;;;;;;2
belevenisonderwijs;1;;;;;;;1
Belgisch Biercafé Olivier B.V.;1;;;;;;;1
Benelux Hotel Exploitatie II B.V.;1;;;;;;;1
Benelux Solar & Techn. Syst.-Applicat. B.V.;1;;;;;;;1
Berenschot B.V.;6;2;3;;;;;6
Berenschot Groep B.V.;4;2;2;;;;;5
Berg en Ideeën;1;;;;;;;1
Bergh Delisse Events;1;;;;;;;1
Berghorst Horeca Exploitatie B.V.;1;;;;;;;1
Bergplaats;2;;;;;;;2
Bergslot B.V.;1;;;;;;;1
Berkx maatwerk voor woning en bedrijf;1;;;;;;;1
Beta Systems Software B.V.;1;;;;;;;1
Beter Samenwerken;;1;;;;;;1
'Betonvereniging';1;;;;;;;1
Better Future Factory B.V.;2;;;;;;;2
Between B.V.;;3;;;;3;;4
Beuk Touringcars;1;;;;;;;1
Bev. der Bouwk. Bond v. Nederland. Arch. BNA;2;;;;;;;2
BG Holding;1;;;;;;;1
Biesbosch Museum;1;;;;;;;1
BigData.Company B.V.;2;;;;;;;2
bij ons in de keuken;1;;;;;;;1
bijboom;;1;;;;;;1
Bijnsdorp Communicatie Projecten B.V.;2;;;;;;;2
Bike-minded;2;;;;;;;2
Bikeshop Lelystad B.V.;1;;;;;;;1
Bilderberg Grand Hotel Wientjes;1;;;;;;;1
Biljoen Groen Velp N.V.;1;;;;;;;1
biobioseminars;1;;;;;;;1
Bird Jazz Podium/Horeca B.V.;1;;;;;;;1
BIS Bedrijfs Informatie Systemen B.V.;1;;;;;;;1
Bisnez Management B.V.;2;;;;;;;2
Bistro Mer B.V.;1;;;;;;;1
Bitman;2;;;;;;;2
BKFF bas kijzers fotografie en film;1;1;;;;;;1
BLAD;;1;;;;;;1
Bloemenboutique Fonville;1;;;;;;;1
Bloemenhandel Dick Hagestein V.O.F.;1;;;;;;;1
Blom's Automobielbedrijf;;1;;;;;;1
Blonk Milieu Advies B.V.;2;;;;;;;2
blossity;2;;;;;;;2
BLOSSOM bloemisterij;1;;;;;;;1
Blue21 B.V.;2;;;;;;;2
BlueCity010 B.V.;1;;;;;;;1
Blueconomy B.V.;4;;;;;;;4
Blueland Consultancy B.V.;1;;1;;;;;2
Bluestream;1;;;;;;;1
BMO Bur. v. Man. Onderst.&Secr. Diensten B.V.;1;;;;;;;1
BNV Mobility;2;;;;;;;2
Bobbe International B.V.;1;;;;;;;1
Bodemkundig Adviesbureau Edelman B.V.;1;;;;;;;1
Boeg B.V.;1;;;;;;;1
Boekeloo Verhuur B.V.;1;;;;;;;1
Boekhandel Douwes;1;;;;;;;1
Boerderij De Middenhof Nieuwegein;1;;;;;;;1
bol.com B.V.;1;;;;;;;1
Boon Edam B.V.;1;;;;;;;1
Boonstra Elektronika;1;;;;;;;1
B-open;1;;;;;;;1
Born Technics;1;;;;;;;1
Bosch en Slabbers Den Haag B.V.;2;;;;;;;2
Boslaan B.V.;1;;;;;;;1
Boterwaag Den Haag B.V.;1;;;;;;;1
Bouter B.V.;1;;;;;;;1
Bouvigne Paradijs B.V.;1;;;;;;;1
Bouwbedrijf Meliskerke B.V.;1;;;;;;;1
Bouwmeester Van Leeuwen B.V.;3;;;;;;;3
Bouzy;1;;;;;;;1
Bovenkamers;1;;;;;;;1
Bovo-Tours B.V.;1;;;;;;;1
BPMConsult B.V.;;2;;;;;;2
Brabanthallen;1;;;;;;;1
Brackmann Beheer B.V.;1;;;;;;;1
Branch Out;1;;;;;;;1
Branding Office Furniture B.V.;1;;;;;;;1
Brasserie Soho B.V.;1;;;;;;;1
Brasserie 'UP' B.V.;1;;;;;;;1
Brasserie Waalhaven;1;;;;;;;1
Breel Beheer B.V.;2;;;;;;;2
Breijer Contractonderhoud B.V.;2;;;;;;;2
Brezan Automaterialen Epe;1;;;;;;;1
Brinkhof bemiddeling en advies;2;;;;;;;2
BRO;1;;;;;;;1
Bronzwaer Groep B.V.;2;;;;;;;2
Brouwerij de Prael;1;;;;;;;1
Brouwer's Tours B.V.;1;;;;;;;1
Bruker Nederland B.V.;;1;;;;;;1
Bruynzeel Home Products B.V.;1;;;;;;;1
BSA Schaderegeling B.V.;;1;;;;;;1
BSDV;2;;;;;;;2
BSE IJmond B.V.;2;;;;;;;2
BSI Group The Netherlands B.V.;2;;;;;;;2
BT Professional Services Nederland B.V.;;;;;;3;;3
BTS;1;;;;;;;1
Buck Consultants International B.V.;3;;;;;;;3
Buck Models;1;;;;;;;1
Bucky's Catering;1;;;;;;;1
BuitenBusiness B.V.;1;;;;;;;1
Bundi;;1;;;;;;1
Bur. B + B Stedeb. en Landschapsarch. B.V.;;1;;;;;;1
bureau;4;;;;;;;4
Bureau Basta!;2;;;;;;;2
Bureau BlauwGeel B.V.;2;;;;;;;2
Bureau Blueland;2;2;;;;;;2
Bureau Buitenlucht;2;;;;;;;2
Bureau Fris B.V.;1;;;;;;;1
Bureau Marinke van 't Hoff;;;;;4;;;4
Bureau 'Mevrouw de Voorzitter';1;;;;;;;1
Bureau Sanering Verkeerslawaai;7;;;;;;;7
Bureau Van Dam;1;;;;;;;1
Bureau van Veen;2;;;;;;;2
Bureau voor Beeldzaken;2;;;;;;;2
Bureau voor Gebiedscommunicatie B.V.;1;;;;;;;1
Bureau voor Overheidscommunicatie B.V.;5;;;;;;;5
Bureau Waardenburg B.V.;2;;;;;;;2
Burger Coaching & Advies;2;;;;;;;2
Burghoorn Trainingen;;1;;;;;;1
Buro Bolder;3;;;;;;;3
Buro Bremmer;2;;;;;;;2
Burosa;1;;;;;;;1
Burrough B.V.;2;;;;;;;2
Business Openers B.V.;;1;;;;;;1
Businesswise Inspiring People B.V.;;2;;;;;;2
Buttondiscounter;1;;;;;;;1
BuyersUnited B.V.;1;;;;;;;1
Buzzcapture B.V.;1;;;;;;;1
BuzzMaster B.V.;2;1;;;;;;2
BVR Advis. Sted. Ontw. en Management B.V.;3;;;;;;;3
By Leon;1;;;;;;;1
BySpy Products B.V.;1;;;;;;;1
C&F B.V.;3;;1;;;;;3
Cachelot B.V.;3;;;;;;;3
Cadenza B.V.;2;;;;;;;2
Caesar Accounts;;;;;;5;;5
Caesar Cons. - Ris.beoord. Chemische Stoffen;1;;;;;;;1
Café - Bistro 't Wapen;1;;;;;;;1
Café Charlemagne;1;;;;;;;1
Cafe De Brakke Grond;1;;;;;;;1
Café de Ceuvel;1;;;;;;;1
Café Haags Filmhuis;1;;;;;;;1
Café Orloff Utrecht B.V.;1;;;;;;;1
Café Restaurant Rootz B.V.;1;;;;;;;1
Cafe/Restaurant De Eeuwige Jachtvelden;1;;;;;;;1
Café-Restaurant New York Den Haag;1;;;;;;;1
Café-Restaurant Nieuw Land B.V.;1;;;;;;;1
Cafetaria Prick;1;;;;;;;1
Can you imagine;2;1;;;;;;2
Canal Company B.V.;1;;;;;;;1
Cancer Health Coach;4;;;;;;;4
Canon Nederland N.V.;1;;;;;;;1
Capgemini Nederland B.V.;4;2;;;;;;4
Capwell B.V.;;1;;;;;;1
Cargorilla Logistics B.V.;1;;;;;;;1
Carlton Beach Club;2;1;;;;;;2
Carnegie Consult B.V.;2;;;;;;;2
Caroni;1;;;;;;;1
Carthago ICT;1;;;;;;;1
Carto Studio B.V.;1;;;;;;;1
Castle Communications B.V.;4;;;;;;;4
Cateau;1;;;;;;;1
Cater Cloo;;1;;;;;;1
Catering Charlottes;1;;;;;;;1
Catering Oud London B.V.;1;;;;;;;1
Cateringservice Dik Voor Elkaar;1;;;;;;;1
CATREAL.COM;;1;;;;;;1
CE Delft;5;2;;;;;;5
Cebeon Centr. Beleidsadviserend Onderz. B.V.;3;;;;;;;3
Cecile Seignette Public Relations;2;;;;;;;2
CED Interim Professionals B.V.;1;;;;;;;1
Ceeh Communicatie en Ondersteuning;2;;;;;;;2
Cegeka;1;;;;;;;1
Centraal Boekhuis B.V.;1;;;;;;;1
Central Point Nederland B.V.;1;;;;;;;1
Centrale Organis. voor Radioactief Afval N.V.;1;;;;;;;1
Centre for Generative Leadership B.V.;1;;;;;;;1
Centric;;1;;;;;;1
Centric Test & Security Professionals B.V.;1;1;;;;;;1
CGI;5;;;;;5;;6
Changer B.V.;;2;;;;;;2
Cherry Creek Ltd.;1;;;;;;;1
Chev-A;2;;;;;;;2
CHEW Consultancy;3;;;;;;;3
China Shipping Agency Co. (Netherlands) B.V.;3;;;;;;;3
Chinees-Japans Restaurant 'Paradijs';1;;;;;;;1
Chocolaterie Le Cacao;1;;;;;;;1
Christelijke Hogeschool Windesheim;2;;;;;;;2
Chubb Fire & Security Alkmaar;2;;;;;;;2
Cimco B.V.;4;;;;;;;4
Cimsolutions;2;2;;;;4;;4
CineRebels;1;;;;;;;1
Cirkellab B.V.;2;;;;;;;2
Ciska Glerum Marktonderzoek & Advies;2;;;;;;;2
Cittaideale;2;3;;;;;;4
Civic Architecture;2;;;;;;;2
Claassens Solutions;2;;;;;;;2
Clausing & Co;3;;;;;;;3
Clean Tech Delta;2;;;;;;;2
Cleerdin & Hamer Advocaten;1;;;;;;;1
Climaintenance B.V.;1;;;;;;;1
Climate Neutral Group B.V.;1;;;;;;;1
ClimateContact Consultancy;2;;;;;;;2
CLM Onderzoek en Advies B.V.;2;2;;;;;;3
CO3 (Toon van Lieshout);2;;;;;;;2
Coastal & Marine Union;2;;;;;;;2
Code Zero Visual Concepts;1;;;;;;;1
Coform B.V.;1;;;;;;;1
Collab B.V.;1;;;;;;;1
Collabó B.V.;1;;;;;;;1
Collabo Media B.V.;1;;;;;;;1
Columba Communications;1;;;;;;;1
Comcept B.V.;1;;;;;;;1
Comic House Amsterdam B.V.;1;;;;;;;1
ComKracht4;1;;;;;;;1
Comminz Schiedam;1;;;;;;;1
Common Eye B.V.;1;;;;;;;1
commongrounds;1;;;;;;;1
CommPartners;1;;;;;;;1
Communicatie Bureau Podium B.V.;3;;;;;;;3
Communicatiebureau De Lynx;2;;;;;;;2
Communicatiekrachten;2;;;;;;;2
Compacon West Nederland B.V.;2;;;;;;;2
Company B.V.;2;1;;;;;;2
COMPAREX Nederland B.V.;6;;;;;;;6
Compass Group Nederland B.V.;1;;;;;;;1
Competence Factory;1;;;;;;;1
Complete Dienstverlening B.V.;1;;;;;;;1
CompLions B.V.;;1;;;;;;1
Compu'Train;1;;;;;;;1
Concorde Group B.V.;1;1;;;;;;1
Conducto B.V.;2;;;;;;;2
Configo Management B.V.;2;;;;;;;2
Congress by design;2;;;;;;;2
conn.;2;2;;;;;;3
Connected Strateg. Veranderingsprocessen B.V.;1;;;;;;;1
Connection Systems B.V.;2;;;;;;;2
Connexxion Taxi Services B.V.;1;;;;;;;1
Conoship International B.V.;2;;;;;;;2
Conquist Consultants B.V.;2;;;;;;;2
Conrad Electronic Benelux B.V.;1;1;;;;;;1
CONSENS Advies B.V.;1;;;;;;;1
Considerati B.V.;3;;;;;;;3
ConsultingKids;1;;;;;;;1
Coöperatie Biomassalland UA;1;;;;;;;1
Coöperatie De Betekenaar UA;1;1;;;;;;1
Coöperatie Green Events Nederland UA;2;;;;;;;2
Coöperatie Oxalis UA;1;;;;;;;1
Coöperatie PreventPartner UA;2;;;;;;;2
Coöperatief Congrestolkensecretariaat UA;1;;;;;;;1
Coöperatieve Circle Economy UA;2;;;;;;;2
Coöperatieve Publieke Versnellers UA;1;;;;;;;1
Coöperatieve Vereniging Diversity Joy UA;1;;;;;;;1
Coosto Holding B.V.;2;;;;;;;2
Coraal;2;;;;;;;2
Cornelissen Aannemingsbedrijf B.V.;1;;;;;;;1
Cosine Science & Computing B.V.;;3;;;;;;3
CPLS Text & Copy;2;;;;;;;2
CRA Nederland B.V.;1;;;;;;;1
Crawford;1;;;;;;;1
Crazy Piano's Scheveningen B.V.;1;;;;;;;1
Cre-Aid B.V.;1;;;;;;;1
Creative Communications Company;1;;;;;;;1
CREM;2;;;;;;;2
Crisispartner;3;;;;;;;3
Crossover Consultancy B.V.;1;;;;;;;1
CT-Plus B.V.;2;;;;;;;2
Cubic Square B.V.;;1;;;;;;1
Culpepper B.V.;2;;;;;;;2
Cultureel Centrum De Wiese;1;;;;;;;1
Cuna International B.V.;1;;;;;;;1
Cup of Tea;1;;;;;;;1
Customeyes B.V.;;1;;;;;;1
CZ Consultancy;2;;;;;;;2
D.C.L. Luchtvaart Facilitair Bedrijf;2;;;;;;;2
Daan exploiteert B.V.;1;;;;;;;1
Dacat B.V.;2;;;;;;;2
Dagelijks Lekker B.V.;1;;;;;;;1
Dakbar B.V.;1;;;;;;;1
daniëlmaarleveld.nl;1;;;;;;;1
Dassen Bouw B.V.;1;;;;;;;1
Data Space Nederland B.V.;3;;;;;;;3
Data Transmissie;2;;;;;;;2
Dataland B.V.;1;;;;;;;1
Datalinx Congres- en Secretariaatbureau;2;;;;;;;2
DataMoll;1;;1;;;;;1
Dave's Cuisine;1;;;;;;;1
Dawid Technisch Projectmanagement;2;;;;;;;2
Dbf Communicatie B.V.;2;1;1;;;;;2
Dbvision B.V.;4;;;;;;;4
DCS (Dynamic Company Solutions);1;;;;;;;1
De Aanhef Tekst & Media;2;;;;;;;2
De Baak Administratie;1;;;;;;;1
