OBJECTID,STRAATKODE,STRAATNAAM,OMSCHRIJVING,ONDERSCHRIFT,NR_BESLUIT,DDBESLUIT,BESLUITVOLGNR,TEKENINGNR,DATUM_BESLUIT,DDINGANG,DDEINDE,SHAPESTLength
11,01360,Lieshoutstraat,Plaats in de gemeente Laarbeek in de provincie Noord-Brabant.,,"43758, D47-172",,,"c, QR",,19780116,,895.364537286705
12,00487,Korenmarkt,"Vroeger: Nije Merckt; graanmarkt sinds 1563. Zeer oud gedeelte van de stad. Aan het plein voormalige Lutherse kerk (1735).",,,,,,,19010101,,160.100962060189
13,01071,Zuilesteinlaan,"Naar het 14e-eeuwse landgoed Zuylestein in Leersum, provincie Utrecht. Door oorlogshandelingen is het kasteel verloren gegaan, maar het historische park is te bezoeken.",,,,,,,19950101,,305.519568443389
14,00346,'t Hofje,,,,,,,,,,233.239852652642
15,00358,Honigkamp,Oude weidenaam uit Presikhaaf.,,,,,,,19591130,,776.079733345648
16,01359,Tilburgweg,Plaats in de provincie Noord-Brabant.,,"43758, D47-172",,,"c, QR",,19780116,,623.831153262672
17,01196,Rietveldstraat,Plaats in de provincie Zuid-Holland.,,"10596, D47-165",,,"d, B",,19750310,,38.1056914539204
18,00537,Lisztstraat,Franz Liszt (1811-1886). Hongaars pianist en componist. Tot zijn bekendere werk behoren de 'Hongaarse Rapsodieën'.,pianist en componist  (1811-1886),,,,,,19310518,,243.358556614845
19,01915,Tolgaarderwaard,"Thema metamorfosen: boeren, burgers en buitenlui. De tolbeambte die op rijkswegen tolgeld hief.",,2007.0.009.225,,,2006-GEO-06153 (oud),,6-3-2007,,370.021657453115
20,01005,Weg naar 't Lange Water,Deze naam is afgeleid van de vroegere boerderij 'Het Lange Water' die vermoedelijk op haar beurt naar een beek was genoemd.,,6561/3,,,"a, F",,19341112,,124.869357522196
21,02042,Ampèrestraat,In de natuurkunde is de ampère een eenheid van elektrische stroomsterkte genoemd naar de Franse fysicus André-Marie Ampère (1775–1836),,2014.0.065.812,,,2014-NOR-004,,20140508,,136.598327039282
22,00601,Moeraskersstraat,Plant uit de kruisbloemenfamilie. De moeraskers groeit op natte tot vochtige standplaatsen.,,"669, D47-83",,,"b, R",,19621105,,93.7482881777049
23,01810,Wessel Couzijnhof,"Wessel Couzijn (1912-1984), expressionistische beeldhouwer. Werken in Arnhem zijn bijv. 'fries binnenplaats' aan de oostgevel Provinciehuis, en 'Teken' op de hoek Amsterdamseweg / Schelmseweg.","Beeldhouwer, 1912 - 1984",SB/RGI/2003/84,,,"L, K",,20040203,,472.877376463722
24,01992,Stenen Kruis,"Verwijst naar het stenen kruis dat jarenlang in de nabije omgeving van het project heeft gestaan en is opgericht ter nagedachtenis aan een persoon die in de 16e eeuw zou
gaan wonen op kasteel Meinerswijk, op weg daarnaartoe is aangevallen en zich letterlijk dood heeft gevochten.",,2011.0.021.817,,,2008-GEO-00119,,20110308,,68.4978663341105
25,00936,Veilingstraat,Naar het veilinggebouw dat hier tot 1913 stond.,,,,,,,19130428,,152.138763445418
26,00919,Twikkelstraat,"Huis Twikkel te Delden gebouwd in 1551, verbouwd in de 17e en 19e eeuw.",,"669 , D47-96",,,"a, F",,19650809,,148.097162834593
27,01713,Simon Carmiggelthof,"Simon Johannes Carmiggelt (1913-1987), Nederlands schrijver,dichter, journalist en publicist. Pseudoniemen die hij gebruikte waren o.a. Kronkel en Karel Brallepu. Bekend van o.a. 'Vijftig dwaasheden' (1940), 'Allemaal onzin' (1947) en 'Al mijn gal' (1954).","schrijver, dichter, journalist en publicist (1913-1987)","BPS96/102N, D47-338",,,"L, i",,19960902,,119.143568968204
28,00803,Schaddeweg,"Schadde is een zode van veenachtige heidegrond, die gedroogd als brandstof wordt gebruikt.",,,,,,,19680715,,113.883750125646
29,00309,Hazenpad,"Naar een vroegere weg. ( In de volksmond wordt het gedeelte van de Rijksweg 12, waarvan de aanleg in de oorlogstijd begonnen is, het ""Hazepad"" genoemd.)",,,,,,,19230904,,81.5870405839677
30,00534,Van Linschotenstraat,"Jan Huygen van Linschoten (1563-1611), ontdekkingsreiziger. Reis naar Goa (Voor-Indië) van 1583-1592.",ontdekkingsreiziger (1563-1611),,,,,,19321010,,147.701387195641
31,01800,Boomkwekerserf,Thema metamorfosen: Boerenbevolking door de eeuwen heen. Deze tuinder richt zich op boomteelt.,,"SB/RGI/03/106, D47-379",,,"L, J",,20030819,,243.738392617205
32,00823,Seytweg,Historische benaming uit Schaarsbergen.,,"75126, D47-91",,,"g, PQ",,19640521,,617.634039379908
33,00501,Dr. A. Kuyperstraat,"Dr. Abraham Kuyper (1837-1920). Theoloog, staatsman, minister-president 1901-1905. Mede -prichter van de Vrije Universiteit te Amsterdam.",theoloog en minister-president (1837-1920),1323,,,"c, B",,20210905,,327.731707084805
34,01370,Ulvenhoutstraat,Plaats in de gemeente Breda in de provincie Noord-Brabant.,,"3647, D47-311",,,"i, W",,19901119,,496.944484046912
35,00158,Cronjéstraat,"Petrus A. Cronjé (1835-1911). Zuid-Afrikaans generaal in de Boerenoorlog, eind 19e eeuw.",Zuid-Afrikaans generaal (1835-1911),,,,,,19010903,,159.269000606564
36,00162,Dalweg,Veldnaam.,,,,,,,19151122,,1542.14808190833
37,01973,Thaliastraat,"De Romeinse dichter Ovidius schreef het omvangrijke dichtwerk 'Metamorfosen'. In de Metamorfosen worden de schepping en geschiedenis van de wereld verhaald volgens de Griekse en Romeinse mythologie. Thalia was één van de negen muzen, de muze van de komedie.",,2010.0.121.310,,,2010-GEO-00347,,20101207,,380.621454088054
38,02041,Fortuna,"Metamorfosen thema: mythologie. De Romeinse dichter Ovidius schreef het omvangrijke dichtwerk 'Metamorfosen'. In de Metamorfosen worden de schepping en geschiedenis van de wereld verhaald volgens de Griekse en Romeinse mythologie. Fortuna was de Romeinse godin van het toeval of van het lot, zowel van het geluk als van het ongeluk.",,2014.0.065.815,,,2013-NOR-002,,20140708,,424.730833929435
39,00725,Plein 1813,Ter herinnering aan het eeuwfeest der onafhankelijkheid 1813-1913.,,,,,,,19131113,,119.928595431765
40,01361,Halsterenstraat,Plaats in de gemeente Bergen op Zoom in de provincie Noord-Brabant.,,"43759, D47-173",,,"c, QR",,19780116,,479.862811642834
41,00545,Lovinklaan,Dr.ir.H.J. Lovink (1866-1907). Directeur (toenmalige) Ned. Heidemaatschappij van 1892-1907.,Directeur (toenmalige) Ned. Heidemaatschappij (1866-1907),,,,,,19201227,,118.621889175542
42,00839,Smalle Veld,Veldnaam.,,"669 , D47-96",,,"a, F",,19650809,,89.2140087130939
43,00337,Heuvelmaat,Veldnaam.,,"669 , D47-96",,,"a, F",,19650809,,237.618283770455
44,00661,Ockeghemlaan,"Johannes of Jean Ockeghem, 15e-eeuws Zuid-Nederlandse musicus.",,"981, D47-64",,,"a, L",,19591130,,221.617736246776
45,01837,Romeinenveld,"Volksstam uit het Romeinse Rijk, dat reikte van Schotland tot Mauritanië, vandaar tot aan de Sudan, Georgië, de Krim, langs Donau en Rijn tot aan de Nederlandse kust.",Volksstam uit het Romeinse Rijk,"rgi/04/85, D47-383",,,"m, A",,20040525,,319.90299457559
46,00688,Oude Stationsstraat,"Straat naar het 1e station (1845). Opening van de lijn: Amsterdam-Arnhem 1845, Amsterdam-Keulen 1846, Arnhem-Zutphen 1865, Arnhem-Nijmegen 1874.",,"SB/RGI/04/159, D47-385c",,,"m, C",,20040824,,266.741941447544
47,00278,Van Goyenstraat,"Jan van Goyen (1596-1656), schilder van landschappen (o.a. gezichten op Arnhem).",schilder (1596-1656),"773, tek.9595, 9805",,,"a, M",,19280116,,354.976195569348
48,01451,Bouwberghof,Plaats in de provincie Limburg.,,"26864, D47-200",,,"e, G",,19820601,,61.805104371825
49,01009,Weldamlaan,"Huis Weldam te Goor, gebouwd in 1644-1645.",,"669 , D47-96",,,"a, F",,19650809,,405.964028675175
50,01622,Top Naeffstraat,"Anthonetta van Rhijn - Naeff(1878-1953), Nederlands schrijfster. In haar novellen en romans geeft ze een wat ironische beschrijving van de vrouwen in haar tijd binnen de gegoede burgerij. Bekend van o.a. 'Zie de maan schijnt…' (1905), 'Offers' (1932) en 'School-idyllen' (1900).",schrijfster (1878-1953),"91.006042, D47-315",,,"RW3, O",,19910506,,89.7969671023758
51,01505,Schepen Ploechpad,"Derick Ploech, schepen te Arnhem rond 1420. Schepenen maakten deel uit van het stadsbestuur.",stadsbestuurslid in 1578,"65167, D47-230",,,"f, UV",,19851014,,59.7123932141276
52,00995,Watermuntstraat,Geurende waterplant.,,"669, D47-83",,,"b, R",,19621105,,365.416918909764
53,01697,Franz Kafkastraat,"Tsjechisch schrijver (1883-1924). Bekend van o.a. 'Het proces' (1925), 'Het slot' (1926) en 'De gedaanteverwisseling' (1915).",Tsjechisch schrijver (1883-1924),"BPS96/102N, D47-338",,,"RW2, i",,19960902,,42.8342069456177
54,01339,Hagemanswei,De naam is ontleend aan de in het voormalige Elden voorkomende weidegronden. Verwijzing naar de agrarische oorsprong van dit gebied.,,"24285, D47-168",,,"c, S",,19760913,,491.246428717074
55,00650,Novalaan,Naar de voormalige villa 'Nova'.,,,,,,,19270523,,204.56685542689
56,00880,Strolaan,Veldnaam.,,,,,,,19010101,,601.641008390685
57,01627,Anna Blamanstraat,"Nederlands schrijfster, pseudoniem van  Johanna Petronella Vrugt (1905-1960). Ontving P.C. Hooftprijs 1956 voor haar hele oeuvre. Bekend van o.a. 'Op leven en dood' (1954), 'Overdag' (1957) en 'De verliezers' (1960).","schrijfster, pseudoniem van J.P. Vrugt (1905-1960)","91.007440, D47-316",,,"RW3, Q",,19911202,,215.030458561002
58,01206,Vrijhoevenpad,Plaats in de provincie Zuid-Holland.,,"10596, D47-165",,,"d, B",,19750310,,86.8813251605266
59,00354,Holtweg,Oude veldnaam uit Schaarsbergen,,2010.0.107.799,,,"g, PQ",,20101109,,192.527875260511
60,00553,Maasbergseweg,"Naar de ""Maasbergse bossen"" ten noorden van Warnsborn.",,,,,,,,,1353.37951369416
61,01350,Eerselstraat,Plaats in de provincie Noord-Brabant.,,"32098, D47-170",,,"c, QR",,19770228,,150.868766385512
62,00776,Römerselaan,"Genoemd naar de voormalige herberg 'Der Römer', gelegen op de hoek van de Velperweg en de Römerselaan.",,,,,,,19060423,,215.311909443865
63,01944,Normaalspoor,"Metamorfosen thema: Nederlandse spoorwegen in de loop der tijd. Normaalspoor is de gestandaardiseerde spoorwijdte, de enige die nu in Nederland gebruikte wordt.",,2007.0.098.310,,,2007-GEO-00120,,15-4-2008,,65.1760156118162
64,01324,Veghelstraat,Plaats in de provincie Noord-Brabant.,,"10596, D47-164",,,"c, QR",,19750310,,53.892490973181
65,00505,Laan van Angerenstein,Naar het landgoed 'Angerenstein'.,,,,,,,19360316,,186.151789711884
66,00248,Gabriëlstraat,"Paul J.C. Gabriël (1828-1903), Ned. schilder, leerling o.a. van Mauve. Landschapsschilder uit de zgn. Haagse school.",schilder (1828-1903),,,,,,19340108,,481.814900685033
67,00321,Helsdingenstraat,"W.P.G. Helsdingen (1850-1921), journalist, lid van de gemeenteraad 1904-1908, lid Tweede Kamer, medeoprichter SDAP.",raadslid (1850-1921),"981, W.220-12",,,"a, K",,19560903,,303.055069980093
68,01371,Breezandpad,Plaats in de provincie Noord-Holland.,,,,,,,,,758.798821101211
69,01291,Moordrechtpad,Plaats in de provincie Zuid-Holland.,,"3337, D47-161",,,"c, IJ",,19740701,,119.38951243854
70,01509,Goirlepad,Plaats in de provincie Noord-Brabant.,,"66793, D47-237",,,"g, B",,19851125,,92.8644737728145
71,00325,Herenstraat,Herkomst van de naam onbekend.,,,,,,,,,217.615348018053
72,00648,Noord- Peterstraat,"Naar het St. Petersgasthuis, dat in de omgeving gronden bezat.",,"67659, D47-239",,,"g, D",,19851216,,140.200848535124
73,00383,Jachthoornlaan,Vernoemd naar hoorn gebruikt bij de jacht.,,6812,,,"a, N",,19680715,,544.894738185898
74,00960,Viottastraat,"Henri Viotta (1848-1933), Nederlandse dirigent en componist.",dirigent en componist (1848-1933),"981, D47-64",,,"a, L",,19591130,,246.274789509159
75,00503,Kwekerijstraat,i.v.m. Tuinstraat en Bloemstraat.,,,,,,,19530921,,125.61095281176
76,00172,Diependalstraat,Naar het landgoed 'Diependal'.,,,,,,,19950101,,339.142740925992
77,00363,Hoornestraat,"Philips de Montmorency, graaf van Hoorne (1518-1568), onthoofd te Brussel, stadhouder van Gelderland 1555-1560.",graaf van Hoorne (1518-1568),6561/3,,,"a, F",,19341112,,209.523968640631
78,01989,De Schutterij,Naar de schutterij die al sinds de 1644 in dit gebied bestaat.,,2011.0.021.817,,,2008-GEO-00119,,20110308,,314.487283039429
79,01998,Garde Grenadiers,"Naar het Garderegiment Grenadiers, vroeger gelegerd op de Saksen-Weimarkazerne.",,2012.0.041.727,,,2012-GEO-00072,,20120417,,254.304489546582
80,00962,Vivaldistraat,"Antonio Vivaldi (1675-1743), Italiaans componist van o.m. 'De vier jaargetijden'.",componist (1675-1743),"981, D47-64",,,"a, L",,19591130,,83.2826946139473
81,00142,Clematisstraat,"Plantensoort uit de ranonkelfamilie, klimplant.",,,,,,,19510219,,76.4392323237878
82,00868,Staringstraat,Zie beschrijving Staringplein.,,,,,,,,,140.565313501211
83,00084,Boksbergenstraat,"Huis Boksbergen te Diepenveen, een havezate gebouwd in 1653.",,"669 , D47-96",,,"a, F",,19650809,,138.123946806593
84,01058,Ijssellaan,"Deze straat loopt ongeveer evenwijdig aan de Ijssel; de namen van de Rivierenbuurt zijn in vervolg hierop onstaan.",,"SB/OBEH/05/692, D47-395",,,"m, K",,20050531,,4971.58068898792
85,00950,Verlengde Prümelaan,Zie Prümelaan.,,,,,,,19360316,,302.770113616
86,00741,Pijlkruidstraat,Pijlkruid is een waterplant uit de waterweegbreefamilie,,"669, D47-83",,,"b, R",,19621105,,509.026379105075
87,00766,Riethorsterstraat,Zie Rietgrachtstraat.,,"45422, D47-213",,,"f, A",,19831212,,112.886026154538
88,01086,Onstweddestraat,Plaats in de provincie Groningen.,,"628, D47-140",,,"b, W",,19710118,,325.739419204443
89,00634,St. Nicolaïlaan,"Naar St. Nicolaï-broederschap, gesticht in 1387 bij de Rijnpoort. In de 15e eeuw werden kerk en gebouwen naar de Koningstraat overgebracht. Het pand is gesloopt in 1857.",,,,,,,,,219.289176085573
90,00334,Het Lage Erf,Genoemd naar boerderij bij Warnsborn 'Het Lage Erf'. Aldaar is ook aanwezig de boerderij 'Het Hoge Erf'.,,420298,,,,,19550704,,465.22992662248
91,01523,Volendamstraat,Plaats in de provincie Noord-Holland.,,"601929, D47-244",,,"g, H",,19860324,,346.509413770938
92,01682,Wim Kanstraat,"Willem Cornelis Kan (1911-1983), Nederlands cabaretier. Bekend van o.a. het ABC-cabaret en zijn ouderjaarsconferences. Kan was gehuwd met Corry Vonk. Onderscheidingen: Davidsring (1954).",cabaretier (1911-1983),"95-026089, D47-332",,,"RW2, H",,19950904,,67.7233843698024
93,00968,Volkerakstraat,"Het Krammer-Volkerak, tussen Goeree-Overflakkee en Brabant, is een uitgestrekt zoetwatermeer met de daaromheen liggende graslanden en ruigten. Het water stond eerder, vóór afsluiting door de Philipsdam, via de Grevelingen en Oosterschelde in open verbinding met de zee.",,981/184,,,"a, C",,19570611,,243.487014743775
94,00631,Van Nesstraat,"Aert van Nes (1625-1693), vice-admiraal. Vierdaagse zeeslag.",marineofficier (1625-1693),,,,,,19591130,,216.716196992026
95,01059,Ijsseloordweg,Naar de voormalige schans 'ijsseloord' en het buurtschap van die naam.,,"669/34, D47-74",,,"b, R",,19610719,,4942.99112417744
96,01325,Hoekwei,De naam is ontleend aan de in het voormalige Elden voorkomende weidegronden. Verwijzing naar de agrarische oorsprong van dit gebied.,,"24285, D47-168",,,"c, S",,19760913,,66.654644921652
97,00291,Grote Oord,"De naam is al lang in gebruik, vroeger als Grootenoord. Het plein was oorspronkelijk groter dan thans. Voormalige gerichtsplaats.",,,,,,,19010101,,46.3101681703207
98,01903,Strekelland,"Metamorfosen thema: akkerbouwattributen uit heden en verleden. Een strekel is een stuk gereedschap (stuk hard hout, ijzer, staal of steen) waarmee een zeis, een zicht of mes wordt aangezet.",,SB/OBEH/06/2048,,,2006-geo-06291,,28-11-2006,,209.395347159054
99,00910,Trans,De omgeving van de Oude Trans werd door de Slag om Arnhem totaal verwoest. Bij de herbouw van de stad heeft een nieuw plein de naam van Trans gekregen. Een trans is een omheining. De oorspronkelijke Trans had betrekking op de omheining van het kerkhof van het Minderbroederklooster. (zie Broerenstraat.),,,,,,,19520908,,262.974250730735
100,01078,Halvemaansteeg,Historische naam. Vroeger verbond de steeg de straten Kleine Oord en Langstraat met elkaar.,,628,,,"a, B",,19710308,,60.5327063377312
101,00094,Dr. Bosstraat,"Dr. Dirk Bos (1862-1916), staatsman. Doctor in wis-en natuurkunde. Voorvechter gelijkstelling openbaar en bijzonder onderwijs.",politicus (1862-1916),,,,,,19250907,,172.30583266913
102,00858,Sprokkelweg,Sprokkel het verzamelen van hout etc. etc.,,,,,,,19950101,,78.5285225324198
103,01541,Heerjansdampad,Plaats in de provincie Zuid-Holland.,,"611749, D47-254",,,"g, T",,19870119,,101.180155176594
104,01275,Wormerveerstraat,Plaats in de gemeente Zaanstad in de provincie Noord-Holland.,,"3337, D47-160",,,"c, IJ",,19740701,,369.385940250265
105,00658,3e Nijverheidstraat,Zie beschrijving 1e Nijverheidsstraat.,,,,,,,,,74.4311762637136
106,00555,Madelievenstraat,Weideplant.,,,,,,,19590611,,338.499752121887
107,00404,Johan de Wittlaan,"Johan de Witt (1625-1672), raadspensionaris van Holland, 1653. Hij was leider van de zgn. Staatsgezinden. De Witt werd vermoord bij de omwenteling in 1672.",raadspensionaris (1625-1672),,,,,,19321010,,5196.86664190484
108,02043,Laakoever,"Metamorfosen thema: water; een Laak is een waterhoudend lichaam, zoals een afvoersloot, Beek, Drasland, Grenssloot en Moerassig land.",,2014.0.065.816,,,2014-NOR-005,,20140708,,389.607493666241
109,01841,Antoon van Hooffplein,"Antoon van Hooff (1937-2004), oud-directeur Burgers Zoo.",ouddirecteur van Burgers' Zoo (1937-2004),"rgi/04/106, D47-381",,,"m, B",,20040622,,254.917435994051
110,00671,Oosterhofstraat,"Havezate Oosterhof te Rijssen, verbouwd in de 18e eeuw.",,"669 , D47-96",,,"a, F",,19650809,,82.1179940751721
111,01774,Veenwortelstraat,Een water- en landplant.,,SB/RGI/03/29,,,"L, E",,20030325,,158.357517186136
112,01383,Teteringenstraat,Plaats in de gemeente Breda in de provincie Noord-Brabant.,,"62264, D47-183",,,"d, E",,19790827,,769.135028328153
113,00604,Molenbeekstraat,"Genoemd naar het landgoed Molenbeke, dat zijn naam ontleende aan de thans grotendeels gerioleerde beek, waaraan enige watermolens stonden. (zie Schavenmolenstraat)",,"56435, D47-223",,,"f, K",,19841119,,169.225689659942
114,00637,Nieuwe Havenweg,,,6947,,,"a, B/ 18388",,19470623,,1634.12206073959
115,00940,Velperbuitensingel,Nabij het Velperplein.,,,,,,,19010101,,393.549198834593
116,00264,Gerhard Voethstraat,"Gerhard Voeth, kanselier van Gelderland van 1603-1607.",kanselier van Gelderland van 1603-1607,6561/3,,,"a, F",,19341112,,159.492223251045
117,01901,Mathaakland,"Metamorfosen thema: akkerbouwattributen uit heden en verleden. Een mathaak is een rond of hoekig gebogen voorwerp, meestal van een of ander metaal. Een mathaak dient om iets vast te houden, te grijpen, naar zich toe te trekken, aan op te hangen enz.",,SB/OBEH/06/2048,,,2006-geo-06291,,28-11-2006,,244.70417314542
118,01981,De Hammen,"Thema: wateren, rivieren en zeearmen uit het Scheldegebied. De Hamme is een diepe stroomgeul.",,2011.0.003.442,,,2010-GEO-00417,,20110201,,214.69362841852
119,01238,Gaasterlandstraat,Plaats in de provincie Friesland.,,"8345, D47-151",,,"b, W",,19720821,,165.332485755683
120,00498,Kromme Elleboogsteeg,Genoemd naar de vorm.,,,,,,,19010101,,120.147941676903
121,00644,Dr. Nolenslaan,"Mgr. Dr. Willem Hubert (Wiel) Nolens (1860-1931). Priester, staatsman, hoogleraar.","priester, staatsman en hoogleraar (1860-1931)",,,,,,19511015,,233.323163170674
122,01913,Rentmeesterwaard,"Thema metamorfosen: boeren, burgers en buitenlui. De pachter huurt land of goederen en betaalt daarvoor (vaak) jaarlijks pachtgeld.",,2007.0.009.225,,,2006-GEO-06153 (oud),,6-3-2007,,409.74581961658
123,01636,Carl von Ossietzkyplantsoen,"Carl von Ossietzky (1889-1938), Duits journalist, pacifist en democraat, boegbeeld van het verzet tegen Hitler. Winnaar van de Nobelprijs voor de vrede in 1935.",nobelprijswinnaar voor de Vrede (1889-1938),"92.011748, D47-319",,,"RW2, A",,19920706,,646.353172207591
124,01327,Van Gentswei,De naam is ontleend aan de in het voormalige Elden voorkomende weidegronden. Verwijzing naar de agrarische oorsprong van dit gebied.,,"24285, D47-168",,,"c, S",,19760913,,275.019326956758
125,00206,Eduard van Beinumlaan,"Eduard A. van Beinum (1901-1959). Van Beinum was o.a. een jaar altist van de Arnhemse Orkest Vereniging, vanaf 1951 dirigent Concertgebouworkest.",dirigent Concertgebouworkest,"981, D47-64",,,"a, L",,19591130,,576.290141460158
126,00298,Hannesstraatje,Historische naam.,,,,,,,,,401.60959812849
127,01865,Graanhoeve,"Onder het gekozen thema Metamorfose, ook graan is opgenomen in de cyclus van veranderingen. Op graanakkers worden ook bloemen en vlinders aangetroffen, dat gegeven verwijst weer door naar fruitbomen.",,"SB/OBEH/05/1367, D47-394",,,"n, c",,20060103,,254.28020669035
128,00373,Huissensestraat,"Weg naar Huissen, moderne wegen. De vroegere verbinding met Huissen liep over de Malburgeseveerweg.",,,,,,,19360818,,5013.61281602061
129,01458,Heukelompad,Plaats in de provincie Limburg.,,"27209, D47-201",,,"e, H",,19820621,,131.804839558335
130,01581,Kopstuk,Oude veld- of boerderijnaam.,,"809720, D47-285",,,"RW3, F",,19881128,,132.275079823738
131,01157,Bleiswijkpad,Plaats in de provincie Zuid-Holland.,,"10596, D47-165",,,"d, B",,19750310,,57.8236213264361
132,01043,Willemstraat,Vermoedelijk een willekeurige naam.,,,,,,,19950101,,190.843006882203
133,00558,Magerhorststraat,"Havezate Magerhorst te Duiven, gebouwd omstraat 1550.",,"669 , D47-96",,,"a, F",,19650809,,150.101194503896
134,02050,Wolfsklauwstraat,Wolfsklauw is een geslacht uit de wolfsklauwfamilie (plant). De planten komen voornamelijk voor op drassige veen- en heidegronden.,,2015.0.078.175,,,2015-NOR-004,,20151006,,112.08856424516
135,00338,Heijdendaalsteeg,"Vroeger 'Anholtsteghe', genoemd naar het Hof van Anholt, later genoemd naar een bewoner van de steeg.",,,,,,,19010101,,80.6196718672246
136,00755,Van Remagenlaan,"Frederick van Remagen, stichter van een studiebeurs in de 15e eeuw.",stichter van een studiebeurs in de 15e eeuw,628,,,"a, E",,19700921,,339.723047759535
137,01619,Weg achter Moscowa,De weg grenst aan de noordzijde aan Moscowa en voert van de Schelmseweg naar de Apeldoornseweg.,,"2941, D47-309",,,"i, U",,19900917,,403.384387765592
138,01094,Winschotenstraat,Plaats in de provincie Groningen.,,"628, D47-140",,,"b, W",,19710118,,476.358473697169
139,00954,Verwoldelaan,Huis Verwolde te Laren (Gld.) gebouwd in 1776.,,"669 , D47-96",,,"a, F",,19650809,,299.3807701163
140,,,,,,,,,,,,238.322314141307
141,00663,Van Oldenbarneveldtstraat,"Johan van Oldenbarnevelt (1547-1619) staatsman, 1576 raadspensionaris Rotterdam. In 1586 advocaat van den Lande van Holland. In 1589 schonk de stad hem een ""zilver veguld dringeschier"" (dringerei) vanwege aan de stad bewezen diensten. 30 jaar later behoorde een der burgemeesters van Arnhem tot zijn rechters.",staatsman en raadspensionaris (1547-1619),,,,,,,,799.822747584711
142,00368,Van Huevenstraat,"Mr. Jan van Hueven (1380-1455), kanunnik te Arnhem, stichter van de studiebeurs: ""praebende uit de pastorien"".",kanunnik (1380-1455),6561/3,,,"a, F",,19341112,,296.813297312768
143,02065,Bliksemschicht,"Metamorfosen thema: Weer & Wind, Wolken, Zon, Jaargetijden. Bliksemschicht is een elektrische ontlading in de atmosfeer die gepaard gaat met donder.",,2016.0.020.899,,,2016-NOR-002,,20160418,,97.2614525789352
144,01246,Lemmerstraat,Plaats in de provincie Friesland.,,"8345, D47-151",,,"b, W",,19720821,,154.453811841622
145,01027,Wieringskamp,Veldnaam.,,"669 , D47-96",,,"a, F",,19650809,,89.075161340578
146,01977,Deurloo,"Thema: wateren, rivieren en zeearmen uit het Scheldegebied. De Deurloo is een geul in de Westerschelde.",,2011.0.003.442,,,2010-GEO-00417,,20110201,,708.422901759263
147,00782,Rosendaalseweg,Zie Rosendaalsestraat.,,,,,,,19010101,,3533.53287739325
