Leveranciers;6000 - ICT overig;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6310 - Aanschaf, beheer en onderhoud infrastructuur;6410 - Spraak en dataverbindingen;6510 - Uitbesteding ICT;Eindtotaal
Hoogendoorn Automatisering B.V.;;;;;;;;1;1
Huygens XC B.V.;;;;6;6;;;2;7
IBM Nederland B.V.;;;;3;4;1;;7;7
ICreative;;;;;1;;;;1
Improven B.V.;;;;;3;;;;3
In2Content B.V.;;;;;;;;1;1
Inmarsat Solutions B.V.;;;;;;;4;;4
Innovero Software Solutions B.V.;1;;;;;;;1;1
InsightsWorld B.V.;;;;;;;;1;1
Inter Access O.P. B.V.;;;;;;;;5;5
Interactive Blueprints B.V.;1;;;;;;;;1
Intermax outsourcing;;1;;;2;4;;2;4
Internedservices;;;1;;1;2;;;2
IT Risk Control;;;;;1;;;;1
ItaQ;;;;;5;;;2;5
iTZiT B.V.;;;;;;;;1;1
iWelcome B.V.;;;;;;2;;;2
Jacobs Breda Electronics (J.B.E.);;;;;;;1;;1
Jibes Data Analytics B.V.;;;;;;;;3;3
Kega Holding Company B.V.;1;;;;;;;;1
Kiwa CBS B.V.;;;;;;;;4;4
Klinkende Taal B.V.;;;;;;;;1;1
Kodision B.V.;;;;;;;;2;2
KPMG Staffing & Facility Services B.V.;;;;;;;;3;3
KPN B.V.;;1;3;;;1;4;;4
KPN Consulting B.V.;;1;2;1;;5;5;2;6
KPN XL;;;;;;;2;;2
L & M Software B.V.;;;;;;1;;1;2
Level Up B.V.;;;;;;;;2;2
License Consulting B.V.;;;;;;;;2;2
LINKIT B.V.;;;;;4;;;2;4
Log*in Consultants Nederland B.V.;;;;1;;;;2;2
Logan ICT Services B.V.;;;;;;;;2;2
Lucom Benelux B.V.;;;;;;;;1;1
M&M e-commerce B.V.;;;;;;;1;;1
Maakum Websites;1;;;;;;;;1
Marnecs Management;;;;;;;;1;1
Metis IT Support B.V.;;;;;;;;5;5
Misco Solutions B.V.;;6;7;7;3;7;1;7;9
Myler;;;;;;;;3;3
National Institute of Economic and Social Research;;;;;2;;;;2
NCC Group Escrow Europe B.V.;1;;;;;;;;1
Ned-IT B.V.;1;;;;;;;;1
New Age Financial Services;;;;;;;;1;1
New CTI Solutions B.V.;1;;;;;;;;1
NewTelco B.V.;;;;;;;1;;1
NovÃ¡ccent Group B.V.;;;;;;;;1;1
Numerical Algorithms Group Ltd.;;;;;1;;;;1
Odysseus Groep B.V.;;;;;;;;2;2
Oldenburger Automatisering;;;;;;;;1;1
Onsight Solutions B.V.;4;;;;;;;1;4
Opensesame ICT B.V.;;2;;;;;;;2
Operator Groep Delft B.V.;;;;;;;;1;1
Optelec Nederland B.V.;;;;;;;;1;1
Oracle Nederland;;;6;2;7;;;2;8
Orcavoice B.V.;;;;;;;1;;1
Ordina Beheer & Outsourcing;;;;4;;1;;6;7
Ordina Nederland B.V.;;;;;3;;;;3
Paraben Corporation;;;;;;;;1;1
Pardon Consult;1;;;;;;;;1
Perfectview;;;;;2;;;;2
PerkinElmer Nederland B.V.;;;;;;;;1;1
Piktochart Sdn Bhd;;;;;;;;1;1
Planon B.V.;;;;;1;;;2;2
PPRC B.V.;;;;;2;;;;2
PQR B.V.;2;;;;;;;;2
Pree E-RF-Tech;;;;1;;;;;1
Priority;;;1;;;;;;1
Profource B.V.;;;;;;;;2;2
Prolocation B.V.;;;;;;3;;;3
Prosilic;;1;;;;;;;1
Protinus IT B.V.;4;7;1;2;7;4;5;3;7
PW Consulting B.V.;;;;;;;;2;2
Qiagen Benelux B.V.;;;;;;;;1;1
QSM Nederland B.V.;;;;;;;;2;2
Quint Wellington Redwood Nederland B.V.;;;;;;;;2;2
Quintiq Applications B.V.;;;;;;;;2;2
QuoVadis Trustlink B.V.;;;;1;3;;;1;3
RadioAccess B.V.;;;;;;;;1;1
Rai Amsterdam Exhibitor Services;;;;;;1;;;1
RedNose IT B.V.;1;;;;;;;;1
ReplaceDirect BV;;;;;;;1;;1
Repromat B.V.;;2;;;;;;1;2
Restaurant & Catering Mennega;;;;1;;;;;1
Ricoh;;;;;;;1;;1
Ricoh Nederland B.V.;;;;;;1;;;1
Rohde & Schwarz Benelux B.V.;;;;2;;;5;;5
Routershop.nl;;1;;;;;;;1
SAP Nederland B.V.;;;;;4;;;;4
Sas Institute B.V.;;;;;3;;;;3
Satcomm.;;;;;;;1;;1
Satpower Nederland;;;;;;;1;;1
SCC Services B.V.;5;;;;;;;;5
Schiphol Telematics B.V.;;;;;;;2;;2
Schippers IT B.V.;;;;;;;;1;1
Scholten Awater B.V.;5;7;;5;;;1;;7
Schoonderbeek Installatie B.V.;;;;;;;;1;1
Scrumwise;;;;;;;;1;1
Sectra Communications B.V.;;;;;2;;;;2
Sentia B.V.;1;;;;;;;;1
SLTN IT Products B.V.;;;;;1;;;;1
SLTN IT Professionals B.V.;;;;;2;;;;2
SmartDocuments Nederland B.V.;;;;;;;;2;2
Snelpas Business Service B.V.;1;;;;;;;;1
Snow Software Benelux B.V.;;;;;2;;;2;3
SoftwareONE B.V.;;3;;7;9;3;2;5;9
Sogeti Nederland B.V.;;;;2;6;;;7;7
Solvinity;;;;;;2;;;2
SQL Integrator B.V.;;;;2;;;;1;2
Stanley Security Nederland B.V.;;;;;;;;3;3
Staples Nederland B.V.;3;2;;;;;1;;3
Start People;;;;;;;;2;2
Stg. Pens.fonds Benelux-Bur. Intell. Eigendom;;;;;;;;6;6
Stichting Accessibility;;;;;;;;1;1
Stichting Akvo;;;;;;;;2;2
Stichting Kwaliteits-Controle-Bureau;;;;;;;;2;2
Stichting Videma;;;;;1;;;;1
SURFmarket;;2;;;;;;;2
SURFnet B.V.;;3;;;;;;;3
SurveyMonkey Europe;;;;;1;;;;1
SXA Web Solutions;;1;;;;;;;1
T&T Compet&t.b.v.;;;;;2;;;1;2
Tailermade Techn. Team 'Triple T' Serv. B.V.;;;;;1;;;;1
Tangelo Software B.V.;;;;;1;4;;2;4
Tangram B.V.;;;;;1;;;;1
TCN SIG Telehousing Exploitatie B.V.;;;;;;7;;1;7
Tele2 Nederland B.V.;;;4;;2;;6;;6
Telegrootgebruik B.V.;;4;;;;;6;;6
Teleknowledge Call Center Solutions;;;;;2;;;;2
Telfort Zakelijk B.V.;;;;;;;1;;1
Telindus-ISIT B.V.;5;7;;6;;;1;;7
The MathWorks B.V.;;;;;2;;;;2
Thin Scale Technology;;;;;1;;;;1
Thomson Reuters Netherlands B.V.;;2;;;;;;;2
Tie Nederland B.V.;;;;;;;;2;2
TOPdesk Nederland B.V.;;;;;2;;;1;2
Transformation Technologies B.V.;;;;;;;;2;2
Triple P Nederland B.V.;1;2;;;;;2;;2
Tshukudu Technology College B.V.;1;;;;;;;;1
Uniscape B.V.;;;;;;3;1;;3
Unisys Nederland N.V.;;;;;4;;;4;5
Uselab B.V.;;;;;2;;;;2
USG Marketing & Communications;;;;;;;;2;2
Van Dorp installaties B.V.;1;1;;;;;;;1
VDMi Intelligence & Projects B.V.;5;;;;;;;;5
Verint Netherlands B.V.;;;;;;;;1;1
Vermaat Bedrijfshoreca B.V.;;;;;1;;;;1
VEVIDA B.V.;;;;;;1;;;1
Viadesk;;;;;;;;1;1
Vicrea Solutions B.V.;;;;;3;3;;4;5
Vodafone;;1;;;;3;7;1;7
Vodafone Libertel B.V.;;;;;;;1;;1
Volker Wessels Telecom Netwerk Solutions B.V.;;;;;2;;2;;2
Vrieservice B.V.;;;;;;;1;;1
Webservices.nl B.V.;;;;;;1;;1;2
Wedomedia B.V.;1;;;;;;;;1
Westkaap Automatisering B.V.;;;;;;;;1;1
WHC;;;;;;;;1;1
WiesWeb Application Development;;;;;;;;1;1
Xerox (Nederland) B.V.;4;;5;1;;;2;1;6
Xolphin B.V.;;;;;1;;;;1
XS4ALL Internet B.V.;;;;;;;2;;2
Ymor E-Services B.V.;;;2;;;;;;2
Zet Solutions B.V.;;;;;;1;;1;1
Ziggo B.V.;;;;;;;1;;1
Zylab Benelux B.V.;;;;;1;;;;1
Eindtotaal;7;9;8;8;10;7;8;10;12
