Leveranciers;8000 - Communicatie overig;8110 - Vakliteratuur, abonnementen en overige informatie;8210 - Vertaaldiensten;8310 - Relatiegeschenken niet voor eigen personeel;8410 - Evenementen en congresorganisatie;8510 - Diversen communicatie;8-Communicatie
Bannerhouse B.V.;;;;1;;;1
Barbarossa;;;;;2;;2
Barlow Bar & Restaurant / Lafayette Cafe / Tilkema;;;;1;;;1
Bart van Vliet Freelance Fotograaf;;;;;;1;1
Bascommunicatie (Bas Douma);;;;;;1;1
Bax-Shop.nl;;;;;;1;1
BBMR;;;;;1;;1
BBN Belangenvereniging Bedrijfshulpverlening Nederland;;1;;;;;1
Bear-Id;;;;;1;;1
Beatrix Theater;;;;;1;;1
Bee VOF (incl. SmartPR);;1;;;;;1
Bekijk Het Media;;;;;;1;1
Belangen Vereniging S.P.D.;;1;;;;;1
Beleidstheater;;;;;2;;2
Bella Italia Pizzeria Restaurant;;;;1;;;1
Benelux - Bureau Voor De Intellectuele Eigendom;;;;;;1;1
Berenschot Groep (incl. HB, KSG, Mazars Berenschot);;;;;2;;2
Best Western Hotels;;;;1;;;1
Bezinningsgroep Energie;;1;;;;;1
Bij Jaap Restaurant;;;;1;;;1
Bij12;;1;;;;;1
Bijenhuis Wageningen;;1;;;;;1
BIM Media;;1;;;;;1
Biotechnische Vereniging Nederland;;1;;;;;1
Bitti;;1;;;;;1
Blinker;;1;;;;1;1
Blitz Communicatie;;;;;;1;1
Bloembinderij Ben Stempher;;;;1;;;1
Bloemenmagazijn Aan De Zeven Alleetjes;;;;1;;;1
Bloemsierkunst Anneke Kapteyn;;;;1;;;1
Bobbe Abonnementen;;4;;;;;4
BodemenergieNL;;;;;1;;1
Boekhandel Minerva;;1;;;;;1
Bol.Com;;1;;;;;1
Bon Bon Party Service;;;;;2;;2
Bonheur Horeca Groep;;;;;1;;1
Boomerang Beach (vh Billabong Beach);;;;;1;;1
Bosman Wijnkopers;;;;1;;;1
Boterham Expres;;;;;1;;1
Boterwaag;;;;;1;;1
Bouwkennis;;1;;;;;1
Bovenkamers;;;;;;1;1
Brabanthallen Exploitatie Maatschappij;;;;;1;;1
Brainport Development;;;;;2;;2
Brasserie De Kroon;;;;1;;;1
Brasserie Royal Kroonenburg;;;;1;;;1
Brasserie Vrienden;;;;1;;;1
Bredemeijer Group;;;;2;;;2
Breijer Bouw en Installatie, Contractonderhoud, Elektrotecniek, Technisch Beheer;;;;;;1;1
Brinks Beleidsadvies B.V.;;;;;1;;1
Bruikman Reclamestudio;;;;;;3;3
Bubbles Company;;;;;;1;1
Buck Consultants International;;;;;1;;1
Buildingbusiness Uitgeverij;;1;;;;;1
Buitenlandse Pers Vereniging;;1;;;;;1
Buma Stemra;;1;;;;;1
Bureau van Dijk Electronic Publishing;;2;;;;;2
Bvit;;;;1;;;1
C.A.M. Management;;1;;;;;1
C365 Building Business Communities;;;;;2;;2
Café Barco;;;;;1;;1
Canal Company;;;;;1;;1
Capgemini;;;;;;1;1
Cargo Compliance Company (vh DGM);;1;;;;;1
Caris Bakkerij;;;;1;;;1
Carlos & Coby V.O.F.;;;;;1;;1
Carlton Hotel;;;;;1;;1
Carnegie Stichting;;;;;1;;1
Cascadis;;1;;;;;1
Catherine Weijburg Cazier;;;1;;;;1
CB Centraal Boekhuis (incl. Facturatie);;1;;;;1;1
Cendris (incl. Cendris Datacosulting);;;;;;1;1
Centrale Adviesdienst Fruitteelt;;1;;;;;1
Cheeseworks;;;;;;1;1
Chris Hopley Vertaalbureau;;;1;;;;1
Christian Restaurant;;;;1;;;1
Cialona Expo;;;;;1;;1
CineMec;;;;;3;;3
Citaat;;;;;;1;1
Cityhotel Exploitatie;;;;;1;;1
Clip/Stichting Pro;;1;;;;;1
Cloos Eetcafé;;;;;1;;1
Club van 30 B.V.;;;;;;2;2
CNB B.A.- Coöperatieve Nederlandse Bloembollencentrale;;1;;;;;1
Codo/Dubo Dorned;1;;;;;;1
Cogen Nederland;;;;;1;;1
Colan Translations;;;1;;;;1
Coldtrick It Solutions;;;;;1;;1
ColorbikeTours v.o.f.;;;;;1;;1
Communicatie Bureau De Lynx;;;;;1;;1
Company.Info;;3;;;;;3
Compass Group Nederland (incl. Eurest, ECS Catering, Avenance);;;;1;;;1
ComponentAgro;;1;;;;;1
Concorde Group;;;3;;;1;3
Congrestolken;;;1;;2;;2
Connexxion;;;;;1;;1
Consumentenbond;;1;;;;;1
Continental Bakeries;;;;1;;;1
Coosto;;3;;;;;3
CORENESS B.V.;;;;;;1;1
Creator Meeting Support;;;;;1;;1
Crem;;;;;1;;1
Crowne Plaza;;;;;1;;1
CTM Solutions;;2;;;;;2
CUBA Sittard;;;;1;;;1
Culipro;;;;;2;;2
Cycloon Post en Fietskoeriers;;;;;;1;1
D3P Adviseurs/C.R.M. van Veen;;;;;;1;1
Da Mauro Italiaans Restaurant;;;;1;;;1
Damen van Deventer;;;;;;1;1
Data Scripta;;2;;;;;2
DB Aktiviteiten B.V.;;;;1;;;1
DBC Dutch Broadcasting Company;;;;;;2;2
De Bakkerswinkel (incl. Geelhoed Eetwinkel);;;;;1;;1
De Basiliek Restaurant;;;;;;1;1
De Belgische Keizer Café-Restaurant;;;;1;;;1
De Beukenhof Restaurant Hotel;;;;1;;;1
De Bierelier Muziekcafé;;;;1;;;1
De Boer Tenten;;;;2;;;2
De Bomenconsulent;;;;1;;;1
De Bonte Wever Assen (De Smelt);;;;1;;;1
De Byzantijn Bloembinderij;;;;1;;;1
De Drankenmarkt;;;;;1;;1
De Fabrique;;;;;3;;3
De Ferrante Secretariaten en Opl B.;;;;;2;;2
De Gouden Wok;;;;1;;;1
De Gulle Gans Restaurant;;;;1;;;1
De Heiningenhoef V.O.F.;;;;1;;;1
De Herberg van Loon;;;;1;;;1
De Holland Winkel;;;;;1;;1
De Japanse Watertuin;;;;;1;;1
De Kleine Schorre Wijnhoeve;;;;;1;;1
De Kleine Witte Café;;;;;1;;1
De Kluis/Brasserie 't Zusje;;;;;1;;1
De Koninklijke Nederlandse Vereniging voor Koude;;1;;;;;1
De Levende Natuur;;1;;;;;1
De Media Maatschap;;;;;;1;1
De Observant Stadscafé;;;;;1;;1
De Persgroep (incl. PCM, De Volkskrant, Het Parool, Trouw, Algemeen Dagblad, Perscombinatie);;1;;;;1;1
De Poort van Kleef Café-Restaurant;;;;1;;;1
De Resolutie;;;;;;2;2
De Rijtuigenloods;;;;;2;;2
De Roerganger Restaurant;;;;1;;;1
De Rotterdam II C.V.;;;;;1;;1
De Ruijter Management;;;;;3;;3
De Telefoongids (KPN);;1;;;;;1
De Tuyn Restaurant (J.A.W. Groeneveld);;;;1;;;1
De Verlenging Eetcafe;;;;;1;;1
Déblé Venlo Relatiegeschenken;;;;1;;;1
Degen & Leideritz;;;;;;1;1
Dehullu Projekt (Dehullu Sign Sytems);;;;;;1;1
deLex Uitgeverij;;1;;;;;1
Deloitte Consulting;;;;;2;;2
Deltaclip International B.V.;;;;;1;;1
Demi Sec;;;;;;1;1
Den Haag Marketing & Events;;;;1;;;1
Den Hollander Uitgeverij;;1;;;;;1
Den Ouden Groenrecycling;;;;1;;;1
Department of Imagination;;;;;1;;1
Digidentity;;1;;;;;1
Digital-Scan;;;;;;1;1
Dining 56 Restaurant & Kookstudio;;;;;1;;1
Dionar;;;;;;1;1
Direct Teleservice;;;;;;1;1
DLV Plant;;1;;;;1;1
DNV Det Norske Veritas;;;;;1;;1
DoeNederland.nl;;;;;1;;1
Dokkumer Vlaggen;;;;;;1;1
Dor;;;;;1;;1
Dorine Verharen BNO;;;;;;1;1
Douwe Egberts;;;;;1;;1
Droog;;;;;4;;4
Dubbel Eten & Drinken;;;;;1;;1
Duivestein Media;;;;;1;;1
Dutch News;;;;1;;;1
Dutchculture;;;;;3;;3
Duurzame Energieproductie Exloërmond B.V.;;;;;1;;1
Dzb Party Catering;;;;1;;;1
E.L. Cravatte;;;;;1;;1
EBSCO Europe;;4;;;;;4
Ecoi China Activiteiten;;;1;;;;1
Ecorys Nederland (incl. Ecorys-Kolpron);;;;;1;;1
Ecp - Stichting Electronic Commerce Platform Nederland;;1;;;;;1
Eek & Ruijgrok, Restaurant Piet Hein Eek;;;;;1;;1
Eet & Café Onder de Pannen B.V.;;;;;1;;1
Eet- en Koffiehuis De Kiosk;;;;1;;;1
Eet Licht;;;;;1;;1
Effective English;;;1;;;;1
Eggheads Vertaalbureau;;;2;;;;2
EHM Hotels (incl. Apollo Hotels & Resorts);;;;;1;;1
e-Legal;;;;;;1;1
Emma Communicatie;;;;;;3;3
Empowering Management (Laurent Valbert);;;;;;1;1
Energeia;;2;;;;;2
Energy Matters;;;;;1;;1
Entomologie-Speciaalzaak Vermandel;;1;;;;;1
Entopic;;;;;1;1;1
ERGO research intelligence;;;;;;2;2
Estate Hosting;;1;;;;;1
Euro Events;;;;;1;;1
Euroforum;;;;;1;;1
Euroforum/SBO Studiecentrum Bedrijf en Overheid;;;;;1;;1
European Weed Research Society;;1;;;;;1
Europese Beweging Nederland;;1;;;;;1
Evenementenhal;;;;;2;;2
Evite Services;;;;;4;;4
Evo Ondernemersorganisatie;;1;;;;;1
E-Wise Nederland;;1;;;;;1
Expo Display Service;;;;;1;;1
Expo Management;;;;;1;;1
Expomedia;;;;;3;;3
Exxellence Solutions;;;;;;1;1
EYE Bar Restaurant;;;;;1;;1
F&L Publishing Group;;1;;;;;1
F. Nijpjes Rentmeester;;1;;;;;1
Faber Vlaggen (vh Shipmate);;;;1;1;;2
Face the Public;;;;;1;;1
Faceworks;;;;;;1;1
Facilion;;;;;;2;2
Factor73;;;;;1;;1
FAMO Federatie van Algemene Middelenmanagers bij de Overheid;;1;;;;;1
Favela Fabric;;;;;;2;2
Fedec;;1;;;;;1
Federatie Nederlandse Vereniging Bedrijfshulpverlening;;1;;;;;1
Federatie Voor De Nederlandse Export;;1;;;;;1
FEL Concepts B.V.;;;;2;;;2
Fidato Presentatie Specialisten;;;;;;1;1
Fier;;;;;2;;2
Financieele Dagblad;;;;;;1;1
Five Spices;;;;;3;;3
Fjord;;;;;1;;1
Fleurettes Creation Decoration;;;;1;;;1
Fleurop;;;;2;;;2
FMN Facility Management Nederland;;1;;;;;1
Föllmi;;;;;;2;2
Formzet Grafimedia;;;;;;1;1
Fotografie Paul Voorham;;;;;;1;1
Franklin Covey;;;;;1;;1
Frederiek van Lienen Consultancy;;;;;1;;1
Fridays;;;;1;;;1
FSDC Fiscaal Studie en Documentatiecentrum;;1;;;;;1
Futurevision;;;;;;1;1
G2K;;;;;;1;1
Gaal Bloemenhuis;;;;1;;;1
Garoeda Indonesisch Restaurant;;;;1;;;1
Gasterij de Wagenmeester;;;;1;;;1
Geef Een Boompje.nl;;;;1;;;1
Geert Jan Mellink Concepten en Projecten;;;;;;1;1
Gefelicitaart;;;;1;;;1
Genootschap Ter Bevordering van Melkkunde;;1;;;;;1
Geo Informatie Nederland;;1;;;;;1
GFK Group (incl. Panel Services, Intomart);;;;;;2;2
Gielissen;;;;;6;;6
Gifts At Work;;;;1;1;;1
Gijsbrecht;;;;1;;;1
GMI Groep B.V.;;;;;3;;3
Golden Tulip;;;;;;1;1
Governmentalicious;;;;;1;;1
Grafisch Service Centrum van Gils;;;;;;1;1
Grandcafé De Wens B.V.;;;;1;;;1
Greenblue;;;;;2;;2
Griftpark1 Eten en Drinken;;;;;1;;1
Groeneveld Catering;;;;1;2;1;2
Groenewegen & Partners;;;;;1;;1
Groenten en Fruit Theresia;;;;1;;;1
Groningen Seaports;;;;1;;;1
Groot Vrisekoop Concept & Creatie B.V.;;;;;1;;1
Grootrus  (A.C.M. Groot);;;2;;;;2
Groupe De Bruges;;;;;2;;2
GroupM;;;;;;1;1
H Swaep;;;;;;1;1
Haenen's Inspiratie;;;;;1;;1
Handelsonderneming Romana;;;;1;;;1
Handelsroute.nl;;;;;3;;3
Hannover Consultancy B.V.;;;;;2;;2
Hans & Frans Hessing Banketbakkerij (Hesbak);;;;1;;;1
Hans Roggen Fotografie;;;;;;2;2
Happy Day Tours;;;;;1;;1
Harm Weken Holding B.V.;;;;;1;;1
HBAG Groenten en Fruit;;;;;3;;3
HBO Raad;;;;;1;;1
Hega Offset;;;;;;1;1
Heimans en Thijsse Stichting;;;;;1;;1
Hekon Valentijn;;;;1;;;1
Het Kookplein Kookschool en Lunchrestaurant;;;;;1;;1
Het Nederlandse Rode Kruis;;;;;;1;1
Het Nieuwe Instituut (vh Niadec);;;;;1;;1
Het Notuleercentrum Opleidingen;;;1;;;;1
Het Oranje Kruis;;1;;;;;1
Het Pleidooi/Lancee Café-Restaurant;;;;1;1;;1
Het Postkantoor;;;;;1;;1
Het Scheepvaartmuseum Enterprise Stichting;;;;1;;;1
Het Spikkerdal;;;;1;;;1
HetePeper B.V.;;;;1;3;;3
HH Sport;;;;;;1;1
Hiemstra Communicatie;;;;;;1;1
HIER Klimaatbureau;;;;;2;;2
Hiernaast Hosting;;1;;;;;1
HOEZO! Projectmanagement en Congresorganisatie;;;;;1;;1
Hofman Sportprijzen;;;;1;;;1
Hogeschool Arnhem en Nijmegen;;;;;1;;1
Hogeschool Zuyd;;;;;;1;1
Hokra Below the Line;;;;1;;;1
Holiday Inn;;;;;1;;1
Holland Consulting Group;;1;;;;;1
Holland Marine Equipment;;;;;4;;4
Holland Promotion;;;;2;2;;2
Holland Solar;;;;;2;;2
Holland Translating Service B.V.;;;1;;;;1
Hollandse Hoogte;;;;;;1;1
Hoppinger;;;;;;1;1
Horizon Design en Development;;;;1;1;1;1
Hosting.nl;;1;;;;;1
Hotel New York Rotterdam;;;;1;1;;1
Hotel-Cafe-Restaurant Zwolle;;;;;;1;1
Hotels van Oranje;;;;;3;;3
HowAboutYou;;2;;;1;;2
Hulskamp Audiovisueel;;;;;2;1;2
Humanity House;;;;;1;;1
Huszar Cafe-Brasserie;;;;;1;;1
HVE Onderwijs Consultancy;;;;;;1;1
Hyphen Projects;;;;;1;;1
IBFA International Business Foundation Amsterdam;;;;1;;;1
Ibis Accor Hotels;;;;;1;;1
IFS Audiovisueel;;;;;;1;1
IIA Instituut van Internal Auditors;;1;;;;;1
IIR Institute For International Research;;;;;1;;1
Il Senso Restaurant;;;;;1;;1
Image;;;;1;;;1
ImpactAbility;;1;;;1;;1
In De Waag Café-Restaurant;;;;;1;;1
In2Content;;;;;;1;1
In60seconds;;;;;;1;1
Industriebank LIOF;;;;;2;;2
Industrieel Toerisme;;;;;1;;1
Industrielinqs Pers en Platform;;;;;1;;1
Infotrading;;1;;;;;1
ING Bank;;1;;;;;1
Inge Diepman;;;;;1;;1
Inntel Hotels;;;;;1;;1
Inspired-Utrecht Bar Restaurant;;;;;1;;1
Instituut Clingendael Het Nederlands Instituut voor Internationale Betrekkingen;;;;;;1;1
Intrum Justitia;;1;;;;;1
IP Uitgeverij;;1;;;;;1
Ipma Nl;;1;;;;;1
IRIS Talenbureau;;;1;;;;1
Isala Klinieken;;1;;;;;1
Issues Management Institute;;;;;;1;1
ISVWorld B.V.;;1;;;;;1
IT Nova B.V.;;;;;;1;1
IT Staffing Nederland (vh IT Staffing Paxton, en incl. Info Motion, Centor);;;;;;1;1
Iventus;;;;;2;;2
Iwema;;;;1;;;1
J. Telgen Consultancy;;;;;1;;1
J.A. Kros Fruithandel V.O.F.;;;;1;;;1
J.H. Education;;;;;1;;1
Jaarbeurs Catering Services;;;;;1;;1
Jaarbeurs Utrecht;;;;;1;;1
Jac van der Veen Ingenieursbureau;;;;;1;;1
Jac. Uittenbogaard & Zonen;;;;;2;;2
Jagafer Consulting Services;;;;;;1;1
Jan Buwalda Fotografie;;;;;;1;1
Jan Groeneveld Communicatie;;;;;1;;1
Jan Vis;;;;;3;;3
Jasper Lensselink Photography;;;;;1;;1
Jeronimus van Pelt;;;;;;1;1
Jinke van Dam Consultancy;;;;;;1;1
JMT International;;;;;1;;1
Johannes van Assem Fotografie;;;;;;1;1
Joli;;;;;1;;1
Jolly Kerkstra Tekst & Speech Tekstbureau;;;;;;1;1
Jong Ondernemen;;;;;1;;1
Jungle Minds;;;;;1;2;2
Kampert en Helm (incl. K&H, Rotaform);;;;;;4;4
Karel V Utrecht Grand Hotel;;;;1;;;1
Karlien van Leeuwen;;;;;;1;1
Katharos;;;;1;;;1
KB Beveiliging;;;;;1;;1
Keesom & Hendriks;;;1;;;;1
Kerckebosch Drukkerij, Uitgeverij, Studiecentrum, Grafische Communicatie;;1;;;;;1
Kern Konsult;;;;;1;;1
Keuringsraad Koag/Kag;;;;;1;;1
Kick Smeets Fotografie;;;;;1;1;1
kiEMT kennis en innovatie in Energie- en MilieuTechnologie;;;;;1;;1
King Quest B.V.;;;;;2;;2
Kitchen & Bar Van Rijn B.V.;;;;;1;;1
Kivi Niria Congresbureau;;1;;;;;1
Kiwa Groep (incl. Gas Technology, Prismant, Certification);;;;;1;;1
Klantenservice Federatie;;1;;;;;1
Klimaatverbond Nederland;;;;;1;;1
Klink's Broodjeslijn;;;;1;;;1
Kloosterhof acquisitie services uitgeverij;;;;;1;;1
KNBSB Koninklijke Nederlandse Baseball en Softball Bond;;;;;1;;1
KNMvD Koninklijke Nederlandse Maatschappij voor Diergeneeskunde;;3;1;;;;3
KNNV Uitgeverij;;1;;;;;1
Knowledge Exchange (incl. Howardshome, Finchline Media);;3;;;;;3
KNPV;;1;;;;;1
KNVI Verenigingsbureau (vh NVB Ned Ver van Biblioth Doc en Literatuurond);;1;;;;;1
KNW Koninklijk Nederlands Waternetwerk;;;;;1;;1
Kobalt Media;;;;;;2;2
Kompass;;2;;;;;2
Koninklijke De Swart;;;;;;1;1
Koninklijke Fabr. Posthumus (PS Groep);1;;;;;;1
Koninklijke Metaalunie;;;;;3;;3
Koninklijke Nederlandse Vereniging Eerste Hulp Bij Ongelukken;;1;;;;;1
Koninklijke van der Most;;;;;;1;1
Koppert;;;;;1;;1
KPMG;;;;;1;;1
KPN (incl. Getronics, PTT Telecom);;;;;1;2;2
Kreisler Import;;1;;;;;1
Kris Kras Design;;;;;;4;4
Kusters Engineering;;;;;;1;1
Kwaliteitskring Noord Nederland;;1;;;;;1
La Casserole;;;;;1;;1
La Vina Restaurant;;;;1;;;1
Laarhoven Design;;;;;1;;1
Ladago;;;;1;1;;1
Lanni's Communications;;;;;1;;1
Latorre Lainez Vertalingen;;;;;2;;2
Laverbe;;;;;;3;3
Lavifoto;;;;;1;;1
Le Bon Ton;;;;1;;;1
Le Strasbourg;;;;;2;;2
Leene Communicatie (incl. Leene.txt);;;;;;1;1
Legal Intelligence/Quay Consult;;1;;;;;1
Leo van de Wouw Regisseur/Programmamaker;;;;;;1;1
Léon Patisserie;;;;;1;;1
Levend Lijf;;;;;1;;1
Lexis Nexis;;2;;;;;2
Licensing Executives Society;;1;;;;;1
Liff Restaurant Grandcafé;;;;1;;;1
Lighthouse Business Management;;;1;;;;1
Lijnco Speciaaldrukkerij Groningen;1;;;;;;1
Locatienet;;1;;;;;1
Locatus;;1;;;;;1
Lodewieck;;;;;1;;1
Logan ICT services;;;;;;1;1
Logeion Vereniging Voor Communicatie;;1;;;;1;1
Logochoc;;;;;1;;1
Lucid Communication;;;;;;2;2
Luden Restaurant&Brasserie;;;;1;1;;1
Lunick Horecaverhuur;;;;;1;;1
Maatschap J.J. Ritsema & G.M. Ritsema-Holtman;;;;1;;;1
Maatschap van Burgsteden en van Burgsteden;;;;1;;;1
MacBike;;;;;1;;1
Maesstede Catering;;;;;1;;1
Mainpress (incl. Computerboek.nl, Managementboek.nl, Jongbloed);;2;;;1;;2
Maison De La Foret;;;;1;1;1;1
Malie Hotel;;;;;1;;1
Management Producties;;;;;1;;1
Marc Mijer;;;;;;2;2
Marcel van den Bergh;;;;;;1;1
Mare Research;;;;;;2;2
Marketing Groningen;;;;1;;;1
Marks Editing And Translation;;;1;;;;1
Maru International Business Consulting;;;1;;;;1
Mauritshuis;;;;;1;;1
Maxilia (incl. Greengiving.nl);;;;;1;;1
Maxlead Services;;;;;;4;4
MCI Group;;;;;4;;4
Measurement Science Consultancy;;1;;;;;1
Media Info Groep (incl. Euroclip, Knipsel, Antal Clipping, Reporterservice);;2;;;;;2
Mediawerf;;1;;;;;1
Meeus;;;;;1;;1
Mennega Broodjeshuis/Cateringservice;;;;1;;;1
Mercure Hotels;;;;;1;;1
Merlot Restaurant-Wijnbar;;;;;1;;1
Metropolisfilm Post-Production;;;;;;3;3
Michele Thomas Vertaalbureau;;;1;;;;1
MichielB.com;;;;;;2;2
Mikrocentrum;;;;;2;;2
Misteli;;;;;2;;2
Mk2 Visuele Media;;;;;1;;1
MKB Servicedesk;;;;;1;;1
Modefabriek B.V.;;;;;1;;1
Moodfactory;;;;;;2;2
Mooii Restaurant;;;;;1;;1
Motel Assen;;;;1;;;1
MT Abonnementenland;;1;;;;;1
Mts voor Communicatie;;;;;;1;1
Multi Vlaai;;;;1;;;1
Multigift Relatiegeschenken;;;;1;1;;1
Multimediagroup Promo & Gifts;;;;1;;;1
Museum Catering;;;;;1;;1
MVO Kenniscentrum Maatschappelijk Verantwoord Ondernemen;;;;;1;;1
My Productions;;;;;1;;1
MYbusinessmedia (vh Media Business Press);;1;;;1;;1
N.E.C. van Tiggelen;;;;;;1;1
Nationale Beeldbank;;;;;;1;1
Nationale Schaatsbon B.V.;;;;;1;;1
Naturalis - National Natuurhistorisch Museum;;1;;;;;1
Natuurhistorisch Genootschap;;1;;;;;1
NBC - Nieuwegeins Business Center, De Blokhoeve, Exploitatie;;;;;2;;2
NCH Nederlands Centrum voor Handelsbevordering;;;;;5;;5
NDC Mediagroep;;;;;;1;1
NEC Nederlandse Export Combinatie;;;;;4;;4
Nederlands Shetland Pony Stamboek;;1;;;;;1
Nederlands Textielinstituut;;1;;;;;1
Nederlands Vlaamse Bouwfysica Vereniging;;;;;;1;1
Nederlandse EMC-ESD Vereniging;;1;;;;;1
Nederlandse Vakbond Varkenshouders;;1;;;;;1
Nederlandse Vereniging Voor Ergonomie;;1;;;;;1
Nederlandse Vereniging Voor Ruimtevaart;;1;;;;;1
Nederlandse Waterstof Vereniging;;;;;1;;1
Nenefa Nederlandse Neonfabriek;;;;;;2;2
Neopost (incl. Neopost Finance);;1;;;;;1
Netherlands Aerospace Group;;;;;3;;3
Netherlands Facility Costs Index Cooperatie UA;;1;;;;;1
Netrex Internet Solutions;;;;;;1;1
NEVAT Nederlandse Vereniging Algemene Toelevering;;;;;3;;3
Nevi/Neho;;1;;;3;;3
New Babylon Meeting Center;;;;;3;;3
Neyzen Communicatie Advies;;;;;;1;1
NFG Net Facilities Group;;1;;;;;1
NFGD Audiovisuele Technieken;;;;;1;1;2
NGFG Nederlands Genootschap van Functionarissen Voor De Gegevensbescherm;;1;;;;;1
NGI Ned Genootschap voor Informatica - Platform voor ICT-Professionals;;1;;;;;1
Nibud Nationaal Instituut voor Budgetvoorlichting ;;1;;;;;1
Nic Best Deal;;1;;;;;1
Nice thingZ;;;;;1;;1
Nieuwsgierige Werken;;;;;1;;1
Nieuwspoort;;;;;;1;1
Nijhof Zelfbouw Baarn;;;;;1;;1
Noa van Saane Training & Coaching;;;;;1;;1
NOM Investerings- en Ontwikkelingsmaatschappij voor Noord-Nederland;;;;;2;;2
Non-Verbaal (A. Kooren);;;;;;1;1
Noorderpoort Centrum Vakopleiding / Stichting Voor Beroepsonderwijs, Volwasseneneducatie en Voortgezet Onderwijs;;;;;;1;1
Noordtij;;;;;;1;1
NOREA Nederlandse Orde van Register EDP-Auditors;;1;;;;;1
Norm Systems;;;;;;1;1
North-Holland Publishing;;2;;;;;2
Novagraaf Nederland;;1;;;;;1
NovaVista;;;;;1;;1
Novum Foto;;;;;;1;1
NRC Handelsblad;;1;;;;;1
NVVGT Nederlandse Vereniging van Gieterijtechnici;;1;;;;;1
NVVK Nederlandse Vereniging Voor Veiligheidskunde;;1;;;;;1
NWP Netherlands Water Partnership;;;;;4;;4
Nyenrode Services;;;;;1;;1
O = 4;;;;;1;;1
OBT - Opmeer/De Bink/Tds - Boekdruk;;;;;;2;2
OBUG Oracle Benelux User Group;;1;;;;;1
OCLC (incl. PICA);;2;;;;;2
OGH Oracle Gebruikersclub Holland;;1;;;;;1
Oldschool Restaurant;;;;;1;;1
Olijf Mediterraans Restaurant;;;;;1;;1
On Board On Shore;;;;;1;;1
Onder de Eiken Restaurant-Cafe;;;;1;;;1
Ontwerpwerk multidisciplinary design;;;;;;1;1
Onz Restaurant;;;;1;;;1
OOA Orde van Organisatiekundigen en Adviseurs;;1;;;;;1
Oosterhof;;;;1;;;1
Open Studio;;;;;;1;1
OPN Ondernemers Pers Nederland;;2;;;;;2
Optima Forma;;;;;;3;3
Osage Communicatie en Ontwerp;;;;;;2;2
Ossa Restaurant;;;;;1;;1
Other[w]eyes;;;;;1;;1
Otto Cramwinckel Uitgever;;1;;;;;1
Oudaen Stadskasteel;;;;1;1;;1
Our Common Future 2.0;;;;;1;;1
P&P Regisseurs;;;;;;2;2
