Leverancier;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7310 - Verhuizen;7410 - Verwerven en afstoten;Eindtotaal
Farwick Groenspecialisten;1;;;;1
Faunaprojecten Beheer B.V.;1;;;;1
FEDIMMO;;;;3;3
Firecom B.V.;;;;1;1
Fisher Emergo B.V.;;;;1;1
Flevo Landscaping B.V.;1;;;;1
Food Risk Management B.V.;;;;1;1
Formenta Wego B.V.;1;;;;1
Frank B.V.;;;;1;1
FTU B.V.;2;;;;2
Fudura B.V.;;4;;;4
G & Z Groep;2;;;;2
G. LUFFT MESS- UND REGELTECHNIK GMB;3;;;;3
G.T. Bouw B.V.;1;;;;1
Gebr. van Kessel B.V.;4;;;;4
Geofox-Lexmond B.V.;1;;;;1
Geonius Milieu B.V.;;;;1;1
Geotherm E.S.;1;;;;1
Gerken Hoogwerkers Verhuur B.V.;;;;2;2
Gijs de Haan;1;;;;1
Glasbedrijf Ossebaar;1;;;;1
Greenchoice;;9;;;9
Greenport Rotterdam;;;;4;4
Green-Spots;1;;;;1
GREYHOUND CHROMATOGRAPHY AND ALLIED;;;;1;1
Groenburgwal B.V.;;;;2;2
Groningen Seaports N.V.;;;;1;1
Group 4 Securicor Alarmcentrale;2;;;;2
GTH Projectmanagement;1;;;;1
H.J.L.J. Swanenberg Beheermaatschappij B.V.;;;;6;6
HACH;;;;2;2
Handels- en Ingenieursbur. Bakker & Co. B.V.;2;;;;2
HaskoningDHV Nederland B.V.;3;;;2;3
Hatech Gasdetectietechniek B.V.;;;;2;2
HBL Online B.V.;;;;1;1
HBM Machines B.V.;;;;1;1
Health2Work B.V.;1;;;;1
Hecla Professional Audio & Video Systems B.V.;;;;1;1
Heijmans Infra B.V.;;;;7;7
Hela Thissen B.V.;;1;;;1
Helix Academy;2;;;;2
Heras B.V.;2;;;;2
Het NIC B.V.;1;;;;1
Hitzert Elektrotechniek;4;;;;4
Holding R. Doppegieter B.V.;;;;2;2
Hooijer Renkum;2;;;;2
Hoveniersbedrijf Jkh;1;;;;1
HR Groep Traffic Hattem;;;;3;3
HR Groep Wayfinding B.V.;;;;1;1
Hulkenberg B.V.;;;;1;1
Hull Vane B.V.;;;;2;2
Human Inspiration B.V.;2;;;;2
Identipack B.V.;;;;2;2
Ingenieursbureau Ebatech B.V.;1;4;;;4
Initial;;;;2;2
Inmarsat Solutions B.V.;;;;1;1
INNOV8 B.V.;;;;2;2
Installatiebedrijf J.C. Barendse;1;;;;1
Instrument Solutions Benelux B.V.;;;;3;3
Interdaad B.V.;1;;;;1
Interscience B.V.;3;;;3;4
IONBENCH;;;;2;2
Isero IJzerwarengroep;1;;;;1
Isytec B.V.;;;;1;1
itsme B.V.;1;;;;1
IXBLUE B.V.;;;;1;1
J.H. Ritmeester B.V.;;;;1;1
Jar Luchtreiniging;1;;;;1
Joint Analytical Systems Benelux B.V.;;;;2;2
Jos Scholman Groen B.V.;4;;;4;5
Joulz Infradiensten B.V.;2;5;;;5
Jozua Aanhangwagens B.V.;;;;1;1
Julo Systeemwanden en Kantoorinr. B.V.;1;;;;1
Jungheinrich Nederland B.V.;;;;1;1
Kalibra International B.V.;;;;2;2
Kenter;;4;;;4
Kinly Benelux;2;;;;2
Kiwa Inspecta Nederland B.V.;;;;1;1
Klimaatservice Holland B.V.;1;;;;1
Koers Groep B.V.;1;;;;1
Koet Tuin- en Boomzorg;1;;;;1
kommago.nl;1;;;;1
Kongsberg Maritime Benelux B.V.;;;;1;1
Kongsberg Maritime Holland B.V.;;;;4;4
Koning & Hartman B.V.;2;;;;2
KPN B.V.;1;;;;1
Kreeft Betonrenovatie & Injectietechn. B.V.;3;;;;3
Kuipers Woudsend B.V.;;;;4;4
KWR Water B.V.;;;;3;3
KWS Infra Amsterdam;1;;;;1
Laboratory Glass Specialists B.V.;;;;1;1
Lagemaat Sloopwerken B.V.;4;;;;4
LAT-Labor- und Analysen Technik- Gm;;;;2;2
Leaseplan Nederland N.V.;5;;;;5
Leica Microsystems B.V.;;;;1;1
Lekkerkerker;1;;;;1
Leyten Vastgoedexploitatie II B.V.;;;;2;2
LGC STANDARDS;;;;2;2
Liander N.V.;1;7;;;7
Lievense Milieu B.V.;3;;;;3
Liftinstituut B.V.;1;;;;1
Linde Gas Cryoservices B.V.;;1;;1;1
Loenderveen, Waternet;;1;;;1
Logicx Berging B.V.;1;;;;1
Logisticon Water Treatment;;;;2;2
luchtcontrole.nl;1;;;;1
Maatschap H. van der Veen & J. de Vries;;;;1;1
Manutan B.V.;1;;;1;1
Marees Installatie en Techniek B.V.;1;;;;1
Marimecs B.V.;;;;3;3
Marine Systems B.V.;;;;7;7
Mastermate Jan van Leusen;1;;;;1
Matter Ongediertebestrijding;1;;;;1
MD Techniek B.V.;;;;1;1
Meetcentrum van Dijk B.V.;;;;1;1
Meetingselect B.V.;1;1;;;1
Merck Chemicals GmbH;;;;1;1
METEO SERVICE;3;;;;3
Metrohm Nederland B.V.;;;;2;2
Mettler-Toledo B.V.;;;;2;2
Micromeritics B.V.;;;;1;1
Miele Nederland B.V.;;;;1;1
Millipore;;;;2;2
Mirion Technologies;;;;3;3
Mirion Technologies (Dosimetry Services) B.V.;;;;1;1
Mokveld Bouw en Onderhoud B.V.;2;;;;2
Mondial Movers B.V.;4;;3;;4
Mourik Infra B.V.;2;;;;2
MRproducts Nederland B.V.;1;;;;1
MTS H R RICHTERINK;;;;1;1
Multi-Made B.V.;2;;;;2
MyMicro Group B.V.;;;;1;1
N.V. Rendo;;1;;;1
N.V. Waterbedrijf Groningen;;1;;;1
Naamplaat Bewegwijzering B.V.;;;;4;4
NanoTech Partner s.r.o.;;;;1;1
Navigation Solutions Europe B.V.;;;;4;4
Nederland Sales & Service B.V.;;;;1;1
NewConsultancy B.V.;2;;;;2
Nico B.V.;;;;1;1
Nierop Transport & Trafficservice B.V.;1;;;;1
Nieuw Ammervelde;1;;;;1
Norisk Keymanagement B.V.;1;;;;1
Nortek Oceanografische Instrum.&Diensten B.V.;;;;3;3
not a studio;1;;;;1
Notra B.V.;;;;1;1
NPB Media B.V.;;;;1;1
Oasen N.V.;;1;;;1
Oasis Data & Document Management Neth. B.V.;1;;;;1
Observator Instruments B.V.;4;;;5;5
Office Depot International;;;;1;1
Olde Kalter Verkeer & Mobiliteit B.V.;1;;;;1
Olssen B.V.;1;;;;1
Olympus Nederland B.V.;;;;2;2
Online Beeldvorming;1;;;;1
Ontwikkelingsmaatsch. De Gouden Driehoek B.V.;;;;1;1
OnzeZon Baarn Coöperatief U.A.;1;;;;1
OTT Hydromet;3;;;;3
P & R Groep B.V.;2;;;;2
P.M.F. Machinefabriek Bergum B.V.;;;;2;2
P.T. Structural Design and Analysis B.V.;2;;;;2
PCI Membranes;;;;1;1
Phenomenex B.V.;;;;1;1
Philippe Wijnen;1;;;;1
Pictogrammenwinkel;1;;;;1
PILLER GERMANY GMBH & CO. KG;1;;;;1
Polvo B.V.;1;;;;1
Pranger-Rosier Installaties B.V.;1;;;;1
Praxis Doe Het Zelf Center;1;;;;1
Primagaz Nederland B.V.;;2;;;2
Prins Gevelreiniging;1;;;;1
PRONOMAR B.V.;;;;1;1
Property-Telecom B.V.;;1;;;1
Protinus IT B.V.;;;;7;7
Pure-IT;1;;;;1
PZEM N.V.;;1;;;1
QleanAir Scandinavia AB;1;;;;1
Q-Park Operations Netherlands B.V.;2;;;;2
Quis Products B.V.;;;;1;1
Radac B.V.;;;;2;2
REACon B.V.;;;;1;1
Rebro-SSC;4;;;;4
Recycling Kampen Beheer B.V.;;;;4;4
Regts Holding B.V.;1;;;;1
Renewi Nederland B.V.;2;;;1;2
Rentmeesterskantoor Overwater B.V.;1;;;;1
ROHDE & GRAHL B.V.;4;;;6;6
Roompot Service B.V.;;1;;;1
Rovato Techniek B.V.;1;;;;1
RPS advies- en ingenieursbureau;2;;;;2
RPS Analyse B.V.;3;;;;3
RRIS;1;;;;1
RRS Nederland B.V.;1;;;;1
S.C.A.T. Europe GmbH;;;;2;2
Saab Technologies B.V.;;;;2;2
SAB Maritime Services B.V.;;;;1;1
Sans Limites;;;;1;1
Schindler Liften B.V.;1;;;;1
Schiphol Nederland B.V.;;1;;;1
Schiphol Real Estate B.V.;;;;2;2
Schürgers Sleutelservice V.O.F.;1;;;;1
Seagull Technologies B.V.;;;;1;1
SealteQ Noord B.V.;1;;;;1
Securitas Beveiliging B.V.;3;;;;3
Security Monitoring Centre;1;;;;1
SEPTENTRIO NV;2;;;;2
SGS Intron B.V.;1;;;;1
SGS Search Milieu;2;;;;2
Shimadzu Benelux;;;;1;1
Shurgard Self-Storage Rijswijk;;;;1;1
Sigma-Aldrich Chemie N.V.;;;;1;1
SITA Recycling Services Noord;;;;1;1
Skilte eXpressen;;;;4;4
Sleut.- & Safespecial. W. van den Hoogen B.V.;1;;;;1
Slopen en Saneren B.V.;2;;;;2
Smorenberg Alkmaar B.V.;1;;;;1
Snijders Produktie B.V.;;;;1;1
Soma Project B.V.;1;;;;1
Source4Energy B.V.;;1;;;1
Special Cargo Services B.V.;;;;1;1
SPIE Infratechniek B.V.;;;;4;4
Spyke Security;3;;;;3
Spyke Security B.V.;4;;;;4
Stantec B.V.;4;;;;4
Stedin;2;7;;;7
Stefan Cools Artist;1;;;;1
Sterela SAS;2;;;;2
Stg. Service Centrum Auteurs & Nabur. rechten;1;;;;1
Storax B.V.;1;;;;1
Swanenberg Handelsonderneming B.V.;;;;3;3
Sweco Nederland;1;;;;1
Syncasso Nederland;;1;;;1
Sysmex Nederland B.V.;;;;1;1
Tas & Company B.V.;;;;4;4
TASKoffice Working WELL;;;;2;2
Tauw B.V.;4;;;;4
TC-Tungsten Compounds GmbH;;;;1;1
Tebezo Waterbouw & Nautische Dienstverlening;;;;2;2
Technisch Buro Nijkamp B.V.;2;;;;2
Technische Unie B.V.;2;;;;2
Technology Base;;1;;;1
Telder Bouw en Industrie B.V.;1;;;;1
Teledyne Reson B.V.;;;;1;1
Telegrootgebruik B.V.;;;;1;1
Tempcontrol Industr. Electronic Products B.V.;2;;;;2
Tempo-Team Uitzenden B.V.;7;;;;7
THEBO;1;;;;1
Thermo Fisher Scientific B.V.;;;;;
Thermo Fisher Scientific FLC B.V.;;;;1;1
Thyzo B.V.;1;;;;1
Topgeschenken Nederland B.V.;4;;;;4
Traas Zuidwest Nederland B.V.;1;;;;1
Traffic Service Nederland B.V.;;;;7;7
TrafficSupply B.V.;;;;1;1
Transpo Nuth B.V.;1;;;;1
Transportbedrijf G.L. de Haan B.V.;1;;;;1
Travhydro Services B.V.;1;;;;1
Trigion Beveiliging B.V.;;;;1;1
TRISKEM INTERNATIONAL;;;;2;2
Tritium Advies B.V.;1;;;;1
Trust Krediet Beheer (TKB);;1;;;1
TTI GMBH;;;;1;1
TVE Reclameproducties B.V.;1;;;;1
TwynstraGudde Huisvest. Vastg., Facility Man.;;;;;
U-Conto;;1;;;1
Unica Installatietechniek;9;1;;;9
V.O.F. Loonbedrijf A. Verhoef;1;;;;1
V.O.F. Movares, Infram, Goudappel Coffeng;4;;;2;4
VAISALA;2;;;;2
Van Beelen Group B.V.;;;;1;1
Van de Bijl & Heierman B.V.;4;;;;4
Van der Ende Infra B.V.;6;;;;6
Van der Heide Kathodische Bescherming;2;;;;2
Van der Hoeven Jacht- en Scheepswerf;;;;2;2
Van der Meer Sleutelservice B.V.;1;;;;1
Van Gelder Kabel-, Leiding- en Montagew. B.V.;1;;;;1
Van Ginkel Veenendaal B.V.;3;;;;3
Van Rens B.V.;;;;9;9
Van Rumpt Specialisten;1;;;;1
Van Tol Laboratoriumtechniek B.V.;;;;1;1
Vanberkel Professionals B.V.;3;;;;3
Vandervelde Protection B.V.;1;;;;1
VanDoClean B.V.;;;;1;1
Vattenfall Warmte N.V.;;4;;;4
VDL Industrial Modules B.V.;;;;5;5
VelopA B.V.;1;;;;1
Venko Schilderwerken B.V.;;;;2;2
Veolia Water Technologies Netherlands B.V.;1;;;1;1
Ver. v. Corp. Real Estate Manag. Execut.;1;;;;1
Verboon Groen & GWW B.V.;1;;;;1
Vereniging Parkmanagement Buitenvaart;1;;;;1
Vestiging Brabant Noordoost;;6;;;6
Vink Lisse B.V.;;;;1;1
Vitens N.V.;;3;;;3
Vlasman Betonbewerk.- en Slooptechnieken B.V.;1;;;;1
Vloerenbedrijf Het Zuiden B.V.;1;;;;1
Vogels Constructeur Uitvoering B.V.;1;;;;1
Voorneveld Brandbeveiliging;2;;;;2
Vrieservice B.V.;;;;1;1
VTN Besturingstechniek;;;;6;6
VWR International B.V.;;;;6;6
W. Schuurman Elektrotechnische Groothandel;1;;;;1
Waters Chromatography B.V.;;;;2;2
Westland Infra Netbeheer B.V.;;1;;;1
Witteveen+Bos;2;;;6;6
Woldendorp Techniek & Advies;1;;;;1
WorkSphere;4;;;3;4
WorkWire B.V.;3;;;;3
Yagra B.V.;;;;1;1
ZINSSER ANALYTIC GMBH;;;;1;1
Zirbus Technology Benelux B.V.;;;;1;1
Zwep en Schoeber B.V.;1;;;;1
Eindtotaal;10;10;3;10;11
