leveranciers;4000 - Diensten en middelen overig;4110 - Consumptieve diensten;4120 - Risicobeheersen;4130 - Schoonmaak;4210 - Post-, koeriers- en transportdiensten;4310 - Documentmanagement;4410 - Afvalzorgmanagement;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;4-Diensten en middelen
BS Workspace Solutions;;;;;;;;3;;3
Buckaroo Online Payment Services;;;;;;;;;1;1
Budgetcam;;;;;;1;;;;1
Budgetgift.nl;;;;;;;;;1;1
Buitenhof Brasserie;;1;;;;;;;;1
BUURTHUIS DE OASE;;1;;;;;;;;1
By-Pos;;;;;;;;;1;1
Cannock Chase Public;1;;;;;;;;;1
Canon (incl. Océ Nederland);;;;;1;1;;;;1
Canvas Company;;;;;;;;1;;1
Capneuf;1;;;;;;;;;1
Capriole Coffee-Service;;1;;;;;;;1;1
Card Vision;;;;;;1;;;1;1
Carlton Hotel;1;2;;;;;;;;2
Carpa Bizz Gifts;;;;;;;;;1;1
Casa Caroni den Haag Restaurant;1;1;;;;;;;;1
CB Centraal Boekhuis (incl. Facturatie);;;;;1;;;;;1
CCV Services;;;;;;;;;1;1
Centric (incl. Qualityhouse);;;;;;;;;1;1
Centrum Quadraat;;1;;;;;;;;1
Chocolate Experience;1;;;;;;;;;1
Christian Restaurant;;1;;;;;;;;1
Cloos Eetcafé;;1;;;;;;;;1
Colorworks;;;;;;;;;1;1
Colour Digital;;;;;;1;;;1;1
Com Connect;;;1;;;;;;;1
Commissie van Beheer Rijkskantorengebouw Hanzeland;;2;;;;;;;;2
Communicatie Centrum Venhorst;;;1;;;;;;;1
Compacon & Partners;;;;;;;;;1;1
Compass Group Nederland (incl. Eurest, ECS Catering, Avenance);;7;;1;;;;;;7
Conferentiehotel Landgoed Rhederoord;1;;;;;;;;;1
Conrad Electronic;;;;;;;;;1;1
Cooking & Booking;;1;;;;;;;;1
Coolblue - Pda Shops;;;;;;;;1;1;1
Copex Air Cargo, Air, Movers&Packers;;;;;1;;;;;1
Crazy Entertainment;1;;;;;;;;;1
Creativa Design;;;;;;1;;;;1
Crow, Kennisplatform Voor Infrastructuur, Verkeer, Vervoer en Openbare Ruimte;2;;;;;;;;;2
CSU Schoonmaak (vh. City Service);;;;7;;;;;;7
Cuna International;;;1;;;;;;;1
Curtis 1000 Nederland;;;;;;;;;1;1
CWS Nederland;;;;4;;;;;;4
Daleman Lijstenmakerij;;;;;;;;1;;1
Dalosy Projecten;;;;;;;;;1;1
Damen van Deventer;;;;;;6;;;;6
Datema Electronics;;;;;;;;;1;1
De Baak incl. Seaside, Administratie, Hospitality, Management Centrum;;1;;;;;;;;1
De Basiliek Restaurant;;1;;;;;;;;1
De Bonte Wever Assen (De Smelt);;2;;;;;;;1;2
De Brunch Catering;;1;;;;;;;;1
De Eeuwige Jachtvelden Café-Restaurant;;1;;;;;;;;1
De Gouden Klok;;1;;;;;;;;1
De Groot Drukkerij (incl. Het Kontakt Edities, Premere);;;;;;1;;;;1
De Haan Archiefbeheer, Verhuizingen;;;;;;;;1;;1
De Knegt & Leeflang;;;;;;;;1;1;1
De Knip Restaurant;;1;;;;;;;;1
De Koers;;;;;;1;;;;1
De Koperen Kop Cafe Restaurant;;1;;;;;;;;1
De Moor;;1;;;;;;;;1
De Nieuwe Jutter Stg;;1;;;;;;;;1
De Observant Stadscafé;;1;;;;;;;;1
De Ooievaar Beheer;;1;;;;;;;;1
De Overburen;;1;;;;;;;;1
De Poort van Kleef Café-Restaurant;;1;;;;;;;;1
De Raat Security Products;;;1;;;;;;1;2
De Resolutie;;;;;;3;;;;3
De Tuyn Restaurant (J.A.W. Groeneveld);;1;;;;;;;;1
De Vrij Espresso Service;;1;;;;;;;;1
De Wilt Cyrox Groep;;;;;;;;;1;1
Dehullu Projekt (Dehullu Sign Sytems);;;;;;;;1;;1
Delta International;;;;;;;;;1;1
Den Haag Evenementen;2;;;;;;;;;2
Dendy Bar Restaurant;1;1;;;;;;;;1
Detron (incl. Kender Thijssen, Finntax, Issue Information Technology, KT);;;;;;;;;1;1
Diacarb;;;;;;;;;1;1
Digiforce (vh DeltaHage / Digiprint);;;;;;;;;1;1
Digital Revolution;;;;;;;;;1;1
Discountoffice.nl;;;;;;;;;1;1
Docspro;;;;;;;;;2;2
DocumentenWacht (incl. MuseumWacht);;;;;;1;;;;1
Dokkumer Vlaggen;;;1;;;1;;;;1
Dom-Nederland;;;1;;;;;;;1
Domstad Hogeschool, Cursus- en Vergadercentrum;;1;;;;;;;;1
Domucare;;;;;;;;;1;1
Donker Holding (incl. Donkergroen);;;;;;;;3;;3
Douwe Egberts;;7;;;;;;;1;7
Drentea Kantoormeubelen;;;;;;;;5;;5
Dudok (Horeca Exploitatie WWZ IV);;1;;;;;;;;1
Duplidata;;;;;;;;;1;1
EAL Electronic Application Laboratory;;;4;;;;;;;4
Easy Ergonomics;;;;;;;;;1;1
Eazie Catering;;1;;;;;;;;1
Edery (incl. Phoneshop);;;;;;;;;1;1
Eemshotel;;1;;;;;;;;1
Effective Motor Couriers;;;;;1;;;;;1
Efficiency;;;;;;;;;1;1
EHM Hotels (incl. Apollo Hotels & Resorts);1;;;;;;;;;1
EL GAUCHO;;1;;;;;;;;1
EMS Event Medical Service;;;1;;;;;;;1
Emtek Ergonomics;;;;;;;;1;;1
En/Of Ontwerp;;;;;;2;;;;2
Engels BV;;1;;;;;;;;1
EOM Eyes On Media;;;;;;;;1;;1
Equipe Quality Products (incl. Health2Work);;;;;;;;1;;1
Ergos Engineering & Ergonomics (incl. Ergonomie Opleidingen Nederland);;;1;;;;;;;1
Escape Mobility Company (vh H. van Leeuwen, van Leeuwen Companies, CURA Safety Solutions);;;1;;;;;;;1
Eurofiber Nederland;;;1;;;;;;;1
Eurofins C-Mark;;;;1;;;;;;1
Europe Top Security B.V.;;;3;;;;;;;3
Eurorouting;;;;;;;;3;;3
Expert Shops Nederland;;;;1;;;;;;1
Expo Display Service;;;;;;1;;;;1
EYE Bar Restaurant;;1;;;;;;;;1
F&F Verpakkingen;;;;;;1;;;;1
F30;1;;;;;;;;;1
Faber Vlaggen (vh Shipmate);;;1;;;;;;1;1
Facilion;;;;;;2;;;;2
Facility Service;;1;;;;;;;;1
Fakton (Beurs-WTC);;1;;;;;;;;1
Falck Group;;;6;;;;;;;6
Fepa Horeca (Le Hathor);;1;;;;;;;;1
Fire Control Beveiligingen;;;1;;;;;;;1
Firecom Emergency Services;;;2;;;;;;;2
Flash Services Nederland;;;1;;;;;;;1
Fleetlogic;;;;;;;;;1;1
Floris V Restaurant;;1;;;;;;;;1
FMN Facility Management Nederland;1;;;;;;;;;1
Formzet Grafimedia;;;;;;4;;;;4
Fotovaklaboratorium De Verbeelding;;;;;;1;;;;1
Freedom Scientific Benelux;;;;;;;;;1;1
Fri-Jado Super Service;;1;;;;;;;;1
Fritsch Kantoor Kompleet;;;;;;1;;;;1
Full Moon Dim Sum Restaurant;1;;;;;;;;;1
G4S Beveiliging (incl. Group 4, Securicor, Falck, Hacousto, Ricas);;;6;;;;;;;6
Galerie van Kranendonk;;1;;;;;;;;1
Geesink Norba Group;;;;;;;1;;;1
Geonovum;2;;;;;;;;;2
Gereformeerde Kerk Den Haag;;1;;;;;;;;1
Geschenkbezorgen.nl (incl. Wijnlatenbezorgen);1;;;;;;;;;1
Geurst (incl. Pastis Restaurant);;1;;;;;;;;1
Gielissen;;1;;;;;;;;1
Gispen International;;;;;;;;7;;7
GOM Schoonhouden;;;;7;;;;;;7
GoPublic;;;;;;2;;;;2
Grafisch Bedrijf Tuijtel;;;;;;4;;;;4
Grafisch Bureau van Erkelens;;;;;;1;;;;1
Grateq;;;;;;;;;1;1
Groenendijk Bedrijfsschoenen en kleding;;;;;;;;;2;2
Groote Societeit;;1;;;;;;;;1
GVZ2;;1;;;;;;;;1
Haagclean Products;;;;1;;;;;;1
Hafo Spec Zaak voor Foto en Video;1;;;;;;;;;1
Hako;;;;1;;;;;;1
Hampshire Hotel;1;1;;;;;;;;1
Happy Meat;;1;;;;;;;;1
Hartevelt Bedrijfs Diensten;;;;2;;;;;;2
Hauwert Communicatie;1;;;;;;;;;1
HAVE TEN ANIK TEKTST & VERTALING;1;;;;;;;;;1
Heering Office;;;;;;;;;1;1
Hega Offset;;;;;;1;;;1;2
Heigo Nederland;;;;;;;;;4;4
Helicon Conservation Support;;;;;;1;;;;1
Het Coachhuis;;1;;;;;;;;1
Het Havengebouw Amsterdam;;1;;1;;;;;;1
Het Kookplein Kookschool en Lunchrestaurant;;1;;;;;;;;1
Het Muntgebouw Utrecht;;1;;;;;;;;1
Het Oranje Kruis;;;1;;;;;;;1
Het Pageshuis;;1;;;;;;;;1
Het Pleidooi/Lancee Café-Restaurant;;1;;;;;;;;1
Het Stempel No. 539;;;;;;;;;1;1
High Security International;;;1;;;;;;2;2
Hoeve Kromwijk Restaurant;;1;;;;;;;;1
Hof der Muzen Grand Cafe (J. Kos);1;;;;;;;;;1
Hollandse Hoogte;;;;;;1;;;;1
Hoogenboom's Bewakingsdienst;;;2;;;;;;;2
Hoogendijk Coaching en Opleiding;;;;;;;;;1;1
Horeca Adviescentrum HTC;;2;;;;;;;;2
Hospitality Consultants;;1;;;;;;;;1
Hotel Contact/Worldmeetings;;1;;;;;;;;1
Hotel Corona/Calincor;;1;;;;;;;;1
Hotel Landgoed Het Roode Koper;;1;;;;;;;;1
Hotel New York Rotterdam;;1;;;;;;;;1
Hotel Oostduinhage;;1;;;;;;;;1
House of Lords;;1;;;;;;;;1
HTCE Site Management;;1;;;;;;;;1
Huize Molenaar Cuisinier;;1;;;;;;;;1
Humphrey's Restaurant;;1;;;;;;;;1
Hydragroep;;;;1;;;;;;1
Ibis Accor Hotels;;1;;;;;;;;1
IBR Instituut Voor Bouwrecht;1;;;;;;;;;1
Iedema Projectstoffering Wateringen (incl. Martin Kok Projectinrichting);;;;;;;;1;;1
IFM Ecom (incl. Presentieborden.nl, Whiteboardshop.nl);;;;;;;;;1;1
Igluu Workspace For Professionals;;1;;;;;;;;1
Igo Post Internationale Geschenken Organisatie;;;;;;;;;1;1
IHC Interior;;;;;;;;2;;2
Impero Romano Restaurant;1;;;;;;;;;1
Impromex Technics/Ergoshop;;;;;;;;1;;1
In den Stallen;;1;;;;;;;;1
In60seconds;;;;;;2;;;;2
Inbraakpreventie;;;1;;;;;;;1
Insightsworld;;;;;;;;;1;1
Internet New Business Concepts (Vergaderruimte-Utrecht.nl);;3;;;;;;;;3
Intimus (vh Asterion, Pitney Bowes);;;;;1;1;;;;1
Ipse de Bruggen;;1;;;;;;;;1
Iron Mountain Nederland;;;1;;;;;;;1
ISS Holding;;;;2;;;;;;2
ISS Holding/Facility Services;;;;2;;;;;1;2
Istana Indonesisch Restaurant;;1;;;;;;;;1
Italy;;1;;;;;;;;1
Jaarbeurs Catering Services;;1;;;;;;;;1
Jaarbeurs Utrecht;1;2;1;;;;;;;2
Jansen-Wijsmuller & Beuns;;;;;;;;;5;5
Jetmail;;;;;;3;;;;3
JKS Sneltransport;;;;;1;;;;;1
Jong Europe;;;;;;;;;2;2
Joules Unlimited;;;;;;1;;;;1
Jump-O-lux (incl. Jolfix);;;;;;1;;;;1
Juni Ontbijt en Lunch;;1;;;;;;;;1
Jura Nederand;;;;;;;;;1;1
Kampert en Helm (incl. K&H, Rotaform);;;;;;;;;1;1
Kardex Systemen;;;;;;;;1;;1
Karel V Utrecht Grand Hotel;;1;;;;;;;;1
Karmac Informatie & Innovatie;;;;;;2;;;;2
Kentie Afterprint;;;;;;1;;;;1
Kilsdonk;;;;;;1;;;;1
Klarna;;;;;;;;;1;1
Klink's Broodjeslijn;;1;;;;;;;;1
KOFFIE EN IJSALON FLORENCIA;;1;;;;;;;;1
KoffieSnel.nl;;1;;;;;;;;1
Koning & Hartman;;;2;;;;;;;2
Koninklijke Ahrend (incl. Ahrend Inrichtingen);;;;;;;;6;1;6
Koninklijke De Swart;;;;;;1;;;;1
Koninklijke van der Most;;;;;;4;;;3;5
Kop Beveiliging;;;1;;;;;;;1
Kortmann Art Packers & Shippers;;;;;1;;;;;1
KPCS Rozenpaviljoen;;1;;;;;;;;1
KPN (incl. Getronics, PTT Telecom);;;1;;;;;;;1
KRUIMELS;;1;;;;;;;;1
Kruller Hotel;;1;;;;;;;;1
Kunstpassage;2;1;;;;;;;;2
La Lanterna Restaurant Pizzeria;;1;;;;;;;;1
La Liguria Restaurant;;1;;;;;;;;1
La Meridiana Restaurant Zwolle;1;;;;;;;;;1
La Place Catering Service Restaurant;;1;;;;;;;;1
Laarhoven Design;;;;;;1;;;;1
Landgoed De Reehorst Hotel en Congrescentrum, Facilitairbedrijf (incl. Antropia);;1;;;;;;;;1
LC Traffic;;;1;;;;;;;1
Le Bistroquet;;1;;;;;;;;1
Le Strasbourg;;2;;;;;;;;2
Lebkov & Sons;;1;;;;;;;;1
Letterop;;;;;;;;1;1;1
Lifoka Kopie en Print;1;;;;1;2;;;;2
Linkit Infrastructure Management;;1;;;;;;;;1
Linnen At Work;;;;;1;;;;;1
Little V Vietnamees Restaurant;;1;;;;;;;;1
LJS Automatisering;;;;;;;;;1;1
Lloyd Hotel;;1;;;;;;;;1
Lloyd's Register (incl. Cedeo);1;;;;;;;;;1
Locker Company;;;;;;;;;1;1
Lopharm;;;1;;;;;;;1
Lumenz Talentontwikkeling (incl. Om de hoek);;1;;;;;;;;1
Luna Catering;;1;;;;;;;;1
Lunchroom Nieuw Engelhard;;1;;;;;;;;1
Luno Kitchen;;1;;;;;;;;1
Lyreco Nederland (vh Ahrend Office Products);;1;;1;;1;;;4;4
Maas Internationaal - Koffieautomaten;;5;;;;;;;;5
Maasdam Groep;;;;;;;;5;;5
Maasmond Groep;;;;;;;;2;;2
MAC2;;;;;;;;;1;1
Madurodam;;1;;;;;;;;1
Magnus Grafische Afwerkers;;;;;;1;;;;1
Mainpress (incl. Computerboek.nl, Managementboek.nl, Jongbloed);;;;;;;;;2;2
Management Drives Opleidingen;;;;;;;;;2;2
Manutan (vh Overtoom International);;;;;;;;;1;1
Marktzicht Restaurant;;1;;;;;;;;1
Master Nederland;;;;;;1;;;;1
Maxilia (incl. Greengiving.nl);;;;;;1;;;;1
Maxime Restaurant;1;;;;;;;;;1
Maxxia (Noviosign);;;;;;;;;1;1
Mazie Restaurant;;1;;;;;;;;1
MCM Vlaggen Bennekom;;;;;;1;;;;1
Media Markt;;;;;;;;;1;1
Mediageniek;1;;;;;;;;;1
Mediaweb Internet Integrators;;;;;;2;;;;2
Medi-Select;;;1;;;;;;;1
Meeting Plaza;;1;;;;;;;;1
Mega Cleaning Products;;;;1;;;;;;1
Melitta;;1;;;;;;;;1
Mercure Hotels;;1;;;;;;;;1
Merkelbach;;1;;;;;;;;1
Mertens Frames;;;;;;1;;;;1
Mettler-Toledo;;;;;1;;;;;1
Miko Koffie Service;;2;;;;;;;;2
Millship Graphic Design;;;;;;1;;;;1
Misco Solutions (vh SCC Services);;;;;;;;;1;1
Moduli Print;;;;;;2;;;;2
Mondial Movers;;;;;;2;;;;2
Moonen Import-Export;;;;;;;;1;;1
Moorman Karton Weesp;;;;;;1;;;;1
Muller's Visual Communication;;;;;;1;;;;1
Multi Post Nederland;;;;;2;1;;;;2
Munckhof Reizen;;;;;3;;;;;3
Nationale Beeldbank;;;;;;;;;1;1
Nauta Security Storage;;;2;;;;;;;2
Nederlands Forenisch Instituut NFI;;1;;;;;;;;1
Nederlof Mode;;;;;;;;;1;1
Neopost (incl. Neopost Finance);;;;;2;;;;;2
Nespresso Nederland;;;;;;;;;1;1
Nestle Waters Direct (incl. Nutrition, Aqua System);;1;;;;;;;;1
New Babylon Meeting Center;1;2;;;;;;;;2
New York Pizza;;1;;;;;;;;1
NH Hotels (incl. Nhow hotels);;2;;;;;;;;2
NIBHV Nederlands instituut voor bedrijfshulpverlening;;;1;;;;;;;1
Nieuwe Nobelaer;;1;;;;;;;;1
Nieuwenhuis Corporate Fashion;;;;;;;;;4;4
NMS National Multiple Services;;;;;;;;;1;1
NoRisk KeyManagement (Traka);;;1;;;;;;;1
Novagraaf Nederland;;;1;;;;;;;1
Novon Benelux;;;;;;;;1;;1
Novotel;;1;;;;;;;;1
Nsecure;;;4;;;;;;;4
NVBK - Nederlandse Vereniging van Bouwkostendeskundigen;1;;;;;;;;;1
OBT - Opmeer/De Bink/Tds - Boekdruk;;;;;;4;;;;4
Oele mannenmode B.V.;;;;;;;;;1;1
Office Depot (incl. Viking Direct, vh Guilbert);;;;;;;;;1;1
Officemeubels B.V.;;;;;;;;1;;1
Opitec;;;;;;;;;1;1
Optima Forma;;;;;;2;;;;2
Or-Online.nl;;;;;;;;;1;1
Oud Poelgeest;;1;;;;;;;;1
Oudaen Stadskasteel;;1;;;;;;;;1
Paagman Kantoorbenogigdheden;;;;;;;;;1;1
Pakhuis De Zwijger;;1;;;;;;;;1
Pan Café Restaurant;;1;;;;;;;;1
PANNENKOEKENHUIS RESTAURANT BERG EN DAL;;1;;;;;;;;1
Pantem / Leopold Cafe-Restaurant;;1;;;;;;;;1
Paperlinx (v.h. Buhrmannubbens, incl. Living Office Paper Services);;;;;;4;;;4;5
Papyrus Groep;;;;;;1;;;4;4
Paradigit Computers;1;;;;;;;;;1
Paris Uitgeverij;;;;;;;;;1;1
Park Plaza;1;;;;;;;;;1
Parthen (incl. Meeting Essentials, Presentatie, R&S, Impact);;;;;;;;;1;1
Partners in Cultuur en Beleving;1;;;;;;;;;1
Paul Verhuurbedrijf;;1;;;;;;;;1
Pavlov Bar Restaurant;;1;;;;;;;;1
PBLQ (HEC, ROI, Zenc);;2;;;;;;;;2
Pcs Europe;;;;3;;;;;;3
Pelican Rouge (vh Autobar Holland, Cafe Bar);;5;;;;;;;;5
Pels Rijcken & Droogleever Fortuijn (incl. De Landsadvocaat);1;;;;;;;;;1
Peperzak;;1;;;;;;;;1
Pepperoni;;1;;;;;;;;1
Perfekt Pak;;;;;;1;;;;1
Performa Uitgeverij;;;;;;;;;1;1
Persolog;;;;;;;;;1;1
PGN;;;;;;1;;;;1
PKG Beheer BV;;;;;;2;;;;2
Planetenbaan Kledingreparatie & Stomerij;;;;;;;;;1;1
Plasticarto Verpakkingsind;;;;;;1;;;;1
Poentjak Indonesisch Restaurant;;1;;;;;;;;1
Polichlo Safety & More;;;;;;;;;1;1
Polman's Café-Restaurant;;1;;;;;;;;1
Polvo (incl. Leys, VdStad, Dubson, Kruyt, Holtgrefe, Lekkerkerker);;;1;;;;;;;1
Pondres Distributie;;;;;;2;;;;2
Popocatepetl Mexicaans Restaurant;;1;;;;;;;;1
PostNL (incl. TNT Post);;;;;1;;;;;1
Premiumgids.nl;;;;;;;;;1;1
Prima 2.0;;;;;;1;;;;1
Primera;;;;;1;;;;;1
Procura;;;;;;1;;;;1
Productwereld;;;;;;;;;1;1
Promteg;;;5;;;;;;;5
Protinus It;;;;;;;;;2;2
Puur Events;;1;;;;;;;;1
RAI Amsterdam;;1;;;;;;;;1
Rajapack;;;;;;1;;;;1
Real Estate Care Company;;;;;;;;1;;1
Regus;;1;;;;;;;;1
Remto Automaterialen;;;;;;;;;1;1
Renaud Delft Horecabenodigdheden;;1;;;;;;;;1
Rendement;;;;;1;;;;;1
Rentokil Initial (incl. Initial Hokatex, Rentokil Hokatex, Ambius, Westplant Gree Facility);;;;5;;;;1;;5
Repro van De Kamp;;;;;;1;;;;1
Retraiterie Rottemeren;;1;;;;;;;;1
RGN Restyle Groep Nederland;;;;;;;;1;;1
Ricoh Groep (incl. Nashuatec, NRG);;;;;;5;;;2;5
Rietvelt Herenmode;;;;;;;;;1;1
Rijnja Repro;;;;;1;;;;;1
Rikkers infographics;;;;;;;;;1;1
Ritom Beveiligingstechniek;;;3;;;;;;;3
Riva Cafe-Restaurant;;1;;;;;;;;1
Rodi Media;;;;;;;;1;;1
Rohde & Grahl (incl. Working Well);;;;;;;;1;1;2
Room Koffie Eten en Meer;1;;;;;;;;;1
Rootz Cafe Restaurant;;1;;;;;;;;1
Ropeni (incl. Schlemmer);1;2;;;;;;;;2
RRS Riool Reinigings Service (incl. HRT Holland Riooltechniek);;;;1;;;;;;1
Ruys Efficiency in Zakenpost, Handelsvereniging;;;;;;;;;1;1
SAB Arnhem;;;;;;;;;1;1
Sabel Communicatie;;;;;;1;;;;1
Safe2Lock;;;1;;;;;;;1
Safety Masters;;;1;;;;;;;1
Santas Service;;1;;;;;;;;1
Saval;;;1;;;;;;;1
SBRCURnet Stg Bouwresearch;1;;;;;;;;;1
Scholten Awater & Partners;;;2;;;;;;;2
Schoonmaakwinkel.nl;;;;1;;;;;;1
Schouten Global (incl. Schouten & Nelissen Groep, Thema);;;;;;;;;1;1
Schurgers Sleutelservice;;;1;;;;;;;1
Scolair;;;;;;;;;1;1
SDU - Service Centrum Uitgevers;;;;;;;;;1;1
SealXpress;;;;;;1;;;;1
Seats2meet.com;;1;;;;;;;;1
Sectra Communications;;;2;;;;;;;2
Securitas (incl. Data en Archief, Telematics, Direct, Alert Teleservices, Meldkamer MG, MPL Beveiligingsdiensten);;;8;;;;;;;8
Securitech;;;1;;;;;;;1
See You At Noon;;1;;;;;;;;1
SENA Stichting ter Exploitatie van Naburige rechten;;;;;1;;;;;1
SGA Bedrijfskleding;;;;;;;;;1;1
Sharp Electronics Benelux;;;;;;;;;1;1
Siemens Nederland;;;1;;;;;;;1
Signplan/Modulex;;;;;;;;2;;2
Sip Signproductions;;;;;;;;1;;1
Sita;;;;;;;3;;;3
Sleutelservice.com;;;1;;;;;;;1
Sligro (incl. van Hoeckel);;;;;;;;;1;1
Slimshops;;;;;;;;;1;1
Smartteq;;;1;;;;;;;1
SMC Security Monitoring Centre;;;1;;;;;;;1
Smeva Service;;1;;;;;;;;1
Snijders Grafische Machines;;;;;;;;;1;1
Societeit De Witte Nieuwe of Litteraire;1;1;;;;;;;;1
Sodexo;;6;;;;;;;;6
Soeboer Restaurant;;1;;;;;;;;1
SOESBEEK;;;;;;1;;;;1
Spaces Rode Olifant;;2;;;;;;;;2
Speakers Academy;1;;;;;;;;;1
Spekkink Consultancy & Research;1;;;;;;;;;1
Spencer Medical;;;1;;;;;;;1
SPG (incl. Strapex);;;;;1;;;;;1
Spize Asian Bistro Restaurant;;1;;;;;;;;1
Sports Design Textieldrukkers;;;;;;2;;;;2
Staffing Management Services BV;;;;;;;;;1;1
Stairway To Heaven;;1;;;;;;;;1
Star Project;;;;;;1;;;;1
STAS Picture Hanging Systems;;;;;;;;;1;1
Staten-Express;;1;;;;;;;;1
Stayokay;;1;;;;;;;;1
STECR Stg Expertisecentrum Reïntegratie;;;;;;;;;1;1
Stg HBO Haaglanden & Rijnstreek Haagse Hogeschool;1;;;;;;;;;1
Stichting Aanbestedingsrecht;1;;;;;;;;;1
Stichting Dominicanenklooster Zwolle;;1;;;;;;;;1
Stichting Industrieel Bouwen Nederland Boosting;1;;;;;;;;;1
Still Intern Transport;;;;;;;;;1;1
Stoffer Banketbakkerij;;;;;;;;;1;1
Stomerij Panda;;;;;;;;;2;2
Straight Systems;;1;;;;;;;;1
Strak Grafische Realisatie & Apple Systeembeheer;;;;;;1;;;;1
StrayShop;;;;;;;;;1;1
Studio 3005;;;;;;1;;;;1
Studio Tint;;;;;;2;;;;2
SupermarktNL;;1;;;;;;;1;1
'T Goude Hooft Beheer Equus Stadsherberg, Hotel;;1;;;;;;;;1
T RAADHUIS HEINENOORD;;1;;;;;;;;1
Taat & De Regt;;1;;;;;;;;1
TAMARA S HORECA;;1;;;;;;;;1
Tapwacht Service;;1;;;;;;;;1
