Leverancier;3000 - Uitbesteden overig;3110 - Uitbesteden organisatie- en formatieadviesopdrachten;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3130 - Uitbesteden communicatie adviesopdrachten;3140 - Uitbesteden juridische adviesopdrachten;3150 - Uitbesteden ICT-adviesopdrachten;3160 - Uitbesteden accountancy en financiën;Eindtotaal
Sira Consulting B.V.;;;1;;;;;1
SOMO;;;;;1;;;1
Sound & Light Factory;2;;;;;;;2
Stg. Centr. voor Arbeidsverhoud. Overh.pers.;;;5;;;;;5
Stibbe N.V.;;;2;;;;;2
Sticht. Int. Belasting Documentatie Bureau;;;2;;;;;2
Stichting Behavioural Insights Nederland;;;2;;;;;2
Stichting Centerdata;;;3;;;;;3
Stichting Fonds Instituut Clingendael;;;1;;;;;1
Stichting Swov;;;2;;;;;2
Stichting 'Vastgoedcert';1;;;;;;;1
Sustainable Change B.V.;;;1;;;;;1
Tensing Safety & Security B.V.;;;;;;1;;1
THOMS B.V.;;;1;;;;;1
TNO B.V.;;;1;;;;;1
TOBIAS WITTEVEEN Strategie en Bestuur (TWSB);;;1;;;;;1
Towers Watson Netherlands B.V.;;;2;;;;;2
Triply B.V.;;;;;;3;;3
Umbrio B.V.;;;;;;2;;2
van Ackooij Media Producties;1;;;;;;;1
Van der Weijden Maximaal B.V.;;;1;;;;;1
VANWAARDE Museumwacht B.V.;1;;;;;;;1
Velten & De With;;;3;;;;;3
Verdonck, Klooster & Associates B.V.;;;2;;;;;2
Vereniging Icom-Nederland;1;;;;;;;1
WA Productions;;;1;;;;;1
Wepublic B.V.;;;;2;;;;2
Work21 B.V.;;;2;;;;;2
XCESS expertise center B.V.;;;;;;1;;1
Young Works B.V.;;;1;;;;;1
Zaïsha Cowles;;;1;;;;;1
Eindtotaal;7;6;8;6;4;9;4;9
