soort,naam,straatnaam,huisnummer,postcode,woonplaats,maandag,dinsdag,woensdag,donderdag,vrijdag,trouwlocatie,telefoonnummer,website,mailadres,identificatie,latitude,longitude
trouwlocatie,villa familla,noordstraat,36,5038ej,tilburg,nvt,nvt,nvt,nvt,nvt,ja,06-51736381,https://villafamilla.nl/,info@villafamilla.nl,0855010000049411,51.559293610384096,5.080057990848697
stadswinkel,stadswinkel reeshof,ketelhavenstraat,91,5045ng,tilburg,13:30 - 18:00 uur,13:30 - 18:00 uur,13:30 - 18:00 uur,13:30 - 18:00 uur,13:30 - 18:00 uur,nee,14 013,http://www.tilburg.nl/,inwoners@tilburg.nl,0855010000111357,51.57516671554298,4.994854287309356
stadswinkel,stadswinkel udenhout,tongerloplein,15,5071cx,udenhout,nvt,13:00 - 18:00 uur,nvt,nvt,nvt,nee,14 013,http://www.tilburg.nl/,inwoners@tilburg.nl,0855010000085699,51.60973226184039,5.142334372429446
balie werk en inkomen,balie werk en inkomen,burgemeester brokxlaan,1680,5041sg,tilburg,08:30 - 17:00 uur,08:30 - 17:00 uur,08:30 - 17:00 uur,08:30 - 17:00 uur,08:30 - 17:00 uur,nee,14 013,http://www.tilburg.nl/,werkeninkomen@tilburg.nl,0855010000114734,51.56170731011493,5.078274925594342
bureau schuldhulpverlening,bureau schuldhulpverlening,spoorlaan,448,5038ch,tilburg,09:00 - 16:00 uur,09:00 - 16:00 uur,09:00 - 16:00 uur,09:00 - 16:00 uur,09:00 - 12:00 uur,nee,14 013,http://www.tilburg.nl/,schuldhulpverlening@tilburg.nl,0855010000063413,51.559936261656745,5.080146372587644
loket z,loket z west (mfa 't kruispunt),sinopelstraat,1,5044kp,tilburg,10:00 - 12:00 uur,10:00 - 12:00 uur,10:00 - 12:00 uur,10:00 - 12:00 uur,10:00 - 12:00 uur,nee,14 013,http://www.tilburg.nl/,loketz@tilburg.nl,0855010000115156,51.575687420007,5.042801169744817
loket z,loket z zuid (mfa spijkerbeemden),don sartostraat,4,5022ha,tilburg,10:00 - 12:00 uur,10:00 - 12:00 uur,10:00 - 12:00 uur,10:00 - 12:00 uur,10:00 - 12:00 uur,nee,14 013,http://www.tilburg.nl/,loketz@tilburg.nl,0855010000097047,51.54090313969222,5.097398245816649
sportpunt,sportpunt,stappegoorweg,1,5022da,tilburg,nvt,nvt,nvt,nvt,nvt,nee,14 013,http://www.sportintilburg.nl/,sport@tilburg.nl,0855010000079764,51.54288780567556,5.076699929388207
brabants afval team (bat),brabants afval team (bat),ceramstraat,6,5013bb,tilburg,nvt,nvt,nvt,nvt,nvt,nee,14 013,http://www.bat.nl/,afval@tilburg.nl,0855010000010088,51.56520844493606,5.104964704190677
stadskantoor,stadhuis,stadhuisplein,130,5038tc,tilburg,nvt,nvt,nvt,nvt,nvt,nee,14 013,http://www.tilburg.nl/,inwoners@tilburg.nl,0855010000121143,51.55499086571485,5.087517686317174
stadskantoor,stadskantoor 2,koningsplein,9,5038wg,tilburg,nvt,nvt,nvt,nvt,nvt,nee,14 013,http://www.tilburg.nl/,inwoners@tilburg.nl,0855010000117186,51.554229071179634,5.089026888736183
stadskantoor,stadskantoor 5,spoorlaan,448,5038ch,tilburg,nvt,nvt,nvt,nvt,nvt,nee,14 013,http://www.tilburg.nl/,inwoners@tilburg.nl,0855010000063413,51.559936261656745,5.080146372587644
stadskantoor,stadskantoor 6,spoorlaan,181,5038cb,tilburg,nvt,nvt,nvt,nvt,nvt,nee,14 013,http://www.tilburg.nl/,inwoners@tilburg.nl,0855010000113157,51.56060745765783,5.078104592451718
trouwlocatie,raadhuis udenhout,slimstraat,2,5071ej,udenhout,nvt,nvt,nvt,nvt,nvt,ja,14 013,http://www.tilburg.nl/,inwoners@tilburg.nl,0855010000086793,51.61193726742646,5.140757628893051
trouwlocatie,auberge du bonheur,bredaseweg,441,5036na,tilburg,nvt,nvt,nvt,nvt,nvt,ja,013-4686942,http://www.bonheurhorecagroep.nl/,info@bonheurhorecagroep.nl,0855010000013338,51.55963005075155,5.035160395128793
trouwlocatie,best western hotel de druiventros,bosscheweg,11,5056pp,berkel-enschot,nvt,nvt,nvt,nvt,nvt,ja,013-5339115,http://www.druiventros.nl/,info@druiventros.nl,0855010000081313,51.576680870238995,5.145213302833301
trouwlocatie,boerderij denissen,generaal eisenhowerweg,1,5056cr,berkel-enschot,nvt,nvt,nvt,nvt,nvt,ja,013-5334218,http://www.boerderijdenissen.nl/,info@boerderijdenissen.nl,0855010000084912,51.583475210437136,5.1460964834884395
trouwlocatie,boerke mutsaers,vijverlaan,2,5042pz,tilburg,nvt,nvt,nvt,nvt,nvt,ja,013-5900808,http://www.boerkemutsaers.nl/,info@boerkemutsaers.nl,0855010000068908,51.56569804205485,5.050640567600656
trouwlocatie,bosch en duin,schoorstraat,50,5071rc,udenhout,nvt,nvt,nvt,nvt,nvt,ja,013-5111385,http://www.bosch-duin.nl/,info@bosch-duin.nl,0855010000089162,51.63549781623981,5.111873646844496
trouwlocatie,bosvreugd cultuurbos,reeshofdijk,12,5044vb,tilburg,nvt,nvt,nvt,nvt,nvt,ja,013-4633531,http://www.bosvreugd.nl/,info@bosvreugd.nl,0855010000054919,51.567591941583,5.036954380144722
trouwlocatie,la cabaña,academielaan,73,5037ev,tilburg,nvt,nvt,nvt,nvt,nvt,ja,013-4673384,http://lacabanatilburg.nl/,info@lacabanatilburg.nl,0855010000003816,51.557624153835086,5.055706558052904
trouwlocatie,cinecitta,willem ii-straat,29,5038ba,tilburg,nvt,nvt,nvt,nvt,nvt,ja,085-9022996,http://cinecitta.nl/,info@cinecitta.nl,0855010000070588,51.55834032999578,5.086476235713988
trouwlocatie,de commanderie,rielseweg,861,5032sb,tilburg,nvt,nvt,nvt,nvt,nvt,ja,013-5181238,http://www.decommanderie.nl/,info@decommanderie.nl,0855010000058622,51.53233981382711,5.035079135956562
trouwlocatie,kasteel de strijdhoef,schoorstraat,14,5071ra,udenhout,nvt,nvt,nvt,nvt,nvt,ja,013-5111974,http://kasteeldestrijdhoef.nl/,info@makelaarskantoorvandenberg.nl,0855010000088611,51.61532036053158,5.13492278964378
trouwlocatie,"klasse theater, meeting and events",carré,16,5017je,tilburg,nvt,nvt,nvt,nvt,nvt,ja,013-5450233,http://www.klassetheater.nl/,info@klassetheater.nl,0855010000316999,51.55834432621834,5.102615880033258
trouwlocatie,kloosterkapel,capucijnenstraat,76,5025lh,tilburg,nvt,nvt,nvt,nvt,nvt,ja,013-5801010,http://www.kloosterkapel.nl/,huwelijk@kloosterkapel.nl,0855010000112148,51.55322256390248,5.075500496916081
trouwlocatie,philharmonie,oude goirleseweg,167,5025sb,tilburg,nvt,nvt,nvt,nvt,nvt,ja,013-8200399,http://wijnstracatering.nl/philharmonie-tilburg/,info@philharmonietilburg.nl,0855010000050900,51.544535956109875,5.063898371035535
trouwlocatie,arbie's beachhouse,rauwbrakenweg,38,5056ej,berkel-enschot,nvt,nvt,nvt,nvt,nvt,ja,013-5331282,http://www.arbies.nl/,info@lacloche.nl,0855010000090117,51.581954106351716,5.128975419269145
trouwlocatie,theaters tilburg,louis bouwmeesterplein,1,5038tn,tilburg,nvt,nvt,nvt,nvt,nvt,ja,013-5490309,http://www.theaterstilburg.nl/,info@theaterstilburg.nl,0855010000063419,51.55442192448216,5.082491381929487
trouwlocatie,de voltage,groenstraat,139,5021ll,tilburg,nvt,nvt,nvt,nvt,nvt,ja,013-5800007,http://www.kartingtilburg.nl/,casper@devoltage.nl,0855010000115919,51.54677296099283,5.088209791453475
trouwlocatie,koning willem ii stadion,goirleseweg,34,5026pc,tilburg,nvt,nvt,nvt,nvt,nvt,ja,013-5499600,http://www.bonheurhorecagroep.nl/,sales@bonheurhorecagroep.nl,0855010000025504,51.54213477621425,5.066167802291752
trouwlocatie,café zomerlust,oisterwijksebaan,15,5018tg,tilburg,nvt,nvt,nvt,nvt,nvt,ja,013-5425292,http://www.cafezomerlust.nl/,info@cafezomerlust.nl,0855010000048877,51.55938165300961,5.112898144555215
trouwlocatie,brasserie valentijn,molenhoefstraat,44,5071rm,udenhout,nvt,nvt,nvt,nvt,nvt,ja,013-5336230,http://www.brasserie-valentijn.nl/ ,info@brasserie-valentijn.nl,0855010000096436,51.59493534906319,5.1288434590866006
trouwlocatie,hofstede de blaak,dussenpad,1,5032wl,tilburg,nvt,nvt,nvt,nvt,nvt,ja,013-4638899,http://hofstededeblaak.nl/,info@hofstededeblaak.nl,0855010000017605,51.5493924669369,5.044347738460071
trouwlocatie,kapel wijkcentrum koningshaven,kruisvaardersstraat,32c,5021be,tilburg,nvt,nvt,nvt,nvt,nvt,ja,06-45271428,http://trouwlocatie.koningshaven.eu/ ,info@koningshaventilburg.nl,0855010000116618,51.54954448471128,5.099988607047273
loket z,loket z centrum,spoorlaan,181,5038cb,tilburg,10:00 - 12:00 uur,10:00 - 12:00 uur,10:00 - 12:00 uur,10:00 - 12:00 uur,10:00 - 12:00 uur,nee,14 013,http://www.tilburg.nl/,loketz@tilburg.nl,0855010000113157,51.56060745765783,5.078104592451718
stadswinkel,stadswinkel centrum,spoorlaan,181,5038cb,tilburg,08:00 - 18:00 uur,08:00 - 20:00 uur,08:00 - 18:00 uur,08:00 - 20:00 uur,08:00 - 18:00 uur,nee,14 013,http://www.tilburg.nl/,inwoners@tilburg.nl,0855010000113157,51.56060745765783,5.078104592451718
trouwlocatie,theater de boemel,burgemeester brokxlaan,8-76,5041sb,tilburg,nvt,nvt,nvt,nvt,nvt,ja,06-30010555,http://www.theaterdeboemel.nl/,info@bleyewerck.nl,0855010000112326,51.56150741772768,5.087501680884854
stadswinkel,stadswinkel berkel-enschot,trappistinnentuin,77,5057dj,berkel-enschot,nvt,nvt,13:00 - 18:00 uur,nvt,13:00 - 18:00 uur,nee,14 013,http://www.tilburg.nl/,inwoners@tilburg.nl,0855010000120896,51.58738515173822,5.1369310904824905
trouwlocatie,café bet kolen,broekhovenseweg,111,5021lc,tilburg,nvt,nvt,nvt,nvt,nvt,ja,013-5422860,http://www.betkolen.nl/,info@betkolen.nl,0855010000319307,51.546496275183976,5.0921302889112265
trouwlocatie,faculty club,hoevenseweg,2,5017ae,tilburg,nvt,nvt,nvt,nvt,nvt,ja,013-21189040,https://www.villapastorie.nl/,info@villapastorie.nl,0855010000031352,51.55393174794406,5.104298350981772
loket z,loket z noord,wagnerplein,4,5011lp,tilburg,10:00 - 12:00 uur,10:00 - 12:00 uur,10:00 - 12:00 uur,10:00 - 12:00 uur,10:00 - 12:00 uur,nee,14 013,http://www.tilburg.nl/,loketz@tilburg.nl,0855010000120844,51.58338915558504,5.084764126679391
stadswinkel,stadswinkel noord,wagnerplein,4,5011lp,tilburg,09:00 - 13:30 uur,09:00 - 13:30 uur,09:00 - 13:30 uur,09:00 - 13:30 uur,09:00 - 13:30 uur,nee,14 013,http://www.tilburg.nl/,inwoners@tilburg.nl,0855010000120844,51.58338915558504,5.084764126679391
trouwlocatie,van der valk hotel tilburg,dokter bloemenlaan,8,5022kw,tilburg,nvt,nvt,nvt,nvt,nvt,ja,013-8000800,https://www.hoteltilburg.nl/,sales@tilburg.valk.nl,0855010000117078,51.54376961399557,5.110411940420201
trouwlocatie,restaurant de houtloods,burgemeester brokxlaan,1041,5041rp,tilburg,nvt,nvt,nvt,nvt,nvt,ja,013-8509200,https://houtloods.com/,info@houtloods.com,0855010000117230,51.56204921683713,5.08148121629856
trouwlocatie,de wagon,burgemeester brokxlaan,1041,5041rp,tilburg,nvt,nvt,nvt,nvt,nvt,ja,013-2035051,https://eetbardewagon.com/,info@eetbardewagon.com,0855010000117230,51.56204921683713,5.08148121629856
trouwlocatie,peerkes hoeve,nijkerkstraat,1,5045mc,tilburg,nvt,nvt,nvt,nvt,nvt,ja,013-5915560,http://www.peerkeshoeve.nl/,info@peerkeshoeve.nl,0855010000054932,51.58576039686722,4.99713255230179
trouwlocatie,ons koningsoord,trappistinnentuin,76,5057dj,berkel-enschot,nvt,nvt,nvt,nvt,nvt,ja,013-2100200,http://www.onskoningsoord.nl/,horeca@onskoningsoord.nl,0855010000120895,51.58718531816147,5.136923245069419
trouwlocatie,faculty club,warandelaan,3,5037ab,tilburg,nvt,nvt,nvt,nvt,nvt,ja,013-5499600,https://www.bonheurhorecagroep.nl/faculty-club/,facultyclub@bonheurhorecagroep.nl,0855010000108159,51.5635971641936,5.040381680133103
trouwlocatie,partycentrum van opstal tilburg,koestraat,28,5014ed,tilburg,nvt,nvt,nvt,nvt,nvt,ja,06-50503925,http://www.partycentrumtilburg.nl/,info@partycentrumtilburg,0855010000123004,51.56609741485796,5.095584449278746
trouwlocatie,partycentrum van opstal berkel-enschot,burgemeester brendersstraat,3,5056hx,berkel-enschot,nvt,nvt,nvt,nvt,nvt,ja,06-50503925,http://www.partycentrumtilburg.nl/,info@partycentrumtilburg,0855010000082773,51.590615574204435,5.144268493564317
