Leveranciers;5110 - Verblijf extern;5210 - Wagenpark;5-Vervoer en verblijfskosten
Carlux;;1;1
Cartal Automotiv;;1;1
Carwash Haaglanden BV;;1;1
Carxpert Ambting;;1;1
Celil Citybike;;1;1
Century Autogroep (incl. BMC Groningen);;1;1
Citroen;;1;1
Cleancars;;1;1
Cofely (incl. Kalibra, GTI, Fabricom Oil, en Axima Services);;1;1
Conrad Electronic;;1;1
Cosmo Auto;;1;1
CSC Computer Sciences;;1;1
Damen Incasso;;1;1
Datema Electronics;;1;1
DBS Maaitechniek;;1;1
De Bandenhal;;1;1
De Fietsfanaat Haarlem;;1;1
De Molen Banden (incl. Banden Groep);;1;1
De Molenwiel;;1;1
De Waal Autogroep;;1;1
Diesel Service West;;1;1
Dijksman Haarlem;;1;1
Diks Autoverhuur;;1;1
Doesburg Autoverhuur;;1;1
E. Versteegh Plakservice;;1;1
EasyRent Autostrada;;1;1
Ebag Truck;;1;1
Edwin Groen Tweewielers;;1;1
Engelsma & Wijnia Autogroep;;1;1
ENRA Verzekeringen;;1;1
Esra Intern Transport;;1;1
Euro Mobil;;1;1
Euromaster;;2;2
Europcar Autoverhuur (Sterverhuur);;1;1
Fabory Nederland;;1;1
FietsNED;;1;1
Fietspunt;;1;1
Fietsspecialist Quist;;1;1
Flier's Rijwielgroothandel;;1;1
Garage G.C. van Vliet & Zn.;;2;2
Garage Oostendorp;;1;1
Garage-Truckwash Oegema;;1;1
Gebotours;;1;1
Gebr. Stoop Waarland;;1;1
Gjaltema Montage Bedrijf;;1;1
Glimmobiel;;1;1
Gommans en Jansen Roermond;;1;1
Green Wheels;;1;1
Halfords Nederland;;1;1
Handelsondernemin Willem Ox;;1;1
Hans Struijk Fietsen;;1;1
Harrie Arendsen Hengelo B.V.;;1;1
Heffiq (vh Barloworld Intern Transport);;1;1
Heijmans (incl. NMM, Burgers Ergon, Breijn, Utiliteitsbouw, Civiel, ...);;1;1
Heli Lifttrucks;;1;1
Helmstadt;;1;1
Henk Gerrits Tweewielers;;1;1
Henk Scholten;;1;1
Henk van Rooden;;1;1
Hertz Automobielen;;2;2
Het Zwarte Fietsenplan;;1;1
Hogenbirk Bedrijfswagens;;1;1
Hooghiemstra Hardegarijp;;1;1
Huiskes-Kokkeler;;4;4
Huisoccasions;;1;1
Huizing Autobanden B.V.;;1;1
Huurmij;;1;1
Hv Scooters;;1;1
Hydroscope;;1;1
Ijsseltours Touringcarbedrijf;;1;1
Infoland, Intranet & Interneto;;1;1
Innobike B.V.;;1;1
Interparking Nederland;;2;2
Iriks Autobedrijven;;1;1
J&T Autolease;;1;1
Jabo/Toolclub.nl;;1;1
Jan de Winkel BV;;1;1
Janssen & Janssen Deurwaarders;;1;1
Jewagas;;1;1
Kamsteeg Auto Groep;;1;1
KAV Autoverhuur;;1;1
Kempenland Automaterialen;;1;1
Kentekenplaatonline.nl;;1;1
Klaver Tweewielers;;1;1
Koning Vul & Service B.V.;;1;1
L&S Specials;;1;1
La Blanche;;1;1
Lamboo Repair;;1;1
Langhout Transport;;1;1
Lease Quality;;1;1
Leaseplan Nederland;;9;9
Lemerij B.V.;;1;1
Loogman Carwash;;1;1
Louwman & Parqui;;1;1
Louwman Arnhem;;1;1
M. De Koning;;1;1
Maaspoort Auto;;1;1
Mansier Tuinmachines;;1;1
Manutan (vh Overtoom International);;1;1
Martens Ema Support;;1;1
Martin Schilder Autoverhuur;;1;1
Masco;;1;1
MBT-Zonneveld;;1;1
Meerzicht & van Maanen Verkeersscho;;1;1
Meiburg Tuin- En Parkmachines;;1;1
Mercedes-Benz;;2;2
Merel Auto;;1;1
Merks Autoschade Heemstede B.V.;;1;1
Middelbeek Autorent;;1;1
Minnaard Autobedrijf;;1;1
Mixact;;1;1
Mobile Bike Service;;1;1
Motorstore Aalsmeer B.V.;;1;1
Motrac Intern Transport;;1;1
Mulder Autobedrijf;;1;1
Multi Tank Card;;2;2
Multirent;;1;1
Nefkens;;1;1
Niham;;1;1
Niham Zoetermeer B.V.;;1;1
Nijmeegse Verffabriek;;1;1
NTC-Vastgoed;;1;1
Olie van Londen;;1;1
Oliehandel Fr. Hopmans;;1;1
Olijve Oliehandel;;1;1
Omnimark;;1;1
Oosterveen's Oliehandel;;1;1
Overberg Oliehandel;;1;1
P.J. Coenders B.V.;;1;1
Paardenveld Vastgoed;;1;1
Park & Tuinmachines Velp;;1;1
Park Honingen Prinsenland;;1;1
Parkeerbedrijf Gemeente Groningen;;1;1
Parkeergarages Leeuwarden;;1;1
Patric's Car Cleaning;;1;1
Peinemann Heftrucks;;1;1
Pelican Rouge (vh Autobar Holland, Cafe Bar);;1;1
Peugeot;;1;1
Pouw Vervoer;;1;1
Profile Tyrecenter;;1;1
ProLease;;2;2
Protinus It;;1;1
Q-Park;;1;1
R.J. Visser Karrosserie;;1;1
R.J.T. Hehanussa;;1;1
Reerink Rijwielen;;1;1
Rienties Techniek;;1;1
Rijwielhandel Energie;;1;1
Rijwielhandel H.W. en R.M. Tieleman;;1;1
Rijwielhandel van Doremaele;;1;1
Rudy van de Logt;;1;1
Ruttchen Automotive;;1;1
Saab Twente;;1;1
Schadeservice Hoogenboom;;1;1
Schakelaar Tweewielers;;1;1
Scheel Autofauteuils;;1;1
Schoones Fietscorner;;1;1
Shell;;2;2
Sign Up Reclame;;1;1
Sloothaak Autoverhuur;;1;1
Spijkstaal Elektro;;1;1
Stam Autobedrijven;;1;1
Steegro Banden;;1;1
Stergampordon;;2;2
Sternbudget, rent;;1;1
Still Intern Transport;;1;1
Sunny-Fre Oliehandel B.V.;;2;2
'T Far Café Bar Petit-Restaurant;1;;1
Taxi Correct;;1;1
Taxi en Bergingsbedrijf Dorenbos;;1;1
TCA Telecom;;1;1
Technische Unie;;1;1
Tigchelaar Autobedrijven;;1;1
Touringcar Dortmans;;1;1
Toyota (incl. Louwman);;1;1
Travel Card Nederland;;5;5
Truck & Carwash Zwolle;;1;1
Truck en Carwash Center Zuid Groningen;;1;1
Truckland;;1;1
Trucks4Lease;;1;1
Univé;;1;1
V.O.F. Brandstoffenhandel Van den Oetelaar;;1;1
Van de Burgwal Aanhangwagenbedrijf;;1;1
Van den Berg Groep Adviseurs, Architecten;;1;1
Van den Udenhout Autobedrijf;;1;1
Van der Bilt Autogas;;1;1
Van der Kreeft Heftrucks;;1;1
Van der Molen Groningen;;1;1
Van der Veen Tweewielers;;1;1
Van Dorst Automotive;;1;1
Van Gestel Autoschade BV;;1;1
Van Kalmthout Auto;;1;1
Van Kerkhof & Visscher;;3;3
Van Kouwen Automotive;;1;1
Van Mossel West;;1;1
Van Roosmalen Autobedrijf;;1;1
Van Veldhuysen Tuin & Park;;1;1
Van Vliet L Vorkheftrucks;;1;1
Van Wifferen;;1;1
Van Zwienen Autobedrijf;;1;1
VDM Van der Meer Tours;;1;1
Veenstra banden&autoservice;;1;1
Vega Autoverhuur;;1;1
Veldman Advies;;1;1
Veldsink Adviesgroep;;1;1
Verhaegh aanhangwagens;;1;1
Verkerk Houten BV;;1;1
Vink Asten Garage;;1;1
Vink Lisse;;1;1
Vissers Oliehandel Horst;;1;1
W.A. van Putten en Zn.;;1;1
Wander;;1;1
WDM Nieuwegein;;1;1
Wealer;;1;1
Wensink Automobiel Bedrijven;;1;1
Wi-Bo Advies en Beheer;;1;1
Wiggers van Meggelen Gerechtsdeurw.;;1;1
Wittebrug Autogroep;;2;2
Yellowbrick;;2;2
ZIJM;;1;1
Eindtotaal;1;9;9
