Leveranciers;4000 - Diensten en middelen overig;4110 - Consumptieve diensten;4120 - Risicobeheersen;4130 - Schoonmaak;4210 - Post-, koeriers- en transportdiensten;4310 - Documentmanagement;4410 - Afvalzorgmanagement;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;4710 - Bankdiensten;4-Diensten en middelen
Dijkstra's Bouw en Aannemersbedrijf BV;;;;;;;;;;1;1
Donmez Vertaalbureau;;;1;;;;;;;;1
Douwe Egberts;;2;;;;;;;;;2
Drentea Kantoormeubelen;;;;;;;;2;;;2
Effectory;;;;;;;;;3;;3
Element Materials Technology;;;2;;;;;;;;2
EMC Advies;;;;;;;;;1;;1
Endemol;1;;;;;;;;;;1
Enercon Benelux BV;;;;;;;;;;1;1
Equipe Quality Products (incl. Health2Work);;;;;;;;2;1;;2
Ergozit;;;;;;;;1;;;1
Eric Richter Transport BV;;;;;;;;;;1;1
Etenstijd;;;;;;;;;;1;1
Everaert Advocaten;1;;;;;;;;;2;2
Faas Audiovisuele Dienstverlening;;;;;;;;;1;;1
Fibrecount;;;1;;;;;;;;1
Find Inspecties & Analyses;;;1;;;;;;;;1
First Care Opleidings- en Trainingsburo;;;;;;;;;1;;1
Flexwerk de Visser BV;;;;;;;;;;1;1
FNV Formaat;1;;;;;;;;;;1
Foto Teunissen;;;;;;;;;1;;1
Franken en Van Bommel Advocaten;1;;;;;;;;;;1
Froon Helmonds Stg Beheer Derdengelden;1;;;;;;;;;;1
Fysio Supplies;;;;;;;;1;;;1
G4S Beveiliging (incl. Group 4, Securicor, Falck, Hacousto, Ricas);;;1;;;;;;;;1
Gerard Voskuilen;;;;;;;;;1;;1
Giftskikker;;;;;;;;;1;;1
Glaspunt;;;1;;;;;;;;1
GOM Schoonhouden;1;;;1;;;;;;;1
Gort Tekstburo;;;;;;1;;;;;1
Groeppraktijk Het Raadhuis Maasniel;;;1;;;;;;;;1
H.D.O. Dakbedekkingen BV;;;;;;;;;;1;1
Hago Nederland Schoonmaakbedrijf;1;;;;;;;;;;1
Halil Dogan Advocaat;1;;;;;;;;;;1
Hamerslag en van Haren Advocaten;1;;;;;;;;;;1
Havenbedrijf Rotterdam;1;;;;;;;;;1;1
Hemonylaan Advokatenkantoor;1;;;;;;;;;;1
Henk van Geloven BV;;;1;;;;;;;;1
Herenbos Holding BV;;;;;;;;;;1;1
Het Notuleercentrum Opleidingen;;;;;;;;;2;;2
High Five Health Promotion;;;;;;;;;2;;2
Hoffmann Bedrijfsuitrusting;;;;;;;;;1;;1
Holla Poelman van Leeuwen Advocaten;1;;;;;;;;;;1
Houthoff Buruma Advocaten;1;;;;;;;;;1;1
HP Hewlett Packard (incl. Autonomy, Verity);;;;;;;;;1;;1
HQ Pack BV;;;;;;;;;;1;1
HSK Groep;;;;;;;;;1;;1
Huisartsenpraktijk Hummelo en Keppel;;;1;;;;;;;;1
Huisartsenpraktijk Lutjebroek;;;1;;;;;;;;1
Huisartsenpraktijk Zoon;;;1;;;;;;;;1
Huisartspraktijk P.M.P. Paes;;;1;;;;;;;;1
Huyer deurwaarder en incasso;;;;;;;;;;2;2
ID Ware International;;;1;;;;;;;;1
Ie-Sicht Hotel-Restaurant;;1;;;;;;;;;1
Igo Post Internationale Geschenken Organisatie;;;;;;;;;1;;1
IIA Instituut van Internal Auditors;1;;;;;;;;;;1
In2Content;1;;;;;;;;;;1
Inbraakpreventie;;;1;;;;;;;;1
Indonesia Specialist Antara;;;2;;;;;;;;2
ING Bank;;;1;;;;;;;;1
Installatie Kunststof Techniek;;;;;;;;;;1;1
Intenz Gezondheidsplan BV;;;;;;;;;3;;3
Intersafe Groeneveld;1;;1;;;;;;;;1
Intoappsnwebs;;;;;;;;;1;;1
Intrum Justitia;;;;;;;;;;1;1
Isala Klinieken;;;1;;;;;;;;1
ISVW Instituut voor Wijsbegeerte;1;;;;;;;;;;1
IXXI Office;;;;;;;;1;;;1
J.D. Reddingius Huisarts;;;1;;;;;;;;1
J.P.C. Ten Wolde Advocaten;1;;;;;;;;;1;1
Jacob Schoon BV;1;;;;;;;;;;1
Jap-A-Joe Advocatenkantoor;1;;;;;;;;;;1
JB;1;;;;;;;;;;1
Jeroen Bosch Ziekenhuis, Institute;;;1;;;;;;;;1
JMT International;;;;;;;;;1;;1
JPR Advocaten;1;;;;;;;;;1;1
Jumelet Verhagen Stg Beheer Derdengelden;1;;;;;;;;;;1
Kalbfleisch van der Blom & Fritz;1;;;;;;;;;;1
Kampen Valve Care BV;;;1;;;;;;;;1
KAV Autoverhuur;;;1;;;;;;;;1
Kemkens Installatietechniek, Gasservice;;;;;;;;;;1;1
Kolthof Bouwbedrijf;;;;;;;;;;1;1
Koninklijke Ahrend (incl. Ahrend Inrichtingen);;;;;;;;2;;;2
Koninklijke van der Most;;;;;;1;;;2;;2
Kortenbach van Steensel Advocaten;1;;;;;;;;;1;1
Kose van Immerseel Advocaten;1;;;;;;;;;;1
Koster Advocaten;1;;;;;;;;;;1
KPN (incl. Getronics, PTT Telecom);;;1;;;;;;;;1
Kroes Advocaten;1;;;;;;;;;1;2
Landelijk Werkverband Praktijk;2;;;;;;;;;;2
Lasbedrijf P. Volmer BV;;;;;;;;;;1;1
Laurentius Ziekenhuis Roermond;;;1;;;;;;;;1
Libra Zorggroep;;;;;;;;;1;;1
Lilia Christova Vertaalbureau;;;1;;;;;;;;1
Linguist Link Europe;1;;;;;;;;;;1
Linssen Advocaten;1;;;;;;;;;;1
Lloyd's Register (incl. Cedeo);;;1;;;;;;;;1
Logicx (incl. Berging, Mobiliteit, Brugel);;;;;1;;;;;;1
Lyreco Nederland (vh Ahrend Office Products);;;;1;;;;1;5;;5
Maatschap Chirurgie West Brabant;;;1;;;;;;;;1
Maatschap Huisartsen;;;1;;;;;;;;1
Maatschap Oogartsen;;;1;;;;;;;;1
Maatschap Plastische Chirurgie;;;1;;;;;;;;1
Manpower (incl. TVcN Tolk- en Vertaalcentrum Nederland);;;4;;;;;;;;4
Manutan (vh Overtoom International);;;;;;;;;1;;1
Marel Stork Poultry Processing BV;;;;;;;;;;1;1
Martijn Beekman Fotografie;;;;;;;;;1;;1
Mavim Holding;;;;;;;;;3;;3
Meander Medisch Centrum;;;1;;;;;;;;1
Medior Comfort VOF;;;;;;;;1;;;1
Meester Advocaten;1;;;;;;;;;;1
Met Andere Woorden;;;;;;1;;;;;1
Metaalgroothandel Metaalwinkel;;;;;;;;;1;;1
Misco Solutions (vh SCC Services);;;;;;1;;;;;1
Mol & van Vendeloo;1;;;;;;;;;1;1
Moree Gelderblom Advocaten;1;;;;;;;;;1;1
Morpak BV Industriele Verpakkingen;;;;;;;;;;1;1
MPS Martinair Party Service;;2;;;;;;;;;2
Mts Orthopedie Roosendaal;;;1;;;;;;;;1
Multirent;;;1;;;;;;;;1
N.A. van den Hoven & Zn Brandkastenfabriek;;;;;;;;;1;;1
Nauta Dutilh Advocatenkantoor;1;;;;;;;;;;1
Navacqs (incl. Verzegelingenshop.nl);;;;;;;;;1;;1
NBCC The Netherlands Britisch Chamber of Commerce;;;1;;;;;;;;1
Neopost (incl. Neopost Finance);;;;;;;;;1;;1
Nestle Waters Direct (incl. Nutrition, Aqua System);;1;;;;;;;;;1
Nice thingZ;;;;;;;;;1;;1
Nobus Advocaten;1;;;;;;;;;;1
Noordsee Ameland Hotel;1;;;;;;;;;;1
Nooteboom Trailer Service (incl. NFTS);;;1;;;;;;;;1
NRG Nuclear Research And Consultancy Group - Petten, Individual Monitoring, Radiation&Environment;;;1;;;;;;;;1
Nzume Projects;1;;;;;;;;;;1
OBT - Opmeer/De Bink/Tds - Boekdruk;;;;;;1;;;;;1
Oesterbaai Zuid (vh Analyse Bureau Safety);;;1;;;;;;;;1
Office Depot (incl. Viking Direct, vh Guilbert);;;;;;;;;1;;1
OLVG Onze Lieve Vrouwe Gasthuis;;;1;;;;;;;;1
Otten Agin Gerechtsdeurwaarders;;;;;;;;;;1;1
Panteia (incl. Stratus, Consult, Eim, Research Voor Beleid, NEA);;;;;;;;;3;;3
Pels Rijcken & Droogleever Fortuijn (incl. De Landsadvocaat);1;;;;;;;;;2;2
Phil Nijhuis fotografie;;;;;;;;;1;;1
Photo Republic;1;;;;;;;;;;1
Pink Elephant (vh Nobel);;;;;;1;;;;;1
Plating Solutions BV;;;;;;;;;;1;1
Pol.nl Wegbebakening, Bewegwijzering, Politietechniek;;;;;;;;;1;;1
Porthola Adviesbureau;;;1;;;;;;;;1
Posthumus Advocatuur;1;;;;;;;;;;1
PostNL (incl. TNT Post);;;;;1;;;;;;1
Protinus It;;;;;;;;;1;;1
Public Partners;1;;;;;;;;;;1
Rabobank;;;1;;;;;;;;1
Reade Revalidatie/Reumatologie;;;1;;;;;;;;1
Regardz (incl. Iassociate);1;;;;;;;;;;1
Reisswolf;;;;;;;1;;;;1
Rensink Speciaal Transport en;;;1;;;;;;;;1
Rentokil Initial (incl. Initial Hokatex, Rentokil Hokatex, Ambius, Westplant Gree Facility);;;;2;;;;;;;2
Revant Revalidatiecentrum Breda;;;1;;;;;;;;1
Rijnstate/Velp Ziekenhuis;;;1;;;;;;;;1
Roest Singh Advocaten;1;;;;;;;;;;1
RPS Advies- en Ingenieursbureau (incl. Analyse, Bcc);;;1;;;;;;;;1
Ruwa Trading;;;;;1;;;;;;1
Ruys Efficiency in Zakenpost, Handelsvereniging;;;;;1;1;;;;;1
SA&R;;;;;;1;;;;;1
Samenwerkingsverband Plastisch Chirurgie;;;1;;;;;;;;1
Sanitas Groep (incl. Milieu Services, Inspecties & Analyses);;;1;;;;;;;;1
Schortinghuis Restaurant;;1;;;;;;;;;1
Schrijfop.nl (incl. Coolmie);;;;;;;;;1;;1
Search Ingenieursbureau, Laboratorium, Opleidingen, Consultancy, Knowledge;;;2;;;;;;;;2
Securitech;;;;;;;;;1;;1
SGS;;;1;;;;;;;;1
Siemens Nederland;;;;;;;;;1;;1
Six Advocaten;1;;;;;;;;;;1
Sleutelservice.com;;;;;;;;1;1;;1
Slimshops;1;;;;;;;;;;1
SNS Reaal Bankverzekeraar;;;1;;;;;;;;1
Sodexo;;1;2;;;;;;;;2
Source Automation;1;;;;;;;;;1;1
Sprengers Advocaten (vh Advokatenkollektief);;;;;;;;;2;;2
Srk Rechtsbijstand;1;;;;;;;;;;1
St Het Wereldorkest;1;;;;;;;;;;1
Stibbe Advocaten;1;;;;;;;;;1;1
Stichting Bureau Kwaliteit Kinderopvang;1;;;;;;;;;;1
Stichting CUMELA Advies;1;;;;;;;;;1;1
Stichting Schrijvers School Samenleving;1;;;;;;;;;;1
Stichting Vrienden van Loesje;1;;;;;;;;;;1
Strandhotel Seeduyn Vlieland;1;;;;;;;;;;1
Sumo Sushi & Grill Restaurant;1;;;;;;;;;;1
't Gildehuys;;;1;;;;;;;;1
Ter Hoeven & Partners;;;;2;;;;;;;2
Tolk3arabi.nl;;;1;;;;;;;;1
Top Movers;;;;;;;1;1;;;1
TOS Transport & Offshore Services;1;;;;;;;;;1;1
ToxGuide;;;;;;;;;1;;1
Transportbedrijf van der Struijk;;;;;;;;;;1;1
Trigion Beveiliging (incl. Csu Security, PreNed, Falck Security, Teleguard);;;4;;;;;;;;4
Trip Advocaten en Notarissen;1;;;;;;;;;;1
T-Tax Venlo;;;1;;;;;;;;1
UniCarriers (incl. Atlet);;;1;;;;;;;;1
UninU (incl. Uniglas, HerstelDirect);;;1;;;;;;;;1
Urbanet;;;;;;;;;1;;1
Usine Eindhoven;;;1;;;;;;;;1
UW Holding incl. Flora;;;;;;;;1;;;1
Vaccinatiezorg;;;;;;;;;1;;1
VakwinkelTotaal (incl. buitenlampentotaal);;;;;;;;1;;;1
Vallenduuk Advocaten;1;;;;;;;;;1;1
Van der Valk Hotels;1;;1;;;;;;;1;1
Van Duijnen Koffie;;2;;;;;;;;;2
Van Gansewinkel;;;;;;;1;;;;1
Van Ginderen;;;;;;;;;;1;1
Van Lotringen & Goedings Advocaten;1;;;;;;;;;1;1
Van Noort Bedrijven;;;;;;1;;;;;1
Van Seggelen & Partners;;;;;;;;;;1;1
VCK Groep, Travel & Logistics;;;1;;;;;;;;1
VDL Enabling Technologies Group;;;;;;;;;;1;1
VeiligheidNL (vh Stg Consument en Veiligheid);1;;;;;;;;;;1
Vektis;;;1;;;;;;;;1
Vereniging VNO-NCW;1;;;;;;;;;;1
Verhaal in Beeld;;;;;;1;;;;;1
Verhoeven en Vijn;1;;;;;;;;;;1
Verhuurbedrijf Zuid-Holland;;;1;;;;;;;;1
Verschoor Groep;;;;1;;;;;;;1
Vertaalbureau Arzu;;;1;;;;;;;;1
Vertaalbureau Turnis (A. Yuksel);;;1;;;;;;;;1
Vide Beroepsvereniging;1;;;;;;;;;;1
Video Schaay Avs Techn Handelsond;;;;;;;1;;1;;1
VieCuri Medisch Centrum voor Noord-Limburg;;;1;;;;;;;;1
Visser's Fabriek voor Speciale;;;;;;;;;;1;1
Vitasys (incl. FastWell Office Automation);;;;;;;;;2;;2
Viteau Watercoolers (incl. Viteau Direct);;1;;;;;;;;;1
Vlaminckx Advocaten;1;;;;;;;;;;1
Vleeskalverhouderij Lunteren;1;;;;;;;;;;1
Waterlogic/Watercompany International;;1;;;;;;;;;1
Weerdingerstraat Huisartsenpraktijk;;;1;;;;;;;;1
Weisfelt & Lintz St. Beheer Derdengelden;1;;;;;;;;;;1
Werkgeverskeuringen (vh PMO Keuringen);;;1;;;;;;1;;1
Westcord Hotels;1;;;;;;;;;;1
Westfries Gasthuis;;;1;;;;;;;;1
Westmedia Production;;;;;;1;;;1;;1
WL Westendorp & Looman Advocaten;1;;;;;;;;;;1
Wladimiroff Advocaten;1;;;;;;;;;1;1
Wolves Autoberging;;;1;;;;;;;;1
Wybenga Advocaten;1;;1;;;;;;;1;1
Xpert Clinic;;;1;;;;;;;;1
Yesgifts;;;;;;;;;1;;1
YOUnite Coaching Training;1;;;;;;;;;;1
Ziekenhuisgroep Twente;;;1;;;;;;;;1
Eindtotaal;5;4;6;4;1;2;1;4;6;4;7
