Leveranciers;4110 - Consumptieve diensten;4120 - Risicobeheersen;4130 - Schoonmaak;4210 - Post-, koeriers- en transportdiensten;4310 - Documentmanagement;4410 - Afvalzorgmanagement;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;4710 - Bankdiensten;4-Diensten en middelen
Adema Sleutel Specialist;;;;1;;;;;;1
Adformatie Groep Uitgeverij;;;;;;;;1;;1
Administratieve Dienstverlening Vermeulen (ADV);;;;1;;;;;;1
ADO Hospitality & Events;;;;;1;;;;;1
ADS International;;;;;;;;1;;1
AED Solutions;;2;;1;;;;1;;2
Aedcompany.nl;;1;;;;;;;;1
Aedshop.nl;;1;;;;;;;;1
Aegon;1;1;;;;;;;;2
After Print Adviesbureau Meerkerk B.V.;;;;;;;;1;;1
After Sports;1;;;;1;;;;;1
Agc Krug Portegies;;;;;;;;1;;1
Agilent Technologies;;;;;;;;2;;2
Agora;;;;;1;;;;;1
Agrifirm;;;;;;;1;1;;1
AhA drukwerk;;;;;;;;1;;1
Airpur/ Fa. Klein;;;;;;;;1;;1
AirSain;;;;;;;;1;;1
Ajax Chubb Varel;;2;;1;;;1;1;;2
AKB Longs;;;;;;;;1;;1
Akkerman/Veurman Bloemisten;;;;;1;;;;;1
Akoestisch Buro Tideman;;;;;;;1;;;1
Akribie Zeefdruk;;;;;1;;;;;1
Akse Media;;;;;;;;1;;1
Akxifo Drukkerij;;;;;1;;;1;;1
Albert Heijn (incl. albert.nl);1;;;;1;;;;;1
Albert Vermeer;;;;;1;;;;;1
Alblas Houthandel;;;;;;;1;;;1
Albron Catering;7;;;;1;;2;1;;7
Albyco;;;;;1;;;1;;1
Aldo Spadaro;;;;;1;;;;;1
Alert Management Consultants;;1;;;;;;1;;1
Alewijnse Holding;;;;;;;1;1;;1
Alex Aalders Bloemist;;;;;1;;;;;1
Alexander Restaurant;1;;;;1;;;;;1
Alga;;1;;;;;;;;1
All Class Catering;1;;;;;;;;;1
All Dent;;;;;;;1;1;;1
All Risk;;1;;;;;;;;1
Allard Sieburg;;;;;1;;;;;1
Alldoorco Service & Onderhoud;;;;;;;;1;;1
Allekabels;;;;;;;1;1;;1
Allekante;;;;;1;;;;;1
Alles voor je Truck;;;;1;;;;1;;1
Alltech / Applied Science;;;;;;;;1;;1
Almere Restaurant Boathouse;;;;;1;;;;;1
Almeva;;1;;;;;;;;1
Aloys Roemaat Transport;;;;2;;1;;;;2
Alp Lift;;;;;;;1;1;;1
Alphatron Communicatie, Observatie, Navigatie;;;;;;;1;;;1
Alpheios;;;1;1;;;1;1;;2
Alphense Sleutel & Slotenservice;;;;;;;1;1;;1
Alpina van Houwening & Ijsselstijn;;;;;1;;;;;1
Alreco Inspectie Klimmaterialen B.V.;;;;;;;1;;;1
Altec Industriele Identificatie;;;;;;;1;1;;1
Altena Cleaning, Inspection;;;;;;;;1;;1
Alter Haaglanden;;;;;;;1;;;1
Alup Kompressoren;;;;;;;1;;;1
Alvero Kantoormeubelverhuur;;;;;;;1;1;;1
Alvira Services (vh Payzone Alphyra);;;;;;;;1;;1
Amadore Hotels en Restaurants;;;;;1;;;;;1
Amaze Escape Events;;;;;1;;;;;1
Amazing Bread Company (incl. Mammomi);1;;;;1;;;;;1
Ambachtsbakker van Leeuwen;;;;;1;;;;;1
Ambassade Hotel;1;;;;;;;;;1
Ambiance Zonwering den Haag;;;;;;;1;;;1
Ambulancezorg Rotterdam-Rijnmond;;;;;;;;;1;1
Ami Projectinterieurs;;;;;;;1;;;1
Amstel Medical;;;;1;;;;;;1
Amstelhoven B.V.;;;;;1;;;;;1
Amsterdam Marketing;;;;;1;;;;;1
AmsterdamseBosBizz B.V.;1;;;;;;;;;1
Analbers Witgoed;;;;;;;;1;;1
Ando Algemene Nederlandse Drukkerij Onderneming;;;;;1;;;;;1
Andre's Bloemenhal;;;;;1;;;;;1
Anggrek Bloemsierkunst;;;;;1;;;;;1
Anholts Support;;;;;1;;;;;1
Anja's Broodjesdienst;1;;;;;;;;;1
Ankerslot;;;;1;;;;;;1
Anniematie;;;;;1;;;;;1
ANP - Algemeen Nederlands Persbureau;;;;;1;;;;;1
Antalis (vh Modo van Gelder en incl. Dekker Packaging);;;;;1;;;1;;1
Anticimex (vh ISS Hygiene Services);1;;2;;;;;;;2
ANWB;;;;;1;;;1;;1
AOMB Algemeen Octrooi- en Merkenbureau;;;;;;;1;;;1
APA Arnhems Persagentschap;;;;;1;;;;;1
Aperitivo Café-Restaurant;;;;;1;;;;;1
Apetito;1;;;;1;;;;;1
Apotheek Haagse Ziekenhuis;;;;;;;;1;;1
APP A Perfect Pool;;;;1;;;;;;1
APS Alwica Penitentiaire Shops;1;;;2;1;;;;;2
Aps Arnhem-Zuid;;;;;1;;;;;1
Aqua;;;;;;;1;1;;1
Aqua Chain Holland;1;;;;;;1;1;;2
Aqua Flor Bloembinders;;;;;2;;1;;;2
Aqua Mister (Aqua Active);1;;;;;;;;;1
Aquaco;;;;;;;;1;;1
Aquador;;;1;;;;;;;1
Ara Groep (incl. HFM\Bovaco);;;;;1;;;;;1
Arap Relatiegeschenken;;;;;1;;;;;1
Arbo Safe;;1;;;;;;;;1
ArboVitale;;1;;;;;;;;1
Archeon Novum;;;;;1;;;;;1
Archief Services;;;;;;;1;;;1
Arend van Dam Studio 21;;;;;1;;;;;1
Arenda Oomen Fotografie;;;;;1;;;;;1
Argus Etiketten;;;;;;;;1;;1
Arian Tuintechniek;;;;;;;1;;;1
Aristo Holding;1;;;;;;;;;1
Arkin;;1;;;;;;;;1
Arkiva Horeca (Het Wapen van Rijsenburg);;;;;1;;;;;1
Arminius;;;;;1;;;;;1
Arnauld Geschenken;;;;;1;;;1;;1
Arnhems Meisje Grand Café;;;;;1;;;;;1
Arob Antennebouw;;;;1;;;;1;;1
Ars Aequi;;;;;1;;;;;1
ARS Grafische Producties & Communicatie;;;;;1;;;;;1
Art Achterberg Schildersbedrijf Ede;;;;;;;;1;;1
Art At Work;;;;;;;;1;;1
Art Line;;1;;;;;1;;;1
Art Options-Il Sogno;;;;;;;;1;;1
Artcentre Delft;;;;;1;;;;;1
Artiestenpromo;;;;;1;;;;;1
Artihove;;;;;1;;;;;1
Artimat B.V.;;;;;;;;1;;1
Artiplant;;;;;1;;;;;1
Artizani;;;;;1;;;;;1
ARTTRA Cultureel Organisatiebureau;;;;;1;;;;;1
Arval Bnp Paribas Group;;;;;;;1;;;1
ASB-Security;;1;;;;;;;;1
Ascom;;2;;;;;1;2;;3
Asecos;;;;;;;;1;;1
Asia de Cuba (vh Sjans);1;;;;;;;;;1
Asian Tower;1;;;;;;;;;1
Asito;;;1;;;;;;;1
Asphalia;;;1;;;;1;;;1
Assa Abloy (incl. Crawford, Cardo, Albany, Besam, Lips);;1;;1;;;1;1;;2
Asschat Design;;;;;;;1;;;1
Assendorp Drukwerkservice;;;;;1;;;;;1
Atag Nederland;;;;;;;1;;;1
Atal Meettechniek;1;;;;;;1;1;;1
Athene Palace Grieks Restaurant;;;;;1;;;;;1
ATIR Schoonmaakstrategen;;;3;;;;;;;3
ATK Grootkeukentechniek;;;;;;;;1;;1
Atlas;;;;;1;;;;;1
Atlas Copco;;;;;;;;1;;1
Atletiekvereniging Startbaan;;;;;1;;;;;1
ATS Systems;;2;;;;;;;;2
Attacom;;;;;1;;;;;1
Attero (vh Essent Milieu, VAR);;;;;;1;;;;1
Au Coin Des Bons Enfants;;;;;1;;;;;1
Au Petit Pont;;;;;1;;;;;1
Auberge De Smockelaer;;;;;1;;;;;1
Audio Video Wolbers;;;;;;;;1;;1
Audion Elektro;;;;1;;;;1;;1
Auke Smits Publiciteit;;;;;1;;;;;1
Aurora Drukkerij;;;;;1;;;;;1
Aurora Kantoorshop;;;;;;;;1;;1
Ausma Vorkheftrucks;;;;;;;;1;;1
Autogrill;;;;;1;;;;;1
Autogros Automaterialen;;;;;;;1;;;1
Automatic Signal Rijsenhout;;2;;;;;1;1;;2
Autop;;;;;;;1;;;1
Autowinkel B.V.;;;;;;;1;;;1
AV Partners;;;;;;;;2;;2
AVC Algemeen Verpakkings Centrum;;;;1;;;;1;;1
AVC Audio Video Communicatie BV;;;;;;;;1;;1
AVDD;;2;;;;;;;;2
Avex;;;;;;;;1;;1
AVVH Adviesbureau voor Veilig Voedsel & Hygiene;1;;;;;;1;1;;1
Axians;;1;;;;;;;;1
Axp Extreme Ait Products;;;;;;;;1;;1
Ayesha de Groot;;;;;1;;;;;1
Aziatische Bloemsierkunst;;;;;1;;;;;1
B&B B.V.;;;;;;;;1;;1
B&B Haarlem;;;;;1;;;;;1
B&G Catering Service;1;;;;;;;;;1
B&G Hekwerk;;;;;;;;1;;1
B&V Brandbeveiliging, Bedrijfshulpverlening;;2;;;;;;;;2
B. Hangjas Verhuurbedrijf;;;;;1;;;;;1
B.A. Blansjaar;;;;;;;;1;1;1
B.F. van Tienen Aannemersbedrijf;;;;;;;1;;;1
B.K.Witgoed Service;1;;;;;;;1;;1
B.L. Mulder BV;;;;;;;;1;;1
B.V. Aannemersbedrijf C.J. de Boer;;;;;;;1;;;1
B+B Vakmedianet;;1;;;;;;;;1
Baars & Bloemhoff;;;;;;;;1;;1
Babbilage Restaurant-Brasserij;1;;;;1;;;;;1
Babylon;;;;;1;;;;;1
Baccara Bloemsierkunst;;;;;1;;;;;1
Backline Heidendal;;;;;1;;;;;1
Backshop;;;;;;;1;;;1
Badoux Drukkerij;;;;;1;;;;;1
Bagageonline.nl;;;;;;;;1;;1
Bagels & Beans;1;;;;1;;;;;1
Bagsandboxes;;;;;1;;;;;1
Baiyok Thais Restaurant;1;;;;;;;;;1
Bak Alkmaar;;;;;1;;;;;1
Bakker & Schnabel Training;;;;;1;;;;;1
Bakker Bart Demer B.V.;1;;;;1;;;;;1
Bakker Derks;1;;;;1;;;;;1
Bakker Floor van Lieshout;1;;;;;;;;;1
Bakker Gerard;1;;;;;;;;;1
Bakker Groenvoorzieningen en Hoveniersbedrijf;;;;1;;;;;;1
Bakker Hilvers;;;;;1;;;;;1
Bakker Professional;;;;;;;1;1;;1
Bakker Wim BV;1;;;;;;;;;1
Bakkerij A.M.J. Verbeek;1;;;;;;;;;1
Bakkerij Bart;1;;;;1;;;;;1
Bakkerij Bongaards;1;;;;1;;;;;1
Bakkerij Bos;1;;;;;;;;;1
Bakkerij Brood & Meer;1;;;;;;;;;1
Bakkerij Schutte;1;;;;;;;;;1
Bakkerij Struiksma Almere;1;;;;;;;;;1
Bakkerij Tjoelker;;;;;1;;;;;1
Bakkertje Bol;1;;;;;;;;;1
Bally's;1;;;;;;;;;1
Bam (incl. Interflow);;1;;;;;;1;;1
Bamihuisje;1;;;;;;;;;1
BANDALL Benelux B.V.;;;;;;;1;;;1
Banketbakkerij & Lunchroom van Orsouw;;;;;1;;;;;1
Banketbakkerij Arnold Cornelis;1;;;;1;;;;;1
Banketbakkerij Bergenhenegouwen P;;;;;1;;;;;1
Banketbakkerij Bliek;1;;;;1;;;;;1
Banketbakkerij Boheemen;;;;;1;;;;;1
Banketbakkerij Brokking;1;;;;;;;;;1
Banketbakkerij Deterd;1;;;;;;;;;1
Banketbakkerij Gosselaar;1;;;;;;;;;1
Banketbakkerij Jan De Groot;;;;;1;;;;;1
Banketbakkerij Lindeboom;1;;;;1;;;;;1
Banketbakkerij Maassen;;;;;1;;;;;1
Banketbakkerij Maison Kelder;1;;;;1;;;;;1
Banketbakkerij Nijstad;1;;;;1;;;;;1
Banketbakkerij Partyservice Borgman;;;;;1;;;;;1
Banketbakkerij Prins;1;;;;1;;;;;1
Banketbakkerij Salverda;1;;;;;;;;;1
Banketbakkerij Stevers;;;;;1;;;;;1
Banketbakkerij Theo Blom;;;;;1;;;;;1
Banketbakkerij Vlaar;;;;;1;;;;;1
Bao's Kitchen;1;;;;;;;;;1
Baptist Ijzerwaren&Gereedschappen;;;;;;;;1;;1
Barbarossa;;;;;1;;;;;1
Barlow Bar & Restaurant / Lafayette Cafe / Tilkema;;;;;1;;;;;1
Barockpinto Studbook;;;;;;;1;;;1
Bart Strijbosch;2;1;2;;1;;4;6;;6
Bartholomeus Gasthuis;;;;;1;;;;;1
Bas - Business Art Service;;;;;1;;2;2;;2
Bas Kijzers Fotografie;;;;;1;;;;;1
Bas Lubberhuizen Uitgeverij;;;;;1;;;;;1
Bas Timmers Uw Glasspecialist;;;;;;;1;;;1
Bas van Maanen;;;;;;;;;1;1
Basaal Restaurant;;;;;1;;;;;1
Bascom Camera's;;;;1;;;;;;1
Battery Benelux B.V.;;;;;;;1;;;1
Bavak Beveiligingsgroep;;2;;;;;2;2;;3
Bax-Shop.nl;;;;;;;;1;;1
Bays Retail;;;;;1;;;;;1
Baza Seeds B.V.;;;;;1;;;;;1
Bazuin & Partners Gerechtsdeurwaarders;;;;;;;;;1;1
BBK Beheer B.V.;;;;1;;;;;;1
BBN Belangenvereniging Bedrijfshulpverlening Nederland;;1;;;;;;;;1
BCD Travel;;;;;1;;;;1;1
BCN Business Centre Nederland;1;;;;1;;;;;1
BCO Brandpreventie B.V.;;1;;;;;;;;1
Be Now;;;;;1;;;;;1
Beachclub 57;1;;;;;;;;;1
Beachclub De Karavaan;;;;;1;;;;;1
Beatz Entertainment (Internetverhuurshop.nl);;;;;1;;;;;1
Beaumont;;;;1;;;;1;;1
BeauVin wijnhandel;;;;;1;;;;;1
Bechan Impex;;;;1;;;;;;1
BeColor;;;;;;;1;;;1
BeDi Culinair (The Hunting Lodge);;;;;1;;;;;1
Bedier Café;;;;;1;;;;;1
Beerens Intercover B.V.;1;;;;;;;;;1
Bejo druk & print;;;;;1;;;;;1
Beko Interieurs;;;;;;;1;;;1
Beleg Van Almere;1;;;;1;;;;;1
Belfleur Bloemenatelier;;;;;1;;;;;1
Belko Connection Technology;;;;;;;;1;;1
Bella Italia Pizzeria Restaurant;;;;;1;;;;;1
Bellagio Restaurant;;;;;1;;;;;1
Bellevue Groothoofd Hotel Culinair;;;;;1;;;;;1
Bemo;;;;;;1;;;;1
Bender Delft;1;;;;;;1;1;;1
Benel;;;;;;;;1;;1
Benjamin Restaurant;;;;;1;;;;;1
Benner Exploitatie (Kaap Hoorn, Via Vecchia);;;;;1;;;;;1
Ben's Beste Super;1;;;;;;;;;1
Benting Fotografie;;;;;;;;1;;1
Ber Huynen BV;;;;;;;1;1;;1
Berden Konfectie B.V.;;;;;;;;1;;1
Berends Bloemsierkunst & Groendecor;;;;;1;;;;;1
Berendsen Textiel Service;;;1;;;;;;;1
Berg Brood & Banket Service;1;;;;;;;;;1
Berger Café;1;;;;1;;;;;1
Bergerhof Taxi Tours;;;;;1;;;;;1
Bergsma Groothandel;1;;1;;;;;1;;1
Berlage Kantoorvakhandel;1;;;;;;;;;1
Bernard Sanders;;;;;;;1;1;;1
Bersih Products;;;1;;;;;;;1
Bert Smit Reclame;;;;;;;;1;;1
Besselink Electro Import;;;;;;;;1;;1
Best Western Hotels;;;;;1;;;;;1
Betaald Voetbal De Graafschap B.V.;;;;;2;;;;;2
Betty Asfalt Produkties;;;;;1;;;;;1
Beuk Touringcars;;;;;1;;;;;1
Beukeveld Echte Bakker;;;;;1;;;;;1
Beun en De Ronde;;;;;;;;1;;1
Bever Autoaanpassingen;;;;;;;1;;;1
Bewaakt & Bewoond;;;;;1;;;;;1
Bezorgbeer/ De Beer Dordrecht;1;;;;;;;;;1
Bezorgservice Janko Zeijlemaker;1;;;;;;;;;1
BHS Grootkeukentechniek B.V.;;;;;;;;1;;1
Bhv Competent;;2;;;;;;;;2
Bhv.nl Bedrijfshulpverlening;;1;;;;;;;;1
Bianca's Bloemsierkunst;;;;;1;;;;;1
Biblionet;;;;;;;;1;;1
Bibliotheek Haarlem centrum;1;;;;;;;;;1
Biemans M.;;;;1;;;;;;1
Bierling-De Schepper;;;;;;;;1;;1
Biesheuvel Groep;;;;;;;1;1;;1
BIG - Business Innovation Group Unlimited;;;;;1;;;;;1
Bij 'T Boerderijke;;;;;1;;;;;1
Bijboom - Huureenkastje.nl;;;;;;;;1;;1
Bijzonder Intern Transport Fa;;;;;;;;1;;1
Bijzondere Locaties Groningen;;;;;1;;;;;1
Bilderberg Hotels;;;;;3;;;;;3
Biljartsport Rotterdam;;;;;;;1;;;1
BIM Media;;;1;;;;1;;;1
Binder Art Services;;;;;;;;1;;1
Biolab;;;;;;;1;;;1
Bio-Rad Laboratories;;;;;;;;1;;1
Birza Projectinrichting;;;;;;;2;;;2
BIS Bedrijfs Informatie Systemen (incl. Correspondentie);1;;;;;;;1;;1
Bis Restaurant;;;;;;;;1;;1
Bistro De Eeterij;;;;;1;;;;;1
Bitter en Zoet Hotel Restaurant;;;;;1;;;;;1
Bizzprint;;;;;1;;;;;1
BJU Boom Juridische Uitgevers (incl. Sun);;;;1;3;;;1;;3
Blc Winkelinventaris;;;;;;;1;1;;1
Blijdorp & van der Kroon Advocaten & Mediation;;;;;1;;;;;1
Blitta;;;;;;;1;;;1
Bloembinderij Calendula;;;;;1;;;;;1
Bloembinderij Cees van Eijck;;;;;1;;;;;1
Bloembinderij De Mare;;;;;1;;;;;1
Bloembinderij Geschikt;;;;;1;;;;;1
Bloembinderij Smit;;;;;1;;;;;1
Bloemboetiek Fuchsia;;;;;1;;;;;1
Bloemdesign Rotterdam;;;;;1;;;;;1
Bloemen Aalsmeer;;;;;1;;;;;1
Bloemenhuis De Narcis;;;;;2;;;;;2
Bloemenhuis Online;;;;;1;;;;;1
Bloemenland (Van De Garde Bloemisten);;;;;1;;;;;1
Bloemenmagazijn Aan De Zeven Alleetjes;;;;;1;;;;;1
Bloemenmagazijn De Iris;;;;;1;;;;;1
Bloemenmagazijn Johan;;;;;1;;;;;1
Bloemisterij Bloesem;;;;;1;;;;;1
Bloemsierkunst Artisjok;;;;;1;;;;;1
Bloemsierkunst Flora;;;;;1;;;;;1
Blokker;1;;;;;;1;;;1
Blomberg Congres Instituut;;;;;1;;;;;1
Blomsma Groep (incl. Print & Sign, Sign & Safety, Colorprinting, Repro);;;;;;;;1;;1
Blomynien;;;;;1;;;;;1
Blossom Bloemisterij;;;;;1;;;;;1
Blue Lagoon Grill Restaurant;;;;;1;;;;;1
Blue Sakura Japanese Sushi en Grill;;;;;1;;;;;1
Blue Wave Trade;;1;1;;;;;;;1
BM Business Marketing Services Opleidingen;;1;;;;;;;;1
BMA Ergonomics;;;;;;;1;1;;1
Bo & Ro Restaurant;;;;;1;;;;;1
Bo Fleur;;;;;1;;;;;1
BO&T Blinq B.V.;;;;;1;;;;;1
Boca Kaarsen;;;;1;;;;;;1
Bocker Nederland B.V.;;1;;;;;;;;1
Bodycom Lichaamscommunicatie (Lichaamstaal.nl);;;;;1;;;;;1
Boek En Buro V.D. Brink;;;;1;;;;;;1
Boek- en Kantoorvakhandel Schipperheijn;;;;;1;;;;;1
Boekbinderij van Dijk;;;;;1;;;1;;1
Boekencentrum;;;;1;;;;;;1
Boekhandel De Koperwiek;;;;1;1;;;1;;1
Boels Geo & Safety;;;;;;;;1;;1
Boels Verhuur (incl. HuurMax);;;1;;1;;1;1;;1
Boensma Brandbeveiliging;;1;;;;;;;;1
Boer Ad van den / Scharen-En Messen;;;;;;;;1;;1
Boer Goossens Hotel-Café-Restaurant;;;;;2;;;;;2
Boerhof Projectinrichting Heeten;;;;1;;;2;1;;2
Boerma beheer;;;;;1;;;;;1
Bohei Agenturen;;;;;;;1;;;1
Boileau Opleidingen B.V.;;1;;;;;;;;1
Bokstijn Feestartikelen;;1;;;;;;;;1
Bol Communications;;1;;;;;;;;1
Bol.Com;;1;;;1;;;1;;1
Bolidt Kunststoftoepassing;;;;;;;2;;;2
Bombance;1;;;;;;;;;1
Bomefa;;;;;;;1;1;;1
Bo-mij Beheer (incl. Bo-rent);;;;;;;1;1;;1
Bommel Cafetaria, Eetcafé;;;;;1;;;;;1
Bonbon Atelier A3;1;;;;;;;;;1
Bond voor Materialenkennis;;;;;;;1;;;1
Bonhof Bloemsierkunst;;;;;1;;;;;1
Boogaard;;;;;;;1;1;;1
Boogaard Assurantien;;;;;;;1;;;1
Booij Kaasmakers;;;;;1;;;;;1
Boom;;;;;2;;;;;2
Boom en bloem;;;;;1;;;;;1
Boom voor Kerst;;;;;1;;;;;1
Boomerang Beach (vh Billabong Beach);;;;;1;;;;;1
Boon Edam Nederland;;;;;;;;1;;1
Borduurstudio het Gooi;;;;;1;;;;;1
Borghouts Design;;;;;2;;;;;2
Borsboom en Hamm Advocaten;;;;;1;;;;;1
Bos Horeca;;;;;1;;;;;1
Bos Incasso;;;;;;;;;1;1
Bos Tuingereedschappen;;;1;1;;;1;1;;1
Bosan;;;;;;;;1;;1
Boscafe 'T Hijgend Hert;;;;;1;;;;;1
Bosch (Robert);;2;;;;;;2;;2
Boschhuis Hotel-Café-Restaurant;1;;;;;;;;;1
Boterwaag;1;;;;1;;;;;1
Boulevard Sandwich Service;1;;;;;;;;;1
Bouman & Van Beerendonk;;;;;;;;1;;1
Bounin Special Services;;1;;;;;;;;1
Bouquetterie Fronita;;;;;1;;;;;1
Bouter;;;;;;;;2;;2
Bouwmaterialen Incasso B.V.;;;;;;;;;1;1
Bowling- en Partycentrum Maaspoort;1;;;;;;;;;1
BPI Services;;1;;;;;;2;;2
Bpo-Axsys B.V.;;;;;;;;1;;1
BPRvisie;;;;;;;;1;;1
Brabant Expres;;;;;1;;;;;1
Brabant Sport- En Spelverhuur;;;;1;;;;;;1
Brabanthallen Exploitatie Maatschappij;;;;;2;;;;;2
Brabo Verpakking;;;;;;;;1;;1
Brady Groupe (incl. Seton, Transposafe);1;1;;2;;;1;3;1;4
Bramasole;;;;;1;;1;;;1
Brandpreventie Groep;;1;;;;;;;;1
Brand's Taste & Gifts;;;;;1;;;;;1
Brandwerende Deuren en Constructiefabriek Enschede V.o.f.;;;;;;;;1;;1
Brasserie De Boerderij;;;;;1;;;;;1
Brasserie Fleurie Grand Café;1;;;;;;;;;1
Brasserie Harkema (Haxpema);;;;;1;;;;;1
Brasserie Lunchroom La Cour;1;;;;2;;;;;2
Brasserie Meprise;;;;;1;;;;;1
Brasserie Ome Bernard;1;;;;;;;;;1
Brasserie Panneke;;;;;1;;;;;1
Brauwers BV;;;;;1;;;;;1
Bravo-Preventie;;1;;;;;;;;1
Breda Lighting;;;;;;;1;;;1
Breeschoten Interieurverzorging;;;;;;;1;;;1
Brehm;;;;;;;;1;;1
Breijer Bouw en Installatie, Contractonderhoud, Elektrotecniek, Technisch Beheer;;;;;;;1;;;1
Brem Catering;1;;;;;;;;;1
Bremer Kantoorcentrum;;;;;1;;;1;;1
Breumelhof Bouwbedrijf;;;;;;;1;;;1
Breur Beveiligingen, Ijzerhandel;;1;1;;;;2;4;;4
Breutjes & Zo.;1;;;;;;;;;1
Bright Events (incl. Uitjes & Eten);;;;;1;;;;;1
Brigitte van Etten;;;;;;;;1;;1
Brinkhuis, H.;;;;;;;;1;;1
Brink's Nederland;;1;;;;;1;;2;2
Broekarts Graveerwerken;;;;;1;;;;;1
Broekies Kidsfun;;;;1;1;;;;;1
Broers Stadscafé-Restaurant;;;;;1;;;;;1
Broers Verhuur;;;;;1;;;;;1
Broken Hill, Toneel en Techniek;;;;;1;;;;;1
Brondool;;1;;1;;;2;1;;2
Brood- en Banketbakkerij Jantien Timmer B.V.;;;;;1;;;;;1
Broodje Apart;;;;;1;;;;;1
Broodje Beekman;2;;;;1;;;;;2
Broodje Bram;1;;;;;;;;;1
Broodje Du Chef;;;;;1;;;;;1
Broodje Groffen;1;;;;;;;;;1
Broodje van Martin;1;;;;;;;;;1
Broodje2Go;1;;;;;;;;;1
Broodjesexpress;1;;;;;;;;;1
Broodjeszaak Pauze;1;;;;;;;;;1
Broodjeszaak 'T Moddervrouwtje;1;;;;;;;;;1
Brug in Bedrijf;;;;;1;;;;;1
Bruker (incl. Chemical Analysis, Axs, Optics);;;;;;;;1;;1
Brush Reclame;;;;;;;;1;;1
Bruynzeel Storage Systems;;;;;;;2;1;;2
BS Workspace Solutions;;;;;;;;1;;1
BSB Reclame;;;;1;;;;;;1
BSH Huishoudapparaten (incl. Willem van Rijn);;;;;;;1;;;1
BSSt Baumann & Steffen Sicherheitst;;1;;;;;;;;1
BTB Fire & Medical Support;;1;;;;;;;;1
BTB Organisatie;;1;;;;;1;;;1
BTG (incl. Telegrootgebruik (TGG), Telegrootgebruik Inkoop, Belstore);;;;1;;;;1;;1
BTV;;;;;;;;1;;1
Buckaroo Online Payment Services;;;;;2;;1;;;2
Budget Broodjes;1;;;;;;;;;1
Budgetland;;;;;1;;;;;1
Buffet Service;1;;;;;;;;;1
