;8110 - Vakliteratuur, abonnementen en overige informatie;8410 - Evenementen en congresorganisatie;8510 - Diversen communicatie;Eindtotaal
gefeliciTAART B.V.;;;1;1
Genootschap voor Informatie Architecten (Gia);1;;;1
Geodan B.V.;;;2;2
Geo-Informatie Nederland;1;;;1
Gianluca Entertainment;;1;;1
Golfbaan De Kogerdijk B.V.;;1;;1
Grand Café Arnhems Meisje;;;1;1
Grand Café Metropole;;;1;1
Grandcafé De Vriend;;;1;1
Grand-café Neubourg;;;1;1
Grazie Grazie B.V.;;;1;1
Greengiving B.V.;;;1;1
Griftpark 1;;;1;1
Grim Vers Vlees Service V.O.F.;;;1;1
Grizzly B.V.;;1;;1
Growth Fixer;;1;;1
H.B. Banket B.V.;;;1;1
Haagse Beek organisatieadvies B.V.;1;;;1
Hafo B.V.;;;1;1
Hallmark Cards Nederland;;;1;1
Hampshire Hotel - 's Gravenhof;;;1;1
Hans Roggen Fotografie;;;1;1
HaskoningDHV Nederland B.V.;;1;;1
HEMA B.V.;;;1;1
Henx Fotografie;;;1;1
Herkulosche Esch;;1;;1
Het Bergpaviljoen, proeftuin van A'foort B.V.;;;1;1
Het Muntgebouw-Utrecht B.V.;;1;;1
Het Nederlandse Rode Kruis Afdeling Zwolle;;1;;1
Het Wapen van Bronkhorst B.V.;;;1;1
High Security International B.V.;;;1;1
Hills & Mills;;;1;1
Hoegen Fietsverhuur;;1;;1
Holding Beheermaatschappij Ropeni B.V.;;;1;1
Hollandse Hoogte B.V.;;;2;2
Horsens Kommune;1;;;1
Hot.expl.mij. Jaarbeurspln. Utrecht B.V.;;1;;1
Hotel De Koophandel B.V.;;;1;1
Hotel De Vigilante B.V.;;;1;1
Hotel Exploitatie Kerckebosch B.V.;;;1;1
Hotel New York B.V.;;;1;1
Hotel Restaurant Princenhof;;1;;1
Hotel Sneek;;;1;1
Hotel/Restaurant Anna Casparii;;;1;1
Hotel-Café-Restaurant Haarhuis;;1;;1
Hotelexplotitatiemaatschappij Leijenberghlaan;;;1;1
Huisaanhuis.nu B.V.;;;1;1
Huszár;;;1;1
HVMP Marketing B.V.;;1;;1
Hypnagogic;;;1;1
IN2;;;1;1
in60seconds B.V.;;;2;2
Incassobureau Plaggemars;1;;1;1
Incatro Room Acoustics;;;2;2
InDigo Huiskamerrestaurant;;;1;1
Infoprojects;;;1;1
Inn Events Company B.V.;;1;;1
Inntel Hotels Rotterdam Centre;;;1;1
Instituut van Internal Auditors Nederland;1;;;1
Instock Utrecht;;;1;1
INTERNATIONAL SEISMOLOGICAL CENTRE;1;;;1
Interprint Zeefdrukkers;;;1;1
Intersafe Netherlands B.V.;;;1;1
Intressio B.V.;;;1;1
IOP PUBLISHING LTD;1;;;1
IPMA - NL;1;;;1
ISS Integrated Facility Services B.V.;;;1;1
IVA Groep B.V.;;;1;1
J&V Horeca Exploitatie B.V.;;;1;1
J.J. & Partner B.V.;;;1;1
J.u.i.c.e. Promotions B.V.;;;1;1
Jacques Handelé Antwoorden en Vragen;;;1;1
Ja-maar® B.V.;;1;;1
Jan de Fietsenman;;;1;1
Janskerkhof B.V.;;;1;1
Japas Café;;;1;1
Jenneke Drupsteen Grafische Vormgeving;;;1;1
Jeu de Boulesbar B.V.;;1;;1
John Wiley & Sons Inc.;1;;;1
John Wiley & Sons Ltd;1;;;1
Join The Pipe B.V.;;;1;1
Jumbo Supermarkt;;;1;1
Jumelet Beheer B.V.;;;1;1
Kadopapier.net B.V.;;;1;1
Kamera Express;;;1;1
Kamera Express Utrecht B.V.;;;1;1
Kanaal30 Beheer;;;1;1
Kantar Netherlands B.V.;;;1;1
Kersbergen Beheer B.V.;;;1;1
Kinly Rental Services;;;1;1
Kitchen & Bar Van Rijn B.V.;;;1;1
Koeman's Belegde Broodjes B.V.;;;1;1
Koffie en Eethuis de Gelderse Poort;;;1;1
Kok-Timmer thodn Plantage Boekhand. de Brunte;;;1;1
Koninginneweg 227 B.V.;;;1;1
Koninklijk Instituut van Ingenieurs;;1;1;1
Koninklijke Holl. Maatsch. der Wetenschappen;1;;;1
Koninklijke Rijnja;;;1;1
Koninklijke Scheepsagentuur Dirkzwager B.V.;2;;;2
Koninklijke Vereniging van Nederlandse Reders;2;;;2
Koot, Groenten, Fruit, Primeurs, Delicatessen;;;1;1
KPN B.V.;1;;;1
KPN Consulting B.V.;1;;;1
Kraantje-Lek;;;1;1
Kreisler Import B.V.;1;;;1
Kunstlinie Almere Flevoland (KAF);;1;;1
Lekkers a/d Lek;;;1;1
LEMENTO BVBA;1;;;1
Lett's go soundservice;;1;;1
LEV Insights;;1;;1
Licht & Levendig;;;1;1
Livewords;;;2;2
Logeion;1;;1;1
Lotje;;;1;1
Lotte Batelaan Art Critic and Editor;;;1;1
Louis Meulstee Photography;;;1;1
Lunchroom de Huyskamer;;;1;1
M7 Group S.A.;2;;;2
Maatschap voor Communicatie;;;1;1
Macaro;1;;;1
Madurodam B.V.;;2;;2
Mainpress B.V.;6;;;6
Mams Coffee B.V.;;;1;1
Mare Holland B.V.;;;2;2
Márion Reizen;;;1;1
Mark Neelemans Fotografie;;;1;1
Maxilia B.V.;;;1;1
MCW Studio's B.V.;;;1;1
Mediahuis Limburg B.V.;;;1;1
MediaMonks B.V.;;;1;1
Medizon B.V.;1;;;1
Meet n Eat in de polder;;;1;1
Meet the Brain;;;1;1
Meetingselect B.V.;;3;2;3
Mijn Torpedoloods;;;1;1
Millers;;;1;1
Mindcampus B.V.;1;;;1
Mirion Technologies (Dosimetry Services) B.V.;1;;;1
Misset Uitgeverij B.V.;1;;;1
Moduli Print B.V.;;;1;1
Monkey Donky Vastgoed B.V.;;1;;1
Moon Horeca Exploitatie B.V.;;;1;1
Motivaction International B.V.;;;3;3
Mousset Chocolaterie;;;1;1
Mr & Mrs Oasis;;;1;1
Mts. C.J. Pruissen & E.A. Pruissen-de Later;;;1;1
Multigift Relatiegeschenken B.V.;;;1;1
Multiminded B.V.;;;1;1
My Productions B.V.;;;1;1
N.B.C. Exploitatie B.V.;;1;;1
N.I.B. Nationaal Incasso Bureau B.V.;1;;;1
N.V. Golf Exploitatie Mij. Schipluiden (GEMS);;;1;1
N.V. Kabeltelevisie Noord-Oost Friesland;1;;;1
Nannings & Partners V.O.F. Dordrecht;;;1;1
Nationale Beeldbank B.V.;;;1;1
Nautische Handelsmaatschappij L.J. Harri B.V.;;;1;1
Ned. Gen.schap van Funct. Gegevensbescherming;1;;;1
Ned. Ver. ter Bevordering van de Meteorologie;1;;;1
Ned.Org.voor toegepast-nat.wetensch. o.z. TNO;;;1;1
Nederlands Architectuur Forum;1;;;1
Nederlandsche Uitgeversmaatschappij B.V.;1;;;1
Nelen & Schuurmans B.V.;;;2;2
Nevi B.V.;1;;;1
New Babylon Meeting Center B.V.;;;1;1
New Haro NV;;;1;1
Next Step Management B.V.;;;1;1
Nieuwe Tijd;;;1;1
Nieuwegeinse Catering Company;;;1;1
Norbert Cremers - Coaching, Training & Advies;;1;;1
NOVA;;;1;1
NRC Media;1;;1;1
Nvdo, Ned. Verenig. voor Doelmatig Onderhoud;1;;;1
OBT B.V.;;;1;1
Office Depot International;1;;;1
Olpha International B.V.;;;1;1
Omnicom Public Relations Group B.V.;;;1;1
On Line;;;1;1
Ond.ver. Reg. A'dam, Ver. scheepv., ih/z d.v.;;;1;1
One Shoe B.V.;;;1;1
Ontwerpwerk B.V.;;;2;2
Optima Forma B.V.;;;1;1
Orange Pepper V.O.F.;;;1;1
Orde van organisatiekundigen en -adviseurs;1;;;1
Origineel Kadootje;;;1;1
ORR 785 B.V.;;1;;1
Ospitalitá B.V.;;;1;1
OSR Juridische Opleidingen B.V.;1;;;1
Oudaen B.V.;;;1;1
Ovinge Fotografie;;;1;1
P.B.N. Holding B.V.;;1;;1
Paagman B.V.;1;;;1
Park Side Brasserie;;;1;1
Parnassia aan Zee;;;1;1
Penta Scope B.V.;;2;;2
People & Print Group;;;1;1
Photographe sans frontières;;;1;1
Picanova GmbH;;1;;1
Picasso Restaurant;;;1;1
Pilkington's;;;1;1
Pino Evenementen & Congressen B.V.;;4;1;4
Pinta Reklame & Vormgeving;;;1;1
Pion Evenementen B.V.;;;1;1
PKT Vastgoed;;;1;1
Plantenverhuur Rozet;;;1;1
PLUS Elbert van den Doel;;;1;1
Poldergoed;;;1;1
PolTekst;;;1;1
Pondres Direct Mail B.V.;;;2;2
popup escape;;2;;2
PORT+ NV;1;;;1
Pouw Vervoer B.V.;;1;;1
Premiumburo Nieuwkoop B.V.;;;1;1
Presence Translate & Interact B.V.;;;1;1
Print Point Totaalreclame B.V.;;;1;1
Printerette Digishop B.V.;1;;1;1
Priority;1;;;1
Prodentfabriek;;;2;2
Promare;;;1;1
ProMedia MBM B.V.;1;;;1
Promio;;;1;1
promo2000;;;1;1
Promoboer B.V.;;;1;1
PromoCompany B.V.;;;1;1
Punt 8 Communicatie;;;1;1
Puur Amsterdam;;1;;1
PvIB: Platform voor informatiebeveiliging;1;;;1
Quality Bookings B.V.;;1;;1
QUO Netherlands B.V.;;;1;1
QuoVadis Trustlink B.V.;1;;;1
RAI Amsterdam B.V.;1;;;1
Railcenter;;;1;1
RauwCC B.V.;;;1;1
RDMG Uitgeverij B.V.;1;;;1
Rechtnet B.V.;1;;;1
Redrum Bureau B.V.;;;2;2
RELX Nederland B.V.;1;;;1
Remedial Artist;;;1;1
Restaurant Brasserie 'De Waterman';;;1;1
Restaurant De Basiliek B.V.;;;1;1
Restaurant De Hucht B.V.;;;1;1
Restaurant De Markies;;;1;1
Restaurant De Zakkendrager B.V.;;;1;1
Restaurant Huis de Wiers;;;1;1
Restaurant Kop Van de Haven B.V.;;;1;1
Restaurant Kunstijsbaan Kennemerland;;;1;1
Restaurant ML B.V.;;;1;1
Restaurant Poppe Zwolle;;;1;1
Restaurant Saffraan;;;1;1
Restaurant Samen B.V.;;;1;1
Restaurant Trix, de Menthenberg;;;1;1
Restaurant Wilhelminapark B.V.;;;1;1
Roel Dijkstra Persfotografie;;;1;1
Rondvaartbedrijf Zilvermeeuw B.V.;;;1;1
Routine;;;1;1
RS Components B.V.;1;;;1
Ruparo B.V.;;;1;1
Ruud Koops;;;1;1
S.B.I. Zonheuvel B.V.;;1;;1
S4 Capital Acquisitions 3 B.V.;;;2;2
Sabel Communicatie B.V.;;;3;3
Sauter's Wijnkelders Maastricht;;;1;1
sbv anderetaal;;;1;1
Schiphol Nederland B.V.;1;;;1
Schwandt Information Design;;;2;2
Sdu Uitgevers B.V.;1;;;1
Sea Side Café De Punt B.V.;;;1;1
Seismological Society of America;1;;;1
SHIP AHOY;;1;1;1
Sign on the Move reclameservice;;;1;1
Simian B.V.;;;1;1
Simon Peter Been;1;;;1
Simone Langeweg Tekst- en Communicatieadvies;;;1;1
Skrid Media B.V.;;;1;1
Slagerij Rob Keller;;;1;1
Slagerij Traiteur Jacobs B.V.;;1;1;1
Smoesjes Utrecht;;1;;1
Solexverhuur Dinkelland;;1;;1
Space Expo;;;1;1
Speakers Academy®;;1;;1
Sport Café Aktief Giesbeek;;;1;1
Sportfondsen Welzijn Delft B.V.;;;1;1
Springer Nature Limited;1;;;1
Squash Zwolle B.V.;;1;;1
Starlicious;;1;;1
Starsound Productions Exploitatie B.V.;;;1;1
STC-KNRM B.V.;;;1;1
Steakhouse Amadeus Ede B.V.;;;1;1
Stedemaeght Sailing Charters B.V.;;;1;1
Steenoven Catering B.V.;;;1;1
Stg. Crow, kennisplatf. infrastruct., verkeer;1;;;1
Stg. het Nederlands Kustverlichtingsmuseum;;;1;1
Stg. Nederlands Instituut voor Beeld & Geluid;;;1;1
Sticht. WILLEM TWEE muziek & beeldende kunst;;1;;1
Stichting Achterland;;;1;1
Stichting 'Amelander Musea';;;1;1
Stichting ANP Foundation;;;1;1
Stichting Connekt;3;;;3
Stichting Constructeursregister;1;;;1
Stichting De Bastei;;1;;1
Stichting Historie der Techniek;;;1;1
Stichting Hogeschool van Arnhem en Nijmegen;;;1;1
Stichting Instituut voor Bouwrecht;1;;;1
Stichting Internat. Perscentrum 'Nieuwspoort';1;;1;1
Stichting International Water Conferences;1;;;1
Stichting ir.D.F. Woudagemaal;1;;;1
Stichting Matrijs;1;;;1
Stichting NM Magazine;1;;;1
Stichting Omrop Fryslan;;;1;1
Stichting Portaal Van Vlaanderen;;1;;1
Stichting Roparun;;;1;1
Stichting 'Vastgoedcert';1;;;1
Stichting Wereldhavenfestival Rotterdam;;1;2;2
Stone & Sand;;;2;2
Strandpaviljoen At Sea B.V.;;1;;1
Strypes Nederland B.V.;;;1;1
Studio Fint;;;1;1
Stuk Producties;;;1;1
Sustainable Change B.V.;;;1;1
t Wapen van Stellendam;;;1;1
Taarten.nl B.V.;;;1;1
Taartenland.nl;;;1;1
Tagrijn Salvator;;;1;1
Taphuys Arnhem B.V.;;;1;1
Tappan B.V.;;;4;4
Tapperij de Zwijger;;;1;1
Tasty Wok B.V.;;;1;1
Taxicentrale Breda;;;1;1
Te Werve B.V.;;;1;1
Tekstkantoor Van As;;;1;1
Tentive B.V.;;;2;2
Thais Restaurant Rung;;;1;1
The Great Escape Center B.V.;;1;;1
The Rat Pack B.V.;;;1;1
THE UNIVERSITY OF BRITISH COLUMBIA;;;1;1
Things To Make And Do B.V.;;;1;1
Tilkema Horeca B.V.;;1;1;1
Timon Enterprise B.V.;;1;;1
Tineke Dijkstra Fotografie;;;1;1
TMG Landelijke Media B.V.;1;;;1
Topgeschenken Nederland B.V.;;;1;1
Topgiving B.V.;;;1;1
Touringcarbedrijf Betuwe Express B.V.;;1;;1
Transposafe Systems;;;1;1
TRIBES Holding B.V.;;;1;1
Triple Bridge B.V.;;;1;1
Troje Training en Theater;;1;;1
Tuinadvies BVBA;;;1;1
UHU Productions B.V.;;;1;1
Uitgeverij De Stulp B.V.;;;1;1
Uitgeverij Noordhoek B.V.;1;;;1
Uitgeverij Studiecentrum Kerckebosch;1;;;1
Uptown food & drinks;;;1;1
V.O.F. Alida - Het Hendrikje;;1;;1
V.O.F. Caterings-Service Van Grunsven;;;1;1
V.O.F. de Jager-Schroor;;;1;1
V.O.F. Frank;;;1;1
V.O.F. Hollands Venetie;;;1;1
V.O.F. Korf Catering;;;1;1
Vakmedianet Logistiek & Mobiliteit B.V.;1;;;1
Vakmedianet Management B.V.;1;;;1
Valerie Kuypers Fotografie;;;1;1
Van den Brink's High Tech Parts B.V.;;;1;1
Van der Valk Apeldoorn (Oost);;;1;1
Van der Valk Exclusief Hotel Haarlem;;;1;1
Van der Valk Utrecht;;1;1;1
Van Oss & Partners B.V.;;;4;4
Van Slobbe B.V.;;;1;1
Van Stockum, Belinfante & Coebergh B.V.;1;;;1
vanbinnenuit B.V.;;;1;1
Var, Vereniging voor Bestuursrecht;1;;;1
VBW VEREIN FUR EUROPAISCHE;1;;;1
Vdb-Advies;;1;;1
VdlC publishers/consultants B.V.;1;;;1
Veerdonk Visuals;;;1;1
Vélosport Middelburg;;;1;1
Venue Maassilo B.V.;;2;;2
Ver. v. Risico-Anal. en Bedrijfszekerheid;1;;;1
Ver. van Ambt. Secr. Medezeggensch.org. Ned.;1;;;1
Verdonck, Klooster & Associates B.V.;;;2;2
Vereniging Infra Ontwerp (VIO);1;;;1
Vereniging van Milieuprofessionals;1;;;1
Vereniging voor Bouwrecht;1;;;1
Vereniging voor Milieurecht;1;;;1
Very Italian Pizza II B.V.;;;1;1
Verzekerings Platform Overheden (V.P.O.);1;;;1
Vessel 11;;;1;1
VHL Catering B.V.;;;1;1
Villa Augustus B.V.;;;1;1
Villa Jongerius;;1;;1
Virtumedia B.V.;1;;;1
Vital Change B.V.;;;1;1
Vodafone;1;;;1
Voerman International B.V.;1;;;1
Volendam Events;;;1;1
Vorm Vijf Adviesteam;;;1;1
Vorm Vijf Ontwerpteam B.V.;;;2;2
Vroeg B.V.;;;1;1
VVV Business B.V.;;;1;1
W. Meijer Horeca B.V.;;;1;1
Waddentochten.nl;;;1;1
Wally's B.V.;;;1;1
Waterproof Events B.V.;;;1;1
Wereld Restaurant Mierlo;;;1;1
WestCord Delft B.V.;;2;;2
Who's Next;1;;;1
Wijnhandel Peeters;;;1;1
Wijnkoperij Den Haag B.V.;;;1;1
Wijnkoperij H.F.A. Okhuysen B.V.;;;1;1
Wijnne & Barends Logistics B.V.;;;1;1
Willems Beach B.V.;;;1;1
Wirtz, Film & Experience Agency B.V.;;;1;1
Wolters Kluwer Nederland B.V.;1;;;1
Woody's Support;;;1;1
Xerox (Nederland) B.V.;;;2;2
Xi-Digital;;;1;1
Zalmap B.V.;;;1;1
Zandbeek Communication Group B.V.;;;2;2
Zandbeek Eindhoven;;;6;6
Zeezeilen;1;;;1
Ziggo B.V.;1;;;1
Ziggo Services B.V.;1;;;1
Zuiver Horeca B.V.;;;1;1
ZVU.NU B.V.;1;;;1
Zwolse Balletjeshuis Fa. J. van der Kolk;;1;;1
Eindtotaal;7;6;7;7
