Leveranciers;4110 - Consumptieve diensten;4120 - Risicobeheersen;4130 - Schoonmaak;4210 - Post-, koeriers- en transportdiensten;4310 - Documentmanagement;4410 - Afvalzorgmanagement;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;4-Diensten en middelen
Auberge De Smockelaer;1;;;;;;;;1
Augusta Hotel & Restaurant;1;;;;;;;;1
Automaten Centrale NO;;;;;;;;1;1
AutomotiveNL;1;;;;;;;;1
Av Sales;;;;;;;;1;1
AVANADE NETHERLANDS;;;;;1;;;;1
Aveq Show Theatre & Congress Facilities;;;;;;;;1;1
Avex;1;;;;;;2;1;2
Avimotion;;;;;;;;1;1
AViste;;;;;;;;1;1
B.V. KEUKENSTUDIO G.S. HOLDING;;;;;;;2;;2
B3Partners;;;;;;;;2;2
Baauw & Partners B.V.;;1;;;;;;;1
Backshop;;;;;;;;1;1
Backstage AV;;;;;;;;1;1
BAETSEN CONTAINERS;;;;;;1;;;1
Bakker Floor van Lieshout;1;;;;;;;;1
Bakker Hilvers;;;;;1;;;;1
BAKKERIJ RAAT B.V.;1;;;;;;;;1
Bakkerij Schuurmans;1;;;;1;;;;1
Bakkerij Staghouwer B.V.;1;;;;;;;;1
Bam (incl. Interflow);;;;;3;;;;3
BANKETBAKKERIJ JANSSEN ELST;1;;;;;;;;1
Banketbakkerij Lindeboom;;;;;1;;;;1
Banketbakkerij Prins;1;;;;;;;;1
Banketbakkery Plasman;1;;;;;;;;1
Barlow Bar & Restaurant / Lafayette Cafe / Tilkema;1;;;;;;;;1
Bas - Business Art Service;;;;;;;3;;3
Bastion Hotels;3;;;;1;;;;3
Batavia Restaurant;1;;;;;;;;1
BCN Business Centre Nederland;1;;;;;;;;1
Bcs Recaro Business Class Seating;;;;;;;1;;1
BDS Borsch Duikservice;;;;1;;;;;1
Beatrix Theater;2;;;;;;;;2
BEEKSMA BANKET;1;;;;;;;;1
Bek & Verburg;;;;;;2;;;2
Belle van Zuylen Restaurant;1;;;;;;;;1
Bellevue Groothoofd Hotel Culinair;1;;;;;;;;1
Belvedere Hotel Restaurant;1;;;;;;;;1
Benfried;;1;;;;;;;1
Benscore;;;;;;;;1;1
BERG VAN DEN CAFETARIA & CATERING;1;;;;;;;;1
Berlage Kantoorvakhandel;1;;;;;;;;1
Besseling Vervoert;;;;;;;;1;1
Bestdeal Factors (incl. Solid Factors);1;;;;;;2;1;2
Beto;;;;;;;;1;1
BEUGT HOUTZAGERIJ EN PARKETINDUSTRI;;;1;;;;;;1
Beurs van Berlage;2;;;;;;;;2
Biga Groep (Sociale Werkgroep);1;;5;;;;;;5
Bijnsdorp Communicatie Projecten;;;;;1;;;;1
Bilderberg Hotels;2;;;;;;;;2
Billink;;;;;;;;1;1
Bistro De Lachende Gans;1;;;;;;;;1
Boeg;;;;;;;;1;1
Boekhandel van der Velde;;;;;;;;1;1
Boerderij Mereveld Partycentrum-Restaurant;1;;;;;;;;1
Bol.Com;;;;;;;;1;1
Boma Harderclean;;;1;;;;;;1
Bommel Cafetaria, Eetcafé;1;;;;;;;;1
BOOGAARD VERHUUR;;;;;;;1;;1
Boom Kantoorprojecten;;;;;;;1;;1
Boomerang Beach (vh Billabong Beach);1;;;;;;;;1
Boon;1;;;;;;;;1
Boulogne Jonkers, Vormgeving;;;;;1;;;;1
Bouter;;;;;;;;1;1
Brabant Hotel;1;;;;;;;;1
Brady Groupe (incl. Seton, Transposafe);;;;;;;;1;1
BRANGER VERKOOP;;;;;;;;1;1
Brasserie Bubbles & Blessings;1;;;;;;;;1
Braza;1;;;;;;;;1
Breijer Bouw en Installatie, Contractonderhoud, Elektrotecniek, Technisch Beheer;;;;;;;2;;2
Bremer-Wegh;1;;;;;;;;1
Breur Beveiligingen, Ijzerhandel;;1;;;;;;;1
Britstra Foto Video;;;;;;;;1;1
Broodje Horeca;1;;;;;;;;1
Bruynzeel Vloeren;;;1;;;;;;1
BST Applications;;;;;;;;2;2
BTG (incl. Telegrootgebruik (TGG), Telegrootgebruik Inkoop, Belstore);;;;;;;2;2;3
BTN;;;;;;;;1;1
Buckaroo Online Payment Services;;;;;1;;;1;1
Bucky's Grill en Cateringservice;1;;;;;;;;1
Buitengoed Hagenhorst;2;;;;;;;;2
Bureau Blauwgeel;;;;;;;;1;1
Buren Systems International;;;;;;;;1;1
BV KKS;;;;;1;;;;1
Cafe Du Midi;1;;;;;;;;1
Cafe Orloff;1;;;;;;;;1
CAFE-ZALENCENTRUM DE DIJK;1;;;;;;;;1
Cair Cafe;1;;;;;;;;1
Cameranu NL;;;;;;;;1;1
Campro Scientific;;;;1;;;;;1
Canne & Cruijcken (incl. Vergader@Home);1;;;;;;;;1
Canon (incl. Océ Nederland);;;;;6;;;1;6
CAOP - Centrum Voor Arbeidsverhoudingen Overheidspersoneel;2;;;;;;;;2
Capgemini;;;;;2;;;1;2
CapitalP;;;;;4;;1;;4
Cargo Compliance Company (vh DGM);;;;1;;;;;1
Carl Zeiss;;;;;;;;1;1
Carlton Hotel;1;;;;;;;;1
Carpe Diem Catering;1;;;;;;;;1
Caseware;;;;;;;;2;2
Casu Utrecht;;;;;;;;1;1
CATERING SERVICE WESSELIUS;1;;;;;;;;1
Catering2U / Lunchnu.nl;1;;;;;;;;1
CATERINGSERVICE DIK VOOR ELKAAR;1;;;;;;;;1
CB Centraal Boekhuis (incl. Facturatie);;;;;;;;1;1
CB-Media;;;;;2;;;;2
CCV Services;;;;;;;;1;1
CE Delft Onderzoek Advies en Consultancy voor Duurzaamheid;;;;;;;;1;1
Ceka Office Group Nederland;;;;;;;1;;1
Cendris (incl. Cendris Datacosulting);;;;;;;;1;1
Centillion;;;;;;;;1;1
Central Point;;;;;;;;2;2
Centric (incl. Qualityhouse);;;;;;;;1;1
CGI Group (incl. Logica CMG);;;;;;;;4;4
CHANTAL KOUWENHOVEN;1;;;;;;;;1
Chocolaterie De Lelie;;;;;1;;;;1
CIB Centraal Inkoopbureau;;;;;;;;1;1
Circustheater;1;;;;;;;;1
City Inn;1;;;;;;;;1
City Marketing Haarlem;1;;;;;;;;1
CIV Cooperatieve In- en Verkoopvereniging /Den Oever;;;;;;;;1;1
CIV Cooperatieve In- en Verkoopvereniging Lauwerszee;;;;;;;1;1;1
Clean Care;;;2;;;;;;2
CLI CONFERENCE LINE INTERNATIONAL;1;;;;;;;;1
CLOUDYDAY;;;;;;;;2;2
COMKRACHT4;;;;;2;;;;2
Commanderie Catering;1;;;;;;;;1
Compacon & Partners;;;;;1;;;;1
Comparex (incl. PC-Ware);;;;;;1;;1;1
CompLions B.V.;;;;;;;;1;1
Conferentiecentrum Kaap Doorn;1;;;;;;;;1
Conferentiecentrum Kapellerput;2;;;;;;;;2
Conferentiehotel Landgoed Rhederoord;1;;;;;;;;1
Conrad Electronic;;;;;;;;1;1
Content Strategy;;;;;4;;;;4
Coolblue - Pda Shops;;;;;1;;;1;1
COOP HOLWERD;1;;;;;;;;1
Correct Business Electronics;;;;;;;;1;1
Creator Meeting Support;;;;;;;;1;1
CrossOver Data;;;;;;;;1;1
Crowne Plaza;1;;;;;;;;1
CSO Adviesbureau voor Milieu onderzoek;;;;;1;;;;1
Culipro;1;;;;;;;;1
Cyclomedia Tech;;;;;1;;;;1
Damen Plastics;;;;;;;;1;1
Damen van Deventer;;;;;1;;;;1
DAS (Incasso, Rechtsbijstand);;;;;;;;1;1
DAT Reclame v.o.f.;;;;;1;;;;1
DATA ACCESS EUROPE;;;;;;;;1;1
Dbf Communicatie;;;;;1;;;;1
De Baak incl. Seaside, Administratie, Hospitality, Management Centrum;2;;;;2;;;;2
De Blauwe Lotus;1;;;;;;;;1
De Bruin Electronics;;;;;;;1;;1
De Drukkerij;;;;;;;;1;1
DE GECROONDE LIEFDE;1;;;;;;;;1
De Graaf warme bakker;1;;;;;;;;1
De Haarlemse Bakker;1;;;;;;;;1
De Halve Maan;1;;;;;;;;1
De Hamermolen;1;;;;;;;;1
De Heeren van Stael (Bowling Lelystad);1;;;;;;;;1
De Heerenkeet Café-Restaurant;1;;;;;;;;1
De Heische Hoeve;1;;;;;;;;1
De Hoorneboeg/Ernst Sillem Hoeve Conferentiecentrum;1;;;;;;;;1
De Kampanje;1;;;;;;;;1
De Kantine;1;;;;;;;;1
De Kloveniersdoelen;1;;;;;;;;1
De Knegt & Leeflang;;;;;;;;1;1
De Kom Theater en Kunstcentrum;1;;;;;;;;1
De Koperen Tuin Grand Cafe Res;1;;;;;;;;1
De Krokodil Restaurant;2;;;;;;;;2
De Kruishoeve;1;;;;;;;;1
De Lantaern Restaurant;1;;;;;;;;1
De Lindenhof;2;;;;;;;;2
De Machinist/In De Steigers;1;;;;;;;;1
De Markies Restaurant;1;;;;;;;;1
De Observant Stadscafé;1;;;;;;;;1
De Olifant Evenementenlokatie;1;;;;;;;;1
De Poort van Kleef Café-Restaurant;1;;;;;;;;1
De Posthumus Winkel;;;;;;;;1;1
De Prom Utrecht (incl. Vredenburg);1;;;;;;;;1
De Raat Security Products;;;;;;;1;;1
De Reiger Catering (incl. Nikita, Vechthuis);1;;;;;;;;1
De Ringweg Cafe-Restaurant;1;;;;;;;;1
De Ruyter Training en Consultancy;1;;;;;;;;1
De Schildkamp;1;;;;;;;;1
De Steiger Catering;1;;;;;;;;1
De Stulp Uitgeverij;;;;;;;;1;1
De Tapuit;1;;;;;;;;1
De Utrechtse Haven;1;;;;;;;;1
De Veldkeuken;1;;;;;;;;1
De Verandercentrale;1;;;;;;;;1
De Versnelling;;;;1;;;;;1
De Vertrekhal;1;;;;;;;;1
De Vreugdehoeve;1;;;;;;;;1
De Waag Restaurant;1;;;;;;;;1
De Walrus Restaurant;1;;;;;;;;1
De Wilt Cyrox Groep;;;;;;;;1;1
De Witte Vosch;1;;;;;;;;1
De Zoete Inval;1;;;;;;;;1
De Zoute Zoen Bistro-Restaurant;1;;;;;;;;1
De Zwaakse Weel Melkschapenbedrijf;1;;;;;;;;1
Deac Nederland;2;;;;;;;;2
Deko;;1;;;;;;;1
Delifrance;1;;;;;;;;1
Delta Hotel;1;;;;;;;;1
Demontage werkplaats Zeeland;;;;;;;1;1;1
Den Haag Marketing & Events;;;;1;;;;;1
Destil;;;;;;;;1;1
Deutsche Bank (incl. IFN Finance);;;;;1;;;;1
DG Beveiliging en Communicatie;;1;;;;;;;1
DHL;;;;1;;;;;1
DIEHL;1;;;;;;;;1
Dierenpark Amersfoort;1;;;;;;;;1
Digital Revolution;;;;;;;;1;1
Discountoffice.nl;;;;;;;;1;1
Docspro;;;;;;;;1;1
Domstad Hogeschool, Cursus- en Vergadercentrum;1;;;;;;;;1
Dopper;;;;;;;;1;1
Douwe Egberts;7;;;;;;1;;7
Down Under Horeca;1;;;;1;;;;1
Drakenburg Conferentiecentrum;1;;;;;;;;1
Drentea Kantoormeubelen;;;;;;;5;;5
Druk Werk Deal;;;;;1;;;;1
DRUKKERIJ CR DE MULDER;;;;;1;;;;1
DRUKKERIJ DE KROON;;;;;1;;;;1
DRUKKERIJ VAN DE WATER;;;;;;;;1;1
Drupsteen + Straathof;;;;;1;;;;1
Dudok (Horeca Exploitatie WWZ IV);1;;;;;;;;1
Duinzicht Hotel;1;;;;;;;;1
Dunea (Duinwaterbedrijf Zuid-Holland);;;;;;;1;;1
Dynamic No Break;;;;;;;;1;1
Eden Hotels;1;;;;;;;;1
Edwin Snulders Catering;1;;;;;;;;1
EETERIJ TAPPERIJ JUNO;;;;;;;;1;1
EETPUNT DE BERK;1;;;;;;;;1
Egner Kantoorspecialisten;;;;;;;;1;1
EIGHT MEDIA;;;;;1;;;;1
EJBdesignery;;;;;;;;1;1
El Mundo Tapasbar;1;;;;1;;;;1
EMC Leren in Bedrijf;1;;;;;;;;1
EMILE WILLEMS FOTOGRAFIE;;;;;1;;;;1
EMMAUS HARTELSTEIN STICHTING WOON-;1;;;;;;;;1
ENORM RUITERMAN IJZERWAREN GEREEDSC;;;;;;;1;;1
Entopic;;;;;1;;;;1
EP Tol;;;;;;;1;1;1
Epona Software Productions;;;;;1;;;2;2
Equipe Quality Products (incl. Health2Work);;;;;;;1;;1
ER (Piktsjers);;;;;1;;;;1
ES Ehrbecker Schiefelbusch Elektro;;;;;;;1;;1
ESSENCE KNOWLEDGE MANAGEMENT;;;;;;;;1;1
Etikettenworld;;;;;;;;1;1
Euro Events;;;;;;;;1;1
Euro-Index;;;;;;;;1;1
Euro-Logo;;;;;1;;;;1
Even Kijken Project;;;;;;;2;;2
Exploitatie De Binnenhof;1;;;;;;;;1
Exploitatiemaatschappij Gelredome;;;;;;;;1;1
Exploitatiemaatschappij Seaport Beach Resort;1;;;;;;;;1
Expo Beursplein;;;;;;;;1;1
Exposize;;;;;1;;;;1
Expotech;;;;;;;1;;1
Faber Vlaggen (vh Shipmate);;;;;;;;1;1
Falck Group;;2;;;;;;;2
Falco;;;;;;;;1;1
Farnell Electronic Components;;;;;;;;1;1
Faunaland Axel;;;;;;;1;;1
Fedex - Federal Express;;;;1;;;;;1
FIJNMECHANISCHE TECHNIEK UTRECHT (F;;;;1;;;;;1
Finitouch Interieurbouw;;;;;;;1;;1
Flash Services Nederland;;1;;;;;;;1
Fletcher Hotel Restaurant;1;;;;;;;;1
FlexCentraal;1;;;;;;;;1
Flexevent;2;;;;;;;;2
Flore & Deiters;1;;;;;;;;1
Fonts + Files Holding;;;;;1;;;;1
Fonville Bloemenboutique;;;;;;;1;1;1
For Conference;1;;;;;;;;1
Fort Aan De Klop;1;;;;;;;;1
Foto Konijnenberg;;;;;1;;;1;1
FOTO REMBRANDT MAASTRICHT B.V.;;;;;;;;1;1
Foto Verschoore (Vego);;;;;;;1;;1
FOTOSTUDIO J. VAN HOUDT;;;;;1;;;;1
Fotostudio Wierd;;;;;1;;;;1
Frezon;;;;;;;;1;1
Fries Museum;1;;;;;;;;1
Fruitful Office Nederland;;;;;;;;1;1
FUNDAT@;;;;;;;;1;1
G.A. TALSMA OPTIONS B.V.;1;;;;;;;;1
Gargouilles;1;;;;;;;;1
Gastheeren Catering;1;;;;;;;;1
Gemaco (vh Jos Premiums & Gifts);1;;;;1;;;1;1
Geodan Holding;;;;;;;;1;1
Geofort;1;;;;;;;;1
Gerritse Ijzerwaren (inc Isero);;;;;;;;1;1
Geurst (incl. Pastis Restaurant);1;;;;;;;;1
Gildeprint Drukkerijen;;;;;1;;;;1
Glassinstruments;1;;;;;;;1;1
Glider-Equipment;;;;;;;;1;1
GOEREE COOPCOMPACT;1;;;;;;;;1
Golden Tulip;2;;;;;;;;2
Golfbaan Delfland (Schipluiden);1;;;;;;;;1
Gooiland Slijptechniek;2;;;;;;;;2
GORTERSHOEK;1;;;;;;;;1
GOUMA BAKKERIJ;1;;;;;;;;1
GPSSpellen/Stadsspellen;1;;;;;;;;1
Grafisch Bedrijf Goes;;;;;1;;;;1
Grand Cafe De Sjees;1;;;;;;;;1
GRANDHOTEL HOEK VAN HOLLAND;1;;;;;;;;1
Green Fox;;;;;;;2;;2
Greenz;;;;;;;;1;1
GRIZZLY B.V.;2;;;;;;;;2
GRODAL EXPEDITIE B.V.;;;;2;;;;;2
GROEN MEDIA;;;;;1;;;;1
Groenendijk Bedrijfsschoenen en kleding;2;;;;;;;;2
Groenrijk;;;;;;;;1;1
Groot Haarlem;1;;;;;;;;1
Groothandelsgebouwen;1;;;;;;4;;4
GVO GRAFISCH BEDRIJF;;;;;;;;1;1
H2O (vh Nijgh Periodieken);;;;;;;;1;1
Haagsblauw/Jean Cloos Art Direction;;;;;1;;;;1
Haai;;;;;1;;;;1
HAAN DE GIJS HUBO;;;;;;;1;;1
Haje Shops Hotels & Restaurant;1;;;;;;;;1
Hakvoort Horeca;;;;;;;;1;1
Hallmark Cards Nederland;;;;;;;;1;1
Hampshire Hotel;2;;;;;;;;2
Hanos;1;;;;;;;;1
Hans Kreuning BV;3;;;;;;;;3
HaPe Aviation & Marine Service;;;;;;;;1;1
Happy Meat;1;;;;;;;;1
Happy Moose;1;;;;;;;;1
Hardersluis Hotel-Restaurant;1;;;;;;;;1
HARRELS LUNCHROOM;1;;;;;;;;1
Hatech Gasdectietech;;;;;;;;1;1
Havenbedrijf Amsterdam;;;;;;;3;;3
Havenbedrijf Rotterdam;1;;;;;;;;1
Hd Handelsond;;;;;;;;1;1
Hdtt Communicatieadvies;;;;;1;;;;1
Heigo Nederland;;;;;;;;1;1
Heijligers Computers;;;;;;;;1;1
Helder Graveertechniek;;;;;;;;1;1
HEMRIK MARINE B.V.;;;;;;;;1;1
Hendrikx Party & Catering, Ton;1;;;;;;;;1
Herik Rail;2;;;;;;;;2
Het Consulaat Adviseurs, Acteurs en Art in Bedrijf;;;;;;;2;;2
Het Gesprek Restaurant;;;;;;;;1;1
Het Huis;1;;;;;;;;1
Het Klooster Leerhotel;1;;;;;;;;1
Het Lab Grafisch Ontwerpers;;;;;1;;;;1
Het Muntgebouw Utrecht;1;;;;;;;;1
Het Nieuwe Instituut (vh Niadec);1;;;;;;;;1
Het Pageshuis;1;;;;;;;;1
Het Scheepvaartmuseum Enterprise Stichting;1;;;;;;;;1
Het Stempel No. 539;;;;;;;;1;1
Het Wapen van Stellendam;1;;;;;;;;1
Het Wapen van Willemstad;1;;;;;;;;1
HH-PRODUCTIONS V.O.F.;;;;;1;;;;1
High Security International;;2;;;;;;;2
HILLSAFETY;;1;;;;;;;1
Hillson;;;;;;;;1;1
Hilton;1;;;;;;;;1
HINDELOOPEN JACHTHAVEN;;;;;;;1;;1
HOEZO! Projectmanagement en Congresorganisatie;2;;;;;;;;2
Hoffmann Bedrijfsuitrusting;;;;;;;;1;1
Hofker Hotel;1;;;;;;;;1
Hofland Electronica;;1;;;;;;;1
Hofwijck Vereniging;1;;;;;;;;1
Holland Marine Equipment;1;;;;;;;;1
Holland Ridderkerk (SecuredDocuments);;;;;1;;;;1
Holland Service Koeriers;;;;1;;;;;1
Hollandse Hoogte;;;;;1;;;;1
Hollandse Nieuwe;;;;;;;2;2;2
Homminga's Fijne Winkeltje;1;;;;;;;;1
Hoogeboom Partyservice;1;;;;;;;;1
Horequip;;;;;;;2;;2
Horesca Lieferink;1;;;;;;;;1
Hospitality Industria;1;;;;;;;;1
Hotel Bergambacht;1;;;;;;;;1
Hotel Contact/Worldmeetings;3;;;;;;;;3
Hotel Corps De Garde;1;;;;;;;;1
Hotel De Limbourg;1;;;;;;;;1
Hotel De Plataan;1;;;;;;;;1
HOTEL EXPLOITATIE NES B.V.;1;;;;;;;;1
Hotel Exploitatiemaatschappij Chagall;1;;;;;;;;1
Hotel Karsten;1;;;;;;;;1
Hotel New York Rotterdam;1;;;;;;;;1
Hotel Oepkes-De Schoener;1;;;;;;;;1
Hotel Post Plaza;1;;;;;;;;1
Hotel Vianen;1;;;;;;;;1
Houblon Management;;;;;4;;;;4
House of Sports (SportsSpeakers);1;;;;;;;;1
Houtzaagmolen De Ster/Vereniging Het Werktuig;1;;;;;;;;1
HR Telecom;;;;;;;1;;1
Hucag Human Capital Group (incl. Fanplay);;;;;1;;;;1
Huize Molenaar Cuisinier;1;;;;;;;;1
HVH INSTALLATIETECH;;;;;;;1;;1
HWM (Hollandsche Werk Maatschappij);2;;;;;;;;2
I&O Research;;;;;;;;1;1
ICAT Textielrestauratie;;;;;;;1;;1
ID Systemen (Cardprintershop.nl);;;;;;;;1;1
Id Wear;;;;;;;;1;1
Igluu Workspace For Professionals;1;;;;;;;;1
IHC Interior;;;;;;;4;;4
Ikea;;;;;;;1;;1
Imtech (incl. Radio Holland, Bostec);;;;;;;1;;1
In De Driehoek, Zalencentrum;1;;;;;;;;1
IN2DOCUMENTS;;;;;2;;;;2
Indomo;1;;;;;;;;1
Infict;;;;;;;;1;1
Informatie Technologie Roos;;;;;;;;1;1
Infram;;;;;1;;;;1
Inkada;1;1;1;;;;;;1
Inn Events Company;2;;;;;;;;2
Innovatie en Duurzaamheid;;;;;;;;1;1
Inntel Hotels;2;;;;;;;;2
Innvire;1;;;;;;;;1
Insight Enterprises Netherlands;;;;;;;;1;1
Interdata;;1;;;;;;1;1
Internet New Business Concepts (Vergaderruimte-Utrecht.nl);1;;;;;;;;1
Internet Unie;;;;;;;;1;1
Intersafe Groeneveld;;4;;;;;;2;4
INTRESSIO;;;;;;;;1;1
IQ Kunstuitleen;;;;;;;2;;2
Iron Mountain Nederland;;;;;2;;;;2
ISVW Instituut voor Wijsbegeerte;1;;;;;;;;1
IT Comfort B.V.;;;;;;;;1;1
IT Staffing Nederland (vh IT Staffing Paxton, en incl. Info Motion, Centor);;;;;4;;;;4
ITAQ Interim Professionals;;;;;2;;;;2
Itera;;;;;1;;;2;2
IV Groep (incl. Infra, Software, Oil&Gaz);;;;;1;;;;1
IVA REPRO EN KANTOORSERVICE;;;;;1;;;1;1
IVM Instituut voor Veiligheid & Milieu;;2;;;;;;;2
J J & PARTNER;;;;;;;;1;1
J.H. Delken Huishoud;;;;;;;1;;1
J.L. de Jong Touringcarbedrijf;1;;;;;;;;1
Jaarbeurs Catering Services;2;;;;;;;;2
Jaarbeurs Utrecht;3;;;;1;;;;3
Jan van Scorel Appartementenhotel;1;;;;;;;;1
Janoq;2;;;;;;;;2
JANSEN & NIEUWLAND;1;;;;;;;;1
Jansen De Koning (Lekker & Co);1;;;;;;;;1
JOB PANTJES CONSULTANCY;;;;;4;;;;4
John Sinderdinck Fotografie;;;;;1;;;;1
Jos Ten Berg Handelsmaatschappij;1;;;;;;;;1
Julo;;;;;;;1;;1
Jungheinrich Nederland;;1;;;;;;;1
Jura Service Factory;1;;;;;;;1;1
JuRo Horeca (Den Burgh Restaurant);1;;;;;;;;1
JVR Audiovisual (inc Creative Technology Holland);1;;;;;;;;1
KAD Kenniscentrum Dierplagen;;;1;;;;;;1
Kameryck;2;;;;;;;;2
KANTOOR EXPERT;;;;;;;1;;1
Kantoorcentrum Beuningen (incl. KC Business Solutions);;;;;;;;1;1
KAPEL C VAN ELECTROTECH BUR;;;;;;;;1;1
Kardex Systemen;;;;;1;;;;1
Karel V Utrecht Grand Hotel;1;;;;;;;;1
Karin de Lange Bureau;;;;;3;;;;3
Karmac Informatie & Innovatie;;;;;3;;;;3
Karmel Drachten;1;;;;;;;;1
Kasteel De Hooge Vuursche;1;;;;;;;;1
Kasteel Vaeshartelt Conf en Hotel;1;;;;;;;;1
KBenP (Koenen, Baak en Partners);;;;;4;;;;4
Kees Groot Horeca;1;;;;;;;;1
Keizersrande Stg;1;;;;;;;;1
KEMO;;;;;;;;1;1
Kentie Afterprint;;;;;;;;1;1
KERAM MOTORRAD;;;;;;;1;;1
KESSELS EN VAN KEEKEN;;;;;1;;;;1
KEYSCRIPT;;;;;1;;;;1
Kiko Software;;;;;;;;1;1
Kivi Niria Congresbureau;2;;;;;;;;2
KNAG;1;;;;;;;;1
KNW Koninklijk Nederlands Waternetwerk;;;;;;;;1;1
Koeman's Catering Broodjes;1;;;;;;;;1
Kok Party-Catering Service;1;;;;;;;;1
KOK TIMMER THODN BRUNTE DE;;;;;;;;1;1
Kokxdevoogd;;;;;1;;;;1
Kolibri Labels;;;;;;;;1;1
Komfort Exploitatie Maatschappij;1;;;;;;;;1
KommaGo (incl. Netwekshop.nl, Portofoon.nl, Headset.nl, Vergadertelefonie.nl, Routershop.nl, Wifishop.nl);;;;;;;;1;1
Konichiwa B.V.;1;;;;;;;;1
Koninklijke Ahrend (incl. Ahrend Inrichtingen);;;;;;;4;1;4
Koninklijke Fabr. Posthumus (PS Groep);;;;;;;;1;1
Koninklijke van den Boer Groep (incl. Oseven, happening and food);3;;;;;;;;3
Koninklijke van der Most;;;;;1;;;1;1
Kooistra Kledinghuis Wolvega;;;;;;;;1;1
KOOYMAN GROOTVERBRUIK;;;;;;;;1;1
Korf Catering Party Services;1;;;;;;;;1
Kota Radja Chinees Restaurant;1;;;;;;;;1
KPN (incl. Getronics, PTT Telecom);1;;1;;;;;3;3
KRAANTJE LEK;1;;;;;;;;1
Kraaybeekerhof Facilitair;1;;;;;;;;1
KSB Repro;;;;;1;;;;1
Kuiper Bouwgroep;;;;;;;;1;1
Kunsthal Rotterdam;1;1;;;;;;;1
Kwartiermeesters;1;;;;;;;;1
