Rijlabels;1000 - Personele exploitatie overig;1110 - Verhuiskosten personeel binnen- en buitenland;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1160 - Personeelsevenementen, bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis & verblijfskosten;Eindtotaal
Annemarie Willems Producties;1;;;;;;;;;1
Anoniem 103;1;;;;;;;;;1
Anoniem 104;1;;;;;2;;;;2
Anoniem 113;;;;;;1;;;;1
Anoniem 115;1;;;;;;;;;1
Anoniem 121;;;;;2;;;;;2
Anoniem 123;;;;;;;;;1;1
Anoniem 124;;;;;;1;;;;1
Anoniem 133;;;;;;1;;;;1
Anoniem 134;;;;1;;;;;;1
Anoniem 136;;;;1;;;;;;1
Anoniem 137;;;;1;;;;;;1
Anoniem 138;;;;1;;;;;;1
Anoniem 159;1;;;;;;;;;1
Anoniem 16;1;;;;;;;;;1
Anoniem 17;1;;;;;;;;;1
Anoniem 2;;;;;;1;;;;1
Anoniem 202;;;;;;1;;;;1
Anoniem 208;;;;;;1;;;;1
Anoniem 213;1;;;;;;;;;1
Anoniem 219;;;;;;1;;;;1
Anoniem 221;;;;;1;;;;;1
Anoniem 223;;;;;;1;;;;1
Anoniem 237;;;;1;;;;;;1
Anoniem 242;1;;;;1;;;;;1
Anoniem 258;;;;;;1;;;;1
Anoniem 266;;;;;;1;;;;1
Anoniem 268;;;;1;;;;;;1
Anoniem 277;;;;1;;;;;;1
Anoniem 284;;;;;;;;;1;1
Anoniem 287;;;;;;2;;;;2
Anoniem 294;;;;1;;;;;;1
Anoniem 295;;;;;1;;;;;1
Anoniem 31;1;;;1;;1;;;1;1
Anoniem 310;;;;;1;;;;;1
Anoniem 319;;;;;1;;;;;1
Anoniem 331;;;;1;;;;;;1
Anoniem 333;;;;;;1;;;;1
Anoniem 342;1;;;;;;;;;1
Anoniem 343;1;;;;;;;;;1
Anoniem 345;;;;;;;;;1;1
Anoniem 346;;;;1;;;;;;1
Anoniem 352;;;;1;;;;;;1
Anoniem 357;;;;;;;;;1;1
Anoniem 375;;;;;;;;;1;1
Anoniem 389;;;;1;;;;;;1
Anoniem 399;;;;;;1;;;;1
Anoniem 4;;;;1;;;;;;1
Anoniem 406;;;;1;;;;;;1
Anoniem 408;2;;;;;2;;;;2
Anoniem 409;3;;;;;;;;;3
Anoniem 418;;;;;;;;;1;1
Anoniem 420;1;;;;1;;;;;1
Anoniem 427;;;;;1;;;;;1
Anoniem 436;;;;1;;;;;;1
Anoniem 445;;;;;1;;;;;1
Anoniem 470;;;;1;;;;;;1
Anoniem 479;;;;;;;;;1;1
Anoniem 483;;;;;;;;;1;1
Anoniem 485;;;;;;1;;;;1
Anoniem 512;;;;1;;;;;;1
Anoniem 517;;;;1;;;;;;1
Anoniem 540;1;;;;;;;;;1
Anoniem 543;;;;1;;;;;;1
Anoniem 545;;;;;;1;;;;1
Anoniem 555;;;;;;;;;1;1
Anoniem 561;;;;;;1;;;;1
Anoniem 568;;;;;;1;;;;1
Anoniem 582;;;;;;1;;;;1
Anoniem 584;1;;;;;;;;;1
Anoniem 589;;;;;;1;;;;1
Anoniem 59;;;;;;1;;;1;1
Anoniem 591;1;;;;;2;;;;2
Anoniem 609;;;;;1;;;;;1
Anoniem 612;;;;;2;1;;;;2
Anoniem 613;;;;;;;;;1;1
Anoniem 621;;;;1;;;;;;1
Anoniem 627;1;;;;1;;;;;1
Anoniem 628;;;;;;1;;;;1
Anoniem 640;;;;;;1;;;;1
Anoniem 646;;;;;;;;;1;1
Anoniem 647;;;;;;1;;;;1
Anoniem 650;;;;1;;;;;;1
Anoniem 657;;;;1;;;;;;1
Anoniem 66;;;;1;;;;;;1
Anoniem 660;;;;;;;;;1;1
Anoniem 672;;;;1;;;;;;1
Anoniem 677;1;;;;;;;;;1
Anoniem 680;;;;1;;;;;;1
Anoniem 683;1;;;;;;;;;1
Anoniem 687;;;;1;;;;;;1
Anoniem 69;;;;1;;;;;;1
Anoniem 697;;;;1;;;;;;1
Anoniem 698;;;;1;;;;;;1
Anoniem 699;;;;;;;;;1;1
Anoniem 701;;;;;;;;;1;1
Anoniem 703;;;;;;;;;1;1
Anoniem 710;;;;;;1;;;;1
Anoniem 714;;;;;;1;;;;1
Anoniem 72;;;;1;;;;;;1
Anoniem 720;1;;;;;;;;;1
Anoniem 732;1;;;;;;;;;1
Anoniem 744;1;;;;;;;;;1
Anoniem 750;;;;;;1;;;;1
Anoniem 752;;;;;;1;;;;1
Anoniem 76;;;;1;;;;;;1
Anoniem 762;;;;1;;;;;;1
Anoniem 776;1;;;;;;;;;1
Anoniem 779;1;;;;;;;;;1
Anoniem 782;;;;;;2;;;;2
Anoniem 79;;;;1;;;;;;1
Anoniem 792;;;;;;1;;;;1
Anoniem 81;;;;;;;;;1;1
Anoniem 84;;;;1;;;;;;1
Anoniem 85;1;;;;;;;;;1
Anoniem 86;;;;1;;;;;;1
Anoniem 87;;;;1;;;;;;1
Anoniem 89;1;;;;;;;;;1
Anoniem 93;1;;;;;;;;;1
Ansul;;;1;;;;;;;1
Antea Nederland B.V.;;;;;;2;;;;2
Antré Evenementenorganisatie;1;;;;;;;;;1
ANWB B.V.;1;;;;;;;;;1
AOB Diensten B.V.;;;;1;;1;;;;1
AOG Contractonderwijs B.V.;;;;;;2;;;;2
Aon de Stasie B.V.;;;;;;;;;1;1
Apartt Rotterdam Horeca B.V.;;;;1;;;;;;1
Apenheul;;;;1;;;;;;1
Aperitivo B.V.;;;;1;;;;;;1
APG Service Partners B.V.;1;;;;;;;;;1
Apollo13;;;;;;1;;;;1
Apotheek Kuijlman C.V.;;;;;;;;;1;1
Apple Retail Netherlands B.V.;1;;;;;;;;;1
APPLY Opleidingen en Advies B.V.;;;;;;1;;;;1
Aqua Vision B.V.;;;;;;1;;;;1
Aquagis B.V.;;;;;;1;;;;1
AR Beleidsanalyses;2;;;;;;;;;2
ARAM Academy B.V.;;;;;;1;;;;1
Arbo Unie;1;;;;;;;;;1
Arbo Unie B.V.;2;;;;1;1;;;;2
Arbode Maritiem B.V.;;;1;;;;;;;1
ARCADIS Nederland;;;;;;1;;;;1
ARCADIS Nederland B.V.;;;;;;1;;;;1
Arche Architectuur Presentaties;1;;;;;;;;;1
Ardis Opleidingen B.V.;;;;;2;4;;;;4
Ardis Organisatieontwikkeling B.V.;1;;;;1;1;;;;1
Argos Coaching;;;;;2;1;;;;2
Arie Meulepas Management & Advies;;;;;;1;;;;1
Aristo Utrecht B.V.;;;;1;;;;;;1
Arlamar;;;;;;;;;1;1
Arma Verhuur Horeca B.V.;;;;1;;;;;;1
Arnopress;1;;;;;;;;;1
Aron Nijs Fotografie;;;;1;;;;;;1
Arriva Touring;;;;1;;;;;;1
Art & Dining;;;;1;;;;;;1
Art Centre Delft;1;;;1;;;;;;1
Arteaux Art & Design;1;;;;;;;;;1
Artige B.V.;1;;;1;;;;;;1
Artihove Regina B.V.;;;;1;;;;;;1
arvato Finance B.V.;1;;;1;;1;;;;1
Ascender B.V.;1;;;;1;;;;;1
ASP Adventure B.V.;1;;;;;;;;;1
Aspergeboerderij 'Oppe Haes';;;;1;;;;;;1
A-Star Promotions;;;;1;;;;;;1
At Computing B.V.;;;;;;2;;;;2
At Osborne B.V.;;;;;;2;;;;2
Atelier Clary Keramiek;;;;1;;;;;;1
Atelier Zeven;;;;1;;;;;;1
AtelierSpek;;;;1;;;;;;1
Athene Palace B.V.;;;;1;;;;;;1
Atlantic Hotel Exploitatie B.V.;;;;1;;;;;1;1
Atlas Reizen B.V.;;;;;;;;;1;1
Atos Nederland B.V.;;;;;1;;;;;1
ATP Specials B.V.;;;;;;;;;1;1
Attractie Verhuur Moonen B.V.;;;;1;;;;;;1
Augusta Vastgoed Holding B.V.;;;;1;;;;;2;2
Authentiek leiderschap B.V.;;;;;1;1;;;;1
Autobedrijf Digo;1;;;;;;;;;1
AutomotiveNL B.V.;;;;1;;;;;;1
Autorijschool Bruinsma B.V.;;;;;;1;;;;1
Avans Hogeschool;;;;;;1;;;;1
Avetica B.V.;;;;;;1;;;;1
Avex B.V.;1;;;;;2;;;;2
Aviste B.V.;;;;1;;;;;;1
AyniSpirit;;;;;;1;;;;1
AZ Barbecue & Gourmet Partyservice B.V.;;;;1;;;;;;1
Aziatisch Restaurant 'De Lange Muur';;;;1;;;;;;1
B & T Productions;;;;1;;;;;;1
B Tax;;;;;;;;;1;1
B.U.S. Kaartje;1;;;;;;;;;1
B.V. Copes SNEL;;;;;;;;;1;1
B.V. Perscentrum Nieuwspoort;1;;;1;;1;;;1;2
B.V. Rederij G. Doeksen en Zonen;;;;;;;;;1;1
B.V. Scheepswerf Maaskant;;;;1;;;;;;1
B.V. Topselect;;;;;1;;;;;1
B.V. Touringcarbedrijf E.D.A.D.;1;;;;;;;;;1
B.V. Wegrestaurant 'Napoleon';1;;;;;;;;;1
B+B Vakmedianet B.V.;;;;;;1;;;;1
B+O Architectuur en Interieur B.V.;;;;;;1;;;;1
B20 ASSESSMENT;;;;;;2;;;;2
BaanBaan B.V.;1;;;;5;;;;;5
BAAS Chauffeursdienst;;;;1;;;;;;1
Babel B.V.;;;;;;1;;;;1
Badhotel Bruin;;;;1;;;;;;1
Badhotel Rockanje aan Zee B.V.;;;;;;;;;1;1
Baek Food & Drinks;;;;1;;;;;;1
Bakbrommer aangespoelde verhalen;;;;1;;;;;;1
Bakker Computer Opleidingen;1;;;;;;;;;1
Bakker in Vorden;;;;1;;;;;;1
Bakker Toet B.V.;;;;1;;;;;;1
Bakker Van Maanen Productie B.V.;;;;1;;;;;;1
Bakker Wim;;;;1;;;;;;1
Bakkerij Andringa;;;;1;;;;;;1
Bakkerij Bornhijm B.V.;;;;1;;;;;;1
Bakkerij C.J. van Kempen;1;;;1;;;;;;1
Bakkerij De Lekkerbek B.V.;;;;1;;;;;;1
Bakkerij 'Den Soeten Inval';;;;1;;;;;;1
Bakkerij Dieteren B.V.;;;;1;;;;;;1
Bakkerij Hallema;;;;1;;;;;;1
Bakkerij Hilvers B.V.;1;;;1;;;;;;1
Bakkerij Out B.V.;;;;1;;;;;;1
Bakkerij Paulissen;;;;1;;;;;;1
Bakkerij Pots;;;;1;;;;;;1
Bakkerij Risseeuw B.V.;1;;;;;;;;;1
Bakkerij Schot B.V.;1;;;1;;;;;;1
Bakkerij Schuurmans;;;;1;;;;;;1
Bakkerij 't Kraayennest B.V.;1;;;1;;;;;;1
Bakkerij Tullenaar;1;;;;;;;;;1
Balance Ervaring op Projectbasis B.V.;;;;2;;;;;;2
Balans & Impuls B.V.;1;;;;1;2;;;;3
Balans Group B.V.;1;;;;;;;;;1
Balansgroep opleidingen & consultancy;;;;;1;;;;;1
Balkan Grill Boro;;;;1;;;;;;1
Balkan Grill Restaurant Alexander;;;;1;;;;;;1
Bally's eten & drinken;;;;1;;;;;;1
BAM Infra Regio West Wegen;1;;;1;;;;;;1
Bami Jakarta B.V.;;;;1;;;;;;1
Banketbakkerij Boheemen;;;;1;;;;;;1
Banketbakkerij H.F. Borsboom;;;;1;;;;;;1
Banketbakkerij Jansen-de Koning;1;;;1;;;;;;1
Banketbakkerij Konditorei v.d. Sterre V.O.F.;;;;1;;;;;;1
Banketbakkerij Maison Kelder B.V.;1;;;1;;;;;;1
Banketbakkerij Nijstad;;;;1;;;;;;1
Banketbakkerij Plasman;;;;1;;;;;;1
Banketbakkerij Steentjes V.O.F.;;;;1;;;;;;1
Banketbakkerij Theo Blom V.O.F.;;;;1;;;;;;1
Banketbakkerij van Beek & Specker B.V.;;;;1;;;;;;1
Bar & Restaurant Huisman B.V.;;;;1;;;;;;1
Bar Bodega De Doofpot;1;;;;;;;;;1
Bar Le Duc;1;;;1;;;;;;1
Bar Restaurant Pavlov B.V.;;;;2;;;;;;2
Barbacoa;1;;;;;;;;;1
Barbarossa Beach B.V.;;;;1;;;;;;1
Barbesque B.V.;;;;1;;;;;;1
Bar-Brasserie 'Joris' B.V.;;;;1;;;;;;1
Bar-Restaurant De oude school;;;;1;;;;;;1
Base-T.C.I. B.V.;;;;;;1;;;;1
Bastion Hotel Leiden B.V.;1;;;1;1;1;;;1;1
Bastion Hotel Maastricht B.V.;;;;;;;;;1;1
Bastion Hotel Terbregseplein B.V.;;;;;;;;;1;1
Bastion Hotel Utrecht B.V.;;;;1;;;;;1;1
Bastion Hotelgroep B.V.;;;;;;;;;1;1
Bavo Europoort B.V.;;;;1;;;;;;1
BB & P BELEID, BESTUUR EN POLITIEK;;;;;;;;;1;1
BBright Support;1;;;;;;;;;1
BCN B.V.;;;;;;;;;1;1
Beach Experience Scheveningen B.V.;;;;1;;;;;;1
Beachclub Indigo B.V.;;;;1;;;;;;1
Beachclub The Bing B.V.;;;;1;;;;;;1
Beautiful days wenskaarten;;;;1;;;;;;1
Bedrijfscatering Jan Vendrig;;;;1;;;;;;1
Bedrijvenpark Nederland B.V.;;;;;;1;;;;1
Belgian Beer Cafe Belvédère;;;;1;;;;;;1
Belgisch Biercafé Olivier B.V.;1;;;1;;;;;;1
Benelux Scientific B.V.;;;;;;1;;;;1
Benner Kaap Hoorn Exploitatie B.V.;;;;1;;;;;;1
Benten Water Solutions B.V.;;;;;;1;;;;1
Ber.ver. v. Nederl. Stedeb.kund. & Planologen;1;;;;;;;;;1
Berenschot B.V.;2;;;;1;1;;;;2
Berenschot Groep B.V.;;;;;1;1;;;;2
Bergerhof Mobiliteitsgroep B.V.;;;;;;;;;1;1
Bergh Delisse Events;;;;1;;;;;;1
Berghauser Pont Academy B.V.;1;;;;;1;;;;1
Berghorst Horeca Exploitatie B.V.;1;;;;;;;;;1
BermBeveiliging Nederland B.V.;;;;;;1;;;;1
Beroepsvereniging Vide;;;;;;1;;;;1
Bert Hellinger Instituut Nederland;;;;;;1;;;;1
Besseling Travel B.V.;;;;;;1;;;;1
Best Practice User Group Nederland;;;;;;1;;;;1
Best Western Berghotel;;;;;;;;;1;1
Bestax;;;;;;;;;1;1
Bestuurs-;;;;;;1;;;;1
Bestuursacademie;;;;;;1;;;;1
Bestuursbureau Attendiz;1;;;;;;;;;1
Beter Horen;1;;;;;;;;;1
'Betonvereniging';;;;;;1;;;;1
Beuk Touringcars;;;;1;;;;;1;1
Bewegingsplein Westduin;;;;1;;;;;;1
Bezemer Kuiper & Schubad B.V.;;;;;;1;;;;1
Bezorgbakker Bart;;;;1;;;;;;1
Bickers aan de Werf;;;;1;;;;;;1
Bidvest Deli XL B.V.;;;;;;;;;6;6
Bierbrouwerij Emelisse B.V.;;;;1;;;;;;1
Biercafé Doerak;;;;1;;;;;;1
Bierfabriek Delft B.V.;;;;1;;;;;;1
Biesbosch Museum;1;;;1;;1;;;;1
Bij Berry;1;;;;;;;;;1
Bij de Buurvrouw;;;;;;1;;;;1
Bij Floor;;;;1;;;;;;1
Bij Tholen;;;;1;;;;;;1
Bij Walther (Bistro);;;;1;;;;;;1
BijzonderStrafrecht B.V.;;;;;;1;;;;1
Bilderberg Europa Hotel Scheveningen;;;;;;;;;1;1
Bilderberg Hotel De Keizerskroon;;;;;;;;;1;1
Bilderberg Hotel Wolfheze;;;;;;;;;1;1
Bilderberg Parkhotel Rotterdam;;;;;;;;;1;1
Bilderberg Residence Groot Heideborgh;;;;1;;;;;1;1
Binnenlands Bestuur B.V.;;;;;;1;;;;1
Bis 26 B.V.;1;;;;;;;;;1
Bisnez Management B.V.;;;;;2;1;;;;2
Bison Bowling;;;;1;;;;;;1
Bistro Chez Jacqueline;;;;1;;;;;;1
Bistro 'La Route';;;;1;;;;;;1
Bite Me!;;;;1;;;;;;1
BiZZdesign International;;;;;;2;;;;2
Blankestijn & Partners B.V.;;;;;1;;;;;1
Blik Grafisch Ontwerp;1;;;;;;;;;1
Blik van Boven B.V.;;;;;;1;;;;1
Bloemenboutique Fonville;1;;;1;;1;;;;1
Bloemenhuis D.P. van Wageningen;1;;;1;;;;;;1
Bloemenhuis De Narcis;;;;1;;;;;;1
Bloemenhuis 'De Narcis';1;;;1;;;;;1;1
Bloemenhuis 'Magnolia';1;;;;;;;;;1
Bloemenland;1;;;1;;;;;;1
Bloemsierkunst 'De Linde';1;;;;;;;;;1
Bloemsierkunst T. Haasjes B.V.;;;;1;;;;;;1
Bloesem;;;;;;1;;;;1
Bloesom Realisatiecoach;;;;;1;;;;;1
Blokplan;;;;;;1;;;;1
BLOS Horeca B.V.;;;;1;;;;;;1
BLOSSOM bloemisterij;1;;;1;;;;;;1
BlueFlow Management B.V.;;;;;1;1;;;;1
Bluevents B.V.;;;;1;;;;;;1
BME Opleidingen B.V.;;;;;;1;;;;1
Bme Utrecht B.V.;;;;1;;;;;;1
Bobbe International B.V.;1;;;;;;;;;1
Body Talk;;;;1;;;;;;1
Boegschroef Exploitatie B.V.;;;;;;;;;1;1
Boekhandel Van der Velde;1;;;;;;;;;1
Boerderij De Middenhof Nieuwegein;1;;;1;;;;;;1
Boerderij Dichtbij;;;;1;;;;;;1
Boergondineren.nl;;;;1;;;;;;1
Bogert Marketing Communications;;;;1;;;;;;1
Bokaal B.V.;;;;1;;;;;;1
bol.com B.V.;;;;1;;;;;;1
Bommel;;;;1;;;;;;1
Bongo Belevenisbon;;;;;;;;;1;1
Boogh Arbeidsre-integratie;1;;;;1;;;;;1
Boom B.V.;;;1;;;;;;;1
BOOM&Breakout;1;;;;;;;;;1
Boon V.O.F.;1;;;;;;;;;1
Boost Events;;;;1;;;;;;1
Boot & Stuurliedencoöp. 'De Koperen Ploeg' WA;;;;;;;;;1;1
Boot 10 Amsterdam B.V.;;;;;;;;;1;1
Bootlieden;;;;;;;;;1;1
Bootservice Leeuwen;;;1;;;;;;;1
Botenverhuur De Rijnstroom V.O.F.;;;;1;;;;;;1
Boterwaag Den Haag B.V.;;;;1;;;;;;1
Bouldercentrum Delfts Bleau;1;;;;;;;;;1
Bouwend Nederland;;;;;;1;;;;1
Bouzy;;;;1;;;;;;1
Bovo-Tours B.V.;;;;1;;;;;1;1
Bowling Administratie;;;;1;;;;;;1
Bowling en Partycentrum Hilversum;;;;1;;;;;;1
Bowling Nieuwegein B.V.;;;;1;;;;;;1
Bowling Scheveningen B.V.;;;;1;;;;;;1
Bowlingcentrum Apeldoorn B.V.;;;;1;;;;;;1
Bowlingcentrum Goes;;;;1;;;;;;1
Braai-Tapperij 'De Mug';;;;1;;;;;;1
Brain Box Mediatraining B.V.;;;;;;1;;;;1
BrainCompass B.V.;;;;;;1;;;;1
Brainwork B.V.;;;;;;1;;;;1
Bramas coaching;;;;1;1;1;;;;1
Branderij Joost;;;;1;;;;;;1
Brasilbinkie B.V.;;;;1;;;;;;1
Brasserie Archipel B.V.;1;;;1;;;;;;1
Brasserie BLVD;1;;;1;;;;;;1
Brasserie Buitenhof;;;;;;;;;1;1
Brasserie de Houtrib;;;;1;;;;;;1
Brasserie de Koepel;;;;1;;;;;;1
Brasserie De Sierkan;;;;1;;;;;;1
Brasserie Keuken van Hackfort V.O.F.;;;;1;;;;;;1
Brasserie La Meuse B.V.;;;;1;;;;;;1
Brasserie Mijn Streek B.V.;1;;;;;;;;;1
Brasserie Ome Bernard B.V.;;;;1;;;;;;1
Brasserie Oranje Boven;;;;1;;;;;;1
Brasserie So Nice;1;;;;;;;;;1
Brasserie Soho B.V.;;;;1;;;;;;1
Brasserie 't Graanhuys;1;;;1;;;;;;1
Brasserie Westbeer;1;;;1;;;;;;1
Brasserie Zypendaal;;;;1;;;;;;1
Brasserij De Bergerrie;;;;1;;;;;;1
Break Free Fun Company;;;;1;;1;;;;1
Breakout Rotterdam;1;;;;;1;;;;1
Bright Events;;;;1;;;;;;1
Broekies Entertainment Group Bunnik;;;;1;;;;;;1
Broers;;;;1;;;;;;1
Broese Boekverkopers B.V.;;;;;;1;;;;1
Brons Beheer B.V.;1;;;;;;;;;1
Brood & Banketbakkerij Prins B.V.;;;;1;;;;;;1
Brood Banket Bakker Bas;;;;1;;;;;;1
Brood- en Banketbak. Van Ballegooijen V.O.F.;;;;1;;;;;;1
Brood- en Banketbakkerij J.B. van de Kop;1;;;1;;;;;;1
Broodjeslijn;;;;1;;;;;;1
Broodjestijd B.V.;;;;1;;;;;;1
Brouwerij de Prael;;;;1;;;;;;1
Brouwer's Hap & Tap;;;;1;;;;;;1
Bru 17;;;;1;;;;;;1
BSA Schaderegeling B.V.;1;;;;;;;;;1
BSDV;;;;;;1;;;;1
BSI Group The Netherlands B.V.;;;;;;1;;;;1
BubbelBal;;;;1;;;;;;1
Bubbles and Blessings B.V.;;;;1;;;;;;1
Buck's BBQ House;;;;1;;;;;;1
Budget Rent a Car;;;;;;;;;1;1
Buena Vista Beach Club B.V.;1;;;2;;1;;;;2
Building Business B.V.;1;;;;;;;;;1
BuitenBusiness B.V.;1;;;1;;;;;;1
Buitengoed Slavante Horeca Exploitatie;;;;1;;;;;;1
Buitengoed Uylenburg B.V.;;;;;;;;;1;1
Buitenpoort Restaurants B.V.;;;;1;;;;;;1
Bullit House;1;;;;;;;;;1
Bureau Bohré;;;;;;1;;;;1
Bureau Integriteit B.V.;;;;;;2;;;1;2
Bureau Kennis;;;;;;1;;;;1
Bureau Nevejan;;;;;;1;;;;1
Bureau Personal Development B.V.;;;;;;1;;;;1
Bureau Van Es-RB&B;;;;;;2;;;;2
Bureau voor Beeldzaken;;;;;;1;;;;1
Bureau Werkelijk;1;;;;;1;;;;1
Bureau Zuidema B.V.;1;;;;;4;;;1;4
Bureau Zuijdgeest Taalvaardigheidstrainingen;;;;;;1;;;;1
Burghoorn Trainingen;;;;;1;2;;;;2
Buro RUW;;;;;;1;;;;1
BuroEvent;1;;;;;;;1;;1
Buschman Consultancy B.V.;1;;;;;1;;;;2
BVO Opleidingen B.V.;;;;;;2;;;;2
BySpy Products B.V.;;;;;;1;;;;1
C.V. La Galleria Plein;;;;1;;;;;;1
CAD Accent B.V.;;;;;;1;;;;1
Cadeau Concepten B.V.;;;;1;;;;;;1
CAE Center Amsterdam B.V.;;;;;;2;;;;2
Café 2005;;;;1;;;;;;1
Café 'Banka';;;;1;;;;;;1
Café Bar St. Jan;1;;;;;;;;;1
Cafe Blossom;;;;1;;;;;;1
Café Boudewijn B.V.;;;;1;;;;;;1
Café Brasserie De Wildeman B.V.;;;;1;;;;;;1
Café Charlemagne;;;;1;;;;;;1
Cafe De Barron;;;;1;;;;;;1
Café de Belsj;1;;;1;;;;;;1
Café de Ceuvel;;;;1;;;;;;1
Café de Driesprong;;;;1;;;;;;1
Café De Gekroonde Suikerbiet;1;;;;;;;;;1
Café 'De Kleine Witte';;;;1;;;;;;1
Café de Merckt;;;;1;;;;;;1
Café de Rus;;;;1;;;;;;1
Café de Vijfhoek;;;;1;;;;;;1
Café de Wijnhaven B.V.;;;;1;;;;;;1
