Leveranciers;5110 - Verblijf extern;5210 - Wagenpark;Eindtotaal
F÷rsvarsmakten Swedish Armed Forces;;2;2
Federal Express Nederland;;1;1
Federal State Unitary Enterprise State ATM Corporation;;1;1
Fedex;;4;4
FedEx Freight;;1;1
Fletcher Landgoed Hotel Restaurant Avegoor;2;;2
Fliteline B.V.;;8;8
Foreland Shipping Limited;;3;3
Forte Midden Nederland;;1;1
Forward Support Trading B.V.;;8;8
Future Services General Trading & Cont.;;1;1
G.H. Car Rental;;3;3
G.P.M. van Sleeuwen Motoren;;1;1
G.S. Meppel B.V.;;1;1
Garage Centraal Aruba;;1;1
Garage Cordia Aruba N.V.;;1;1
Garage Cordia B.V.;;1;1
Garage De Muynck;;2;2
Gasveerwinkel;;1;1
Gebr. Ligthart Carrosserie- en Tankbouw B.V.;;1;1
Gefco Benelux;;1;1
Gelasakis Agencies Ltd.;;2;2
Gencom Products B.V.;;1;1
Gentec Energy B.V.;;1;1
Geostick Nederlandse Etikettenindustrie B.V.;;1;1
Gerritse IJzerwaren;;1;1
Global Motors B.V.;;1;1
Gomes Noord-Holland B.V.;;1;1
Gomes Warmenhuizen;;2;2
GOMPERTS COOLING SERVICES;;1;1
Grand Mediserve (GMS);;2;2
Groveko;;1;1
GS Handelsbedrijf B.V.;;1;1
Guardian Group (Fatum);;2;2
Gulf Bunkering B.V.;;2;2
H. de Vries Reinigingsapparatuur B.V.;;1;1
Haagen Fire Training Products;;4;4
Hako B.V.;;1;1
Hamer B.V.;;1;1
Hampshire Hotel - Babylon (Den Haag Hampshire Exploitatie I B.V.;1;;1
Hapers Tweewielers;;1;1
Harbers Trucks Barneveld B.V.;;4;4
Harbers Trucks Veenendaal B.V.;;1;1
Harry Meijer B.V.;;2;2
Hatenboer-Water B.V.;;1;1
Heliflight Holland B.V.;;1;1
Hertz Automobielen Nederland B.V.;;4;4
Hertz Autovermietung GmbH Eschborn;;1;1
Hertz First Rent A Car Norway AS;;1;1
Hertz International Franchisee First Rent a Car Norway AS;;1;1
Hertz UK Ltd;;1;1
Hof van Twello;1;;1
Holland Inbouw;;2;2
Hollandse Telecommunicatie Maatschappij;;1;1
Holmatro Rescue Equipment;;1;1
HOOK CRANE SERVICE, INC.;;1;1
Hoppecke Batterijen Nederland B.V.;;1;1
Hotel Contact B.V.;2;;2
Hotel EetcafÃƒÂ© De Herberg nul43;1;;1
HQ NAEW&C Force GK;;1;1
Hugen Brandbeveiliging en Adviesbureau B.V.;;1;1
Huijsmans Service Center B.V.;;1;1
Huize Bergen B.V.;1;;1
Hydrauliekservice Utrecht B.V.;;1;1
I.P. Sluitsystemen B.V.;;1;1
IATA The Govemment of the Kingdom o Bahrain/Civil Aviation Affairs;;1;1
IJzerhandel Staphorst B.V.;;1;1
Inbouwservice Autoplus;;1;1
Indisch Restaurant Garoeda;1;;1
Industrial Solutions Zuid-Oost B.V.;;1;1
Innovative Fire Fighting Solutions B.V.;;6;6
Inspection Technology Europe B.V.;;1;1
International Air Transport Associa;;1;1
Intimus International Netherlands B.V.;;2;2
Invender;;1;1
Invoned Apeldoorn B.V.;;1;1
i-POS.nl B.V.;;1;1
ITS Hendrion B.V.;;2;2
itsme B.V.;;1;1
Iveco Nederland B.V.;;1;1
J.B. Hydraulics B.V.;;1;1
J.W.M. van Tiel;;2;2
Jager & Wiering H.O. Pirtek Utrecht;;1;1
Jan de Wit Autocars N.V.;;4;4
JCB;;2;2
John S. Connor Inc.;;3;3
Jonker CarrosserieÃƒÂ«n B.V.;;1;1
JR Autocenter;;1;1
JS Laadtechniek B.V.;;1;1
Jungheinrich Nederland B.V.;;3;3
K³t Ali;;1;1
Kaitsevõgi (Estonian Defence Forces;;2;2
KAR KUNZ Aviation Refueling GmbH;;1;1
Kegama Automat. t.h.o.d.n. Brezan Automat.;;1;1
Kenbri Fire Fighting B.V.;;2;2
Kennedy's Key Lock Safe Service N.V.;;1;1
KeyBusiness Delivery, Inc;;3;3
KLM Passagekantoor Eindhoven;;2;2
Ko van den Berg;;1;1
Koks After Sales B.V.;;2;2
Koninklijke PostNL B.V.;;6;6
Kooijman Takel & Berging;;1;1
Kooyman B.V.;;1;1
Kraakman Perfors B.V.;;1;1
Krabbers-van Liempt;;1;1
Kreis Kleve;;1;1
Kreispolizeibeh÷rde Heinsberg;;1;1
Kristian Holst AS;;1;1
KUZETA ARUBA N.V.;;1;1
L&S Specials B.V.;;1;1
Laborex BVBA;;1;1
Landkreis Gifhorn Der Landrat;;1;1
Landkreis Grafschaft Bentheim;;1;1
Leaseplan Nederland N.V.;;8;8
Lemmens Motorsport;;2;2
Logistical Support Services LTD;;4;4
Louwman & Parqui B.V.;;1;1
Louwman Amsterdam B.V.;;1;1
Louwman Amsterdam West;;1;1
Louwman Den Haag B.V.;;2;2
LPD Landespolizeidirektion;;1;1
M.G. Dassen Beheer B.V.;;1;1
M.S. de Vries & Company B.V.;;1;1
Mabo-Lifting Nederland B.V.;;1;1
Machinefabriek J. van Geffen;;2;2
Mainport Container Services B.V.;;1;1
MAN Apeldoorn;;1;1
MAN Nederland Dealer B.V.;;4;4
Marechal Electric;;1;1
MARINE NON DESTRUCTIVE TEST.;;1;1
Marine Trading & Services B.V.;;1;1
Maritech Marine B.V.;;1;1
Martin Schilder Rental B.V.;;1;1
Mastermate Brinkman B.V.;;1;1
Maveco Consultancy N.V.;;1;1
Maven Asset Management ltd;;1;1
MD Techniek B.V.;;1;1
Mechanical Machine Shop Gabriela;;1;1
Medisol B.V.;;1;1
Meere reclamemakers;;1;1
Mercedes-Benz Cars Nederland B.V.;;4;4
Mercedes-Benz Dealer Bedrijven B.V.;;4;4
Mercedes-Benz Roelofarendsveen;;5;5
Mijno van Dijk Mechanisatie B.V.;;1;1
Miles Trucking & Heavy Equipment Services N.V.;;2;2
Mobile Information Services B.V.;;7;7
Mobility ID B.V.;;6;6
ModiForce B.V.;;2;2
Modul-System B.V.;;3;3
Mo-Tech Industries;;1;1
Motor Centrum West B.V.;;2;2
Motorhuis Velserbroek BW;;1;1
Motrac Intern Transport B.V.;;4;4
Moventor Oy;;1;1
Mulder Motoren B.V.;;1;1
Multi-Post Mail Systems B.V.;;2;2
Munckhof Regie;;3;3
Munters Netherlands B.V.;;2;2
N.A. van den Hoven & Zonen B.V.;;2;2
N.V. Autobusbedrijf Curaþao;;1;1
Napa B.V.;;1;1
Nationaal Parachutisten Centrum Teuge B.V.;;1;1
NATO Shape Supreme Headquarters Allied Powers;;1;1
NATO Support Agency ORG.INTERNAT (NSPA);;5;5
Natuurbeheer Limburg;;1;1
Ned. Org. voor toegep.-nat.wetensch. ond. TNO;;1;1
Nederlands Loodswezen B.V.;;1;1
Nefkens Rent;;1;1
Neopost;;1;1
Netherlands Defense Traffic Bureau;;2;2
Netherlands Liaison Office;;1;1
Netherlands Training Detachment;;1;1
NGT Corp Coverall Service Company;;1;1
Nijwa Groep B.V.;;2;2
Nijwa Rijssen;;2;2
Nivi Credit S.r.l.;;1;1
NLTD Fort Rucker;;1;1
Noord Holland Inbouw B.V.;;1;1
Noorderpoort;;1;1
Norbase A.S.;;3;3
Norwegian Defence Forsvarets regnskapsadministrasjon;;6;6
Omnimark B.V.;;1;1
Ontvanger van de Boetes;;1;1
Orange Blue Terminals B.V.;;4;4
P&O Ferries;;1;1
P&O North Sea Ferries Limited;;2;2
PAK Aanhangwagens B.V.;;1;1
Paracentrum Texel B.V.;;1;1
Parkeeraccomodaties Tjerk Hiddes W.N. Meurs V.O.F.;;1;1
Parket van de procureur des Konings;;1;1
Park-line B.V.;;1;1
Pa's Car Care B.V.;;1;1
Paul van Empel Presentatiesystemen;1;;1
PB Tankcollect;;1;1
PECOFacet (Holland) B.V.;;1;1
Peinemann Heftrucks B.V.;;7;7
PEMAR Technische Groothandel B.V.;;1;1
Peter Claassen Inbouwstation B.V.;;1;1
Pijnappel Aanhangwagens B.V.;;1;1
Pink Aviation Services Luftverkehrsunternehmen Gesellschaf m.b.H. & Co. KG.;;6;6
Polizeipraesidium Rheinpfalz Zentrale Bussgeldstelle;;1;1
Polizia Locale Comune di Sonnino;;1;1
Polymax Industrietechniek B.V.;;2;2
Pon Dealer B.V.;;1;1
Pon's Automobielhandel B.V.;;3;3
PortGround GmbH;;1;1
Prestige Ford;;1;1
Pricewaterhousecoopers Accountants N.V.;;4;4
Profile Tyrecenter ABI;;1;1
Profile Tyrecenter Truck Europe N.V.;;1;1
Profile Tyrecenter-Friese Bandenservice;;1;1
Protempo B.V.;;1;1
Prowin Motors N.V.;;1;1
Pyroban Benelux B.V.;;1;1
R. E. Yrausquin & Sons (Aruba ) NV;;1;1
RAC Norway AS;;1;1
RÃƒÂ¼ttchen Automotive, vest. bedr.auto's Breda;;2;2
Ram Mobile Data (Netherlands) B.V.;;1;1
Randstad;;4;4
Rederij Wadden Transport;;2;2
Regierungsprõsidium Kassel;;1;1
Republic Services;;1;1
Rhenus Air B.V.;;8;8
Ridgeway International Canada Inc.;;3;3
Riwal Hoogwerkers B.V.;;1;1
Robetex;;1;1
Rocar-Tech Garage equipment B.V.;;1;1
RT'S Sales & Services B.V.;;2;2
Rustad transport AS.;;3;3
Sahouri Insurance & Financial Inc.;;1;1
Scania Nederland B.V.;;3;3
Schadeherstel Roland Poppe;;1;1
Schenker Italiana S.p.A.;;4;4
SCHERPENHEUVEL SPUITINR NV;;1;1
Schiphol Nederland B.V.;;3;3
Schopf Maschinenbau GmbH;;2;2
Schot Verticaal Transport B.V.;;4;4
Schotpoort Connect B.V.;;7;7
Schouten Spijkenisse B.V.;;1;1
Schouten Tiel B.V.;;1;1
Schouten Utrecht B.V.;;1;1
Scooters Bonaire;;1;1
Scott Specialty Gases Netherlands B.V.;;1;1
Sealane Terminals B.V.;;4;4
Seguros Brouwer N.V.;;3;3
Seko Benelux B.V.;;7;7
Sert Life Support;;1;1
SGS Nederland B.V.;;1;1
Sheriff Towing & Wrecker Service N.V.;;1;1
Shield Logistics;;3;3
Simon Schram Motors;;1;1
Sixt B.V.;;4;4
Sixt Rent a Car Limited;;1;1
Smeets M.B. Eindhoven B.V.;;1;1
Smeets M.B. Zuid-Limburg B.V.;;1;1
Smith Mechanical;;1;1
Sovial-Sociedade de Viaturas de Alu Avis budget group;;1;1
Sovial-Sociedade de Viaturas de Alu Lda Avis budget group;;1;1
Spijkstaal International B.V.;;1;1
Spliethoff's Bevrachtingskantoor B.V.;;3;3
Square Garden Upholstery;;1;1
Stadt Kelsterbach;;1;1
Stadt Oberhausen;;1;1
Stadtverwaltung Koblenz Ordnungsamt;;1;1
Staples Advantage Dept DC;;1;1
Steder Group B.V.;;5;5
Stena Line B.V.;;1;1
Stena Line Scandinavia AB;;4;4
Stern Auto;;4;4
Stern Auto B.V.;;2;2
SternRent B.V.;;6;6
Stertil B.V.;;2;2
Stevens Auto-Elektron. en Diesel/Hydr. V.O.F.;;1;1
Stg. Hist. Verzameling Grondgeb. Luchtverded.;;1;1
Stg. St. Prot. Geestel. Verz. b.d. Krijgsm.;1;;1
Stg. Vrouwenfed. Milli GÃ¶rÃ¼s Nrd.-Nederl.;1;;1
Stichting Drakenburg;1;;1
Stichting Sportschool Body Shape;;2;2
Stichting Vliegwerk Seppe;;2;2
StõdteRegion Aachen Der Stõdteregionsrat;;1;1
Stokvis Equipment (Nederland) B.V.;;2;2
Suite novotel Den Haag City Centre;1;;1
t Oude Tolhuys B.V.;1;;1
T&T Mobility;;1;1
Tankstation Drok B.V.;;1;1
Taxibedrijf Van der Wijst;;4;4
Technisch Bureau Magema B.V.;;3;3
Technische Centrale;;2;2
Technische Unie B.V.;;1;1
Technocon;;1;1
Tempo-Team Professionals B.V.;;1;1
Tent en Zeilmakerij De Mos;;1;1
Terberg Specials B.V.;;1;1
Terberg Techniek IJsselstein;;1;1
Teunis Industrietechniek B.V.;;1;1
Textielhandel J. Willemse;;1;1
Th³ringer Polizei;;1;1
THE BRIDGE GENERAL TRADING & CONTRACTING COMPANY. WLL;;5;5
The Freedom Machines N.V.;;1;1
The Hartford;;1;1
The Hashemite Kingdom Of Jordan;;1;1
The Royal Netherlands Airforce Deta;;1;1
Thermo King Transportkoeling B.V.;;1;1
TIP Trailer Services Netherlands B.V.;;4;4
Titan Containers B.V.;;2;2
TNT Express Nederland B.V.;;6;6
Tobias Fiscaal;;1;1
Top Drive;;1;1
Topcar NV;;1;1
Toplight Chartering;;7;7
Topmoto B.V.;;1;1
Total Care Wagon Management B.V.;;4;4
Toyota Material Handling Nederland B.V.;;2;2
Traktiebatterijen Nederland B.V.;;1;1
Transatlantic Project & Contract Cargoes AB;;6;6
Transmo B.V.;;1;1
TRANSWAGGON Gesellschaft mit beschrõnkter Haftung;;6;6
Trim-Line of Holland B.V.;;1;1
Triorep B.V.;;1;1
Tri-State Motor Transit;;2;2
Tri-State Motor Transit Co;;4;4
Tri-Wall Europe Limited;;1;1
Tromso Havn;;1;1
Truckland Heerhugowaard;;1;1
Truckstop Acht B.V.;;1;1
TTS Swifterbant;;2;2
Turkmenhowayollary State Civil Aviation Department;;1;1
Twisk Truck Service Alkmaar;;2;2
Tyco Integrated Security LLC;;2;2
UAB CENTRINIS KLAIPEDOS TERMINALAS;;2;2
UAB Storent;;1;1
UAS Baarn;;4;4
Uline;;1;1
Ultra Service B.V.;;1;1
United Healthcare Insurance Company;;2;2
United Parcel Service Nederland B.V.;;1;1
UPS Freight;;1;1
Ustranscom-SG;;4;4
v.d. Linden v. Sprankhuizen Bedrijfsw. B.V.;;2;2
v.d. Vlist Speciaal- en Zwaartransport B.V.;;7;7
Valkenhuizen Exploitatie;;1;1
Van Breemen Onroerend Goed B.V.;;2;2
Van den Corput All Office B.V.;;1;1
Van den Dungen Veghel B.V.;;1;1
Van der Donk, Visual Art & Design;;1;1
Van der Veer Media;;1;1
Van der Werf Jelsum B.V.;;1;1
Van Hooft Bedrijfswagen Veghel B.V.;;2;2
Van Mossel West B.V.;;1;1
Van Poelgeest Hilversum B.V.;;2;2
Van Tilburg-Bastianen DAF B.V.;;3;3
Van Vliet Parts B.V.;;1;1
Vanderkooij Telecommunicatie B.V.;;1;1
VanDoClean B.V.;;1;1
VCK Logistics;;5;5
VDL Bus Venlo B.V.;;2;2
VDP;;1;1
Veekro Bedrijfswagens;;2;2
Veghelse Truck & Trailer Service B.V.;;1;1
Veldhuizen B.V.;;1;1
Venequip Curacao N.V.;;1;1
Verbrugge Marine B.V.;;2;2
Verbrugge Zeeland Terminals B.V.;;2;2
Vereniging van Automobieltechnici ATC;;1;1
Vervaet-van Weele B.V.;;1;1
VHD Alarmcentrale;;1;1
Victory Packaging;;1;1
Visser B.V.;;2;2
Volkswagen Leasing B.V.;;1;1
Volvo Group The Netherlands B.V.;;2;2
Volvo Truck Center Almere;;1;1
Wagenborg Nedlift;;6;6
Wagon Care B.V.;;6;6
Wash Drive In Horsterweg V.O.F.;;1;1
Washmobile V.O.F.;;1;1
Washplan-Ned.;;1;1
Waterlogic East LLC;;1;1
Weda B.V.;;1;1
Wensink;;1;1
Wensink Assen;;1;1
Wensink Automotive B.V.;;3;3
Werklust Holland B.V.;;1;1
WESTERN TRADING;;1;1
Wiba Zevenaar B.V.;;2;2
WIERSEMA & VAN WOUWE BV;;1;1
Wurth Elektronik Nederland B.V.;;2;2
Yamaha Motor Europe N.V.;;5;5
Ype Kramer Autocentrum;;1;1
Z.A.M. Zeister Automobiel Maatschappij B.V.;;1;1
Zenith Collections;;1;1
Anoniem 54;;2;2
Anoniem 71;;2;2
Anoniem 132;;2;2
Anoniem 227;;2;2
Anoniem 323;;1;1
Anoniem 324;;1;1
Eindtotaal;3;11;11
