Leveranciers;1000 - Personele exploitatie overig;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1160 - Personeelsevenementen, bijeenkomsten en recepties;1180 - Reis & verblijfskosten;Eindtotaal
Congrex Switserland Ltd;;;;;1;;;1
Congrex Switzerland Ltd. c/o ECCMID 2017;;;;;1;;;1
Connexxion Taxi Services B.V.;;;;;;;2;2
Conny Janssen Productions;;;;;2;;;2
Coosto B.V.;;;;;1;;;1
Cor Loopbaancoaching & Training;;;;;1;;;1
Corinor Organisatieontwikkeling B.V.;;;;;2;;;2
Cormet Enjoy the Good Life B.V.;;;1;;;;;1
Corn.-Stone Marketing & Sales Programmes B.V.;;;;;1;;;1
Corona Hotel;;;;;;;1;1
Corporate Communication Centre B.V.;;;;;1;;;1
Corporate-Tribes;;;;;1;;;1
Corpus Experience Beheer B.V.;;;1;;;;;1
Corrie Noom Advies;;;;;1;;;1
CQT Zorg & Gezondheid B.V.;;;;;1;;;1
Crisicom B.V.;;;;;1;;;1
Crisisplan B.V.;;;;;1;;;1
Croissanterie Aad de Groot B.V.;;;1;;;;;1
Croissanterie 'de Snor' Beheer B.V.;;;1;;;;;1
D3P ADVISEURS;;;;;1;;;1
Dado Nederland;;;1;;;;;1
Dagelijks Lekker B.V.;;;1;;;;;1
Dapper's Kantoorvakhandel B.V.;;;1;;;;;1
DARA B.V.;;;1;;;;;1
Data Ventures Europe B.V.;;;;;2;;;2
Datawyse;1;;;;;;;1
De Academy B.V.;;1;;;;;;1
De Argumentenfabriek B.V.;;;;;3;;;3
De Baak Administratie;;;;;2;;1;2
De Baak B.V.;;;;;2;;;2
De Baak BV alle vestigingen (incl. BTW);;;;;1;;;1
De Ballonnenwinkel;;;1;;;;;1
De Bergse Bossen;;;1;;;;;1
De Beurs Advies & Bemiddeling;;;;;1;;;1
De Bierkelder Utrecht;;;1;;;;;1
De Blauwe Kamer B.V.;1;;;;;;;1
De Boerinn B.V.;;;1;;;;;1
De Branding Utrecht B.V.;;;1;;;;;1
De Eetmevrouw;;;;;1;;;1
De Eeuwige Lente;;;1;;;;;1
De Griffel V.O.F.;;;1;;;;;1
De Hofnar Scheveningen B.V.;;;1;;;;;1
De Holland Winkel;;;1;;;;;1
De investeringsmaatschappij;;;;;1;;;1
De Kaag V.O.F.;;;1;;;;;1
De Kampanje;;;1;;;;;1
De keuken van Thijs;1;;;;1;;;1
De Kookfabriek Utrecht B.V.;;;1;;;;;1
De Landgoederij B.V.;;;1;;;;;1
De Massagestoel;1;;;;;;;1
De Nieuwe Pelgrim;;;1;;;;;1
De Nonnen in Vught;;;;;2;;;2
De OntwikkelAcademie;;;;;1;;;1
De Peer Horeca B.V.;;;1;;;;;1
de Persgroep Nederland B.V.;;;1;;;;;1
De Redactie;;;;1;;;;1
De Taaltrainer;;;;;1;;;1
De Tombe Consultancy B.V.;;;;;1;;;1
De Totem crossmediale Commun. en vormgeving;;;;;1;;;1
De Utrechtse Haven B.V.;1;;1;;;;;1
De Utrechtse Watertoren B.V.;;;1;;;;;1
De Vierstroom;;;;;1;;;1
De Vliegershop;;;1;;;;;1
De Vuursche Kabouters B.V.;;;1;;;;;1
De Zwarte Vosch B.V.;;;1;;;;;1
Debatrix;;;;;1;;;1
DeCongresbalie;;;;;1;;;1
Deerns Nederland B.V.;;2;;;;;;2
Defabrique Evenementen B.V.;;;1;;;;;1
Defacto Software B.V.;;;;;1;;;1
Dekkers & van Amersfoort B.V.;;;1;;;;;1
DEKRA Certification B.V.;;2;;;;;;2
DEKRA Solutions B.V.;;;;;1;;;1
Dekxels B.V.;;;1;;;;;1
Delft Congress Support B.V.;;;;;1;;;1
Deloitte Accountants B.V.;;2;;;;;;2
Den Haag Marketing;;;2;;;;;2
Denk Producties B.V.;;;;;1;;;1
denkmodell GmbH;;;;;2;;;2
Develop Inc. B.V.;;1;;;;;;1
DFG;;;;;1;;;1
Di Pavone;;;1;;;;;1
DIA EUROPE;;;;;1;;;1
DIA Europe B.V.;;;;;2;;;2
DIA USA  Drug Information Asso;;;;;1;;;1
Diabetesvereniging Nederland;;;1;;;;;1
DiaVentie Management Consulting;;;;;1;;;1
Die Akademie Fresenius GmbH;;;;;1;;;1
Dierenpark 'Amersfoort' B.V.;;;1;;;;;1
Diner Thuis;;;1;;;;;1
Dish B.V.;;;1;;;;;1
DMG Services;;;1;;;;;1
DNV GL Limited;;;;;1;;;1
DNV GL Limited (Eurofacturen);;;;;1;;;1
docdata payments B.V.;;;;;1;;;1
Doenederland.nl B.V.;;;1;;;;;1
Dokteranders Jan Fossen;;;;;1;;;1
DOMINCO Digital Marketing & Communicatie;;;;;1;;;1
Domstad Evenementen B.V.;;;1;;;;;1
Dona Pessy Live Music & More;;;1;;;;;1
Dorien van den Tol;;;1;;;;;1
DRIIVN B.V.;;1;;;;;;1
Drs. G.J. v.d. Spek Comm.train. & Tekstadv.;;;;;1;;;1
DSA Express Nederland B.V.;;;;;;;1;1
DSRU Educ.& Res.Lim.;;;;;1;;;1
Dudok Den Haag B.V.;;;1;;;;;1
Dukino Business Events;;;1;;;;;1
DVG Personenvervoer;;;;;;;2;2
Dzb Partycatering B.V.;;;1;;;;;1
E & F Catering;1;;;;;;;1
EAACI;;;;;1;;;1
Ebbinge & Company International Holding B.V.;;;;;1;;;1
Echo Trainingen;;;;;1;;;1
ECNP Congress. Stichting;;;;;1;;;1
Eduvision B.V.;;;;;1;;;1
Eetcafe Cloos;;;1;;;;;1
Eet-Idee Boederijwinkel  Quaedvlieg;;;1;;;;;1
Efficiency Expert;;;;;1;;;1
El Niño B.V.;;;1;;;;;1
El Olivo;;;1;;;;;1
Elenchis;;;;;1;;;1
Elroycom;;;1;;;;;1
Elsevier BV;;;;;1;;;1
Elsevier Journals Customer Services (Euro);;;;;1;;;1
Elycio B.V.;;;;;1;;;1
Elycio Talen;;;;;1;;;1
Elycio Talen B.V.;;;;;2;;;2
EMC & Vergouwen Overduin;;;;;1;;;1
Emeritor Procurement Services B.V.;;2;;;;;;2
EnableMi B.V.;;2;;;;;;2
Enginar B.V.;;;1;;;;;1
Enof creatieve communicatie B.V.;;;;;1;;;1
Ensior B.V.;;;;;1;;;1
Entertainmentservice Langenberg E.S.L.;;;1;;;;;1
Entopic B.V.;;;;;1;;;1
Ergatis B.V.;;2;;1;;;;2
Erminio Ballerini;;;;;;;1;1
Ernst & Young Nederland LLP;;3;;;;;;3
Ernst Sillem Hoeve B.V.;;;1;;;;;1
Escape Challenge B.V.;;;1;;;;;1
Escape World Waterlooplein B.V.;;;1;;;;;1
Escaping NL B.V.;1;;;;;;;1
ESMO;;;;;1;;;1
Esomar B.V.;;;;;1;;;1
Esri Nederland;;;;;1;;;1
Etiquette Bureau;;;;;1;;;1
eTurn Internet Services;;;;;1;;;1
Eurocarpets B.V.;;;;;1;;;1
Euroforum;;;;;2;;;2
EuroHealthNet;;;;;2;;;2
European Biosafety Association alle vestigingen (ook landen);;;;;1;;;1
European Health Management Association (EHMA);;;;;1;;;1
European Society for Periodical Research;;;;;1;;;1
European Survey Research Association;;;;;1;;;1
Eurordis - Rare Diseas Europe;;;;;;;1;1
EUROVIR;;;;;1;;;1
Evers Research & Training;;;;;1;;;1
evofenedex;;;;;1;;;1
Experienze Coaching & Consulting;;;;;1;;;1
ExplainiT;;;;;1;;;1
Explainit Company;;;;;1;;;1
ExplainIT Special Accounts B.V.;;;;;1;;;1
Exploit. Maatsch. De Nwe Poort Amsterdam B.V.;;;;;1;;;1
Exploitatie Hotel Zeestraat Den Haag B.V.;;;1;;;;;1
Falck Eurasia B.V.;;;;;1;;;1
Falck Prevention B.V. (alle vestigingen);;;;;1;;;1
Farma & Recht. Vereniging;;;;;1;;;1
Fed. v. Gezondh.psychol. en Psychotherapeuten;;;;;1;;;1
Feedback Training & Consulting B.V.;;;;;1;;;1
FEM Products;;;;;1;;;1
Fepa Horeca B.V.;;;1;;;;;1
Fico Urban Italian;;1;;;;;;1
Fietje Schelling;;;;;1;;;1
Fiori Project B.V.;;;1;;;;;1
Firma Hof der Muzen;;;2;;;;1;2
First 1 Bedrijfsfitness B.V.;;1;;;;;;1
Fish & Me;;;1;;;;;1
Fletcher Hotel Restaur. Loosdrecht-Amsterdam;;;2;;;;;2
Fletcher Hotel-Restaurant De Kempen;;;;;;;1;1
Fleuriebelli;1;;;;;;;1
Flitz-events;1;;;;;;;1
Floor B.V.;;;1;;;;;1
Florent;;;1;;;;;1
Flori�nt Express B.V.;;;1;;;;;1
Flowers4u;;;1;;;;;1
Flycatcher Internet Research B.V.;;1;;;;;;1
Flying Elephants;;;;;1;;;1
Focus Nederland BV (alle vestigingen);;;;1;;;;1
Fondation Mérieux;;;;;1;;;1
Foodzie;;;1;;;;;1
Fort Evenementen;;;;;1;;;1
Fortune Factory B.V.;;;1;;;;;1
Fox-IT;;;;;1;;;1
Fox-IT Group;;1;;;;;;1
Francisca Rosner, Art and the City;;;;;1;;;1
Freys Hyrverk Stockholm AB;;;;;;;1;1
FREZON;;;1;;;;;1
FRISS entertainment;;;1;;;;;1
Frits Philips Jr. & Partners B.V.;;;;;2;;;2
Front>on Bestuur-/managementbegeleiding B.V.;;1;;;1;;;1
FYNCH BV;;;1;;2;;;2
Fysergo B.V.;1;;;;;;;1
G. Bakker en Zn. B.V.;;;1;;;;;1
Gartner Espana, S.L.;;;;;1;;;1
Gartner Nederland B.V.;;3;;;1;;;3
Gauchos Franchise Den Haag B.V.;;;1;;;;;1
Gebr. Barendsen B.V.;;;2;;;;;2
gefeliciTAART B.V.;;;1;;;;;1
Gem. Utrecht IBF Ontvangsten;;;1;;;;;1
Gesellschaft für Anlagen- und Reaktorsicherheit GmbH;;;;;1;;;1
Gesundheit Osterreich Forschungs- und Planungs GmbH;;;;;1;;;1
Get out of here B.V.;1;;;;;;;1
get the laugh flow;;;1;;;;;1
Gevoel voor de zaak H.M. de Loor - Organisatiecoaching;;;;;1;;;1
GGZherstel;;;;;1;;;1
Gids in Bedrijf;;;;;1;;;1
GITP B.V.;;;;1;1;;;1
GITP Training & Opleiding B.V.;2;;;;2;;;3
GJM Communicatie B.V.;;;;;1;;;1
Glazen Zaal;;;1;;;;;1
Global Knowledge;;;;;1;;;1
Global Knowledge Network Netherlands B.V.;;;;;3;;;3
Glow Golf Scheveningen B.V.;;;1;;;;;1
Go B.V.;;;;;1;;;1
Goal!Coaching;;;;;1;;;1
Goede Mynott Holding B.V.;;;1;;;;;1
Golden Tulip Hotel Central;;;;;;;1;1
Golden Tulip Hotel De Reiskoffer;;;;;1;;;1
Golden Tulip Zoetermeer;;;;;;;1;1
Golfbaan Bentwoud B.V.;;;1;;;;;1
Goris Buitenprojecten;;;1;;;;;1
Gouden Pakket B.V.;;;1;;;;;1
Goudsteen & Company B.V.;;;;;1;;;1
GrachtenAtelier;;;1;;;;;1
Grand CafÃ© Soestdijk B.V.;;;1;;;;;1
Grand Cafe Silva Ducis B.V.;;;1;;;;;1
Grand Central Food Market B.V.;;;1;;;;;1
Grand Hotel Karel V Utrecht;;;1;;;;;1
Grandcafé De Wens B.V.;;;1;;;;;1
Granny's Corner;;;1;;;;;1
Greve & 't Hart Talentontwikkeling;;;;;1;;;1
Groen Flora B.V.;;;1;;;;;1
Groeneveld Horeca B.V.;;;1;;;;;1
Gusto Mangia e Bevi;;;1;;;;;1
H.B. Banket B.V.;;;1;;;;;1
Haaglanden BV. Opleidingscentr;;;;;1;;;1
Haagse Tours;;;1;;;;;1
Hackwise;;;;;1;;;1
Hallmark Cards Nederland;;;1;;;;;1
Hampshire Exploitatie I B.V.;;;;;;;1;1
Hanneman de Toerist B.V.;;;1;;;;1;1
Hanstede Consultancy;;;;;1;;;1
Happy Copy B.V.;;;1;;;;;1
Harriet Aans;;;;1;;;;1
HaskoningDHV Nederland B.V.;;1;;;;;;1
Health2Work B.V.;;1;;;;;;1
Healthcare & Information & Management Systems Society;;;;;1;;;1
Healthcare Conference Administrators LLC;;;;;1;;;1
Healthy Life LAB;;1;;;;;;1
Heel Puur;;2;;;;;;2
Heerlijk Anders;;;1;;;;;1
Heilig Vuur;;;;;1;;;1
Hein Post Wijnen Gastronomie;;;1;;;;;1
Helder Werk B.V.;;2;;;;;;2
Helming Coaching en Advies;;;;;1;;;1
HEMA Bakkerijen B.V.;;;1;;;;;1
Hennekes Preventie en Re�ntegratie;;1;;;;;;1
Het Bolwerck;;;1;;;;;1
Het Chocolade Huis;;;1;;;;;1
Het Effectieve Werken B.V.;;;;;1;;;1
Het Groene Paleis B.V.;1;;;;;;;1
Het Heden;;;1;;;;;1
Het Kabinet, Eten en Drinken;;;1;;;;;1
Het Kookplein;;;2;;;;1;2
Het Lokaal B.V.;;;1;;;;;1
Het Nederlands Openluchtmuseum;;;1;;;;;1
Het Wil Konsult;;;;;1;;;1
Het Zuiden F.G.;;;1;;;;;1
Hewlett-Packard Nederland B.V.;;;;;1;;;1
HFM Bovaco B.V. alle vestigingen;;;;1;;;;1
Hiemstra & De Vries B.V.;;;;;1;;;1
High Five Health Promotion B.V.;1;3;;;2;;;4
HIMSS;;;;;;;2;2
HMSHost Nederland B.V.;;;1;;;;;1
Hoezo Proj.manag. & Congresorganisatie B.V.;;;;;1;;;1
Hofje van Pauw;;1;;;;;;1
Hofstad Events B.V.;;;1;;;;;1
Hogeschool NOVI B.V.;;;;;2;;;2
Hogeschool Utrecht;;;;;2;;;2
Hogeschool van Amsterdam;;;;;1;;;1
Holding Beheermaatschappij Ropeni B.V.;;;2;;;;;2
Holland Evenementen Groep B.V.;1;;;;;;;1
Holland Maritime Services B.V.;;;1;;;;;1
Hollandse Hoogte B.V.;;;;;1;;;1
Hooggevoelig heel gewoon;;;;;1;;;1
Hoogland & Co B.V.;;;;;1;;;1
Horecapa B.V.;1;;;;;;;1
Hotel Contact B.V.;4;;3;;1;;4;5
Hotel 'De Sniep' B.V.;;;1;;;;;1
Hotel DOM;;;1;;;;;1
Hotel Rotterdam-Blijdorp B.V.;;;1;;;;;1
Hotel Schylge B.V.;;;;;1;;;1
Hotel-Caf�-Restaurant De Biltsche Hoek;;;1;;;;;1
Hotel-Restaurant Sterrenberg Otterlo B.V.;;;;;1;;;1
House of Lords B.V.;;;1;;;;;1
Houthoff Training & Coaching;;;;;1;;;1
Houwing van Beek notarissen;;1;;;;;;1
Hudson Danzig B.V.;;;1;;;;;1
Huis ten Haghe;;;1;;;;;1
Huize Molenaar B.V.;;;1;;;;;1
Humor in Bedrijf;;;;;1;;;1
Humphrey's Den Haag B.V.;;;1;;;;;1
Hylke Bonnema;;;;;1;;;1
I.F. Rivers Enterprises N.V.;;;;;;;1;1
iBabs B.V.;;;;;1;;;1
ICM Holding B.V.;;;;;1;;;1
ICM Opleidingen & Trainingen B.V.;;;;;2;;;2
IFAH-EUROPE;;;;;1;;;1
Igor Design B.V.;;;1;;;;;1
IIR Limited;;;;;2;;;2
IK overtref me;;;;;1;;;1
IKNL;;2;;;;;;2
Il Pomodoro;;;1;;;;;1
Il Pozzo B.V.';;;1;;;;;1
Imare;;;;;1;;;1
Imbarcazione Barone;;;1;;;;;1
IMK Opleidingen B.V.;;;;;1;;;1
Impulsus Personal Quality & Results;;;;;2;;;2
Impulsus, Support & Facilities B.V.;;;;;2;;;2
In Verbinding, Academie voor Geweldloze Comm.;;;;;1;;;1
In2Content B.V.;1;1;;;1;;;2
InBetween Gifts;;;1;;;;;1
Inclusief Gresbo;;;1;;;;;1
Indiaas Restaurant Taj Mahal;;;1;;;;;1
Indisch Restaurant Garoeda;;;1;;;;;1
Ineke Swart;;2;;;;;;2
Ingram Micro Distribution GmbH;;;;;1;;;1
Innovation/Change/Participation;;;;;1;;;1
Innovero Software Solutions B.V.;;;;;1;;;1
InsightsWorld B.V.;;;;;2;;;2
Inspearit BV;;;;;2;;;2
Inspiration Company Nederland B.V.;;;;;1;;;1
