Leveranciers;1000 - Personele exploitatie overig;1110 - Verhuiskosten personeel binnen- en buitenland;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1160 - Personeelsevenementen, bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis & verblijfskosten;1-Personele exploitatie
Arjen de Groot Muziekproducties;;;;;;;1;;;1
Arjo Huntleigh Nederland;;;2;;;;;;;2
Arnemuiden Huisartsenpraktijk;;;;;1;;;;;1
Aro dent tandtechniek;;;1;;;;;;;1
Array Publications;;;;;;1;;;;1
Arr-Com;;;;;;;1;;;1
Arsis Medical B.V.;;;1;;;;;;;1
Arthrex Nederland B.V.;;;2;;;;;;;2
Artiestenverloningen;;;;;;1;1;;;1
Artihove;;;2;1;;;;;;2
Artilex B.V.;;;1;;;;;;;1
Arts en Zorg;;;;;1;;;;;1
Artu Biologicals Europe B.V.;;;1;;;;;;;1
As A Bird;;;;1;;;;;;1
As Verdediging & Veiligheid;;;;;;1;1;;;1
Ascent Safety;;;;;;2;;;;2
Ascom;;;3;;;;;;;3
Asito;;;;;;;2;;;2
Assen Hotel;;;;;;;1;;;1
Astral cases;;;;;;;1;;;1
Astrid Sportprijzen;;;1;;;;;;;1
AT Computing;;;;;;2;;;;2
At Osborne;;;2;;;;;;;2
Atelier Rijswijck;;;;1;;;;;;1
Athlete.nl/Athleteshop;;;1;;;;;;;1
Atim Adviesbureau;;;;;;1;;;;1
Atlantis Wok & Partyrestaurant;;;;1;;;;;;1
ATO Bedrijfstrainingen;;;;;;1;;;;1
Atos Medical;;;1;;;;;;;1
Atria-Eindhoven Sportmassage Opleid;;;;;;;1;;;1
Attractiecentrum Zoetermeer;;;;1;;1;1;;;1
Auberge De Zwaan;;;;;;;1;;;1
Authentiek Leiderschap;;;;;;2;;;;2
Autobedrijf P.W.Y. Zantingh;;;;1;;;;;;1
Autobedrijf van Dongen;;;;1;;;;;;1
Autogros Automaterialen;;;;1;;;1;;;1
Automaten Centrale NO;;;;;;1;;;;1
Autoschade Kraan Doorn B.V.;;;1;;;;;;;1
Autotron Rosmalen Exploitatie B.V.;;;;;;;1;;;1
Avans;;;;;;3;;;;3
AVD-ICT;;;;;;1;;;;1
Avex;;;;;;2;;;;2
AVT Advance Voice Technology;;;1;;;;;;;1
Axitraxi;;;;1;;;1;;;1
Axon Leertrajecten;;;;;;1;;;;1
A-Z Barbecue & Gourmet Party;;;;1;;;;;;1
A-Z Design;;;;1;;;;;;1
B&B Handelsonderneming;;;;1;;;;;;1
B&S Autoaanpassing en Research;;;1;;;;;;;1
B. Braun Medical;;;1;;;;;;;1
B. Knol Verkeersschool;;;1;;;;;;;1
B.L. Mulder BV;;;;;;1;;;;1
B.V. Motor-Parts Etten-Leur;;;;;;;1;;;1
B.V. Tilburgsche Uniformkleermakeri;;;;1;;1;;;;1
B+B Vakmedianet;;;;;;1;;;;1
B4Concepts Management & Advies;;;;;1;;;;;1
Babbels;;;;1;;;;;;1
Babel Taleninstituut;;;;;;1;;;;1
B-Active;;;;;;;1;;;1
Badge Promotions;;;;1;;;;;;1
Badges Unlimited;;;;1;;;;;;1
Bakker Allard Jacobs;;;;1;;;;;;1
Bakker Bedrijfswagens (incl. De Koppel);;;;;;;1;;;1
Bakker Geluidsverhuur;;;;;;1;;;;1
Bakkerij Alkemade;;;;1;;;;;;1
Bakkerij Bos;;;;1;;1;;;;1
Balans & Impuls;;;;;;1;;;;1
BAMW Beroepsregister voor agogen en maatschappelijk werkers;;;1;;;;;;;1
Bandzoeker.nl;;;;1;;;;;;1
Bank, R.G. huisartsenpraktijk;;;;;1;;;;;1
Banketbakkerij Gosselaar;;;;1;;;;;;1
Banketbakkerij Theo Blom;;;;1;;;;;;1
Bap & van den Brule (incl. Passion for flowers);;;;1;;;;;;1
Barlucca;;;;;;1;;;;1
Bart Bloemwerken;;;;1;;;;;;1
Bart Neuvel Music;;;;1;;;;;;1
Bart Smit;;;;1;;;;;;1
Bart van Well bloemsierkunst en;;;;1;;;;;;1
Bas Ballonvaarten;;;1;;;;;;;1
BAS Truck;;;;;;;1;;;1
Basecamp;;;;1;;;;;;1
Basko Healthcare;;;1;;;;;;;1
Bastion Hotels;;;;;;;1;;;1
Batavia Restaurant;;;;1;;;;;;1
Bauerfeind Benelux B.V.;;;2;;;;;;;2
Bavaria (Extinguisher);;;;1;;;;;;1
Bax Juwelier Goudsmid B.V.;;;;1;;;;;;1
Bax Verkeersscholen;;;;;1;1;;;;1
Bax-Shop.nl;;;;1;;1;;;;1
BBN Adviseurs;;;;;;1;;;;1
BCC Electro-Speciaalzaken;;;;;1;1;1;;;1
BCD Travel;;;;1;;4;;;9;9
BCM Academy;;;;;;1;;;;1
Beau4Nails;;;;;;;1;;;1
Beauvert kunstflora;;;;1;;;;;;1
Beckman Coulter;;;1;;;1;;;;1
Becton Dickinson;;;1;;;;;;;1
Bedaux Bookings;;;;;;;1;;;1
Beeldengieterij Tenax;;;;1;;;;;;1
Beglobal;;;;1;;1;;;;2
Bekerhuis Lambregts;;;;1;;;;;;1
Belimed;;;1;;;;;;;1
Bellevue Groothoofd Hotel Culinair;;;;1;;;;;;1
Bellshape;;;;;;1;;;;1
Belvedair;;;;1;;;;;;1
Benegas;;;;;;1;1;;;1
Bent Sports;;;;;;;1;;;1
Berends Bloemsierkunst & Groendecor;;;;1;;;;;;1
Berendsen Textiel Service;;;1;;;;;;;1
Berghauser Pont;;;;;;1;;;;1
Bergman Bakkerij;;;;1;;;;;;1
Bergslot;;;;1;;;;;;1
Berlitz;;;;;;1;;;;1
Bertico;;;;1;;;;;;1
Besseling Vervoert;;;1;;;;1;;;1
Bestsales;;;;2;;;1;;;2
Beter Horen;;;;;;1;;;;1
Betonvereniging;;;;;;;;1;;1
Betsema & Zn Scheepsmotoren;;;;;;1;;;;1
Bever Zwerfsport;;;;1;;;1;;;1
Bevrijdingsmuseum Zeeland;;;;1;;;;;;1
Bewaakt & Bewoond;;;;1;;;;;;1
Bewegen Werkt B.V.;;;;;;1;;;;1
BHV Centrale;;;;;;1;;;;1
Biblionet;;;;;;1;;;;1
Bid Network;;;;;;1;;;;1
Biddinghuizen Huisartsenpraktijk;;;;;1;;;;;1
Bierbrouwerij de Koningshoeven;;;1;1;;;;;;1
Bierfabriek Delft B.V.;;;;1;;;;;;1
Biesbosch Jachthaven;;;;;;;1;;;1
Biga Groep (Sociale Werkgroep);;;;1;;;;;;1
Bijvang Consultancy;;;;;;3;;;;3
Bijvang Holding B.V.;;;;;;2;;;;2
Bilderberg Hotels;;;;2;;;;;;2
BIM Media;;;;;;1;;;;1
Binnen Grand Café-Restaurant;;;;;;1;1;;;1
Binnenstebuiten;;;;;;1;;;;1
BinQ;;;;2;;;;;;2
Biomedic Nederland;;;1;;;;;;;1
Biomet Nederland;;;1;;;;;;;1
Bionic Rob Coaching;;;;;;1;;;;1
Bioventus Co÷peratief U.A.;;;1;;;;;;;1
BIS Bedrijfs Informatie Systemen (incl. Correspondentie);;;2;;;;;;;2
Bison Bowling;;;;1;;;1;;;1
Bistro de Leckernij;;;;1;;;;;;1
Bizz Design;;;;;;2;;;;2
Bj÷rn & Marieke's Bloembinderij;;;;1;;;;;;1
BJU Boom Juridische Uitgevers (incl. Sun);;;1;4;;1;1;;;4
BKV groep;;;1;;;;;;;1
Blanchard International;;;;;;2;;;;2
Blankenburg Huisartsenpraktijk;;;;;1;;;;;1
Blankestijn en Partners;;;;;;1;;;;1
Blanks & Centralfab;;;1;;;;;;;1
Blauw Research;;;;;;1;;;;1
Blik-Opener (P/A the Hub);;;;;;1;;;;1
Bliss Hotel;;;;;;1;;;;1
Bloem en Plant Marijn Kroese;;;;1;;;;;;1
Bloem en Sfeer Boutique de 4-jaarge;;;;;;;1;;;1
Bloembinderij Amazing Flowers;;;1;1;;;;;;1
Bloembinderij Cees van Eijck;;;;1;;;;;;1
Bloembinderij Zwaan;;;;1;;;;;;1
Bloemen & Planten H. van Oest;;;;1;;;;;;1
Bloemen in Huis;;;;1;;;;;;1
Bloemenatelier Rob Martin;;;;1;;;;;;1
Bloemenboutique Nicole;;;;1;;;1;;;1
Bloemenhuis Acacia;;;;1;;;;;;1
Bloemenhuis Vink;;;;1;;;1;;;1
Bloemenmagazijn Aan De Zeven Alleetjes;;;;1;;;;;;1
Bloemenmeisje.nl (vh Jacqueline Learbuch);;;;;;;1;;;1
Bloemsierkunst Anneke Kapteyn;;;;1;;1;1;;;1
Bloemsierkunst Arts;;;;1;;;;;;1
Bloemsierkunst De Klerk;;;;1;;;;;;1
Bloemsierkunst De Roozelaar;;;;1;;;1;;;1
Bloemsierkunst Halfman;;;;1;;;;;;1
Bloemsierkunst Insulinde;;;;1;;;;;;1
Bloemsierkunst Irma Vissers;;;;1;;;;;;1
Blom Opleidingen;;;;;1;2;;;;2
Blom Verkeersveiligheidstrainingen;;;;;1;2;;;;2
Blommetje van Blom;;;;1;;;;;;1
Blomster De;;;;1;;1;1;;;1
Blooming Art;;;;1;;;1;;;1
Blooming Hotels;;;;;;1;;;;1
BMC Software;;;;;;1;;;;1
BME Bookings;;;;1;;;;;;1
BME Opleidingen;;;;;;1;;;;1
Bn De Stem;;;;;;;1;;;1
BO Motor-Oil;;;;;1;;;;;1
Bobbe Abonnementen;;;2;1;;1;1;;;2
Bob's Bloemen & Zo;;;;1;;;;;;1
Bocas;;;;;;;1;;;1
Body Empowerment;;;;;;1;;;;1
Body Style;;;1;;;;;;;1
Bodybow Healthcare;;;1;;;;1;;;1
Boek en Service;;;1;;;1;;;;1
Boeketterie Binnenweg;;;;1;;;;;;1
Boekhandel De Feeks;;;;1;;;;;;1
Boekhandel Kettenis;;;;;;1;;;;1
Boekhandel Plukker;;;;1;;1;;;;1
Boels Verhuur (incl. HuurMax);;;;1;;1;1;;;1
Boer Salades;;;;;;;1;;;1
Boerderij De Boterbloem V.O.F.;;;;;;;1;;;1
Boerensolexverhuur;;;;1;;;;;;1
Boertiengroep (incl. Ncatb);;;;;1;1;;;;1
Bogart BV;;;;2;;;;;;2
Bojo;;;;1;;;;;;1
Bol & Zwezerijnen Piano's & Vleugel;;;;;;;1;;;1
Bol.Com;;;1;5;;1;;;;5
Bombeeck Digital B.V.;;;;;;;2;;;2
Bo-mij Beheer (incl. Bo-rent);;;;1;;1;;;;1
Bongers;;;;1;;;;;;1
Bonheur Horeca Groep;;;;;;;1;;;1
Boni-Markten;;;;1;;;;;;1
Books-with-a-mission;;;;1;;;;;;1
Boom & Bos;;;1;;;;;;;1
Boom Laboratorium Leverancier Meppel;;;1;;;1;;;;1
Boomerang Beach (vh Billabong Beach);;;;1;;;;;;1
Boonstra Fysiotherapie;;;1;;;;;;;1
Bora Bora Strandpaviljoen;;;1;;;;;;;1
Bos;;;1;;;;;;;1
Bos Vlaggen;;;;1;;;;;;1
Bosan;;;1;;;;1;;;1
Bosbad Putten;;;1;;;;;;;1
BosBedrijfsOefentherapie;;;;;;1;;;;1
Bosch Rexroth;;;;;;2;;;;2
Bosman;;;2;;;;;;;2
Bosporus;;;;1;;;;;;1
Boston Scientific Nederland B.V.;;;1;;;;;;;1
Botenverhuur De Rijnstroom;;;;1;;;;;;1
Bouman Beveiligings Opleidingen;;;;;;1;;;;1
Boumans Juridisch Advies;;;;;;;1;;;1
Bouvigne Paradijs;;;;;;1;;;;1
Bouwend Ned Ver Bouw- En;;;;;;1;;;;1
Bouwforum;;;;;;1;;;;1
Bouwmaat;;;;2;;1;;;;2
Bouwradius Training & Advies;;;;;;1;;;;1
Bovi Salespromotion;;;;;;;2;;;2
Bowling & Partycentrum Breda;;;;1;;1;1;;;1
Bowling Overhees;;;;;;1;;;;1
BPP Professional Education (incl. MVP Markus Verbeek Praehep);;;;;;1;;;;1
Braad Sport;;;;;;1;;;;1
Brabant Sport- En Spelverhuur;;;;1;;;;;;1
Brabants-Zeeuwse Werkgeversvereniging;;;;1;;;1;;;1
Braderie Hoensbroek;;;;;1;;;;;1
Brady Groupe (incl. Seton, Transposafe);;;1;;;;;;;1
Brain Box Mediatraining;;;;;;1;;;;1
Brakel Atmos;;;1;;;;;;;1
Brand Interieurbouw en Aannemeningsbedrijf;;;;1;;;;;;1
Brandersstad Vuurwerk;;;;;;1;;;;1
Brandweer ASK;;;;1;;;;;;1
Brasserie La Meuse;;;;1;;;;;1;1
Brasserie Ome Bernard;;;;1;;;1;;;1
BRB Sound;;;;1;;;;;;1
Break Consultancy;;;;;1;;;;;1
Bredemeijer Group;;;;1;;;;;;1
Bredenoord Aggregaten;;;;1;;;1;;;1
Bredow Service;;;;;;1;;;;1
Brepo;;;1;;;;;;;1
Brink's Nederland;;;1;;;;;;;1
Brocante Grand Café-Brasserie;;;1;;;;;;;1
Broekhuis Bedrijfswagens;;;;;;;1;;;1
Broekhuis Boekhandel;;;;;;1;;;;1
Broekhuis Training Groep;;;;;1;;;;;1
Broer Producties;;;;;;1;;;;1
Bronko BV;;;;2;;;;;;2
Brood & Banketbakkerij Foerster;;;;1;;;;;;1
Broshuis B.V.;;;;;;;1;;;1
Brouwer Motors B.V.;;;;;;;2;;;2
Broze;;;;;;1;;;;1
Bruinsma Verkeersopleidingen;;;;;;2;;;;2
Bruna;;;;;;2;;;;2
Bruseco;;;1;;;1;;;;2
B's Sound Service;;;;2;;;;;;2
BSG Media Producties & AV Facilitei;;;;1;;;;;;1
BSI Group Management Systems;;;;;;2;;;;2
Buchrnhornen;;;1;;;;;;;1
Bucky's Grill en Cateringservice;;;;1;;;;;;1
Budels Medisch Centrum;;;;;1;;;;;1
Budowazasport;;;;;;1;;;;1
Buena Vista Beach Club;;;;;;;1;;;1
Buijtendijk IJzerhandel;;;;;;1;;;;1
Buiten Parkcafé;;;;1;;;;;;1
Buitengoed Hagenhorst;;;;;;1;;;;1
Buitenlust Restaurant;;;;;;;1;;;1
Buitenpoort catering;;;;1;;;;;;1
Bulthuis Truck- en Traileronderdelen;;;;;;;1;;;1
Buma Stemra;;;;;;;3;;;3
Bunkercentrum Dongemond BV;;;;;;;1;;;1
Bunzl Outsourcing Services;;;1;;;;1;;;2
Bureau Kruiswijk;;;;;;1;;;;1
Bureau MÚteau;;;;1;;1;;;;1
Bureau Renske Schulting;;;;;;1;;;;1
Bureau Veritas;;;2;;;1;;;;2
Bureaukalker;;;;;;1;;;;1
Burgemeester Jansen;;;;1;;;;;;1
Burgers Zoo;;;;2;;;2;;;3
Buro2010;;;;3;;;1;;;3
Buxus Ermelo;;;;1;;;;;;1
BV Sport;;;1;;;;;;;1
C & P Group;;;1;;;;;;;1
C.T.M. Odijk / A. Visser Huisartsen;;;;;1;;;;;1
Caalen Advies;;;;;;1;;;;1
CAAP;;;;;;1;;;;1
Cable Waterskicenter Brabant;;;1;;;;;;;1
CAD Accent;;;;;1;;;;;1
Cadettencorps;;;;1;;1;;;;1
Caesus;;;;1;;;;;;1
''Cafetaria Lunchroom ''''De Pruttelpot'''''';;;;1;;;;;;1
Cafe-Zaal Dennenoord;;;;1;;;;;;1
CAI Coördinerend Adviesbureau Informatie;;;;;;3;;;;3
CAIW Holding (incl. Caiway);;;1;;;;;;;1
Calumet Solutions/Photographic;;;1;;;;;;;1
Camping 't Loo BV;;;1;;;;;;;1
Campro Scientific;;;1;;;;;;;1
CAOP - Centrum Voor Arbeidsverhoudingen Overheidspersoneel;;;4;1;;2;2;;;4
Capabel Onderwijs Groep;;;;;1;1;;;;2
Caparis NV;;;2;;;;;;;2
Captain Cook's;;;;1;;;;;;1
Care Orthopedie;;;;;;;1;;;1
Carebo B.V.;;;;1;;;;;;1
CareFirst;;;3;;;;;;;3
CareFusion;;;2;;;;;;;2
Cargotec Netherlands;;;;;;;1;;;1
Caris Geographic Information;;;;;;1;;;;1
Carl Zeiss;;;1;;;;;;;1
Carlton Hotel;;;;1;;;;;;1
Carpe Fleur (Fleuri);;;;1;;;;;;1
Caseware;;;;;;1;;;;1
Cateringservice De Kroon;;;;1;;;;;;1
Cazander Medical B.V.;;;1;;;;;;;1
CB Centraal Boekhuis (incl. Facturatie);;;1;;;;1;;;1
CBizz;;;;;;;1;;;1
CCB-Groep;;;;;;1;;;;1
Cees Flowershop;;;;1;;;;;;1
Cees van der Horst Organisatie en Evenementen;;;;;;1;;;;1
Ceezicht Huisduinen;;;;;;;1;;;1
Cekumed b.v.;;;1;;;;;;;1
Celexon (incl. Beamershop24.nl);;;;;;;1;;;1
Cellworx;;;;;;;1;;;1
Celtic Britain;;;;1;;;;;;1
Center Parcs;;;;;;;3;;;3
Central Point;;;1;2;;1;1;;;2
Centrale Rino;;;1;;;3;;;;3
Centre for European Security Studie;;;;;;1;;;;1
Centrum voor Certificatie B.V.;;;1;;;;;;;1
CertoPlan;;;1;;;1;;;;1
CGE Risk Management Solutions;;;;;;1;;;;1
Chalet Bergrust;;;;1;;;;;;1
Challenge Coins;;;;1;;1;;;;1
Chameleon Associates;;;;;;1;;;;1
Champions Biljarts;;;;1;;;;;;1
Charelli Café-Restaurant;;;;1;;;;;;1
Chateau De Havixhorst Hotel-Restaurant;;;;2;;;;;;2
China Garden Wokrestaurant;;;;1;;;;;;1
Choco Paradijs;;;;1;;;;;;1
Chocolaterie Marie-Louise;;;;1;;;;;;1
Choice Promotions;;;;;;;1;;;1
Chr. Muziekvereniging Kunst en Geno;;;;1;;;;;;1
Christelijke Hogeschool Windesheim;;;1;;1;;;;;1
Christoffel Restaurant Brasserie;;;;1;;;;;;1
Cibatax Taxibedrijf;;;;;;;;;1;1
Cio Platform Nederland;;;;;;1;;;;1
Circle Medical;;;1;;;;;;;1
Civas;;;;;1;;;;;1
CLB Benelux;;;1;;;;;;;1
Cloos Eetcafé;;;;1;;;;;;1
Clown Fleur;;;;;;;1;;;1
CLS Computertraining;;;;;;1;;;;1
CM Online;;;1;;;;;;;1
Cmedia;;;;;;;;1;;1
CMM College of MultiMedia;;;;;;1;;;;1
CN Trading;;;;1;;;;;;1
CNC-Consult & Automation B.V.;;;;;;1;;;;1
Coachboulevard;;;;;;2;;;;2
Cobra Medical B.V.;;;1;;;;;;;1
Cobra Support;;;;;1;;;;;1
Cobri Interieurbouw B.V.;;;;1;;;;;;1
Coelenhage Restaurant;;;;;;;1;;;1
Coen en Walrick;;;;1;;;;;;1
Coffee & Tasty;;;;1;;;;;;1
Coloplast B.V.;;;1;;;;;;;1
Columba Communications;;;;;;1;;;;1
Columbus Medical;;;1;;;;;;;1
Com Care Medical;;;2;;;;;;;2
Combicare;;;1;;;;;;;1
Comigo Lunch & Restaurant;;;;1;;;;;;1
Comm reg geneeskundige troepen;;;;2;;;;;;2
Commection;;;;;;1;;;;1
Commerciele Club Leeuwarden;;;;1;;;;;;1
Compacon & Partners;;;;1;;;;;;1
Compass Group Nederland (incl. Eurest, ECS Catering, Avenance);;;;1;;1;;;;2
Compassionate Leadership;;;;;;1;;;;1
Computer Academy;;;;;;1;;;;1
Compu'Train;;;;;1;5;;;;5
Conclusion;;;;;6;;;;;6
Condor Arnhem ;;;;;;1;;;;1
Conducto;;;;;;1;;;;1
Conferentiecentrum De Spreeuwel;;;;;;2;;;;2
Congresbureau Stichting Derdengelden;;;;;;1;;;;1
Congress & Meeting Services;;;;;;1;;;;1
Congressen Met Zorg;;;;;;1;;;;1
Conrad Electronic;;;1;1;1;1;1;;;2
Construction Media;;;;;;;;1;;1
Constructor Dexion Holland;;;1;;;;;;;1
Contactgroep Postactieven;;;;;;;2;;;2
Convet;;;1;;;;;;;1
Cook Nederland B.V.;;;1;;;;;;;1
Coolblue - Pda Shops;;;1;1;1;1;1;;;2
Coppens Warenhuis V.O.F.;;;;1;;;;;;1
Copper en Co;;;;;;;2;;;2
Corilus B.V.;;;1;;;;;;;1
Cornelisse Huisartsengroepspraktijk;;;;;1;;;;;1
Coronel Kartracing;;;;;;;1;;;1
Corpus Sanum;;;;;;1;;;;1
Cortendijck Huisartsenpraktijk;;;;;1;;;;;1
Cortex;;;;;;1;;;;1
Country Store;;;;1;;;;;;1
Covidien Nederland;;;1;;;;;;;1
CP Music Productions;;;;;;;1;;;1
CRD Het Speelhuys;;;;1;;;;;;1
Creative Stones;;;;;;1;;;;1
CRF INTERNATIONAL;;;;;;2;;;;2
Crisiscontrol B.V.;;;;;;1;;;;1
Crow, Kennisplatform Voor Infrastructuur, Verkeer, Vervoer en Openbare Ruimte;;;;;;1;;2;;2
Crown Art;;;1;;;;;;;1
Crown Worldwide (incl. Gerlach art packers & shippers, John Nurminen Prima);;;;1;;;;;;1
Croy - 't Stokske B.V.;;;;1;;;;;;1
Croy Boschlust;;;;1;;;;;;1
CST School;;;;;;2;;;;2
Culinair Centrum Beverwijk;;;;;1;;;;;1
Cure & Care Development;;;;;;1;;;;1
Cursuscentrum Dierverzorging;;;;;1;;;;;1
Cva Informatica Opleidingen;;;;;;2;;;;2
CWI Centrum Wiskunde & Informatica;;;;;;3;;;;3
CWZ Canisius-Wilhelmina Ziekenhuis;;;1;;;;;;;1
D & S Wezep;;;;1;;;;;;1
D&F Consulting;;;;;;1;;;;1
D. Scholte, huisarts;;;;;1;;;;;1
D.J. Martin, Huisarts;;;;;1;;;;;1
D33 Publicaties;;;;1;;;;;;1
