;1000 - Personele exploitatie overig;1110 - Verhuiskosten personeel (binnen- en buitenland);1120 - Arbeidsomstandigheden en personele zorg (incl. BHV middelen);1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Studie en opleiding;1160 - Personeelsevenementen, - bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis en verblijfkosten;Eindtotaal
AutiTalent B.V.;;;;;;;;;1;1
AVDD B.V.;;;;;;2;;;;2
AvdR Webinars B.V.;;;;;;1;;;;1
Avelia;;;;;;1;;;;1
Aviodrome Exploitatie B.V.;;;;1;;;;;;1
Avonturia De Vogelkelder B.V.;;;;1;;;;;;1
Avontuurfabriek BV;;;;1;;;;;;1
A-Way Events & Wellness B.V.;;;;1;;;;;;1
AWVN;;;;2;;;;;;2
Ayers Rock Island B.V.;;;;1;;;;;;1
B & A B.V.;;;;3;;;;;;3
B&B Hotel Berlin-Alexanderplatz;;;;1;;;;;;1
B.V. Algemeen Nederlands Persbureau ANP;2;;;;;;;;;2
B.V. De Vooruitgang;;;;1;;;;;;1
B.V. Rederij G. Doeksen en Zonen;;;;1;;;;;1;1
B.V. se Conduire;;;;;;1;;;;1
B+B Vakmedianet B.V.;;;;1;;1;;;1;2
B2Bakery B.V.;;;;1;;;;;;1
BA Praktijk B.V.;;;4;;;;;;;4
Baars Coaching & Counseling;;;;;;1;;;;1
Babymand.nl;;;;1;;;;;;1
Badhuys Vlieland Exploitatie B.V.;;;;1;;;;;;1
Bakers House;;;;1;;;;;;1
Bakker Therapie B.V.;;;1;;;;;;;1
Bakkerij De Ochtendstond;;;;1;;;;;;1
Bakkerij Jan Fledderus Zeijen B.V.;;;;1;;;;;;1
Bakkerij Segaar;;;;1;;;;;;1
Bakx & Meijer B.V.;;;;1;;;;;;1
Balans & Impuls B.V.;;;2;1;;1;;;;2
Bali Food B.V.;;;;1;;;;;;1
Bali Zwolle;;;;;;1;;;;1
Bally's Bowling;;;;1;;;;;;1
Banketbakkerij Boheemen;1;;;1;;;;;1;1
Banketbakkerij Jan de Groot;;;;1;;;;;;1
Banketbakkerij Landsaat;;;;1;;;;;;1
Banninck Coaching & Consultancy;;;;1;;;;;;1
Bar Bistro Speakers;;;;1;;;;;;1
Bar Restaurant Pavlov B.V.;1;;;1;;;;1;1;2
Barbarossa Beach B.V.;;;;1;;;;;;1
BarBier Gouda;;;;;;1;;;;1
Bar-Bistro La Vina;;;;1;;;;;;1
bar-bistro Ralph;;;;1;;;;;;1
Barendsen;;;;1;;;;;;1
Barendsen Gebr. B.V. (Bloomy);;;;1;;;;;;1
Barlow;;;;1;;;;;1;1
Barn47 B.V.;;;;1;;;;;;1
Bart Hoogveld beeldredactie & fotografie;1;;;;;;;;;1
Bart Kin, Commerc. Tekstschrijv. - taaltrain.;;;;;;1;;;;1
Bart van Vliet Freelance Fotograaf;;;;;;1;;;;1
Bart Versteeg fotograaf;;;;;;1;;;;1
Bartine;;;;;;1;;;;1
Basaal 2.0;;;;1;;;;;;1
Basis & Beleid Organisatie-Adviseurs B.V.;;;;;;2;;;;2
Battlefield Live Nederland B.V.;;;;1;;;;;;1
Battlefield live Nederland Bv;;;;1;;;;;;1
Bavak Beveiligingsgroep B.V.;;;;;;2;;;;2
BBA Binnenmilieu B.V.;;;;;;1;;;;1
BBC Olivier Utrecht BV;;;;1;;;;;;1
BCD Meetings & Events Ltd SAP TechEd;;;;;;1;;;;1
BCN B.V.;;;;;;1;;;;1
Beach Professionals B.V.;;;;1;;;;;;1
Beachclub Copacabana B.V.;;;;1;;;;;;1
Beachclub Indigo B.V.;;;;1;;1;;;;1
Bedrijfsartsenpraktijk Jaco Greaves;;;4;;;;;;;4
BedrijfsMotivaties B.V.;;;;1;;2;;;;2
Behartiging Opleidingen Bouwnijverheid B.V.;;;;;;2;;;;2
Belastingdienst Centrale Administratie;;;;;;1;;;;1
Beleidstheater;;;;1;;;;;;1
Beleving aan zee;;;;1;;1;;;;1
Belgisch BiercafÃƒÂ© Olivier B.V.;;;;1;;;;;;1
Belgisch Biercafé Olivier B.V.;;;;1;;;;;;1
Bento Presentaties;;;;;;2;;;;2
Berenschot Groep B.V.;;;;2;;2;;;2;4
Berghauser Pont Academy B.V.;;;;;;2;;;;2
Berkhoff Consult;;;;;;1;;;;1
Berlin Marriot;;;;;;;;;1;1
Bert Hellinger Instituut Nederland;;;;;;2;;;;2
Bestuursacademie Nederland Opleidingen B.V.;;;;;;2;;1;;2
Betty Blue;;;;1;;;;;;1
Between Staffing B.V.;;;;3;;;;;;3
Beuk Touringcars;;;;1;;;;;;1
Bewonersvereniging Aahof;;;;;;1;;;;1
Bex*communicatie;;;;;;1;;;;1
Bierbrouwerij De Koningshoeven B.V.;;;;;;1;;;;1
BIGA Groep B.V.;;;;;;1;;;;1
Bigoli;;;;1;;;;;;1
Bij HeM eten & drinken;;;;;;1;;;;1
bij Oma.nl;;;;;;;;;1;1
Bilderberg Grand Hotel Wientjes;;;;1;;;;;;1
Billink B.V.;;;;1;;;;;;1
Bink Rooftop;;;;;;;;1;;1
BinQ;;;;;;1;;;;1
Biometrics Institute Limited;;;;;;1;;;;1
Birch Consultants B.V.;3;;;;;;;;;3
Birza Italiaans IJs;;;;1;;;;;;1
Bis 26 B.V.;;;;1;;;;;;1
Bison Bowling;;;;1;;;;;;1
Bistro De Zoete Inval V.O.F.;;;;1;;;;;;1
Bjor's B.V.;;;;1;;;;;;1
Blankestijn & Partners B.V.;;;;;;1;;;;1
BlazTer.nl;;;;1;;;;;;1
Bleyenberg;;;;1;;;;;;1
Bleyewerck;;;;1;;;;;;1
BLOEM;;;;1;;;;;;1
Bloemsierkunst Rinus de Ruyter;;;;;;1;;;;1
BlommaBerg;;;;;;1;;;;1
blooming hotel en conferentielandgoed B.;;;;1;;;;;;1
BLOSSOM bloemisterij;1;;;1;;;;;;1
Blueriq B.V.;;;;;;1;;;;1
BMC Advies B.V.;;;;;;2;;;;2
BMC Implementatie;;;;;;2;;;;2
Bme Utrecht B.V.;1;;;;;;;;;1
BNA;;;;;;1;;;;1
BNA AMSTERDAM;;;;;;1;;;;1
Bobbe International B.V.;1;;;2;;1;;1;1;2
Bobeldijk Financiële Zorgverlening;;;;1;;;;;;1
Boerderij Meyendel;;;;;;;;;1;1
Boertien Vergouwen Overduin B.V.;;;;;;1;;;;1
Bol Training & Advies;;;;;;1;;;;1
bol.com B.V.;;;;1;;1;;;;1
Boom uitgevers Amsterdam B.V.;;;;;;1;;;;1
Boontje B.V.;;;;;;1;;;;1
BOOSTchamps;;;;;;1;;;;1
Boot Varen Den Haag;;;;1;;;;;;1
Bornbasket.nl;;;;1;;;;;;1
Bos & Bos Catering B.V.;;;;1;;;;;;1
Boterhal;;;;1;;;;;;1
Boterwaag Den Haag B.V.;;;;1;;;;;;1
Bouwcombinatie DUO2 V.O.F.;;;;1;;;;;;1
BOUWscoop;;;;;2;;;;;2
Bowlen & Zo B.V.;;;;1;;;;;;1
Bowling- en Partycentrum Westerpark B.V.;;;;1;;;;;;1
Bowling Scheveningen B.V.;;;;1;;;1;;;1
Brain Bakery B.V.;;;;;;1;;;;1
BRAND The Urban Agency B.V.;;;;;;;;;2;2
Brandveilig Bouwen Nederland;;;;;;1;;;;1
Brasserie Buitenhof;;;;;;1;;;;1
Brasserie De Hooge Rotterdamsche B.V.;;;;1;;;;;;1
Brasserie No. 14 B.V.;;;;1;;;;;;1
Brasserie Quartier B.V.;;;;1;;;;;;1
Brasserie Soho B.V.;;;;1;;;;;;1
Brasserie 't Zusje Scheveningen B.V.;;;;1;;;;;;1
Brasserie Zwolle;1;;;;;1;;;;1
Breinwerk B.V.;;;;;;1;;;;1
Brian Smits;;;;;;1;;;;1
Bridge2learn;;;;;;1;;;;1
Bridgeman B.V.;;;;1;;4;;;;4
BRIGHT Coöperatie UA;;;;;;1;;;;1
Bright Events;;;;1;;;;;;1
BrightContact Technology B.V.;;;;;;1;;;;1
Brink Management/Advies;2;;;;;;;;;2
BR-ND;;;1;;;;;;1;1
Broesli;;;;;;1;;;;1
Bronsport B.V.;;;;1;;;;;;1
Brood- en Banketbakkerij Godschalk;;;;1;;;;;;1
Brood- en Banketbakkerij Vries B.V.;;;;1;;;;;;1
Broodje & Zo...;;;;1;;;;;;1
BROODJESLIJN;1;;;;;;;;;1
BROUT B.V.;;;;;;3;;;;3
Brouwer Tours;;;;1;;;;;;1
Brouwerij Martinus;;;;1;;;;;;1
Brouwhuis Breda B.V.;;;;1;;;;;;1
brth;;;;;;1;;;;1
Brug in Bedrijf;;;;1;;;;;;1
BRUT Catering B.V.;;;;1;;;;;;1
Budgetgift.nl B.V.;;;;1;;;;;;1
Budgetronics;;;;;1;;;;;1
Buena Vista Beach Club B.V.;;;;1;;;;;;1
Building Solutions Provider B.V.;;;;;;1;;;;1
BuitenGewoon Evenementen B.V.;;;;1;;;;;;1
Bureau Bohré;;;;;;1;;;;1
Bureau de Wissel;;;;;;1;;;;1
Bureau G.I.T.;;;;1;;;;;;1
Bureau Konsilo;;;;;;;;;1;1
Bureau Maaiveld;;;;;;1;;;;1
Bureau Stedelijke Planning B.V.;;;;;2;;;;;2
Bureau Tromp B.V.;;;;;;1;;;;1
Bureau voor Overheidscommunicatie B.V.;2;;;;;;;;;2
Bureau Zuidema B.V.;;;;;;2;;;;2
Bureau Zuidema Learning Solutions B.V.;;;;2;;2;;;;2
Bureau Zuijdgeest Taalvaardigheidstrainingen;;;;;;1;;;;1
BURGER, J.;;;;;;;;;1;1
Burgers Arneym B.V.;;;;1;;;;;;1
Burn Out Poli;;;1;1;;2;;;;2
Buro BRAND Visuele Communicatie B.V.;;;;;;1;;;;1
Buro In;;;;;;1;;;;1
Buro van de Panne;;;1;;;1;;;1;2
Buro van Oranje;;;;;;1;;;;1
Burrata Goudenregenplein B.V.;;;;1;;;;;;1
Burrata Turfmarkt B.V.;;;;1;;;;;;1
BUSBA;2;;;;;;;;;2
Buyitdirect.com B.V.;;;;1;;1;;;;1
BuzzMaster B.V.;;;;1;;;;;;1
BVBA Humaniter;;;1;;;;;;;1
BVH RUIMTE;;;;;;;;;1;1
BVO Opleidingen B.V.;;;;;;3;;;;3
BVR Adviseurs Stedelijke Ontwikkeling en;;;;2;;;;;;2
BWS Consulting B.V.;;;4;;;;;;;4
By J&M;;;;1;;;;;;1
Bymiktours;;;;;;1;;;;1
BySpeech;;;;1;;;;;;1
C.V. La Galleria Plein;;;;1;;;;;;1
Cadeaubonnen.nl B.V.;;;;1;;;;;;1
CafÃ© de Voetnoot;;;;;;1;;;;1
CafÃ© Restaurant Rootz B.V.;;;;1;;;1;;;1
Café 2005;;;;1;;;;;;1
Café De Asplaag;;;;1;;;;;;1
Cafe Du Nord;;;;1;;;;;;1
Café Huppel 'The Pub';;;;1;;;;;;1
Cafe Luden;;;;1;;;;;;1
Café Restaurant De Beyerd;;;;1;;;;;;1
Café Restaurant Rootz B.V.;;;;1;;;;;;1
Cafe/Restaurant De Eeuwige Jachtvelden;;;;1;;;;;;1
Cafe/Restaurant Schlemmer;;;;1;;;;;;1
Cafe-Restaurant Amier;;;;1;;;;;;1
Café-Restaurant Leopold;;;;1;;;;;;1
Café-Restaurant Pan;;;;1;;;;;1;1
Camping en Recreatiecentrum Lauwersoog B.V.;;;;1;;;;;;1
Camps & Company B.V.;;;;1;;;;;;1
CAOP;;;;;;1;;;;1
Capgemini Nederland B.V.;;;;;;4;;;;4
Capilla B.V.;;;;;;1;;;;1
Capo Cucina;;;;;;;;;1;1
Capra advocaten;;;;1;;;;;;1
Capstones B.V.;;;;;;1;;;;1
Captains;;;;;;2;;;;2
Caroline Stil;;;4;;;;;;;4
Caroline van Frankenhuyzen;;;;1;;;;;;1
Carrilho executive coaching and consulting;;;;;;2;;;;2
Carthago ICT;;;;;;;;2;;2
CartoonistLive;;;;;;1;;;;1
Catering Elegance Nijmegen;;;;1;;;;;;1
Catering Evenementen Venlo B.V.;;;;;;;;;1;1
Catering Lokaal B.V.;;;;1;;;;;;1
CE Delft;2;;;;;;;;;2
Cebeon Centr. Beleidsadviserend Onderz. B.V.;;;;2;;;;;;2
Cendris Customer Contact B.V.;;;;;;5;;;;5
Centric Netherlands B.V.;;;;;;1;;;;1
Centrum '45;;;;;;1;;;;1
Centrum Media & Gezondheid (CMG);;;;1;;;;;;1
Centrum voor Conflicthantering B.V.;;;;;;1;;;;1
Centrum voor de Ontwikkeling van het;1;;;;;1;;;1;1
CGI Nederland B.V.;;;;;;1;;;;1
Chan Bedrijfsarts;;;4;;;;;;;4
Charlotte DE LANGE Learning & Development;;;;;;1;;;;1
Charlotte Gmelig Meijling;;;;;;1;;;;1
Chat.hot.-Rest. Havesathe De Havixhorst B.V.;;;;1;;;;;;1
CHE Synnervation B.V.;;;;;;2;;;;2
Cheil Benelux B.V.;;;;;;4;;;;4
Chinees/Japans Restaurant Momiji;;;;1;;;;;;1
Chocoladebezorgd;;;;1;;;;;;1
Chocolate Company Retail B.V.;;;;1;;;;;;1
Chocolaterie Le Cacao;;;;;;1;;;;1
Choco-Paradijs;;;;1;;;;;;1
Chose;;;;;;;;1;;1
Ciao! Ciao! B.V.;1;;;1;;1;;;;1
CIBIT Adviseurs/Opleiders;;;;;;1;;;;1
Cifmers Global SL;;;;;;;;;1;1
Cinclus Advies en Mediation;;;;;;1;;;;1
Cintea;;;;;;1;;;;1
CIOnet Nederland B.V.;;;;;;1;;;;1
Circle Software Group B.V.;;;;;;2;;;;2
Circuit van Drenthe Evenementen B.V.;;;;1;;;;;;1
CIRFOOD Netherlands B.V.;;;;;;;;;1;1
City Tax B.V.;;;;;;;;1;;1
Clavis Consulting;1;;;;;;;;;1
Climate Neutral Group B.V.;;;;;;1;;;;1
CLOOS B.V.;;;;1;1;1;;;;1
Cloose;;;;1;;;;;;1
Clownfish Creatieve Communicatie B.V.;;;;;;1;;;;1
CLS Computertrainingen;;;;;;1;;;;1
CM Partners B.V.;;;;;;1;;;;1
cmptr;;;;1;;;;;;1
COCD VZW;;;;;;1;;;;1
Coffeelicious B&L;;;;1;;;;;;1
Colibri Advies B.V.;;;;3;;;;;;3
Collective Talent Company;;;;;;1;;;;1
Comad;2;;;;;;;;;2
Comergy B.V.;;;;;;1;;;;1
Commitment B.V.;;;;;;1;;;;1
Compacon & Partners B.V.;;;;1;;;;;;1
Company Sandwich Den Haag;;;;1;;;;;;1
Company Sandwich Shop/Online shop;;;;1;;;;;;1
COMPAREX Nederland B.V.;3;;;;;3;;2;;4
Competence Factory;;;;;;1;;;;1
Compu'Train;;;;;;2;;;;2
Computrain Opleidingen;;;;;;1;;;;1
Compu'Train Trainingen B.V.;;;;;;1;;;;1
Conclusion B.V.;;;;3;;;;;;3
Conclusion Implementation B.V.;;;;;;1;;;;1
Conducto Opleidingen B.V.;;;;;;1;;;;1
Conexio B.V.;;;4;;;;;;;4
CONMares Advies;;;2;;;;;;;2
Connected Information Systems B.V.;;;;;;1;;;;1
Connexxion Tours;;;;;;1;;;1;1
Connexxion Tours B.V.;;;;1;;;;;;1
Considerati B.V.;;;;2;;;;;;2
Consulo B.V.;;;2;;;;;;;2
Context creative studio;;;;1;;2;;;;2
Coöperatie De Betekenaar UA;;;;;;1;;;;1
Coöperatie Heerlijk Lokaal UA;1;;;;;;;;;1
Coöperatie Holland Sail UA;;;;;;1;;;;1
Coöperatie PreventPartner UA;;;;;;1;;;;1
Coosto B.V.;;;;;;1;;;;1
Coprose;;;;2;;;;;;2
Corps 3 op twee B.V.;1;;;;;;;;;1
Coruscent Passie en Talent;;;;;;1;;;;1
COT Inst. voor Veil.h.- & Crisismanagem. B.V.;;;;;;2;;;;2
Cre-Aid B.V.;;;;1;;1;;;;1
Creativa Design;1;;;;;;;;;1
Crisp AB;;;;;;1;;;;1
Croissanterie Chez Andre C.V.;;;;1;;;;;;1
Croon advocaten N.V.;;;;;;1;;;;1
CrowdLED B.V.;;;;;;1;;;;1
CS Opleidingen B.V.;;;;;;1;;;;1
CT², creative thinking coaching training;;;;;;2;;;;2
Ctalents B.V.;;;;;1;;;;;1
Culinair Wonder Groep B.V.;;;;;;1;;;;1
Culpepper B.V.;;;;1;;;;;;1
Customer Revolution B.V.;;;;;;1;;;;1
Cyclus Arbo Projecten;;;1;;;;;;;1
Cylin Onderwijsgroep B.V.;;;;;;1;;;;1
D&A Trainingen B.V.;;;;;;1;;;;1
D&F HRM Services;;;;;1;;;;;1
D&J Zijderveld V.O.F.;;;;1;;;;;;1
D.A.B. Special service;;;;;;1;;;;1
DÃ©hora Consultancy Group B.V.;;;;;;2;;;;2
Dagelijks Lekker B.V.;;;;1;;;;;;1
DakAkker;;;;1;;;;;;1
Dalosy Projecten B.V.;;;;;;1;;;;1
DAS Nederl. Rechtsbijstand Verzeker.mij. N.V.;;;;1;;;;;;1
Data Amplified;;;;;;1;;;;1
Dataland B.V.;;;;2;;1;;;;2
DBN Vision;;;;;;1;;;;1
De Academy B.V.;;;;;;1;;;;1
De Agile Kantoorinrichters;;;;;;1;;;;1
De Avontuurfabriek Onroerend Goed B.V.;;;;1;;;;;;1
De Baak Administratie;;;;;;2;;;;2
De Baak B.V.;2;;;1;;4;;;;4
De Bakkers B.V.;;;;1;;;;;;1
De Bel & Co;;;;;;1;;;;1
De Bengel Eindhoven;;;;1;;;;;;1
De Beren Arnhem;;;;1;;;;;;1
De Bistrooh;;;;1;;;;;;1
De Boeckhorst B.V.;;;4;;;;;;;4
De Boerinn B.V.;;;;;1;;;;;1
De Booij Party en Congresarchitekten;;;;;;1;;;;1
De Bounderei;;;;;;1;;;;1
de Buren (Apeldoorn) V.O.F.;1;;;;;;;;;1
De Burgerij;;;;1;;;;;;1
De Clercq Advocaten Notariaat;;;;;;1;;;;1
De CoachPraktijk;;;;;;1;;;;1
De Corridor;;;;1;;1;;;;1
De Energiebespaarders B.V.;;;;;;2;;;;2
De Federatie B.V.;;;;;;2;;;;2
De Gevangentoren B.V.;;;;1;;;;;;1
De Gezonde Zaak B.V.;;;1;;;;;;;1
De Gist B.V.;;;;1;;;;;;1
