Rijlabels;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1180 - Reis & verblijfskosten;Eindtotaal
Carlson Wagonlit Nederland B.V.;;3;;;;3
Carlton Hotels Nederland B.V.;;1;;1;;1
Caroni;;1;;;;1
Centennium B.V.;;;;1;;1
Change2Result;;;;1;;1
Chorda B.V.;;;;5;;5
Ciao! Ciao! B.V.;;1;;;;1
CiEP;;;;4;;4
"Circumference; Pers. & Prof. Development";;;;1;;1
Cloose;;1;;;;1
Clou B.V.;;;;1;;1
Company B.V.;;;;1;;1
Compass Group Nederland B.V.;;;;1;1;1
Compu'Train;;1;;1;;1
Comtext Communicatie;;;;1;;1
Conclusion All Finance;;;;5;;5
Coosto B.V.;;;;1;;1
CPM Coaching Paard en Mens;1;;;1;;1
Croissanterie 93;;1;;;;1
Croissanterie 'de Snor' B.V.;;1;;1;;1
Crystal River;;;;2;;2
D & C Engineering;;;;1;;1
Dapoer Sunda;;1;;;;1
DASC B.V.;;;;1;;1
De Avontuurfabriek Onroerend Goed B.V.;;1;;;;1
De Baak B.V.;;;;1;;1
De Baak Noordwijk B.V.;;;;3;;3
De Bazar B.V.;;1;;;;1
De Corridor;;1;;;;1
De Efteling B.V.;;1;;1;;1
De Horeca Academie Zakelijk B.V.;;1;;1;;1
De Jonker Consultancy;;;;1;;1
De Juf;;;;1;;1
De Massagestoel;1;;;;;1
De Tombe Consultancy B.V.;;;;2;;2
De Winkel van Sinkel B.V.;;2;;;;2
Defabrique Evenementen B.V.;;1;;;;1
Defacto Software B.V.;;;;1;;1
Dekxels B.V.;;1;;;;1
Denk Producties B.V.;;;;1;;1
DFG;1;;;;;1
Dialogis;;;;1;;1
DiEx B.V.;;;;2;;2
Digital Action;;;;1;;1
Dignitas Mediation & Conflict Management;;;;1;;1
Dilemmamanager B.V.;;;;1;;1
Dim Sum Bar Pacifica;;1;;;;1
DIOR Opleidingen;;1;;2;;2
Dols Consult;;;;1;;1
Doorpakken;;;;1;;1
Dos Santos Legal;;;;1;;1
Drentea Kantoormeubelen;1;;;;;1
Dudok Den Haag B.V.;;1;;;;1
Dulang Indonesische Lekkernijen;;1;;;;1
Ebbinge & Company;;;;1;;1
Edulaw;;;;1;;1
Eenhoorn Meeting Center;;1;;1;;1
Eet- en koffiehuis de Kiosk;;1;;;;1
Elenchis;;;;1;;1
Elycio Talen B.V.;;;;2;;2
EMC Advies B.V.;;;;1;;1
Entopic B.V.;;;;1;;1
Eten & Drinken B.V.;;1;;;;1
Eten & Zo Zoetermeer B.V.;;1;;;;1
EURS B.V.;;;;1;;1
Evers Research & Training;;;;1;;1
eX:plain;;;;2;;2
Explainit Company;;;;1;;1
Exploitatiemij. Grand Hotel Karel V B.V.;;1;;;;1
Falck Nutec B.V.;1;;;2;;2
Firma Hof der Muzen;;2;;1;;2
Fish & Meat B.V.;;1;;;1;1
Flex-I.D. B.V.;;;;2;;2
Florent;;1;;;;1
FNV Formaat (Opleidingen & Advies);;;;1;;1
FNV Vrouwenbond;;;;;2;2
Forsa Advies;;;;1;;1
Fox-IT Group;;;;1;;1
Francis Zuiker Konsult;;;;2;;2
Galamadammen Recreatie B.V.;;1;;;;1
Gargouilles B.V.;;1;;;;1
gefeliciTAART B.V.;;1;;;;1
Gemaco B.V.;;4;;;;4
Geschenkbezorgen.nl B.V.;;1;;;;1
Global Project Performance;;;;2;;2
Grand Café Arnhems Meisje;;1;;;;1
Greenwheels Shared Service B.V.;;;;;1;1
Groeneveld Brillen en Contactlenzen;1;;;;;1
Haags Historisch Museum;;1;;;;1
Hampshire Hotel Management B.V.;;1;;;;1
Hans & Frans Hessing;;1;;;;1
Hartman Innovatie B.V.;;;;1;;1
Health2Work B.V.;1;;;;;1
Het Expertise Centrum;;;;3;;3
Het Kookplein;;2;;;;2
het Ngi: voorh. Ned. Genootsch. Informatica;;;;1;;1
Het Pleidooi;;1;;;;1
High Five Health Promotion B.V.;1;1;;1;;1
Hobeon Groep B.V.;;;;2;;2
Hoezo Proj.manag. & Congresorganisatie B.V.;;;;2;;2
Hofje van Pauw;2;;;1;;2
Hofstad Events B.V.;;1;;;;1
Hogeschool Utrecht;;;;1;;1
Holding Beheermaatschappij Ropeni B.V.;;2;;1;;2
Holland By Mail;;1;;;;1
Holland Evenementen Groep B.V.;;1;;;;1
Holland Tour Guides;;1;;;;1
Horeca Exploitatie 2005;;1;;;;1
Hot.expl.mij. Jaarbeurspln. Utrecht B.V.;;;;;1;1
Hotel De Bilderberg;;;;1;;1
House of Sports;;;;1;;1
HSK Groep;2;;;1;;2
HTM Specials B.V.;;1;;;;1
Huf & Go;;1;;;;1
Hultzer Coaching;;;;1;;1
Humphrey's Utrecht B.V.;;1;;;;1
ICM Administratie B.V.;;;;1;;1
Impero Romano Holding B.V.;;1;;;;1
Impromex Technics B.V.;1;;;;;1
Indisch Restaurant Garoeda;;1;;;;1
Info Support B.V.;;;;1;;1
Information Security Academy B.V.;;;;1;;1
ING Bank N.V.;;;;;1;1
Inner Business B.V.;;;;1;;1
InsightsWorld B.V.;;;;1;;1
Inspiration Company Nederland B.V.;;;;2;;2
Instituut voor Arbeidsrecht B.V.;;;;1;;1
Instituut voor Psychotrauma Nederland B.V.;1;;;;;1
Interim Direct Incasso & Debiteurenbeheer;;1;;;;1
Intersafe Groeneveld B.V.;1;;;1;;1
Inzicht Bureau voor Coaching en Communicatie;;1;;1;;1
Ipse de Bruggen;;1;;;;1
Ipse de Bruggen Maatwerk;;1;;;;1
Irodion;;1;;;;1
ISBW;;;;1;;1
Istana Indonesisch Restaurant;;1;;;;1
IT Management Group;;;;2;;2
IV-Software B.V.;;;;1;;1
Jan-Jaap in der Maur;;;;1;;1
Japans restaurant Sumo Den Haag B.V.;;;;1;;1
Jongbloed Juridische Boekhandel;;;;1;;1
Kaap Doorn B.V.;;;;1;;1
KaapZ B.V.;;;;1;;1
Keizer Culinair;;;;1;;1
Kite-Extreme;;1;;;;1
KleurKwadraad;;;;1;;1
Kodision B.V.;;;;1;;1
Koninklijke Burgers' Zoo;;1;;;;1
KSG B.V.;;;;4;;4
La Cantina di David B.V.;;1;;;;1
La Résidence Business Services;;1;;;;1
Lagerweij Holding B.V.;;;;1;;1
Land. veren. leid.gev.;;;;1;;1
Landgoed de Horst;;;;1;;1
Le Connaisseur;;1;;;;1
Leeuwendaal Advies B.V.;;;1;1;;2
Leidje Witte Coaching en Training;;;;2;;2
Leidse Onderwijsinstellingen B.V.;;;;1;;1
LifeGuard Academy B.V.;;;;1;;1
Lily Schuimer;;;;1;;1
Little V Den Haag B.V.;;1;;;;1
Lloyd Hotel;;1;;;;1
Lokaal 305;;;;1;;1
Lokaal 58 B.V.;;;;2;;2
Loof training en advies B.V.;;;;2;;2
Louter Communicatie;;;;1;;1
Lunch at Your Job Catering;;1;;;;1
Lyreco Nederland B.V.;;1;;;;1
M. de Rooij Sound Service;;1;;;;1
M. Van der Kooij Managem. & Organis.-Ontwikk.;;;;1;;1
Maatsch. Psychologenpraktijk Kerkrade/Heerlen;1;;;;;1
Maatschap Suijker;;;;3;;3
MaMa Kelly B.V.;;1;;;;1
Marion Matthijssen onderzoek & training;;;;1;;1
Mavim Holding B.V.;;;;1;;1
Meeting Plaza Utrecht B.V.;;1;;1;;1
Mercure Den Haag Central;;;;;1;1
Metier Academy Benelux B.V.;;;;1;;1
Millers;;1;;;;1
Mind Academy B.V.;;;;1;;1
Mobility Mixx B.V.;;;;;7;7
Motus B.V.;;1;;;;1
Movenience B.V.;;;;;1;1
Multiply-it;;;;1;;1
Museum Beelden aan Zee;;1;;;;1
Museum Catering B.V.;;1;;2;;2
Museumkwartier B.V.;;1;;;;1
N.T.I. Nederlands Talen Instituut B.V.;;;;1;;1
N.V. Nederlandse Spoorwegen;;;;;5;5
Ncoi Nederlands Commerc. Opleidings Instituut;;;;2;;2
Nederlandse Stg. v. Corporate Universities;;;;1;;1
Nederlandse Vereniging voor Arbeidshygiene;;;;1;;1
New Babylon Meeting Center B.V.;;;;1;;1
NH Den Haag;;1;;1;1;1
Niebot B.V.;;1;;;;1
Nikita Horeca B.V.;;1;;;;1
NIOW B.V.;;;;2;;2
NRC Media Holding B.V.;;;;1;;1
NSI Training & Periodieke Inspectiedienst;;;;1;;1
Nsob;;;;4;;4
OCA Operations B.V.;1;;;;;1
Odyssee B.V.;;;;2;;2
ONI B.V.;;1;;;;1
Open Ateliers B.V.;;;;1;;1
Opleidingscentrum Haaglanden B.V.;;;;3;;3
Organisatieregie B.V.;;;;1;;1
Oscars Scheveningen B.V.;;2;;;;2
Partner in Leiderschap;;;;2;;2
PBLQ B.V.;;;;1;;1
Pels Rijcken & Droogleever Fortuijn N.V.;;;1;;;1
Phaos Advies B.V.;;;;3;;3
Phil Nijhuis Fotografie;;;;1;;1
Phoenix Opleidingen;;;;2;;2
Pop-up Fun B.V.;;;;1;;1
Promopodium B.V.;;1;;;;1
Protinus IT B.V.;2;;;;;2
Prowareness Academy B.V.;;;;1;;1
Publique;;1;;;;1
Purple Monkey Publishing B.V.;;;;3;;3
Puur Amsterdam;;1;;;;1
Qidos B.V.;;;;1;;1
Quay Consult B.V.;;;;1;;1
RA'Quel B.V.;;;;2;;2
Rederij de Nederlanden B.V.;;1;;;;1
Reed Business B.V.;;1;;1;;1
Regina Bloemsierkunst;;1;;;;1
Rendement Uitgeverij B.V.;;;;1;;1
Rene Verleg Fotografie;;1;;;;1
Research;;;;1;;1
Restaurant De Basiliek B.V.;;2;;;;2
Restaurant De Zakkendrager B.V.;;1;;;;1
Restaurant Indonesisch 'Srikandi';;;;;1;1
Ristorante Italiano 'La Liguria' B.V.;;1;;;;1
ROHDE & GRAHL B.V.;1;;;;;1
Royal Delft;;1;;;;1
RPS Analyse B.V.;1;;;;;1
S.B.I. Training en Advies B.V.;;;;1;;1
Safe Site B.V.;;;;1;;1
Santé Horeca Beheer B.V.;;1;;;;1
SAP Nederland B.V.;;;;2;;2
Sas Institute B.V.;;;;1;;1
Scaffolding Training Europe B.V.;;;;2;;2
Schiphol Nederland B.V.;;;;;1;1
Schoevers Trainingen B.V.;;;;1;;1
Schouten & Nelissen Groep B.V.;;;;2;;2
ScienceWorks B.V.;;1;;1;;1
Scil For Your Skills;;;;1;;1
Sdu Uitgevers B.V.;;;;1;;1
See you at noon;;1;;;;1
Session Productions;;1;;;;1
Skils B.V.;;;;1;;1
Slimshops Retail;;1;;;;1
Soma Bedrijfsopleidingen;;;;1;;1
SoSecure;;;;1;;1
SOSV Opleidingen B.V.;;;;1;;1
Spaces B.V.;;;;1;;1
Spanjersberg Organisatie Advies;;;;1;;1
Specialtours Amsterdam;;1;;;;1
Speechless;;;;1;;1
Spierings Holding B.V.;;;;1;;1
SPITZ congres & event B.V.;;;;1;;1
SpiZe B.V.;;1;;;;1
Sporttainment Center De Uithof B.V.;;1;;;;1
Stavoor B.V.;;;;2;;2
Stayokay 'Bunnik';;1;;;;1
Stg. Atlantic and Pacific Exchange Program;;;;1;;1
Stg. Expert.centr. Ber.onderw. (Stg. ecbo);;;;1;;1
Stg. Sioo, Int.univ. Centr. Veranderkunde;;1;;;;1
Sticht. Post Hoger Onderwijs Veiligheidskunde;;;;2;;2
Sticht. ROI v/h het Rijks Opleidingsinstituut;;;;4;;4
Stichting AOVVT;;;;1;;1
Stichting Bartimeus Sonneheerdt;;;;1;;1
Stichting Bureau Kwaliteit Kinderopvang;;;;1;;1
Stichting Cultureel Erfgoed De Rotterdam;;1;;;;1
Stichting De Ooievaart;;1;;;;1
Stichting Den Haag Marketing;;2;;;;2
Stichting Erfgoed Oud-Poelgeest;;;;1;;1
Stichting Fonds Instituut Clingendael;;;;1;;1
Stichting Grotius Academie;;;;1;;1
Stichting HCO;;;;1;;1
Stichting Internat. Perscentrum 'Nieuwspoort';;1;;;;1
Stichting Middin;;1;;;;1
Stichting Mind at Work;1;;;1;;1
Stichting Ontwikkeling Sensoor;;;;1;;1
Stichting OSR Juridische Opleidingen;;;;2;;2
Stichting Toekomstbeeld der Techniek;;;;1;;1
Stichting Verhalenhuis Belvédère;;1;;;;1
Stork Asset Management Consultancy B.V.;;;;1;;1
Struijk Training & Adviesbureau;;;;1;;1
Survival Limburg;;1;;;;1
't Hof van Eten;;1;;;;1
Taller Events B.V.;;;;1;;1
Tauw B.V.;;;;1;;1
Taverne Meer en Bosch B.V.;;1;;;;1
TB Events;;1;;;;1
Team Biesbosch B.V.;;1;;;;1
Tilkema Horeca B.V.;;1;;;;1
Tony's Factory B.V.;;1;;;;1
Topbloemen Nederland B.V.;;2;;;;2
Tower Leisure B.V.;;1;;;;1
Trattoria Taormina;;1;;;;1
TRConsult B.V.;;;;1;;1
Tridata B.V.;;;;1;;1
Triple Dynamixs Preventie & Coaching B.V.;;;;1;;1
Twynstra Gudde;;;;1;;1
Umami Restaurant Den Haag B.V.;;1;;;;1
UP learning B.V.;;;;1;;1
USG Restart;;;1;1;;1
Usine Eindhoven B.V.;;1;;;;1
V.O.F. de Palatijn;;1;;;;1
Vaccinatiezorg B.V.;1;;;;;1
Vakmedianet Management B.V.;;;;1;;1
Van der Hilst Communicatie-Advies;;;;2;;2
Van Dijk Zakelijk B.V.;;1;;;;1
Van Harte & Lingsma Man. en Organisatie B.V.;;;;2;;2
Van Oosterhout B.V.;;;;3;;3
VCK Travel B.V.;;1;;1;5;5
Verdraaide Organisaties B.V.;;;;1;;1
Vergadercentrum Vredenburg;;;;1;;1
Vergouwen Overduin B.V.;;1;;2;;2
Verkeersveiligheid Groep Nederland B.V.;;;;1;;1
Vermaat Leisure B.V.;;1;;;;1
VIDE Advies;;;;1;;1
Vino & Cucina;;1;;;;1
Visio Het Loo Erf;1;;;;;1
VNO-NCW West;;;;;1;1
VNSG Diensten B.V.;;;;1;;1
Vroeg B.V.;;1;;;;1
Water Events Geertruidenberg B.V.;;1;;;;1
WE THE FUTURE;;;;1;;1
White Queen B.V.;;;;1;;1
Wilhelmientje B.V.;;1;;;;1
Willy's Snackbar;;1;;;;1
Winnock B.V.;1;;;;;1
Wissenkerke;;1;;;;1
Wolters Kluwer Nederland B.V.;;;;1;;1
Work21 B.V.;;;;1;;1
Yacht;;;1;;;1
Ynnovate;;;;1;;1
Yokogawa Europe Solutions B.V.;;;;1;;1
Zebedeus Café-Restaurant;;1;;;;1
ZorgmarktAdvies;;;;1;;1
Zwaluw Holding B.V.;;;;2;;2
Tas Trainingen, Advies & Onderzoek;;;;1;;1
Eindtotaal;5;6;2;7;7;8
