;1110 - Verhuiskosten personeel (binnen- en buitenland);1120 - Arbeidsomstandigheden en personele zorg (incl. BHV middelen);1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Studie en opleiding;1160 - Personeelsevenementen, - bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis en verblijfkosten;Eindtotaal
B.S. Gevelwerken;;;;;1;;;;1
B.V. Hand.- en Exploit. Mij. 'Fama';;;;;;;;1;1
B.V. Kloosterhotel de Soete Moeder;;;1;;;;;;1
B.V. MSB-A Plus;;1;;;;;;;1
B.V. Panorama Mesdag;;;1;;;1;;;1
B.V. Val & S;;;;;2;;;;2
B+B Vakmedianet B.V.;;;;;1;;;;1
Baas & Co.;;;;;1;;;;1
BAB-VIOS Touringcars B.V.;;;1;;;;;;1
Bakker Bogers;;;1;;;;;;1
Bakker Klink;;;1;;;;;;1
Bakkerij Bekkers Eindhoven;;;1;;;;;;1
Bakkerij der Kinderen;;;1;;;;;;1
Bakkerij 't Kraayennest B.V.;;;;;;1;;;1
Bakx & Meijer B.V.;;;2;;1;;;;2
Banketbakkerij Boheemen;;;1;;;;;;1
Banketbakkerij Borgman;;;1;;;;;;1
Banketbakkerij Maison Kelder B.V.;;;1;;;;;;1
Banketbakkerij Theo Blom V.O.F.;;;1;;;;;;1
Bar Restaurant Pavlov B.V.;;;1;;;1;;;1
Barbarossa Beach B.V.;;;2;;;;;;2
Barlow;;;1;;;;;;1
Bartholomeus Gasthuis;;;1;;;;;;1
Bas Retail B.V.;;;1;;;;;;1
Bastion Hotel Rijswijk B.V.;;;;;;;;1;1
Bastion Hotel Weesp B.V.;;;;;;;;1;1
Bax Bier Brouwerij B.V.;;;1;;;1;;;1
Bax-shop.nl B.V.;;1;;;;;;;1
BCM Academy B.V.;;;;;1;;;;1
BCN B.V.;;;;;;;;1;1
BCoach coachopleiding.nl;;;;;1;;;;1
Beach Professionals B.V.;;;1;;;1;;;1
Bedrijfsbeeld B.V.;;;2;;;;;;2
Bedrijfsfitness Nederland B.V.;;4;;;;;;;4
Beekink, C.;;;1;;;;;;1
Behavior Change Group B.V.;;;;;1;;;;1
Beheer Centrum voor Mindfulness;;;;;1;;;;1
Beleidsbemiddeling B.V.;;;;;1;;;;1
Bellerose;;;;;;1;;;1
Belstore.Com B.V.;;;;;;;;1;1
Benefit Inkoopadviesgroep B.V.;;;;;1;;;;1
Benja Stoelmassage;;2;1;;;;;;2
Benner Kaap Hoorn Exploitatie B.V.;;;1;;;1;;;1
Berenschot Groep B.V.;;;;;1;;;;1
Bergsma Hemianopsie Ondersteuning;;;;;1;;;;1
Berita Valk;;;;;1;;;;1
Bert Hellinger Instituut Nederland;;;;;1;;;;1
Bert Koekkoek;;;;;1;;;;1
Beteor Organisatie Ontwikkelings Groep B.V.;;;;;1;;;;1
Beurs van Berlage Café B.V.;;;1;;;;;;1
Bezoekerscentrum de Kennemerduinen;;;1;;;;;;1
Biercafe Carillon;;;;;;;;1;1
Biesmans Remkes, B.W.M.;;;;;;;;1;1
Bij Cosineros;;;1;;;1;;;1
BijzonderStrafrecht B.V.;;;;;1;;;;1
Bilder B.V.;;;1;;;;;;1
Bilderberg Grand Hotel Wientjes;;;1;;;1;;;1
BIMformaat;;;;;1;;;;1
Binoq B.V.;;;;1;;;;;1
Biologische Slagerij Gerrit Takke;;;1;;;;;;1
Birds of the West Indies B.V.;;;;;1;;;;1
Bisnez Management B.V.;;;;;1;;;;1
Bistro Basta;;;1;;;1;;;1
Bistro 'Poortje van Verlaan';;;1;;;;;;1
Bistro 't Kannetje B.V.;;;1;;;;;;1
Bit Direct;;1;1;;;;;;1
Bjor's B.V.;;;1;;;;;;1
Blackhat B.V.;;;;;2;;;;2
Blesbanket;;;1;;;;;;1
Block & Barrels B.V.;;;1;;;1;;;1
BLOEM;;;1;;;;;;1
Bloemberg Communicatie;;;;;1;;;;1
Bloembinderij All Seasons;;;1;;;;;;1
Bloemisterij Wesseling V.O.F.;;;1;;;;;;1
Bloemsierkunst Artisjok;;;1;;;;;;1
Blom Opleidingen;;;;;1;;;;1
BLOSSOM bloemisterij;;;1;;;;;;1
BMC Implementatie;;;;;1;;;;1
Bob de Ronde Partners;;;;;1;;;;1
BodyMindLanguage;;;;;1;;;;1
BOEL;;;1;;;1;;;1
Boertien Vergouwen Overduin B.V.;;;;;3;;;;3
Bojo B.V.;;;;;;;;1;1
bol.com B.V.;;1;1;1;1;1;;;1
Bommel, M. van;;;;;;;;1;1
Bonne Consult;;;;;1;;;;1
Boot Varen Den Haag;;;1;;;;;;1
Bos & Bos Catering B.V.;;;1;;;;;;1
Boss Coaching;;;;;1;;;;1
Bosselaar Hoveniers;;;1;;;;;;1
Bossmann Business;;;;;1;;;;1
Boterwaag Den Haag B.V.;;;1;;;;;;1
Bouzy;;;1;;;;;;1
Bowling- & Partycentrum Groningen B.V.;;;1;;;1;;;1
Bowling Scheveningen B.V.;;;1;;;;;;1
BraIn B.V.;;;;;1;;;;1
Brainsight;;;;;1;;;;1
Brainsound;;1;;;;;;;1
Brainwork B.V.;;;;;1;;;;1
Brasserie de Koepel;;;1;;;1;;;1
Brasserie Midi;;;1;;;1;;;1
Brasserie Sequenza;;;1;;;;;;1
Brasserie Soho B.V.;;;1;;;;;;1
Brasserie 't Zusje Scheveningen B.V.;;;1;;;;;;1
Brazzerie Abrona;;;1;;;;;;1
Break-Out Gruno Park B.V.;;;1;;;1;;;1
Breinkorf;;;;;1;;;;1
Brenda Boele Buitencoaching;;;;;1;;;;1
Bret Amsterdam B.V.;;;1;;;;;;1
Brodies B.V.;;;1;;;;;;1
Brouwerij Maximus B.V.;;;1;;;;;;1
BR-Platform Nederland;;;;;1;;;;1
Brüggemann horeca groep;;;1;;;;;;1
Brussaard Company Group B.V.;;;;;;;;1;1
Buckshot;;;1;;;1;;;1
Buds Tolhuis NO.11;;;1;;;;;;1
BuitenGewoon Evenementen B.V.;;;1;;;;;;1
BUNK Hotel Utrecht B.V.;;;1;;;;;;1
Buon Gusto Ristorante;;;1;;;1;;;1
Bureau Beaufort;;;;;1;;;;1
Bureau Bobby B.V.;;;2;;;;;;2
Bureau Bohré;;;;;1;;;;1
Bureau Schijf, Partner in Leiderschap;;;;;2;;;;2
Bureau Van Dam;;;;;1;;;;1
Bureau Zuidema B.V.;;;;;4;;;;4
Burgundy Street B.V.;;;1;;;;;;1
Burrata Kortenaer B.V.;;;1;;;;;;1
Burrata Turfmarkt B.V.;;;1;;;;;;1
BVO Opleidingen B.V.;;;;;4;;;;4
By Acte B.V.;;;4;;;;;;4
C. Beumer system. coachen, opstell. & train.;;;;;1;;;;1
C.M.J. Schols B.V.;;1;;;;;;;1
Cadeaubonnen.nl B.V.;;;1;;;;;;1
Café De Klikspaan;;;1;;;1;;;1
Café De Sigaar;;;1;;;1;;;1
Café De Snor;;;1;;;;;;1
Café du Midi B.V.;;;1;;;1;;;1
Café Lent;;;1;;;1;;;1
Café Restaurant De Biechtstoel;;;1;;;1;;;1
Café Restaurant De Paalkoepel B.V.;;;1;;;1;;;1
Café Restaurant Rootz B.V.;;;1;;;;;;1
Café Singelier;;;1;;;1;;;1
Café XO Haarlem B.V.;;;1;;;1;;;1
Cafe/Restaurant De Eeuwige Jachtvelden;;;1;;;;;;1
Café-Restaurant Amier;;;1;;;1;;;1
Café-Restaurant Pan;;;1;;;1;;;1
CAI-Opleidingen B.V.;;;;;1;;;;1
Call Information Technology B.V.;;;;;1;;;;1
Campus Hotel;;;;;1;;;1;1
CAOP;;;;;1;;;1;1
Capgemini Nederland B.V.;;;;;2;;;;2
Cardprotector B.V.;;;1;;;;;;1
Careerhandling B.V.;;;;;1;;;;1
Carlton Hotel Collection;;;1;;;;;;1
Carlton Hotels Nederland B.V.;;;2;;;1;;1;2
Casa Deli;;;;;;;;1;1
Cater & Co;;;1;;;;;;1
Catering Broodje Gesmeerd;;;;;;;;1;1
Cathreine B.V.;;;;1;;;;;1
Cendris Customer Contact B.V.;;;;;3;;;;3
Centipede Events B.V.;;;1;;;1;;;1
Centralpoint Nijmegen B.V.;;1;;;;;;;1
Centric Netherlands B.V.;;;;;1;;;;1
Centrum Proza;;1;;;;;;;1
Centrum Quadraat;;;;;1;;;;1
Cervantes;;;1;;;1;;;1
Charity Service;;;1;;;;;;1
Chef marketing;;;;;1;;;;1
China Air Service;;;1;;;;;;1
China Express NoodlXL;;;;;;;;1;1
Chinees Indisch Restaurant Tai Soen;;;1;;;1;;;1
Chip Bizz B.V.;;;;;;;;1;1
Chocolaterie Le Cacao;;;1;;;;;;1
Christelijke Hogeschool Windesheim;;;;;1;;;;1
Ciao! Ciao! B.V.;;;1;;;1;;;1
Cinop Advies B.V.;;;;;1;;;;1
CINOP B.V.;;;;;1;;;;1
Cinq ICT;;1;;;;;;;1
Circuswerkplaats Circaso;;;;;1;;;;1
CIRFOOD Netherlands B.V.;;;1;;;;;;1
Citylife B.V.;;;1;;;;;;1
Claire de Haan Communicatie;;;;;1;;;;1
Clear Effect;;;;;1;;;;1
Clearfields Producties B.V.;;;;;1;;;;1
Cloose;;;1;;;;;;1
Clou B.V.;;;;;1;;;;1
CLTR - Culture in Control;;;;;1;;;;1
CM Partners B.V.;;;;;1;;;;1
Coachen in contact;;;;;1;;;;1
Coaching Academy International;;;;;1;;;;1
cocktail-shaken.nl;;;1;;;;;;1
Code & Coffee B.V.;;;;;1;;;;1
College of Multimedia;;;;;1;;;;1
Colourful People B.V.;;;;1;;;;;1
Comedytrain Impresariaat B.V.;;;1;;;;;;1
Common B.V.;;;;;1;;;;1
Company Care Network;;1;;;;;;;1
Company Webcast B.V.;;;;;3;;;;3
COMPAREX Nederland B.V.;;;;;4;;;;4
Compu'Train;;;;;1;;;;1
Computrain Opleidingen;;;;;3;;;;3
Concert- en lespraktijk R. Seinstra;;;1;;;;;;1
Conclusion B.V.;;;;;1;;;;1
Conducto Opleidingen B.V.;;;;;1;;;;1
Congresbureau KIVI NIRIA;;;1;;;;;;1
Contact Communicatietrainingen;;;;;1;;;;1
Content Strategy B.V.;;;;;1;;;;1
Coolblue B.V.;;1;;;1;;;;1
Coöperatie De Betekenaar UA;;;;;1;;;;1
Coosto B.V.;;;;;1;;;;1
Copy 76;;;;;1;;;;1
Copy Right ! Helpman;;;;1;;;;;1
Core Commit;;;;;2;;;;2
Corner-Stone Holding B.V.;;;;;1;;;;1
Correctbook Europe B.V.;;;;;1;;;;1
Courius B.V.;;;;;1;;;;1
Cover;;;;1;;;;;1
Crazy Holding;;;1;;;1;;;1
Creative Learning;;;;;1;;;;1
Cristien van der Woude;;;1;;;;;;1
Cross Cultural Bridges;;;1;;;;;;1
Cuisine et Culture;;;;;;;1;;1
Culturele Vacatures B.V.;;;;1;;;;;1
Cultuursporen;;;;;;;;1;1
CURA Preventie B.V.;;1;;;;;;;1
Curltalk;;;;;1;;;;1
CVS/ME Medisch Centrum B.V.;;1;;;;;;;1
CWM van Sante;;;;;1;;;;1
Cyntrix;;;;;1;;;;1
D&B;;;;;2;;;;2
D. Braun B.V.;;;;;1;;;;1
Da Vinci B.V.;;;1;;;1;;;1
DaBa Hummen B.V.;;;1;;;1;;;1
D'Amici;;;1;;;;;;1
DARA B.V.;;;1;;;;;;1
De Baak Administratie;;;;;4;;;;4
De Baak B.V.;;;;;3;;;1;3
De Boerinn B.V.;;;1;;;;;;1
De Bootsmannen B.V.;;;1;;;;;;1
De Boxx;;;;;2;;;;2
De Branding Utrecht B.V.;;;1;;;;;;1
De Drie Gezusters;;;1;;;;;;1
De Duiventil Groningen;;;;;;;;1;1
De Edyssee;;;;;1;;;;1
De frietbakkerie;;;;;;;;1;1
De Gelaarsde Kat;;;1;;;1;;;1
De Gezonde Zaak B.V.;;;;;1;;;;1
De Gido Stichting;;;;;1;;;;1
De Goey-Koot;;;1;;;;;;1
De Gouden Handen;;;;;1;;;;1
De Gouden Wok Zuiderpark;;;1;;;;;;1
De Grote Frederik;;;1;;;1;;;1
De Heeren van Driebergen B.V.;;;1;;;;;;1
De Huisvester;;;;;1;;;;1
De Jong Psycholoog voor Arbeid en Vitaliteit;;1;;1;2;;;;2
DE KEMPEL;;;;;1;;;;1
De Kleine Kasteleine;;;1;;;1;;;1
De Koers;;;;;2;;;;2
De Kookfabriek Rotterdam B.V.;;;1;;;;;;1
De Kroon Daily Deli B.V.;;;1;;;;;;1
De kunst van geluk;;;;;1;;;;1
De Museumvereniging;;;;;1;;;;1
De Nederlandse Token Vereniging;;;;;1;;;;1
De Nieuwe Karmeliet;;;1;;;;;;1
De Onderstroom Karin Brugman;;;;;1;;;;1
De Onderwijsspecialisten;;;;;1;;;;1
De Pier Horeca B.V.;;;1;;;;;;1
De Politieke Dimensie B.V.;;;;;1;;;;1
de Poort van Borne;;;;1;;;;;1
DE REE archiefsystemen;;;;;4;;;;4
De Rotterdam B.V.;;;1;;;;;1;1
De samenwerking B.V.;;;;;;;;1;1
De School voor Transitie;;;;;1;;;;1
De Smederij;;;1;;;1;;;1
De Smelt B.V.;;;1;;;;;;1
De Stroper Dordt B.V.;;;1;;;;;;1
De Sushimeisjes;;;1;;;;;;1
De Taaltrainer;;;;;1;;;;1
De Tombe Consultancy B.V.;;;;;1;;;;1
De Toorts;;;;;1;;;;1
De Topografisch Historische Atlas;;;;;1;;;;1
De Uurwerker;;;1;;;1;;;1
De Vingerhoed B.V.;;;1;;;;;;1
De Voort Advocaten - Mediators;;;;;1;;;;1
De Waterreus;;;1;;;;;;1
De Zeemeeuw;;;1;;;1;;;1
Deaf by Iris;;;;;1;;;;1
DeBallonnenpret.nl;;;1;;;;;;1
DeDAKKAS B.V.;;;1;;;;;;1
Defibrion;;1;;;;;;;1
Dekker Zoetermeer;;;2;;;;;;2
deLex Media en Management B.V.;;;;;1;;;;1
Delft Congress Support B.V.;;;1;;1;;;;1
Delta Kappa Gamma Society-Nederland;;;1;;;;;;1
Den Engh B.V.;;;1;;;;;;1
Denk Producties B.V.;;;;;1;;;;1
Dennis Cooking Place;;;1;;;1;;;1
Departyshop.nl B.V.;;;1;;;;;;1
Désirée Ruijgrok Communicatie;;;;;1;;;;1
Desis;;;;;1;;;;1
Deventer Ziekenhuis;;;;1;;;;;1
DFG;;;;;2;;;;2
di stefano;;;1;;;1;;;1
Dialogue B.V.;;;;;1;;;;1
Didactive B.V.;;;;;1;;;;1
Di-Dis.com;;;;;1;;;;1
Dierenpark 'Amersfoort' B.V.;;;1;;;;;;1
Dieter.nl B.V.;;;;;1;;;;1
Dietheek;;;;1;;;;;1
Digibites B.V.;;;1;;;1;;;1
Digital Farm;;;;;1;;;;1
Dignitas Mediation & Conflict Management;;;;;1;;;;1
Dilemma;;;;;;1;;1;1
Dinercafé Diep;;;1;;;1;;;1
Dinerspel.nl;;;1;;;1;;;1
Dirge's Music & Organization;;;;;;1;;;1
DiVetro B.V.;;;;;1;;;;1
DJ Zebra Entertainment;;;1;;;;;;1
docomomo Deutschland e.V.;;;;;1;;;;1
Doenederland.nl B.V.;;;1;;;;;;1
Doloris B.V.;;;1;;;;;;1
Doloris Horeca B.V.;;;1;;;;;;1
Domino's Pizza Netherlands B.V.;;;1;;;1;;1;1
Domus Medicus Vinkers;;1;;;;;;;1
Don, F.P.;;;;;;;;1;1
Door Nijmegen;;;1;;;;;;1
Double A Exploitatie B.V.;;;1;;;1;;;1
DPG Media B.V.;;;;1;;;;;1
Dr. Banket B.V.;;;1;;;;;;1
Drenthe Tours B.V.;;;;;;;;2;2
Driessen B.V.;;;1;;;;;;1
Driestar educatief;;;;;;;;1;1
Drs. H.M. Bakker Organisatie Adviseurs B.V.;;;;;1;;;;1
drs. Jos G. ter Avest;;;1;;;;;;1
Drukkerij Comprint B.V.;;;1;;;;;;1
Duckcity B.V.;;;1;;;;;;1
Ducktrail B.V.;;;1;;;;;;1
Dudok Den Haag B.V.;;;1;;;1;;;1
Dudok Rijnstraat B.V.;;;1;;;;;;1
Dununba Percussie Workshops;;;1;;;;;;1
Dutch Dance Artistry;;;;1;;;;;1
Dutch Numismatics;;;;;;;;1;1
Duwtje B.V.;;;;;1;;;;1
E. de Jager;;;1;;;;;;1
EAPRIL vzw;;;;;1;;;;1
Ebbinge & Company International Holding B.V.;;;;;1;;;;1
Ebbinge B.V.;;;;;1;;;;1
Echt Anders;;;;;1;;;;1
ECHT Nienke;;;;;1;;;;1
Echt Squisito B.V.;;;1;;;1;;;1
Eco Statia N.V.;;;;;;;;1;1
ECPC;;;;;;;1;;1
Eden Springs Nederland B.V.;;;1;;;;;;1
Eduvision B.V.;;;;;1;;;;1
Eenden Verhuur Westland;;;1;;;;;;1
Eetcafé De Kornuiten;;;1;;;1;;;1
Eetcafe de Stadstuin;;;1;;;1;;;1
Eetcafé Het Zwarte Schaap;;;1;;;;;;1
Eetcafé 't Keerpunt;;;1;;;1;;;1
Eetwaar;;;1;;;1;;;1
Effectivents;;;;;1;;;;1
Effectory B.V.;;;;;1;;;;1
Effectory Holding B.V.;;;;;1;;;;1
EHBO Vereniging Castricum;;;;;1;;;;1
Ehrensvard-seura ry;;;;;1;;;;1
Eijkenaar & de Hoop;;1;;;;;;;1
Einstein Exploitatie B.V.;;;1;;;;;;1
El Primo B.V.;;;1;;;;;;1
elasticsearch B.V.;;;;;1;;;;1
Elias Wagenpark Advies;;;;;1;;;;1
Ellen Waenink;;;;;1;;;;1
Elycio Talen B.V.;;;;;1;;;;1
Emergis;;1;;;;;;;1
Emtek Ergonomics B.V.;;1;;;;;;;1
Engels Horeca Rotterdam B.V.;;;1;;;;;;1
Entopic B.V.;;;;;1;;;;1
Erasmus Training;;;;;1;;;;1
Erena trainingen;;;;;1;;;;1
Ergatis;;1;;;;;;;1
Ergatis B.V.;;1;;;;;;;1
Ernst Sillem Hoeve B.V.;;;;;1;;;1;1
Erve Meinders;;;;;1;;;;1
Escape Hunt Groningen;;;1;;;1;;;1
Esenso B.V.;;;;;1;;;;1
eSpecialisten B.V.;;;;;1;;;;1
Esri Nederland;;;;;1;;;;1
Estil Nederland V.O.F.;;;;;1;;;;1
Eten & Zo Zoetermeer B.V.;;;1;;;1;;;1
Etop;;;;;1;;;;1
Eur. Assoc. for International Education;;;;;1;;;;1
Eur. Instit. voor Certified Public Controll.;;;;;1;;;;1
Eurasia B.V.;;;;;1;;;;1
Eurest Services B.V.;;;;;;;;1;1
Euroborg N.V.;;;;;;;;1;1
Eurocult-lito B.V.;;;;;;;;1;1
Euroforum;;;;;2;;;;2
Euromast Horeca B.V.;;;1;;;1;;;1
European Registration Office B.V.;;;;;2;;;;2
Eurosian International Trading;;;;;1;;;;1
EVC Centrum Nederland B.V.;;;;;1;;;;1
EVE Tilburg B.V.;;;1;;;;;;1
Expertisecentrum Conflictmanagement;;;;;1;;;;1
Expertisecentrum Nederlands B.V.;;;;;1;;;;1
Exploit. Maatsch. De Nwe Poort Rotterdam B.V.;;;1;;;1;;;1
Exploitatie Schimmelpenninckhuys B.V.;;;1;;;1;;1;1
Expo Display Service;;;1;;;;;;1
F. de Klerk Advies;;;;;1;;;1;1
F. Lippok;;;1;;;;;;1
F. van Kleef;;;;;;;;1;1
Fa. Hotel Van den Bosch;;;;;1;;;;1
Faasen PPO;;;;;1;;;;1
Faasen training - coaching;;;;;1;;;;1
FaberExposize B.V.;;;1;;;;;;1
Facint B.V.;;;1;;;;;;1
F-Act Bedrijfstrainingen;;;;;1;;;;1
Falke & Verbaan B.V.;;;;1;1;;;;1
Fast Lane Benelux B.V.;;;;;2;;;;2
Fatoush;;;1;;;1;;;1
Feelgood2GO B.V.;;;1;;;;;;1
Feithhuis Exploitatie B.V.;;;1;;;1;;;1
Felipe van Laar;;;;;;;;1;1
Fidúsje;;;;;2;;;;2
Fietsenverhuurbedrijf 'De Veluwe';;;1;;;;;;1
Filosofisch Theater Jan Bransen;;;1;;;;;;1
Firma Hof der Muzen;;;1;;;1;;;1
FixieBrothers B.V.;;;1;;;;;;1
Flexera Software Limited;;;;;1;;;;1
Flinders Cafe B.V.;;;1;;;1;;;1
Flitz-Events;;;1;;;1;;;1
Florentin Groningen;;;1;;;1;;;1
Florisgifts B.V.;;;1;;;;;;1
Focus Learning Journeys B.V.;;;;;1;;;;1
Foodfellas Catering;;;;;;;;1;1
Footy Amsterdam B.V.;;;1;;;;;;1
Forsa Advies;;;;;1;;;;1
Forsa Advies B.V.;;;;;1;;;;1
Fortune Factory B.V.;;;1;;;;;;1
Four Rose's;;;1;;;1;;;1
FQC Consultancy;;;;;1;;;;1
Francissen Communicatie;;;;;2;;;;2
Frank Hoes Advies;;;;;1;;;;1
Frank Rensen;;;1;;;;;;1
Frank Schaper;;;;;1;;;;1
Frankwatching B.V.;;;;;1;;;;1
Fresh Today B.V.;;;;;;;;1;1
Frontend Revolution B.V.;;;;;1;;;;1
Fruitkwekerij De Braacken;;;1;;;;;;1
Fysiotherapeutisch Centrum Palenstein;;1;;;;;;;1
G. Boelens;;;;;;;;1;1
G.M. Bell;;;;;;;;1;1
G4S Training & Safety B.V.;;;;;1;;;;1
Gabriël Anthonio;;;;;1;;;;1
Gartner Nederland B.V.;;;;;4;;;;4
Gasille;;;;;1;;;;1
Geberit International B.V.;;;;;2;;;;2
Gebr. Barendsen B.V.;;;1;;1;;;;1
gefeliciTAART B.V.;;;1;;;;;;1
Geisha Restaurant & Lounge B.V.;;;1;;;1;;;1
Gemeente Emmen;;;1;;;;;;1
geodomein;;;;;1;;;;1
Gerard Borkus;;1;;;1;;;;1
Gerry Schultinga;;;;;1;;;;1
Gershwin Bonevacia;;;;;;1;;;1
Gezondh.huis Stadshagen, locat. de Verbinding;;;;1;;;;;1
Gezondheidscentrum Goverwelle B.V.;;;;1;;;;;1
Gezondheidscentrum MediSena;;;;1;;;;;1
gezondheidscentrum SandT;;;;1;;;;;1
Gezondheidscentrum Staatsliedenbuurt;;;;1;;;;;1
Gezondheidscentrum 't Woud;;;;1;;;;;1
Gezondheidscentrum Vaillantplein;;;;1;;;;;1
Gezondheidscentrum Zuidplein;;;;1;;;;;1
GGz Centraal Veldwijk;;1;;;;;;;1
GGZ inGeest Overschiestraat;;1;;;;;;;1
GITP B.V.;;;;;1;;;;1
Glaswerk;;;1;;;;;;1
Global Edutainment;;;;;1;;;;1
Global Knowledge;;;;;3;;;;3
Global Knowledge Network Netherlands B.V.;;;;;2;;;;2
Global Project Performance;;;;;1;;;;1
GN Beheer B.V.;;;;;;;1;;1
Go B.V.;;;;;1;;;;1
Goerp;;;;;1;;;;1
Golden Tulip Hotel Central;;;1;;;1;;1;1
Golfbaan Het Rijk van Nunspeet B.V.;;;;;1;;;;1
Gordion Cultureel Advies;;;1;;;;;;1
Goudse Taxi Centrale;;;;;;;;1;1
Gran Mercado B.V.;;;1;;1;;;;1
Grand Café 'Central';;;1;;;;;;1
Grand Cafe Groningen;;;1;;;1;;;1
Grand Cafe Lubeck;;;1;;;;;;1
Grand Café Plein7 B.V.;;;1;;;;;;1
Grand Central Food Market B.V.;;;1;;;1;;;1
Grandcafe Haagsche Bluf;;;1;;;;;;1
grandtaria Friet van Piet;;;1;;;1;;;1
Granny's Corner;;;1;;;1;;;1
Graphic Hunters;;;;;1;;;;1
Green Café;;;1;;;1;;;1
Greetz B.V.;;;1;;;;;;1
Grieks Restaurant Delphi;;;1;;;;;;1
Grieks Restaurant Greekz;;;1;;;1;;;1
