Rijlabels;1110 - Verhuiskosten personeel (binnen- en buitenland);1120 - Arbeidsomstandigheden en personele zorg (incl. BHV middelen);1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Studie en opleiding;1160 - Personeelsevenementen, - bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis en verblijfkosten;Eindtotaal
Comic House Amsterdam B.V.;;;;;;;;1;1
Compu'Train;;;;;1;;;;1
Condite B.V.;;1;;;;;;;1
Connexxion Taxi Services B.V.;;;;;;;;1;1
Corporate Traveller Johannesburg;;;;;;;;1;1
Cortenaer B.V.;;;;;;1;;;1
Courtyard By Marriott Moscow;;;;;;;;1;1
Culpepper B.V.;;;;;;2;;;2
CURA Preventie B.V.;;1;;;1;;;;1
Cynthiadeheer.nl;;;;1;;;;;1
Dagelijks Lekker B.V.;;;;;;1;;;1
Dance Holland;;;;;;1;;;1
Dataveem B.V.;;;;;;;;2;2
DataWeb B.V.;;;;1;;;;;1
Daxtrio B.V.;;1;;;;;;;1
De Argumentenfabriek B.V.;;;;;1;;;;1
De Baak B.V.;;;;;3;;;;3
De Bootsmannen B.V.;;;;;;1;;;1
De Franse Stap Culinair;;;;;;1;;;1
De Gruijter Sprl Deurne;;;;;;;;1;1
De Haagse Creatieven Alliantie B.V.;;;;;;1;;;1
De Javaanse Vlam;;;;;;1;;;1
De Jongens uit Schoorl;;;;;;1;;;1
De Kaag V.O.F.;;;;;1;;;;1
De Kookfabriek Den Haag B.V.;;;;;;1;;;1
'De Nineties';;;;;;1;;;1
de Persgroep Nederland B.V.;;1;;;;;;;1
De Positioneerders;;1;;;;;;;1
De Rijtuigenloods B.V.;;;;3;;;;;3
De Rotterdam B.V.;;;;;1;;;;1
De werktuin;;;;;1;;;;1
Dekker Zoetermeer;;;;;;1;;;1
Delft Dynamics Holding B.V.;;;;;1;;;;1
DeLimes B.V.;;;;;1;;;;1
Digital Action;;;;;1;;;;1
Dikscommuniceert;;;;;1;;;;1
Diner Thuis;;;;;;1;;;1
Dino4 B.V.;;;;;1;;;;1
Direction Briefings for Business Leaders;;;;;2;;;;2
DISC Factor B.V.;;;;;1;;;;1
Distinguished;;;;;1;;;;1
Divertido - koken en creëren;;;;;;1;;;1
D'Javas;;;;;;1;;;1
Don Quijote Nederland B.V.;;;;;1;;;;1
Dopper;;;;;1;;;;1
Double Healix Educational Media B.V.;;;;;1;;;;1
Double Tree By Hilton Toronto Downtown Toronto;;;;;;;;1;1
Down The Hatch;;;;;;1;;;1
Dreamtree Coaching;;;;;1;;;;1
Drs. J.S.E. Vriesema, Consultancy;;;;;1;;;;1
Dudok Den Haag B.V.;;1;;;;1;;;1
Dutch Association of Corporate Treasurers;;;;;;;1;;1
Dutch Pinball Museum;;;;;;1;;;1
Ebbinge B.V.;;;;;1;;;;1
EEN! B.V.;;;;;;1;;;1
El Niño B.V.;;;;;;1;;;1
Elycio Talen B.V.;;;;1;4;;;;4
Emergo;;;;;1;;;;1
Employee Performance Group B.V.;;;;;2;;;;2
Ergatis B.V.;;1;;;;;;;1
Erstad B.V.;;2;;;;;;;2
ESB B.V.;;;;1;;;;;1
Esencia Coaching, Training & Advies;;;;;1;;;;1
Eten bij Werelds;;;;;;1;;;1
Eur. Instit. voor Certified Public Controll.;;;;;;;1;;1
Eurest Services B.V.;;;;;;1;;;1
Eurocross Assistance Netherlands B.V.;;1;;;;;;1;1
Euroforum;;;;;1;;;;1
European Language Centre B.V.;;;;;4;;;;4
EUROPROTOCOL LIMITED THE EUROPEAN SCHOOL OF PROTOCOL;;;;;1;;;;1
Evenman B.V.;;;;;;1;;;1
ExitGame;;;;;;1;;;1
expertcoach;;;;;1;;;;1
Expertise in Labour Mobility B.V.;;;;;1;;;;1
Exploit.maatsch. Boerderij Meijendel B.V.;;;;;;1;;;1
EXPOTRAVEL BVBA;;;;;;;;1;1
F&U Nederland B.V.;;;;;1;;;;1
F5 Networking;;;;;1;;;;1
Fabius Opleidingen B.V.;;;;;1;;;;1
Fair Price B.V.;;;;;;1;;;1
Feel Good 2 Stress Counselling en Coaching;;;;;1;;;;1
Fenomeen - embodied leadership;;;;;1;;;;1
Fiesta Residences Accra;;;;;;;;1;1
Fifty Nyc.;;;;;;;;2;2
Firma Hof der Muzen;;1;1;;;1;;;1
FitnessStoffering.nl;;;;;;1;;;1
Fitzpatrick Grand Central Hotel;;;;;;;;1;1
Flashbay Limited;;;;1;;;;;1
Fliteline B.V.;;;;;;;;4;4
Fonk Beach B.V.;;;;;;1;;;1
Food4Sharing;;;1;;;;;;1
Foodzie;;;;;;1;;;1
Fort Wierickerschans B.V.;;;;;;1;;;1
Forzes;;;;;2;;;;2
Fotogeniek;;;;1;;;;;1
Frank van Leeuwen;;;;1;;;;;1
Frankwatching B.V.;;;;;1;;;;1
Free Food Refugee Company B.V.;;;;;;1;;;1
Frisse Zin;;;;1;;;;;1
Gasterij De Arend;;;;;;1;;;1
Gebr. Barendsen B.V.;;1;1;;1;1;;1;1
Gerard Borkus;;;;;1;;;;1
GJM Communicatie B.V.;;;;;1;;;;1
Global Connection;;;;;2;;;;2
Go B.V.;;;;;1;;;;1
Goedkoopste-Kantoorartikelen.nl;;;;;;1;;;1
Gran Mercado B.V.;;;;;;1;;;1
Grand Café de Burcht B.V.;;;;;;1;;;1
Grandcafe Haagsche Bluf;;;;;;1;;;1
Granny's Corner;;;;;;1;;;1
Groepsuitjes Leiden;;;;;;1;;;1
Gusto Mangia e Bevi;;;;;;1;;;1
Habtoor Grand Resort Autograph Coll. LLC;;;;;;;;1;1
Happy Meat B.V.;;;;;;1;;;1
Harekar Company For Security & Guarding;;;;;;;;1;1
Harmony Relocation B.V.;4;;;;;;;;4
Hart Beach B.V.;;;;;;1;;;1
Havesathe Laarwoud B.V.;;;;;2;;;;2
Hearttotouch;;;;;2;;;;2
Heeren & Jansze;;;;;1;;;;1
Heliview Conferences en Training B.V.;;;;;1;;;;1
Hennekes Special Seating B.V.;;1;;;;;;;1
Henriëtte van Dueren den Hollander;;;;;1;;;;1
Hesbak Beheer B.V.;;;;;;1;;;1
Het Kabinet, Eten en Drinken;;;1;;;;;;1
Het Kookplein;;;1;;;1;;;1
Het Nutshuis;;;;;;1;;;1
Het Pleidooi;;;;;;1;;;1
High Five Health Promotion B.V.;;2;;;;;;;2
Hofje van Pauw: praktijk voor haptonomie;;1;;;;;;;1
Hofstad Events B.V.;;;;;;1;;;1
Holding Beheermaatschappij Ropeni B.V.;;;1;;;2;;;2
Holland Tour Guides B.V.;;;;;;1;;;1
Hop & Stork Den Haag B.V.;;;1;;;;;;1
Horeca Exploitatie Maatschappij Berlage B.V.;;;;;;1;;;1
HOTEL BERLAYMONT;;;;;;;;1;1
Hotel Des Indes B.V.;;;;;;1;;;1
Hotel Leusden B.V.;;;;;1;;;1;1
Hotel Melia Havana;;;;;;;;1;1
Hotel New York B.V.;;;;;;1;;;1
Hotel Okura Tokyo;;;;;;;;1;1
Hotel Palomar Washington;;;;;;;;2;2
HOTEL ROTHSCHILD;;;;;;;;1;1
Hotel Torarica Paramaribo;;;;;;;;1;1
Hotel/Restaurant Corona;;;;;;;;1;1
House of Lords B.V.;;;;;;1;;;1
HSBC BANK USA, N.A.;;;;;;;;1;1
Huf & Go;;;;;;;;1;1
Huijer Evening Dress B.V.;;;;;;;;1;1
Huub en Adelheid Kortekaas;;;;;;1;;;1
HXWork;;;;;1;;;;1
Ibis Den Haag City Centre;;;;;1;;;;1
ICM Administratie B.V.;;;;;1;;;;1
ICM Opleidingen & Trainingen B.V.;;;;;1;;;;1
IFS audiovisueel B.V.;;;;1;;;;;1
IKAN Consultancy;;;;;1;;;;1
ILAT Information, Learning and Adv. Transact.;;;;;1;;;;1
Impero Romano Holding B.V.;;;;;;1;;;1
Improven B.V.;;;;;2;;;;2
Incassobureau Plaggemars;;;;;1;;;;1
Indisch Restaurant Garoeda;;;;;;1;;;1
Indonesisch Restaurant Poentjak;;;;;;1;;;1
Information Security Academy B.V.;;;;;1;;;;1
ING Bank N.V.;;;;;;;;1;1
Inmobiliaria 56 Ca.;;;;;;;;1;1
Inspiratiebrigade;;1;;;;;;;1
Instituut voor Non verb. Strat. Analyse B.V.;;;;;1;;;;1
Instituut voor Psychotrauma Nederland B.V.;;2;;;;;;;2
Instituut voor Wijsbegeerte B.V.;;;;;1;;;1;1
Instock Amsterdam;;;;;;1;;;1
INTERCONTINENTAL HOTEL KUALA LUMPUR;;;;;;;;1;1
Intercult. Business Improvement Holding B.V.;;;;;4;;;;4
iPeople;;;;;1;;;;1
IPRC B.V.;;;;;1;;;;1
ISLAMABAD SERENA HOTEL;1;;;;;1;;2;2
Israel Producten Centrum;;;;;1;;;;1
ISS Integrated Facility Services B.V.;;;1;;;2;;;2
IT Management Group;;;;;1;;;;1
Ivo Broekhuizen Communicatie;;;;;1;;;;1
J.E.A. de Jong / Proeflokaal Sijgje Voorburg;;;;;;1;;;1
Jaarbeurs Ontwikkeling B.V.;;;;;;1;;;1
Jaffar Consultancy;;;;;1;;;;1
Jamie's Italian Den Haag;;;;;;1;;;1
Jatta;;;;;1;;;;1
Jet Aviation Netherlands B.V.;;;;;;;;1;1
Jet Centeno;;;;;1;;;;1
JI Wildschut Coaching;;;;;1;;;;1
Joan's Vitality Solutions;;;;;1;;;;1
Joli V.O.F.;;;;;;1;;;1
Juris B.V.;;1;;;;;;;1
K + V Interimmanagement B.V.;;;;;1;;;;1
Kaapse Brouwers B.V.;;;;;;1;;;1
Kamille Coaching en Loopbaanbegeleiding;;;;;1;;;;1
Kelly Maakt;;;;;1;;;;1
Kenan Services;;;;;1;;;;1
Kenniscentrum B.O.S.;;;;;1;;;;1
Kick Sprangers, coach-trainer;;;;;1;;;;1
Kind- en jeugdpraktijk Den Haag B.V.;;1;;;;;;;1
KLM Health Services B.V.;;5;;;;;;;5
Kompaan;;;;;;1;;;1
Koninklijk Instituut van Ingenieurs;;;;;1;;;;1
Koninklijk Instituut voor de Tropen;;;;;1;;;;1
Koninklijke Luchtvaart Maatschappij N.V.;;;;;;;;1;1
KSG Trainers & Consultants;;;;;3;;;;3
La Cuisine De Flore Bruxelles;;;;;1;;;;1
La Vina B.V.;;;;;;1;;;1
Landgoed de Horst;;;;;1;;;;1
Lee Hecht Harrison Nederland B.V.;;;;;2;;;;2
Leer Arabisch;;;;;1;;;;1
Leeuwenburg;;;;;1;;;;1
Leeuwendaal Advies B.V.;;;;2;;1;;;2
Leidse Onderwijsinstellingen B.V.;;;;;1;;;;1
LEON (Leon Evers Opleidingen Nederland);;;;;1;;;;1
LEOPOLD HOTEL BRUSSELS EU;;;;;;;;1;1
Libereaux B.V.;;;;;1;;;;1
Liferay Benelux B.V.;;;;;1;;;;1
Listel Canada Limited Vancouver;;;;;;;;1;1
Live Escape B.V.;;;;;;1;;;1
Liza Luesink Holding B.V.;;;;;;;;1;1
Lodewieck;;;;;;1;;;1
LSE  - THE LONDON SCHOOL OF ECONOMICS;;;;;1;;;;1
LTP Holding B.V.;;;;4;4;;;;5
Lumenz;;1;;;;;;;1
Maatschap van Son Calis;;;1;;;;;;1
Made in Italy;;;;;;1;;;1
Madurodam B.V.;;;;;;1;;;1
Magic Travel;;;;;;;;1;1
Magnet.me;;;;1;;;;;1
Mama Essi;;;;;;1;;;1
MaMa Kelly B.V.;;;;;;1;;;1
Manongs B.V.;;;;;;1;;;1
Marcus Evans (Holland) Limited;;;;;1;;;;1
Marion Matthijssen onderzoek & training;;;;;1;;;;1
Marion.tc;;;;;1;;;;1
Marksmen Holding B.V.;;;;;1;;;;1
MARRIOTT HOTEL KIGALI;;;;;;;;1;1
Mauritshuis;;;;;;1;;;1
Maxilia Holding B.V.;;;;;;1;;;1
MDI Consultants;;;;;1;;;;1
MdL-Coaching;;;;;1;;;;1
Meetingselect B.V.;;;;;3;1;;;3
Mercure Den Haag Central;;;;;;;;1;1
MILLENIUM HILTON NEW YORK ONE UN PLAZA;;;;;1;;;2;2
Millers;;;;;;1;;;1
Mind Productions Webdesign;;;;;;1;;;1
Mixit B.V.;;;;;1;;;;1
Mobility Mixx B.V.;;;;;;;;6;6
MPS B.V.;;;;;;1;;;1
Munckhof Groups and Incentives B.V.;;;;;;;;1;1
Munckhof Taxi B.V.;;1;;;;1;;1;1
Murphy's Law;;;;;;1;;;1
Museum Beelden aan Zee;;;1;;;;;;1
Museum Catering Den Haag B.V.;;;;;;1;;;1
MVPL Managementadvies;;;;;1;;;;1
N.V. Nederlandse Spoorwegen;;;;;;;;4;4
Ncoi Nederlands Commerc. Opleidings Instituut;;;;;2;;;;2
Ned. Ver. van HRD-Prof. in Ontw. en Opleiden;;;;;1;;1;;1
Nederlands Debat Instituut Holding B.V.;;;;;;1;;;1
Nedvan Projectverhuizingen Facility Solutions;6;;;;;;;;6
Neth-Er Brussel;;;;;1;;;;1
Neuland Nederland;;;;;1;;;;1
New Babylon Meeting Center B.V.;;;;1;;1;;;1
Nextpertise B.V.;;;;1;;;;;1
NH Den Haag;;;;;;;;1;1
Nieuwe of Litteraire Sociëteit De Witte;;;;;;2;;1;2
NIVE Opleidingen B.V.;;;;;1;;;;1
NJ Cook4You;;;1;;;;;;1
Nobbe Mieras Trainingen;;;;;1;;;;1
Noordzee Services B.V.;;;;;;;;1;1
Norea Amsterdam;;;;;;;1;;1
NOVI Opleidingen B.V.;;;;;2;;1;;2
Novotel Budapest;;;;;;;;1;1
NRC Handelsblad Weekeditie voor buitenland;;1;;;;;;;1
Nsob;;;;;2;;;;2
Nynke Jansen;;;;;1;;;;1
Oase Beach Exploitatie B.V.;;;;;;1;;;1
O'Casey's Irish Pub & Restaurant;;;;;;1;;;1
Odi - Overseas Development Institute Londen;;;;;1;;;;1
One Events;;;;;;1;;;1
OneClick;;1;;;;;;;1
Ontbijt & Lunch Juni;;;;;;1;;;1
Op Het Dak;;;;;;1;;;1
Open Ateliers B.V.;;;;;1;;;;1
Opleidingscentrum Permanente Educatie (OCPE);;;;;1;;;;1
Opportunity Advies B.V.;;;;;3;;;;3
Orange5 Catering & Events B.V.;;;;1;;1;;;1
Orchard Finance Consultants;;;;;1;;;;1
ORSEU CONCOURS;;;;2;;;;;2
Oscars Scheveningen B.V.;;;;;;1;;;1
OSR Juridische Opleidingen B.V.;;;;;2;;;;2
Palmette B.V.;;;;;;1;;;1
Parker Hotel Brussels Airport;;;;;;;;1;1
Part-up B.V.;;;;;2;;;;2
Paviljoen Malieveld;;;;;;1;;;1
PDC Informatie Architectuur B.V.;;;;2;;;;;2
PDS Professional Driving Solutions B.V.;;;;;2;;;;2
PE Fotostudio B.V.;;;;1;;;;;1
Pellenaer Events B.V.;;;;;;1;;;1
Perspectivity;;;;;1;;;;1
Perticas;;;;;;1;;;1
Peter Zomer B.V.;;;;;1;;;;1
Petta Coaching & Advies;;;;;1;;;;1
Pino Evenementen & Congressen B.V.;;;;;;1;;;1
Plastic Circle B.V.;;;;;;1;;;1
POMEGRANATE LANGUAGE INSTITUTE;;;;;1;;;;1
Ponjee Advies;;;;;1;;;;1
Poolcafe Delfshaven;;;;;;1;;;1
Premium Cards B.V.;;;1;;;;;;1
Primera De Koning;;;;;;1;;;1
Primera Den Haag;;;1;;;;;;1
Printed Copy en Printservice;;1;;;;;;;1
Privacy Management Partners Coöperatie UA;;;;;1;;;;1
Project T. B.V.;;;;;;1;;;1
Prokwadraat;;;1;;;;;;1
PROMOCIONES Y PROYECTOS, S.A. HOTEL DOMINICAN FIESTA;;;;;;;;1;1
Prowareness WeOn Academy B.V.;;;;;2;;;;2
Psychotherapiepraktijk Atalanta-C. Steiner;;;;;;1;;;1
Public Partners B.V.;;;;;2;;;;2
Publique;;;;;;1;;;1
Publiquest, de Communicatie Coöperatie UA;;;;;2;;;;2
PULLMAN KINSHASA GRAND HOTEL;;;;;;;;1;1
Punda Milia;;;;;;;;1;1
Puur Amsterdam;;;;;;1;;;1
QC Light Factory B.V.;;;;;1;;;;1
Qompas B.V.;;;;2;;;;;2
Q-Park Operations Netherlands B.V.;;;;;;;;1;1
Quadratum Consultancy;;;;;1;;;;1
Quint Wellington Redwood Nederland B.V.;;;;;1;;;;1
Quinton Brandveiligheid B.V.;;;;;2;;;;2
QuoVadis Trustlink B.V.;;;;1;;;;;1
Radisson Blu Hotel Addis Abeba;;;;;;;;1;1
Realix;;;;;;1;;;1
Real-life Xcape;;1;;;;;;;1
Recoop Tour A.S. Praha 6;;;;;;;;1;1
Reflectwell;;;;;1;;;;1
Refractiecentrum Haaglanden B.V.;;1;;;;;;;1
Regina Coeli Language Courses B.V.;;;;;2;;;;2
Rendement Uitgeverij B.V.;;;;;1;;;;1
Residence Inn;;;;;;;;1;1
Residence Inn Washington;;;;;;;;1;1
Responsability;;;;;1;;;;1
Restaurant Christian;;;;;;1;;;1
Restaurant De Basiliek B.V.;;;1;;;1;;;1
Restaurant d'Vijff Vlieghen B.V.;;;;;;1;;;1
Restaurant La Passione;;;;;;1;;;1
Restaurant LaSalle;;;;;;1;;;1
Restaurant Lounge van der Dussen;;;;;;1;;;1
Restaurant Luden Den Haag Kiosk;;;1;;;1;;;1
Restaurant Toque Toque;;;1;;;;;;1
Rics London;;;;;1;;;;1
RIFT VALLEY INSTITUTE;;;;;2;;;;2
Ristorante Italiano 'La Liguria' B.V.;;;;;;1;;;1
ROTANA HOTEL AMMAN;;;;;;;;1;1
Rotana Hotel Khartoem;;;;;;;;1;1
Routs, Laeven en Partners B.V.;;;;;2;;;;2
Royal Delft;;;;;;1;;;1
Ruud Gort Fotografie;;;;1;;;;;1
S. and S. Food Services B.V.;;;;;;1;;;1
Santé Horeca Beheer B.V.;;;;;;1;;;1
Savant Performing Partners B.V.;;;;;3;;;;3
SAVOY HOTEL YANGON;;;;;;;;1;1
SBI Training en Advies/FNV Formaat B.V.;;;;;1;;;;1
Schiphol Nederland B.V.;;;;;;;;2;2
Schoevers Trainingen B.V.;;;;;2;;;;2
Schouten & Nelissen Nederland B.V.;;;;;2;;;;2
Schuttelaar & Partners, Maatsch. Comm. B.V.;;;;;;1;;;1
Segment Opleidingen B.V.;;;;;1;;;;1
Shabu Shabu 's Gravenhage B.V.;;;;;;1;;;1
Shared Business B.V.;;;;;4;;;;4
Shelburne Hotel New York;;;;;;;;1;1
Sheraton Hotel Abuja;;;;;;;;1;1
SHERATON HOTEL TUNIS;;;;;;;;1;1
Shuttel B.V.;;;;;;;;7;7
Sibylink;;;;;3;;;;3
Siep Music;;;;;;1;;;1
Simonis Oude Visafslag B.V.;;;;;;1;;;1
SKVR Rotterdam Centrum;;;;;;1;;;1
Slabbers De Lange Office Support B.V.;;;;;1;;;;1
Slim Bekeken B.V.;;;;;1;;;;1
Snelservice Schoenmakerij;;1;;;;;;;1
Sodexo Altys B.V.;;;;;;1;;;1
Sofitel Hotel Brussel;;;;;;;;2;2
Sofitel Hotel Luxembourg;;;;;;;;1;1
Sofitel Hotel M�nchen;;;;;;;;1;1
Soldelsur Taalinstituut;;;;;1;;;;1
Solid Sense B.V.;;1;;;;;;;1
SONESTA COCONUT GROVE SONESTA INTL HOTELS CORP-COCONUT OPERA;;;;;1;;;;1
Soomers;;;;;;1;;;1
SOS International Amsterdam;;2;;;;;;;2
Spaces B.V.;;;;;;1;;;1
Specsavers International B.V.;;1;;;;;;;1
Spice Beachclub B.V.;;;;;;2;;;2
SpiZe B.V.;;;;;;1;;;1
Sporttainment Center De Uithof B.V.;;;1;;;2;;;2
Sprout Social, Inc. Chicago;;;;1;;;;;1
SPRYG B.V.;;;;;1;;;;1
SRM Communicatie B.V.;;;;;1;;;;1
SRS Consulting B.V.;;;;;1;;;;1
Stadstaxi Haaglanden;;;;;;;;1;1
Staples Nederland B.V.;;;;;;;;1;1
Stavoor B.V.;;;;;2;;;;2
Stay 2 Live Hatfield;1;;;;;;;;1
Stelvio Coaching & Advies;;;;;1;;;;1
Steranijs catering;;;;;;1;;;1
Stg. Internaatsexploit. Hotelschool Den Haag;;;;;1;;;;1
Stg. Landel. Coörd.centr. Reiz.advis.;;1;;;;;;;1
Sticht. Int. Development Publications;;;;;;1;;;1
STICHTING Centre for Safety and Development;;;;;3;;;;3
Stichting De Ooievaart;;;;;;1;;;1
Stichting De Wijde Aa;;;;;;1;;;1
Stichting Dutch Government Pride;;;;;;;2;;2
Stichting Fonds Instituut Clingendael;;;;;5;1;;;5
Stichting Haags Bus Museum;;;;;;;;1;1
Stichting 'Het Zuid-Hollands Landschap';;;;;;1;;;1
Stichting Humanity House;;1;;;;1;;;1
Stichting Internat. Perscentrum 'Nieuwspoort';;;;;;1;1;;1
Stichting Kontakt der Kontinenten;;;;;2;;;;2
Stichting Nederlands Dans Theater;;;;;;1;;;1
Stichting T.M.C. Asser Instituut;;;;;1;;;;1
STICHTING TALENT NAAR DE TOP;;;;;2;;;;2
Stichting Team Haagse Hogeschool;;;;;1;;;;1
Stichting The Hague Humanity Hub;;;;;;1;;;1
Stichting The Hague Marketing Bureau;;;1;;;;;;1
Stichting Toekomstbeeld der Techniek;;;;;1;;;;1
Stichting Venture Café Nederland;;;;;;1;;;1
Stichting Waarborgfonds Politie;;;;;1;;;;1
Stichting Werken op Maat;;;;1;;;;;1
Stockholm International Peace Research Institute (Sipri) Sol;;;;;;;;1;1
Stokes Verhoor Strategie;;;;;1;;;;1
Stone & Sand;;;;;1;;;;1
Strandclub WIJ;;;;;;1;;;1
Strandpaviljoen Buiten B.V.;;;;;;1;;;1
Strandpaviljoen De Kwartel B.V.;;;;;;1;;;1
Strandpaviljoen De Staat B.V.;;;;;;1;;;1
Supermercado;;;;;;1;;;1
Swartlicht;;;;;1;;;;1
't Hof van Eten;;;;;;1;;;1
T. Antonakos;;;;;2;;;;2
Taarten.nl B.V.;;;1;;;;;;1
Tabasco;;;;;1;;;;1
Tangram Automatisering Bv Zeist;;;;;1;;;;1
Tapperij Atjeh;;;;;;1;;;1
Taxibedrijf Van der Wijst;;;;;;;;2;2
Te Werve B.V.;;2;;;;;;;2
Technolab B.V.;;1;;;;;;;1
Tekstenzo;;;;1;;;;;1
Tele'Train Education II B.V.;;;;;4;;;;4
Telstar Uitgeverij B.V.;;1;;;;;;;1
Tempo-Team Uitzenden;;;;2;;;;;2
The Benjamin New York;;;;;;;;2;2
THE BOULEVARD ARJAAN BY ROTANA;;;;;;;;1;1
