Rijlabels;9301 - Laboratoriumonderzoek;9302 - Laboratoriummaterialen;9303 - Laboratoriuminstrumenten;9304 - Aankoop onderzoeksmateriaal;9305 - Research & development;9600 - VWS specifiek;Eindtotaal
Valcom Compliance and Validation B.V.;;;1;;;;1
Van Arkel Gerechtsdeurwaarders en Incasso;;;;;;1;1
Van Swinden Laboratorium;;1;1;;;;1
VCD Healthcare B.V.;;;;;;1;1
VCK Travel B.V.;;;;;1;;1
VCMI N.V.;;;1;;;;1
Veiligheidstechniek Nederland B.V.;;;1;;;;1
Veip B.V.;;1;;;;;1
Veolia Water Technologies Netherlands B.V.;;;1;;;;1
Vermaat - Flevoziekenhuis Almere;;;;;1;;1
Vicrea Solutions B.V.;;;;;1;;1
Vink Lisse B.V.;;1;;;;;1
Vitamine en Zo;;;;;;1;1
Vito;;;;;1;;1
Vodafone Libertel B.V.;;;;;;1;1
Von Gahlen Nederland B.V.;;1;;;;;1
Weiss Techniek Nederland B.V.;;;1;;;;1
Werfen B.V.;;1;1;;;;1
Wilten Instrumenten;;;1;;;;1
Windunie Development Bommelerwaard B.V.;;;;;1;;1
WING Process Consultancy B.V.;;;;;1;;1
Wolters Kluwer Health, Inc Lippincott Williams & Wilkins;;;;;1;;1
Worldmeetings.com B.V.;;;;;;1;1
WTS Cleanroom Technology Systems B.V.;;;1;;;;1
Yacht;;;;;;1;1
YVSOLAB NV/SA;;1;;;;;1
Z Index B.V.;;;;;;1;1
Zetes B.V.;;1;;;;;1
Zorgcombinatie Noorderboog St. Isala Klinieken;1;;;;;;1
Zwart Techniek B.V.;;;1;;;;1
AB Sciex EDC B.V.;;1;2;;;;2
Agilent Technologies Netherlands B.V.;;2;2;;;;2
AID Diagnostika GmbH;;;2;;;;2
ALcontrol Laboratories;2;;;;2;;2
Alliance Healthcare;;2;;;;;2
Ambiënt Advies B.V.;;;;;2;;2
Ameco Adviesgroep Milieubeleid B.V.;;;;;2;;2
Arrayjet Corporation Ltd.;;;2;;;;2
AW-ChemAdvice;;;;;2;;2
B.V. Verenigde Instrumenthandel Salm & Kipp;;2;1;;;;2
Basegene B.V. a BaseClear company;2;1;;;;;2
BeBright Consultancy B.V.;;;;;2;;2
Belimed B.V.;;;2;;;;2
Berenschot B.V.;;;;;2;;2
Beun- de Ronde B.V.;;1;2;;;;2
Bijwerkingencentrum Lareb;;;;;2;;2
Bio-Connect Diagnostics B.V.;;2;;;;;2
Bioké;;2;;;;;2
bioMÃ©rieux Benelux B.V.;;2;1;;;;2
Bionet Natuuronderzoek;;;;;2;;2
BIS Bedrijfs Informatie Systemen B.V.;;;2;;;;2
Bisschoff Medical Research;1;;;;2;;2
Bojan Advies;;;;;2;;2
Borgwaldt Technik GmbH;;1;2;;;;2
Brunschwig Chemie B.V.;;2;;;;;2
BTG International Protherics Medicines Development;;;;;;2;2
Bureau KLB;;;;;2;;2
Capgemini N.V.;;;;;;2;2
CGI Nederland B.V.;;;;;2;;2
Contour Advanced Systems B.V.;;;2;;;;2
Craft Management Consultants B.V.;;;;;2;;2
CrisisTox Consult;;;;;2;;2
CTL Europe GmbH;;;2;;;;2
Cura Insight;;;;;2;;2
De Kok & Partners B.V.;;;;;2;;2
De Proeffabriek;;;;;2;;2
Deloitte Risk Advisory B.V.;;;;;;2;2
Dermatologie St. Antonius Ziekenhuis;;;;;2;;2
DGMR Raadgevende Ingenieurs B.V.;;;;;2;;2
Diakonessenhuis Utrecht;;;;;2;;2
DiaSorin SA/N.V.;;2;;;;;2
DiaVentie Management Consulting;;;;;2;;2
Dijkstra-Vereenigde B.V.;;1;1;;;;2
DNA Genotek Inc.;;2;;;;;2
Doxis;;;;;2;;2
Dyzle Operations B.V.;;;2;;;;2
Ecofide;;;;;2;;2
ELDC B.V.;;2;;;;;2
Emelca;;2;;;;;2
Emergent BioSolutions Canada Inc.;;;;;;2;2
Energieonderzoek Centrum Nederland;;;;;2;;2
Epithelix Sàrl;;;;;2;;2
Erbrink Stacks Consult;;;;;2;;2
Eurofins Bactimm B.V.;;;;;;2;2
Eurogentec Nederland B.V.;;2;;;;;2
Ezus Lyon;;;;;2;;2
Ferro Explore B.V.;;;;2;;;2
Fujirebio Europe N.V.;;1;2;;;;2
Gassner Biologisch Risico Advies;;;;;2;;2
GlaxoSmithKline Biologicals SA;;;;;;2;2
HazmatLINK Ltd;;2;1;;;;2
Henri�tte Prast;;;;;2;;2
Hettich Benelux B.V.;;1;2;;;;2
Hielkema Test Equipment B.V.;;2;;;;;2
Hoppe - Knowledge & Policy;;;;;2;;2
Horizon Discovery Ltd;;2;;;;;2
IKA;;;;;2;;2
IMD B.V.;;;;;2;;2
Immudex;;2;;;;;2
Intervax LTD.;;;;;;2;2
Isogen Life Science B.V.;;1;2;;;;2
Kessels & Smit, Publishers B.V.;;;;2;;;2
KNMP Holding B.V.;1;;;;2;;2
Koopman.com B.V.;;;;;2;;2
KU Leuven Research & Development;;;;;2;;2
LabBio Technology B.V.;;;2;;;;2
Laboratoires Serb;;;;;;2;2
LGC Standards;1;2;;;;;2
Linq Europe Limited;;;;;;2;2
Lis Consult;;;;;2;;2
M.T. Diagnostics Nederland B.V.;;2;;;;;2
MC Tandheelkunde B.V.;;;;;;2;2
Medische Biobank Noord-Nederland B.V.;2;;;;1;;2
MERCK Chemicals BV;;1;2;;;;2
Messer B.V.;;2;;;;;2
Michigan State University;;;;;2;;2
Miltenyi Biotec B.V.;;2;;;;;2
Minigrip;;2;;;;;2
Mirion Technologies NV;;1;2;;;;2
Moons Research Consultancy;;;;;2;;2
Movares Nederland B.V.;;;;;2;;2
Mproof Beheer B.V.;;;;;;2;2
Nivel B.V.;;;;;2;;2
Nutacon B.V.;;2;;;;;2
Olympus Nederland B.V.;;;2;;;;2
Omegam Water B.V.;1;;;;2;;2
Ordina Consulting B.V.;;;;;;2;2
Orly Pharma B.V.;;2;;;;1;2
Oxford Nanopore Technologies, Ltd. (USD);;2;;;;;2
Partners4UrbanWater;;;;;2;;2
PHC Europe B.V.;;;2;;;;2
Pinext;;;;;2;;2
Poly Temp Scientific;;1;2;;;;2
Promega Benelux B.V.;;2;1;;;;2
PROXY Laboratories B.V.;;;;;2;;2
PTV Holding B.V.;;2;;;;;2
Quality Control for Moleculair Diagnostics (QCMD) Kelvin campus;1;;;;2;;2
Remyx;;;;;2;;2
Risk Service Providing Verzekeringen B.V.;;;;;;2;2
Rocete B.V.;;;;;2;;2
RPS Analyse B.V.;;;;;2;;2
Ruigrok NetPanel;;;;2;;;2
S A V P;;;;;;2;2
Saltro Diagnostic and Medical Services B.V.;;;;;2;;2
Sanbio B.V.;;2;;;;;2
Schouten advies en interim management;;;;;2;;2
Schuttelaar & Partners, Maatsch. Comm. B.V.;;;;;2;;2
Sciensano;;;;;2;;2
Seqirus (Australia) Pty Ltd.;;;;;;2;2
Siemens Healthcare Nederland B.V.;;1;1;;;;2
Sigma-Aldrich Chemie N.V.;;2;;;;;2
Sintec B.V.;;;2;;;;2
Som Milieutechniek;;;;;2;;2
SoundAppraisal B.V.;;;;;2;;2
St.Patientenzorg Nederlands Kanker Instituut;;;;;2;;2
Stg. Instituut voor Verantw. Medicijngebruik;;;;;2;;2
Stg. Nat. Lucht- en Ruimtevaartlaboratorium;;;;;2;;2
Sticht. ISSTDR Conference Support Foundation;;;;;2;;2
Stichting Bargerveen;;;;;2;;2
Stichting Onze Lieve Vrouwen Kliniek;;;;;2;;2
Stichting SBOH;;;;;2;;2
Stichting Science4Nature;;;;;2;;2
Stichting SEO Economisch Onderzoek;;;;;2;;2
Stichting W.J.H. Mulier Inst., Sportonderzoek;;;;;2;;2
Stratec Services B.V.;;2;;;;;2
Survey Sampling Europe B.V.;;;;;2;;2
Synergy Health Ede B.V.;;;;;;2;2
Synthetron N.V.;;;;2;;;2
Sysmex Nederland B.V.;;1;2;;;;2
Techn. Advies- en Handelsburo J.J. Bos B.V.;;;2;;;;2
Technische Unie B.V.;;1;2;;;;2
Tecnilab-BMI B.V.;;1;2;1;;;2
The Baker Company Benelux B.V.;;;2;;;;2
Thermo Fisher Scientific B.V.;;2;2;;;;2
TNS Nipo B.V.;;;;;2;;2
Transformation Technologies B.V.;;;;;;2;2
Triptic B.V.;;;;;2;;2
Twynstra Gudde Energie B.V.;;;;;2;;2
Van der Laan, Gryglicki & Partners B.V.;;;;;2;;2
Van Eck Bedrijfshygi�ne B.V.;;;;;2;;2
Verdonck, Klooster & Associates B.V.;;;;;;2;2
Verhaar Gebeko;;;2;;;;2
View Point;;2;;;;;2
Viro-Logica;;;;;2;;2
Vision d-sign;;;;;2;;2
Voedingscentrum;;;;;2;;2
WAMAG GmbH;;2;;;;;2
Waters Chromatography B.V.;;2;2;;;;2
WEL Company B.V.;;;;;2;;2
Westburg B.V.;;1;1;;;;2
Witters Veiligheid;;;;;2;;2
WIV - Wetenschappelijk Instuituut Volksgezondheid;;;;;2;;2
X-pact;;;;;;2;2
ZEUS GmbH;;;;;2;;2
Aviv B.V.;;;;;3;;3
Beckman Coulter Nederland B.V.;;2;2;;;;3
Bio Trading Benelux B.V.;;3;;;;;3
Bio-Connect B.V.;;3;;;;;3
Biolegio B.V.;1;3;;;;;3
Cauberg-Huygen B.V.;;;;;3;;3
DGMR Industrie Verkeer en Milieu B.V.;;;;;3;;3
Eusa Pharma Ltd;;;;;;3;3
GE Healthcare Europe branch Netherlands;;3;;;;;3
Gradko International Ltd.;3;;;;;;3
Hogeschool van Amsterdam Faculteit Digitale Media en;;;;;3;;3
Informatiebeveiliging Nederland B.V.;1;;;;;3;3
Kalibra International B.V.;;;3;;;;3
Kiwa Nederland B.V.;;;;;3;;3
MARIN Asia B.V.;;;;;3;;3
Mediphos Medical Supplies B.V.;;3;2;;;;3
Mettler-Toledo B.V.;;1;3;;;;3
NRG Petten (alleen WVI vergoeding);;;2;;2;;3
O&M-Movianto Nederland B.V.;;;;;;3;3
Oxoid;;3;;;;;3
Radiologie Albert Schweitzer Ziekenhuis B.V.;;;;;3;;3
SAMR;;;;3;;;3
SMARTmv;;;;;3;;3
Stichting Beheer Derdengelden X Pact;;;;;;3;3
Stichting Lygature;;;;;3;;3
Stichting Milieu Centraal;;;;;3;;3
Stichting Saltro;;;;;3;;3
Stichting Vrienden Tergooi;;;;;3;;3
VCK Logistics Airfreights bv;;;;;;3;3
VITROCELL Systems GmbH;;2;2;;;;3
White Queen B.V.;;;;;3;;3
Becton Dickinson;;4;2;;;;4
Bilthoven Biologicals B.V.;;4;4;;;;4
Bio-Connect Services B.V.;;4;1;;1;;4
Biognost B.V.;;4;1;;;;4
Boom B.V.;;4;1;;;;4
Clinigen Healthcare Ltd.;;;;;;4;4
CSL Behring B.V.;;;;;;4;4
DDL Diagnostic Laboratory B.V.;;4;;;;;4
DHL Express bv (SameDay NL);;;;;;4;4
DNV GL Limited (Eurofacturen);;;;;4;;4
DNV GL Netherlands B.V.;;;;;4;;4
Eastern Business Forms, Inc.;;4;;;;;4
Eurofins PROXY Laboratories B.V.;;;;;2;4;4
GfK Netherlands B.V.;;;;4;;;4
I.T.K. Diagnostics B.V.;;4;;;;;4
illumina Netherlands B.V.;;4;4;;;;4
Interscience B.V.;;3;2;;;;4
Joint Analytical Systems Benelux B.V.;;1;4;;;;4
LievenseCSO Milieu B.V.;4;;;;;;4
Life Technologies International B.V.;;3;4;;;;4
Luminex Corporation;;4;;;;;4
Maatschap Chirurgie Spaarne Ziekenhuis;3;;;;4;;4
NewConic B.V.;;;;;4;;4
NIVEL Nat. Instituut voor Beleidsonderz.;1;;;;4;;4
NRG Petten;;1;4;;;;4
Odura advies en projecten B.V.;;;;;4;;4
Panteia B.V.;;;;4;;;4
Qiagen Benelux B.V.;;4;2;;;;4
Retomed Health B.V.;;4;;;;;4
Roche Diagnostics Nederland B.V.;;4;2;;;;4
RPS advies- en ingenieursbureau B.V.;;;;;4;;4
SquaredAnt;;;;;4;;4
Stg. Streeklab. v.d. Volksgezondh. Kennemerl.;1;;;;4;;4
Stichting Centerdata;;;;4;;;4
Stichting Deltares;2;;;;4;;4
Stichting VZVZ Servicecentrum;;;;;;4;4
Tauw B.V.;4;;;;;;4
