;9301 - Laboratoriumonderzoek;9302 - Laboratoriummaterialen;9303 - Laboratoriuminstrumenten;9304 - Aankoop onderzoeksmateriaal;9305 - Research & development;9410 - Lokale belastingen - waterschapslasten;9600 - VWS specifiek;Eindtotaal
BergingsCombinatie Utrecht (B.C.U.) V.O.F.;;;1;;;;;1
Betalingen Binnenland;;;1;;;;;1
Beun- de Ronde B.V.;;;2;;;;;2
Beuth Verlag GmbH;1;;;;;;;1
Bevaplast B.V.;;1;;;;;;1
Bezoekerscentrum de Kennemerduinen;;;;;;1;;1
Bijwerkingencentrum Lareb;;;;;4;;;4
Bilthoven Biologicals B.V.;;3;2;;1;;;4
Bio Trading Benelux B.V.;;3;;;;;;3
Bio-Connect B.V.;;3;;;;;;3
Bio-Connect Diagnostics B.V.;;2;;;;;;2
Bio-Connect Services B.V.;;5;;;1;;;5
Biognost B.V.;;4;1;;;;;4
Bioké;;2;;;;;;2
BioLegend;;3;;;;;;3
BioLegend Europe B.V.;;2;;;;;;2
Biolegio B.V.;1;2;1;;;;;2
bioMÃ©rieux Benelux B.V.;;2;1;;;;;2
BIOMED CENTRAL LIMITED;;;;;1;;;1
Bio-Rad Laboratories B.V.;;4;2;;;;;4
Biosisto B.V.;;1;;;;;;1
Bio-Techne Ltd Voorheen R&D Systems Europe Ltd;;1;;;;;;1
Biozymtc B.V.;;1;;;;;;1
Bisschoff Medical Research;;;;;2;;;2
Bleyenberg;;;;;;1;;1
Blonk Milieu Advies B.V.;;;;;2;;;2
BLOSSOM bloemisterij;;;;;;1;;1
Bodinco B.V.;;1;;;;;;1
bol.com B.V.;;1;;;;1;;1
Boom B.V.;;4;1;;;;;4
Borgwaldt Technik GmbH;;2;1;;;;;2
Bruker Nederland B.V.;;1;2;;;;;2
Brunschwig Chemie B.V.;;2;;;;;;2
BT Brammer B.V.;;1;;;;;;1
Bureau KLB;;;;;3;;;3
Bureau Veritas Industrial Services;;;1;;;;;1
Buro Blauw B.V.;;1;;;;;;1
Butraco;;1;;1;;;;1
Buveco Gasdetection B.V.;;;1;;;;;1
CACI B.V.;;;;;1;;;1
Caliz B.V.;;;1;;;;;1
Camfil B.V.;1;;;;;;;1
Capgemini Nederland BV;;;;;1;;;1
Card Vision B.V.;;;;;;;1;1
CareFusion Netherlands 238 B.V.;;;1;;;;;1
CarePack Holland B.V.;;1;;;;;;1
Carl Roth GmbH+Co.KG;;1;;;;;;1
Carl Zeiss B.V.;;;1;;;;;1
Catec B.V.;;1;;;;;;1
Cauberg-Huygen B.V.;;;;;3;;;3
CE Delft;;;;;2;;;2
Cerulean;;;2;;;;;2
CGI Nederland B.V.;;;;;2;;;2
CGI Nederland B.V.(Logica Ned.B.V.);;;;;;;4;4
Charles River Microbial Solutions International Limited;;;;;1;;;1
Chubb Fire & Security Groningen;;;1;;;;;1
CIRFOOD;;;;;;1;;1
Clindia Benelux B.V.;;2;;;;;;2
Clinical Trial Center Maastricht B.V.;;;;;1;;;1
Clinical Trial Service B.V.;;;;;3;;;3
Clinigen Healthcare Ltd.;;;;;;;4;4
CLM Onderzoek en Advies B.V.;;;;;2;;;2
Co. Van Beek Generatoren;;;1;;;;;1
CoaChrom Diagnostica GmbH;;1;;;;;;1
Coeman Packaging NV;;1;;;;;;1
Cognitive Solutions;;;;;1;;;1
Common Eye B.V.;;;;;1;;;1
COMPAREX Nederland B.V.;;;;;;;1;1
Contour Advanced Systems B.V.;;;1;;;;;1
Council of Europe Minority Youth Committees;;1;;;;;;1
Craft Management Consultants B.V.;;;;;1;;;1
CrisisTox Consult;;;;;2;;;2
Cryo Store B.V.;;2;;;;;;2
CSL Behring B.V.;;;;;;;4;4
Curiozy;;;;;1;;;1
Da Vinci Laboratory Solutions B.V.;;1;1;;;;;1
DAS Rechtsbijstand;;;;;;;1;1
Dbvision B.V.;;;;;2;;;2
DDL Diagnostic Laboratory B.V.;;4;;;;;;4
DdZ Ecotox;;;;;1;;;1
De Endenkooi;;1;;;;;;1
De Kok & Partners B.V.;;;;;2;;;2
De Porceleyne Fles BV-Royal Delft;;;;;;1;;1
De Proeffabriek;;;;;2;;;2
De Wit Aggregaten B.V.;;;1;;;;;1
de Witte Raaf - Rutger J. van der Gaag R.O.C.;;;;;1;;;1
Deining;;;;;1;;;1
Denios B.V.;;;1;;;;;1
Dermallergo B.V.;;;;;1;;;1
Dermatologie St. Antonius Ziekenhuis;;;;;2;;;2
Desan Resarch solutions;;;;;;;3;3
Devrimed B.V.;;7;;;;;;7
Dextra Laboratories Ltd Science & Technology centre;;1;;;;;;1
DGMR Industrie Verkeer en Milieu B.V.;;;;;1;;;1
DGMR Raadgevende Ingenieurs B.V.;;;;;2;;;2
DHL Express bv (SameDay NL);;;;;;;4;4
DiagnOptics Technologies B.V.;;;1;;;;;1
DiaSorin SA/N.V.;;1;;;;;;1
DiaVentie Management Consulting;;;;;3;;;3
Dijkstra-Vereenigde B.V.;;1;1;;;;;1
Diversified Biotech b.v. DibBioScience Europe;;1;;;;;;1
DNV GL Limited;;;;;2;;;2
DNV GL Limited (Eurofacturen);;;;;3;;;3
DNV GL Netherlands B.V.;;;;;4;;;4
Doxis;;;;;1;;;1
Dr. Franz Köhler Chemie GmbH;;;;;;;1;1
DrÃ¤ger Nederland B.V.;;1;1;;;;;1
DSMZ;;1;;;;;;1
Dynabio S.A.S. Luminy Biotech Entreprises;;1;;;;;;1
Dyzle Operations B.V.;;1;2;;;;;2
Eastern Business Forms, Inc.;;4;;;;;;4
Ecofide;;;;;3;;;3
Ecommany B.V.;;2;;;1;;;2
Eijkelkamp Soil & Water B.V.;;2;1;;;;;2
ELDC B.V.;;3;;;;;;3
Elisabeth-TweeSteden Ziekenhuis Facturen en ook Laboratorium;7;;;;;;;7
ELITechGroup B.V.;;1;;;;;;1
ELPRO Benelux B.V.;;1;;;;;;1
Elscolab B.V.;;2;;;;;;2
Emelca;;2;;;;;;2
Envico Environment Control B.V.;;1;1;;;;;1
Envitec N.V.;;;6;;;;;6
Erbrink Stacks Consult;;;;;2;;;2
Eriks B.V.;;1;;;;;;1
ESB B.V.;;;;1;;;;1
Etigam B.V.;;;;;;;1;1
Eurofins Environment Denmark A/S;1;;;;;;;1
Eurofins Food Testing Netherlands B.V.;1;;;;;;;1
Eurofins Omegam B.V.;2;;;;;;;2
Eurofins PROXY Laboratories B.V.;;2;;;;;;2
Eurogentec Nederland B.V.;1;3;;;;;;3
Euroquality Services;;;;;1;;;1
Ezus Lyon;;;;;2;;;2
Fagron Nederland B.V.;;;;;;;8;8
Fisher Scientific of the Netherlands B.V.;;5;1;;;;;5
Flashpoint-Security B.V.;;;1;;;;;1
Flycatcher Internet Research B.V.;;;;;2;;;2
Fratelli;;;;;;;1;1
Fujirebio Europe N.V.;;1;1;;;;;1
Fusion Genomics Corp.;2;;;;;;;2
FutureWater;;;;;1;;;1
G.R. Instruments B.V.;;1;;;;;;1
GC Biotech B.V.;;2;1;;;;;2
Gelre Ziekenhuizen Services Holding B.V.;;;;;1;;;1
Genomic Investments B.V.;;;;;3;;;3
Genoscreen;1;;;;;;;1
Genscript Biotech (Netherlands) B.V.;1;1;;;;;;1
Gentaur Nederland B.V.;;2;;;;;;2
Geoservice B.V.;;;;;;;1;1
gewoon zo anders;;;;;;1;;1
Gezondheidsdienst voor Dieren;;1;;;2;;;2
GlaxoSmithKline B.V.;;;;;;;9;9
GLNP Medical Devices B.V.;;1;;;;;;1
Gradko International Ltd.;3;;;;;;;3
Greater Good;;1;;;;;;1
Green Valley;;;;1;;;;1
Greiner Bio-One B.V.;;1;;;;;;1
Grow a Pair B.V.;;;;;;;2;2
GS1 Nederland B.V.;;;;;;;1;1
HACH;;1;1;;;;;1
Hago Nederland B.V.;;1;;;;;;1
Han Swinkels Consultancy B.V.;;;;;1;;;1
Hanna Instruments;;1;1;;;;;1
HaskoningDHV Nederland B.V.;;;;;1;;;1
HazmatLINK Ltd;;1;;;;;;1
Heslinga Traps;;1;;;;;;1
Hessen Apotheek;;1;;;;;;1
Het Pleidooi;;;;;;1;;1
Hettich Benelux B.V.;;;1;;;;;1
Hielkema Test Equipment B.V.;;;1;;;;;1
Hofstad Events B.V.;;;;;;1;;1
Homij Technische Installaties B.V.;;;1;;;;;1
Hoppe - Knowledge & Policy;;;;;2;;;2
Husz�r;;;;;;1;;1
I & O Research B.V.;;;;5;;;;5
I&L Chauffeursdiensten B.V.;1;;;;;;;1
I.T.K. Diagnostics B.V.;;4;;;;;;4
ibidi GmbH;;1;;;;;;1
IBL International GmbH;;1;;;;;;1
Ideetron B.V.;;;1;;;;;1
IDEXX Laboratories B.V.;;1;;;;;;1
IFA;;;;;;;1;1
Igloocoolers B.V.;;1;;;;;;1
IJsselland Ziekenhuis;7;;;;2;;;7
illumina Netherlands B.V.;;5;2;;;;;5
IMD B.V.;;;;;2;;;2
Immudex;;2;;;;;;2
ImmunoIVD AB;;3;;;;;;3
Immunosource BV;;1;;;;;;1
Inacom Instruments B.V.;;1;;;;;;1
Indisch Restaurant Garoeda;;;;;;1;;1
Industrial HVAC Control Solutions IHCS;;;1;;;;;1
INERIS Developpement SAS;;;;;1;;;1
Informatiebeveiliging Nederland B.V.;;;;;;;2;2
Inresa Arzneimittel GmbH;;;;;;;2;2
Instand e.V.;1;;;;;;;1
Instituut voor Tropische Geneeskund;;1;;;;;;1
Instruchemie B.V.;;1;;;;;;1
Instrument Solutions Benelux B.V.;;1;;;;;;1
Integrated DNA Technologies Germany;1;1;;;;;;1
Intergo B.V.;;;;;2;;;2
Intergrated DNA Technologies;1;1;;;;;;1
Interscience B.V.;;2;2;;;;;3
Inventech Benelux B.V.;;;1;;;;;1
IOM consulting Ltd;;1;;;;;;1
Isogen Life Science B.V.;1;1;2;;;;;2
Jelmer Valk;;;1;;;;;1
Joint Analytical Systems Benelux B.V.;;1;;;;;;1
JPT Peptide Technologies GmbH;;1;;;;;;1
Jungheinrich Nederland B.V.;;;1;;;;;1
Jurrie Klok Koeriers;;;;;;;2;2
Kalibra International B.V.;;;2;;;;;2
Kantar Netherlands B.V.;;;;3;;;;3
KC Trading B.V.;;;2;;;;;2
Kentucky Tobacco and Health Research Institute;;1;;;;;;1
KHL media Ltd Off-Highway Research;;;;;1;;;1
Kiewiet MPI;;;;;1;;;1
KIT Karlsruhe Institute of Technology;;;;1;;;;1
KitHub;;1;;;;;;1
Kiwa Nederland B.V.;;;;;3;;;3
Kiwa VERIN B.V.;5;;;;;;;5
KNMP Holding B.V.;1;;;;2;;;2
Kon. Ned. Veren. van Informatieprofessionals;;;;1;;;;1
Koopman.com B.V.;;;;;3;;;3
KPMG Advisory N.V.;;;;;3;;;3
KPN B.V.;;;;;;;7;7
KWR Water B.V.;;;;;2;;;2
Lab FS;;;1;;;;;1
Lab Services B.V.;;1;1;;;;;1
LabBio Technology B.V.;;;1;;;;;1
Labkoo;;1;;;;;;1
Labyrinth onderzoek & advies;;;;5;;;;5
Leica Microsystems B.V.;;3;1;;;;;3
Level Acoustics & Vibration B.V.;;;;;3;;;3
LGC Genocmics GmbH;;1;;;;;;1
LGC Standards;1;2;;;;;;2
LievenseCSO Milieu B.V.;6;;;;;;;6
Life Technologies International B.V.;;3;3;;;;;4
Lighthouse Worldwide Solutions Benelux B.V.;;2;1;;;;;2
Linde Gas Benelux B.V.;;1;;;;;;1
Lis Consult;;;;;2;;;2
Lonza Sales Ltd;;1;;;;;;1
Luminex Corporation;;3;;;;;;3
M.T. Diagnostics Nederland B.V.;;2;;;;;;2
M+P, raadgevende ingenieurs B.V.;;;;;2;;;2
Maatschap Chirurgie Spaarne Ziekenhuis;;;;;5;;;5
Maatschap Huisartsenpraktijk Heilaren;;;;;1;;;1
Maatschap Oogartsen Jeroen Bosch Ziekenhuis;;;;;1;;;1
Maatschap Radiologie Orbis Medisch Centrum;1;;;;;;;1
Madaus GmbH;;;;;;;2;2
Malvern Medical Developments;;1;;;;;;1
Mannen met plannen;;;;;1;;;1
Mansveld Projecten & Services B.V.;;;1;;;;;1
Manutan B.V.;;1;;;;;;1
MARIN Asia B.V.;;;;;2;;;2
Marjan Slob;;;;;1;;;1
MarktOnderzoekAssociatie.nl;;;;1;;;;1
Marleen van Amersfoort;;;;;1;;;1
MatTek In Vitro Life Science Lab;;1;;;;;;1
MCS Diagnostics B.V.;;1;;;;;;1
MDPI AG (valuta EURO);;;;;1;;;1
Meander Medisch Centrum;;;;;;;1;1
Mediaproducts B.V.;;1;;;;;;1
Mediost B.V.;;1;;;;;;1
Mediphos Medical Supplies B.V.;;4;1;;;;;4
Mediq Medeco;;1;;;;;;1
Medische Biobank Noord-Nederland B.V.;;;;;1;;;1
Medische Laboratoria dr. Stein & Collegae;;;;;1;;;1
Meetingselect B.V.;;;;;;;1;1
Meiko Nederland B.V.;;;1;;;;;1
MERCK Chemicals BV;;2;2;;;;;2
Merck Sharp & Dohme B.V.;;;;;;;9;9
Messer B.V.;;2;;;;;;2
Metrohm Applikon;;1;1;;;;;1
Mettler-Toledo B.V.;;1;1;;;;;2
MHRA NIBC;;1;;;;;;1
Michigan State University;;;;;2;;;2
MIDI, Inc.;;1;;;;;;1
Miele Nederland B.V.;;;1;;;;;1
Miltenyi Biotec B.V.;;2;;;;;;2
Minigrip;;1;;;;;;1
Mirion Technologies NV;;3;2;;;;;3
MLS B.V.;;1;1;;;;;2
Moons Research Consultancy;;;;;1;;;1
Movares Nederland B.V.;;;;;3;;;3
Mproof Beheer B.V.;;;;;;;1;1
MSA Nederland B.V.;;;1;;;;;1
Mylan B.V.;;;;;;;8;8
Nauta Security Storage B.V.;;;1;;;;;1
NBS Scientific B.V.;;1;;;;;;1
Nederl. Ver. voor Medische Microbiologie;;;;;1;;;1
Nederland Sales & Service B.V.;;1;;;;;;1
Nederlands Genootschap voor Sociale Zekerheid;;;;1;;;;1
Netherlands Institute for Neuroscience;;;;;1;;;1
Nijmeijer Koeltechniek;;;1;;;;;1
NIVEL Nat. Instituut voor Beleidsonderz.;1;;;;5;;;5
NMDL Specialisten in MedischeDiagnostiek;;;;;2;;;2
Noviprint B.V.;;1;;;;;;1
NPL Management LTD NANO;;1;;;;;;1
NRG B.V.;;1;;;;;;1
NRG Petten (alleen WVI vergoeding);;;4;;;;;4
Nuffic;;;;;;;1;1
Nutacon B.V.;;2;;;;;;2
NVvP B.V.;;;;;1;;;1
NXT-Dx;3;;;;;;;3
O&M-Movianto Nederland B.V.;;;;;;;3;3
Ocean & Lake;;1;;1;;;;1
Odura advies en projecten B.V.;;;;;3;;;3
Olympus Nederland B.V.;;;2;;;;;2
Omegam Water B.V.;2;;;;1;;;2
one2one;;;3;;;;;3
Optima Forma;;;;;;;1;1
Org-idee;;;;;2;;;2
Orly Pharma B.V.;;1;;;;;;1
Oxford Nanopore Technologies, Ltd. (USD);;3;3;;;;;4
Oxford University Press;;;;;1;;;1
Oxoid;;2;;;;;;2
Paagman B.V.;;;;;;1;;1
Palintest Ltd;;1;;;;;;1
Palux Service Center;;;1;;;;;1
Panteia B.V.;;;;4;;;;4
Partners4UrbanWater;;;;;2;;;2
PeproTech EC Ltd;;1;;;;;;1
Pepscan Presto B.V.;;1;;;;;;1
PerkinElmer Nederland B.V.;6;5;4;;;;;7
Peutz BV (voor alle vestigingen);;;;;2;;;2
Pfizer B.V.;;;;;;;10;10
PHC Europe B.V.;;;1;;;;;1
Phenomenex B.V.;;1;;;;;;1
Philip G. Sayre NanoRick Analytics, LLC;;;;;2;;;2
Physikalisch Techn. Bundesanstalt;;1;;;;;;1
Pinext;;;;;2;;;2
PlantaLogica B.V.;;;;;2;;;2
Poly Temp Scientific;;2;4;;;;;4
Poolster B.V.;;;1;;;;;1
Poonawalla Science Park B.V.;;;1;;;;;1
PostNL Data Solutions B.V.;;;;;;;1;1
Premed Health Care (PHC) B.V.;;1;1;;;;;1
Privacy Management Partners;;;;;2;;;2
ProCare B.V.;;1;1;;;;;1
Promega Benelux B.V.;;2;;;;;;2
Protinus IT B.V.;;;1;;;;;1
PTB;;1;;;1;;;1
PTV Holding B.V.;;2;;;2;;;2
Public Health England Sterling (alle vestigingen);1;1;;;1;;;1
Qiagen Benelux B.V.;;4;1;;;;;4
Qlip;;;;;1;;;1
Qnostics Ltd;;1;;;;;;1
QSMI Queen Saovabha Memorial Institute;;;;;;;1;1
Quality Control for Moleculair Diagnostics (QCMD) Kelvin campus;1;;;;;;;1
Quintens Oplossingen B.V.;;;;;2;;;2
Rae Benelux B.V.;;1;;;;;;1
Ramboll Environment & Health GmbH;;;;;4;;;4
Re5al B.V.;;1;;;;;;1
Restaurant Zheng;;;;;;1;;1
Retomed Health B.V.;;4;;;;;;4
Ring Biotechnology Co. LTD;;;;;;;;
Roche Diagnostics Nederland B.V.;;4;4;;;;;5
RPS advies- en ingenieursbureau B.V.;;;;;2;;;2
RPS Analyse B.V.;;;;;1;;;1
Rubix B.V.;;;;;;;2;2
Ruigrok NetPanel;;;;2;;;;2
S+B Rotterdam B.V.;;;1;;;;;1
SA Vaccine Producers;;;;;;;1;1
Saltro Diagnostic and Medical Services B.V.;;;;;2;;;2
SAMR;;;;4;2;;;4
Sanbio B.V.;;2;;;;;;2
Sanitas-Water;;;;;2;;;2
sanofi-aventis Netherlands B.V.;;;;;;;8;8
Sanquin Bloedvoorziening Bloedbank;;1;;;;;;1
Sarstedt B.V.;;1;;;;;;1
Schiltknecht Messtechnik AG;;;1;;;;;1
Schiphol Nederland B.V.;1;;;;;;;1
Schouten advies en interim management;;;;;1;;;1
Sdu Klantenservice;;1;;;;;;1
Seagull Technologies B.V.;;1;;;;;;1
Sebia Benelux SCS;;1;;;;;;1
SENYA Oy;;;1;;;;;1
Seqirus (Australia) Pty Ltd.;;;;;;;1;1
SERB S.A. NV;;;;;;;2;2
Shieldmark Zacco BV finaniële administratie;;;;;1;;;1
Shimadzu Benelux;;1;1;;;;;1
Siem de Jong Funsports;;;;;;1;;1
Siemens Healthcare Nederland B.V.;;1;;;;;;1
Siemens Industry Software B.V.;;1;;;;;;1
Sigma-Aldrich Chemie N.V.;;3;1;;;;;3
Sintec B.V.;;;2;;;;;2
SIROSS;;;;;1;;;1
Slingeland Ziekenhuis;;;;;1;;;1
SMARTmv;;;;;2;;;2
Smeba Brandbeveiliging B.V.;;;1;;;;;1
Smiths Detection Watford Ltd. (Euro);;;2;;;;;2
Snijders Produktie B.V.;;2;2;;;;;2
SNTCK;;1;;;;;;1
Som Milieutechniek;;;;;2;;;2
Spherotech Inc.;;1;;;;;;1
SquaredAnt;;;;;1;;;1
St. Beheer Derdengelden Velink en De Die advocaten;;;;;;;1;1
St.Patientenzorg Nederlands Kanker Instituut;;;;;2;;;2
Stago BNL B.V.;;1;1;;;;;1
STAXS The Netherlands;;1;;;;;;1
StemCell Technologies;;1;;;;;;1
STERIS SA/NV;;1;;;;;;1
Stg. Beh. Derdengeld. Dronkers & Dronkers Adv;;;;;;;1;1
Stg. Beheer Derd.geld. v. Bladeren c.s. Adv.;;;;;;;1;1
Stg. Beheer Derdengeld. v. Benthem & Keulen;;;;;;;1;1
Stg. Beheer Derdengelden Cannock Outsourcing;;;;;;;3;3
Stg. Dr. Hilda Verwey-Jonker, I.v.O. van M.V.;;;;;2;;;2
Stg. Nat. Lucht- en Ruimtevaartlaboratorium;;;;;3;;;3
Stg. Streeklab. v.d. Volksgezondh. Kennemerl.;;;;;4;;;4
Sticht. ISSTDR Conference Support Foundation;;;;;4;;;4
Stichting Accessibility;;;;;1;;;1
Stichting Administratiekantoor Kropman;;;1;;;;;1
Stichting Beheer Derdengelden Borg advocaten;;;;;;;1;1
Stichting Beheer Derdengelden KBS;;;;;;;1;1
Stichting Beheer Derdengelden Lamers Tielemans;;;;;;;1;1
Stichting Centerdata;;;;3;;;;3
Stichting Climate Adaptation Services;;;;;2;;;2
Stichting Deltares;;;;;4;;;4
Stichting Fonds Instituut Clingendael;;;;;3;;;3
Stichting Isala Klinieken;7;;;;;;;7
Stichting Kwaliteitsbewaking Ziekenhuislaboratoria;1;;;;;;;1
Stichting Lygature;;;;;3;;;3
Stichting Milieu Centraal;;;;;2;;;2
Stichting Nationaal MS Fonds;;;;;;;1;1
Stichting Nederlands Centrum Jeugdgezondheid;;;;;2;;;2
Stichting Protospace;;;;;1;;;1
Stichting Saltro;;;;;2;;;2
Stichting SBI Prinsjesdagontbijt;;;;;;1;;1
Stichting SciPost;;;;;2;;;2
Stichting SEO Economisch Onderzoek;;;;;2;;;2
Stichting tot Bevord. van de Microbiologie;1;;;;;;;1
Stichting Vrienden van het Westfries Gasthuis;;;;;1;;;1
Stichting VVV Noordoost-Brabant;;;;;;1;;1
Stichting VZZ zoogdiervereniging;;;;;1;;;1
Stichting W.J.H. Mulier Inst., Sportonderzoek;;;;;2;;;2
Stiftung fur Pathobiochemie und Molekulare Diagnostik;1;;;;;;;1
Stratec Services B.V.;;2;2;;;;;2
SWOV Stichting Wetenschappelijk Onderzoek Verkeersveiligheid;;;;;2;;;2
Synergy Health Ede B.V.;;;;;;;2;2
Synspec B.V.;;;1;;;;;1
Sysmex Nederland B.V.;;1;3;;;;;3
T. Fast Advies;;;;;1;;;1
T. Service;;;1;;;;;1
Takara Bio Europe SAS;;2;;;;;;2
Tauw B.V.;;;;;1;;;1
Tebu Bio B.V.;;1;;;;;;1
Tecan Benelux B.V.B.A.;;;2;;;;;2
Techn. Advies- en Handelsburo J.J. Bos B.V.;;2;;;;;;2
Technische Unie B.V.;;1;1;;;;;1
Tecnilab-BMI B.V.;;1;2;1;1;;;2
The Baker Company Benelux B.V.;;1;3;;;;;3
ThePractice.com BV STUDIO.WHY;;;;;1;;;1
Thermo Fisher Scientific B.V.;;1;3;;;;;3
Thermo Onix Ltd.;;;1;;;;;1
TIEN Organisatieadvies B.V.;;;;;2;;;2
Tigrinja Tolk Diensten;;;;;1;;;1
Tintelingen B.V.;;;;;;1;;1
TNO B.V.;7;;;;6;;;7
TNS Nipo B.V.;;;;;5;;;5
Toronto Research Chemicals inc.;;1;;;;;;1
Toxikonsult;;;;;1;;;1
Toxin Technology, Inc.;;1;;;;;;1
Tpf Control B.V.;;;1;;;;;1
Transfer Managed Services B.V.;;;1;;;;;1
Transportbedrijf Hoogland B.V.;;;;;1;;;1
Transposafe Systems;;;;;;;1;1
Trimbos Instituut;;;;;1;;;1
Triptic B.V.;;;;;1;;;1
Triskelion B.V.;;;2;;;;;2
Triskem International SAS;;1;;;;;;1
Tromp Medical B.V.;;1;;;;;;1
Twynstra Gudde Energie B.V.;;;;;1;;;1
U-Cytech B.V.;;1;;;;;;1
UniCarriers Netherlands Service B.V.;;;1;;;;;1
University of Pennsylvania;;;;;1;;;1
Vaisala Oyj;;1;1;;;;;1
Van Arkel Gerechtsdeurwaarders en Incasso;;;;;;;1;1
Van der Laan, Gryglicki & Partners B.V.;;;;;2;;;2
Van Swinden Laboratorium;;1;2;;;;;2
VCD Healthcare B.V.;;;;;;;3;3
VCK Logistics Airfreights bv;;;;;;;4;4
VCMI N.V.;;;1;;;;;1
Veiligheidstechniek Nederland B.V.;;;1;;;;;1
Veip B.V.;;1;;;;;;1
Veolia Water Technologies Netherlands B.V.;;;1;;;;;1
Verdonck, Klooster & Associates B.V.;;;;;;;2;2
Verhaar Gebeko;;;2;;;;;2
Vet Med Labor GmbH;;;1;;1;;;1
Vicrea Solutions B.V.;;;;;1;;;1
View Point;;;1;;;;;1
ViroClinics Biosciences B.V.;2;;;;;;;2
Vision d-sign;;;;;1;;;1
VITROCELL Systems GmbH;1;;;;;;;1
VVS-OR;;;;1;;;;1
VWR International B.V.;;6;3;;;;;7
Wageningen Plant Research;;;;;5;;;5
Wageningen Research Holding B.V.;;;;;6;;;6
Walker Int. Transportation (Netherlands) B.V.;;;;;;;1;1
Waters Chromatography B.V.;;2;2;;;;;2
Watson-Marlow B.V.;;1;;;;;;1
Weiss Technik Nederland B.V.;;;1;;;;;1
Werfen B.V.;;2;1;;;;;2
Westburg B.V.;;2;1;;;;;2
White Queen B.V.;;;;;2;;;2
WiCell Research Institute Inc. ( GAAT VIA CREDITCARD);;1;;;;;;1
Wilten Instrumenten;;1;1;;;;;1
WING Process Consultancy B.V.;;;;;2;;;2
Witters Veiligheid;;;;;2;;;2
WSWB - Werkgr Spec Wetenschappelijke Bibliotheken;;;;1;;;;1
Xelion B.V.;;;;;1;;;1
Xerox (Nederland) B.V.;;;;;;;1;1
X-pact;;;;;;;2;2
YVSOLAB NV/SA;;1;;;;;;1
Z Index B.V.;;;;;;;1;1
Zetes B.V.;;1;;;;;;1
Eindtotaal;9;8;7;7;8;2;11;12
