Leveranciers;1110 - Verhuiskosten personeel binnen- en buitenland;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1160 - Personeelsevenementen, bijeenkomsten en recepties;1180 - Reis & verblijfskosten;Eindtotaal
AAS Opleiding en Training;;;;;1;;;1
ABC communicatie & mediaproducties;;;;;1;;;1
ABC Display Industry B.V.;;;;1;;;;1
ABC Events Nederland;;;2;;;;;2
ABC Restaurant Velp;;;;;;;1;1
Abdijhuis;;;;;;;1;1
Abel. Grand CafÃ© Restaurant B.V.;;;1;;;;;1
Abiom Communication Systems (A.C.S.) B.V.;;;2;;;;;2
Abrikoos Utrecht B.V.;;;1;;;;;1
Absoluta Food and Facilities B.V.;;;1;;;;1;1
Academie Bo Yi;;;;;1;;;1
Academie Lokale Belastingen;;;;;1;;;1
Academie voor de Rechtspraktijk B.V.;;;;;1;;;1
Academie voor Leren en Ontwikkelen;;;;;1;;;1
Academie voor Medezeggenschap B.V.;;;;;1;;;1
Academie voor Motivatie en Gedragsverandering;;;;;1;;;1
Academy for Information and Management B.V.;;;;;1;;;1
Academy for Leadership B.V.;;;;;2;;;2
Academy of Logistics;;;;;2;;;2
Academy Payroll Professionals;;;;;2;;;2
Accent Organisatie Advies B.V.;;;;;1;;;1
Accenture B.V.;;;;;;;1;1
Accor Hospitality Nederland N.V.;;;1;;1;;;1
Accountantskantoor Geerlofs B.V.;;;;;1;;1;1
Accretio;;;;;2;;1;2
Achmea Schadeverzekeringen N.V.;;;2;;;;;2
Achterkamp Bedrijfsopleidingen B.V.;;;1;;1;;;1
ACM Opleidingen B.V.;;;;;1;;;1
ACP Beroepskeuze-advies;;;;;1;;;1
ACT2B Advies, Coaching & Training;;;;;1;;;1
ACTA Dental Education B.V.;;;;;1;;;1
Acteur en Theatermaker Ben van Bokhoven;;;1;;;;;1
Acteursbureau Kapok B.V.;;;1;;;;2;2
Actief Events B.V.;;;1;;;;;1
Actief Veenhuizen;;;1;;;;;1
Active Learning;;;;;1;;;1
Ad Blitterswijk;;;1;;;;;1
Ad Em Producties B.V.;;;;;2;;;2
Ad Rem Debat en Strategie;;;;;1;;;1
Adames Consultancy;;;;;1;;;1
Adank & Klostermann Advocaten B.V.;;;;;;;1;1
Adao;;1;;;;;;1
Addink Tweewielers;;;1;;;;;1
Adecco Detachering B.V.;;;1;1;;;1;1
Adecco Personeelsdiensten B.V.;;;1;;1;;1;1
Adfo Groep B.V.;;;1;;;;;1
Adlib Gebruikersgroep;;;;;1;;;1
Administratieburo Van den Hazel;;;;;1;;;1
Administratiekantoor Fine;;;1;;;;;1
Admiraal Steakhouse;;;1;;;;;1
Adoptiepraktijk Vinke;;;;;2;;;2
Adoptiestichting A New Way;;;;;1;;;1
Adriaanse van der Weel Advocaten;;;;;1;;1;1
ADT Advocaten;;;;;;;1;1
Adv.grp. voor Org. Psychologie (AVOP) B.V.;;;;;1;;;1
Adventure King B.V.;;;1;;;;;1
Advies bij Arbeid B.V.;;1;;;;;;1
Adviesbureau Atim B.V.;;;;;2;;;2
Adviesbureau Movement;;;;;;;1;1
Adviesbureau Van Montfoort B.V.;;;;;;;1;1
Adviesgroep voor Kantoorinnovatie AVK B.V.;;1;;;1;;;2
Advocatenkantoor Baggen;;;;;;;1;1
Advocatenkantoor Brugman;;;1;;;;;1
Advocatenkantoor Dekker;;;;;;;1;1
Advocatenkantoor J. Mul;;;;;;;1;1
Advocatenkantoor Koopman;;;;;;;1;1
Advocatenkantoor mr. S. Urcun B.V.;;;;;;;1;1
Advocatenkantoor NA de Kock;;;;;;;1;1
Advocatenkantoor Roethof B.V.;;;;;;;1;1
Advocatenkantoor Starmans;;;;;;;1;1
Advocatenkantoor Zuid-Oost Drenthe;;;;;;;1;1
AEB opleidingen;;;;;1;;;1
Aeres;;;;;1;;;1
AEVES B.V.;;;;2;;;;2
Ã‰Ã©n voor Twee;;;;;2;;;2
AFC Ajax N.V.;;;1;;;;;1
Afd. Zuilen van de Kon. Ned. Ver. E.H.B.O.;;1;;;;;;1
AG Connect B.V.;;;;;1;;;1
Agaath Brink;;;;;1;;;1
Agatha Producties B.V.;;;1;;;;;1
Agathon Coaching & Loopbaanadvies V.O.F.;;1;;;;;;1
Agathos M&O;;;;;4;;;4
Agbodo Workshops;;;1;;;;;1
Ageeth van der Veen Journalistiek;;;;;1;;;1
Agile Scrum Group B.V.;;;;;1;;;1
Agilent Technologies Netherlands B.V.;;;;;1;;;1
Agora catering and fine dining;;;;;;;1;1
Agrima II B.V.;;;;;;;1;1
Agrip Advies;;;1;;;;;1
Agro-taverne Wijngaardshof;;;;;;;1;1
Ahrend Nederland B.V.;;1;1;;;;;2
Aiki-Training;;;1;;;;;1
Ai-Opener;;;;;1;;;1
AJN Handelsonderneming;;;1;;;;;1
Akihito Sushi B.V.;;;;;;;1;1
Akkermans Leisure & Golf;;;1;;;;;1
Aksaray Taxi;;;;;;;1;1
Aktief Overijssel B.V.;;;1;;;;;1
Aktiviteitencentrum Poortershoes;;;1;;;;;1
Al Mundo;;;1;;;;1;1
Al-Andaluz International B.V.;;;1;;;;;1
Albert Heijn B.V.;;;1;;;;;1
Albert-Schweitzergroep - Scouts Troep;;;1;;;;;1
Albron Nederland B.V.;;;2;;1;;1;2
Aldo theater met poppen;;;1;;;;;1
Alert Promotie;;;1;;;;;1
Alex Aalders Bloemist;;;1;;;;;1
Alexander Gout, training en coaching;;;;;;;1;1
Alfabeta Tekst & Training;;;;;1;;;1
Alfa-college, locatie Leek;;;1;;;;;1
Ali Hammo Vertaler;;;;;;;1;1
Alkemade Forensic Reasoning (AFR);;;;;1;;1;1
All Tactical;;;1;;;;;1
Allen & Overy LLP;;;;;;;1;1
Allen Carr's Easy Way;;;1;;;;;1
AllFacts;;;;;1;;;1
Allgifts.nl B.V.;;;1;;;;;1
All-In Catering Solutions;;;;;;;1;1
AllJazz Magic;;;1;;;;;1
All-round Catering Service Hapjesgigant M & M;;;1;;;;;1
Alpha Architectenbureau;;;1;;;;;1
Alpha Tours Hem B.V.;;;1;;;;;1
Alphen aan den Rijn Taxi Service;;;;;;;1;1
Als Zodanig;;;;;1;;;1
Always Green B.V.;;;;;;;1;1
Amaze Escape Events;;;1;;1;;;1
Amazing Bread Company B.V.;;;1;;;;1;2
Ambachtelijke Chocolade Enzo;;;1;;;;;1
Ambachtelijke Slagerij Kevelam;;;;;;;1;1
Ambachtelijke Slagerij van Elten;;;1;;;;;1
Ambitious;;;1;;;;;1
Ambulance Oost locatie Almelo;;;;;1;;;1
AMD automotive fiscalisten B.V.;;;;;1;;;1
Ameland Adventure;;;1;;;;;1
American Roadhouse B.V.;;;1;;;;;1
Amerikana B.V.;;;;;;;1;1
Amerpodia B.V.;;;;;1;;;1
Amersfoortsche Stadsbrouwerij De Drie Ringen;;;;;;;1;1
AMI Maastricht;;;;;1;;;1
Amis Services B.V.;;;;;3;;;3
Amplooi;;;1;;;;;1
Amstelhoeck;;;1;;;;;1
Amstelkade (Zorgboerderij);;;1;;;;;1
Amstelparkrestaurant Rosarium B.V.;;;;;;;1;1
Amstelwake-up;;;1;;;;;1
Amsterdam Boats B.V.;;;1;;;;;1
Amsterdam City Centre B.V.;;;;;;;1;1
Amsterdam Dungeon B.V.;;;1;;;;;1
Amsterdam Flowers;;;1;;;;;1
Amsterdam Forest Hotel B.V.;;;;;;;1;1
Amsterdam Shooting Events B.V.;;;1;;;;;1
Amsterdams ADR Instituut B.V.;;;;;2;;;2
Amsterdams Ballonnen Bedrijf;;;1;;;;;1
Amygdala B.V.;;;;1;1;;;1
Anachroon Therapie;;;;;1;;;1
AnalitiQs B.V.;;;;;2;;;2
Andale;;;1;;1;;;1
Andere Wereld, Therapie & Training;;;;;1;;;1
AndereStart;;;;;4;;;4
AndereWijn B.V.;;;1;;;;;1
Andermanskeuken;;;1;;;;;1
Andersson Elffers Felix;;;;;1;;;1
AndersVeranderen;;1;;;1;;;1
AndrÃ© Dokter Horeca B.V.;;;1;;;;;1
Andrea Saes;;;;;2;;1;2
Andromeda Advies en training;;;;;1;;;1
Angela Wijers Trainingen;;;;;2;;;2
Angelieke Stikkel;;;1;;;;;1
Angelique Fierens;;;;;1;;;1
Anita Bakker Trainer Coach Acteur;;;;;2;;1;2
Anje Kel Advies;;;1;;;;;1
Anje-Marijcke van Boxtel;;;;;1;;;1
Anker & Anker Opleidingen;;;;;1;;;1
Anker & Kompas;;;;;1;;;1
Anker Management;;;;;1;;;1
Annabelle de Jong;;;;;1;;;1
Anne Boermans Coaching en Counseling;;;1;1;1;;;2
Annechien Steenhuizen Produkties;;;;;1;;;1
Anne-Greet W. van Rootselaar;;;;;;;1;1
Anne-Marie Spin zangdocent;;;;;1;;;1
Annemarie Wijnbergen, coaching, Train. & Med.;;;;1;;;;1
Annika Lau;;;1;;;;;1
Anoniem 1;;;;;;;1;1
Anoniem 11;;;;;;;1;1
Anoniem 12;;;1;;;;;1
Anoniem 14;;;;;1;;;1
Anoniem 15;;;1;;;;;1
Anoniem 17;;;1;;;;1;1
Anoniem 18;;;1;;;;;1
Anoniem 20;;;;;1;;;1
Anoniem 22;;;1;;1;;;1
Anoniem 23;;;2;;;;;2
Anoniem 24;;;;;1;;1;1
Anoniem 25;;;;;2;;1;2
Anoniem 26;;1;;;;;;1
Anoniem 27;;;1;;;;;1
Anoniem 3;;;;;1;;;1
Anoniem 6;;;1;1;;;;1
Anoniem 8;;;1;;;;1;1
Anoniem 9;;;;;1;;;1
Another Way B.V.;;;;;1;;;1
Anovis B.V.;;;;;1;;;1
ANP Photo;;;;;1;;;1
Anthea Training & Coaching;;;;;3;;;3
Antoine Bossers t.h.o.d.n. Slagerij Maros;;;1;;;;;1
Antropia B.V.;;;;;1;;;1
ANWB-Rijopleiding;;;;;1;;;1
AO Core B.V.;;;1;;;;;1
AOG Contractonderwijs B.V.;;;2;;5;;;5
AOG Groep/Buyten;;;;;1;;;1
Aparthotel Delden;;;;;;;1;1
Apeldoornse Bierbrouwerij De Vlijt B.V.;;;1;;;;;1
Aperitivo B.V.;;;1;;;;;1
apetito B.V.;;;;;;;1;1
APG Asset Management N.V.;;;;;;;1;1
APG Service Partners B.V.;;;1;;;;;1
Apollo13;;;;;1;;;1
Apostolou Consultancy & Advice;;;;;;;1;1
Appelscha-Outdoor;;;2;;1;;;2
Applied Research Laboratory Eur. (ARLE) B.V.;;;1;;;;;1
Aqua Chain Holland B.V.;;;;;;;1;1
AR Updates B.V.;;;;;1;;1;1
ARA Groep B.V.;;;1;;;;;1
Arab. en Koerdisch Sorani Tolk en Vertalingen;;;;;;;1;1
Arado Party Solutions;;;1;;;;;1
ARAG SE Nederland;;;1;;;;;1
Arb.psych. Adv.bureau J.J. van den Broek B.V.;;1;2;;;;;2
ArbeidsBrein;;;;;1;;;1
ARBO Opleidingscentrum B.V.;;;;;1;;;1
Arbo Unie B.V.;;6;1;;1;;;6
Arbo-Rie-Support B.V.;;;;;1;;;1
ArboVitale B.V.;;1;;;;;;1
Archipel;;;;;1;;;1
Ardis Organisatieontwikkeling B.V.;;;;;2;;;2
Arehbo (Service & Advies);;;1;;1;;;1
Arend Buitenhuis Consultancy;;;;;2;;;2
Arenda Oomen Fotografie;;;1;;;;;1
Arenda Vos Onderwijskundig Ontwerp en Advies;;;;;1;;;1
Arendje Verhuur B.V.;;;1;;;;;1
Arendshorst Buitenactiviteiten;;;1;;;;;1
ArendSmits;;;;;2;;;2
Arjan&;;;;;1;;;1
Arkiva Horeca B.V.;;;1;;;;;1
Arma Verhuur Horeca B.V.;;;1;;;;;1
ArmSlag ArbeidsmarktOpleidingen B.V.;;;;;1;;;1
Arnauld Geschenken B.V.;;;1;;;;;1
Arno van 't Hoog - Wetenschapsjournalistiek;;;1;;;;;1
Arnold Verwiel B.V.;;;1;;;;;1
Array Media B.V.;;;;;1;;;1
Arriva Touring;;;;;;;1;1
Arro Tentverhuur;;;;;;1;;1
ARSAMIRO Rotterdam B.V.;;;1;;;;1;1
Art 4 U;;;1;;;;;1
Artalon Gedenkbeelden;;;;;1;;;1
Artiestenbureau van Otterloo B.V.;;;1;;;;;1
Artihove Regina B.V.;;;1;;;;;1
Artistic Vice;;;1;;1;;;1
Arts & Dennissen Catering;;;;;;;1;1
arvato Finance B.V.;;;1;;;;;1
AS 21 B.V.;;;;;;;1;1
Asaya;;;;;1;;;1
Asessor B.V.;;;;;1;;;1
Asian Boulevard;;;1;;;;;1
Asmani Project Management;;;;;3;;;3
ASP Adventure B.V.;;;1;;;;;1
Asselbergs & Klinkhamer Advocaten;;;;;1;;;1
Assisi B.V.;;;1;;;;;1
Associatie voor Coaching;;;;;1;;;1
Assurist B.V.;;;1;;;;;1
A-Star Promotions;;;;;;;1;1
Astoria Hotel Exploitatie Maastricht B.V.;;;;;1;;;1
Astrid Landman mediation & coaching;;;;;1;;;1
Astrid van Ruijven Training & Advies;;;;;3;;;3
Astrid Willems;;;;;1;;;1
At Osborne B.V.;;;1;;;;;1
Atelier de Pleijsterplaats;;;1;;;;;1
Athenas B.V.;;;1;;1;;;1
Athene Palace B.V.;;;1;;;;1;1
ATIM Opleidingen B.V.;;;;;1;;;1
Atlantic Hotel Exploitatie B.V.;;;;;1;;1;1
Atlas Reizen B.V.;;;;;;;1;1
Atletiekvereniging Startbaan;;;1;;;;;1
Atos Nederland B.V.;;;;1;1;;;1
ATP Business Travel B.V.;;;;;;;1;1
ATTERO B.V.;;;1;;;;;1
Auberge du Bonheur B.V.;;;;;;;1;1
Auberge Navet V.O.F.;;;;;;;1;1
Auke Smits Publiciteit B.V.;;;;3;;;;3
Authentiek leiderschap B.V.;;;;;1;;;1
Autismepraktijk Rotterdam;;1;;;;;;1
AutiTalent B.V.;;;2;;;;;2
Auto Dekker en Jobse V.O.F.;;;1;;;;;1
Autobedrijf Holsch B.V.;;;;;;;1;1
Autobedrijf van den Udenhout B.V.;;1;;;;;;1
Autobedrijf Van Reenen;;;1;;;;;1
Autobusbedrijf Doornbos B.V.;;;;;;;1;1
Automotive Publishing B.V.;;;;;1;;;1
Autonomica;;;;;1;;;1
Autoverhuur Bultman B.V.;;;1;;;;1;1
Autoverhuur Eefting;;;;;;;1;1
AV Bloemsierkunst;;;1;;;;1;1
AVA Studio's;;;;;1;;;1
Avans Hogeschool B.V.;;;;;2;;;2
Avantgarde Media B.V.;;;;;1;;;1
Avedisian Tolk en vertaalbureau;;;;;;;1;1
Avetica B.V.;;;1;;1;;;1
Avex B.V.;;;1;;1;;;1
Axiell ALM Netherlands B.V.;;;;;1;;;1
Axis into Management B.V.;;;;;1;;;1
Axle B.V.;;;;;2;;;2
AYDEM Facilitaire Diensten;;;1;;;;;1
AynaVision;;;;;2;;;2
AZ Barbecue & Gourmet Partyservice B.V.;;;1;;;;;1
B & T Productions;;;1;;;;;1
B & V Bedrijfshulpverlening B.V.;;;;;2;;;2
B Tax;;;;;;;3;3
B&C Melissen Advocaten;;;;;;;1;1
B. Vermaak Holding B.V.;;;;;1;;;1
B.H. Gotink;;;;;;;1;1
B.ict Solutions;;;;;1;;;1
B.J. Bontekoe;;;1;;;;;1
B.V. Amstel Hotel Maatschappij;;;;;;;1;1
B.V. De Vooruitgang;;;;;;;1;1
B.V. Het Refter;;;;;;;1;1
B.V. Panorama Mesdag;;;1;;;;;1
B.V. Uitgeverij SWP;;;;;1;;;1
B+B Vakmedianet B.V.;;1;;;2;;;2
B4 Solutions;;;1;;;;;1
BA Blansjaar B.V.;;;;;;;2;2
Babel B.V.;;;;;1;;;1
Babo cafÃ©;;;1;;;;;1
Babycompany.nl;;;1;;;;;1
Backx V.O.F.;;;;1;;;;1
Badhotel Rockanje aan Zee B.V.;;;;;;;1;1
BÃ©mar B.V.;;;;;1;;;1
Bak Travel;;;1;;;;1;1
Baker Tilly Berk Eindhoven;;;;3;;;1;3
Bakers CafÃ© Maussen;;;;;;;1;1
Bakers Consult;;1;;;1;;;1
Bakery Cafe Kottier;;;1;;;;;1
Bakker Administratie, Coaching en Advies;;;;;1;;;1
Bakker Ammerlaan Bleiswijk B.V.;;;1;;;;;1
Bakker Derks 'Der Deutsche Backer';;;;;;;1;1
Bakker Gerard;;;;;;;1;1
Bakker Van Maanen Productie B.V.;;;1;;;;;1
Bakkerij A.M.J. Verbeek;;;;;;;1;1
Bakkerij Bongaards V.O.F.;;;1;;;;;1
Bakkerij Bornhijm B.V.;;;1;;;;;1
Bakkerij Braam;;;1;;;;;1
Bakkerij De Lekkerbek B.V.;;;1;;;;;1
Bakkerij Deterd B.V.;;;1;;;;;1
Bakkerij Hilvers B.V.;;;1;;;;;1
Bakkerij Jan Schrieks B.V.;;;1;;;;;1
Bakkerij Jansen en Terpstra;;;1;;;;;1
Bakkerij Jos Rood B.V.;;;1;;;;;1
Bakkerij Koppejan B.V.;;;1;;;;1;1
Bakkerij Lubbers;;;;;;;1;1
Bakkerij Oegema;;;1;;;;;1
Bakkerij Pots;;;1;;;;;1
Bakkerij Saada;;;1;;;;;1
Bakkerij Sadem;;;1;;;;;1
Bakkerij Schutte;;;1;;;;1;1
Bakkerij Schuurmans;;;;;;;1;1
Bakkerij 't Zand B.V.;;;1;;;;1;1
Bakkerij Timmer;;;;;;;1;1
Bakkerij Van Esch;;;1;;;;;1
Bakx & Meijer catering en organisatie;;;1;;2;;;2
Balabanova B.V.;;;1;;1;;;2
Balans & Impuls B.V.;;;;;2;;;2
Balans & Motivatie;;;;;1;;1;1
Balans in Welzijn;;;;;1;;;1
Balansgroep opleidingen & consultancy;;;;;1;;;1
Baldon B.V.;;;;1;;;;1
Balkan Grill Restaurant;;;1;;;;;1
Balkan Restaurant Makedonia;;;;;;;1;1
Ballonnenpartners;;;1;;;;;1
Ballonnenservice.nl;;;1;;1;;;1
Balloon-Shop;;;1;;;;;1
Bally's Bowling;;;;;;;1;1
BAM Bouw en Techniek regio Zuidwest;;;;;1;;;1
Bamboo's SatÃ©;;;;;;;1;1
BandBuro;;;1;;;;;1
Bandra Beheer B.V.;;;1;;;;1;2
Banketbakkerij Arnold Cornelis B.V.;;;2;;;;1;2
Banketbakkerij Boheemen;;;1;;;;1;1
Banketbakkerij De Kruyter;;;1;;;;1;1
Banketbakkerij Dorgelo;;;1;;;;;1
Banketbakkerij Gosselaar;;;;;;;1;1
Banketbakkerij Jan de Groot;;;1;;;;1;1
Banketbakkerij Maison Kelder B.V.;;;1;;;;;1
Banketbakkerij Nijstad;;;1;;;;;1
Banketbakkerij Salverda;;;1;;;;;1
Banketbakkerij Stevers B.V.;;;1;;;;;1
Banketbakkerij Teunissen;;;1;;;;;1
Banketbakkerij Theo Blom V.O.F.;;;;;;;1;1
Banketbakkerij van Beek & Specker B.V.;;;2;;;;1;2
Banketbakkerij Van Dijk en Zoon;;;1;;;;1;1
Banketbakkerij-Partyservice Van den Berg;;;1;;;;;1
Banketbakkerij-Salon De Thee 'Christiaan';;;1;;;;;1
Bap Boumans Bedrijfstraining, Actie en Perf.;;;;;;;1;1
BAR 35 B.V.;;;1;;;;;1
Bar Bistro De Twee Heeren;;;1;;;;;1
Bar Bistro 'Pieke Potloed';;;;;;;1;1
Bar Bistro Speakers;;;1;;;;;1
Bar Le Duc;;;1;;;;1;1
Bar Restaurant Pavlov B.V.;;;1;;1;;2;2
Bar restaurant Pix Rotterdam;;;1;;;;;1
Barbarossa Beach B.V.;;;1;;;;;1
Bar-Bistro 't Bruggetje;;;1;;;;;1
Baresno B.V.;;;1;;;;;1
Barlucca;;;;;;;1;1
Bart Brandsma in media;;;;;1;;;1
Bart Samsom Enterprises;;;;;1;;;1
Bart van Vliet Freelance Fotograaf;;;1;;;;;1
Barthen Exploitatie Maatschappij B.V.;;;1;;;;;1
BAS Bedrijfskleding B.V.;;;1;;;;;1
Bas de Vette AV;;;;;1;;;1
Basaal;;;;;;;1;1
Bascule Groep;;;;;1;;;1
Basketballvereniging B.S. Leiden;;;;;1;;;1
Basso;;;;;;;1;1
Bastion Hotel Rijswijk B.V.;;;;;;;2;2
Baston Service B.V.;;;1;;;;;1
Battlefield Live Nederland B.V.;;;1;;;;;1
Batus Management en Advies B.V.;;;;;1;;;1
Baumann & Steffen Sicherheitstechn. Ned. B.V.;;;2;;;;;2
Bavak Beveiligingsgroep B.V.;;;1;;;;;1
Bawazir B.V.;;;1;;;;;1
Bax Verkeersscholen B.V.;;;;;1;;;1
BBC Bruxelles;;;;;;;1;1
BCD Travel Nederland B.V.;;;;;1;;8;8
BCN B.V.;;;;;;;1;1
BCT B.V.;;;1;;;;;1
Be Mindful Amsterdam;;;;;1;;;1
Beach Professionals B.V.;;;1;;;;;1
Beachclub 57;;;1;;;;1;1
Beachclub The Bing B.V.;;;1;;;;;1
Beachclub Titus B.V.;;;;;;;1;1
Beachzone events;;;;;;;1;1
Beauforthuis Exploitatie B.V.;;;1;;;;;1
Bedrijfsfitness Nederland B.V.;;4;;;;;;4
Bedrijfskring Heerhugowaard;;;1;;;;;1
Beekse Bergen Exploitatie B.V.;;;2;;;;;2
Beest en Goed;;;;;1;;;1
Beheer Centrum voor Mindfulness;;;;;1;;;1
Behr Groep Nederland B.V.;;;2;;2;;1;3
Beijk Horeca Heerenveen B.V.;;;;;;;1;1
Beko Groothandel B.V.;;;1;;;;;1
Belangenver. Bedrijfshulpverlening Nederland;;;1;;;;;1
Beleef! Media;;;;;1;;;1
BeleefBreda;;;1;;;;;1
Beleg van Almere;;;1;;;;;1
Beleg van Breda;;;1;;;;;1
Beleving aan zee;;;1;;;;;1
Belfleur;;;1;;;;;1
Belgisch BiercafÃ© Olivier B.V.;;;1;;;;1;1
BeLife Zorg B.V.;;1;;;;;;1
Beljon + Westerterp Recruitment;;;1;;2;;;2
Bella Milano;;;;;;;1;1
Benjamin Music;;;1;;;;;1
Benner Kaap Hoorn Exploitatie B.V.;;;;;;;1;1
Berenschot Groep B.V.;;;;;4;;;4
Bergh Delisse Events;;;1;;;;;1
Berghauser Pont Academy B.V.;;;;;1;;;1
Berghauser Pont B.V.;;;;;1;;;1
Berghorst Horeca Exploitatie B.V.;;;1;;1;;;1
Bernard Poelman Maatkleding;;;;;1;;;1
Beroepsver. van Professionals in Sociaal Werk;;;;;4;;1;4
Beroepsvereniging Vide;;;;;1;;;1
Berry Franssen;;;1;;;;;1
Bert Hellinger Instituut Nederland;;;;;1;;;1
Best Escape B.V.;;;1;;;;;1
Bestuursacademie Nederland Opleidingen B.V.;;;;;3;;;3
BEsuccesvol;;;1;;;;;1
Beter Opleidingen;;;;;1;;;1
Betervenlo B.V.;;;1;;;;;1
Better Future B.V.;;;;;2;;;2
Betty Visker;;;;;1;;;1
Beuk Touringcars;;;;;;;1;1
Bever B.V.;;;1;;;;;1
Bewegen Werkt B.V.;;;2;;2;;;2
Bewust Anders;;;;;1;;;1
Bex*communicatie;;;;;2;;;2
Bezorggroente.nl;;;2;;;;;2
Bickers aan de Werf;;;1;;;;;1
Bicycle Tours By Locals Rotterdam;;;1;;;;;1
Bierbrouwerij Duits & Lauret B.V.;;;1;;;;;1
Bierens Training & Coaching;;;;;1;;;1
Big Bell B.V.;;;1;;;;;1
Bij Aaltje aan de Linie;;;1;;;;;1
Bij Loes Delfshaven;;;1;;;;;1
Bij Ons;;;;;;;1;1
Bij Teus;;;;;;;1;1
bijHanz, B.V.;;;;;;;1;1
Bijsterbosch Productions;;;;;1;;;1
BijTies;;;;;;;1;1
Bijzondere Locaties Groningen B.V.;;;;1;;;;1
BijzonderStrafrecht B.V.;;;;;2;;;2
Bilderberg Europa Hotel Scheveningen;;;;;;;1;1
Bilderberg Grand Hotel Wientjes;;;;;1;;1;1
Bilderberg Hotel De Keizerskroon;;;;;1;;;1
Bilderberg Residence Groot Heideborgh;;;;;2;;;2
Bilt en Bahadoer Opleidingsinstituut B.V.;;;;;1;;;1
Bimoa;;;;;1;;;1
Bindje;;;;;1;;;1
Bingh Advocaten;;;1;;;;;1
Bink Rooftop;;;1;;;;;1
Binn'npret;;;1;;;;;1
BirdView Expertises B.V.;;;1;;;;;1
Birwa Tours;;;;;1;;;1
Bison Bowling;;;1;;;;;1
Bison Haarlem B.V.;;;1;;;;;1
Bistro 2.53;;;;;;;1;1
Bistro Chez Jacqueline;;;;;;;1;1
Bistro de Cactus;;;;;;;1;1
Bistro Jacques;;;1;;;;;1
Bistro Le Primeur B.V.;;;;;;;1;1
Bistro Mer B.V.;;;;;;;1;1
Bistro Tante Pietje;;;1;;;;1;1
Bistro Vive la Vie;;;;;;;1;1
Bistrot Le Canard;;;;;;;1;1
bITa Center B.V.;;;;;1;;;1
Bitmetric B.V.;;1;;;1;;;1
Bizon Events B.V.;;;1;;;;;1
