Leverancier;6000 - ICT overig;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6310 - Aanschaf, beheer en onderhoud infrastructuur;6410 - Spraak en dataverbindingen;6510 - Aan een externe partij uitbestede ICT-dienstverlening;Eindtotaal
Dematic;;;;;;5;;;5
Design Solutions;;;;;;1;;;1
Digital Pixel Marketing;;;;1;;;;;1
Digital Revolution B.V.;;1;;;;;;;1
Document House Beuningen;;;;;;2;;;2
Dun & Bradstreet B.V.;;;;;;2;;;2
Dustin Netherlands B.V.;;;;;;1;;;1
Dutch Drone Group B.V.;;1;;;;;;;1
Dymospecialist;1;;;;;;;;1
Easydus B.V.;;;;2;;;;;2
Eijlander Electronics B.V.;1;;;;;;;;1
Eijsink Afrekensystemen B.V.;;;;;4;;;;4
Eindhoven Airport N.V.;;;;;;1;;;1
Electrotechnische Groothandel Horvers B.V.;;;3;;;4;;;4
Elements RTLS Innovators B.V.;1;;;;;2;;4;5
Elproma B.V.;;2;2;;;;;;2
Enginia B.V.;;;;;;4;;;4
Esri Nederland;;;;1;;2;;;2
Every Angle Software Solutions B.V.;;;;;;6;;;6
everywhereIM;;;;;;2;;;2
Exact Software Nederland B.V.;;;;;2;;;;2
Eyes On PhotoArt;;1;;;;;;;1
Faes Cases B.V.;;;;;;3;;;3
Farnell (Netherlands) B.V.;1;;;;;;;;1
FMJ Marine & Offshore B.V.;;2;;;;;;;2
Fofic;;1;;;;;;;1
Frame Engineering B.V.;1;;;;;;;;1
Future Learning B.V.;;;;;;;;2;2
Gartner Nederland B.V.;;;;;;;;7;7
Green April B.V.;;;;;;;;3;3
Index Hospitality Systems B.V.;;;;;4;;;;4
Infraconcepts Netherlands B.V.;;;1;;;;;;1
Innovation Family B.V.;;;;;;;;1;1
Insight Enterprises Netherlands B.V.;;;;4;;10;;;10
Intelligence Group B.V.;;;;1;;;;;1
IOVIO PV&O B.V.;;;;;;2;;;2
Issue Information Technology B.V.;;;;;;3;;;3
Jenot Automatisering;;;;2;;;;;2
Kabelshop B.V.;1;;;;;;;;1
Kamera Express;;1;;;;;;;1
Koninklijke Scheepsagentuur Dirkzwager B.V.;;;;;;4;;;4
Kruizinga B.V.;;1;;;;;;;1
Laska Computers;;;;;;1;;;1
LexisNexis Benelux;;;;3;;;;;3
Loopper special projects;;1;;;;;;;1
Maastricht Aachen Airport B.V.;;;;;;1;;;1
Marsoft Kabeltelevisie & Communicatie;;;;;;;1;;1
Max ICT B.V.;;;;;;1;;;1
Medical Measurement Systems B.V.;;;;;;;1;;1
Micro-Mail Zeewolde B.V.;;;;;;;1;;1
ModernWorkx;;;;;;1;;;1
MSA Nederland B.V.;;;;;;2;;;2
MSM-Edison B.V.;;;;;;1;;;1
National Instruments Netherlands B.V.;;;;;;1;;;1
Netlink B.V.;;;1;;;7;;;7
Network Republic Europe B.V.;;;;;;1;;;1
NeXTLearningValley B.V.;;;;2;;;;2;3
NHG Uitgeverij B.V.;;;;;;1;;;1
Nijboer Blijstra Techniek B.V.;;2;;;;;;;2
NLR - Deelnemingen B.V.;;;;;;3;;;3
NMS National Multiple Services B.V.;;;;;;;1;;1
Nobel Bouwcenter B.V.;1;;;;;;;;1
Nou&Off;;;;;;2;;;2
Noyz Boyz Advanced Audio Services B.V.;;1;;;;;;;1
Onlinekabelshop B.V.;;1;;;;;;;1
Oracle Nederland;;;;;;3;;;3
Orcavoice B.V.;;;;;;;1;;1
P&M Vastgoed B.V.;;;;;;2;;;2
P2000 Alarmeringsystemen B.V.;;;;;;1;1;;1
Pactechno;;;;;;1;;;1
Pandora Intelligence B.V.;;;;2;;;;;2
Papergraphics;;1;;;;;;;1
Paralax B.V.;;;;;;4;;;4
PINE ICT B.V.;;;;;;;1;;1
Planon B.V.;;;;;;4;;2;4
Priority;;;;;;;4;;4
PRO-MATCH system integration;;;;;;2;;;2
QlikTech Netherlands B.V.;;;;;;2;;;2
R.T.H.-Relli Technology Holland B.V.;;;;;;2;;;2
Red Geographics;;;;1;;;;;1
Romex B.V.;;1;;;;;;;1
RS Components B.V.;;;;;;1;;;1
Rubenco Handelsonderneming;1;;;;;;;;1
Rys Electronics;1;;;;;;;;1
Schiphol Telematics B.V.;;;;;;;5;;5
Sdu Uitgevers B.V.;;;;;;;;2;2
Sendsteps B.V.;;;;2;;;;;2
Simac Electronics B.V.;;1;;;;2;;;2
Sim-Ci Holding B.V.;;;;;;;;2;2
Siteimprove B.V.;;;;;;2;;;2
Skymond Mobile B.V.;1;;;;;;;;1
SLTN IT Products B.V.;;3;5;;;;;;5
SLTN IT Professionals B.V.;;;4;;;;;;4
Smart Cable Technology B.V.;;;;;;;2;;2
SMS Implementation Engineers B.V.;;;;;;3;;;3
Software AG Nederland B.V.;;;;;;5;;;5
Solar Nederland B.V.;1;;;;;;;;1
Solipsis B.V.;;;;;;2;;;2
Spandex Benelux B.V.;;3;;1;;2;;;3
SQ Vision Mediaprodukties;;1;;;;;;;1
SSB B.V.;;;;;;2;;;2
Studio 38C;;1;;;;;;;1
T Media;;1;;;;;;;1
Techflex;1;;;;;;;;1
Technisch Bureau Magema B.V.;;1;;;;;;;1
Technische Handelsonderneming Tehages B.V.;;;;;;3;;;3
Tentenverhuur De Weerd Voorst;1;;;;;;;;1
TES Install.techn. Service & Onderhoud B.V.;;;;;;1;;;1
The Dutch Nameplate Factory B.V.;;2;;;;;;;2
The Future Store;;1;;;;;;;1
The Hague Tech B.V.;;;;;;;;2;2
T-Mobile Netherlands B.V.;;;;;;;1;;1
Topvoice;;1;;;;;;;1
Tripylon Media;;;;;;;;2;2
Uil VR Solutions B.V.;;1;;;;;;;1
Unishore B.V.;;;;;;;1;;1
Van de Spijker B.V.;;;;;;1;;;1
Van der Valk Hotel Bijhorst;;1;;;;;;;1
Van het Meer Import;;1;;;;;;;1
Vanderkooij Telecommunicatie B.V.;;;;1;;7;;;7
Vertimart Consultants B.V.;;;;;;2;;;2
Video Duplication Holland B.V.;;1;;;;;;;1
Vink Lisse B.V.;1;;;;;;;;1
Wbn Software Solutions B.V.;;;;;;1;;;1
We-Got-IT B.V.;;1;1;;;;;;1
Welch Allyn B.V.;;;;;;2;;;2
Wiba Zevenaar B.V.;;;;;;5;;;5
Worcflow;;1;;;;;;;1
Xolphin B.V.;1;;;;;;;;1
Zarges B.V.;;;;;;1;;;1
Ziggo B.V.;;;;;;3;7;;7
Ziggo Services B.V.;;;;;;;1;;1
ZorgDomein Nederland B.V.;;;;;;1;;;1
Eindtotaal;5;7;6;7;5;11;10;7;12
