Handelsnaam;3000 - Uitbesteden overig;3110 - Uitbesteden organisatie- en formatieadviesopdrachten;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3150 - Uitbesteden automatiseringsadvies;3160 - Uitbesteden accountancy en financien;Eindtotaal
Deventer Ziekenhuis;;1;;;;1
Diakonessenhuis Doorn;;1;;;;1
Diederen Oogarts;;1;;;;1
Doktershuis Oude Noorden;;1;;;;1
Doxa B.V.;;;;;2;2
Dr. R.J. Stockley T/AS THE SURGERY;;1;;;;1
drdx Vascular Consultancy;;1;;;;1
DSP-Groep B.V.;;;2;;;2
Dutch Research Institute for Transitions B.V.;;;2;;;2
Effectory B.V.;;;2;;;2
Ekkel & Hilhorst, huisartsen;;1;;;;1
Ellie Roetgerink Consultancy;1;;;;;1
Emergis;;1;;;;1
Erasmus Universit. Medisch Centrum Rotterdam;;;3;;;3
Ernst & Young Accountants LLP;;;;;6;6
F.G.M. Waaijenborg, huisarts i.o.;;1;;;;1
F.J. Kurek, orthopedisch chirurg;;1;;;;1
F.P.P.M. Nieuwesteeg, huisarts;;1;;;;1
Fox-IT;;;1;;;1
Franciscus Ziekenhuis Roosendaal;;1;;;;1
Fysiotherapie en Train. Vos en Ghoochannejhad;;1;;;;1
Fysiotherapie Jansen;;1;;;;1
Fysiotherapie Woensel Zuid;;1;;;;1
Fysiotherapiepraktijk Swart en Pruyssers;;1;;;;1
Gelre Ziekenhuis Apeldoorn;;1;;;;1
Gemini Ziekenhuis/N.w. Z.h.g.,loc. Den Helder;;1;;;;1
Gez.Centr.Zuiderkroon;;1;;;;1
Gezondheidscentrum Lage Veld;;1;;;;1
Gezondheidscentrum Nieuwe Westen B.V.;;1;;;;1
Gezondheidscentrum 't Slag;;1;;;;1
Gezondheidscentrum Venserpolder;;1;;;;1
Gezonheidscentrum Overvecht;;1;;;;1
GGD regio Utrecht;;1;;;;1
GGNet - DaAr;;1;;;;1
GGZ Centraal;;1;;;;1
GGZ Delfland;;1;;;;1
GGZ Drenthe Oosteinde;;2;;;;2
GGZ inGeest Overschiestraat;;1;;;;1
GGzE;;1;;;;1
GGZ-Reflection Haaglanden B.V.;;1;;;;1
GJW Waarneming;;1;;;;1
Gosler huisarts waarnemingen;;1;;;;1
Groepspraktijk het Roosendael;;1;;;;1
Groepspraktijk Huizen;;1;;;;1
Haags Kunstogen Laboratorium B.V.;;1;;;;1
Haagse Beek organisatieadvies B.V.;;;2;;;2
HAP Ekhart & Malewicz;;1;;;;1
HAP Konings en Van der Rijst;;1;;;;1
HAP LOMBOK;;1;;;;1
HAP Mosae Forum;;1;;;;1
HAP P. Meulesteen BV;;1;;;;1
HAP Snobl;;1;;;;1
HAP Vos & van Aalen;;1;;;;1
HAP Yilmaz & Milli;;1;;;;1
Health Angels B.V.;;1;;;;1
HEC B.V.;;;;;2;2
Heijstra & Kremer Apotheekhoudende huisartsen;;1;;;;1
Het Financieele Dagblad B.V.;1;;;;;1
HMC Westeinde;;1;;;;1
Hoffmann Bedrijfsrecherche B.V.;;;3;;;3
huisarts;;1;;;;1
Huisarts B.J. Molleman;;1;;;;1
Huisartsen Centrum Dokkum;;1;;;;1
Huisartsen De Hoge Hond;;1;;;;1
Huisartsen de Linde;;1;;;;1
Huisartsen Ganzenhoef;;1;;;;1
Huisartsen Mts. Medisch Centr. Rembr. v. Rijn;;1;;;;1
Huisartsen Oog in Al;;1;;;;1
Huisartsen Praktijk Prelude;;1;;;;1
Huisartsen Wijkerbaan;;1;;;;1
Huisartsencentrum Moerwijk Pr. M.H.G. Speltie;;1;;;;1
Huisartsenmaatsch. Therapeuticum Lemminkâinen;;1;;;;1
Huisartsenmaatschap Assen Noord;;1;;;;1
Huisartsenpraktijk A.H. Bollongino;;1;;;;1
Huisartsenpraktijk A.P.A. Pril-Hes;;1;;;;1
Huisartsenpraktijk Aan de Donge;;1;;;;1
Huisartsenpraktijk Binnenstad;;1;;;;1
Huisartsenpraktijk Boshuizen;;1;;;;1
Huisartsenpraktijk Bruggers en Lolkema;;1;;;;1
Huisartsenpraktijk Buchten;;1;;;;1
Huisartsenpraktijk Burgerhout;;1;;;;1
Huisartsenpraktijk Catharijnesingel;;1;;;;1
Huisartsenpraktijk Centrum Swalmen;;1;;;;1
Huisartsenpraktijk Davelaar;;1;;;;1
Huisartsenpraktijk De Blauwe Tulp;;1;;;;1
Huisartsenpraktijk De Cleijenburgh;;1;;;;1
Huisartsenpraktijk de Lange en Minken;;1;;;;1
Huisartsenpraktijk De Oude Kapelanie;;1;;;;1
Huisartsenpraktijk De Weerark;;1;;;;1
Huisartsenpraktijk De Wormer;;1;;;;1
Huisartsenpraktijk Drs. F. Ogbuli;;1;;;;1
Huisartsenpraktijk Eenrum;;1;;;;1
Huisartsenpraktijk 'Egmond aan Zee';;1;;;;1
Huisartsenpraktijk Elings;;1;;;;1
Huisartsenpraktijk Feis;;1;;;;1
Huisartsenpraktijk Heikens;;1;;;;1
Huisartsenpraktijk Hendricks-Adriaens;;1;;;;1
Huisartsenpraktijk het Duyfken;;1;;;;1
Huisartsenpraktijk Hogeveen;;1;;;;1
Huisartsenpraktijk Ingang Zuid;;1;;;;1
Huisartsenpraktijk M. Sonmez;;1;;;;1
Huisartsenpraktijk Meerkerk;;1;;;;1
Huisartsenpraktijk Pelser;;1;;;;1
Huisartsenpraktijk Philipsen;;1;;;;1
Huisartsenpraktijk Pootstraat;;1;;;;1
Huisartsenpraktijk Prinsenstraat;;1;;;;1
Huisartsenpraktijk Ramcharan;;1;;;;1
Huisartsenpraktijk Rasenberg;;1;;;;1
Huisartsenpraktijk Rijsenhout;;1;;;;1
Huisartsenpraktijk Roomburgh;;1;;;;1
Huisartsenpraktijk Smedes;;1;;;;1
Huisartsenpraktijk 't Heelhuis;;1;;;;1
Huisartsenpraktijk 't Joppe;;1;;;;1
Huisartsenpraktijk ten Hove & de Jong;;1;;;;1
Huisartsenpraktijk Van der Burgh;;1;;;;1
Huisartsenpraktijk van Horne;;1;;;;1
Huisartsenpraktijk Velperbeek;;1;;;;1
Huisartsenpraktijk Verwielstraat;;1;;;;1
Huisartsenpraktijk Vrachelen;;1;;;;1
Huisartsenpraktijk Zweeloo;;1;;;;1
Huisartsenpraktijk Zwerver;;1;;;;1
Huisartspraktijk Belcrum;;1;;;;1
Huisartspraktijk Bijl;;1;;;;1
Huisartspraktijk Dovenetel;;1;;;;1
Huisartspraktijk Gabriëls;;1;;;;1
Huisartspraktijk Kruiskamp;;1;;;;1
Huisartspraktijk Spies;;1;;;;1
Huisartspraktijk Verheijen;;1;;;;1
Huisartspraktijk Weerts;;1;;;;1
I & O Research Groep B.V.;;;5;;;5
IBTpraktijk;;1;;;;1
IJsselland ZKH;;1;;;;1
Ilse Bruinsel Huisarts;;1;;;;1
Impact R&D;;;1;;;1
Improven B.V.;;;2;;;2
Indigo Midden-Nederland B.V.;;1;;;;1
Inflecto B.V.;;;1;;;1
Info Motion B.V.;;;;9;;9
Inzicht, verloskundig cooperatief A;;1;;;;1
i-psy De Jutters B.V.;;1;;;;1
i-psy Haaglanden B.V.;;1;;;;1
i-psy Midden & Noord Nederland B.V.;;1;;;;1
i-psy Noord-Holland B.V.;;1;;;;1
i-psy Rijnmond B.V.;;1;;;;1
i-psy Utrecht B.V.;;1;;;;1
Isala Diaconessenhuis;;1;;;;1
Isala Klinieken;;1;;;;1
IT-Staffing Nederland B.V.;2;;3;;;3
J.A. v/d Werff, huisarts;;1;;;;1
J.F. BEKKER, Huisarts;;1;;;;1
J.G.B.M. Rohlof Psychiater;;1;;;;1
J.J. van Nierop, Huisarts;;1;;;;1
J.P.A.C. Rozestraten B.V.;;1;;;;1
Jeroen Bosch ZKH, Plastische Chirur;;1;;;;1
Jong & Je Wil Wat;;;1;;;1
Julius Gezondheidscentrum;;1;;;;1
K.N.O. Maatschap Martini Ziekenhuis;;1;;;;1
KPMG Accountants N.V.;;;;;3;3
KPMG Audit;;;;;3;3
Kris Kras context, content and design;;;1;;;1
Kwink Groep B.V.;;;2;;;2
L. Meijer Huisarts;;1;;;;1
L. Penning Orthopaedisch Chirurg;;1;;;;1
L.A.M. Verkouteren, Huisarts;;1;;;;1
Laven/Visser/ten Kate;;1;;;;1
Leids Universitair Medisch Centrum (LUMC);;1;;;;1
Lentenaer B.V.;;;2;;;2
locatie Beatrixoord;;1;;;;1
locatie Blixembosch;;1;;;;1
LRQA;;;1;;;1
LUMC;;1;;;;1
LUMC Services B.V.;;1;;;;1
Maatsch. Huisartsenpraktijk Oonincx-Teunissen;;1;;;;1
Maatsch. Medisch Specialist. Bedr. Amstelland;;1;;;;1
Maatschap Anesthesiologie Drachten;;1;;;;1
Maatschap Cardiologen Martini Ziekenhuis;;1;;;;1
Maatschap Cardiologie ADRZ Zeeland;;1;;;;1
Maatschap de Bruijn-Boddaert;;1;;;;1
Maatschap E.A. Brongers en J.H.M. Peerden;;1;;;;1
Maatschap G.M. Donker en K.J.B. Gemmink;;1;;;;1
Maatschap gynaecologen Dordrecht en omstreken;;1;;;;1
Maatschap Huisartsen de Schans;;1;;;;1
Maatschap Huisartsenpraktijk S en S;;1;;;;1
Maatschap Interne Pulmonologie;;1;;;;1
Maatschap Internisten Drachten;;1;;;;1
Maatschap Internisten MCA;;1;;;;1
Maatschap KNO artsen;;1;;;;1
Maatschap KNO-artsen Ikazia Ziekenhuis;;1;;;;1
Maatschap Longartsen;;1;;;;1
Maatschap Longartsen Catharina-ziekenhuis;;1;;;;1
Maatschap Longartsen Ikazia;;1;;;;1
Maatschap Longartsen Tilburg;;1;;;;1
Maatschap MSB Almere e.o.;;1;;;;1
maatschap MSB Gooi en Eemland;;1;;;;1
Maatschap MSB Gouda;;1;;;;1
Maatschap Neurochirurgie Mch;;1;;;;1
Maatschap Neurologenassociatie Dordrecht;;1;;;;1
Maatschap Neurologie;;1;;;;1
Maatschap Neurologie Midden-Brabant;;1;;;;1
Maatschap Neurologie St. Antonius Ziekenhuis;;1;;;;1
Maatschap Nieuwdorp-Schagen;;1;;;;1
Maatschap Oogheelkunde Alkmaar;;1;;;;1
Maatschap Orthopedie ADRZ;;1;;;;1
Maatschap Plastische Chirurgie Zeeland;;1;;;;1
Maatschap R&O Cardiologie Nijmegen;;1;;;;1
Maatschap Willemsen;;1;;;;1
MABM Christiaanse, huisarts;;1;;;;1
MaCaDoe B.V.;;1;;;;1
Martini Zknhs/C.B. Tandheelk. Martini Zknhs;;1;;;;1
MC-Zuiderzee;;1;;;;1
MEANDER MEDISCH CENTRUM;;1;;;;1
Med. Spec. Bdr. Spaarne Gasths H'lem/Hoofddrp;;1;;;;1
Mediant locatie Wegtersweg;;1;;;;1
MediCor Gezondheidszorg Rijswijkseplein B.V.;;1;;;;1
Medisch Centrum Mook;;1;;;;1
Medisch Centrum Nieuw Huys;;1;;;;1
Medisch Centrum Rotterdam Kralingen B.V.;;1;;;;1
Medisch Spec. Bedr. Canisius Wilhelmina Zknhs;;1;;;;1
Medisch Specialisten Coöperatief Haga UA;;1;;;;1
Medisch Specialisten Coöperatief RDGG UA;;1;;;;1
Medisch Specialisten Noord West;;1;;;;1
Medisch Specialistisch Bedrijf Drachten;;1;;;;1
Medisch Specialistisch Bedrijf MCH-Bronovo;;1;;;;1
Meulen Geriatric Consultancy;;1;;;;1
Meuwissen, H.A.W./Monquil, M.C.J.;;1;;;;1
Mondriaan;;1;;;;1
Motivaction International B.V.;;;2;;;2
MSB de Medici;;1;;;;1
Mts anesthesiologie St. Antonius Zk;;1;;;;1
MTS CARDIOLOGIE;;1;;;;1
Mts Chirurgen;;1;;;;1
MTS chirurgie Midden-Brabant;;1;;;;1
Mts Friese Longartsen;;1;;;;1
MTS Gynaecologie;;1;;;;1
Mts Inwendige Geneeskunde en MDL;;1;;;;1
Mts Inwendige Geneeskunde, Ikazia Z;;1;;;;1
Mts Neurochirurgie;;1;;;;1
Mts Oogheelkunde Delfzijl;;1;;;;1
MTS SPIES & TEN NAPEL;;1;;;;1
Mts. Gynaecologen St. Elisabeth Zkh. Tilburg;;1;;;;1
Mts. Urologie CWZ;;1;;;;1
MWM2 B.V.;2;;;;;2
N.V. Nederlandse Gasunie;4;;;;;4
Ned. Org. voor toegep.-nat.wetensch. ond. TNO;;;2;;;2
Nederlandse School voor Openbaar Bestuur B.V.;;;2;;;2
Niercentrum aan de Amstel B.V.;;1;;;;1
Nijssen People Support;1;;;;;1
Noorderbreedte B.V.;;1;;;;1
Notermans e/o Y. Otte, A.J.G.;;1;;;;1
Onroerendgoed Huisartsenpraktijk Markt;;1;;;;1
Onze Lieve Vrouwe Gasthuis;;1;;;;1
OPPS Advies B.V.;2;;;;;2
Opvoedpoli;;1;;;;1
ORTHOPAEDENGROEP CWZ;;1;;;;1
Osperon B.V.;;1;;;;1
OZGN;;1;;;;1
P.I. Research B.V.;;;1;;;1
Palmen Advies;;;2;;;2
Pan Medical;;1;;;;1
Paramedisch Centrum Westeinde;;1;;;;1
Parnassia BV;;1;;;;1
Partners+Pröpper B.V.;;;2;;;2
PBG Zorg Holding BV;;1;;;;1
POSG Professionals B.V.;;;1;;;1
Praktijk de Huisarts;;1;;;;1
Praktijk Paulissen en De Bruyne;;1;;;;1
Pricewaterhousecoopers Accountants N.V.;;;;;3;3
Pricewaterhousecoopers N.V.;;;2;;4;4
Privacy Management Partners Coöperatie UA;;;2;;;2
Pro Persona GGz;;1;;;;1
Profource B.V.;;;;;2;2
PsyQ B.V.;;1;;;;1
PsyQ Zoetermeer;;1;;;;1
Radiotherapeutenfonds Den Haag;;1;;;;1
Reade;;1;;;;1
RebelGroup Executives B.V.;;;2;;;2
Refractiecentrum Haaglanden B.V.;;1;;;;1
Regioplan Beleidsonderzoek B.V.;;;2;;;2
Regulator;;;2;;;2
Research Noord B.V.;;1;;;;1
Respect Zorggroep Scheveningen;;1;;;;1
Revalidatie Friesland, locatie Sneek;;1;;;;1
Revalidatiecentrum Leijpark;;1;;;;1
Revant Revalidatiecentrum Breda;;1;;;;1
Riagg Rijnmond;;1;;;;1
Rian Bakens - psycholoog;;1;;;;1
Rijksuniversiteit Groningen;1;;3;;;3
Rijnland Ziekenhuis;;1;;;;1
Ritz Huisartspraktijk en Keuringen;;1;;;;1
Rivierduinen;;1;;;;1
Roorda, R. inzake SPB Woerden;;1;;;;1
RvA-Bethaniestraat 2;;1;;;;1
S.J. Gielink Huisartsenpraktijk Pos;;1;;;;1
Saturn Medical Research B.V.;;1;;;;1
Scheper-Bethesda Ziekenhuis locatie Emmen;;1;;;;1
Sdu Uitgevers B.V.;1;;;;;1
Sentebibupraktijk;;1;;;;1
Significant B.V.;;;4;;;4
Sinai Centrum Amersfoort;;1;;;;1
Sira Consulting B.V.;;;2;;;2
Slingeland Ziekenhuis;;1;;;;1
Sogeti Nederland B.V.;1;;;;;1
Sophia Revalidatie Den Haag;;1;;;;1
Spanjaard Development & Training;;;1;;;1
Speelman Communication;1;;;;;1
St. Amsterdamse Gezondheidscentra;;1;;;;1
St. Antonius ZKH;;1;;;;1
St. Elisabeth ZKH Tilburg;;1;;;;1
St. Equator;;1;;;;1
ST. FRANCISCUS GASTHUIS;;1;;;;1
St. Georg. Eerstelijnszorg Zoeterme;;1;;;;1
St. Gezondheidscentra Eindhoven;;1;;;;1
St. Jans Gasthuis;;1;;;;1
St. Landelijke Expertisegr. Veiligheidsperc.;;;2;;;2
St. Maasziekenhuis;;1;;;;1
St. Med./Verpl.kund. Zorgv. St. Jans Gasthuis;;1;;;;1
St. Plast.-Reconstr.-Handchirurgie;;1;;;;1
St. Zkhvoorz. Gelderse;;1;;;;1
Stafmts. Medisch Specialist. Bedrijf VieCuri;;1;;;;1
STG Kruispost;;1;;;;1
Stg Somare;;1;;;;1
STG Wetenschap Longziekte;;1;;;;1
Stg. Algemeen Ziekenhuis Westfries Gasthuis;;1;;;;1
STG. BIOMEDICAL ENGINEERING;;1;;;;1
Stg. Centr. voor Arbeidsverhoud. Overh.pers.;;;3;;;3
Stg. Geestelijke Gezondheidszorg Friesland;;1;;;;1
Stg. Geestelijke Gezondheidszorg Oost Brabant;;1;;;;1
Stg. Informatievoorz. Nederlandse Orthopaedie;;1;;;;1
Stg. Int. Feder. of Med. Stud. Ass. Rotterdam;;1;;;;1
Stg. met ggz, regiokantoor Venray;;1;;;;1
Stg. Radiotherapeutisch Instituut Friesland;;1;;;;1
Stichting Bug;;1;;;;1
Stichting Buurtzorg Nederland;;1;;;;1
Stichting Catharina Ziekenhuis;;1;;;;1
Stichting Cordaan;;1;;;;1
Stichting Dimence;;1;;;;1
Stichting Dr. Bernard Verbeeten Instituut;;1;;;;1
Stichting Fier fryslan;;1;;;;1
Stichting Flevoziekenhuis;;1;;;;1
Stichting GGZ Noord-Holland-Noord;;1;;;;1
Stichting GGZ Westelijk Noord-Brabant;;1;;;;1
Stichting HagaZiekenhuis;;1;;;;1
Stichting Heliomare;;1;;;;1
Stichting Hogeschool Leiden;;;2;;;2
Stichting Interzorg Noord-Nederland;;1;;;;1
Stichting Inwendige Geneeskunde Asklepios;;1;;;;1
Stichting Katholieke Universiteit Brabant;;;2;;;2
Stichting Laurens;;1;;;;1
Stichting Laurentius Ziekenhuis;;1;;;;1
Stichting Maasstad Ziekenhuis;;1;;;;1
Stichting Medisch Spectrum Twente;;1;;;;1
Stichting Mindfit;;1;;;;1
Stichting Nephron;;1;;;;1
Stichting Neurologie Flevoziekenhuis;;1;;;;1
Stichting Ons Medisch Centrum;;1;;;;1
Stichting OVZ-CMSR;;1;;;;1
Stichting Platform31;;;2;;;2
Stichting Pluryn;;1;;;;1
Stichting Reinier van Arkel Groep;;1;;;;1
Stichting Rijnstate;2;;;;;2
Stichting Sims;;1;;;;1
Stichting SPL;;1;;;;1
Stichting Transfore;;1;;;;1
Stichting Vrienden van Phoenix;;1;;;;1
Stichting VU;;1;;;;1
Stichting VU-VUmc;;1;;;;1
Stichting Wilhelmina Ziekenhuis Assen;;1;;;;1
Stichting Yulius;;1;;;;1
Stichting ZBC Bronovo;;1;;;;1
Stichting Ziekenhuis Bernhoven;;1;;;;1
Stichting Ziekenhuisgroep Twente;;1;;;;1
STORM, poli MDL, Flevoziekenhuis;;1;;;;1
Streekziekenhuis Koningin Beatrix;;1;;;;1
Talk & Vision B.V.;;;1;;;1
Tamaro Zorgverlening;;1;;;;1
Towers Watson Netherlands B.V.;;;3;;;3
TRConsult B.V.;;;2;;;2
TRES internet B.V.;;3;;;;3
Triple Inch business Coaching;;;2;;;2
UMC St Radboud Nijmegen;;1;;;;1
UMC Ziekenhuis Utrecht;;1;;;;1
UMCG Sector F;;1;;;;1
Universit. Centrum Esthetische Chirurgie B.V.;;1;;;;1
Universiteit Utrecht;1;;1;;;2
Urologie Groep Limburg;;1;;;;1
V.O.F. Apotheek Terwinselen;;1;;;;1
Vakgroep interne Geneeskunde;;1;;;;1
Vakgroep Orthopaedie Stadskanaal B.V.;;1;;;;1
Van Meeteren & Van Dop Huisartsenpraktijk;;1;;;;1
Vanberkel Professionals B.V.;;;;;1;1
Ver. arts,Cardiologie Thoraxcent.;;1;;;;1
Verbeterforum B.V.;;;4;;;4
Vereniging de Medische Staf GGZ Oost Brabant;2;;;;;2
Verispect B.V.;;;4;;;4
Verloskundigen aan de Maas;;1;;;;1
VieCuri Med.Centrum Noord-Limburg;;1;;;;1
Vincent van Gogh Geestelijke Gezondheid;;1;;;;1
Virenze Algemeen Beheer B.V.;;1;;;;1
W. Niewold, Huisarts;;1;;;;1
W.J.T. Putter-Lander, huisarts;;1;;;;1
Westerborg Huisartsenpraktijk;;1;;;;1
Wijkgezondheidscentrum Bovenmaat;;1;;;;1
Xerox (Nederland) B.V.;1;;;;;1
Z. Dot. Al. Holdings N.V.;;;2;;;2
Zeeland Care B.V.;;1;;;;1
Ziekenhuis Rivierenland;;1;;;;1
Ziekenhuis Walcheren;;1;;;;1
Zorggroep Almere Onroerend Goed B.V.;;1;;;;1
Zuyderland Geestelijke Gezondheidszorg B.V.;;1;;;;1
Eindtotaal;5;4;7;9;7;9
