Leveranciers;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1160 - Personeelsevenementen, bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis & verblijfskosten;1-Personele exploitatie
Blue Lagoon Grill Restaurant;;1;;;;;;1
BMX WORLDS 2014 BV;;;;1;;;;1
Boag;1;;;;;;;1
Boek en Service;;;;1;;;;1
Boertiengroep (incl. Ncatb);;;;2;;;;2
Bol.Com;1;1;;;;;;1
Bonnema Watersport B.V.;;1;;;;;;1
Boost Events;;1;;;;;;1
Bos, Ontwikkeling in Organisatie;;;;2;;;;2
Boterwaag;;1;;;;;;1
Bowling Scheveningen;;1;;;;;;1
BPD Bureau Personal Development;;;;1;;;;1
BPP Professional Education (incl. MVP Markus Verbeek Praehep);;;;1;;;;1
Brabanthallen Exploitatie Maatschappij;;;;1;;;;1
Brasserie De Boerderij;;1;;;1;;;1
Brasserie Geesje;;;;;1;;;1
Brasserie Harkema (Haxpema);;1;;;;;;1
Brasserie 'T Ogenblik;;1;;;;;;1
Brasserie Vink (Berenkuil);;1;;;;;;1
Bravosolution Benelux;;;;1;;;;1
Brazzo Restaurant;;1;;;;;;1
Briq Restaurant;;;;1;;;;1
Broodje van Martin;;1;;;;;;1
Broodjesexpress;;1;;;;;;1
Broodjestijd, Lunchtijd;;1;;;;;;1
Broomans Ingenieursbureau;1;;;;;;;1
BSI Group Management Systems;1;;;;;;;1
BT Global Services (incl. Syntegra);2;;;;;;;2
Buitenhof Brasserie;;1;;;;;;1
Bureau Bostekst;1;;;;;;;1
Bureau Liedeweijde;;;;1;;;;1
Bureau Westra;1;;;;;;;1
Burger Organization Development;;;;1;;;;1
Byblos Grand Café-Restaurant (vh de tijd);;1;;;;;;1
C De Rooij Bedrijfs- en Kantine Service;;1;;;;;;1
Café Qwibus;;1;;;;;;1
CAFE T PANDJE;;1;;;;;;1
Cafe van Wegen (N.C.M. Veerman);;1;;;;;;1
Can Diensten;;;;1;;;;1
CAOP - Centrum Voor Arbeidsverhoudingen Overheidspersoneel;;1;2;2;;;;2
Capgemini;;;1;2;;;;2
Carina Tapas;;1;;;;;;1
Carlton Hotel;;;;;;;1;1
CBO Centraal BegeleidingsOrgaan (incl. NIGZ);;;;1;;;;1
CE Delft Onderzoek Advies en Consultancy voor Duurzaamheid;1;;;;;;;1
Cecile Vossen Concept & Tekst;1;;;;;;;1
Centric (incl. Qualityhouse);1;;;;;;;1
Centrum Zijnsoriëntatie;;;;1;;;;1
Challenge Learning;;;;2;;;;2
CHANGE2RESULT;;;;1;;;;1
Cheiroon B.V.;1;;;;;;;1
Choco Paradijs;;1;;;;;;1
Chocolate Experience;;1;;;;;;1
Chocolaterie Stam;;1;;;;;;1
CHOCOLATERIE ZOETE LEKKERNIJ;;1;;;;;;1
Christian Restaurant;;1;;;;;;1
CIBT/V&V Visumdienst;;;;;;;1;1
Classic Boat Tours;;1;;;;;;1
Cloos Eetcafé;;1;;;;;;1
CME-Online;;;;1;;;;1
Co Efficient Management Consulting;;;;1;;;;1
Co2 Servicepunt (incl. DWA Installatie- en Energieadvies);1;;;;;;;1
Coachboulevard;;;;1;;;;1
Coincide;;;;1;;;;1
Colour Digital;;1;;;;;;1
Common Eye;1;;;;;;;1
Compass Group Nederland (incl. Eurest, ECS Catering, Avenance);;5;;;;;;5
Competence Care;;;;1;;;;1
Compu'Train;;;;1;;;;1
ComScore (vh Nedstat);;;;1;;;;1
Congres4U;;;;1;;;;1
Congresbureau Stichting Derdengelden;;;;1;;;;1
Congress Care Congressecretariaat;;;;1;;;;1
Connexxion;;1;;;;;4;4
Consulo;1;;;;;;;1
Contiki Holland / Atlas Reizen;;1;;;;;;1
Copla Opleiding & Training;;;;1;;;;1
Coppa Business Services;2;;;;;;;2
CORDIAN B.V.;;;;1;;;;1
Corina, Bloem- en Bind Boutique;;1;;;;;;1
Corinor;;;;1;;;;1
Corion;;;;1;;;;1
Court Hotel City Centre Utrecht (incl. De Rechtbank Restaurant);;1;;;;;;1
Crisicom;;;;1;;;;1
CrisisTox Consult;2;;;;;;;2
Crystal River Consultancy;;;;2;;;;2
CSU Schoonmaak (vh. City Service);1;;;;;;;1
Cycle Center;;;;;1;;;1
C-Zicht Communicatie;2;;;;;;;2
Dado;;1;;;;;;1
Dara;;1;;;;;;1
Dautzenberg Research & Advice;;;;1;;;;1
DaybreakContent;1;;;;;;;1
De Artisjok Restaurant;;1;;;;;;1
De Baak incl. Seaside, Administratie, Hospitality, Management Centrum;;;;2;;;1;2
De Bakkerswinkel (incl. Geelhoed Eetwinkel);;1;;;;;;1
De Basiliek Restaurant;;1;;;;;;1
De Boerinn;;1;;;;;;1
De Chocoladeletter Shop;;1;;;;;;1
De Congresbalie (Deelnemersgelden);;;;2;;;;2
De Context;;;1;1;;;;1
De Doelen Hotel-Grand Café;;;;;;;1;1
De Eetkamer Restaurant;;1;;;;;;1
De Eeuwige Jachtvelden Café-Restaurant;;1;;;;;;1
De Engel Restaurant;;1;;;;;;1
De Franse Stap Culinair;;1;;;;;;1
De Gezonde Wereld;1;;;;;;;1
De Griffel Groot Café-Restaurant;;1;;;;;;1
De Hoefslag Restaurant;;1;;;;;;1
De Hooghcamer Restaurant ;;1;;;;;;1
De Hoorneboeg/Ernst Sillem Hoeve Conferentiecentrum;;;;1;;;;1
De Jufferen Lunsingh;;;;;;;1;1
De Kanteneer Hotel-Restaurant;;1;;;;;;1
DE KEUKEN VAN MEVROUW DE BOER;;1;;;;;;1
De Landman Café;;1;;;;;;1
De Markt Restaurant;;1;;;;;;1
De Olifant Evenementenlokatie;;;;;1;;;1
De Parodie Eetcafe;;1;;;;;;1
De Pauw Restaurant-Hotel-Zalencentrum;;1;;;;;;1
De Persgroep (incl. PCM, De Volkskrant, Het Parool, Trouw, Algemeen Dagblad, Perscombinatie);;1;1;;;;;1
De Prael Brouwerij;;1;;;;;;1
De Roode Leeuw Restaurant;;;;;;;1;1
De Roos Bouquet Expressions;;1;;;;;;1
DE SCHOOL VAN DE KRAANVOGEL;;1;;;;;;1
De Sniep Restaurant & Hotel;;1;;;;;;1
De Steiger Catering;;1;;;;;;1
De Sterke Punten;;;;1;;;;1
De Tuinkamer;;1;;;;;;1
De Waag Restaurant;;1;;;;;;1
De Wits Café-Restaurant;;1;;;;;;1
De Witte Zwaan Restaurant;;1;;;;;1;1
De Zakkendrager Restaurant;;1;;;;;;1
Decora Bloemsierkunst;;2;;;;;;2
Deining Castricum aan Zee;;1;;;;;;1
Dekra;2;;;;;;;2
Dekxels Restaurant;;1;;;;;;1
Delft Rondleidingen;;1;;;;;;1
Deloitte Consulting;1;;;2;;;;2
Delphi Grieks Restaurant;;1;;;;;;1
Dendy Bar Restaurant;;1;;;;;;1
Derlon Hotel Maastricht;;;;;;;1;1
Designthinkers;;;;1;;;;1
DFG De Facilitators Groep;;;;1;;;;1
Diabetes Fonds;;1;;;;;;1
DIDGERIDOO CENTRUM NDL;;;;1;;;;1
DIGIGI;;1;;;;;;1
DING DONG LIFE;;1;;;;;;1
Djembe Agogo;;1;;;;;;1
DNV Det Norske Veritas;2;;;;;;;2
Docdata Payments;;;;1;;;;1
DOEKLE TERPSTRA ADVIES;1;;;;;;;1
Dokteranders Jan Fossen;2;;;;;;;2
Domino's Pizza;;1;;;;;;1
Domstad Evenementen (incl. Tours & Events);;1;;;;;;1
Domus Medica;;;;1;;;;1
DOSARIS BV;;;;1;;;;1
Douwe Egberts;;2;;;;;;2
Down Under Horeca;;1;;;;;;1
DownUnderBeach;;1;;;;;;1
Dsa Express;;;;;;;1;1
DTC De Tombe Consultancy;;;1;2;;;;2
Dudok (Horeca Exploitatie WWZ IV);;1;;;;;;1
Dukino Business Events;;1;;;;;;1
Dunea (Duinwaterbedrijf Zuid-Holland);;1;;;;;;1
E. Konigsberger/Coaching in Change;;;;1;;;;1
Ebbinge & Company;;;;2;;;;2
Ecabo Services Stichting;;;;1;;;;1
ECB Euregionaal Congresburo;;;;1;;;;1
ECMP;;;;2;;;;2
Eden Springs;;1;;;;;;1
EDRA Services;;;;1;;;;1
Eemlandhoeve Exploitatie;;1;;;;;;1
EETLOKAAL KUITER;;1;;;;;;1
Effectief Communiceren;1;;;;;;;1
Effectyf;1;;;;;;;1
e-hulp.nl;1;;;;;;;1
Eijkelkamp Agrisearch Equipment;;;;1;;;;1
El Mundo Tapasbar;;1;;;;;;1
Elevate;;;;1;;;;1
ELS VAN DER WILDEN ADVIES BV;;;;1;;;;1
Elycio Talen;;;;2;;;;2
Emeritor;2;;;;;;;2
Emmers Groothandel;;1;;;;;;1
Emtek Ergonomics;1;;;;;;;1
En4S Consultancy;2;;;;;;;2
EnBloc reclamewerk;2;;;;;;;2
Enneagram Nederland;;;;1;;;;1
Entopic;;;;1;;;;1
E-Office (incl. Work21);;;;1;;;;1
Equipe Quality Products (incl. Health2Work);1;;;;;;;1
Erik Peekel Produkties BV;;1;;;;;;1
Escape010;;1;;;;;;1
Escher Collectie Stichting;;1;;;;;;1
Esomar;;;;;;1;;1
Esther-Louise Luytjes Facilities;;1;;1;;;;1
Euroforum;;;;1;;;;1
Euroforum/SBO Studiecentrum Bedrijf en Overheid;;;;2;;;;2
Eurohotel;;;;;;;1;1
European Forum for Primary Care;;;;1;;;;1
European Public Health Association;;;;1;;;;1
Evers Research & Training;;;;1;;;;1
Evo Ondernemersorganisatie;1;;;1;;;;1
Eweks thodn Kenneth Smit Training;;;;2;;;;2
Faber Vlaggen (vh Shipmate);;1;;;;;;1
Fabius Opleidingen;;;;1;;;;1
Faem;1;;;;;;;1
Faire Trade Original;;1;;;;;;1
Falck Group;;;;1;;;;1
Fast Lane Benelux;;;;2;;;;2
Fietsenverhuurbedrijf De Veluwe;;1;;;;;;1
Fire Control Beveiligingen;;;;1;;;;1
First1 Bedrijfsfitness;2;;;;;;;2
Fletcher Hotel Restaurant;;;;;;;1;1
Flevum Loenermark;;;;1;;;;1
FlexCentraal;;;;;;;1;1
Focus Advisering Training Coaching, Conferences;;;;1;;;;1
Fonville Bloemenboutique;;1;;;;;;1
Food & Hospitality;;1;;;;;;1
Fortes Solutions;1;;;;;;;1
Fotoacademie;;;;1;;;;1
FOTOMX;;1;;;;;;1
Franke Interim Management;;;;1;;;;1
FREDERIEK VOSKENS;;;;1;;;;1
Freedom Scientific Benelux;;;;1;;;;1
Fronteers;;;1;;;;;1
Full Colour;;1;;;;;;1
Fun Forest Amsterdam;;1;;;;;;1
G. Bakker & Zn.;;1;;;;;;1
GALERIE TIGLIO;;1;;;;;;1
Gall & Gall;;1;;;;;;1
Garoeda Indonesisch Restaurant;;1;;;;;;1
Gauchos Grill Restaurant (incl. Franchise);;1;;;;;;1
Gemeentemuseum den Haag;;1;;;;;;1
Geschenkbezorgen.nl (incl. Wijnlatenbezorgen);;1;;;;;;1
Geurst (incl. Pastis Restaurant);;1;;;;;;1
GGZ;;;;1;;;;1
GH Catering;;1;;;;;;1
Gilde Den Haag;;1;;;;;;1
GITP (incl. Pi Company);;;;1;;;;1
Global Knowledge Network;;;;2;;;;2
Glope Events/Be You Events;;1;;;;;;1
Golden Plate Brasserie en Restaurant;;1;;;;;;1
Golden Tulip;;2;;;;;1;2
Goodsense;;;;1;;;;1
Grand Cru Cafe Public;;1;;;;;;1
Gusto Mangia E Bevi;;1;;;;;;1
Haaglanden Opleidingscentrum;;;;2;;;;2
Halfland partyschepen;;1;;;;;;1
Hampshire Hotel;;1;;;;;1;1
Hanneman De Toerist;;;;;;;1;1
Hans de Bruijn Training & Advies;;;;1;;;;1
Hanstede (Dutchcc Biotech Consultancy & Conferences);;;;1;;;;1
Happy Copy;;1;;;;;;1
Happy Moose;;1;;;;;;1
Havana (Santé Horeca Beheer);;1;;;;;;1
Havenbedrijf Rotterdam;;1;;;;;;1
Heel Puur;2;;;;;;;2
Hein Post Wijn & Gastronomie;;1;;;;;;1
Heinde & Ver Restaurant;;1;;;;;;1
HERITAGE GROEP;;1;;;;;;1
HERVERBINDEN 2014;;;;1;;;;1
Het Effectieve Werken;;;;1;;;;1
Het Heden Restaurant en Tuin;;1;;;;;;1
Het Kabinet Eten en Drinken;;1;;;;;;1
Het Kookplein Kookschool en Lunchrestaurant;;1;;1;;;;1
Het Moment Fotografie;1;;;;;;;1
Het NIC - Nederlands Inkoop Centrum;3;;;;;;;3
Het Prentenkabinet;;1;;;;;;1
Het Stormt;;;;1;;;;1
Het Wil Konsult;;;1;1;;;;2
Hiemstra & De Vries;;;;1;;;;1
Hiephiepkado;;1;;;;;;1
High Five Health Promotion;4;;;;;;;4
Hilton;;;;;;;1;1
HOEZO! Projectmanagement en Congresorganisatie;;;;1;;;;1
Hof der Muzen Grand Cafe (J. Kos);;2;;;;;;2
Hofje van Pauw;1;;;;;;;1
Hogeschool Leiden;;;;1;;;;1
Hogeschool van Utrecht;;;;1;;;;1
Holland Fit;2;;;;;;;2
Holland van Gijzen Advocaten en Notarissen;1;;;;;;;1
Hoogland Consulting;;;;2;;;;2
Horizon Training Groep;;;;1;;;;1
Hotel Aan De Dam;;;;;;;1;1
Hotel Botticelli;;1;;;;;;1
Hotel De Geulvallei;;;;;;;1;1
Hotel Des Indes Le Meridien, Lehwood;;1;;;;;;1
Hotel Le Beau Rivage;;;;;;;1;1
Hotel New York Rotterdam;;1;;;;;;1
Hotel Post Plaza;;;;;;;1;1
Hotel Schylge;;;;;;;1;1
HowAboutYou;;;;1;;;;1
HSK Groep;1;;;;;;;1
HTM Haagsche Tram Maatschappij (incl. Specials, Selected Services);;;;;;;2;2
Huize Molenaar Cuisinier;;1;;;;;1;1
Humanity House;;1;;;;;;1
Humphrey's Restaurant;;1;;;;;;1
Huppel the Pub Café ;;1;;;;;;1
I Fiori;;1;;;;;;1
IBC Ineke Bresser Coaching;;;;1;;;;1
Ibis Accor Hotels;;;;;;;1;1
Ichthus Groep;;;;1;;;;1
ICM Holding;;;;2;;;;2
Ideate;1;;;;;;;1
Ikazia Ziekenhuis;;;;;;;1;1
IMK-BPO Medezeggenschap;;;;1;;;;1
Impero Romano Restaurant;;1;;;;;;1
Impulsus/CIEP Personal Quality&Results;;;;2;;;;2
IN RAPPORT;1;;;;;;;1
Indomo;;1;;;;;;1
Info Training;;;;1;;;;1
Infoland, Intranet & Interneto;1;;;;;;;1
Informagic;;;;1;;;;1
Innerland;;;;1;;;;1
Innessence Storytelling Academy;;;;1;;;;1
Inntel Hotels;;;;;;;1;1
Inspearit (incl. CIBIT);;;;1;;;;1
Inspiration Company Nederland;;;;1;;;;1
Inspired-Utrecht Bar Restaurant;;1;;;;;;1
INTEAMS TEAMBUILDING EVENTS;;1;;;;;;1
Integraal Kankercentrum;;1;;;;;;1
Interim Direct/Van der Wijst personenvervoer;;;;;;;2;2
Interim Masters;;;;1;;;;1
Intersafe Groeneveld;2;1;;;;;;2
Inventeers;1;;;;;;;1
Issues Management Institute;1;;;;;;;1
Istana Indonesisch Restaurant;;1;;;;;;1
It Management Group;;;;1;;;;1
ITB Amsterdam BV;;;;;;;1;1
ITC Validation Consultants B.V.;1;;;;;;;1
iVention B.V.;1;;;;;;;1
Ivo Stg Inst Voor Onderz Naar Leefwyzen & Verslaving;;;;1;;;;1
Ivory Gastrobar;;1;;;;;;1
Jaarbeurs Utrecht;;1;;;;;2;2
Jachtwerf Möllers;;1;;;;;;1
Ja-Maar;;;;1;;;;1
JAN VAN ES INSTITUUT;;;;1;;;;1
Janmaat Raad & Daad;;;;1;;;;1
Jatta;;;;1;;;;1
Jo Bos & Co (incl. Zwaluw Advies);;;1;2;;;;2
Jules Grand Café;;;;;1;;;1
Juliana's Café Restaurant (incl. In Pace);;1;;;;;;1
JUST SURF IT;;1;;;;;;1
KAD Kenniscentrum Dierplagen;;;;1;;;;1
KADE 4 DRINKEN EN ETEN;;1;;;;;;1
Kamp Coaching;;;;2;;;;2
KARAOKECONCURRENT.NL;;1;;;;;;1
Karel V Utrecht Grand Hotel;;1;;;;;1;1
Kasteel Erenstein Hotel- Restaurant;;;;;;;1;1
Kee Lun Palace;;1;;;;;;1
Kees Kaptein Teksten;1;;;;;;;1
Kennedy van der Laan Advocatuur;3;;;;;;;3
Kessels & Smit Learning Company;;;;2;;;;2
Keuringsraad Koag/Kag;;;;1;;;;1
Keurslagerij Maas;;1;;;;;;1
Kinesis;;;;1;;;;1
Kiwa Groep (incl. Gas Technology, Prismant, Certification);;;;1;;;;1
KLAUS SCHMITT & PARTNERS;;;1;;;;;1
Klinkhamer Conference Management;;;;1;;;;1
Kloosterhoeve Restaurant;;1;;;;;;1
Knossos Grieks Specialiteiten Restaurant;;1;;;;;;1
KNVI Verenigingsbureau (vh NVB Ned Ver van Biblioth Doc en Literatuurond);;;;1;;;;1
KNW Koninklijk Nederlands Waternetwerk;;;;1;;;;1
Koetjes en Kalfjes Restaurant;;1;;;;;;1
Koffiehuis 't Achterommetje;;1;;;;;;1
KPMG;2;;;;;;;2
Kruidenier Foodservice;;1;;;;;;1
Kruisherenhotel Maastricht;;;;;;;1;1
KUNSTKIJKEN;;;;1;;;;1
Kwaliteitsslagerij Van Loo;;1;;;;;;1
KWR Water;;;;1;;;;1
L&Ving L&Vingfactory;2;;;;;;;2
La Cubanita;;1;;;;;;1
La Place Catering Service Restaurant;;1;;;;;;1
Lab-QAcademy;;;;2;;;;2
Lagerweij & Partners;;;;1;;;;1
Lameriskoffijberg;;;;1;;;;1
Landgoed De Reehorst Hotel en Congrescentrum, Facilitairbedrijf (incl. Antropia);;;;;;;1;1
Language Partners (incl. Eurolinguist);;;;1;;;;1
Le Blanc Advies (vh Withart);;;;1;;;;1
Le Strasbourg;;2;;;;;;2
Lean Consultancy Group;;;;2;;;;2
Lean Six Sigma Company;;;;1;;;;1
Leeuwendaal Advies;;;;1;;;;1
Legal Intelligence/Quay Consult;;;;1;;;;1
Leids Congres Bureau;;;;1;;;;1
Les Ombrelles Visspecialiteiten Restaurant;;1;;;;;;1
Leuk Eten en Drinken;;1;;;;;;1
Life Projects;;;;1;;;;1
Life Technologies (incl. Invitrogen, AB Applied Biosystems);;;;1;;;;1
Limon Spaans Restaurant ;;1;;;;;;1
Link Art Company;;1;;;;;;1
Little V Vietnamees Restaurant;;1;;;;;;1
LOCK;;;;1;;;;1
Loes Geerlings Carpe Diem;;;1;;;;;1
Loetje aan 't IJ;;1;;;;;;1
Logacom;;;;1;;;;1
Logeion Vereniging Voor Communicatie;;;;1;;;;1
LOI Leidse Onderwijsinstelling;;;;1;;;;1
Look-Tours;;;;;;;1;1
LOPENDE ZAKEN;;;;1;;;;1
Loyens & Loeff;1;;;;;;;1
LTP;;;2;;;;;2
LUCOTETIA;;;;1;;;;1
LUFC LabConsultants;2;;;;;;;2
Lumen Hotel;;;;;;;1;1
Lumenz Talentontwikkeling (incl. Om de hoek);;1;;;;;;1
Lumineux;;1;;;;;;1
M Restaurant;;1;;;;;;1
M TRAINING;;;;1;;;;1
MAATSCHAP VOOR MEDEZEGGENSCHAP;;;;1;;;;1
Macaw Nederland;;;;1;;;;1
Madurodam;;1;;;;;;1
Magma Publicaties;1;;;;;;;1
Mahanakorn Thais Restaurant;;1;;;;;;1
Mainpress (incl. Computerboek.nl, Managementboek.nl, Jongbloed);;;;1;;;;1
Malieveld Paviljoen den Haag;;1;;;;;;1
Management Drives Opleidingen;;;;1;;;;1
Mannen Met Plannen;2;;;;;;;2
MANOLIS ISKIS DANCING;;1;;;;;;1
Marcel Hammink Media;1;;;2;;;;2
Marcel Uljee Teksten;1;;;;;;;1
Marcus Evans Linguarama;;;;1;;;;1
Maria Henneman Media;;;;1;;;;1
Marieke Communiceert;3;;;;;;;3
Mark Two Communications;;;;1;;;;1
Marktzicht Restaurant;;;;;;;1;1
Matchcare;;;1;;;;;1
Maurik Bedrijfsveiligheid;;;;1;;;;1
Maxilia (incl. Greengiving.nl);;1;;;;;;1
Mc Communicatie;;;;;;;1;1
MedEduca BV;;;;1;;;;1
MEDIA @ EVENTS;;;;1;;;;1
Media Academie;;;;1;;;;1
Media Vision;;;;1;;;;1
Mediavrouw;;;;2;;;;2
Medisch Centrum Kinderwens Leiderdorp;;;;1;;;;1
Medlaw Consult;;;;1;;;;1
Meneer Buscourr Restaurant;;1;;;;;;1
Mensen Laten Schitteren;;;;1;;;;1
Mercure Hotels;;1;;;;;;1
Merlijn Groep;;;;1;;;;1
MGP/Arnopress;;1;;;;;;1
Miltenyi Biotec;;;;1;;;;1
Milu Sancy Tres;;1;;;;;;1
Miranda de Jong Therapie & Coaching;;;;1;;;;1
Misco Solutions (vh SCC Services);;;;1;;;;1
Mitland Hotel;;;;1;;;2;2
Mitopics;1;;;;;;;1
MOA Markt Onderzoek Associatie;;;;;;1;;1
Mobility Mixx;;;;;;;7;7
Monique van Zeijl Fotografie;;1;;;;;;1
Mooi Zeist Indonesisch Restaurant;;1;;;;;;1
Morgan Green Holding;1;;;;;;;1
Movisie Fulfilment;2;;;;;;;2
Mts voor Communicatie;1;;;;;;;1
Multigift Relatiegeschenken;;1;;;;;;1
Multiply-IT;;;;1;;;;1
Museum Catering;;1;;;;;;1
Museum Speelklok (vh Museum van Speelklok tot Pierement);;1;;;;;;1
Muzieum;;1;;;;;;1
MVB Marktonderzoek Vergaderen Brainstormen;;;;;;;1;1
My Mundo Consultancy;1;;;;;;;1
MYbusinessmedia (vh Media Business Press);;;1;1;;;;1
Nationale Jeugdraad;;;;;;;1;1
Nawwara;1;;;;;;;1
NBTC Nederlands Bureau voor Toerisme & Congressen;;;;1;;;;1
NCOI Nederlands Commercieel Opleidingsinstituut (incl. NedFac, ISES, ISBW, Bestuursacademie Nederland);;;;3;;;;3
Nederlands Huisartsen Genootschap;2;;;2;;;;2
Nederlands Instituut Voor Studiereizen;;;;1;;;;1
Nederlandsch Octrooibureau;1;;;;;;;1
Nederlandse Stichting voor het Dove en Slechthorende Kind ;1;;;;;;;1
Nederlandse Vereniging Demografie;;;;1;;;;1
Netwerk van Waarde (incl. Francis Zuiker);;;;1;;;;1
New Babylon Meeting Center;;;;1;;;;1
New York Pizza;;1;;;;;;1
Newpublic;1;;;;;;;1
NH Hotels (incl. Nhow hotels);;1;;;;;1;1
