Leveranciers;4110 - Consumptieve diensten;4120 - Risicobeheersen;4130 - Schoonmaak;4210 - Post-, koeriers- en transportdiensten;4310 - Documentmanagement;4410 - Afvalzorgmanagement;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;4710 - Bankdiensten;4-Diensten en middelen
Bolsius;;;;;;;;1;;1
Bonheur Horeca Groep;;;;;;;;1;;1
Books-with-a-mission;;;;;;;;1;;1
Boom Laboratorium Leverancier Meppel;;;;;;;;1;;1
Boom voor Kerst;;;1;;;;;;;1
Boone Technisch Handels- en Adviesbureau;;;;;;;;2;;2
Borgesius Convenience;2;;;;;;;;;2
Borrias Groep;;;;;;;;1;;1
Bos Elektro;;;;;;;;1;;1
Bosan;;;;;;;1;1;;2
Boso;;;;;;;;3;;3
Botenverhuur De Rijnstroom;;;;;;;;1;;1
Botter Trading;;;;;;;;1;;1
Bouby's;;;;;;;;1;;1
Boumans & Partners Advocaten;;;;;;;;1;;1
Bouter;;;1;;;;3;2;;3
Boven Groningen Hotel & Restaurant;;;;;;;;1;;1
Bovi Salespromotion;;;;;;;;1;;1
Bowling Overhees;;;;;;;;1;;1
Braber gassen bv;;;;;;;;1;;1
Brady Groupe (incl. Seton, Transposafe);;;;;;;1;1;;1
Brandsma Dakservice;;;;;;;;1;;1
Braspenning Indoor;;;;;;;;4;;4
Bredemeijer Group;1;;;;;;;1;;1
Bredenoord Aggregaten;;;;;;;1;1;;1
Breed Technische Handelsonderneming;;;;;;;;2;;2
Brevini Nederland B.V.;;;;;;;;1;;1
Brezan;;;;;;;1;1;;1
Brink's Nederland;;;;;;;;;2;2
Brinzy B.V.;;;;;;;1;;;1
Brocante Grand Café-Brasserie;1;;;;;;;;;1
Broeder de vries dutch medical services;;;;3;;;;;;3
Brood & Banket Service;2;1;;;;;;;;2
Brouwer Motors B.V.;;;;1;;;;;;1
Bruil Infra;;;;;;;;;1;1
Bruna;;;;;;;1;1;;1
Brunschwig Chemie;;;;;;;;1;;1
B's Sound Service;;;;;;;1;2;;2
BSSt Baumann & Steffen Sicherheitst;;;;;;;;2;;2
Bucky's Grill en Cateringservice;;;;;;;;1;;1
Buijs Project Oppervlakte- en;;;;;;;;1;;1
Buijtendijk IJzerhandel;;;1;;;;1;2;;2
Buikema Beheer B.V.;;;;;;;;5;;5
Buko Infrasupport;;;;;;;;1;;1
Bumax;;;;;;;1;;;1
Bumicom Telecom;;;;;;;;1;;1
Bunt Hoveniers;;;;;;;1;;;1
Bunzl Outsourcing Services;;;;2;;;1;3;;4
Burg Service;;;;5;;;;;;5
Burger Ferry Agencies B.V.;;;;4;;;;;;4
Burger Logistic Services;;;;2;;;;;;2
Burgman Security;;;;;;;1;;;1
Buro2010;1;;;;;;;;;1
Butler Nederland;;;;;;;;2;;2
Butonia B.V.;;;;;;;;1;;1
Buvac B.V.;;;;;;;;1;;1
BV Sport;;;;;;;1;1;;1
BVA Beurtvaartadres (inc transfollow);;;;1;;;;1;;1
Cabin Care;;;;;;;;1;;1
CAD2M B.V.;;;;;;;;1;;1
Cameranu NL;;;;;;;1;;;1
Camping Sport De Wit;;;;;;;1;;;1
Canuck B.V.;;;;;;;;1;;1
Canvas Multi-Media;;;;;;;;1;;1
Car Clean Center;;;;1;;;;;;1
Car Cleaning Correct;;;;1;;;;;;1
Carglass;;1;;;;;;;;1
Cargo Compliance Company (vh DGM);;;;;;;;1;;1
Cargotec Netherlands;;;;;;;;2;;2
Carl Schenck Machines en;;;;;;;;1;;1
Carpe Fleur (Fleuri);;;;;;;;1;;1
Cartal Automotiv;;;;;;;1;1;;1
Carwash Aqua Clean;;1;;;;;;1;;1
CB Centraal Boekhuis (incl. Facturatie);;;;;;;;1;;1
CCB-Groep;;;;;;;;1;;1
CCD Cleaning Consultancy Delft;;;;;;;;1;;1
CCV Services;;;;;;;;;1;1
CD-Rom-Land;;;;;;;1;1;;1
Celexon (incl. Beamershop24.nl);;;;;;;1;;;1
Cellumica;;;;1;;;;;;1
Center Parcs;;;;;;;1;;;1
Central Point;;;1;;;;;1;;1
CF Techniek;;;;;;;;1;;1
Ch.O.A. van der Valk B.V.;;;;;;;;1;;1
Chemtec b.v.;;;;;;;;1;;1
CHIQA import-export;;;;;;;;1;;1
Chr. Muller Touw;;;;;;;1;;;1
Ciag;;;;;;;;1;;1
Cikam;;;;;;;;1;;1
CLB Benelux;;;;;;;;1;;1
Cleanmaster Biolux V.O.F.;;;;;;;;1;;1
CN Trading;1;;;;;;;;;1
CNC-Consult & Automation B.V.;;;;;;;;3;;3
Coating Application Products;;;;1;;;;1;;1
COBBS Industries;;;;;;;;6;;6
Cocktail & Cocktail;1;;;;;;;;;1
COÍPERATIE VPS VROOMEN PRODUCTS &;;;;;;;1;1;;1
Coleman Benelux;;;;;;;;1;;1
Commandeur & Visser;;;;;;;1;;;1
Commee Landkaartenbedrijf;;;;;;;;1;;1
Complete Store van Dijk;;;;;;;;1;;1
Compressor Service Techniek;;;;;;;1;;;1
Computersafe;;;;;;;1;1;;1
Compu'Train;;;;;;;;1;;1
ComSound;;;;;;;;1;;1
Condair (vh Geveke Werktuigbouw, Klimaattechniek);;;;;;;;2;;2
Connectzorg Nederland;1;;;;;;;;;1
Connexxion;;;;7;;;;;;7
Conrad Electronic;;1;;;;;1;2;;2
Constructor Dexion Holland;;;;;;;1;2;;2
ConsumersVoice B.V.;;;;;;;;1;;1
Contimeta;;;;1;;;;;;1
Cook & Co;;;;;;;1;;;1
Coolblue - Pda Shops;;;;;;;1;1;;1
CoolEnergy B.V.;;;;;;;;1;;1
Copoint Electronics B.V.;;;;;;;;4;;4
Cordstrap;;;;2;;;;1;;2
Cosmo Trucks;;;;4;;;;;;4
Country Store;;;;;;;;1;;1
Crystal Specials;;;;;;;;1;;1
C-Tex;;;;;;;;1;;1
CTS Nederland;;;;;;;;1;;1
Custers in Groen;;;;;;;1;;;1
CWN Spuitcabines Service & Onderhou;;;;;;;;1;;1
CWS Nederland;;;2;;;;;1;;2
Cyklop;;;;;;;;1;;1
DAF Trucks;;;;3;;;;1;;3
Dalcon Eurostat;;;;;;;;1;;1
Dalmec B.V.;;;;;;;;1;;1
Datema Nautical Safety (incl. Delfzijl);;;;;;;;5;;5
Daxtrio Medische Producten;;;;;;;1;;;1
DB Audio Video Systemen;;;;;;;;1;;1
DDS Druma B.V.;;;;;;;;1;;1
De Basiliek Restaurant;;;;;;;;1;;1
De Bink Drukkerij;;;;;;;;1;;1
De Bloemenkas;;;;;;;1;;;1
De Bloemerije;1;;;;;;;;;1
De Boer Tenten;;;;;;;2;;;2
De Brabander Schoenreparatie;;;;;;;;2;;2
De Broodvechter;;;;;;;;1;;1
De Burgh;;;;1;;;;;;1
De Fles Schietsportvereniging;;;;;;;;1;;1
De Gouden Wok;;;;;;;;1;;1
De Griffel Groot Café-Restaurant;1;;;;;;;;;1
De Haarlemse Bakker;1;;;;;;;;;1
De Haenen;;;;;;;;1;;1
De Hoefslag Restaurant;1;;;;;;;;;1
De Kampanje;;;;;;;;1;;1
De Kookfabriek;;;;;;;;1;;1
De Korenschoof Bloembinderij;1;;;1;;;;;;1
De Kort Catering;3;;;;;;;;;3
De Lage Landen (incl. Trade Finance/Plantijn/Vendorlease/Oce Finance);;;;;;;;3;1;3
De Lange;;;;;;1;;;;1
De Lisdodde;1;;;;;;;1;;1
De Lof der Zotheid Restaurant Café Diner;;;;;;;;1;;1
De Looper NDO B.V.;;;;;;;;1;;1
De Maas;;;;1;;;;;;1
De Marineclub;2;1;;1;;;;2;;2
De Molen Banden (incl. Banden Groep);;;;;;;;1;;1
De Papierklem stationery;;;;;;;;1;;1
De Persgroep (incl. PCM, De Volkskrant, Het Parool, Trouw, Algemeen Dagblad, Perscombinatie);;;;;;;;1;;1
De Ploeg;;;;;;;;3;;3
De Prikkelinge;;;;;;;;1;;1
De Projectinrichter;;;;;;;1;1;;1
De Raat Security Products;;;;;;;1;;;1
De Ridder Service Revisie en Meet B;;;;;;;;1;;1
De Sleutel van Rijen;;1;;;;;;;;1
De Sleutelspecialist;;;;;;;1;;;1
De Stoelenshop;;;;;;;1;;;1
De Tijd Bedrijfskleding;;;;1;;;;;;1
De Veldkeuken;;;;;;;;1;;1
De Vier Gewesten;;;;2;;;;;;2
De Vlas Transport;;;;1;;;;;;1
De Vossenberg Hotel Restaurant;1;;;;;;;;;1
De Wijnhuistoren Restaurant;1;;;;;;;;;1
De Witte Raaf Hotel-Restaurant;2;1;;;;;;2;;3
De Witte Zwaan Restaurant;1;;;;;;;;;1
De Woudhof;;;;;;;1;;;1
De Zoete Zonde;1;;;;;;;;;1
De Zuid Drukkerij;;;;;;;;2;;2
Deba 2000;;;;;;;1;;;1
Decora Bloemsierkunst;;1;;;;;;1;;1
Dedden IJzerwaren en Gereedschappen;;;;;;;;1;;1
Deko;;;;;;;;1;;1
Dekra;;;;;;;;1;;1
Delta International;;;;;;;;1;;1
Deltex;;;;;;;1;;;1
Den Haag Marketing & Events;;;;;;;;1;;1
Denios;;;;;;;;2;;2
Destil;;;;;;;;1;;1
Deutsche Bank (incl. IFN Finance);2;;;;;;;;;2
DFDS Seaways;;;;5;;;;;;5
DHS Security B.V.;;;;;;;;1;;1
Diacarb;;;;;;;;1;;1
Diagnostisch Expertise Centrum;;;;;;;;1;;1
Diamond Kimberlit B.V.;;;;;;;;1;;1
Dieden FinanciÙle Diensten B.V.;;;;;;;;1;;1
Dielen Flightcase Bouw;;;;;;;;1;;1
Dierenarts F.P.V.M. Knols;;1;;;;;;;;1
Dierenartsenpraktijk  Zuid West Hoe;;1;;;;;;;;1
Dierenartsenpraktijk 'Tusken;;2;;;;;;;;2
Dierencrematorium Maashorst;;1;;;;;;;;1
Dierenkliniek Putten;;1;;;;;;;;1
Dierenkliniek Rijen;;2;;;;;;;;2
Dierenkliniek 'T Leidse Land;;1;;;;;;;;1
Diergeneeskundig Centrum Nunspeet;;1;1;;;;;;;1
Diesel Calibratie Koenes;;;;;;;;1;;1
Digiforce (vh DeltaHage / Digiprint);;;;;;;;1;;1
Digit Elektrotechniek B.V.;;;;;;;;1;;1
Digital Revolution;;;;;;;;1;;1
Dille Bloemen;;;;;;;;1;;1
Dinee Cafe Kempen;;;;;;;;1;;1
Dirksen Schoonmaakartikelen en Bedrijfskleding;;;;;;;;1;;1
Discountoffice.nl;;;1;;;;1;1;;1
Distrelec (incl. Display Electronics);;;;1;;;;;;1
Diversey;;;;;;;1;;;1
Dixi Sanitary Service;;;;;;;;1;;1
Doeksen, G. en Zonen Rederij;;;;2;;;;;;2
Dog Sport Holland;;1;;;;;;;;1
Dokkumer Vlaggen;;;;;;;4;1;;4
Dolstra Elektronica;;;;;;;;1;;1
Dometic Group;;;;;;;;1;;1
Donders Gas Specialiteiten B.V.;;;;;;;;1;;1
Donker Holding (incl. Donkergroen);;;;;;;1;1;;1
Doornse Apotheek;1;;;;;;;;;1
Dormac;;;;;;;;1;;1
Douwe Egberts;8;;;;;;;;;8
DPS Power B.V.;;;;1;;;;1;;1
Drager Safety & Medical;;2;;1;;;;3;;3
Dragt Boek - en Kantoorvakhandel;;;;;;;1;2;;2
Drentea Kantoormeubelen;;;1;;;;7;3;;7
Drinkbarewijn;;;;;;;;1;;1
Drukkerij ROWA B.V.;;;;;;;;1;;1
DSV Road, Air & Sea, Solutions;;;;3;;;;;;3
Dta Systems;;;1;;;;;;;1
Dubbers;;;;;;;;1;;1
Duikcentrum De Grevelingen (incl. Subworx);;;;;;;;1;;1
Duitman Hengelo;;;;;;;1;;;1
Dukino Business Events;;;;;;;;2;;2
Dunham-Bush;;;;;;;;1;;1
Duplidata;;;;;;;;1;;1
Dutraco;;;;;;;;7;;7
Dymato B.V.;;;;;;;;1;;1
Dynaf Caribbean;;;;;;;1;;;1
Dynastart Tools V.O.F.;;;;;;;;1;;1
E.M.M. International B.V.;;;;;;;;1;;1
E.T. Euro Trade Nederland B.V.;;;;;;;;1;;1
EasyCareSolutions;;;;;;;;1;;1
Echos Home;1;;;;;;;;;1
Eco Toilet;;;4;;;;2;6;;6
ECR-Nederland;;;;1;;;;2;;2
Edax-Ametek;;;;;;;;2;;2
Eden Springs;1;;;;;;;;;1
Edufax;;;;;;;;1;;1
Edufit;;;;;;;;1;;1
Edwin's Stoffeerderij;;;;;;;1;;;1
Eerste Hulp Dichtbij;;;;;;;;1;;1
Eet Holland;;;;;;;;1;;1
Efficiency;;;;;;;;1;;1
Efteling;;;;;;;;2;;2
Egner Kantoorspecialisten;;;;;;;1;1;;1
Ehabo Preventie;;;;;;;1;1;;1
EHBO ACTIEF;;;;;;;;1;;1
EHM Hotels (incl. Apollo Hotels & Resorts);;;;;;;;1;;1
Eilers Fashion;;;;;;;;4;;4
Eindhovense Carrosseriefabriek B.V.;;;;1;;;;;;1
Elauma;;;;;;;;1;;1
Elbee Trading;;;;;;;;1;;1
Electra Breda;;;;1;;;;;;1
Elektrototaalmarkt;;;;;;;1;;;1
Element Materials Technology;;;;;;;;2;;2
Elfa Elementenfabriek;;;;;;;;2;;2
Elinex Power Solutions;;;;;;;;1;;1
Elvee Holland b.v.;4;;;;;;;;;4
EMA Autobedrijven;;;;1;;;;;;1
Emmens Geluid;1;;;;;;;;;1
Emtek Ergonomics;;;;;;;1;;;1
Enduring International;;;;;;;;1;;1
Engels Logistiek;;;;;;;1;1;;1
Enjoy Beauty Flowers;1;;;;;;;;;1
EOM Eyes On Media;;;;;;;1;1;;1
EPS Automotive;;;;1;;;;;;1
Ergo2Go;;;;;;;1;;;1
Ergo2Work (Dutchrebels Holding);;;;;;;1;1;;1
ErgoBrain (incl. Ergodirect);;;;;;;1;;;1
Ergoquip Nederland;;;;;;;1;;;1
Ergoweb (Kantoorinrichter);;;;;;;;1;;1
Erica Recreatie B.V.;;;;1;;;;;;1
Eriks;;;;1;;;;2;;2
ES Ehrbecker Schiefelbusch Elektro;;;;;;;;1;;1
Esab Nederland B.V.;;;;;;;;1;;1
Essentra Components;;;;;;;1;;;1
Essimo B.V.;;;;;;;;1;;1
Etikettenkoning B.V.;;;;;;;;1;;1
Euro Events;1;;;;;;;;;1
Euro-Index;;;;;;;;1;;1
Euromate (vh Plymovent, Lucom);;;1;;;;;;;1
Evatec Process Systems;;;;;;;;1;;1
Even Kijken Project;;;;;;;1;;;1
Evenementenhekken.nl (fence4events);;;;;;;;1;;1
Exactime b.v.;;;;;;;;1;;1
Exide;;;;;;;;1;;1
Ex-Ox-Tox Gasdetectie Controle;;1;;;;;;;;1
Expres Stomerij;;;;;;;;1;;1
Faber Vlaggen (vh Shipmate);;;;;;;;1;;1
Fabory Nederland;;;;1;;;1;1;;1
Facta Vision;;;1;;;;;;;1
Faes Group;;;;2;;;;1;;2
Familyland b.v.;;;;;;;;1;;1
Famous AVL;;;;;;;1;1;;1
Farnell Electronic Components;;;;;;;;1;;1
Fedex - Federal Express;;;;1;;;;;;1
FietsNED;;;;;;;2;;;2
Fietsplezier;;;;;;;1;;;1
Fireware;;1;;;;;;;;1
First Light;;;;;;;1;;;1
Fitland Groep;1;;;;;;;;;1
Fixet (incl. Grottendieck);;;;;;;2;1;;2
Flash Aviation;;1;;;;;;;;1
Fletcher Hotel Restaurant;1;;;;;;;1;;1
Fleurtiek Amsterdam;1;;;;;;;1;;1
Flexwebhosting;;;;;;;;1;;1
Flora Momentum;;;;;;;;1;;1
Flowerhouse;;;;;;;1;;;1
Fluke Nederland;;;;;;;;1;;1
FMN Facility Management Nederland;;;1;;;;;;;1
Fonk Beach;;;;;;;;1;;1
Fonq NL;;;;;;;1;;;1
Footcare Benelux;;;;;;;;3;;3
Forbo Flooring B.V.;;;;;;;;3;;3
Formido Bouwmarkt;;;;;;;1;1;;1
Forte Midden Nederland;;;;;;;1;;;1
Fortimax Beheer;;;;;;;1;;;1
Foto Video Beemster B.V.;;;;;;;;2;;2
Fotografie Jan Vredenburg;;;;;;;;1;;1
Frama Nederland;;;;1;;;;1;;1
Frame Engineering B.V.;;;;;;;;1;;1
Frans Autoglans b.v.;;;;;;;;1;;1
Frans Becx Tuinmachines;;1;;;;;;;;1
Franssen, E.J.H. en Franssen, P.A.H;;;;;;;;1;;1
Friesland Campers;;;;1;;;;;;1
Frieveen Grafische- & kantoormachines;;;;;;;;1;;1
Frisson;;;;;;;;1;;1
FuGoBo Air;;;;;;;;2;;2
Fujifilm Manufacturing Europe;;;;;;;;1;;1
Fuzzy Brush Benelux Limited;2;;;;;;;;;2
Fysio Supplies;;;;;;;;1;;1
G.F.P. Gear for Professionals;;;;;;;;1;;1
G.T.O. Transporten B.V.;;;;6;;;;;;6
Gall & Gall;;;;;;;;1;;1
Garmin Nederland B.V.;;;;;;;;2;;2
GasCare (incl. Bron);;;;1;;;;2;;2
Gauchos Grill Restaurant (incl. Franchise);;;;;;;;1;;1
Geling's Langste Autowasstraat;;;;1;;;;;;1
Gelissen Paardentransport B.V.;;;;;;;;1;;1
Gemaco (vh Jos Premiums & Gifts);;;;;;;;2;;2
GemaTex;;;;;;;;1;;1
Gencom Power;;;;1;;;;1;;1
Gentec Energy B.V.;;;;;;;;1;;1
George Pisa en Zn Tailleurs;;;;;;;;6;;6
Geostick (incl. WYT Gevaarsetiketten);;;;1;;;;2;;2
GePeS;;;;;;;;1;;1
Gereedschapcentrum.nl;;;;;;;1;;;1
Gerrits Glas- En Schilderwerken;;;;;;;1;;;1
Gerritse Ijzerwaren (inc Isero);;;;1;;;;1;;1
Geschenk Idee;;;1;;;;;;;1
Gezelschapsdierenartsen De Peel;;1;;;;;;;;1
Giga-fun Verhuur en Entertainment;;;;;;;;1;;1
GIO Meubelen B.V.;;;;;;;;1;;1
Gjaltema Montage Bedrijf;;;;;;;;1;;1
