Handelsnaam;8110 - Vakliteratuur, abonnementen en overige informatie;8210 - Vertaaldiensten;8310 - Relatiegeschenken niet voor eigen personeel;8410 - Evenementen en congresorganisatie;8510 - Diversen communicatie;Eindtotaal
Binoq B.V.;1;;;;;1
BKFF bas kijzers fotografie en film;;;;;1;1
bldsprk communicatievormgeving;;;;;1;1
BlijVision B.V.;;;;;1;1
Blikopener Filmproducties;;;;;1;1
Blikveld B.V.;;;;;1;1
Bloembinderij De Nobel;;;1;;;1
BLOSSOM bloemisterij;;1;;;;1
Bob Brobbel;;;;;1;1
Bohn Stafleu Van Loghum;1;;;;;1
bol.com B.V.;1;1;1;;;1
Bond van Nederlandse Bouwhistorici;;;;;1;1
Boom Distributie Centrum;2;;;;;2
Boomerang Nederland B.V.;;;;;1;1
Boulevard-de Meern B.V.;;;;1;;1
BP Management Materieel B.V.;;;;;1;1
Bram Esser;;;;;1;1
Brasserie 't Zusje Scheveningen B.V.;;;;1;;1
Brazzerie Abrona;;;1;;;1
Brenda van Leeuwen Fotografie;;;;;1;1
Bridge Entertainment Group;;;;;1;1
Bruns B.V.;;;;;1;1
BSDV;;;;1;;1
BTC Mediatest B.V.;;;;;2;2
Budgetcam;;;;;1;1
Bukman Management;;;;1;;1
Bunker 8 Audiovisuals;;;;;1;1
Buntmedia;;;;;1;1
Bureau BlauwGeel B.V.;;;;;1;1
Bureau Volk!;;;;;1;1
Buro Bombarie;;;;1;;1
Business Openers B.V.;;;;;1;1
Café NAi;1;;;;2;2
Cafe Restaurant Vandaag B.V.;;;1;;;1
Can you imagine;;;;;2;2
Carpetright;;;;;1;1
CartoonistLive;;;;;1;1
CaseCoverCompany;;;;;1;1
Catering Oud London B.V.;;;;1;;1
Cavalieri Kostumes;;;;;1;1
CCM;1;;;;;1
Cebook;1;;;;;1
Centraal Boekhuis B.V.;1;;;;1;1
Chris Booms Fotografie;;;;;2;2
Chris Hopley Vertaalbureau;;;;;1;1
Christine van der Ree;;;;;1;1
Clipit News B.V.;1;;;;1;2
CNV Connectief;1;;;;;1
Coastal & Marine Union;;;;;1;1
Coen! Bureau voor Vormgeving;;1;;;;1
Collaparte;;;;;1;1
Collect Car B.V.;1;;;;;1
Colour XL B.V.;;;;;1;1
Comcept B.V.;;;;;1;1
Communicatie Noord Nederland;;;;;1;1
Consigne 8;;;;;2;2
Consumentenbond;1;;;;;1
Coöp. Med. Special. Bedrijf Midden-Brabant UA;;;;1;;1
Coosto Holding B.V.;2;;;;2;2
CreaBea;;;;;3;3
CS Fotografie;;;;;1;1
Cubord Reclameborden B.V.;;;;;1;1
Cultural Motion;;;;;1;1
D. Allewijn Mediator;;;;1;;1
D. Luijendijk-de Bruin;;;;;1;1
D.E. Blok;;;;;1;1
D'Amici;;;1;;;1
Daphne Heemskerk;;;;;2;2
David Andrés Vis;;;;;1;1
De Argumentenfabriek B.V.;;;;;2;2
De Bazel B.V.;;;;1;;1
De Branding Utrecht B.V.;;;1;;;1
De Correspondent B.V.;1;;;;;1
De Culturele Zaak;;;;1;;1
De Kaartenshop;;;;;1;1
De Metaalwinkel B.V.;;;;;2;2
De Museumvereniging;;;;1;;1
De Nederlandse Boekenbon B.V.;;;1;;;1
De Nieuwe Cultuur Stichting;;1;;;;1
de Persgroep Nederland B.V.;;;;;1;1
De Perslijst;1;;;;;1
De Rode Planeet Publishing B.V.;1;;;;;1
De Sfeerstal;;;;1;;1
De Twentse Schouwburg N.V.;;;;1;;1
De Volkskrant B.V.;1;;;;;1
deLex Media en Management B.V.;1;;;;;1
Den Haag Centraal 2012 B.V.;;;;;1;1
Denkschets.nl;;;;;1;1
Denzo Theater Techniek;;;;;1;1
Detron Lifecycle Services;;;;1;;1
Didez Digital Design;;;;;1;1
Dirk van Harten;;;;;1;1
Docters van Leeuwen;;;;;1;1
Dokkumer Vlaggen Centrale B.V.;;;;;1;1
Domkerk Winkel;;;;1;;1
Dorien de Bruijn;;;;;1;1
Dorine Hermans;;;;1;;1
Dorpshuis Den Brink;;;;1;;1
Dorst Bierservice;;;;;1;1
DPI Animation House B.V.;;;;1;;1
Drukbedrijf.nl B.V.;;;;1;;1
Drukkerij De Zuid V.O.F.;;;;;1;1
DTG B.V.;1;;;;;1
Dubbeldam/Dijkstra/Harsema/de Gruyter/Wezel;;;;;2;2
Dun & Bradstreet B.V.;1;;;;;1
Ecologisch Adviesbureau Maes;1;;;;;1
EDG Educatieve Distributie B.V.;1;;;1;2;2
Eelco Beukers Tekst en Productie;;;;;2;2
Eikenbosch Holding B.V.;;1;;;;1
Eline van Nes;;1;;;;1
Elsevier Congressen;1;;;;;1
Elzinga Catering;;;;1;;1
EM-Cultuur B.V.;;;;;1;1
en publique;;;;1;2;2
Endeke;;;;;1;1
Enginar B.V.;;;1;;;1
Enno Zuidema Stedebouw B.V.;;;;;1;1
Equrion Services B.V.;1;;;;;1
Erfgoed Uitgevoerd;;;;1;;1
Eric Leek;;1;;;;1
Erkamp Reclame B.V.;;;;;1;1
ESB B.V.;1;1;;;;1
ESN Software B.V.;;;;;1;1
Esther Duine Communicatie;;;;2;;2
Eurest Services B.V.;;;;1;;1
Eveline Groot;;;;1;;1
Eventa B.V.;;;;1;;1
Exploitatiemij. Grand Hotel Karel V B.V.;;;1;;;1
F.E. Schleij;;;;;1;1
Feddes/Olthof Landschapsarchitecten B.V.;;;;1;;1
Fieke Krikhaar proces- en interimmanagement;;;;;1;1
Fien B.V.;;;;1;;1
Film & Experience;;;;2;;2
Filter 81;;;;;1;1
Firma Ton van der Burg;;;;;1;1
Flicom B.V.;;;;;1;1
Flowerdesign Online;;1;;;;1
Flying Holland;;;;;1;1
Fonk Media B.V.;1;;;;;1
Fotograf!e Ronald Tilleman;;;;;1;1
Fotografie Jurgen Huiskes;;;;;1;1
Fotografie Siebe Swart;;;;;2;2
Fotografie-Norbert van Onna V.O.F.;;;;;1;1
Francissen Communicatie;;;;;1;1
Frank van Gils Catering;;;1;;;1
Frans Aben;;;;;1;1
Frans Pos Media;1;;;;;1
Frephitophe;;;;1;;1
Friesch Dagblad B.V.;1;;;;;1
Frontwise;;;;;1;1
Futureconsult B.V.;;;;1;;1
Geert Jan Mellink. Concepten en Projecten;;;;;1;1
Geert Snoeijer Fotografie;;;;;1;1
Geertjes Hoeve Haarzuilens;;;;1;;1
Gelders Genootschap;;;;1;;1
Gem Redactie & Projectmanagement;;;;;1;1
Genootschap Onze Taal;1;;;;2;2
Gerard Brakkee;;;;1;;1
Gesprek in Beweging;;;;1;;1
Global Learning Institute;1;;;;;1
Goedhart Reclame V.O.F.;;;;;1;1
Goods Design Products & Concepts;;1;;;;1
GrondTaal Vertaalbureau;;1;;;1;1
Grooth. H. Timmermans;;;;1;;1
Guide ID B.V.;;;;;1;1
Gustafson B.V.;;;;1;;1
H. van Liere B.V.;;;;1;;1
H.J. Hiep;;;;1;1;1
H.J.P.M. van Velzen Holding B.V.;;;;1;;1
Hafo B.V.;;;;;1;1
Hageman Party Catering Haaglanden;;;;1;;1
Harbourville B.V.;;;;;1;1
Hartelijk Gefaciliteerd;;;;1;;1
Hawi Software Development B.V.;;;;;1;1
Hawkeye;;1;;;;1
Hein Post Wijnen Gastronomie;;;;1;;1
Het Betere Werk;;;;1;;1
Het Financieele Dagblad B.V.;1;;;;;1
Het Historisch Archief;;;;;1;1
Het Parool B.V.;1;;;;;1
Hettema Verhuurt Praktisch Alles!;;;;1;;1
Hillson B.V.;;;;;1;1
HKU;;;;;1;1
Hobrou;;;;;1;1
Hoezee B.V.;;;;2;;2
Hofvlietvilla B.V.;;;1;;;1
Holland Souvenirs;;1;;;;1
Hollandse Hoogte B.V.;;;;;1;1
Holwerdadewit B.V.;;;;;1;1
Hostnet B.V.;;;;;1;1
Hotel Contact B.V.;;1;;4;;4
Houtschild Internationale Boekhandel B.V.;2;;;;;2
Hulskamp Audiovisueel Utrecht;;;;1;;1
Human Touch Photography;;;;;1;1
HWC Events & Rental;;;;;1;1
Hylkema Consultants B.V.;;;;;1;1
Iadea B.V.;1;;;;;1
Icomos-Nederland;1;;;;;1
ICT Media B.V.;1;;;;;1
id&dn;;;;;1;1
IHC Holland B.V.;;;;;3;3
IJsselhallen Zwolle;;;;;1;1
In2Content B.V.;;;;1;3;3
InBetween Gifts;;1;;;;1
Indisch Restaurant Garoeda;;;;1;;1
Infinity;;;;;1;1
Informatie B.V.;1;;;;;1
Infotrading B.V.;3;;;;;3
Ingenico e-Commerce Solutions B.V.;1;;;;;1
Ingrado;1;;;;;1
Inretail;;;;;1;1
Inst. for Hous. and Urban Devel. Stud. B.V.;;;;;2;2
Instituut Maatschappelijke Innovatie;;;;1;;1
Instituut van Internal Auditors Nederland;1;;;;;1
Instondo Beheer B.V.;1;;;;;1
Insyde B.V.;;;;;1;1
International Card Services B.V.;;;;;1;1
Interventie B.V.;1;;;;;1
Interwijs B.V.;1;;;;;1
Intrum Justitia Nederland B.V.;1;;;;;1
IPMA - NL;1;;;;;1
IS Group B.V.;;;;;1;1
Isabel van Lent;;;;;3;3
J&S Changemakers;;;;1;;1
J. Landman B.V.;;1;;;;1
J.A. Tromp Publiciteitsfotografie;;;;;1;1
J.F. van Boeckel;;;;;1;1
J.J.L. Wiggers Holding B.V.;;;;;1;1
JA Jenster Advies;;;;1;1;1
Jaager B.V.;;;;;2;2
Jaarbeurs B.V.;;;;2;1;2
Jaco Boer Journalistieke Produkties;;;;1;2;2
Jamboree Neckwear Promo-Ties;;;1;;;1
JJ Creative;;;;;1;1
Johan Nieuwenhuize Fotografie;;;;;1;1
John Nurminen Prima;;;;1;;1
Jongsma Medical B.V.;;;;;1;1
Jonkheer Sound & Light B.V.;;;;1;;1
Josje Deekens Fotografie;;;;;1;1
Jouke de Jong;;;;;1;1
JRE Trading B.V.;;;;1;1;1
Julian Ross;;;;;1;1
K.M. de Vries;;;;1;;1
Keukenstudio Beelen;;;;;1;1
Kidsproof;;;;1;;1
Kikkerland Europe B.V.;;;;1;;1
Kisner en Van der Waarde;;;;;1;1
Kiss The Frog B.V.;;;;;2;2
Kloosterboer Decor B.V.;;;;;1;1
Kloosterhof Neer B.V.;1;;;;;1
Kloosterhotel ZIN B.V.;;;;1;;1
Kon. Nederlands Aardrijkskundig Genootschap;1;;;;;1
Kon. Nl. Genootsch. voor Gesl.- en Wapenkunde;1;;;;;1
Kon. Verenig. van Archivarissen in Nederland;1;;;1;;1
Kong Advertising B.V.;;;;1;1;1
Koninklijke van der Most B.V.;1;;;;;1
Koninklijke van Gorcum B.V.;1;;;;;1
Kooyker van der Meer B.V.;1;;;;;1
Kris Kras Design B.V.;;;;;3;3
Kronos Websolutions;;;;;1;1
Kruyff Industrial Communications;;;;1;;1
L. Leeuw;;;;1;;1
L.E. van der Staak;;;;1;;1
L.H. Eggink B.V.;;;;;1;1
L5 communicatie + design;;;;;1;1
Landelijke Studentenvakbond;;;;;1;1
Land-ID B.V.;;;;1;;1
Laurens Lindhout Photography;;;;;1;1
Learning by action;;;;;1;1
Learning Valley B.V.;;;;;1;1
Leukeleu B.V.;;;;;1;1
LexisNexis Benelux;1;;;;;1
Liesbeth Maas Tekst en Research;;1;;;;1
Linschoten-Vereeniging;1;;;;;1
Lloyd Hotel B.V.;;;;1;;1
LNR Globalcom B.V.;;;;;1;1
Logeion;1;;;;;1
Louwenaar Communicatie Management B.V.;;;;1;;1
M.A. Dolman;;;;;1;1
M.A. van Wendel de Joode;;;;;1;1
M.S.A. Bovens;;;;1;;1
M.S.F. Beheer B.V.;;;;;1;1
Maatschap voor Communicatie;;;;;1;1
Macro B.V.;1;;;;;1
Magenta Communicatieprojecten B.V.;1;;;;;1
MAI-Gold Agenturen;;;;;1;1
Mainpress B.V.;3;;;;;3
Maklu B.V.;1;;;;;1
Mamaisa B.V.;;;;1;;1
Mammon Holding;;;;;1;1
Management Media B.V.;1;;;;;1
Marbles;;;;2;;2
MarcelisDékavé B.V.;1;;;;;1
Marcom+design;;;;;2;2
Marea Alta;;;1;;;1
Margalith Kleijwegt;;;;;1;1
Margareta Svensson fotografie;;;;;1;1
Marica van der Meer Fotografie;;;;1;;1
Marie Baarspul;;;;;1;1
Marie Louise Nijsing Photography;;;;;1;1
Marieke Nijzink;;;;;1;1
Mariël Vullings;;;;;1;1
Mariëlle Hageman;;;;;1;1
Marijke Volkers Fotografie;;;;;1;1
Maritiem Museum Rotterdam;;;;;1;1
Marleen van Os tekstredactie en vertaling;;1;;;;1
marlies lageweg photography;;;;;1;1
Martijn Beekman Fotografie;;;;;1;1
Marx & Steketee Architecten;;;;;1;1
Maters & Hermsen Journalistiek B.V.;;;;;1;1
Matthieu Maas;1;;;;;1
Maureen Cuisine;;;;1;;1
Mauritshuis;;1;1;;;1
Maven Publishing B.V.;;;;;1;1
Meca B.V.;1;;;;;1
Media Info Groep B.V.;;;;;1;1
MeedeGroot Tekst;;;;;1;1
Meester Bart;;;;1;;1
Meijboom Fotografie en Lijsten;;;;;1;1
Melmuseum Exploitatie B.V.;;1;;;;1
Meltwater The Netherlands B.V.;1;;;;;1
Merlijn B.V.;;;;;1;1
Metamorfose Vertalingen B.V.;;1;;;1;1
Metgezel Wageningen;;;;;2;2
Metro XL B.V.;;;;;1;1
Moduli Print B.V.;;;;;1;1
Montafors B.V.;;;;;1;1
Motorvervoer;;;;;1;1
MultiCopy Utrecht Centrum B.V.;;;;;1;1
Museum Beelden aan Zee;;1;;;;1
Museum Boerhaave;;;;;1;1
Museumshopdenhaag;;1;;;;1
MVA Communicatie;;;;;1;1
Nadine van den Berg Fotografie & Redactie;;;;1;;1
Nanette de Jong Fotografie;;;;;1;1
Nara Participaties B.V.;;;;;1;1
Nationale Beeldbank B.V.;;;;;1;1
NDC mediagroep B.V.;1;;;;1;1
Neal van de Kamer;;;;;1;1
Nederland. Vereniging voor Aanbestedingsrecht;1;;;;;1
Nederlands Architectuur Forum;1;;;;;1
Nederlands Debat Instituut Holding B.V.;;;;;2;2
Nederlands Fotogenootschap;1;;;;;1
Nederlandse Kastelenstichting;;;;1;1;1
Nederlandse Stg. v. Corporate Universities;1;;;;;1
Nederlandse Vereniging van Wiskundeleraren;1;;;;;1
Neele International B.V.;1;;;;;1
Net Niet;;;1;;;1
NEVI-Purspective B.V.;1;;;;;1
NGI B.V.;1;;;;;1
Nieuwland Opleidingen B.V.;;;;;1;1
NLUUG;1;;;;;1
NMF Huis van Hilde Exploitatie B.V.;;;1;;;1
NRC Media Holding B.V.;1;;;;1;1
Occhio B.V.;;;;;1;1
Octrooibureau Lioc;1;;;;1;1
OEC;1;;;;;1
Office Depot B.V.;1;;;;;1
OGZ B.V.;;;;;2;2
Olieman Verhuur;;;;;1;1
Once..;;;;;1;1
Onderzoek Nederland Publicaties B.V.;1;;;;;1
ONLY Amersfoort;;;;1;;1
Onlyhuman B.V.;;;;;2;2
Ontwerpwerk B.V.;;;;;1;1
OORbit;;;;;1;1
Ooxo.nl;;;;;1;1
Open Monumentendag;;;;1;;1
Opera Grafisch Ontwerpers;;;;;1;1
Optima Forma;;;;;1;1
Oudaen B.V.;;;1;;;1
Oxfam Novib;;;;1;;1
P.C. de Koning;;;1;;;1
P.M. Noordervliet Bol;;;;;2;2
Paagman Den Haag B.V.;;1;;;;1
Paardekooper;;1;;;;1
Paradies Licht;;;;;2;2
Parallel Universum Photography;;;;;1;1
Pardon Consult;1;;;;;1
Parkhotel Den Haag;;;;1;;1
Path;;;;1;;1
Patmo Film;;;;;1;1
Paul Paris les Images;;;;;2;2
Paul Rem;;;;1;;1
PDC Informatie Architectuur B.V.;;;;;2;2
Pepe Heykoop Designs B.V.;;1;;;;1
Peter Tetteroo Media B.V.;;;;;2;2
Phil Nijhuis Fotografie;;;;;1;1
Photo Republic;;;;;1;1
Picturae ICT B.V.;;;;;1;1
Pixelpolder;;;;;2;2
Plein 9 A B.V.;;;;1;;1
Pondera Consult B.V.;;;;;2;2
Poort Language Services;;1;;;;1
PRABEBO Holding B.V.;;;;;1;1
Presenter B.V.;;;;;2;2
Prevent IVG B.V.;;;;;1;1
Prima Focus;;;;;1;1
Princenhof B.V.;;;;;1;1
Print X-Press;;;;1;;1
Printed Copy en Printservice;;;;;1;1
Prof. dr. W. Kalk;1;;;;;1
Prof.dr. C.M. Storm B.V.;;;;1;;1
Profiel Produkties B.V.;1;;;;;1
'Profilex' Lijsten;;;;;1;1
ProFotonet B.V.;;1;;;;1
Prosu Media Producties B.V.;1;;;;;1
Publiek Denken;;;;;1;1
PubMedia B.V.;1;;;;;1
PvIB: Platform voor informatiebeveiliging;1;;;;;1
Quality Bookings B.V.;;;;1;;1
QuoVadis Trustlink B.V.;1;;;;;1
R. van Heusden B.V.;;;;1;;1
RAAP Archeolog. Adviesbureau Oost Nederland;;;;1;;1
Ramón Middelkoop Design;;;;;1;1
Rasp-Stuc Adviseur;;;;;1;1
Rechtnet B.V.;1;;;;;1
Reclame Atelier Leo Mineur;;;;;1;1
Reflex Online B.V.;;;;;1;1
Reinaerde;;;1;;;1
Reith - Hendriks & partners;;;;;2;2
Rendement Uitgeverij B.V.;1;;;;;1
RenM-Matrix;;;;;1;1
Repro Utrecht B.V.;;;;;1;1
Reputatiegroep B.V.;;;;;1;1
ResearchNed B.V.;;;;;1;1
Restaurant De Blanckenborgh B.V.;;;1;;;1
Restaurant De Cantine;;;;1;;1
Restaurant Habibi;;;;1;;1
Rik de Groot tekst & beeld;;;;;1;1
RKD-Nederlands Instit. voor Kunstgeschiedenis;1;;;;;1
Robert Kempers;;;;1;;1
Roemer Vermeulen;;;;;1;1
ROM B.V.;;;;1;2;2
Ron Magielse Fotografie;;;;;1;1
Ronald de Boer;;;;;1;1
RONT Management Consultants B.V.;1;;;;;1
Ruben Jorksveld Fotografie;;;;;1;1
Ruben Schipper Fotografie;;;;;1;1
Ruud Ploeg;;;;;1;1
's Lands Welvaren;;;;1;;1
San de Haan;;;;;1;1
Saylus B.V.;1;;;;;1
SC Carservice;2;;;;1;2
Scan & Co.;;;;;1;1
Schaapontwerpers;;;;;2;2
Schatrijk;1;;;;;1
schooldecanen;1;;;;;1
Schreuder;;;;;1;1
Schrijfschap;;;;;1;1
Sdu Uitgevers B.V.;1;;;;;1
Security Press B.V.;1;;;;;1
SeeAllThis;;;;;1;1
Seinpost Adviesbureau B.V.;;;;2;;2
Sense Organisatie & Coaching B.V.;;;;1;;1
Serge technau Fotografie;;;;;1;1
Shortplay B.V.;;;;;1;1
Sidestone Press;1;;;;;1
SilJin B.V.;;;;;1;1
Singel & Partners B.V.;;;;1;;1
Sisow B.V.;;;;1;;1
SKUTECH s.r.o.;;;;1;;1
Slofstra Communicatie;;;;;2;2
Smart.pr B.V.;;;;;1;1
Sodexo Prestige B.V.;;;;1;;1
Sonic Rendezvous DCM B.V.;;;;;1;1
Speakers Academy Special Projects B.V.;;;;1;;1
Sportcafe 'De Tempel';;;;;1;1
Springer B.V.;;;;;1;1
St. De Balie Centr. Th. Polit. & Litteratuur;;;;;1;1
Stadscafé De Observant;;;;1;1;1
STANG;;;;;1;1
SteenhuisMeurs;;;;;2;2
Steinhoff B.V.;;;;;1;1
Stellar Data Recovery B.V.;;;;1;;1
Steven Spoelstra;;;;;1;1
Stg. Applicl. Serv. Libr. & Bus. Libr. Found.;1;;;;;1
Stg. Dutch Centre for Intern. Cultur. Cooper.;;;;;1;1
Stg. Evangelische Gem. Zuiderkapel-Koningkerk;;;;1;;1
Stg. Expl. Grote- of Lebuinuskerk te Deventer;;;;1;;1
Stg. Instrumentenfonds Kon. Conservatorium;;;1;;;1
Stg. Maandblad voor Acc. en Bedrijfseconomie;1;;;;;1
Stg. Nationale Coalitie Digitale Duurzaamheid;;;;;2;2
Stg. Primair en voortgez. onderw. Z-Nederland;;;;;1;1
Stg. ProDemos - Huis voor dem. en rechtsstaat;1;;;;;1
Stg. tot Beheer Museum Boijmans Van Beuningen;;;;;1;1
Stg. tot behoud cultuurg. Cuypersgenootschap;1;;;;;1
Sticht. Kennis van het Noordelijke Platteland;;;;;1;1
Sticht. Nederl. Inst. voor Beeld en Geluid;;;;1;;1
Sticht. tot Fin. Steun Stoomgemaal Halfweg;;;;1;;1
Stichting A.I.E.S.E.C.-Groningen;1;;;;;1
Stichting Administratiekantoor BIS;;;;2;;2
Stichting Archeologie en Publiek;;;;1;;1
Stichting 'Atlas Van Stolk';;;;;1;1
Stichting Bartiméus Sonneheerdt;;;;;1;1
Stichting bibliotheek Midden-Brabant;1;;;;;1
Stichting Bijzondere Collecties;;;;;1;1
Stichting Bouwhistorie Nederland;1;;;;;1
Stichting Cultureel Erfgoed Zeeland;;;;;1;1
Stichting Cultuur Inventarisatie;;;;;1;1
Stichting De Bastei;;;;;1;1
Stichting De Rots;;;;;1;1
Stichting De Snuffelmuis;1;;;;;1
Stichting De Zesde Man;;;;1;;1
Stichting Deltares;;;;;2;2
Stichting Den Haag Marketing;;1;1;1;1;1
Stichting Dodenakkers.NL;;;;;1;1
Stichting Erfgoed Oud-Poelgeest;;;;;1;1
Stichting Fietsen Om te Helpen;;;;1;;1
Stichting Form-Ed;;;;;1;1
Stichting Foto Anoniem;;;;;1;1
Stichting Geonovum;;;;1;;1
Stichting Gilde Amersfoort;;;;1;;1
Stichting Gilde Den Haag;;;;1;;1
Stichting Grote Kerk Naarden;;;;2;;2
Stichting Haagse Willemsvaart;;;;1;;1
Stichting het Rijksmuseum;;;;1;;1
Stichting Hooggevoelig heel gewoon;;;;1;;1
Stichting I.Turn.IT;2;;;;;2
Stichting IT-Arbeidsmarkt;;;;;1;1
Stichting Klinkend Erfgoed Nederland;;;;1;;1
Stichting Limburgs Museum;;;;1;;1
Stichting Maria Austria Instituut;;;;;1;1
Stichting Marketing Groningen;;;2;;;2
Stichting Matrijs;1;;;;1;1
Stichting Migratierecht Nederland;1;;;;;1
Stichting MOVISIE;1;;;;;1
Stichting Muziekimpresariaat Conservatorium;;;;1;;1
Stichting Nationaal Onderwijs Museum;1;;;2;;2
Stichting Nederlands Fotomuseum;;;;;1;1
Stichting O.R.S. Lek en Linge;;;;;1;1
Stichting Open State Foundation;2;;;;;2
Stichting Reuvens;;;;1;;1
Stichting Ruimte Denken;;;;;1;1
Stichting Schrijvers School Samenleving;;;;;1;1
Stichting Sociaal Fonds Nederlandse Podia;;;;;1;1
Stichting Spaarnestad Photo;1;;;;1;1
Stichting Vakblad Natuur Bos Landschap;;;;;1;1
Stichting voor Surinaamse Genealogie;1;;;;;1
Stichting Vrienden van de Onderwijsinspectie;;;;1;;1
Stichting Vrienden Van De Zeeuwse Bibliotheek;;;;;1;1
Stichting Zuiderzeemuseum;;;;1;;1
Studie en beroepsloopbaan;;;;;1;1
Studio Buitenhof 5;;;;;2;2
Studio Flek;;;;;2;2
Studio Geert Gratama;;;;;1;1
Studio Hamerhaai;;1;;;;1
StudioFG;;;;;2;2
Sue McDonnell Translation;;1;;;1;2
Super Ambachtelijk;;;;1;;1
Superior B.V.;1;;;;;1
Surya Restaurant Utrecht B.V.;;;;2;;2
Susan Strampel Grafisch Ontwerp;;;;;1;1
't Wapen van Stellendam;;;;1;;1
T. R. Ten Brink;;;;1;;1
T2 Tekst & Advies;;;;;1;1
Taartenwinkel.nl B.V.;;1;;;;1
Technoprint B.V.;;1;;;;1
Tegenwind Grafisch Ontwerpburo;;;;;2;2
Teka Groep B.V.;;;;2;2;2
Tekst & Speech Tekstbureau Jolly Kerkstra;;1;;;1;1
tekst en van weeren;;;;;1;1
Teksten voor musea;;;;;1;1
Telegraaf Media Groep N.V.;1;;;;;1
Ten Brink Offset B.V.;1;;;;;1
Ten Brink Uitgevers B.V.;1;;;;;1
The Chain Connection B.V.;;;;1;;1
The Cold Call Company;;;;1;1;1
The Economist;1;;;;;1
The Green Land B.V.;;;;2;;2
The Missing Link B.V.;;;;1;;1
Thea Kielman AutocueDiensten;;;;;1;1
Theaterbureau De Mannen;;;;1;;1
Theo Barten;;;;;1;1
ThiemeMeulenhoff B.V.;1;;;;;1
