;8000 - Communicatie overig;8110 - Vakliteratuur, abonnementen en overige informatie;8310 - Relatiegeschenken (niet voor eigen personeel);8410 - Evenementen en congresorganisatie;8510 - Diversen communicatie;Eindtotaal
anoniem_DEF_1240;;;1;;;1
anoniem_DEF_1242;;;;1;;1
anoniem_DEF_1245;;;;;1;1
anoniem_DEF_1258;;;1;;;1
anoniem_DEF_1261;;;1;;;1
anoniem_DEF_1262;;;1;;;1
anoniem_DEF_1263;;;;;1;1
anoniem_DEF_1266;;;;1;;1
anoniem_DEF_1267;;;1;;;1
anoniem_DEF_1270;;;;;1;1
anoniem_DEF_1288;;;1;;;1
anoniem_DEF_1300;;;1;;;1
anoniem_DEF_131;;;;;3;3
anoniem_DEF_1313;;;1;;;1
anoniem_DEF_1324;;;1;;;1
anoniem_DEF_1331;;;1;;;1
anoniem_DEF_1332;;;1;;;1
anoniem_DEF_1335;;;1;;;1
anoniem_DEF_1339;;;2;;;2
anoniem_DEF_1344;;;;;1;1
anoniem_DEF_1346;;;1;;;1
anoniem_DEF_1347;;;1;;;1
anoniem_DEF_1348;;;1;;;1
anoniem_DEF_14;;;;1;;1
anoniem_DEF_141;;;;1;;1
anoniem_DEF_145;;;;;2;2
anoniem_DEF_149;;;1;;;1
anoniem_DEF_159;;;1;;;1
anoniem_DEF_16;;;;1;;1
anoniem_DEF_164;;;1;;;1
anoniem_DEF_173;;;;;1;1
anoniem_DEF_178;;;;3;;3
anoniem_DEF_181;;;1;;;1
anoniem_DEF_182;;;;2;;2
anoniem_DEF_183;;;;;1;1
anoniem_DEF_185;;;1;;;1
anoniem_DEF_192;;;1;;;1
anoniem_DEF_193;;;1;2;;2
anoniem_DEF_206;;1;;;;1
anoniem_DEF_211;;;1;;;1
anoniem_DEF_212;;;1;;;1
anoniem_DEF_22;;;;;1;1
anoniem_DEF_222;;;;;1;1
anoniem_DEF_225;;;;1;;1
anoniem_DEF_234;;;;1;;1
anoniem_DEF_238;;;;;1;1
anoniem_DEF_240;;;;;1;1
anoniem_DEF_243;;1;;;;1
anoniem_DEF_251;;;;;2;2
anoniem_DEF_26;;;1;;;1
anoniem_DEF_262;;;1;;;1
anoniem_DEF_263;;;1;;;1
anoniem_DEF_264;;;;;1;1
anoniem_DEF_268;;;;2;;2
anoniem_DEF_279;;;;1;;1
anoniem_DEF_280;;;1;;;1
anoniem_DEF_295;;;;;1;1
anoniem_DEF_297;;;;1;;1
anoniem_DEF_305;;;;;1;1
anoniem_DEF_317;;;;;1;1
anoniem_DEF_328;;;;1;;1
anoniem_DEF_33;;;1;;;1
anoniem_DEF_330;;;1;;;1
anoniem_DEF_333;;;;;1;1
anoniem_DEF_334;;;;;2;2
anoniem_DEF_360;;;1;;;1
anoniem_DEF_38;;;;1;;1
anoniem_DEF_383;;;;1;;1
anoniem_DEF_387;;;1;;;1
anoniem_DEF_388;;;;;1;1
anoniem_DEF_394;;;;2;1;2
anoniem_DEF_397;;;;;2;2
anoniem_DEF_400;;;1;;;1
anoniem_DEF_401;;;;1;;1
anoniem_DEF_406;;;;;1;1
anoniem_DEF_414;;;;2;1;2
anoniem_DEF_42;;;;1;;1
anoniem_DEF_422;;;1;;;1
anoniem_DEF_429;;;;1;1;2
anoniem_DEF_434;;;;;1;1
anoniem_DEF_435;;;;;1;1
anoniem_DEF_440;;;;2;;2
anoniem_DEF_446;;;;;1;1
anoniem_DEF_45;;;;;1;1
anoniem_DEF_451;;;;2;;2
anoniem_DEF_455;;;1;;;1
anoniem_DEF_466;;;;;1;1
anoniem_DEF_47;;;1;;;1
anoniem_DEF_473;;;;;2;2
anoniem_DEF_485;;;3;;;3
anoniem_DEF_505;;;;1;;1
anoniem_DEF_513;;;;;1;1
anoniem_DEF_514;;;;;1;1
anoniem_DEF_519;;;;;1;1
anoniem_DEF_523;;;;;1;1
anoniem_DEF_525;;;;;1;1
anoniem_DEF_528;;;;;1;1
anoniem_DEF_530;;;;;1;1
anoniem_DEF_547;;;1;;;1
anoniem_DEF_551;;;1;;1;1
anoniem_DEF_552;;;;1;;1
anoniem_DEF_560;;;;1;;1
anoniem_DEF_563;;;;;1;1
anoniem_DEF_568;;;1;;;1
anoniem_DEF_592;;;1;;;1
anoniem_DEF_600;;;1;;;1
anoniem_DEF_604;;;;1;1;2
anoniem_DEF_607;;;;2;;2
anoniem_DEF_608;;;1;;;1
anoniem_DEF_611;;1;;;;1
anoniem_DEF_614;;;1;;;1
anoniem_DEF_619;;1;;;;1
anoniem_DEF_633;;;;;1;1
anoniem_DEF_646;;;1;;;1
anoniem_DEF_650;;;1;;;1
anoniem_DEF_666;;;;;1;1
anoniem_DEF_667;;;;2;;2
anoniem_DEF_668;;;;1;;1
anoniem_DEF_670;;;;;1;1
anoniem_DEF_672;;;1;;;1
anoniem_DEF_676;;;;;1;1
anoniem_DEF_677;;;;5;1;5
anoniem_DEF_678;;;;;1;1
anoniem_DEF_686;;;;;1;1
anoniem_DEF_687;;;1;;;1
anoniem_DEF_691;;;;;2;2
anoniem_DEF_696;;;1;;;1
anoniem_DEF_705;;;;1;;1
anoniem_DEF_707;;;1;;;1
anoniem_DEF_71;;;;;1;1
anoniem_DEF_722;;;1;;;1
anoniem_DEF_736;;;;1;;1
anoniem_DEF_737;;;;;1;1
anoniem_DEF_742;;;1;;;1
anoniem_DEF_743;;;;;1;1
anoniem_DEF_754;;;;;2;2
anoniem_DEF_755;;;;1;;1
anoniem_DEF_758;;;;1;;1
anoniem_DEF_76;;;1;;;1
anoniem_DEF_765;;;;;1;1
anoniem_DEF_766;;;;;1;1
anoniem_DEF_769;;;1;;;1
anoniem_DEF_771;;;1;;;1
anoniem_DEF_775;;;;1;;1
anoniem_DEF_779;;;;;1;1
anoniem_DEF_780;;;;1;1;1
anoniem_DEF_784;;;1;;;1
anoniem_DEF_785;;;1;;;1
anoniem_DEF_79;;;;;1;1
anoniem_DEF_8;;;1;;;1
anoniem_DEF_808;;;;;1;1
anoniem_DEF_81;;;;1;;1
anoniem_DEF_812;;;;1;;1
anoniem_DEF_840;;;2;;;2
anoniem_DEF_841;;;1;;;1
anoniem_DEF_853;;;;4;;4
anoniem_DEF_868;;;1;;;1
anoniem_DEF_870;;;1;;;1
anoniem_DEF_871;;;1;;;1
anoniem_DEF_874;;;;1;;1
anoniem_DEF_894;;;1;1;;1
anoniem_DEF_90;;;;;1;1
anoniem_DEF_904;;;;1;;1
anoniem_DEF_905;;;1;;;1
anoniem_DEF_930;;;;;1;1
anoniem_DEF_931;;;;;1;1
anoniem_DEF_932;;;1;;;1
anoniem_DEF_936;;;1;;;1
anoniem_DEF_937;;;;1;;1
anoniem_DEF_939;;;;;1;1
anoniem_DEF_941;;;1;;;1
anoniem_DEF_942;;;;;1;1
anoniem_DEF_949;;;1;;;1
anoniem_DEF_950;;;2;;;2
anoniem_DEF_952;;;1;;;1
anoniem_DEF_961;;;;;2;2
anoniem_DEF_964;;;;1;;1
anoniem_DEF_967;;;1;;1;1
anoniem_DEF_983;;;1;;;1
anoniem_DEF_984;;;;1;;1
anoniem_DEF_99;;;;1;;1
anoniem_DEF_993;;;1;;;1
anoniem_DEF_999;;;2;;;2
Antiquariaat Minerva;;;1;;;1
APP Nederland V.O.F.;;;;;1;1
APS Squadron Patches B.V.;;1;1;;;1
Arendse Health Club Dongen B.V.;;;;1;;1
Arnhemse Borduurcentrale B.V.;;;;;1;1
Artiestenverloningen B.V.;;;;;1;1
Artifac B.V.;;;;;1;1
Artihove Regina B.V.;;;1;;;1
ASGN Beveiligingstechniek B.V.;;;;;1;1
ASP Adventure B.V.;;;;1;;1
AtotheC Music B.V.;;;;2;;2
Audion Elektro B.V.;;;1;;;1
Automobielbedrijf Stoomberg B.V.;;;;;1;1
AXA;;;1;;;1
Axitraxi B.V.;;;1;1;;1
B.V. Algemeen Nederlands Persbureau ANP;;;;;1;1
Bakker Groesbeek V.O.F.;;;;1;;1
Bakker Magnetics B.V.;;1;;;;1
Baptist IJzerwaren & Gereedschappen;;;1;;;1
Bar-Restaurant de Koekoek;;;;1;;1
Bassmaniac;;;;;1;1
Beehive Productions;;;1;;;1
Beker- en Biljarthuis Lambregts V.O.F.;;;1;;;1
BelevenisTafel;;;1;;;1
Berk Music Productions B.V.;;;;1;;1
Besselink Licht Import B.V.;;;1;;;1
Bijou Moderne B.V.;;;1;;;1
bijzonderdruk B.V.;;;1;;1;1
Bison Bowling;;;;1;;1
Blikvanger;;;;;1;1
BLOEM!;;;1;;;1
Bloembinderij De Nobel;;;1;;;1
Bloembinderij Koningskruid;;;1;;;1
Bloemboetiek Dille;;;1;;;1
Bloemen- en Plantenhandel Van Belzen B.V.;;;1;;;1
Bloemenboutique Nicole V.O.F.;;;1;;;1
Bloemenkas Eindhoven;;;1;;1;1
Bloemenmagazijn Johan;;;1;;;1
Bloemenshop Best;;;1;;;1
Bloemisterij Gaal;;;1;;;1
Bloemisterij Labberton B.V.;;;1;;;1
Bloemsierkunst 'Baccara';;;;;1;1
Bloemsierkunst van Well;;;1;;;1
BloemZ;;;1;;;1
BLOSSOM bloemisterij;;;1;;;1
Boardroom@Crisis B.V.;;;;2;;2
Bobbe International B.V.;;5;;;;5
Bob's Bloemen en Zo;;;1;;;1
Boeketterie Binnenweg;;;1;;;1
Boels Verhuur;;;;;2;2
Boels Verhuur B.V.;;;;2;;2
Boessenkool Verhuur B.V.;;;;1;;1
Bogart B.V.;;;2;;;2
bol.com B.V.;;;3;;;3
Bookx B.V.;;;;1;;1
Boom uitgevers Amsterdam B.V.;;;1;;;1
Boomsma Distilleerderij/Wijnkoperij B.V.;;;1;;;1
Bos Vlaggen B.V.;;;1;;;1
Botenverhuur De Rijnstroom;;;;1;;1
Bourgonje Geluid- en Lichtservice B.V.;;;;2;;2
Bouwmaat Nederland B.V.;;;1;;;1
Bovomed;;;1;;;1
BPRvisie Rental Solutions;;;;1;;1
Brandprevent Applications B.V.;;;1;;;1
BRASH esports B.V.;;;;2;;2
Brasserie 155 B.V.;;;1;;;1
Brasserie Beeckestijn;;;1;;;1
Brasserie Vuur B.V.;;;;1;;1
BraVoice;;;;;1;1
Bredemeijer Group B.V.;;;1;;;1
Brouwerij d'n Drul & Stollenberg B.V.;;;1;;;1
Bruna B.V.;;;1;;;1
BS Productions;;;;;1;1
Buggy Bar;;;;1;;1
Buitenomme;;;1;;;1
Bukman Management;;;1;;;1
Bullit House;;;;1;;1
Bureau Zuidema B.V.;;;;;1;1
Buro voor Muziek;;;;;1;1
BURO2010 B.V.;;;;2;;2
Business Fashion;;;1;;;1
Businessbookers B.V.;;;;1;;1
Buxus Bloemenatelier;;;1;;;1
BuzzMaster B.V.;;;;1;;1
By Wemke;;;1;;;1
Cable Waterskicenter Brabant B.V.;;;;1;;1
Cadeau Concepten B.V.;;;1;;;1
Café Restaurant van Puffelen;;;;1;;1
Café-Restaurant De Westerbouwing B.V.;;;1;;;1
Camera Tools B.V.;;;1;;;1
CameraNU.nl;;;;;1;1
Camina;;;;2;;2
Care4More B.V.;;;1;;;1
Cees Flowershop;;;1;;;1
Centralpoint Nijmegen B.V.;;;2;;;2
Challenge Coins;;;1;;;1
Charelli B.V.;;;1;;;1
Charge to go B.V.;;;1;;;1
C-It Collect. Information Technology V.O.F.;;;1;;;1
City Outdoor Signs B.V.;;;1;;;1
Click Animated;;;;;1;1
CN Trading;;;1;;;1
Coda B.V.;;;;;1;1
Coffee Fellows Bene B.V.;;;;1;;1
Collé Sittard Beheer B.V.;;;;1;;1
Collé Sittard Machinehandel B.V.;;;;;1;1
Collé Sittard Verhuur B.V.;;;;;2;2
College of Multimedia;;;;;1;1
Color Wood Holding B.V.;;;;;7;7
Compu'Train;;;;;1;1
Con Fuego Management & Boekingen;;;;;1;1
Cookson Drijfhout B.V.;;;1;;;1
Coolblue B.V.;;1;;;1;1
Coolworld Nederland B.V.;;;;3;;3
Creativity meets Results;;;;1;;1
CRF International B.V.;;;;;2;2
Cruzin;;;;;1;1
Customiz;;;;;1;1
Cycle Center Valkenburg;;;;1;;1
Dagvoorzitter.nl;;;;1;;1
Dakota Flight Cases;;;;1;;1
De Avontuurfabriek Onroerend Goed B.V.;;;;1;;1
De Beurs;;;1;;;1
De Bloemerije;;;1;;;1
De Blomster;;;1;;;1
De Boer Structures B.V.;;;;;7;7
De Dames IJssalon & Chocolaterie;;;1;;;1
De Efteling B.V.;;;1;;;1
De Fazant;;;1;;;1
De Fleurist;;;1;;;1
De Gelagkamer;;;1;;;1
De Glasgraveur;;;1;;;1
De Haas Verhuur B.V.;;;;1;;1
De Hooge Vuursche B.V.;;;;2;;2
De Kampanje;;;;2;1;2
De Lisdodde;;;1;;;1
De Natris Erfgoedprojecten;;;1;;;1
de Persgroep Nederland B.V.;;;1;;;1
De Politieke Dimensie B.V.;;;1;;;1
De Princen Keet;;;1;;;1
De Steenhouwerij;;;1;;;1
De Strand Gans;;;;1;;1
De Tuinderij;;;;2;;2
De Utrechtse Haven B.V.;;;;1;;1
De Waterreus;;;;1;;1
De Zoetige Taart;;;1;;;1
De Zwaan 1623;;;1;;;1
Debatacademie;;;1;;;1
Decathlon Netherlands B.V.;;;1;;;1
Defabrique Evenementen B.V.;;;;1;;1
Delta International Promotioneel B.V.;;;1;;1;1
Delta International Uniformuitrustingen B.V.;;;1;;;1
Dementie-winkel.nl B.V.;;;1;;;1
Den Haag Centrum v. Strategische Studies B.V.;;;1;;;1
Design Solutions;;;;;1;1
Deventrade B.V.;;;1;;;1
Dickens Horecabedrijven B.V.;;;1;;;1
Diebels Relatiegeschenken B.V.;;;1;;;1
Dijkgraaf;;;1;;;1
Diner Thuis;;;;1;;1
Discountoffice.nl B.V.;;1;;;;1
Ditverzinjeniet.nl;;;1;;;1
DJ-Matic B.V.;;;;;;
Dokkumer Vlaggen Centrale B.V.;;;;;1;1
Dolfi Laser;;;1;;;1
Dolphin Maritime Netherlands B.V.;;;;1;;1
Dopper;;;1;;;1
Douwe Egberts Horeca;;;;1;;1
DPI Animation House B.V.;;;;;3;3
DRAGT;;1;;;;1
Drinxx Groothandel;;;1;;;1
DRU Industriepark Horeca B.V.;;;1;;;1
Drukbedrijf.nl B.V.;;;1;;1;2
Druktemaker Media;;;;;1;1
Duckville;;;1;;;1
Dutch Promo Group B.V.;;;;;1;1
Dutch Rush Productions;;;;1;;1
Eeringa V.O.F.;;;;1;;1
Eerste Hulp Bij Ongelukken Afdeling Arnhem;;;1;;;1
Eijsink Afrekensystemen B.V.;;;1;;;1
Emblemen.net;;;1;;;1
Engelen Hekwerken B.V.;;;;3;;3
Epidemic Sound, Netherlands Branch;;;;;1;1
Erg Leuk!;;;1;;;1
Eriks B.V.;;;;1;;1
ERWU-projects B.V.;;;1;;;1
Escape Room Designer B.V.;;;;2;;2
ESVSHOP B.V.;;;;;1;1
Euro Drone Inspections B.V.;;;1;;;1
Euro Entertainment B.V.;;;;2;;2
Euro Events B.V.;;;1;;;1
Euro Eventservices B.V.;;;;1;;1
Event Medical Service B.V.;;;;2;;2
every media;;;;;2;2
Expert Dieren B.V.;;;1;;;1
Exploitatie Horeca De Kring B.V.;;;;1;;1
Exploitatie Maatschappij Komfort B.V.;;;1;1;1;1
Exploitatiemij. Grand Hotel Karel V B.V.;;;1;;;1
Explora Werkplaatsinrichting B.V.;;1;;;;1
Exquizzit;;;;1;;1
F & L Powerrental II B.V.;;;;3;;3
Fade Out;;;;1;;1
FEMZ;;;;1;;1
Figi Groep B.V.;;;;1;;1
Filmolux Benelux B.V.;;;1;;;1
Fine Tune Music;;;;;1;1
Firma De Jong;;;1;;;1
Fisher Emergo B.V.;;;1;;;1
Fjuze B.V.;;;;5;1;5
Fleuri Bloemen;;;1;;;1
Flint theater, evenementen en congressen N.V.;;;;2;;2
Florisgifts B.V.;;;1;;;1
Flowershop Goes;;;;;1;1
FlyermanNL B.V.;;;1;;;1
Fofic;;;;;3;3
food for sport;;;1;;;1
FoodService Instituut Nederland (FSIN);;1;;;;1
Fortune Factory B.V.;;;1;;;1
Fred's Bloementeam;;;1;;;1
Fuse Business;;;;;1;1
Gall & Gall;;;1;;;1
Games & Learning;;;;;1;1
GH+O;;;1;;;1
GJD Horeca B.V.;;;;;1;1
GJM Communicatie B.V.;;;;;1;1
Glascom Showcases B.V.;;;2;;;2
go4workshops.nl;;;;1;;1
Goedman Kunstenaarsbenodigdheden;;;;;1;1
Golfpark De Haenen B.V.;;;;1;;1
Golfschool de Haar;;;;1;;1
Good Work Company B.V.;;;;1;;1
Goothold B.V.;;;;;1;1
Gorkink Natuurlijk;;;1;;;1
Gotcha;;;;1;;1
grafischburo ED;;;1;;;1
Grand Cafe Brasserie Brocante;;;1;;;1
Gravure Den Helder;;;1;;;1
Greetz B.V.;;;;;;
Groeneveld Horeca B.V.;;;1;;;1
GSupport;;;1;;;1
Gult;;;;;1;1
Habermehl;;;1;;;1
Habitat Solutions B.V.;;;1;;;1
Hamilton Tobacco & Gifts;;;1;;;1
Handelsmaatschappij Goos B.V.;;;1;;;1
Hanos Eindhoven B.V.;;;1;;;1
Hardeman Horeca;;;;1;;1
Hart van Holland B.V.;;;;6;;6
Harting-Bank B.V.;;1;;;;1
HBB Consulting B.V.;;;1;;;1
Heemskerk Bloemisten;;;1;;;1
Heering Office;;;;;1;1
Heineken Nederland B.V.;;;;1;;1
Héman Verhuurservice B.V.;;;1;2;;2
Hemelrijk;;;1;;;1
Heraldic United;;;1;;;1
Heras Mobile Fencing & Security;;;;2;;2
Herten en Wilde Zwijnen B.V.;;;1;;;1
Hesbak 2 B.V.;;;1;;;1
Het Nederlandse Rode Kruis;;;1;1;;1
Het Scheepvaartmuseum Enterprise B.V.;;;;1;;1
Hewsprint Textieldrukkerij;;;1;;;1
Hilda B.V.;;;;1;;1
HIM - Hoveling Interim Management;;;;1;;1
Hip Innovative Party Events (HIP events);;;;2;;2
Historiek;;;1;;;1
Hobby Atelier Migo;;;;;1;1
Hoek-Klijn Verhuur;;;1;;;1
Hoffman Outdoor Media B.V.;;;1;;;1
Hofstad Events B.V.;;;;1;;1
Hogenkamp Klompen en Souvenirs B.V.;;;1;;;1
Holland Evenementen Groep B.V.;;;;1;;1
Hommes;;;1;;;1
Honebecke Gr./Fruit thodn De Gezonde Apoteker;;;1;;;1
Horeca Cacaofabriek B.V.;;;1;;;1
Horeca Energiehuis B.V.;;;1;;;1
Hotel Ampt van Nijkerk B.V.;;;;1;;1
Hotel De Gulden Leeuw;;;1;;;1
Hotel New York B.V.;;;1;;;1
Hotel-Café-Restaurant 'De Kroon';;;1;;;1
Hotel-Café-Restaurant 'West-End' Expl. B.V.;;;1;;;1
Hotel-Restaurant 'Oud London';;;1;;;1
House of Bloomz;;;1;;;1
House of Lords B.V.;;;;2;;2
House of Sports;;;;2;;2
Houthandel Looijmans B.V.;;;;;1;1
HowAboutYou B.V.;;;;;1;1
Human Dimensions B.V.;;;;1;2;2
Hunter;;;1;;;1
ID Wear B.V.;;;1;;;1
Ideeaanzee B.V.;;;;;2;2
Idem Dito Reclame;;;1;;;1
Iedereen een blije baan!;;;1;;;1
Igo-Post B.V.;;;1;;;1
IJsselhallen Zwolle;;;;2;;2
Imaging People;;;1;;;1
Imaging The Light;;;;;1;1
Imhotep Promotions B.V.;;;1;;;1
Ingressus B.V.;;2;;;;2
Innosell;;;1;;;1
Innosell Storage & Hangingsystems B.V.;;;1;;;1
Interartists Amsterdam;;;;;1;1
Interlabshop B.V.;;;1;;;1
Internedservices;;1;;;;1
Intersafe Netherlands B.V.;;;1;;;1
Jacquart Shipping B.V.;;;1;;;1
Ja-maar® B.V.;;;;1;;1
JD Productions;;;;;1;1
Jeroen;;;;1;;1
Joewin Inc.;;;1;;;1
Judo Yushi;;;1;;;1
Juffrouw Jannie;;;1;;;1
Jump -O- Lux B.V.;;;1;;;1
K.G. Business Support;;;;;1;1
Kamera Express;;;;;1;1
KamerKook kookworkshop & catering;;;1;;;1
Karwansaray B.V.;;;1;;;1
Kbaal B.V.;;;;;1;1
Keijsers Muziek;;;;;1;1
Kemperman Restauratie;;;1;;;1
Keynote Consultancy B.V.;;;1;;;1
Kicks Promo B.V.;;;1;;;1
Kienhuis Uitvaartverzorging B.V.;;;1;;;1
Kitlv Press v. Inst. Taal-, Land- en Volkenk.;;;1;;;1
Klimcentrum Nijmegen B.V.;;;;1;;1
KM Nederland B.V.;;;;2;;2
Kobalt Digital B.V.;;;1;;;1
Koninklijke Begeer B.V.;;;2;;;2
Koninklijke Burgers' Zoo;;;;1;;1
KPN Consulting B.V.;7;;;;;7
Kwikkers Design;;;;;1;1
L.M.H. Musicus;;;;;1;1
La Boheme B.V.;;;1;;;1
La Casserole B.V.;;;2;;;2
Lalleman 3D Visuals;;;;;1;1
Lavista Relatiegeschenken B.V.;;;1;;;1
Leeskring en Videoshop Demob B.V.;;1;;;;1
Leunge Metaalrestauratie;;;1;;;1
Lex Lijstenmakerij;;;1;;;1
L'Exception B.V.;;;1;;;1
Life Upgrader;;;;2;;2
Line Up Events;;;;4;;4
lizacompany;;1;;;;1
Llanfarian Border Collies;;;;1;;1
LM Publishers;;;1;;;1
Lobbes Speelgoed B.V.;;;1;;;1
Loetje aan 't IJ B.V.;;;;1;;1
Loyalty Makers B.V.;;;4;;;4
LTC-Leiden B.V.;;;1;;;1
Luttikhuis Music;;;;2;;2
Machinefabriek Boessenkool B.V.;;;;1;;1
Maepa;;;1;;;1
Mag. 45 B.V.;;;1;;;1
Magic Vision;;;;1;;1
Mainpress B.V.;;7;;;;7
Manege Reigershof;;;;1;;1
Manutan B.V.;;1;1;;;1
Marfo B.V.;;;;;;
Margrietbloembinders B.V.;;;1;;;1
Mariënhof Amersfoort B.V.;;;;2;;2
Marinjo B.V.;;;1;;;1
MARK IT ZERO;;;1;;;1
Marsman h.o.d.n. The Read Shop Express;;1;;;;1
Mascha Media;;;;;1;1
MATinspired B.V.;;;1;;;1
Mawi;;;;2;;2
MC4U B.V.;;;1;;;1
Mc-Ent Management;;;;2;;2
Meantone;;;;;1;1
Mediahuis Nederland B.V.;;;;;1;1
MEProductions;;;;1;;1
Merkala;;;1;;;1
Merkenbureau Knijff & Partners B.V.;;;;;1;1
Mevrouw Vijf Producties;;;1;;;1
MeyerBergman Erfg. Made by Holland Expl. B.V.;;;;1;;1
MFC Kloosterhof;;;;1;;1
Mier Entertainment;;;;1;;1
Mitra Rialto Slijterijen B.V.;;;1;;;1
MK2 Audiovisueel B.V.;;;;1;;1
Moesson Tjalie Robinson;;;1;;;1
Monsterevents;;;;1;;1
Mooi Creatie;;;1;;;1
Moois van Mooy Bloembindersatelier;;;1;;;1
More Sophisticated Control Beheer B.V.;;;1;;;1
Mosmans & Lans;;;1;;;1
Motif Music;;;;;1;1
MR Fotografie;;;1;;;1
Museum Catering Den Haag B.V.;;;3;2;;3
Music Dept.;;;;1;;1
Muta Sport Nederland B.V.;;;1;;;1
Mvie Geluidssystemen;;;1;;;1
Mynd Media;;;1;;;1
Navingo B.V.;;;;2;;2
NDC mediagroep B.V.;;;1;;;1
NEDFAC B.V.;;;;;1;1
Nieuw Amsterdam Horeca B.V.;;;1;;;1
Nilfisk B.V.;;1;;;;1
Nivel B.V.;;;;1;;1
NMP;;;;;1;1
Noormannen B.V.;;;1;;;1
NORVALD;;;1;;;1
Noyz Boyz Advanced Audio Services B.V.;;;;;1;1
NRC Handelsblad Weekeditie voor buitenland;;;;;1;1
NS Stations B.V.;;;;2;;2
Nummer 14;;;;1;;1
Nzod Organisaties en Verhuur;;;;;1;1
OBI4wan B.V.;;;1;;;1
Odin grafisch ontwerp;;;;;1;1
OHK Verzekeringen B.V.;;;;;1;1
Omnicom Public Relations Group B.V.;;;;;2;2
Omnisign B.V.;;;1;;;1
OnlyHuman Groep B.V.;;;;;2;2
Open Golf Zandvoort B.V.;;;;;1;1
Opus 33 Music;;;;1;;1
Orange Otters;;;;;1;1
Orcavoice B.V.;1;;;;;1
Ouderenthuiswinkel Zus Mies;;;1;;;1
Outdoor Point;;;;1;;1
Ovinge Fotografie;;;1;;;1
Party Centrum Duinoord;;;;1;;1
PCextreme B.V.;;;;;1;1
Pennen Party World;;1;;1;;1
People & Print Group;;1;1;;;1
Perpetual Plastic B.V.;;;;1;;1
Pher Laser Image;;;1;;;1
Phoenix Advisory;;;1;;;1
Pii B.V.;;;;1;;1
Plane Tree;;;1;;;1
Plezant Producties;;;;1;;1
Pluk Bloemen;;;1;;;1
postema-media;;;1;;;1
Presentator op Maat;;;;1;;1
Preston Palace B.V.;;;;2;;2
Primera Van den Berg;;;1;;;1
Primera Van Elzakker;;;1;;;1
Production Partners B.V.;;;;2;;2
Profile Equipment B.V.;;;;;1;1
Pro-fundum Trainingen, Opleidingen & Advies;;;;;1;1
Projectcolor B.V.;;;;;1;1
Prom'es B.V.;;;1;;;1
Promio;;;1;;;1
Promoboer B.V.;;;1;;;1
Promofit;;;1;;;1
Publi House Publishers B.V.;;;1;;;1
Puur Amsterdam;;;;1;;1
Quaintrelle;;;;1;;1
