FID,id,dienst,objecttype,catalogusn,herkomst,omschrijvi,catalgnaam,se_anno_cad_data,gdb_geomattr_data,shape
historische_geografie.36,71,Zeeland,Historische geografie,G31, , ,Verdronken land van Saeftinge,,,POINT (69620.43400000036 373845.92599999905)
historische_geografie.37,72,Zeeland,Historische geografie,G32, , ,Hollestellen en dobben,,,POINT (67331.54300000146 407896.0769999996)
historische_geografie.38,73,Zeeland,Historische geografie,G33, , ,Moernering,,,POINT (59046.63699999824 389946.3759999983)
historische_geografie.39,74,Zeeland,Historische geografie,G34, , ,Fort Rammekens,,,POINT (34535.8040000014 386356.9829999991)
historische_geografie.40,75,Zeeland,Historische geografie,G35, , ,Eendenkooi,,,POINT (62233.31700000167 406146.5610000007)
historische_geografie.41,82,Noord-Brabant,Historische geografie,G37, , ,Kampontginningen,,,POINT (151326.18499999866 401490.94200000167)
historische_geografie.42,81,Noord-Brabant,Historische geografie,G36, , ,Dommel,,,POINT (152750.02699999884 399468.3759999983)
historische_geografie.43,83,Noord-Brabant,Historische geografie,G38, , ,Overlaat,,,POINT (135563.49399999902 411754.1279999986)
historische_geografie.44,84,Noord-Brabant,Historische geografie,G39, , ,Schans bij Made,,,POINT (113731.06300000101 408768.68400000036)
historische_geografie.45,85,Noord-Brabant,Historische geografie,G40, , ,Productiebos,,,POINT (196938.2899999991 397767.6649999991)
