OBJECTID,BEHEERCODE,VERHARDINGSGROEP,ONDERDEELTYPE,VERHARDINGSSOORT,OPPERVLAKTE,BEHEEROBJECTTYPE,WEGTYPE,GEBRUIKSFUNCTIE,BEHEERDER,GEBIED,WIJK,STRAAT,AANLEGJAAR,SHAPESTArea,SHAPESTLength
11,00451/17/506,Gebakken steen,In- uitrit,Klinker keiformaat,180.23,in- uitrit links,Weg in woongebied,woonstraat/erf (verblijfsgeb.),Gemeente Arnhem,Zuid-Oost (Malburgen),Malburgen Oost (Zuid),Keurvorstlaan,2012,180.228429,235.012681912683
12,01267/10/507,Betonsteen,Fietspad,Dubbelklinker 20x20,241.48,fietspad rechts,Fietspad,buurtweg (verblijfsgebied),Gemeente Arnhem,Zuid-Oost (Malburgen),Malburgen Oost (Zuid),Eimerssingel-Oost,2015,241.47901685,172.479618647399
13,01943/30/501,Betonsteen,Parkeervak,Betonstraatstenen,18.46,parkeervak rechts,Weg in woongebied,woonstraat/erf (verblijfsgeb.),Gemeente Arnhem,Zuid-West (Schuytgraaf/Elderveld),Schuytgraaf,Lokaalspoor,2009,18.460282,24.9539069310878
14,01943/30/502,Betonsteen,Parkeervak,Betonstraatstenen,39.31,parkeervak rechts,Weg in woongebied,woonstraat/erf (verblijfsgeb.),Gemeente Arnhem,Zuid-West (Schuytgraaf/Elderveld),Schuytgraaf,Lokaalspoor,2009,39.3117135,49.7222036197509
15,01943/30/2,Betonsteen,Hoofdrijbaan,Betonsteen keiformaat,17.97,hoofdrijbaan,Weg in woongebied,woonstraat/erf (verblijfsgeb.),Gemeente Arnhem,Zuid-West (Schuytgraaf/Elderveld),Schuytgraaf,Lokaalspoor,2009,17.9706154,20.9330380715181
16,00373/110/508,Betontegels,Trottoir,Betontegels,133.33,trottoir links,Weg in woongebied,2e orde Gebiedsontsluitingsweg,Gemeente Arnhem,Zuid-Oost (Malburgen),Malburgen Oost (Zuid),Huissensestraat,2011,133.33202424,144.205275970977
17,00062/20/524,Overig,Voetpad,Halfverhard,71.61,voetpad,Weg in woongebied,woonstraat/erf (verblijfsgeb.),Gemeente Arnhem,Zuid-Oost (Malburgen),Malburgen Oost (Zuid),Van Berkumstraat,2017,71.60626418,76.0392195774023
18,01074/20/516,Betonsteen,Parkeervak,Betonsteen keiformaat,89.11,parkeervak links,Weg in woongebied,woonstraat/erf (verblijfsgeb.),Gemeente Arnhem,Zuid-Oost (Malburgen),Malburgen Oost (Zuid),Zwanebloemlaan,2011,89.10875,90.0917645653136
19,01074/20/515,Betonsteen,Parkeervak,Betonsteen keiformaat,83.33,parkeervak links,Weg in woongebied,woonstraat/erf (verblijfsgeb.),Gemeente Arnhem,Zuid-Oost (Malburgen),Malburgen Oost (Zuid),Zwanebloemlaan,2011,83.3315725,88.4051252797219
20,01074/20/513,Betonsteen,Drempel,Elementen verharding,17.43,drempel,Weg in woongebied,woonstraat/erf (verblijfsgeb.),Gemeente Arnhem,Zuid-Oost (Malburgen),Malburgen Oost (Zuid),Zwanebloemlaan,2011,17.430917,16.9796921943647
21,01074/20/512,Betonsteen,Drempel,Elementen verharding,16.36,drempel,Weg in woongebied,woonstraat/erf (verblijfsgeb.),Gemeente Arnhem,Zuid-Oost (Malburgen),Malburgen Oost (Zuid),Zwanebloemlaan,2011,16.360545,16.4958794631346
22,01404/20/503,Betonsteen,Parkeervak,Elementen verharding,73.81,parkeervak rechts,Weg in woongebied,woonstraat/erf (verblijfsgeb.),Gemeente Arnhem,Zuid-West (De Laar/Elden),De Laar,Wissenkerkepad,1980,73.81,42.5785230485799
23,01404/20/502,Betonsteen,Parkeervak,Elementen verharding,81.91,parkeervak rechts,Weg in woongebied,woonstraat/erf (verblijfsgeb.),Gemeente Arnhem,Zuid-West (De Laar/Elden),De Laar,Wissenkerkepad,1980,81.90952015,43.374070630646
24,00312/10/502,Gebakken steen,Hoofdrijbaan,Klinker dikformaat,507.03,hoofdrijbaan,Weg in woongebied,woonstraat/erf (verblijfsgeb.),Gemeente Arnhem,Zuid-Oost (Malburgen),Malburgen West,Heermoesstraat,2008,507.0337319,192.953776913741
25,00312/10/501,Gebakken steen,Hoofdrijbaan,Klinker dikformaat,378.26,hoofdrijbaan,Weg in woongebied,woonstraat/erf (verblijfsgeb.),Gemeente Arnhem,Zuid-Oost (Malburgen),Malburgen West,Heermoesstraat,2008,378.263580435,160.615326836307
26,00562/10/503,Betontegels,Trottoir,Betontegels,286.16,trottoir links,Weg in woongebied,woonstraat/erf (verblijfsgeb.),Gemeente Arnhem,Noord-Oost (Presikhaaf),Presikhaaf Oost,Malsenlaan,1964,286.164677,266.384549613674
27,00562/10/502,Betontegels,Trottoir,Betontegels,134.14,trottoir links,Weg in woongebied,woonstraat/erf (verblijfsgeb.),Gemeente Arnhem,Noord-Oost (Presikhaaf),Presikhaaf Oost,Malsenlaan,1964,134.1426205,111.789126742622
28,00562/10/510,Betonsteen,Parkeervak,Betonsteen keiformaat,219.96,parkeervak links,Weg in woongebied,woonstraat/erf (verblijfsgeb.),Gemeente Arnhem,Noord-Oost (Presikhaaf),Presikhaaf Oost,Malsenlaan,1964,219.958386,252.24969242213
29,01054/10/503,Betontegels,Trottoir,Betontegels,112.15,trottoir links,Weg in woongebied,woonstraat/erf (verblijfsgeb.),Gemeente Arnhem,Noord-Oost (Presikhaaf),Presikhaaf Oost,Wijenburglaan,1965,112.1459305,127.770434073822
30,01054/10/502,Betontegels,Trottoir,Betontegels,53.57,trottoir links,Weg in woongebied,woonstraat/erf (verblijfsgeb.),Gemeente Arnhem,Noord-Oost (Presikhaaf),Presikhaaf Oost,Wijenburglaan,1965,53.56731275,45.0830502427811
31,00184/20/503,Asfalt,Hoofdrijbaan,Asfalt,401.37,hoofdrijbaan,Weg in woongebied,woonstraat/erf (verblijfsgeb.),Gemeente Arnhem,Zuid-Oost (Malburgen),Malburgen West,Dovenetellaan,2009,401.3655265,137.088399943077
32,00184/20/502,Asfalt,Hoofdrijbaan,Asfalt,425.28,hoofdrijbaan,Weg in woongebied,woonstraat/erf (verblijfsgeb.),Gemeente Arnhem,Zuid-Oost (Malburgen),Malburgen West,Dovenetellaan,2009,425.2805115,144.064797531558
33,00582/10/507,Betonsteen,Parkeervak,Betonsteen keiformaat,24.45,parkeervak rechts,Weg in woongebied,buurtweg (verblijfsgebied),Gemeente Arnhem,Zuid-Oost (Malburgen),Malburgen West,Meldestraat,2012,24.4451525,32.1225141707183
34,00582/10/506,Betonsteen,Parkeervak,Betonsteen keiformaat,172.84,parkeervak rechts,Weg in woongebied,buurtweg (verblijfsgebied),Gemeente Arnhem,Zuid-Oost (Malburgen),Malburgen West,Meldestraat,2012,172.841905,186.109094039204
35,00184/10/504,Betonsteen,Drempel,Elementen verharding,71.45,drempel,Weg in woongebied,woonstraat/erf (verblijfsgeb.),Gemeente Arnhem,Zuid-Oost (Malburgen),Malburgen West,Dovenetellaan,2008,71.44763,34.9132318521012
36,00562/10/509,Betonsteen,Parkeervak,Betonsteen keiformaat,60.25,parkeervak links,Weg in woongebied,woonstraat/erf (verblijfsgeb.),Gemeente Arnhem,Noord-Oost (Presikhaaf),Presikhaaf Oost,Malsenlaan,2011,60.248917,77.9791058278231
37,00741/10/501,Gebakken steen,Hoofdrijbaan,Klinker lingeformaat,168.49,hoofdrijbaan,Weg in woongebied,buurtweg (verblijfsgebied),Gemeente Arnhem,Zuid-Oost (Malburgen),Malburgen Oost (Zuid),Pijlkruidstraat,2011,168.486894895,85.7436966593093
38,00466/11/508,Betontegels,Trottoir,Betontegels,11.73,trottoir algemeen,Weg in woongebied,vrijliggend fietspad,Gemeente Arnhem,Zuid-Oost (Malburgen),Malburgen Oost (Zuid),Kleefseplein,1980,11.727977,21.5653516677769
39,00466/11/505,Betontegels,In- uitrit,Betontegels,2.07,in- uitrit links,Weg in woongebied,vrijliggend fietspad,Gemeente Arnhem,Zuid-Oost (Malburgen),Malburgen Oost (Zuid),Kleefseplein,1980,2.070395,5.96423555858531
40,00466/11/504,Betontegels,In- uitrit,Betontegels,2.08,in- uitrit links,Weg in woongebied,vrijliggend fietspad,Gemeente Arnhem,Zuid-Oost (Malburgen),Malburgen Oost (Zuid),Kleefseplein,1980,2.075687,5.97440879532386
41,00058/10/507,Betonsteen,Parkeerterrein,Betonsteen dikformaat,43.49,parkeerterrein,Weg in woongebied,woonstraat/erf (verblijfsgeb.),Gemeente Arnhem,Zuid-Oost (Malburgen),Malburgen Oost (Zuid),Bergse Hoofd,1980,43.492692,30.5871629047022
42,00058/10/506,Betonsteen,Parkeerterrein,Betonsteen dikformaat,148.44,parkeerterrein,Weg in woongebied,woonstraat/erf (verblijfsgeb.),Gemeente Arnhem,Zuid-Oost (Malburgen),Malburgen Oost (Zuid),Bergse Hoofd,1980,148.4441995,49.516048725002
43,00058/10/505,Betonsteen,Parkeerterrein,Betonsteen dikformaat,269.88,parkeerterrein,Weg in woongebied,woonstraat/erf (verblijfsgeb.),Gemeente Arnhem,Zuid-Oost (Malburgen),Malburgen Oost (Zuid),Bergse Hoofd,1980,269.884943,90.7118369535366
44,00058/10/504,Betonsteen,Parkeerterrein,Betonsteen dikformaat,276.54,parkeerterrein,Weg in woongebied,woonstraat/erf (verblijfsgeb.),Gemeente Arnhem,Zuid-Oost (Malburgen),Malburgen Oost (Zuid),Bergse Hoofd,1980,276.540492,82.001160667123
45,00058/10/510,Betonsteen,Parkeerterrein,Betonsteen dikformaat,93.73,parkeerterrein,Weg in woongebied,woonstraat/erf (verblijfsgeb.),Gemeente Arnhem,Zuid-Oost (Malburgen),Malburgen Oost (Zuid),Bergse Hoofd,1980,93.730065,45.6009324088348
46,00058/10/509,Betonsteen,Parkeerterrein,Betonsteen dikformaat,269.56,parkeerterrein,Weg in woongebied,woonstraat/erf (verblijfsgeb.),Gemeente Arnhem,Zuid-Oost (Malburgen),Malburgen Oost (Zuid),Bergse Hoofd,1980,269.56105,88.9041281246125
47,00058/10/508,Betonsteen,Parkeerterrein,Betonsteen dikformaat,137.74,parkeerterrein,Weg in woongebied,woonstraat/erf (verblijfsgeb.),Gemeente Arnhem,Zuid-Oost (Malburgen),Malburgen Oost (Zuid),Bergse Hoofd,1980,137.7405015,56.7848683144749
48,00058/10/503,Betonsteen,Parkeerterrein,Betonsteen dikformaat,78.46,parkeerterrein,Weg in woongebied,woonstraat/erf (verblijfsgeb.),Gemeente Arnhem,Zuid-Oost (Malburgen),Malburgen Oost (Zuid),Bergse Hoofd,1980,78.4618365,46.1831410895264
49,00058/10/502,Betonsteen,Parkeerterrein,Betonsteen dikformaat,127.95,parkeerterrein,Weg in woongebied,woonstraat/erf (verblijfsgeb.),Gemeente Arnhem,Zuid-Oost (Malburgen),Malburgen Oost (Zuid),Bergse Hoofd,1980,127.95381,63.3203293190486
50,01554/10/506,Betontegels,Trottoir,Betontegels,762.13,trottoir links,Weg in woongebied,woonstraat/erf (verblijfsgeb.),Gemeente Arnhem,Zuid-Oost (RVK),Rijkerswoerd,Elstargaard,1985,762.133675,621.14909175118
51,01554/10/505,Betontegels,Trottoir,Betontegels,29.89,trottoir links,Weg in woongebied,woonstraat/erf (verblijfsgeb.),Gemeente Arnhem,Zuid-Oost (RVK),Rijkerswoerd,Elstargaard,1985,29.8911235,32.9796155485881
52,01820/100/513,Asfalt,Fietspad,Asfalt,641.38,fietspad,Fietspad,vrijliggend fietspad,Gemeente Arnhem,Zuid-West (Schuytgraaf/Elderveld),Schuytgraaf,Marasingel,2007,641.3773965,372.148813782284
53,01820/100/512,Asfalt,Fietspad,Asfalt,11.77,fietspad,Fietspad,vrijliggend fietspad,Gemeente Arnhem,Zuid-West (Schuytgraaf/Elderveld),Schuytgraaf,Marasingel,2007,11.765963,15.354074648188
54,01820/100/511,Asfalt,Fietspad,Asfalt,711.81,fietspad,Fietspad,vrijliggend fietspad,Gemeente Arnhem,Zuid-West (Schuytgraaf/Elderveld),Schuytgraaf,Marasingel,2014,711.813510985,391.434392950337
55,01820/100/510,Asfalt,Fietspad,Asfalt,516.79,fietspad,Fietspad,vrijliggend fietspad,Gemeente Arnhem,Zuid-West (Schuytgraaf/Elderveld),Schuytgraaf,Marasingel,2014,516.78748917,301.846791666393
56,01820/100/509,Asfalt,Fietspad,Asfalt,305.31,fietspad,Fietspad,vrijliggend fietspad,Gemeente Arnhem,Zuid-West (Schuytgraaf/Elderveld),Schuytgraaf,Marasingel,2014,305.31039365,178.209726203069
57,01820/100/508,Asfalt,Fietspad,Asfalt,340.01,fietspad,Fietspad,vrijliggend fietspad,Gemeente Arnhem,Zuid-West (Schuytgraaf/Elderveld),Schuytgraaf,Marasingel,2007,340.0110955,198.841780102201
58,01820/100/521,Asfalt,Voetpad,Asfalt,306.18,voetpad,Weg in verblijfsgebied,vrijliggend fietspad,Gemeente Arnhem,Zuid-West (Schuytgraaf/Elderveld),Schuytgraaf,Marasingel,2014,306.183978545,297.901263877256
59,01820/100/520,Betontegels,Voetpad,Betontegels,17.87,voetpad,Weg in verblijfsgebied,vrijliggend fietspad,Gemeente Arnhem,Zuid-West (Schuytgraaf/Elderveld),Schuytgraaf,Marasingel,2014,17.8701859,23.1081329552733
60,01820/100/519,Asfalt,Voetpad,Asfalt,451.29,voetpad,Weg in verblijfsgebied,vrijliggend fietspad,Gemeente Arnhem,Zuid-West (Schuytgraaf/Elderveld),Schuytgraaf,Marasingel,2007,451.28536502,374.370355958781
61,01820/100/517,Asfalt,Voetpad,Asfalt,272.7,voetpad,Weg in verblijfsgebied,vrijliggend fietspad,Gemeente Arnhem,Zuid-West (Schuytgraaf/Elderveld),Schuytgraaf,Marasingel,2007,272.70423918,203.299205157021
62,01820/100/516,Betontegels,Voetpad,Betontegels,29.55,voetpad,Weg in verblijfsgebied,vrijliggend fietspad,Gemeente Arnhem,Zuid-West (Schuytgraaf/Elderveld),Schuytgraaf,Marasingel,2014,29.552285695,29.0931815416511
63,01820/100/515,Asfalt,Voetpad,Asfalt,148.26,voetpad,Weg in verblijfsgebied,vrijliggend fietspad,Gemeente Arnhem,Zuid-West (Schuytgraaf/Elderveld),Schuytgraaf,Marasingel,2014,148.260832,156.657790700266
64,01821/150/514,Betontegels,Voetpad,Betontegels,6.18,voetpad,Weg in verblijfsgebied,2e orde Gebiedsontsluitingsweg,Gemeente Arnhem,Zuid-West (Schuytgraaf/Elderveld),Schuytgraaf,Minervasingel,2014,6.1816441,10.3480427452422
65,01821/154/2,Asfalt,Voetpad,Asfalt,184.8,voetpad,Weg in verblijfsgebied,vrijliggend voetpad,Gemeente Arnhem,Zuid-West (Schuytgraaf/Elderveld),Schuytgraaf,Minervasingel,2014,184.7992705,157.934345274897
66,01821/154/1,Asfalt,Voetpad,Asfalt,301.14,voetpad,Weg in verblijfsgebied,vrijliggend voetpad,Gemeente Arnhem,Zuid-West (Schuytgraaf/Elderveld),Schuytgraaf,Minervasingel,2014,301.1440395,266.686071948959
67,01821/152/7,Asfalt,Fietspad,Asfalt,381.8,fietspad,Fietspad,vrijliggend fietspad,Gemeente Arnhem,Zuid-West (Schuytgraaf/Elderveld),Schuytgraaf,Minervasingel,2007,381.800174185,232.028330044211
68,00128/30/7,Gebakken steen,Voetpad,Klinker dikformaat,21.6,voetpad,Weg in woongebied,woonstraat/erf (verblijfsgeb.),Gemeente Arnhem,Noord-Oost,Monnikenhuizen,Burgemeester Bloemersweg,2012,21.5975095,23.6962199338931
69,00128/30/8,Gebakken steen,Voetpad,Klinker dikformaat,99.66,voetpad,Weg in woongebied,woonstraat/erf (verblijfsgeb.),Gemeente Arnhem,Noord-Oost,Monnikenhuizen,Burgemeester Bloemersweg,2012,99.6604915,91.2870345471811
70,01103/60/536,Betontegels,Doorsteek,Betontegels,17.07,doorsteek,Gemiddeld belaste weg,2e orde Gebiedsontsluitingsweg,Gemeente Arnhem,Zuid-Oost (RVK),Vredenburg / Kronenburg,Groningensingel,1971,17.0735784,18.0340959980054
71,01029/20/515,Betonsteen,Parkeervak,Betonsteen keiformaat,92.32,parkeervak rechts,Weg in woongebied,woonstraat/erf (verblijfsgeb.),Gemeente Arnhem,Zuid-Oost (Malburgen),Malburgen Oost (Zuid),Wikkestraat,2012,92.3167517,42.5854821343219
72,01986/10/504,Betontegels,Trottoir,Betontegels,232.35,trottoir links,Weg in woongebied,vrijliggend fietspad,Gemeente Arnhem,Zuid-Oost (Malburgen),Malburgen Oost (Zuid),De Whemedreef,2014,232.3489475,233.147227427067
73,00845/20/517,Gebakken steen,Parkeervak,Klinker dikformaat,40.06,parkeervak rechts,Weg in woongebied,1e orde Gebiedsontsluitingsweg,Gemeente Arnhem,Noord-West,Burgemeesterswijk / Hoogkamp,Sonsbeekweg,1978,40.063702,48.784405641832
74,00845/20/518,Gebakken steen,Parkeervak,Klinker dikformaat,41.87,parkeervak rechts,Weg in woongebied,1e orde Gebiedsontsluitingsweg,Gemeente Arnhem,Noord-West,Burgemeesterswijk / Hoogkamp,Sonsbeekweg,1978,41.8727089,49.1604735826783
75,01821/152/5,Asfalt,Fietspad,Asfalt,453.12,fietspad,Fietspad,vrijliggend fietspad,Gemeente Arnhem,Zuid-West (Schuytgraaf/Elderveld),Schuytgraaf,Minervasingel,2014,453.122601475,264.417691925423
76,01821/152/3,Asfalt,Fietspad,Asfalt,501.61,fietspad rechts,Fietspad,vrijliggend fietspad,Gemeente Arnhem,Zuid-West (Schuytgraaf/Elderveld),Schuytgraaf,Minervasingel,2014,501.607278615,288.972537732607
77,01821/150/504,Asfalt,Verkeersdruppel,Asfalt,1.12,verkeersdruppel,Gemiddeld belaste weg,2e orde Gebiedsontsluitingsweg,Gemeente Arnhem,Zuid-West (Schuytgraaf/Elderveld),Schuytgraaf,Minervasingel,2007,1.117387285,4.24276838974959
78,01821/150/503,Asfalt,Verkeersdruppel,Asfalt,1.86,verkeersdruppel,Gemiddeld belaste weg,2e orde Gebiedsontsluitingsweg,Gemeente Arnhem,Zuid-West (Schuytgraaf/Elderveld),Schuytgraaf,Minervasingel,2007,1.86093575,5.28611014465293
79,01819/20/527,Asfalt,Oversteekplaats,Asfalt,19.51,oversteekplaats,Zwaar belaste weg,1e orde Gebiedsontsluitingsweg,Gemeente Arnhem,Zuid-West (Schuytgraaf/Elderveld),Schuytgraaf,Metamorfosenallee,2005,19.508106,18.1342696221747
80,00278/20/505,Gebakken steen,Hoofdrijbaan,Klinker dikformaat,642.94,hoofdrijbaan,Weg in woongebied,woonstraat/erf (verblijfsgeb.),Gemeente Arnhem,Noord-West,Burgemeesterswijk / Hoogkamp,Van Goyenstraat,2011,642.93710689,217.240280696174
81,00278/20/506,Gebakken steen,Drempel,Klinker dikformaat,35.3,drempel,Weg in woongebied,woonstraat/erf (verblijfsgeb.),Gemeente Arnhem,Noord-West,Burgemeesterswijk / Hoogkamp,Van Goyenstraat,2011,35.2982655,24.4797751751119
82,01271/70/504,Betonsteen,Fietspad,Dubbelklinker 20x20,28.22,fietspad,Fietspad,vrijliggend fietspad,Gemeente Arnhem,Zuid-Oost (RVK),Rijkerswoerd,Kruisstraat,2008,28.218732055,45.3656664643399
83,01658/30/503,Overig,Voetpad,Halfverhard,78.16,voetpad,Weg in woongebied,woonstraat/erf (verblijfsgeb.),Gemeente Arnhem,Zuid-West (Schuytgraaf/Elderveld),Schuytgraaf,t Vlot,2007,78.1597075,83.0467068783976
84,00806/20/514,Betontegels,Voetpad,Betontegels,2.13,voetpad,Weg in woongebied,woonstraat/erf (verblijfsgeb.),Gemeente Arnhem,Noord-Oost,Velperweg e.o.,Schavenmolenstraat,2007,2.1325505,12.2103255071137
85,00684/30/512,Asfalt,Fietspad,Asfalt,17,fietspad,Fietspad,woonstraat/erf (verblijfsgeb.),Gemeente Arnhem,Zuid-Oost (Malburgen),Malburgen Oost (Zuid),Oude Huissenseweg,2005,16.9964515,17.4416423994718
86,00800/20/504,Cementbeton,Voetpad,Beton,3.7,voetpad,Weg in woongebied,woonstraat/erf (verblijfsgeb.),Particulier,Noord-Oost (Presikhaaf),Presikhaaf West,Schaapdijk,2009,3.6956805,13.1603209995541
87,00800/20/505,Cementbeton,Voetpad,Beton,3.54,voetpad,Weg in woongebied,woonstraat/erf (verblijfsgeb.),Particulier,Noord-Oost (Presikhaaf),Presikhaaf West,Schaapdijk,2009,3.5372935,13.4364580490269
88,00800/20/506,Cementbeton,Voetpad,Beton,3.27,voetpad,Weg in woongebied,woonstraat/erf (verblijfsgeb.),Particulier,Noord-Oost (Presikhaaf),Presikhaaf West,Schaapdijk,2009,3.2747195,13.1982959861325
89,00800/20/507,Cementbeton,Voetpad,Beton,3.12,voetpad,Weg in woongebied,woonstraat/erf (verblijfsgeb.),Particulier,Noord-Oost (Presikhaaf),Presikhaaf West,Schaapdijk,2009,3.116323,12.9340057861502
90,01819/20/526,Asfalt,Oversteekplaats,Asfalt,19.98,oversteekplaats,Zwaar belaste weg,1e orde Gebiedsontsluitingsweg,Gemeente Arnhem,Zuid-West (Schuytgraaf/Elderveld),Schuytgraaf,Metamorfosenallee,2005,19.979877,18.4112944361107
91,00237/30/503,Betonsteen,Parkeervak,Betonsteen keiformaat,34.69,parkeervak links,Weg in woongebied,buurtweg (verblijfsgebied),Gemeente Arnhem,Zuid-Oost (Malburgen),Malburgen Oost (Zuid),Fluitekruidstraat,2017,34.685956,41.134733820008
92,02017/10/3,Gebakken steen,Hoofdrijbaan,Klinker keiformaat,605.81,hoofdrijbaan,Weg in woongebied,woonstraat/erf (verblijfsgeb.),Gemeente Arnhem,Noord-Oost,Monnikenhuizen,Infanteriestraat,2013,605.807859185,219.998383883484
93,01914/10/513,Asfalt,Brugdek,Asfalt,186.76,brugdek,Weg in woongebied,buurtweg (verblijfsgebied),Gemeente Arnhem,Zuid-West (Schuytgraaf/Elderveld),Schuytgraaf,Schoolmeesterwaard,2010,186.7647345,63.3543925199775
94,01821/170/508,Betonsteen,Fietspad ,Betonsteen keiformaat,41.96,fietspad links,Fietspad,2e orde Gebiedsontsluitingsweg,Gemeente Arnhem,Zuid-West (Schuytgraaf/Elderveld),Schuytgraaf,Minervasingel,2014,41.9630675,40.8538564719948
95,02017/10/5,Betonsteen,Parkeervak,Betonsteen keiformaat,43.86,parkeervak links,Weg in woongebied,woonstraat/erf (verblijfsgeb.),Gemeente Arnhem,Noord-Oost,Monnikenhuizen,Infanteriestraat,2013,43.8638265,27.2865266201771
96,02017/10/6,Betonsteen,Parkeervak,Betonsteen keiformaat,58.61,parkeervak links,Weg in woongebied,woonstraat/erf (verblijfsgeb.),Gemeente Arnhem,Noord-Oost,Monnikenhuizen,Infanteriestraat,2013,58.6103805,32.9392935038994
97,02017/10/7,Gebakken steen,Trottoir,Klinker keiformaat,99.74,trottoir links,Weg in woongebied,woonstraat/erf (verblijfsgeb.),Gemeente Arnhem,Noord-Oost,Monnikenhuizen,Infanteriestraat,2013,99.737438135,70.3328677195786
98,02017/10/8,Gebakken steen,Hoofdrijbaan,Klinker keiformaat,833.74,hoofdrijbaan,Weg in woongebied,woonstraat/erf (verblijfsgeb.),Gemeente Arnhem,Noord-Oost,Monnikenhuizen,Infanteriestraat,2013,833.74332662,313.358425128063
99,01821/140/516,Asfalt,Fietspad,Asfalt,26,fietspad,Fietspad,2e orde Gebiedsontsluitingsweg,Gemeente Arnhem,Zuid-West (Schuytgraaf/Elderveld),Schuytgraaf,Minervasingel,2009,25.997867035,30.0684719691322
100,01865/12/503,Asfalt,Fietspad,Asfalt,140.45,fietspad,Fietspad,vrijliggend voetpad,Gemeente Arnhem,Zuid-West (Schuytgraaf/Elderveld),Schuytgraaf,Graanhoeve,2009,140.452704,85.232688369361
101,01875/30/505,Betonsteen,Molgoot,Betonsteen keiformaat,59.09,molgoot,Weg in woongebied,buurtweg (verblijfsgebied),Gemeente Arnhem,Zuid-West (Schuytgraaf/Elderveld),Schuytgraaf,Koningskers,2007,59.0891085,137.752021613306
102,01103/30/538,Betontegels,Fietspad ,Betontegels,88.8,fietspad links,Fietspad,2e orde Gebiedsontsluitingsweg,Gemeente Arnhem,Zuid-Oost (RVK),Vredenburg / Kronenburg,Groningensingel,1971,88.799796,74.5804065134402
103,01142/21/505,Betontegels,Trottoir,Betontegels,114.93,trottoir links,Weg in woongebied,parkeerterrein,Gemeente Arnhem,Zuid-Oost (Malburgen),Malburgen Oost (Zuid),Olympus,1990,114.929474,97.4954008363239
104,01142/21/504,Betontegels,Trottoir,Betontegels,670.87,trottoir links,Weg in woongebied,parkeerterrein,Gemeente Arnhem,Zuid-Oost (Malburgen),Malburgen Oost (Zuid),Olympus,1990,670.874512335,262.728056760422
