Rijlabels;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6310 - Aanschaf, beheer en onderhoud infrastructuur;6410 - Spraak en dataverbindingen;6510 - Aan een externe partij uitbestede ICT-dienstverlening;Eindtotaal
NextPage Software Daniel Lewandowski;;;;;;;1;1
Onestopsourcing B.V.;;1;;;;;;1
Onsite360;;1;;;;;;1
OPEN.satisfaction B.V.;1;1;;;;;;1
OrangeValley Consultancy;;;;;;;1;1
Oribi Software B.V.;;1;;;;;;1
OSAGE communicatie en ontwerp;;1;;;;;;1
Over Morgen;;;1;;;;;1
Overnite Software Europe B.V.;;;1;;;;;1
Paree B.V.;;1;;;;;;1
PCextreme B.V.;;;1;;;;;1
Perfectview;;;1;;;;;1
Personeelsver. 4fun Communication Solutions;;1;;;;;;1
Picturae BV;;;1;;;;;1
Pondres Direct Mail B.V.;;;;;;1;;1
Poolvos B.V.;;;1;;;;;1
PostNL Data Solutions B.V.;1;;;;;;;1
PQR B.V.;;1;;;;;;1
Premotec GmbH;;;1;;;;;1
Qdossier B.V.;;1;;;;;;1
Q-Tips B.V.;;;1;;;;;1
Quest Software Java Support Centre B.V.;;1;1;;;;;1
QuoVadis Trustlink B.V.;1;1;1;1;;;1;1
Qweb Internet Services;1;;1;;;;;1
Radiologie Albert Schweitzer Ziekenhuis B.V.;;;;;;;1;1
Relatics B.V.;;;1;;;;;1
Remyx;;;1;;;;;1
Repromat B.V.;;1;;;;;;1
Rhenus Ocean;;;;;;;1;1
Science Plus Group;;;1;;;;;1
SEEBURGER Benelux;;1;;;;;;1
SIMPoint B.V.;;;;;;1;1;1
Site 4 All;;;;;;;1;1
SmartDocuments Nederland B.V.;;1;;;;;;1
SoftVision Development GmbH;;;1;;;;;1
Soundfocus B.V.;;;1;;;;;1
Spotler Nederland B.V.;;;1;;;;;1
Sprout Social, Inc.;;;1;;;;;1
Staples Nederland B.V.;1;;;;;;;1
Stichting 1940-1945;;;;;;;1;1
Stichting Accessibility;;1;1;;;;;1
Stichting Dutch Hospital Data;;;;;;;1;1
stichting government roaming nederland;;;;;1;;;1
Stichting Leer Zelf Online;;;1;;;;;1
Stichting Nederlands Centrum Jeugdgezondheid;;;;;;;1;1
Studio Mosgroen;;;1;;;;;1
Studio2 Communications B.V.;;1;;;;;;1
Sumatra Software B.V.;;1;;;;;;1
SuperOffice Benelux B.V.;;;1;;;;;1
SURFsara B.V.;;1;;;;;;1
Systeemhuis Compri B.V.;;;1;;;;;1
Teamwork.com;;;1;;;;;1
Tele2 Nederland B.V.;;;;;;1;;1
Telecom Service Leek B.V.;1;;;;;1;;1
TimeWax B.V.;;1;;;;;;1
Topdesk B.V.;;;1;;;;;1
TOPdesk Nederland B.V.;;;1;;;;;1
Total Identity B.V.;;;1;;;;;1
Tweede Golf B.V.;;;1;;;;;1
Uptrends B.V.;;;1;;;;;1
Urogyn Nederland;;;;;;;1;1
Usably;;;1;;;;;1
Utica B.V.;;;;;;1;;1
Via Futura;;;1;;;;;1
Vicrea Solutions B.V.;;1;;;;;;1
Virtual Vision;1;;;;;;;1
Warpnet B.V.;;;1;;;;;1
Web Integration B.V.;;;1;;;;;1
WebEx Communications B.V.;;;;;;1;;1
WhiteVision Software Bedenkers B.V.;;1;1;;;;;1
WorkFlowWise IP B.V.;;1;;;;;;1
WVZ.online BV;;1;;;;;;1
Xerox (Nederland) B.V.;;;1;;;1;1;1
XMARK B.V.;;;;;;1;;1
Xolphin B.V.;;;1;;;1;;1
XS4ALL Internet B.V.;;;1;;;1;;1
Zetes B.V.;;;1;;;;;1
Ziggo B.V.;;;;;;1;;1
AB Sciex EDC B.V.;;;2;;;;;2
Abbott Informatics Netherlands B.V.;;;2;;;;1;2
ADLIB INFORMATION SYSTEMS BV;;;2;;;;;2
Agilent Technologies Netherlands B.V.;;2;;;;;;2
Amainsolutions B.V.;;;2;;;;;2
Anderkaliber;;;;;;;2;2
Apps B.V.;;;2;;;;;2
Atlassian B.V.;;;2;;;;;2
Betty Blocks B.V.;;;2;;;;;2
Bfarm - Paul-Erlich-Institut;;;2;;;;;2
BIS Bedrijfs Informatie Systemen B.V.;2;;;;;;;2
Blonk Milieu Advies B.V.;;;;;;;2;2
Bluedesk CRM B.V.;;;2;;;;;2
Bojan Advies;;;;;;;2;2
BPI Services B.V.;;;2;;;;;2
CACI B.V.;;2;;;;;;2
Co�peratie SURF UA;;;2;;;;;2
CVIS International B.V.;;2;;;;;;2
DDC Europe B.V.;;;;;;;2;2
De Webmakers;;;2;;;;;2
Defacto Software B.V.;;2;;;;;;2
DTT Multimedia B.V.;;;2;;;;;2
E.Novation CRM Solutions B.V.;;;2;;;;1;2
Ecommany B.V.;;1;1;;;;;2
Exact Software;2;;1;;;;;2
Exact Software Nederland B.V.;;;2;;;;;2
Fenêtre B.V.;2;1;;;;;;2
FourD;;;;;;;2;2
Goldmund, Wyldebeast & Wunderliebe B.V.;;;;;;;2;2
GW Cross Media B.V.;;;;;;;2;2
Helicon Conservation Support B.V.;;;;;;;2;2
Hogeschool van Arnhem en Nijmegen (alle vestigingen);;1;1;;;;;2
ICT Partners West B.V.;;2;;;;;;2
Idee Brouwerij;;;2;;;;;2
Informatiebeveiliging Nederland B.V.;;2;;;;;;2
Infors Benelux B.V.;2;;;;;;;2
Innovero Software Solutions B.V.;;;2;;;;;2
Intermax B.V.;;2;;;;;;2
Knowledge Exchange B.V.;;;2;;;;;2
Koning & Hartman B.V.;1;2;;;;;;2
KPN B.V.;1;;;;;2;;2
KPN BV adm-175;;;;;;2;;2
KPN BV. ADM 160. Groningen;;;;;;2;;2
KPN Consulting B.V.;;;;;;2;;2
KPN Telecom B.V.;;;;;;2;;2
KPN Telecom B.V. Business Service Desk;;2;;;;1;;2
KPN-Mobiel;;;;;;2;;2
LogMeIn Ireland Limited;;;;;;2;;2
Medworq Participatie B.V.;;;;;;;2;2
NIVEL Nat. Instituut voor Beleidsonderz.;;;;;;;2;2
NRG Petten;;1;1;;;;;2
OGD ict-diensten;2;;;;;;;2
PADACO Automatisering B.V.;2;;;;;1;;2
Planon B.V.;;2;;;;;;2
Procyon Networks B.V.;;;;;;2;;2
Q Delft B.V.;;;2;;;;1;2
Qiagen Benelux B.V.;;;2;;;;;2
Questback AS Arvato Finance AS;;;1;;;2;;2
Quis Products B.V.;;;2;;;;;2
Red Five B.V.;;2;;;;;;2
RedNose IT B.V.;;2;2;1;;;;2
Savant Performing Partners B.V.;;;2;;;;;2
Sectra Communications B.V.;;;;;;2;;2
Shared Business B.V.;;;2;;;;;2
SNR Schouten & Nelissen Recovery B.V.;;;2;;;;;2
Sticht. ISSTDR Conference Support Foundation;;2;;;;;;2
Stichting SBOH;;;;;;;2;2
Stichting VZVZ Derdengelden;;;;;;;2;2
Stichting ZorgTTP;;;;;;;2;2
Telegrootgebruik B.V.;;1;;;;1;2;2
The Courseware Company B.V.;;2;;;;;2;2
Thermo Fisher Scientific B.V.;;2;1;;;;;2
Transfer Managed Services B.V.;;2;;;;;;2
Triptic B.V.;;;2;;;;;2
Triv Internet Solutions;;1;1;;;;;2
Two Kings B.V.;;;2;;;;2;2
Van 't Loo/Van Eck Beheer B.V.;;;2;;;;;2
VectorAnalytica Inc.;;;2;;;;;2
Vektis C.V.;;;;;;;2;2
Verbonden met B.V.;;;;;;2;;2
Vodafone;;;;;;2;;2
Wageningen Plant Research;;;2;;;;;2
WorkSphere;;2;;;;;;2
Aiwos;;;3;;;;;3
Axians;;;;3;;;;3
CLC bio;;;3;;;;;3
Cloud Seven B.V.;;3;;;;;;3
De Praktijk Index B.V.;;;;;;;3;3
Esri Nederland;;1;3;;;;;3
Filosofische Praktijk Kom Denken;;;3;;;;;3
Fox-IT BV;;3;;;;;;3
GeoCat B.V.;;2;2;;;;;3
KPN BV. ADM 175. Groningen;;;;;;3;;3
KPN Den Haag servicenrs;;;;;;3;;3
Siemens Industry Software B.V.;;;3;;;;;3
Sj.-Solutions B.V.;;3;;;;;;3
Telindus-ISIT B.V.;;;;;;3;;3
Triple P Nederland B.V.;1;2;1;;;2;;3
Unica Security B.V.;3;1;;;;;;3
VCD Business Solutions B.V.;;3;;1;;;;3
Verdonck, Klooster & Associates B.V.;3;;2;;;;;3
Virtus Solutions B.V.;;3;2;;;;;3
Central Point Nederland B.V.;4;;;;;;;4
Detron Business Communcations;;;1;;;4;;4
Fujitsu Technology Solutions B.V.;4;1;;;;;;4
Gartner Nederland B.V.;;;4;;;;;4
Hoeksma, Homans & Menting Organisat.adv. B.V.;;;;;;;4;4
Infotheek ICT Services BV;4;2;;;;;;4
iVention B.V.;;;4;;;;;4
Jongens van Beheer B.V.;;;4;;;;;4
KPN Telecom B.V. Landelijk Beheer Bijzondere Netten;;1;1;;;4;1;4
Ned. Org. voor toegep.-nat.wetensch. ond. TNO;;;;;;;4;4
SAP Nederland B.V.;;4;1;;;;;4
Stichting VZVZ Servicecentrum;;4;;;;;2;4
T&T Compet&t.b.v.;;1;1;;4;;;4
Technolution B.V.;;4;;;;;;4
VCD Healthcare B.V.;4;;1;;;;;4
Vertex Architectuur en Stedenbouw;;;;;;;4;4
Buyitdirect.com N.V.;5;;;;;1;;5
CGI Nederland B.V.(Logica Ned.B.V.);5;;;1;;;;5
Fugro NL Land B.V.;;;5;;;;;5
Internedservices;5;;;;;;;5
KPN CM BV - Consulting;;5;;;;;;5
SURFmarket;;3;4;;;;;5
SURFnet B.V.;;;;;2;;5;5
Atos Nederland B.V.;;4;5;2;;;;6
Capgemini Nederland B.V.;;;4;;;;6;6
Desan Resarch solutions;5;3;;;;;;6
Equinix (Netherlands) B.V.;;2;;;;;5;6
SoftwareONE B.V.;;;6;;;;;6
Sogeti Nederland B.V.;;6;2;;;;;6
Topicus Zorg Holding;;;6;;;;2;6
Vodafone Libertel B.V.;;;;;;6;;6
Zorgverzekeraars Nederland;6;;;;;;;6
Accenture B.V.;;7;;;;;;7
Capgemini N.V.;7;;1;;;;;7
Centralpoint Nijmegen B.V.;6;4;3;;;;;7
Cimsolutions;;5;6;;;3;;7
COMPAREX Nederland B.V.;3;5;7;;;;2;7
Computacenter;7;5;1;;;;;7
Ordina Technologie & Competenties B.V.;;4;7;;;;;7
WING Process Consultancy B.V.;;;7;;;;;7
Protinus IT B.V.;7;6;7;;;2;;8
Eindtotaal;8;8;9;4;4;7;7;10
